"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"60","52","        Motorcycles","DMCYRX0",4454,4256,4404,4427,4444,4783,4819,4722,4775,4807,5022,5268,5588,5633,6156,6292,6281,6519,6491,7537,8192,7817,7974,8287,8812,9838,9289,9552,10313,9380,9515,9613,10387,10170,11284,12621,12059,12621,12425,11999,12487,12845,11740,12136,12268,12651,12167,12221,12191,12403,12629,13277,13076,13535,12148,9597,9275,8559,9155,8828,8666,8696,8764,8850,9562,9469,9478
"61","53","        Bicycles and accessories","DBCYRX0",3031,3070,3154,3124,3099,3200,3207,3238,3204,3233,3290,3359,3302,3314,3190,3139,3151,3177,3163,3168,3140,3129,3140,3060,3049,3047,3014,3040,3013,2966,2958,3012,3040,3062,3208,3292,3282,3177,3352,3393,3429,3476,3418,3499,3642,3593,3566,3620,3657,3790,3851,3816,3837,3979,3942,3744,3850,3784,3856,3852,3940,3971,3994,4083,4026,4039,4062
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",15748,16469,17322,16546,16643,16855,17922,18989,19358,19020,19793,19836,20474,21121,21564,22131,22362,23377,23689,23423,26575,23965,23697,23620,22764,22890,23022,24220,24572,24355,24417,23844,24101,25834,27642,28624,28964,27886,28820,29445,29906,30702,30178,29117,30798,29424,29006,30309,29711,30051,30527,29450,28652,27208,25393,20697,19712,18559,19728,19819,18893,19924,19746,19568,19242,19034,18986
"63","55","          Pleasure boats","DBOARX0",6203,6221,6957,7042,7001,7073,7409,8401,8643,8481,8914,8663,8977,9397,9093,9321,9772,10304,10915,9445,11750,10622,10695,10979,10434,10256,10518,11650,11689,11276,10789,10338,10126,11428,12404,12980,13065,12683,12489,12160,12966,13884,13225,12887,14099,13009,13917,13982,13435,13546,13762,13415,13246,13068,12334,10651,9941,9264,9740,9906,9119,9465,9316,8818,8913,8799,8969
"64","56","          Pleasure aircraft","DAIRRX0",935,909,986,967,934,914,928,1017,1005,965,1001,966,985,1085,1108,1092,1081,1050,1006,1108,1159,1068,1094,1178,1071,1089,965,924,897,942,1062,971,956,1053,1153,1214,1295,1183,1312,1399,1490,1525,1451,1436,1566,1525,1533,1753,1667,1806,1855,1918,1769,1729,1707,1279,1267,1127,1270,1338,1322,1360,1408,1360,1184,1133,1118
"65","57","          Other recreational vehicles","DREVRX0",8609,9338,9378,8537,8708,8867,9586,9571,9711,9573,9878,10207,10513,10640,11363,11717,11510,12024,11767,12870,13665,12275,11908,11462,11260,11545,11539,11647,11985,12138,12566,12535,13018,13353,14085,14430,14604,14021,15019,15886,15450,15294,15502,14794,15133,14890,13557,14574,14609,14699,14910,14117,13636,12410,11351,8766,8504,8168,8718,8574,8451,9099,9022,9390,9145,9102,8898
"66","58","      Recreational books (part of 90)","DRBKRX0",17525,17709,18399,17970,18142,19065,19058,19984,20423,20267,20289,20942,21014,20772,21061,21701,22527,23014,23659,24319,24453,25378,25384,25565,25337,25109,25159,25353,25526,25625,25621,25827,26232,26889,27288,26692,27527,27250,27366,27283,27823,27664,28058,28722,29247,29442,28615,28854,28902,28849,29809,30158,29407,29723,29343,27751,27759,28280,28672,28113,29214,29573,30134,30624,31565,32184,33333
"67","59","      Musical instruments (part of 80)","DMSCRX0",2729,2711,2869,3005,2944,2988,2859,3033,2990,3090,3081,3261,3365,3362,3367,3426,3663,3705,3916,4174,4420,4711,4835,4756,4672,4865,4790,4937,5017,5105,5097,5033,4980,4781,4997,5263,5295,5345,5445,5262,5316,5350,5393,5450,6026,5536,5468,5560,5608,5798,5686,5853,5667,5544,5492,4885,4743,4730,4731,4763,4840,4960,4925,5075,5139,5244,5243
"68","60","    Other durable goods","DODGRX0",69153,69811,70074,70888,72287,74579,75079,76581,76921,76907,78779,80862,82618,85486,87142,89017,92747,93994,96816,101789,102308,105581,106184,105512,104075,101575,100888,104032,106893,108932,109714,112178,111656,116454,122126,126250,128042,127743,129108,133075,136784,140676,141010,145785,151121,151542,151536,153332,154930,158936,161368,160900,157871,157227,154680,145090,144599,145824,147168,146367,152166,152886,156414,158141,161413,163815,164884
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",28655,29773,30126,30927,31813,32651,33018,33148,33152,33335,34192,35296,36112,37309,37849,39261,40691,41086,42325,44523,44193,45685,47044,46089,44834,44187,43783,44433,46303,46776,46781,48158,48779,49908,51484,53503,54434,53431,54273,56059,57205,58626,57133,59547,62085,60612,60322,60340,59691,61064,61001,60210,58127,56864,55442,49310,48420,49682,50195,49377,51433,50645,51635,50921,52020,53383,52984
"70","62","        Jewelry","DJLYRX0",25346,26367,26713,27458,28280,29060,29424,29576,29601,29760,30522,31507,32169,33151,33605,34763,36098,36296,37277,39229,39035,40385,41583,40731,39450,38985,38633,39095,40579,40942,41044,42056,42669,43682,44823,46649,47530,46438,47291,48840,49788,51158,49724,51736,53911,52486,52154,52015,51426,52403,52257,51409,49399,48256,47008,42059,41313,42284,42573,41800,43670,42816,43644,42857,43626,44579,44279
"71","63","        Watches","DWTCRX0",3294,3388,3394,3449,3511,3566,3568,3545,3522,3546,3640,3759,3915,4132,4219,4477,4568,4770,5035,5278,5138,5280,5438,5336,5368,5182,5132,5322,5715,5827,5726,6100,6104,6219,6663,6853,6900,6996,6981,7218,7417,7468,7409,7811,8174,8128,8169,8331,8270,8675,8763,8835,8789,8679,8510,7281,7133,7439,7688,7657,7822,7922,8090,8204,8581,9052,8941
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",23999,24023,23903,24104,24544,25670,26263,27024,27441,27470,28453,28700,28980,29896,30934,31561,31389,31355,32060,33584,33969,34605,33626,33972,33441,32667,32387,33679,33562,35147,36033,36301,34767,36493,38496,38753,38967,38967,39210,39760,40773,40895,41800,42642,43352,43228,43599,44503,45463,47059,48282,47695,47410,47810,47715,46912,47186,47013,47074,48050,50043,51356,52856,53938,55163,56092,57165
"73","65","        Therapeutic medical equipment","DTMERX0",7475,7447,7473,7429,7509,7787,7909,8148,8253,8212,8505,8523,8919,9527,10117,10409,10554,10864,11018,11774,11849,12228,12652,12994,12979,13150,13160,13537,13592,14023,14182,14286,14627,14905,15424,15703,16232,16558,16895,17198,17536,17677,18093,18733,19218,19394,19790,20361,20824,21400,21803,21677,21610,22125,21986,21351,21126,21068,21117,21559,22417,23140,23823,24094,24672,25097,25905
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",16711,16768,16615,16872,17242,18106,18589,19117,19436,19510,20209,20446,20299,20582,21014,21346,21007,20630,21193,21945,22259,22505,21040,21032,20506,19539,19245,20167,19991,21154,21888,22053,20146,21608,23102,23074,22745,22413,22315,22560,23238,23218,23706,23909,24136,23837,23815,24152,24652,25669,26485,26028,25811,25709,25748,25570,26060,25943,25956,26489,27623,28221,29039,29836,30485,30989,31277
"75","67","      Educational books (96)","DEBKRX0",11601,11424,11682,11221,11072,11296,11085,11313,11336,11052,10993,11306,11317,11284,11495,11610,11927,11975,11563,12416,11712,12334,11791,11435,11449,11358,11346,11481,11569,11160,10986,11001,10956,11371,11561,11313,11536,11386,11352,11349,11539,11423,11552,11653,11727,11704,11300,11347,11233,11108,11294,11324,10909,10892,10524,9865,9775,9722,9715,9372,9530,9558,9716,9741,9846,9740,9876
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",6940,6518,6356,6351,6493,6660,6477,6850,6810,6769,6885,7259,7625,8117,8014,7759,9234,9573,10241,10652,11203,11669,11851,11862,12024,10992,10662,11327,12080,12290,12329,12770,12621,13331,14361,15684,15826,16127,16139,17620,18602,20742,20965,21655,22697,23844,23259,23228,23995,24427,24844,25046,25083,25177,24793,23495,23335,24045,24448,24002,24661,24979,25619,27025,27649,27560,27657
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1501,1549,1589,1605,1586,1664,1680,1721,1740,1734,1757,1765,1853,1961,2083,2158,2299,2518,2735,2905,3109,3221,3401,3554,3640,3732,3999,4301,4409,4550,4589,4839,5238,5948,6682,7227,7504,7982,8276,8354,8700,8984,9546,10272,11271,12245,13271,14276,15047,15934,16753,17617,17388,17672,17476,17181,17825,16961,17450,17444,18655,18599,18890,18986,19234,19570,19988
"78","70","  Nondurable goods","DNDGRX0",1427990,1435010,1440106,1447534,1456906,1475627,1486125,1498160,1507269,1508098,1532374,1543149,1554551,1573754,1585358,1607043,1636729,1652095,1659955,1693953,1679332,1712882,1724532,1741381,1731226,1739494,1747918,1763045,1770210,1772485,1777504,1800015,1815979,1825152,1856935,1864778,1880423,1880279,1895099,1915419,1937024,1946685,1954373,1975417,1986138,1996052,2005920,2031869,2038210,2037499,2046914,2049014,2032057,2043501,2015433,1985291,1980332,1972821,1982657,1997673,2021125,2030761,2045835,2067432,2075433,2076556,2073703
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",549823,547134,547199,549583,552077,554672,553628,555394,559307,556384,559688,559694,559175,563705,567518,571460,578192,583955,588985,598058,592086,600847,601630,607502,605330,609321,607197,608230,605706,606687,609069,614278,618462,612728,619455,615470,621934,619133,623496,630844,639152,639139,646528,653152,654842,662057,662969,672125,673222,669531,672426,677591,672920,674538,666507,650155,646989,654751,660817,666806,671628,667219,672810,680772,682090,684132,683889
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",483892,480849,480276,482032,483181,485114,483973,485831,488324,485276,487571,486966,485922,490070,493021,495996,502322,506927,511420,518712,512357,519956,519487,524344,522205,525488,524231,525560,522671,523017,525761,530639,534875,530461,536132,532287,538137,535265,539357,546143,554210,553678,559819,564956,565219,571575,571944,579999,580582,576675,579686,584863,581234,582215,573567,558866,556435,564259,570010,574430,576979,572038,576832,582359,583204,584242,582808
"81","73","        Food purchased for off-premises consumption","DFOFRX0",427776,425089,424753,426080,426160,427613,425825,426581,428688,426889,429428,428828,427646,431015,433171,435867,441595,446253,450332,456792,452112,458725,458320,462284,460404,462955,461957,463178,460175,460519,463111,467944,471006,466812,470255,466210,471796,468607,472469,477602,485134,484943,490287,494474,494316,499988,499735,507602,508470,504840,507715,512176,509334,509634,501329,489574,488084,495765,501382,505517,507327,502435,506846,511397,511686,512465,510844
"82","74","          Cereals and bakery products","DCBPRX0",75563,75384,75135,75414,75349,76184,76854,77740,78351,77946,78082,77586,78181,79979,81152,82481,83567,84395,85796,87607,87483,89324,90013,90826,91283,92412,92701,93821,93793,93911,94270,95107,94871,93256,93272,92457,92979,92258,92246,93021,93345,94134,95228,96012,95989,96876,96263,96603,96461,95561,96000,96814,95488,94323,92579,90229,89741,90752,91232,91791,92474,92019,92683,92956,93519,93849,93479
"83","75","            Cereals","DGRARX0",26633,26561,26530,26632,26685,27231,27864,28391,28677,28437,28271,27941,27806,28024,28029,28146,28149,28114,28281,28670,28383,28576,28666,28693,28792,28794,28409,28247,27899,27725,27759,27820,28367,28808,29622,29941,30293,30664,30866,31479,32009,32864,33722,34407,35195,35766,36219,36867,37199,37179,37678,38051,37342,36756,35946,34978,34983,35486,35441,35723,36115,35919,36241,36482,36511,36644,36672
"84","76","            Bakery products","DBAKRX0",48753,48648,48419,48593,48458,48706,48689,49024,49342,49190,49515,49368,50131,51745,52947,54188,55302,56194,57453,58892,59074,60751,61360,62163,62526,63671,64367,65675,66010,66310,66638,67421,66613,64518,63694,62544,62711,61607,61391,61549,61339,61269,61505,61605,60806,61125,60072,59777,59314,58442,58391,58834,58211,57627,56689,55304,54816,55327,55847,56126,56421,56160,56505,56543,57070,57268,56875
"85","77","          Meats and poultry","DMAPRX0",109688,109691,109074,107984,108041,108870,106663,105820,105795,105304,105778,106272,106994,108277,108851,109711,111443,112074,112793,113411,110993,111214,110355,111764,110041,109587,108743,108265,107869,107772,108431,109774,110679,109214,110282,107184,108909,108963,108996,111087,111723,112909,114917,114827,114747,115422,116337,118487,118624,116230,117677,119584,119550,121327,119556,116648,116281,118579,121103,122841,123401,120325,120278,120490,120127,119516,119815
"86","78","            Beef and veal","DBEERX0",36009,35978,35884,35607,35670,36193,35400,34721,34057,33616,33654,33732,33976,34298,34540,34741,35212,35295,35283,35119,34367,34154,33959,34420,32789,32321,32561,32875,32831,32618,33008,33160,32737,32057,32181,29503,30189,30340,30357,31092,31057,30989,32051,31963,31392,31743,32106,32591,32539,31650,32141,32692,32737,33158,32192,31603,31962,32693,33505,33750,34172,32442,32559,32746,31972,31407,31421
"87","79","            Pork","DPORRX0",22926,22959,22587,22012,21785,21392,20563,20299,20241,19915,19994,20090,20392,20990,21370,21864,22265,22158,22213,22141,21239,20924,20742,20938,20767,20643,20283,20104,19889,20000,20402,20838,20845,20663,20888,20775,21226,21235,21057,21408,21488,21849,22507,22440,22407,22440,22546,23073,23165,22907,23401,23881,24241,24404,24097,23491,23624,24368,25081,25782,25141,24316,23903,23728,23704,23541,23605
"88","80","            Other meats","DMEARX0",17990,17850,17900,17697,17827,18098,18034,18048,18098,17929,18054,18200,18211,18577,18744,18857,19002,19148,19441,19639,19486,19596,19400,19473,19694,19779,19713,19329,19252,19083,19027,19371,19863,19364,19488,19449,19725,20070,20348,20586,20703,20934,20968,21059,20991,20812,20932,21282,21452,21270,21806,22089,22042,22455,22214,21507,21134,21655,21815,22217,22604,22211,22178,22341,22315,21972,21974
"89","81","            Poultry","DPOURX0",33396,33535,33338,33305,33401,33883,33354,33364,33888,34286,34500,34659,34816,34797,34600,34654,35361,35842,36184,36777,36158,36762,36484,37173,36894,36919,36311,36132,36084,36233,36176,36554,37306,37182,37768,37452,37767,37316,37238,38005,38475,39137,39391,39363,39962,40438,40765,41554,41477,40410,40336,40931,40555,41329,41083,40069,39587,39910,40763,41181,41517,41380,41648,41678,42169,42666,42895
"90","82","          Fish and seafood","DFISRX0",8773,8595,8510,8546,8681,8713,8748,8658,8362,8354,8550,8772,8690,8547,8418,8511,8744,8825,8923,9003,8877,8925,9026,9149,9136,9229,9432,9528,9655,9531,9612,9771,9908,9831,10026,10113,10351,10477,10558,10675,10775,10865,10930,10763,10634,10542,10446,10687,10692,10504,10671,10779,10771,10680,10521,10316,10200,10185,10206,10469,10569,10395,10400,10403,10355,10235,10210
"91","83","          Milk, dairy products, and eggs","DMDERX0",51328,50988,50546,50010,49188,49016,47533,46504,47285,47286,48324,47593,47448,47808,47777,47059,46554,48386,48756,48782,48772,49578,49615,50184,49786,49844,49275,49471,49573,49620,50043,50807,51402,50949,50633,49289,50319,48707,49295,51159,51132,51095,51186,51191,51240,52104,52695,53358,52869,52082,49438,49510,49789,50834,49822,49302,50355,51884,52413,52595,52126,52215,52226,52554,52844,51622,50537
"92","84","            Fresh milk","DMILRX0",18630,18420,18261,17971,17416,17220,16473,15805,15898,15905,16196,15564,15588,15945,16054,15652,14884,16148,16205,15461,16008,16228,16173,16443,16133,16129,15989,16083,16380,16489,16735,16829,17146,17110,17046,16291,16994,15517,15527,16233,16000,16014,16106,15983,16013,16582,16883,17053,17048,16567,15299,15554,16026,16641,16266,16308,17169,17989,18118,17888,17497,17586,17458,17597,17454,16810,16596
"93","85","            Processed dairy products","DDAIRX0",27887,27764,27780,27746,27649,27536,26633,26222,26624,26485,27093,26869,26606,26696,26545,26168,26212,26590,26835,27074,26939,27547,27729,28194,28125,28106,27551,27578,27562,27677,27874,28250,28592,28663,28814,28640,29119,28479,28368,28974,29061,28999,29223,29402,29321,29720,29915,30651,30629,30539,29637,29601,29562,29914,29110,28358,28306,29004,29310,29713,29628,29612,29821,29932,30271,29965,29324
"94","86","            Eggs","DGGSRX0",5076,5058,4780,4588,4433,4538,4634,4644,4888,4999,5133,5210,5297,5237,5253,5288,5462,5681,5744,6255,5846,5825,5734,5581,5548,5622,5749,5831,5671,5502,5491,5763,5706,5251,4891,4508,4424,4767,5376,5921,6057,6082,5863,5815,5907,5806,5899,5677,5270,5079,4668,4547,4430,4512,4610,4749,4995,5056,5142,5130,5114,5132,5066,5139,5213,4962,4756
"95","87","          Fats and oils","DFATRX0",11701,11577,11450,11394,11366,11371,11312,11315,11221,11061,11144,11139,11079,11081,10554,10272,10671,10877,10912,11144,10999,11151,11018,11013,10729,10676,10382,10347,10271,10270,10369,10556,10748,10870,11141,11022,11049,10712,10758,11098,11402,11692,11910,12184,12308,12756,12954,13172,13349,13444,13540,13605,13353,12816,12437,12052,12188,12460,12622,12729,12740,12533,12538,12488,12371,12162,12053
"96","88","          Fresh fruits and vegetables","DFAVRX0",42749,40951,42151,43679,44323,43396,44502,45485,45745,46098,45698,45687,44745,44906,46122,46816,48327,49026,49598,51404,51810,53250,52993,52613,53314,54051,54884,55981,53526,54542,55257,56109,56208,54814,54221,54487,55588,55447,56263,53067,57915,56398,57039,57141,56390,57374,55586,57213,56488,56828,59163,58795,58640,59022,57351,58416,60073,61079,61927,63174,62411,61508,64040,65087,62083,63076,63368
"97","89","            Fruit (fresh)","DFRURX0",17573,17092,16530,17006,17169,16580,16658,16521,16955,16876,17237,17524,17410,17694,17589,17827,17522,17261,17865,18728,18582,20160,19928,19752,20350,20033,20363,20643,20520,20710,20858,20888,20907,20501,20400,20701,21006,20566,21294,20585,21482,22060,21747,21527,21175,21639,21034,21559,21188,21408,22132,21915,21831,21874,21623,22327,23125,23509,23530,23931,23924,24246,25173,24999,24672,25362,24558
"98","90","            Vegetables (fresh)","DVEGRX0",24972,23658,25500,26568,27059,26755,27837,29058,28809,29277,28436,28109,27270,27139,28490,28948,30863,31917,31810,32722,33311,33070,33052,32853,32950,34032,34536,35360,33006,33830,34397,35225,35307,34316,33821,33785,34581,34887,34964,32483,36436,34345,35286,35610,35215,35735,34554,35656,35304,35422,37035,36885,36814,37156,35726,36087,36950,37573,38397,39243,38487,37285,38887,40087,37445,37773,38813
"99","91","          Processed fruits and vegetables","DPFVRX0",20219,20096,20009,20117,20031,19883,19587,19660,19634,19509,19684,19632,19109,18895,18726,18756,18837,18787,18788,18895,18604,18756,18696,18659,18401,18360,18052,17673,17267,17007,16906,17042,17655,17648,18034,18123,18335,18449,18638,19069,19285,19262,19564,19827,19853,20216,20469,20843,21000,21113,21187,21496,21310,21013,20543,19573,19338,19322,19588,19774,19898,19822,19975,20320,20446,20654,20577
"100","92","          Sugar and sweets","DSWERX0",32348,32192,31890,31955,31805,31974,31843,32070,32098,31652,31792,31810,31503,31567,31615,31754,32278,32237,32400,32743,32265,32978,32937,33214,33143,33427,33302,33209,32912,32543,32395,32617,32216,32361,33023,33491,33165,32892,33561,34193,34478,33822,33624,34707,34539,34389,34132,34105,34584,34568,34515,34655,33853,33697,33450,31586,30336,30668,31043,30774,31011,31172,31550,32197,32882,33604,33292
