"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"267","259","              Over-the-counter equity securities","DICVRX0",NA,NA,NA,NA,NA,NA,NA,NA,125,127,170,170,165,218,253,271,331,396,422,572,750,745,772,937,870,935,582,546,508,597,654,585,543,653,600,586,646,547,565,606,567,524,444,499,545,607,630,616,624,676,644,617,707,632,781,744,827,979,1154,1221
"268","260","              Other imputed commissions","DICORX0",NA,NA,NA,NA,NA,NA,NA,NA,9247,10233,10634,9452,9151,8293,8779,7533,7687,7608,6776,6875,8337,7503,6190,6297,6446,5338,4952,5348,4665,4569,4751,4558,3963,4358,4839,4696,4972,5388,5188,5562,5797,6274,6568,7671,7762,8839,8642,9409,10125,10617,12484,10151,10341,9174,9081,6693,6403,7399,7788,7927
"269","261","            Mutual fund sales charges","DMUTRX0",3847,4493,4795,4869,5544,5856,5580,5973,6093,6450,7494,7879,7839,8540,8651,8579,8643,9053,8784,9861,12393,10763,10523,10001,9753,9495,8757,9946,9491,9579,9751,9283,8521,9662,10623,10246,11099,10159,10203,11090,11213,10753,10920,10661,11573,11801,11205,12201,13082,14226,15293,15418,14700,14216,14119,13253,10894,11385,12333,11381
"270","262","          Portfolio management and investment advice services","DPMIRX0",24304,24361,25585,26055,27025,28892,30203,31612,33110,34748,35862,37501,40414,43259,45830,47989,49431,52365,55955,58570,61730,64250,66661,66246,63789,61384,59137,58952,59597,59114,60199,62396,64935,62121,62261,64376,64692,66194,68011,70912,72594,74049,74139,72883,78490,83513,87184,91650,92661,96010,94448,91750,88491,89253,86096,86485,85498,83226,82595,81978
"271","263","          Trust, fiduciary, and custody activities","DTRURX0",7222,7315,7581,7366,7252,6765,7244,6570,6843,6873,7166,6960,6882,7177,7067,7614,7485,8004,7935,7218,7918,7673,7582,7212,7959,7894,7289,7631,7568,7922,7755,7693,7761,7787,7801,7803,7404,7440,7506,7582,7986,8143,8173,8033,7590,7363,7429,7783,8372,8780,8868,8608,8079,7669,7419,7307,7303,7284,7084,6977
"272","264","      Insurance","DINSRX0",253796,253040,249348,246816,243112,238806,235368,233387,236188,236240,236974,240353,242175,244125,243652,243738,243634,244501,246770,249537,256708,259124,260218,262192,260454,260739,261550,260604,256567,257389,259864,260069,260389,262678,266229,269419,272472,275714,279183,281444,282412,284336,286287,288609,290315,287990,285854,285415,286405,287851,287429,287673,287469,286496,285003,285122,286236,286564,286212,286445
"273","265","        Life insurance (110)","DLIFRX0",89693,90492,88103,86771,83818,80817,78302,76925,80490,80352,79849,81147,79161,78763,76426,75028,74691,74342,74989,75852,79797,80195,79390,79576,77788,76608,75718,72892,67498,66512,67057,66054,63693,63863,65527,67575,70445,72837,74979,75386,75295,76164,76764,77786,79554,78656,78009,78552,79923,79870,78444,77942,78019,77888,76894,77137,78291,78052,77256,76988
"274","266","        Net household insurance (111)","DFINRX0",6290,6222,6199,6215,6430,6402,6306,6153,5810,5611,5629,5852,6209,6508,6682,6722,6649,6578,6537,6521,6524,6534,6553,6574,6589,6568,6510,6401,6236,6053,5867,5686,5527,5459,5496,5632,5834,6013,6140,6216,6235,6217,6158,6058,5919,5875,5970,6209,6551,6842,7059,7197,7258,7305,7344,7373,7407,7446,7488,7529
"275","267","          Household insurance premiums and premium supplements","DFIPRX0",9733,9808,9879,9945,10016,10069,10113,10151,10164,10198,10268,10369,10488,10603,10712,10809,10894,10985,11094,11213,11336,11460,11585,11710,11837,12011,12248,12544,12885,13186,13436,13630,13775,13963,14230,14561,14910,15236,15504,15707,15853,16040,16289,16596,16950,17292,17613,17904,18156,18356,18514,18621,18653,18695,18743,18791,18834,18877,18926,18976
"276","268","          Less: Household insurance normal losses","DFIBRX0",4480,4556,4613,4653,4621,4668,4739,4830,4984,5097,5143,5117,5044,4997,5001,5055,5150,5252,5355,5457,5553,5645,5735,5821,5913,6066,6294,6606,6992,7364,7704,8008,8267,8502,8726,8925,9080,9232,9372,9496,9619,9822,10130,10540,11035,11429,11658,11706,11598,11489,11415,11369,11329,11315,11317,11334,11338,11335,11337,11338
"277","269","        Net health insurance (112)","DHINRX0",104809,103131,101749,100486,99621,98212,97224,96496,95721,95707,96528,98025,101151,102934,104377,105576,105660,106801,108355,110241,113391,115357,117128,118601,118397,119736,121342,123330,125438,127700,129907,131465,134606,136786,138336,138903,138485,138847,139915,141749,143036,144329,145858,147288,147370,146032,144452,143200,142451,143753,144731,145682,145895,145388,145018,144901,145009,145760,146346,147008
"278","270","          Medical care and hospitalization","DMINRX0",79726,78797,78213,77801,77914,77311,76791,76340,75586,75421,76228,77841,81174,83195,84941,86277,86368,87473,88905,90588,93517,95155,96538,97560,96800,97687,98891,100536,102335,104251,106041,107109,109760,111554,112830,113269,112885,113157,113998,115470,116308,117184,118357,119507,119369,118032,116726,116037,116081,118120,119675,121066,121623,121319,121055,120956,121146,122033,122740,123519
"279","271","          Income loss","DIINRX0",1089,1099,1111,1128,1130,1155,1197,1248,1319,1392,1460,1521,1575,1625,1672,1715,1753,1789,1823,1855,1884,1913,1941,1968,1995,2023,2054,2086,2120,2154,2187,2220,2251,2282,2316,2351,2382,2415,2449,2483,2515,2551,2590,2633,2677,2718,2756,2790,2818,2841,2859,2872,2876,2882,2889,2896,2902,2908,2915,2922
"280","272","          Workers' compensation","DPWCRX0",23623,22729,21806,20866,19881,19081,18602,18298,18182,18227,18210,18135,18071,17920,17703,17603,17564,17600,17721,17922,18187,18494,18841,19229,19639,20025,20378,20693,20980,21300,21683,22128,22593,22949,23189,23279,23212,23268,23461,23789,24211,24595,24911,25149,25325,25278,24963,24372,23575,22867,22320,21910,21590,21389,21280,21255,21173,21043,20922,20803
"281","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",52364,52448,52516,52553,52520,52627,52746,52959,53254,53590,53960,54341,54691,55013,55323,55595,55798,55936,56034,56060,56015,56061,56242,56543,56904,57168,57313,57322,57208,57075,56985,56919,56853,56886,57113,57467,57793,58069,58177,58101,57843,57629,57513,57473,57435,57404,57425,57476,57511,57413,57197,56835,56279,55896,55698,55671,55529,55292,55075,54861
"282","274","    Other services","DOTSRX0",522491,525137,522797,526638,535681,537262,551801,543027,558163,566808,578790,592441,606988,615327,631059,633268,643581,652483,660338,670513,684968,699256,713893,718487,721300,737731,737606,733815,737250,739544,735081,736239,751374,753856,759408,758123,767171,771662,776877,778098,780987,777895,780672,786841,795817,806273,811043,820070,831835,836237,830877,825229,829556,823446,820553,829173,832181,832418,834608,835088
"283","275","      Communication","DCOMRX0",86441,88035,90371,92575,94445,96819,98255,100450,103172,105293,109133,112493,114277,115723,119320,121533,124948,130747,136020,139732,144785,151956,156401,158823,160061,163323,164824,164666,165717,168206,167873,168102,169512,171056,172087,173161,175422,178908,181333,181979,182689,184629,186031,187514,192578,197269,200712,207336,211600,214272,215693,219294,221201,221340,221999,220585,221613,220812,220613,221308
"284","276","        Telecommunication services (71)","DTCSRX0",74731,76038,78072,79846,81283,83363,84552,86455,88742,90760,94545,97378,98655,99759,102662,103827,106184,110737,114544,116244,119304,124567,127845,129676,131731,134859,136322,135715,135868,136936,136474,135299,135715,137099,137627,137847,139200,142025,143814,143449,143925,145666,146705,147971,153330,157453,157124,159275,158659,157696,157083,159152,160740,161197,161953,161282,161688,161387,161604,162480
"285","277","          Land-line telephone services, local charges","DLOCRX0",48298,49227,49873,50156,50998,52929,52899,53795,54204,55142,56397,56899,57654,59046,59868,60608,61207,63846,64096,64545,65391,67286,66420,67557,68799,68844,67763,67757,67441,67848,66127,63821,62659,61071,58906,58163,57599,57240,56402,55389,54331,53218,52564,52157,55040,57092,57032,56980,54333,52526,50553,50287,50772,50802,50678,49520,49911,49309,48961,48760
"286","278","          Land-line telephone services, long-distance charges","DLDTRX0",24813,24666,25002,25614,25682,25557,25809,26339,27693,28417,29990,30928,30388,29678,30381,29721,29932,30625,31680,30702,30391,30911,31435,30033,28472,28779,28360,25634,24453,23462,23627,23141,22821,23781,24894,24966,25170,25616,25730,24325,23964,23811,23549,23113,22718,22519,20576,20598,20344,20108,19572,19472,19461,19263,19004,18375,18328,18043,17916,17749
"287","279","          Cellular telephone services","DCELRX0",5343,5855,6547,7026,7512,8112,8701,9088,9197,9463,10003,10858,11910,12698,13718,14881,16140,17456,19253,21510,23920,26579,29496,31959,34821,37419,40270,43089,44975,46876,47723,49188,51002,52713,54024,54881,56572,59263,61722,63763,65635,68628,70586,72710,75582,77858,79564,81780,84173,85339,87393,89948,91094,91761,92992,94304,94351,95040,95816,97184
"288","280","        Postal and delivery services (68)","DPSSRX0",11581,11574,11563,11739,11939,11978,12020,12024,12022,12063,12167,12386,12362,12222,12108,12328,12053,12005,11871,11900,12027,11928,11762,11788,11374,11244,11063,10714,10721,10801,10022,9690,9459,9315,9299,9437,9392,9187,9270,9455,9255,9240,9302,9246,9217,9024,8831,8800,8869,8988,8959,8779,8679,8268,8025,7929,7705,7589,7489,7359
"289","281","          First-class postal service (by U.S. Postal Service)","DPSTRX0",9248,9246,9245,9400,9566,9597,9643,9658,9680,9729,9815,9986,9909,9735,9606,9819,9579,9544,9407,9406,9487,9368,9209,9263,8916,8846,8724,8439,8496,8612,7881,7569,7345,7213,7216,7383,7385,7217,7314,7494,7278,7250,7308,7256,7233,7041,6849,6818,6890,7034,7047,6927,6905,6545,6333,6251,6028,5919,5826,5702
"290","282","          Other delivery services (by non-U.S. postal facilities)","DODSRX0",2295,2289,2274,2291,2321,2329,2321,2304,2272,2257,2274,2324,2395,2450,2476,2471,2443,2430,2442,2477,2528,2558,2556,2522,2459,2393,2329,2266,2207,2162,2136,2127,2128,2119,2097,2058,2006,1970,1955,1958,1976,1989,1995,1990,1985,1982,1981,1980,1976,1955,1915,1857,1786,1731,1697,1683,1676,1668,1661,1654
"291","283","        Internet access (72)","DINTRX0",1288,1576,1862,2148,2432,2667,2869,3128,3541,3557,3429,3745,4265,4706,5432,6298,7519,8717,10227,12238,14118,16042,17305,17853,17355,17570,17754,18490,19370,20707,21529,23220,24411,24697,25201,25909,26848,27703,28257,29075,29507,29723,30025,30298,30028,30795,34749,39533,45278,49709,52345,54438,54921,55117,55325,54564,55660,55215,54826,54741
"292","284","      Education services","DTEDRX0",152024,152676,153121,154118,155256,156589,158359,159327,160233,160951,162207,163633,165101,166022,166656,168209,169117,169783,170512,172041,173837,175443,177328,178708,179782,180471,179593,178500,176462,175371,175858,174474,174423,174763,174222,173488,172392,170898,169753,169887,170343,170112,170425,170807,171053,171436,171160,172594,173630,174569,175032,175796,176100,176764,177740,177632,178146,177791,177380,177769
"293","285","        Higher education (97)","DHEDRX0",93143,93261,92958,93131,93959,94975,95937,97802,98410,98420,99033,99963,101101,101918,102691,103608,104430,105073,105572,106977,108135,109363,110644,111509,112511,113291,113506,112519,111200,110655,111163,110698,110996,111328,110981,110782,109978,108926,108031,108246,108673,108549,109161,108967,109000,109435,109037,109619,109773,110089,110204,110802,111248,111722,112577,112667,113398,113698,113998,114255
"294","286","          Proprietary and public higher education","DGEDRX0",54781,54884,54870,54698,54747,55121,55376,55522,55978,56459,56981,57521,58039,58562,59110,59659,60190,60789,61498,62286,63095,63816,64435,64931,65288,65602,65909,66191,66451,66720,67052,67427,67759,67870,67806,67470,66797,66354,66135,66132,66276,66435,66587,66706,66789,66905,67089,67319,67563,67795,68053,68307,68439,68627,68826,69016,69187,69360,69559,69760
"295","287","          Nonprofit private higher education services to households","DPEDRX0",38363,38378,38090,38433,39213,39854,40562,42281,42433,41962,42052,42442,43062,43357,43581,43950,44240,44285,44074,44692,45041,45548,46210,46579,47225,47690,47599,46328,44750,43935,44111,43271,43238,43458,43175,43312,43180,42572,41896,42114,42398,42114,42574,42261,42210,42530,41948,42300,42210,42294,42151,42495,42809,43095,43750,43651,44211,44338,44439,44495
"296","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",34296,34253,34142,34250,34209,34187,34229,34128,33898,33667,33413,33107,32795,32599,32638,32733,32795,32776,32576,32565,32567,32482,32296,32630,32771,32770,32477,32406,32127,31976,32165,31797,31815,31914,31855,31811,31853,31923,31881,31766,31811,31775,31741,31799,31882,31887,31848,32339,32651,32866,33184,33083,32875,32814,32766,32755,32504,32172,31754,31528
"297","289","          Elementary and secondary schools","DESCRX0",27190,27064,27061,27240,27222,27188,27312,27069,26713,26368,26042,25769,25594,25436,25365,25369,25326,25265,25152,25145,25040,24936,24844,25038,25102,25027,24725,24619,24417,24307,24373,24170,24119,24162,24116,23985,23971,23999,23908,23862,23999,24034,23975,24020,24112,24080,23931,24155,24128,24043,24170,24075,23975,24030,24139,24074,23873,23663,23355,23162
"298","290","          Day care and nursery schools","DNSCRX0",7245,7313,7219,7162,7141,7151,7082,7199,7300,7391,7445,7407,7278,7239,7338,7422,7517,7553,7470,7466,7563,7578,7488,7624,7696,7763,7766,7796,7721,7681,7798,7638,7703,7757,7744,7827,7881,7923,7970,7903,7812,7741,7766,7779,7770,7806,7916,8184,8526,8830,9021,9017,8908,8790,8630,8685,8636,8512,8402,8370
"299","291","        Commercial and vocational schools (99)","DVEDRX0",24479,25042,25886,26602,26952,27290,28056,27263,27780,28719,29623,30437,31093,31401,31217,31764,31792,31839,32278,32430,33074,33554,34366,34544,34485,34412,33641,33593,33147,32753,32541,32001,31636,31543,31407,30912,30571,30048,29837,29872,29858,29788,29523,30043,30172,30114,30276,30642,31221,31635,31670,31935,31996,32248,32413,32217,32238,31892,31573,31937
"300","292","      Professional and other services (121)","DPRSRX0",127810,127489,127815,127895,129326,129737,130148,130696,129942,131830,132588,133880,135914,135698,136318,136463,139260,139391,139217,139311,139653,139556,140682,140589,141928,142748,143898,143334,142561,142384,142393,143897,147440,149091,148609,148408,147964,148197,149871,150720,151526,150113,148408,147692,147679,149617,150571,152028,153665,153446,152326,151516,150256,149452,148118,147317,146154,145608,146369,147062
"301","293","        Legal services","DGALRX0",74073,74212,74346,74794,76045,76342,76871,77405,77541,78132,78699,79251,80170,80219,80125,80632,81802,82191,81950,81931,81217,81633,82155,81971,83018,82745,84025,83854,83364,83490,83426,84360,87976,88695,87799,86777,87394,88139,89607,90820,90913,90133,89229,88548,88902,90781,91695,93336,94940,94371,93454,92907,91981,91642,90725,89804,88366,87985,88986,89446
"302","294","        Accounting and other business services","DPRORX0",16065,15870,15844,15774,16047,16275,16494,16649,16689,16804,17071,17468,18002,18484,18900,19264,19581,19871,20183,20480,20761,21028,21274,21495,21674,21831,22001,22167,22322,22501,22658,22793,22929,23079,23317,23658,24007,24302,24484,24547,24462,24351,24246,24105,23956,23951,24128,24494,25004,25368,25510,25424,25130,24881,24730,24687,24643,24562,24507,24473
"303","295","          Tax preparation and other related services","DTAPRX0",12225,11920,11764,11546,11745,11806,11852,11821,11680,11594,11684,11949,12351,12745,13097,13399,13647,13877,14100,14306,14498,14716,14974,15270,15587,15889,16172,16431,16660,16853,17015,17140,17234,17380,17622,17938,18266,18530,18676,18697,18593,18451,18289,18100,17943,17936,18097,18424,18876,19228,19437,19489,19377,19297,19263,19272,19290,19304,19326,19348
"304","296","          Employment agency services","DGENRX0",1103,1036,996,964,897,867,843,814,835,896,936,936,940,920,895,887,900,899,908,908,905,902,890,869,831,781,741,704,668,672,669,664,682,664,636,640,654,684,733,801,860,918,981,1017,1042,1076,1114,1168,1242,1292,1289,1238,1170,1082,1012,977,953,910,888,886
"305","297","          Other personal business services","DTHERX0",2703,2879,3044,3215,3374,3570,3764,3972,4112,4227,4351,4483,4617,4734,4832,4908,4964,5028,5107,5198,5292,5346,5351,5306,5217,5134,5069,5020,4989,4971,4971,4986,5011,5034,5060,5083,5090,5091,5078,5050,5008,4982,4976,4990,4974,4944,4922,4907,4892,4852,4785,4689,4568,4478,4423,4401,4359,4298,4240,4183
"306","298","        Labor organization dues","DUNSRX0",14057,13950,13984,13898,13954,13972,14020,13772,13959,14224,14086,14074,13729,13430,13244,13077,13027,12997,12832,12661,12651,12528,12225,12081,11775,11673,11572,11321,11203,11106,10997,10990,11061,11193,11246,11250,11028,10931,11115,10964,10743,10808,10554,10656,10788,10712,10707,10661,10694,10763,10764,10771,10815,10969,11258,11563,11582,11487,11604,11736
"307","299","        Professional association dues","DAXSRX0",4828,4900,4931,4942,4890,4799,4786,4821,4881,4922,4935,5031,5085,5090,5110,5177,5232,5355,5409,5507,5529,5549,5603,5711,5819,5832,5923,5969,6011,6110,6147,6137,6088,6026,6023,6047,6025,5962,5943,5853,5810,5768,5669,5778,5784,5900,6004,5987,6037,6054,6006,5985,5832,5716,5614,5522,5649,5791,5849,5807
"308","300","        Funeral and burial services","DFUNRX0",18531,18317,18465,18264,18192,18156,17806,17909,16783,17607,17673,17933,18801,18385,18832,18251,19521,18912,18787,18686,19419,18762,19368,19276,19601,20622,20346,20002,19641,19165,19153,19607,19382,20091,20215,20661,19504,18863,18724,18541,19599,19054,18711,18604,18248,18278,18045,17557,17000,16900,16603,16440,16508,16267,15837,15803,15967,15838,15501,15679
"309","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",73701,74416,75163,75973,76417,76704,76967,77787,78963,80103,81308,82533,83718,84810,85830,86737,87531,88479,89679,91082,92539,93537,93965,93784,93094,92644,92616,92992,93699,94362,94966,95480,95928,96721,98077,99884,101814,103535,104767,105477,105674,105814,106004,106209,106938,107946,108993,110039,111005,111670,112040,112052,111595,111334,111276,111390,111367,111243,111159,111078
"310","302","        Personal care services","DPCSRX0",57073,57712,58413,59214,59839,60067,60171,60723,61419,62157,63063,64106,65215,66235,67155,67941,68606,69433,70512,71807,73187,74190,74716,74730,74319,74116,74275,74782,75583,76394,77208,78000,78779,79851,81393,83318,85340,87120,88410,89185,89451,89607,89748,89840,90507,91474,92452,93408,94285,94941,95393,95586,95406,95352,95416,95571,95640,95653,95701,95749
"311","303","          Hairdressing salons and personal grooming establishments","DBBBRX0",29383,29673,29941,30262,30103,30152,30139,30555,31387,32187,32848,33345,33670,33951,34216,34448,34652,34939,35352,35872,36443,36875,37130,37193,37096,37101,37273,37605,38063,38459,38782,39017,39182,39497,40065,40842,41707,42585,43381,44085,44632,44893,44840,44450,45008,45899,46479,46717,46654,46590,46620,46721,46804,46935,47073,47204,47320,47439,47575,47712
"312","304","          Miscellaneous personal care services","DMPCRX0",27670,28018,28450,28928,29705,29884,30001,30138,30002,29937,30181,30726,31512,32253,32910,33467,33933,34476,35146,35924,36738,37311,37581,37530,37213,37002,36986,37159,37502,37917,38409,38970,39590,40352,41331,42482,43639,44541,45034,45103,44818,44715,44909,45389,45498,45577,45977,46690,47624,48337,48755,48846,48587,48406,48337,48365,48322,48224,48144,48064
"313","305","        Clothing and footwear services","DCFSRX0",16602,16681,16730,16743,16569,16627,16784,17050,17527,17926,18224,18408,18485,18559,18661,18783,18911,19033,19154,19264,19342,19336,19239,19043,18765,18517,18330,18199,18105,17957,17748,17472,17142,16865,16679,16562,16472,16414,16356,16292,16223,16207,16256,16369,16431,16472,16541,16631,16720,16728,16647,16467,16189,15983,15862,15821,15729,15593,15463,15335
"314","306","          Laundry and drycleaning services","DDRYRX0",7884,7928,7965,7998,7965,8037,8147,8287,8541,8774,8949,9056,9099,9141,9197,9263,9332,9400,9470,9535,9586,9596,9559,9473,9346,9234,9150,9093,9051,8963,8822,8626,8392,8228,8161,8180,8252,8325,8369,8382,8368,8381,8435,8526,8639,8736,8810,8858,8875,8853,8796,8700,8562,8462,8403,8385,8341,8275,8212,8150
"315","307","          Clothing repair, rental, and alterations","DLGRRX0",8054,8094,8110,8103,7979,7972,8032,8173,8409,8585,8714,8791,8822,8850,8891,8941,8995,9047,9101,9152,9189,9185,9135,9036,8895,8767,8668,8594,8541,8482,8418,8346,8259,8152,8035,7898,7731,7600,7500,7431,7386,7357,7343,7342,7301,7265,7268,7307,7369,7391,7362,7279,7146,7045,6985,6964,6918,6851,6787,6723
"316","308","          Repair and hire of footwear","DSCLRX0",685,680,675,661,642,634,620,604,590,579,573,572,575,579,583,589,594,595,593,586,575,564,553,542,531,523,519,518,519,519,516,510,502,495,493,492,493,492,487,478,469,468,479,501,492,473,465,467,478,486,489,488,482,477,475,474,472,469,466,463
"317","309","      Social services and religious activities (120)","DSOCRX0",78880,79366,79376,79685,79840,80731,81364,82183,82502,82928,83739,84548,85695,87203,89030,90177,91604,92477,93610,95031,96410,97989,99226,101349,103915,105438,107281,108123,109029,110177,110974,112186,112502,113517,114811,116101,117007,117382,118717,117833,118056,118970,118093,119690,120932,121072,122278,123020,124972,126958,128313,129314,129962,131144,131849,132746,133266,133715,133946,135044
"318","310","        Child care","DCHCRX0",22720,22800,22389,22090,21917,21829,21508,21716,21830,21973,22132,21974,21695,21660,21989,22135,22593,22672,22577,22674,22826,22884,22846,23273,23529,23631,23918,23785,23799,23837,23827,23881,23836,23876,24080,24337,24175,24308,24474,24061,24147,24093,23853,24106,24109,24165,24505,25098,26274,27088,27714,27980,27802,27898,27672,27549,27954,27877,27706,28156
"319","311","        Social assistance","DSCWRX0",36187,36513,36812,37288,37465,38192,39015,39491,39914,40256,40854,41660,42684,44005,45523,46605,47763,48850,50140,51600,53023,54619,56045,57927,60335,61938,63643,64967,66119,67331,68170,69084,69243,69985,70854,71654,72760,73051,74027,73727,73938,74771,74190,75163,76039,75929,76549,76510,77023,77974,78584,79390,80172,81052,81822,82610,83010,83599,84156,85015
"320","312","          Homes for the elderly","DELDRX0",7276,7294,7334,7415,7437,7568,7652,7520,7452,7492,7613,7805,8049,8311,8520,8752,8958,9181,9420,9636,9857,10144,10389,10732,11249,11527,11771,11952,12210,12363,12419,12489,12442,12453,12561,12620,12713,12681,12885,12982,13117,13363,13317,13307,13495,13584,13633,13547,13496,13541,13514,13714,13924,14118,14209,14254,14412,14637,14815,14936
"321","313","          Residential mental health and substance abuse","DMENRX0",2419,2436,2453,2483,2494,2541,2586,2591,2521,2516,2642,2920,3370,3869,4317,4721,5036,5367,5787,6226,6688,7172,7653,8128,8687,9212,9794,10399,10948,11424,11767,11976,11956,12041,12087,12210,12413,12401,12625,12666,12691,12817,12656,12716,12733,12699,12752,12732,12826,13004,13145,13432,13735,13957,14145,14311,14299,14430,14620,14827
"322","314","          Individual and family services","DFAMRX0",17266,17458,17617,17855,17949,18308,18763,19166,19582,19785,19915,20144,20245,20478,20891,21260,21612,21903,22275,22640,23005,23507,23943,24516,25357,25882,26412,26730,26863,27109,27244,27520,27674,28177,28702,29249,29893,30017,30259,29468,29162,29231,28917,29838,30614,30814,31421,31683,32311,32985,33380,33764,33848,34141,34591,35070,35157,35334,35632,36117
"323","315","          Vocational rehabilitation services","DVOCRX0",4445,4490,4529,4589,4612,4703,4814,4898,4964,5004,5148,5131,5207,5350,5627,5508,5611,5683,5733,5987,6147,6234,6254,6468,6566,6612,6693,6637,6630,6684,6772,6926,7108,7242,7326,7409,7477,7596,7767,7947,8061,8189,8193,8166,8049,7899,7809,7656,7575,7569,7570,7571,7700,7789,7851,7857,8013,8133,8227,8304
"324","316","          Community food and housing/emergency/other relief services","DCFORX0",1644,1662,1678,1700,1710,1744,1788,1828,1847,1861,1895,1976,2079,2197,2321,2433,2548,2646,2745,2858,2990,3119,3232,3384,3577,3669,3782,3913,3991,4128,4250,4385,4305,4305,4404,4393,4467,4560,4672,4875,5078,5293,5305,5323,5307,5133,5119,5058,4969,4972,5048,5034,5127,5234,5264,5361,5419,5420,5262,5147
"325","317","          Other social assistance, not elsewere classified","DSIARX0",3041,3075,3103,3145,3161,3224,3305,3377,3431,3478,3523,3569,3629,3705,3757,3845,3916,3993,4107,4187,4276,4389,4524,4655,4860,5001,5162,5317,5467,5620,5721,5793,5759,5761,5770,5766,5791,5789,5813,5789,5828,5879,5802,5812,5841,5800,5814,5833,5848,5907,5930,5878,5841,5816,5764,5758,5710,5643,5599,5684
"326","318","        Social advocacy and civic and social organizations","DSADRX0",14108,14175,14214,14225,14209,14375,14347,14384,14153,14093,14141,14261,14611,14808,14801,14743,14616,14365,14328,14238,14103,14076,13970,13846,13791,13670,13595,13317,13134,13092,13097,13356,13561,13781,13968,14158,14075,14000,14190,14044,14019,14183,14127,14470,14828,15015,15230,15353,15524,15669,15715,15590,15612,15792,15942,16172,15852,15794,15647,15410
"327","319","        Religious organizations' services to households","DRELRX0",5561,5580,5629,5715,5894,5949,6016,6089,6034,5981,5960,5969,5997,6017,6024,6013,5985,5949,5908,5861,5805,5756,5719,5691,5668,5639,5602,5558,5507,5463,5434,5416,5407,5409,5428,5459,5486,5505,5503,5480,5438,5410,5404,5418,5407,5394,5404,5435,5483,5536,5594,5656,5709,5758,5797,5824,5843,5862,5884,5905
"328","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1220,1205,1167,1139,1103,1084,1102,1133,1204,1264,1284,1263,1207,1153,1108,1071,1040,1010,980,948,915,875,828,775,719,663,612,562,518,488,471,466,470,478,488,501,513,522,524,521,513,512,519,534,555,576,596,616,633,642,642,632,613,598,589,585,578,568,559,550
"329","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",46944,47486,48006,47893,47514,47867,48131,48134,49268,50167,51216,52371,53925,55245,55954,56115,55363,54662,54568,54915,56647,56662,56305,55552,54865,54073,52985,51681,51274,51382,51380,51377,52056,52334,52858,53579,54544,55411,56025,56573,56635,56826,57179,57406,57620,57886,58435,58777,59890,60728,61254,61166,60424,60016,59794,59870,59918,59961,60018,60055
"330","322","        Domestic services","DDMSRX0",20501,20739,20858,20877,20870,20742,20481,20204,20714,21146,21696,22338,23359,24229,24551,24399,23425,22509,22171,22267,23767,23749,23562,23193,23064,22803,22175,21267,21191,21580,21811,22005,22828,23059,23269,23439,23711,23912,23984,24133,23940,23879,23957,23902,24193,24533,24911,24853,25412,25897,26333,26442,26177,26120,26094,26223,26377,26584,26792,26979
"331","323","        Moving, storage, and freight services","DMSERX0",11749,11948,12229,12226,12055,12381,12756,13023,13562,13960,14280,14507,14711,14836,14974,15120,15268,15443,15659,15908,16154,16247,16155,15871,15422,14964,14531,14118,13732,13431,13230,13123,13112,13251,13572,14067,14682,15252,15712,16045,16261,16483,16736,17010,17017,16997,17126,17399,17763,17980,18001,17814,17438,17150,16978,16913,16818,16680,16550,16421
"332","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2729,2685,2636,2581,2534,2492,2446,2399,2354,2338,2347,2379,2427,2457,2460,2436,2387,2337,2293,2254,2214,2161,2092,2005,1908,1820,1743,1676,1620,1579,1552,1539,1535,1523,1501,1469,1426,1398,1384,1384,1394,1402,1404,1400,1387,1370,1352,1333,1311,1284,1254,1221,1184,1157,1139,1132,1120,1101,1084,1067
"333","325","        Repair of household appliances","DERERX0",3676,3849,3966,4014,4021,4195,4396,4568,4720,4794,4854,4897,4919,4929,4929,4917,4892,4865,4840,4815,4786,4741,4681,4603,4512,4425,4348,4277,4216,4177,4165,4179,4210,4238,4263,4278,4276,4270,4255,4228,4195,4188,4214,4274,4364,4444,4505,4544,4560,4561,4551,4529,4490,4463,4450,4449,4439,4422,4407,4392
"334","326","        Other household services","DMHSRX0",8450,8429,8481,8356,8194,8225,8234,8133,8097,8096,8197,8401,8646,8919,9158,9358,9513,9634,9725,9778,9797,9822,9865,9923,9994,10091,10219,10378,10547,10641,10645,10552,10386,10274,10259,10327,10445,10575,10688,10781,10846,10875,10868,10819,10659,10543,10543,10656,10856,11019,11122,11160,11125,11104,11101,11114,11117,11111,11109,11108
