"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"271","263","Q1LOT1 D         Lotteries","Q1LOT10",11249,11245,11172,11073,10978,10972,11063,11228,11514,11658,11882,12110,12445,12612,12808,13053,13346,13634,13963,14311,14572,14722,14875,15021,15093,15199,15333,15466,15351,15268,15192,15143,15179,15210,15238,15264,15214,15161,15076,14974,14732,14661,14588,14519,14438,14406,14406,14439,14552,14613,14661,14693,14734,14793,14858,14913,14969
"272","264","Q1VID1 D         Video cassette rental","Q1VID10",5024,5242,5411,5495,5426,5349,5409,5573,5729,5808,5956,6135,6326,6482,6673,6894,7196,7409,7578,7693,7897,7932,7920,7860,7641,7586,7550,7531,7508,7593,7737,7937,8297,8460,8636,8820,9096,9231,9370,9507,9806,9750,9688,9630,9388,9363,10106,9419,9662,9867,10134,10431,10738,11040,11354,11669,11994
"273","265","Q1NEC1 D         Commercial amusements n.e.c.","Q1NEC10",20812,21114,21352,21539,21304,21213,21269,21495,23236,24290,24999,25392,24987,24805,24532,24232,23979,24265,24656,25026,25312,26672,26826,26928,27320,27468,27526,27604,29083,29171,28911,28958,30102,30693,31368,31967,32670,33423,34187,35234,35943,36751,37446,38164,38908,39559,39956,40473,41047,41521,42024,42546,43296,44175,44633,45129,45420
"274","266","Q1ISP1 D           Internet service providers","Q1ISP10",50,61,74,95,120,141,162,181,212,238,262,285,293,327,387,472,593,716,883,1102,1297,1587,1875,2163,2448,2685,2889,3149,3630,3648,3456,3646,3947,4140,4560,5051,5785,6372,7035,7895,8460,9183,9807,10474,11240,11854,12171,12579,12996,13355,13742,14156,14808,15581,15905,16289,16458
"275","267","Q1NIS1 D           Commercial amusements n.e.c. except internet service providers","Q1NIS10",21481,21772,21993,22146,21857,21725,21747,21949,23702,24750,25446,25816,25386,25147,24781,24356,23939,24080,24280,24408,24484,25555,25394,25186,25280,25174,25008,24800,25788,25857,25804,25638,26476,26869,27081,27136,27024,27141,27202,27365,27494,27566,27633,27689,27676,27725,27808,27918,28084,28209,28337,28456,28576,28713,28859,28988,29118
"276","268","Q1OSR1 B   Other","Q1OSR10",616952,622930,626789,620839,625815,632853,632058,634366,644847,647941,656426,663624,669716,674985,684227,694689,699144,693790,695777,696032,698936,705321,704252,709389,724429,726198,738826,733179,747974,755702,772313,782623,796822,815334,834385,841168,855508,870936,882174,901859,934050,934873,953167,961671,950755,964764,963355,974328,974101,983352,991714,983475,976560,979710,984326,992726,1009460
"277","269","Q1PER1 C     Personal care","Q1PER10",61484,62301,61931,60776,58396,57254,56732,56845,60194,62246,63511,63696,63202,63208,63328,63567,63826,64594,65750,67231,68409,69056,69671,70240,70474,70892,71496,72352,73587,74498,75465,76451,78162,79070,79989,80905,82194,82976,83865,84824,86665,86999,87201,87251,86858,86780,86759,86814,87052,87231,87425,87629,87864,88122,88416,88663,88920
"278","270","Q1CRC1 C       Cleaning, storage, and repair of clothing and shoes (17)","Q1CRC10",14272,14361,14248,13991,13553,13278,13127,13135,13294,13438,13488,13418,13211,13139,13073,13026,12975,13012,13130,13305,13523,13583,13611,13612,13444,13488,13623,13854,14264,14444,14568,14629,14770,14902,15040,15175,15322,15403,15494,15588,15868,15801,15704,15575,15377,15213,15047,14882,14716,14566,14424,14290,14157,14019,13886,13747,13609
"279","271","Q1SCL1 D         Shoe repair","Q1SCL10",800,812,811,799,778,778,766,761,763,763,761,755,740,727,708,685,648,624,605,593,591,587,581,571,555,546,538,530,525,516,504,488,458,448,443,444,453,457,457,453,441,432,424,417,411,405,399,394,390,386,381,377,373,369,365,361,357
"280","272","Q1LAU1 D         Cleaning, laundering, and garment repair","Q1LAU10",13469,13546,13434,13188,12771,12496,12358,12370,12527,12672,12725,12661,12469,12410,12363,12340,12327,12388,12524,12713,12932,12996,13031,13042,12889,12942,13086,13324,13739,13928,14065,14141,14313,14455,14597,14732,14869,14946,15038,15136,15428,15369,15280,15159,14967,14809,14648,14488,14327,14181,14043,13913,13784,13650,13521,13386,13252
"281","273","Q1DRY1 D           Drycleaning","Q1DRY10",5289,5153,5061,5052,5085,5154,5324,5558,6102,6425,6633,6682,6477,6429,6404,6411,6491,6562,6667,6795,6835,6874,6906,6934,6906,6969,7063,7186,7509,7646,7725,7745,7854,7927,7996,8061,8120,8147,8180,8216,8338,8298,8247,8181,8093,8007,7913,7816,7705,7612,7525,7446,7365,7280,7198,7113,7029
"282","274","Q1LGR1 D           Laundry and garment repair","Q1LGR10",8193,8407,8387,8149,7698,7353,7043,6819,6430,6250,6093,5980,5994,5982,5961,5930,5837,5826,5858,5918,6097,6123,6126,6108,5984,5974,6022,6139,6230,6282,6338,6396,6458,6528,6600,6671,6749,6799,6857,6920,7090,7071,7034,6977,6874,6802,6734,6672,6622,6568,6517,6467,6418,6369,6323,6272,6223
"283","275","Q1BBB1 C       Barbershops, beauty parlors, and health clubs (22)","Q1BBB10",27428,27462,27436,27407,27311,27311,27543,27840,29325,30136,30561,30507,29717,29474,29313,29216,29264,29452,29752,30172,30977,31261,31476,31620,31333,31559,31920,32413,33390,33936,34462,34939,35549,35852,36121,36352,36556,36783,37068,37406,38099,38302,38458,38565,38441,38586,38835,39198,39818,40314,40805,41280,41788,42336,42905,43455,44013
"284","276","Q1BEA1 D         Beauty shops, including combination","Q1BEA10",25161,25181,25154,25134,25068,25073,25316,25604,27083,27902,28348,28327,27550,27311,27152,27051,27099,27274,27550,27944,28757,29051,29277,29432,29184,29395,29717,30149,30992,31478,31966,32433,33100,33414,33688,33913,34067,34278,34551,34881,35569,35780,35939,36046,35915,36056,36301,36660,37279,37771,38259,38730,39233,39778,40342,40889,41444
"285","277","Q1BAR1 D         Barber shops","Q1BAR10",2275,2290,2290,2282,2252,2246,2234,2242,2245,2235,2212,2179,2167,2164,2162,2167,2167,2180,2203,2229,2221,2210,2199,2188,2149,2164,2202,2264,2398,2458,2496,2505,2449,2437,2433,2439,2489,2505,2517,2525,2529,2522,2519,2519,2526,2530,2534,2537,2538,2542,2546,2550,2554,2558,2563,2566,2569
"286","278","Q1COT1 C       Other (19)","Q1COT10",19794,20475,20248,19398,17590,16745,16165,15986,17694,18786,19569,19870,20342,20650,20984,21356,21615,22149,22876,23747,23918,24221,24590,25008,25684,25833,25944,26080,25941,26128,26449,26898,27854,28326,28835,29382,30316,30790,31303,31829,32698,32896,33040,33111,33040,32981,32878,32739,32528,32367,32216,32082,31947,31798,31659,31501,31346
"287","279","Q1WCR1 D         Watch, clock, and jewelry repair","Q1WCR10",1184,1178,1168,1153,1128,1116,1105,1097,1088,1084,1085,1092,1102,1108,1113,1122,1122,1139,1165,1200,1272,1301,1328,1352,1354,1385,1429,1487,1526,1546,1564,1579,1675,1703,1724,1739,1753,1759,1768,1779,1803,1801,1800,1798,1800,1790,1773,1750,1714,1686,1660,1635,1609,1583,1557,1531,1505
"288","280","Q1CRP1 D         Miscellaneous personal services","Q1CRP10",18604,19293,19076,18241,16456,15623,15053,14883,16601,17699,18483,18777,19240,19543,19871,20234,20493,21012,21712,22549,22648,22921,23262,23656,24332,24449,24514,24592,24415,24582,24884,25318,26180,26622,27111,27643,28563,29030,29535,30051,30895,31095,31239,31312,31240,31191,31105,30988,30814,30681,30556,30447,30337,30215,30102,29971,29841
"289","281","Q1PBU1 C     Personal business","Q1PBU10",327168,329141,330774,332942,340613,350268,351163,353993,357988,355934,358543,363142,373201,378387,382894,389514,390388,382269,379352,378501,379924,385870,389466,392582,399466,401256,401860,406739,416081,420674,432238,436394,439796,451527,459484,464870,478924,490466,497900,513960,536537,531761,541966,546128,538845,540602,536521,543254,542489,548834,556214,550516,542074,550187,556689,567487,578754
"290","282","Q1BRO1 C       Brokerage charges and investment counseling (61)","Q1BRO10",12340,12455,12284,12066,13000,14588,14269,15172,17106,15727,16389,17866,19992,20053,21579,24028,25344,23377,23350,24347,25079,27379,29437,30533,33455,34260,33351,35644,37898,38728,44134,44557,46054,52388,56791,57247,64280,70794,73540,86963,101168,99005,101474,100677,91039,87605,82843,87108,84054,87285,91911,87064,78853,88261,91906,94063,102100
"291","283","Q1EQT1 D         Equities commissions including imputed","Q1EQT10",2507,2603,2508,2334,2894,3381,3194,3531,4100,3471,3668,4354,5120,5085,5595,6741,7172,6303,6322,6764,7245,8398,9442,10012,10946,11297,10771,11862,12795,12789,15475,15310,15901,19275,22547,23001,27339,31164,31757,41915,51751,51177,54163,55008,47305,46633,44083,46079,42467,45985,50928,45387,37563,47351,49774,50842,57954
"292","284","Q1MUT1 D         Broker charges on mutual fund sales","Q1MUT10",1986,2038,1977,1954,2127,2573,2732,3120,3423,3448,3643,3831,4043,4223,4722,4828,4889,3999,3731,3562,3402,3973,4240,4305,4902,5178,4934,5281,5388,5703,6626,6966,6932,7551,7649,7585,7751,8282,8099,9201,11023,9824,9744,9423,8614,8640,8131,9464,8331,8679,9069,8914,7744,8628,9535,9540,10357
"293","285","Q1TDS1 D         Trading profits on debt securities","Q1TDS10",1956,1889,1680,2019,2006,1872,1830,1813,2184,2146,2254,2117,2151,1713,1562,1271,1807,1679,1923,2097,2292,2120,1880,1927,2499,2044,1980,2056,2154,1960,1750,1571,1365,1368,1333,1115,1146,1088,1072,1165,1315,1233,1132,1305,1621,1330,1414,1719,1668,1372,1280,1035,1021,1062,1014,952,1169
"294","286","Q1TSC1 D         Trust services of commercial banks","Q1TSC10",2492,2482,2458,2432,2512,2597,2674,2736,2758,2713,2639,2540,2774,2518,2355,2257,2454,2501,2511,2490,2457,2454,2448,2440,2395,2359,2337,2324,2290,2407,2500,2444,2540,2563,2390,2465,2613,2678,2602,2693,2657,2603,2610,2564,2678,2672,2506,2578,2663,2638,2552,2580,2626,2622,2618,2612,2607
"295","287","Q1IAS1 D         Investment advisory services of brokers","Q1IAS10",2670,2640,2564,2457,2561,2753,2828,2804,3054,3204,3381,3425,3738,4003,4200,4769,4923,4783,4811,4937,4816,4828,5315,5515,5740,6171,6290,6533,6817,7309,8035,8831,8940,9940,9355,8893,9559,10429,12201,13259,13988,13815,13951,13207,12731,11593,10884,11214,11448,11120,10808,10171,10006,10102,10585,11141,11279
"296","288","Q1CMD1 D         Commodities revenue","Q1CMD10",1956,1656,1902,2150,1162,1405,1275,1057,1537,1371,1420,1426,1521,1589,1785,1719,1760,1999,1756,2057,2099,2076,1836,1700,2448,2000,1734,1567,2090,2190,2261,2123,2504,2438,2537,2336,2500,2412,2391,2024,2698,2415,2072,2396,2998,2951,2919,3406,3693,4024,4662,5300,5119,5353,5747,6126,6070
"297","289","Q1SAX1 D         Investment counseling services","Q1SAX10",5173,5368,5550,5570,5638,5668,5655,5667,5703,5697,5743,5784,6110,6360,6685,7078,7340,7733,8163,8227,8160,8236,8441,8583,8911,9406,9875,10335,10606,11029,11190,11402,11839,12440,13055,13689,14645,15674,16707,17246,17627,17832,17822,16969,14961,13890,13014,12766,13266,13481,13427,13667,13706,13463,13226,13423,14024
"298","290","Q1BNK1 C       Bank service charges, trust services, and safe deposit box rental (62)","Q1BNK10",46658,45907,45183,45878,46786,47402,47956,48474,49969,49046,49081,48992,49235,50545,50540,50881,49623,48046,49441,48561,47913,48504,49660,48872,48996,48843,49997,49134,48184,48689,50476,51071,51313,53184,54676,58257,58208,60839,63673,63778,64228,62798,64694,65256,66792,68000,66277,68087,69797,72450,74012,73660,74838,75166,75301,79014,81731
"299","291","Q1DAB1 D         Commercial bank service charges on deposit accounts","Q1DAB10",14755,14336,14224,14744,15188,15128,15297,15647,16373,15817,16335,16491,16185,16285,16162,16021,15663,15276,15353,15059,14983,14931,14992,14623,14471,14531,14647,14625,14421,14647,14988,15569,15370,15432,15311,15833,16197,16724,17184,16915,17046,17427,17785,18508,18121,19105,18949,19564,20071,20582,21152,21203,21542,21877,22631,22482,22160
"300","292","Q1FDB1 D         Commercial bank fees on fiduciary accounts","Q1FDB10",13538,13310,12730,13107,13931,14288,13844,14113,14746,14558,14003,13570,13279,13277,13084,13257,13312,12950,13848,13057,12732,12946,13486,13161,13020,12175,13144,11943,12566,12689,13307,12926,12732,13290,13056,14095,13810,14811,14662,13249,14604,14104,13890,13124,14406,14281,13184,13852,13763,14360,13934,13665,13598,13516,13437,13351,13266
"301","293","Q1OFB1 D         Commercial bank other fee income","Q1OFB10",11633,11582,11484,11371,11050,11348,11876,11783,12117,12002,11878,11901,12551,13410,13662,13946,13513,12810,13163,13259,12984,13127,13369,13087,13315,13494,13171,13195,11812,11550,12006,12016,12406,13453,15083,16878,16430,17254,19382,20679,19082,17277,18504,18556,18580,18419,17483,17709,18781,20266,21700,21816,22867,23005,22529,26521,29715
"302","294","Q1OBB1 D         Charges and fees of other depository institutions","Q1OBB10",7229,7164,7113,7087,7241,7330,7422,7462,7346,7299,7309,7345,7435,7698,7711,7760,7330,7216,7419,7386,7375,7677,8050,8205,8349,8641,9152,9337,9474,9893,10283,10629,10857,11063,11269,11498,11808,12109,12466,12893,13493,13990,14520,15068,15715,16191,16598,16913,17108,17171,17083,16810,16628,16552,16482,16402,16322
"303","295","Q1IMP1 C       Services furnished without payment by financial intermediaries except life insurance carriers (63)","Q1IMP10",113061,114673,116566,118538,118245,121976,124406,125788,125750,126668,127753,128924,130004,130770,131499,132258,133815,133946,133125,132044,129777,129374,128996,130722,133153,135151,137201,138755,140770,142554,144138,145160,146827,148949,151469,154208,157559,158743,159559,159932,163180,162489,169405,173817,175484,178967,182164,185505,188353,190194,191607,192378,192781,193345,198219,203278,206219
"304","296","Q1IMC1 D         Commercial banks","Q1IMC10",56041,57911,59967,62141,64814,66720,68263,69420,69614,70381,71149,71908,73241,73516,73327,72682,71285,70113,68912,67783,66293,65864,65996,66654,68698,69575,70131,70307,69691,69334,68884,68396,67498,67318,67435,67810,69701,69621,68898,67627,63842,63291,63970,65901,71465,73947,76226,78304,80179,81853,83324,84593,86028,87636,89301,90941,92612
"305","297","Q1IMN1 D         Other financial institutions","Q1IMN10",58610,58319,58081,57866,54819,56693,57603,57831,57574,57722,58048,58480,58244,58770,59692,61021,63788,64988,65322,65338,64482,64474,63990,65039,65568,66683,68115,69416,71874,73914,75838,77268,79744,81985,84332,86672,88152,89390,90875,92429,99404,99243,105418,107823,103952,104842,105588,106696,107604,107609,107356,106597,105250,104001,107211,110650,111850
"306","298","Q1LIF1 C       Expense of handling life insurance and pension plans (64)","Q1LIF10",85101,85439,86449,87761,95759,97978,96444,94090,91666,91675,90885,91484,96953,100560,101401,102327,99750,96699,92276,91671,95757,98102,97020,97084,95305,93417,92034,91963,97416,97279,96574,97918,95220,94638,91973,90667,90796,90711,91565,92400,96746,96773,95429,95363,93027,92366,91741,89769,88393,87354,88147,87523,85625,85182,84672,85609,85494
"307","299","Q1GAL1 C       Legal services (65)","Q1GAL10",62262,62579,62374,61757,60385,60048,59885,60335,60759,61797,61992,61841,61118,61043,60934,60740,60739,60443,60045,59546,58590,58697,58799,59144,60124,60349,60763,61179,61324,61787,62199,62561,62996,63247,63493,63704,64091,64225,64264,64226,63687,63759,63893,64078,64549,64624,64613,64483,64197,63777,63238,62554,61950,61445,60962,60446,59935
"308","300","Q1FUN1 C       Funeral and burial expenses (66)","Q1FUN10",15133,14935,14978,14793,14660,14888,14946,15347,15427,15311,15753,15596,15682,15661,15399,15335,15472,14566,15141,14753,15181,15005,15127,14962,14903,14873,14587,14671,14116,14450,14423,14365,15396,14545,14755,14099,14864,14410,14235,14167,14302,13775,14005,13825,13845,14431,14078,14015,13342,13545,12874,12466,12154,12154,12154,12154,12154
"309","301","Q1PBO1 C       Other (67)","Q1PBO10",23894,24273,24420,24399,24191,24449,24733,24937,24944,24987,25128,25222,25672,26205,26508,26674,26784,27104,27404,27866,27723,27699,27832,27885,28236,28376,28589,28699,29142,29710,30098,30674,31068,31300,31579,31873,32486,32855,32964,33095,33017,33138,33130,33275,33734,33978,33781,33712,33428,33752,34619,34442,34459,34539,34189,34043,33310
"310","302","Q1UNS1 D         Labor union expenses","Q1UNS10",8754,8913,8969,9065,9049,9281,9459,9560,9651,9639,9610,9590,9660,9835,9784,9714,9710,9820,9931,10139,10092,10057,10108,10085,10166,10220,10293,10184,10311,10482,10453,10613,10594,10592,10641,10669,10758,10817,10780,10809,10959,11022,10945,10933,11080,11173,10932,10840,10618,10821,11587,11389,11337,11448,11033,10985,10494
"311","303","Q1ASS1 D         Profession association expenses","Q1ASS10",3521,3675,3791,3753,3791,3831,3846,3817,3823,3845,3959,4004,4042,4098,4198,4243,4209,4238,4243,4327,4517,4626,4687,4657,4595,4555,4550,4614,4715,4772,4858,4938,4965,4955,4976,5033,5098,5238,5299,5350,5324,5337,5402,5506,5704,5843,5857,5868,5854,5850,5814,5753,5859,5893,5971,5803,5521
"312","304","Q1GEN1 D         Employment agency fees","Q1GEN10",2962,3016,2962,2806,2536,2343,2252,2253,2193,2197,2214,2231,2093,2068,2013,1922,1908,1831,1809,1781,1810,1744,1720,1707,1628,1620,1625,1627,1808,1902,1981,2056,2173,2230,2277,2322,2402,2430,2477,2559,2604,2672,2685,2726,2771,2730,2697,2645,2549,2658,2798,2910,2970,2899,2864,2922,2930
"313","305","Q1AMO1 D         Money orders","Q1AMO10",779,797,810,813,804,798,808,817,835,841,852,862,876,890,910,936,943,981,1002,1034,1094,1153,1213,1267,1329,1329,1321,1319,1328,1356,1393,1437,1479,1540,1602,1663,1744,1787,1823,1851,1889,1887,1892,1903,1913,1940,1975,2016,2064,2117,2175,2236,2298,2359,2424,2488,2555
"314","306","Q1CLA1 D         Classified ads","Q1CLA10",1260,1241,1199,1150,1075,1043,1018,1005,997,1000,996,991,977,977,978,987,996,1030,1040,1049,1058,1067,1076,1085,1092,1104,1118,1134,1161,1174,1187,1197,1208,1212,1216,1219,1212,1219,1227,1234,1279,1262,1221,1163,1030,999,988,996,1011,1024,1039,1055,980,974,969,964,959
"315","307","Q1ACC1 D         Tax return preparation services","Q1ACC10",4161,4035,4024,4133,4335,4520,4654,4699,4601,4561,4565,4594,4944,5172,5397,5607,5744,5895,6017,6109,5546,5370,5278,5284,5640,5715,5778,5838,5700,5782,5883,6007,6183,6272,6339,6417,6639,6711,6741,6769,6744,6838,6937,7041,7183,7289,7392,7488,7571,7644,7707,7757,7814,7880,7950,8015,8080
"316","308","Q1THE1 D         Personal business services, n.e.c.","Q1THE10",2328,2411,2455,2479,2427,2469,2544,2638,2678,2734,2753,2772,2959,3066,3160,3233,3262,3320,3384,3457,3579,3650,3711,3768,3789,3847,3922,4009,4123,4240,4343,4426,4469,4503,4532,4554,4639,4658,4621,4526,4218,4120,4049,4004,4055,4005,3940,3858,3757,3640,3508,3361,3229,3114,3003,2895,2791
"317","309","Q1TED1 C     Education and research","Q1TED10",125034,125344,126118,125883,125976,126864,127514,128210,129644,130134,131248,131012,131482,131911,133259,133559,133863,134214,135093,135964,137166,138026,138712,139923,141266,142410,143712,143532,143568,144882,146400,147861,150088,151369,152158,153984,155334,156744,157939,159125,161586,163011,164573,165911,167028,168624,168278,169626,171408,171899,172339,172233,172872,173519,173265,173139,173370
"318","310","Q1HED1 C       Higher education (105)","Q1HED10",68915,69317,69970,70048,70397,70772,71128,71851,72545,72726,72750,73075,73251,73160,73953,73949,73799,74064,74797,75462,75806,76053,75932,76058,76640,77227,77588,77778,77371,77377,77838,78533,79605,80108,80714,81607,82340,83021,83329,84316,85405,86038,86827,87162,87930,88758,89296,89789,90072,90469,90725,90795,91264,91618,91019,91351,91541
"319","311","Q1PED1 D         Private higher education","Q1PED10",34503,34717,35153,35207,35359,35544,35711,36244,36683,36621,36511,36787,37423,37462,38269,38288,38164,38367,38972,39490,39848,40090,40015,40276,40860,41267,41497,41621,41043,40769,40905,41225,42019,42300,42644,43252,43678,43991,43910,44496,45047,45398,45886,45924,46420,47009,47326,47634,47826,48123,48287,48278,48682,48955,48221,48490,48607
"320","312","Q1GED1 D         Public higher education","Q1GED10",34696,34882,35064,35084,35289,35482,35676,35826,36066,36342,36500,36528,35971,35826,35757,35730,35713,35768,35875,36007,35979,35977,35932,35785,35769,35943,36074,36139,36323,36611,36939,37315,37587,37809,38069,38354,38662,39031,39420,39821,40358,40640,40941,41238,41510,41749,41971,42156,42250,42351,42445,42521,42594,42681,42781,42855,42929
"321","313","Q1EED1 C       Nursery, elementary, and secondary schools (106)","Q1EED10",28770,28942,29278,29068,28815,29040,29317,29052,29397,29552,30176,29655,29856,30050,30505,30604,30712,30822,30958,31184,31602,31786,32033,32307,32382,32484,32547,32511,32518,32600,32675,32738,32895,33084,33411,33685,33935,34068,34063,34276,34503,34556,34532,34881,34963,34992,34887,35142,35436,35702,36158,35847,35640,35667,35507,35946,36178
"322","314","Q1ESC1 D         Elementary and secondary schools","Q1ESC10",23057,23364,23931,23900,23800,24093,24309,24004,24187,24241,24516,24291,24196,24309,24671,24732,24727,24742,24684,24714,24999,25099,25380,25658,25718,25756,25821,25641,25463,25425,25369,25358,25607,25707,25855,26028,26026,26061,26012,26110,26148,26105,25987,26176,26118,26031,25714,25857,26108,26243,26314,26181,26037,26123,25963,26040,26196
"323","315","Q1NSC1 D         Nursery schools","Q1NSC10",5735,5600,5370,5191,5040,4974,5036,5075,5234,5333,5676,5385,5676,5756,5849,5887,5999,6091,6284,6476,6609,6693,6660,6656,6671,6735,6733,6875,7059,7179,7308,7381,7290,7380,7557,7658,7910,8007,8050,8166,8355,8450,8544,8705,8845,8961,9174,9286,9329,9461,9851,9671,9608,9547,9547,9916,9992
"324","316","Q1OED1 C       Other (107)","Q1OED10",27103,26859,26658,26581,26614,26889,26899,27171,27559,27706,28133,28125,28212,28531,28621,28826,29175,29149,29156,29131,29567,30001,30568,31396,32096,32560,33460,33119,33567,34823,35830,36548,37565,38163,38007,38672,39040,39641,40546,40530,41678,42418,43216,43868,44135,44873,44093,44693,45899,45729,45460,45590,45959,46224,46731,45857,45676
"325","317","Q1VED1 D         Commercial and vocational schools","Q1VED10",18142,18056,17830,17828,17611,17645,17345,17401,17736,17928,18350,18293,18046,18321,18522,18816,19187,19193,19117,18957,19530,20007,20707,21328,21659,21980,22653,22125,22559,23540,24148,24666,25475,25891,25763,26233,26514,27141,27796,27442,28534,29223,29963,30411,30434,30907,30321,30903,31778,31312,30383,30556,30904,30805,31177,30627,30249
"326","318","Q1RED1 D         Foundations and nonprofit research","Q1RED10",8941,8786,8809,8736,8975,9208,9502,9712,9768,9728,9740,9786,10103,10150,10047,9966,9953,9922,9999,10128,10006,9973,9860,10071,10429,10571,10803,10978,10997,11277,11673,11874,12087,12270,12241,12436,12523,12499,12750,13091,13143,13195,13253,13457,13703,13968,13774,13785,14110,14419,15125,15074,15086,15478,15610,15279,15522
"327","319","Q1RAW1 C     Religious and welfare activities (108)","Q1RAW10",117069,120664,123822,123364,122091,122142,122999,123822,126801,130309,133792,134454,132047,132921,134133,134600,136716,139193,142472,144433,141809,141979,142362,143559,146760,149162,151339,152380,148714,148766,149625,150559,152999,156341,160062,161685,160501,160925,162404,164529,168175,171116,173430,176415,175645,177673,180526,182969,184575,187000,190424,191034,188172,187318,187187,189841,193716
"328","320","Q1POL1 D       Political organizations","Q1POL10",1074,2418,3768,3750,854,457,353,864,2129,3742,4048,3742,925,444,374,373,1061,2453,3848,3911,1130,543,456,713,2527,3599,4348,4579,1074,533,458,465,1306,2967,4563,4561,1317,627,523,810,2836,4122,4959,5243,1248,628,543,553,1501,3407,5325,5615,1730,839,707,968,3216
"329","321","Q1MUS1 D       Museums and libraries","Q1MUS10",4364,4453,4394,4322,4230,4387,4463,4353,4398,4500,4668,4420,4760,4922,5110,5280,5351,5518,5651,5702,5750,5906,6087,6097,6254,6387,6564,6763,6822,6886,6923,7007,6996,6978,6966,7080,7273,7278,7255,7322,7441,7544,7522,7627,7813,8003,8203,8318,8206,8237,8373,8240,8264,8057,8066,8090,8073
"330","322","Q1FOU1 D       Foundations to religion and welfare","Q1FOU10",9194,8943,9004,9208,9667,9841,10000,10067,9763,9880,10004,9940,10183,10176,9940,9763,9415,9203,9096,9099,9102,8973,8763,8705,8611,8421,8266,7948,7496,7386,7438,7565,7961,8234,8394,8640,8939,9031,9204,9422,9164,9180,9314,9677,10391,10874,10924,11064,10937,11018,11382,11230,11149,11163,11181,11192,11203
"331","323","Q1WEL1 D       Social welfare","Q1WEL10",65853,66709,66856,66746,67350,67391,68383,68945,70468,71753,73464,74536,75188,76186,77114,77059,77547,78113,79658,81340,82134,82847,83039,83454,83466,84497,85654,86781,88202,89007,89981,90573,90794,91831,93541,94720,96625,97880,99467,101083,102882,104404,105747,107839,110045,111891,114118,115635,116176,116449,117143,117388,117966,117854,117515,119586,120963
"332","324","Q1CHC1 D         Child care","Q1CHC10",20986,20648,19797,18920,18540,17950,17763,17608,18160,18512,19014,19391,19585,19873,20028,20026,20118,20273,20869,21401,21631,21897,21692,21576,21577,21678,21582,22039,22436,22701,23067,23167,22867,22994,23441,23637,24212,24442,24408,24729,25138,25347,25597,25986,26389,26684,27163,27300,27238,27506,28283,27604,27321,26813,26870,27828,28270
"333","325","Q1SCW1 D         Social welfare","Q1SCW10",45602,46684,47511,48127,49022,49553,50661,51333,52330,53268,54488,55198,55656,56372,57135,57082,57477,57890,58859,60018,60583,61037,61413,61924,61936,62855,64080,64762,65790,66334,66950,67439,67942,68846,70109,71089,72420,73443,75058,76354,77743,79057,80150,81854,83658,85210,86958,88344,88954,88952,88848,89803,90681,91101,90696,91782,92710
"334","326","Q1REL1 D       Religion","Q1REL10",36794,38296,39925,39466,40227,40325,40065,39840,40217,40543,41717,41933,41177,41384,41780,42316,43526,44055,44314,44457,43817,43839,44145,44717,46003,46322,46540,46315,45183,45021,44888,45008,45994,46365,46611,46692,46386,46147,45987,45912,45853,45865,45888,46032,46146,46278,46739,47398,47752,47914,48275,48635,48979,49274,49586,49870,50155
"335","327","Q1FOR1 C     Net foreign travel","Q1FOR10",-12907,-13642,-14754,-20724,-19677,-22371,-24867,-27023,-28286,-28919,-28693,-27142,-29070,-30363,-28436,-25959,-24957,-25519,-25599,-28496,-26987,-28201,-34632,-35741,-32314,-36175,-27955,-40638,-33246,-32383,-30991,-28159,-23580,-22466,-16674,-19705,-21151,-19992,-19811,-20576,-19032,-17985,-13962,-13993,-17688,-9028,-8973,-8268,-11591,-11553,-14483,-18263,-14481,-18577,-20760,-25807,-24233
"336","328","Q1FTR1 C       Foreign travel by U.S. residents (110)","Q1FTR10",54894,54904,52553,51008,44649,50230,49807,50917,51188,51089,50274,53190,52654,52428,54601,57812,57702,58715,58006,56363,58017,56729,56610,58794,59867,59287,59792,60754,64003,63955,66667,67482,71314,73696,75115,74591,74185,75230,76854,78200,82353,84537,85091,85680,83617,87700,79362,67743,73972,72241,70596,74494,69885,61142,66343,67814,68060
"337","329","Q1AFT1 D         Passenger fares for foreign travel","Q1AFT10",20725,19993,18411,17805,15009,17523,18492,19521,18984,18887,18790,20177,19859,20005,20964,21516,22652,23282,23311,22470,22078,21721,22555,22738,22707,23182,23126,24279,24987,25288,26384,26325,26794,28818,29655,29276,29398,29599,30619,31127,31737,33830,34186,33195,32001,32988,31359,24959,27406,27270,26624,28679,28146,24492,25321,26438,28087
