"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"121","103","        Commercial and vocational schools (99)","DVEDRC1","180.0","172.0","146.0","118.0","99.0","95.0","100.0","104.0","113.0","109.0","106.0","104.0","131.0","178.0","224.0","192.0","165.0","198.0","218.0","243.0","265.0","288.0","317.0","340.0","363.0","380.0","423.0","469.0","510.0","548.0","572.0","589.0","545.0","574.0","634.0","674.0","756.0","929.0","1,123.0","1,287.0","1,419.0","1,549.0","1,557.0","1,589.0","1,792.0","1,870.0","2,420.0","2,977.0","3,261.0","3,653.0","3,900.0","4,184.0","4,484.0","4,604.0","5,086.0","5,548.0","6,226.0","6,740.0","7,542.0","9,461.0","10,562.0","11,068.0","11,137.0","11,788.0","12,287.0","13,140.0","14,420.0","16,172.0","17,818.0","19,876.0","21,823.0","24,347.0","25,781.0","25,984.0","26,838.0","27,779.0","29,803.0","32,024.0","34,749.0","37,033.0"
"122","104","      Professional and other services (121)","DPRSRC1","1,166.0","1,081.0","1,007.0","846.0","807.0","899.0","952.0","1,020.0","1,144.0","1,126.0","1,171.0","1,213.0","1,321.0","1,397.0","1,552.0","1,641.0","1,721.0","1,824.0","2,004.0","2,147.0","2,247.0","2,326.0","2,588.0","2,687.0","2,859.0","3,012.0","3,201.0","3,350.0","3,705.0","4,001.0","4,323.0","4,535.0","4,854.0","5,131.0","5,483.0","5,785.0","6,230.0","6,855.0","7,274.0","7,842.0","8,620.0","9,653.0","10,408.0","11,389.0","12,746.0","14,038.0","14,894.0","16,546.0","18,303.0","20,741.0","22,146.0","24,847.0","28,162.0","30,755.0","33,565.0","37,482.0","42,370.0","46,404.0","51,151.0","57,332.0","62,207.0","67,743.0","70,190.0","75,293.0","78,376.0","80,877.0","82,829.0","87,635.0","92,767.0","100,054.0","107,189.0","113,015.0","120,915.0","126,620.0","137,100.0","143,192.0","149,435.0","156,955.0","166,347.0","168,638.0"
"123","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRC1","1,789.0","1,679.0","1,435.0","1,133.0","977.0","1,083.0","1,183.0","1,305.0","1,454.0","1,411.0","1,434.0","1,522.0","1,717.0","1,978.0","2,411.0","2,658.0","2,899.0","3,349.0","3,614.0","3,757.0","3,756.0","3,828.0","4,069.0","4,316.0","4,584.0","4,843.0","5,055.0","5,417.0","5,732.0","5,839.0","6,201.0","6,439.0","6,746.0","7,063.0","7,234.0","7,690.0","8,188.0","8,907.0","9,516.0","10,101.0","10,301.0","10,589.0","10,335.0","10,755.0","11,294.0","11,666.0","12,296.0","13,109.0","14,622.0","16,035.0","17,004.0","17,947.0","18,651.0","18,837.0","22,674.0","24,120.0","26,698.0","29,441.0","32,685.0","37,827.0","41,469.0","44,875.0","42,814.0","47,452.0","49,553.0","52,482.0","56,547.0","59,444.0","64,274.0","68,984.0","74,055.0","80,170.0","82,893.0","86,467.0","91,393.0","100,068.0","105,925.0","112,394.0","119,876.0","125,528.0"
"124","106","      Social services and religious activities (120)","DSOCRC1","356.0","356.0","327.0","278.0","250.0","258.0","263.0","284.0","299.0","296.0","303.0","326.0","348.0","394.0","455.0","523.0","548.0","617.0","649.0","699.0","700.0","739.0","798.0","901.0","965.0","1,039.0","1,097.0","1,231.0","1,310.0","1,411.0","1,570.0","1,617.0","1,683.0","1,676.0","1,796.0","2,099.0","2,350.0","2,685.0","3,048.0","3,292.0","3,602.0","3,871.0","4,384.0","5,053.0","5,459.0","5,854.0","6,499.0","7,494.0","8,598.0","10,020.0","11,881.0","13,993.0","16,138.0","17,944.0","19,618.0","21,833.0","25,060.0","28,034.0","31,435.0","33,873.0","38,580.0","41,177.0","43,546.0","47,510.0","51,123.0","54,381.0","58,127.0","61,111.0","64,627.0","70,334.0","76,698.0","84,953.0","93,930.0","100,819.0","107,095.0","113,236.0","118,702.0","125,881.0","135,858.0","144,380.0"
"125","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRC1","1,885.0","1,647.0","1,301.0","971.0","860.0","987.0","1,059.0","1,176.0","1,363.0","1,204.0","1,315.0","1,410.0","1,457.0","1,734.0","1,905.0","2,256.0","2,557.0","2,556.0","2,831.0","2,892.0","2,890.0","3,152.0","3,306.0","3,315.0","3,453.0","3,370.0","3,914.0","4,195.0","4,303.0","4,535.0","4,707.0","4,995.0","4,931.0","5,023.0","5,055.0","5,256.0","5,480.0","5,737.0","6,060.0","6,458.0","6,769.0","6,970.0","7,169.0","7,610.0","8,134.0","8,271.0","8,400.0","9,737.0","10,949.0","12,118.0","13,150.0","13,769.0","14,607.0","14,900.0","15,807.0","18,299.0","19,322.0","20,539.0","20,952.0","22,037.0","24,151.0","25,387.0","24,732.0","26,575.0","28,445.0","31,329.0","34,548.0","35,817.0","38,914.0","43,584.0","44,561.0","47,685.0","47,202.0","46,903.0","49,415.0","53,469.0","57,012.0","60,270.0","64,516.0","65,776.0"
"126","108","      Net foreign travel","DFORRC1","490.0","479.0","347.0","265.0","188.0","191.0","197.0","246.0","293.0","244.0","189.0","67.0","95.0","6.0","3.0","6.0","64.0","90.0","179.0","328.0","399.0","439.0","356.0","407.0","471.0","528.0","626.0","704.0","741.0","854.0","1,060.0","1,203.0","1,191.0","1,437.0","1,636.0","1,585.0","1,786.0","1,841.0","2,409.0","2,188.0","2,390.0","2,751.0","2,912.0","3,537.0","3,370.0","3,500.0","3,387.0","2,872.0","3,303.0","3,012.0","2,661.0","1,746.0","-1,636.0","-155.0","2,730.0","3,744.0","4,581.0","318.0","2,988.0","282.0","-6,396.0","-10,265.0","-17,569.0","-20,911.0","-21,778.0","-18,832.0","-23,016.0","-26,215.0","-24,463.0","-16,980.0","-16,928.0","-16,547.0","-10,811.0","-9,181.0","-5,332.0","-4,498.0","-5,112.0","-1,561.0","-9,280.0","-19,760.0"
"127","109","        Foreign travel by U.S. residents (129)","DFTRRC1","632.0","611.0","445.0","334.0","258.0","276.0","303.0","368.0","433.0","379.0","333.0","172.0","189.0","128.0","143.0","175.0","267.0","450.0","597.0","727.0","850.0","920.0","924.0","1,044.0","1,174.0","1,263.0","1,456.0","1,624.0","1,738.0","1,900.0","2,111.0","2,313.0","2,340.0","2,583.0","2,840.0","2,988.0","3,346.0","3,606.0","4,249.0","4,200.0","4,717.0","5,414.0","5,853.0","6,832.0","7,324.0","8,127.0","8,759.0","9,380.0","10,285.0","11,107.0","12,063.0","13,304.0","15,001.0","16,522.0","18,394.0","26,109.0","27,904.0","27,795.0","33,932.0","37,336.0","38,434.0","42,702.0","41,678.0","45,990.0","48,818.0","53,339.0","54,710.0","58,446.0","64,578.0","70,973.0","75,408.0","84,257.0","80,629.0","78,097.0","80,460.0","92,314.0","99,762.0","108,527.0","113,991.0","118,799.0"
"128","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC1","142.0","132.0","98.0","69.0","70.0","85.0","106.0","122.0","140.0","135.0","144.0","105.0","94.0","122.0","140.0","169.0","203.0","360.0","418.0","399.0","451.0","481.0","568.0","637.0","703.0","735.0","830.0","920.0","997.0","1,046.0","1,051.0","1,110.0","1,149.0","1,146.0","1,204.0","1,403.0","1,560.0","1,765.0","1,840.0","2,012.0","2,327.0","2,663.0","2,941.0","3,295.0","3,954.0","4,627.0","5,372.0","6,508.0","6,982.0","8,095.0","9,402.0","11,558.0","16,637.0","16,677.0","15,664.0","22,365.0","23,323.0","27,477.0","30,944.0","37,054.0","44,830.0","52,967.0","59,247.0","66,901.0","70,596.0","72,171.0","77,726.0","84,661.0","89,041.0","87,953.0","92,336.0","100,804.0","91,440.0","87,278.0","85,792.0","96,812.0","104,874.0","110,088.0","123,271.0","138,559.0"
"129","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","1,283.0","1,293.0","1,209.0","1,037.0","911.0","905.0","899.0","937.0","955.0","978.0","991.0","1,056.0","1,115.0","1,263.0","1,481.0","1,669.0","1,737.0","1,978.0","2,124.0","2,319.0","2,355.0","2,475.0","2,645.0","2,947.0","3,091.0","3,307.0","3,464.0","3,897.0","4,155.0","4,492.0","5,060.0","5,276.0","5,465.0","5,707.0","6,000.0","6,694.0","7,192.0","7,751.0","8,421.0","9,346.0","10,082.0","11,089.0","12,329.0","13,615.0","14,629.0","16,433.0","18,050.0","20,069.0","21,791.0","24,473.0","27,799.0","31,888.0","36,264.0","40,090.0","42,908.0","47,591.0","50,346.0","55,367.0","58,532.0","66,761.0","71,716.0","79,614.0","84,245.0","92,343.0","94,622.0","102,369.0","107,170.0","115,715.0","112,248.0","130,995.0","145,407.0","165,368.0","186,204.0","205,005.0","211,815.0","210,013.0","214,075.0","240,350.0","253,498.0","278,721.0"
"130","112","    Gross output of nonprofit institutions (133) \2\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,104.0","15,051.0","16,002.0","17,160.0","18,570.0","20,511.0","22,309.0","24,635.0","27,350.0","30,901.0","34,648.0","38,706.0","43,395.0","48,154.0","52,706.0","59,739.0","68,230.0","77,397.0","86,316.0","98,114.0","111,035.0","127,955.0","147,774.0","165,931.0","181,368.0","196,640.0","211,717.0","230,055.0","249,698.0","278,987.0","304,917.0","338,190.0","367,010.0","400,799.0","423,303.0","444,684.0","463,386.0","488,806.0","509,284.0","550,547.0","585,277.0","631,979.0","688,012.0","749,684.0","785,843.0","827,716.0","874,632.0","933,608.0","987,493.0","1,049,413.0"
"131","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,044.0","9,775.0","10,537.0","11,453.0","12,570.0","13,817.0","15,117.0","16,884.0","18,929.0","21,555.0","24,566.0","27,617.0","31,066.0","34,539.0","38,077.0","43,306.0","50,180.0","57,328.0","64,525.0","73,641.0","83,236.0","96,067.0","111,510.0","125,841.0","138,460.0","149,049.0","161,371.0","174,688.0","191,166.0","212,226.0","233,201.0","258,576.0","282,765.0","308,456.0","328,681.0","342,315.0","356,216.0","373,091.0","397,036.0","419,552.0","439,870.0","466,611.0","501,808.0","544,679.0","574,028.0","617,703.0","660,557.0","693,258.0","733,995.0","770,692.0"
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
