"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"36","17","      Imputations (166)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,049.0","6,970.0","4,436.0","6,950.0","7,217.0","5,313.0"
"37","18","      Excluding imputations (16-17)","W515RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,185.0","507,872.0","553,210.0","590,033.0","628,668.0","622,304.0","666,458.0","718,458.0","811,606.0","900,717.0","962,171.0","1,053,868.0","1,113,030.0","1,248,369.0","1,471,604.0","1,393,802.0","1,424,636.0","1,539,098.0","1,791,949.0","2,023,355.0","2,233,397.0","2,362,494.0","2,533,558.0"
"38","19","  Government consumption expenditures and gross investment","A822RC1","9,356.0","9,992.0","9,884.0","8,698.0","8,659.0","10,509.0","10,889.0","13,091.0","12,802.0","13,816.0","14,790.0","15,031.0","26,525.0","62,722.0","94,826.0","105,333.0","92,990.0","39,588.0","36,338.0","40,502.0","46,634.0","46,714.0","68,054.0","83,584.0","90,514.0","86,131.0","86,442.0","91,370.0","99,659.0","105,958.0","109,994.0","111,548.0","119,499.0","130,088.0","136,351.0","143,214.0","151,446.0","171,631.0","192,508.0","209,312.0","221,431.0","233,697.0","246,415.0","263,419.0","281,657.0","317,917.0","357,716.0","383,000.0","414,060.0","453,554.0","500,732.0","566,121.0","627,477.0","680,447.0","733,380.0","796,920.0","878,890.0","949,335.0","999,393.0","1,038,903.0","1,100,597.0","1,181,712.0","1,236,090.0","1,273,461.0","1,294,799.0","1,329,791.0","1,374,021.0","1,420,958.0","1,474,434.0","1,526,050.0","1,631,270.0","1,730,951.0","1,846,420.0","1,983,343.0","2,112,550.0","2,232,818.0","2,369,882.0","2,518,396.0","2,676,485.0","2,883,208.0"
"39","20","    Imputations (148+153+161+175+181)","A1684C1","1,015.0","982.0","935.0","852.0","931.0","1,107.0","1,130.0","1,265.0","1,277.0","1,376.0","1,464.0","1,446.0","1,908.0","3,441.0","6,233.0","9,006.0","10,429.0","12,359.0","11,254.0","9,923.0","8,927.0","7,778.0","8,400.0","9,298.0","10,200.0","10,969.0","11,544.0","12,482.0","13,280.0","13,637.0","14,186.0","14,730.0","15,265.0","16,133.0","17,109.0","17,744.0","18,382.0","19,335.0","20,909.0","22,513.0","24,788.0","26,908.0","28,588.0","29,679.0","30,913.0","34,951.0","39,466.0","41,688.0","44,290.0","46,586.0","50,019.0","55,820.0","62,586.0","70,117.0","75,168.0","79,272.0","89,191.0","102,883.0","104,118.0","110,336.0","115,491.0","123,370.0","131,377.0","137,662.0","144,252.0","147,763.0","152,793.0","155,513.0","159,114.0","163,646.0","171,917.0","180,597.0","184,517.0","192,237.0","199,276.0","210,392.0","226,476.0","242,610.0","260,810.0","278,981.0"
"40","21","    Excluding imputations (19-20)","A2089C1","8,341.0","9,010.0","8,949.0","7,846.0","7,728.0","9,402.0","9,759.0","11,826.0","11,525.0","12,440.0","13,326.0","13,585.0","24,617.0","59,281.0","88,593.0","96,327.0","82,561.0","27,229.0","25,084.0","30,579.0","37,707.0","38,936.0","59,654.0","74,286.0","80,314.0","75,162.0","74,898.0","78,888.0","86,379.0","92,321.0","95,808.0","96,818.0","104,234.0","113,955.0","119,242.0","125,470.0","133,064.0","152,296.0","171,599.0","186,799.0","196,643.0","206,789.0","217,827.0","233,740.0","250,744.0","282,966.0","318,250.0","341,312.0","369,770.0","406,968.0","450,713.0","510,301.0","564,891.0","610,330.0","658,212.0","717,648.0","789,699.0","846,452.0","895,275.0","928,567.0","985,106.0","1,058,342.0","1,104,713.0","1,135,799.0","1,150,547.0","1,182,028.0","1,221,228.0","1,265,445.0","1,315,320.0","1,362,404.0","1,459,353.0","1,550,354.0","1,661,903.0","1,791,106.0","1,913,274.0","2,022,426.0","2,143,406.0","2,275,786.0","2,415,675.0","2,604,227.0"
"41","22","    Government consumption expenditures","A955RC1","6,524.0","6,824.0","6,898.0","6,551.0","6,733.0","7,848.0","8,113.0","8,960.0","9,010.0","9,624.0","10,299.0","10,658.0","15,730.0","34,176.0","55,751.0","68,685.0","68,875.0","36,097.0","31,741.0","33,485.0","36,939.0","36,915.0","50,430.0","61,275.0","66,523.0","63,619.0","65,466.0","68,461.0","75,282.0","79,476.0","80,693.0","83,281.0","88,170.0","96,798.0","102,711.0","108,587.0","115,891.0","131,844.0","149,531.0","165,674.0","178,164.0","190,120.0","204,656.0","220,778.0","234,811.0","261,660.0","294,615.0","316,605.0","346,557.0","376,487.0","412,258.0","465,868.0","520,593.0","568,133.0","610,529.0","657,568.0","720,088.0","776,109.0","815,112.0","852,755.0","902,928.0","965,962.0","1,015,791.0","1,050,356.0","1,075,369.0","1,108,875.0","1,141,423.0","1,176,732.0","1,222,071.0","1,263,197.0","1,343,910.0","1,426,625.0","1,524,386.0","1,639,872.0","1,756,763.0","1,860,448.0","1,977,867.0","2,093,341.0","2,214,929.0","2,386,877.0"
"42","23","      Imputations (148+153+161+175+181-182)","A2097C1","-1,817.0","-2,186.0","-2,051.0","-1,295.0","-995.0","-1,554.0","-1,646.0","-2,866.0","-2,515.0","-2,816.0","-3,027.0","-2,927.0","-8,887.0","-25,105.0","-32,842.0","-27,642.0","-13,686.0","8,868.0","6,657.0","2,905.0","-769.0","-2,021.0","-9,224.0","-13,012.0","-13,791.0","-11,543.0","-9,432.0","-10,427.0","-11,097.0","-12,846.0","-15,116.0","-13,537.0","-16,064.0","-17,157.0","-16,531.0","-16,882.0","-17,173.0","-20,452.0","-22,068.0","-21,124.0","-18,480.0","-16,669.0","-13,171.0","-12,962.0","-15,933.0","-21,306.0","-23,635.0","-24,707.0","-23,213.0","-30,481.0","-38,456.0","-44,433.0","-44,299.0","-42,197.0","-47,683.0","-60,080.0","-69,611.0","-70,343.0","-80,162.0","-75,813.0","-82,178.0","-92,379.0","-88,923.0","-85,443.0","-75,178.0","-73,153.0","-79,805.0","-88,713.0","-93,249.0","-99,207.0","-115,443.0","-123,729.0","-137,518.0","-151,234.0","-156,511.0","-161,978.0","-165,539.0","-182,445.0","-200,746.0","-217,350.0"
"43","24","      Excluding imputations (22-23)","A2098C1","8,341.0","9,010.0","8,949.0","7,846.0","7,728.0","9,402.0","9,759.0","11,826.0","11,525.0","12,440.0","13,326.0","13,585.0","24,617.0","59,281.0","88,593.0","96,327.0","82,561.0","27,229.0","25,084.0","30,580.0","37,708.0","38,936.0","59,654.0","74,287.0","80,314.0","75,162.0","74,898.0","78,888.0","86,379.0","92,322.0","95,809.0","96,818.0","104,234.0","113,955.0","119,242.0","125,469.0","133,064.0","152,296.0","171,599.0","186,798.0","196,644.0","206,789.0","217,827.0","233,740.0","250,744.0","282,966.0","318,250.0","341,312.0","369,770.0","406,968.0","450,714.0","510,301.0","564,892.0","610,330.0","658,212.0","717,648.0","789,699.0","846,452.0","895,274.0","928,568.0","985,106.0","1,058,341.0","1,104,714.0","1,135,799.0","1,150,547.0","1,182,028.0","1,221,228.0","1,265,445.0","1,315,320.0","1,362,404.0","1,459,353.0","1,550,354.0","1,661,904.0","1,791,106.0","1,913,274.0","2,022,426.0","2,143,406.0","2,275,786.0","2,415,675.0","2,604,227.0"
"44","25","    Gross government investment","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","461,556.0","496,331.0"
"45","26","      Imputations (182)","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","461,556.0","496,331.0"
"46","27","      Excluding imputations (25-26)","A1680C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"47",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","Gross domestic income","A261RC1","102,843.0","91,627.0","75,719.0","58,420.0","55,858.0","65,581.0","73,515.0","82,566.0","91,897.0","85,439.0","90,870.0","100,341.0","126,402.0","162,784.0","200,404.0","217,180.0","219,180.0","221,059.0","241,827.0","269,611.0","265,412.0","292,370.0","335,684.0","355,551.0","375,361.0","377,240.0","412,340.0","439,195.0","461,129.0","466,213.0","506,148.0","527,390.0","545,347.0","585,338.0","618,584.0","662,865.0","717,616.0","781,519.0","827,939.0","905,528.0","981,560.0","1,031,449.0","1,115,803.0","1,228,939.0","1,374,250.0","1,489,638.0","1,621,394.0","1,801,113.0","2,008,917.0","2,267,707.0","2,515,255.0","2,742,851.0","3,090,256.0","3,248,444.0","3,484,911.0","3,899,356.0","4,175,169.0","4,392,323.0","4,703,481.0","5,109,955.0","5,426,041.0","5,716,327.0","5,912,357.0","6,232,314.0","6,531,555.0","6,976,351.0","7,362,133.0","7,812,536.0","8,346,336.0","8,878,816.0","9,424,551.0","10,085,468.0","10,389,521.0","10,664,388.0","11,125,532.0","11,875,602.0","12,718,041.0","13,619,489.0","14,092,456.0","14,340,379.0"
"49","29","    Imputations (133-134+141+147+148+150+152+153 +158+160+161+165-166+167+170+179+181)","A2023C1","9,612.0","9,051.0","8,142.0","6,959.0","6,390.0","6,413.0","6,785.0","7,072.0","7,488.0","7,537.0","7,631.0","7,784.0","9,031.0","11,902.0","16,387.0","20,377.0","22,721.0","24,095.0","23,572.0","24,074.0","23,974.0","24,492.0","27,870.0","31,025.0","34,325.0","37,024.0","39,632.0","43,026.0","46,324.0","49,068.0","52,668.0","56,354.0","59,865.0","64,006.0","67,571.0","71,912.0","76,557.0","82,030.0","88,098.0","95,302.0","105,713.0","116,211.0","126,586.0","137,522.0","149,681.0","168,698.0","192,940.0","211,066.0","234,109.0","265,068.0","295,567.0","333,741.0","375,685.0","417,995.0","471,943.0","506,107.0","558,674.0","608,309.0","647,094.0","696,993.0","742,702.0","804,539.0","864,482.0","934,200.0","988,431.0","1,040,966.0","1,073,328.0","1,119,361.0","1,172,944.0","1,242,240.0","1,342,593.0","1,445,899.0","1,530,303.0","1,598,037.0","1,656,060.0","1,764,782.0","1,887,749.0","1,980,302.0","2,096,511.0","2,224,821.0"
"50","30","    Excluding imputations (28-29)","W516RC1","93,231.0","82,576.0","67,577.0","51,461.0","49,468.0","59,168.0","66,730.0","75,494.0","84,409.0","77,902.0","83,239.0","92,557.0","117,371.0","150,882.0","184,017.0","196,803.0","196,459.0","196,964.0","218,255.0","245,537.0","241,438.0","267,878.0","307,814.0","324,526.0","341,036.0","340,216.0","372,708.0","396,169.0","414,805.0","417,145.0","453,480.0","471,036.0","485,482.0","521,332.0","551,013.0","590,953.0","641,059.0","699,489.0","739,841.0","810,226.0","875,847.0","915,238.0","989,217.0","1,091,417.0","1,224,569.0","1,320,940.0","1,428,454.0","1,590,047.0","1,774,808.0","2,002,639.0","2,219,688.0","2,409,110.0","2,714,571.0","2,830,449.0","3,012,968.0","3,393,249.0","3,616,495.0","3,784,014.0","4,056,387.0","4,412,962.0","4,683,339.0","4,911,788.0","5,047,875.0","5,298,114.0","5,543,124.0","5,935,385.0","6,288,805.0","6,693,175.0","7,173,392.0","7,636,576.0","8,081,958.0","8,639,569.0","8,859,218.0","9,066,351.0","9,469,472.0","10,110,820.0","10,830,292.0","11,639,187.0","11,995,945.0","12,115,558.0"
"51","31","  Compensation of employees, paid","A4002C1","51,117.0","46,866.0","39,774.0","31,089.0","29,571.0","34,330.0","37,375.0","42,947.0","47,968.0","45,033.0","48,147.0","52,167.0","64,819.0","85,286.0","109,598.0","121,303.0","123,316.0","119,654.0","129,997.0","141,873.0","141,802.0","155,198.0","181,412.0","196,160.0","210,225.0","209,213.0","225,765.0","244,573.0","257,615.0","259,619.0","281,070.0","296,564.0","305,447.0","327,239.0","345,280.0","370,724.0","399,500.0","442,631.0","475,113.0","524,302.0","577,589.0","617,195.0","658,888.0","725,138.0","811,236.0","890,271.0","949,188.0","1,059,379.0","1,180,587.0","1,335,555.0","1,498,361.0","1,647,670.0","1,819,820.0","1,919,834.0","2,035,707.0","2,245,657.0","2,411,963.0","2,559,437.0","2,736,994.0","2,955,022.0","3,132,603.0","3,328,564.0","3,441,082.0","3,634,394.0","3,800,415.0","4,002,549.0","4,199,268.0","4,395,489.0","4,670,024.0","5,027,805.0","5,359,150.0","5,793,539.0","5,984,534.0","6,116,389.0","6,388,293.0","6,699,555.0","7,071,450.0","7,483,609.0","7,863,559.0","8,044,750.0"
"52","32","     Imputations (170)","A2099C1","440.0","418.0","353.0","293.0","278.0","313.0","351.0","375.0","418.0","396.0","402.0","438.0","645.0","1,148.0","1,934.0","2,666.0","3,137.0","3,116.0","2,105.0","2,393.0","2,464.0","2,441.0","3,260.0","3,550.0","3,722.0","3,776.0","3,928.0","4,273.0","4,786.0","5,284.0","5,839.0","6,243.0","6,762.0","7,316.0","7,800.0","8,585.0","9,546.0","10,586.0","11,573.0","13,568.0","15,217.0","17,619.0","19,315.0","21,900.0","24,123.0","27,829.0","33,460.0","40,652.0","47,634.0","55,638.0","63,154.0","72,670.0","84,273.0","95,848.0","104,998.0","113,809.0","124,164.0","132,008.0","140,970.0","158,022.0","175,128.0","194,572.0","210,855.0","235,747.0","255,090.0","266,853.0","264,039.0","267,333.0","271,473.0","292,469.0","324,384.0","361,614.0","392,229.0","418,646.0","457,531.0","492,537.0","529,058.0","543,101.0","563,864.0","577,344.0"
"53","33","     Excluding imputations (31-32)","A2100C1","50,677.0","46,448.0","39,421.0","30,796.0","29,293.0","34,017.0","37,024.0","42,572.0","47,550.0","44,637.0","47,745.0","51,729.0","64,174.0","84,138.0","107,664.0","118,637.0","120,179.0","116,538.0","127,892.0","139,480.0","139,338.0","152,757.0","178,152.0","192,610.0","206,503.0","205,437.0","221,837.0","240,300.0","252,829.0","254,335.0","275,231.0","290,321.0","298,685.0","319,923.0","337,480.0","362,139.0","389,954.0","432,045.0","463,540.0","510,734.0","562,372.0","599,576.0","639,573.0","703,238.0","787,113.0","862,442.0","915,728.0","1,018,727.0","1,132,953.0","1,279,917.0","1,435,207.0","1,575,000.0","1,735,547.0","1,823,986.0","1,930,709.0","2,131,848.0","2,287,799.0","2,427,429.0","2,596,024.0","2,797,000.0","2,957,475.0","3,133,992.0","3,230,227.0","3,398,647.0","3,545,325.0","3,735,696.0","3,935,229.0","4,128,156.0","4,398,551.0","4,735,336.0","5,034,766.0","5,431,925.0","5,592,305.0","5,697,743.0","5,930,762.0","6,207,018.0","6,542,392.0","6,940,508.0","7,299,695.0","7,467,406.0"
"54","34","  Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,791.0","806,802.0","863,402.0","930,176.0","986,809.0","1,028,723.0","1,047,277.0"
"55","35","    Imputations (135+142)","A2094C1","1,157.0","1,192.0","1,176.0","1,111.0","984.0","993.0","1,014.0","1,000.0","1,011.0","1,029.0","1,006.0","1,034.0","1,043.0","1,089.0","1,141.0","1,211.0","1,284.0","1,275.0","1,399.0","1,541.0","1,759.0","1,895.0","2,121.0","2,382.0","2,629.0","2,898.0","3,312.0","3,785.0","4,265.0","4,762.0","5,100.0","5,594.0","6,193.0","6,734.0","7,417.0","8,094.0","8,818.0","9,510.0","10,633.0","11,994.0","13,407.0","15,231.0","16,747.0","18,061.0","19,499.0","20,840.0","22,898.0","25,285.0","27,900.0","28,508.0","29,332.0","31,924.0","35,350.0","38,613.0","41,321.0","44,477.0","47,301.0","50,172.0","54,834.0","58,429.0","63,224.0","67,162.0","72,039.0","74,526.0","74,520.0","78,119.0","78,245.0","80,814.0","83,744.0","85,520.0","88,574.0","91,458.0","96,636.0","104,303.0","110,606.0","117,831.0","125,354.0","133,141.0","141,800.0","146,528.0"
"56","36","    Excluding imputations (34-35)","A2095C1","5,667.0","5,779.0","5,493.0","5,459.0","5,880.0","6,632.0","6,976.0","7,461.0","7,930.0","7,903.0","8,140.0","8,761.0","10,011.0","10,423.0","11,290.0","12,500.0","13,811.0","15,557.0","16,707.0","18,185.0","19,145.0","21,055.0","22,624.0","24,739.0","26,472.0","25,991.0","28,155.0","30,452.0","32,351.0","32,958.0","35,952.0","38,953.0","40,775.0","43,648.0","45,969.0","49,175.0","51,891.0","53,701.0","57,304.0","64,413.0","70,449.0","76,182.0","83,746.0","89,867.0","97,721.0","104,062.0","112,394.0","121,103.0","131,764.0","142,390.0","150,769.0","168,406.0","200,294.0","202,320.0","221,960.0","245,296.0","260,832.0","273,201.0","292,711.0","316,035.0","335,643.0","357,828.0","385,052.0","408,850.0","428,605.0","467,129.0","479,658.0","499,940.0","527,871.0","553,953.0","585,011.0","617,098.0","631,054.0","658,488.0","696,196.0","745,571.0","804,822.0","853,668.0","886,923.0","900,749.0"
"57","37","  Less: Subsidies","A107RC1","-24.0","4.0","77.0","56.0","101.0","389.0","508.0","192.0","245.0","378.0","689.0","626.0","314.0","361.0","408.0","877.0","971.0","1,158.0","196.0","305.0","257.0","585.0","748.0","409.0","123.0","-105.0","-201.0","356.0","687.0","914.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,756.0","53,516.0"
"58","38","    Imputations (136)","B1154C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","105.0","99.0","131.0","223.0","253.0","288.0","270.0","276.0","180.0","172.0","159.0","181.0","208.0","216.0","298.0","309.0","500.0","261.0","265.0","309.0","338.0","463.0","417.0","533.0","256.0","582.0","1,387.0","4,041.0","2,083.0","7,940.0","3,603.0"
"59","39","    Excluding imputations (37-38)","A2096C1","-24.0","4.0","77.0","56.0","101.0","389.0","508.0","192.0","245.0","378.0","689.0","626.0","314.0","361.0","408.0","877.0","971.0","1,158.0","196.0","305.0","257.0","585.0","748.0","409.0","123.0","-105.0","-201.0","356.0","687.0","914.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","6,979.0","8,831.0","8,432.0","9,669.0","11,250.0","14,764.0","21,016.0","20,795.0","21,084.0","24,715.0","30,110.0","29,343.0","27,247.0","26,785.0","27,272.0","29,790.0","36,372.0","32,023.0","34,551.0","34,969.0","33,501.0","36,030.0","44,746.0","45,423.0","58,189.0","41,134.0","48,475.0","44,999.0","56,872.0","49,269.0","46,816.0","49,913.0"
"60","40","  Net operating surplus","W271RC1","35,211.0","28,343.0","20,558.0","13,131.0","12,119.0","16,241.0","20,846.0","23,264.0","26,257.0","22,619.0","25,006.0","29,325.0","39,793.0","52,666.0","62,284.0","63,499.0","60,631.0","62,635.0","67,271.0","79,852.0","73,783.0","84,865.0","96,483.0","96,394.0","97,521.0","98,437.0","112,121.0","113,637.0","116,741.0","116,533.0","129,671.0","130,842.0","136,764.0","149,428.0","158,821.0","171,235.0","189,694.0","203,171.0","205,764.0","218,575.0","225,458.0","219,305.0","243,324.0","275,354.0","310,242.0","314,086.0","351,028.0","392,300.0","443,989.0","508,776.0","546,416.0","560,566.0","652,923.0","669,155.0","756,119.0","910,647.0","970,991.0","995,932.0","1,078,129.0","1,198,959.0","1,270,550.0","1,298,565.0","1,317,313.0","1,400,278.0","1,486,676.0","1,641,907.0","1,770,313.0","1,959,010.0","2,134,699.0","2,227,359.0","2,342,635.0","2,444,890.0","2,479,791.0","2,521,612.0","2,625,443.0","2,926,266.0","3,235,953.0","3,539,747.0","3,494,913.0","3,454,782.0"
"61","41","    Imputations (138+139+167+179+183)","W517RC1","6,143.0","5,589.0","4,888.0","4,084.0","3,594.0","3,363.0","3,649.0","3,767.0","3,954.0","3,917.0","3,961.0","3,911.0","4,349.0","5,082.0","5,917.0","6,358.0","6,873.0","7,374.0","7,433.0","8,159.0","8,514.0","9,430.0","10,612.0","12,028.0","13,801.0","15,267.0","16,374.0","17,524.0","18,723.0","19,995.0","21,833.0","23,859.0","25,528.0","27,474.0","28,635.0","30,525.0","32,187.0","34,284.0","36,255.0","37,740.0","42,445.0","46,114.0","50,606.0","55,216.0","59,988.0","67,378.0","77,775.0","81,742.0","89,275.0","103,694.0","116,531.0","130,634.0","145,530.0","163,280.0","199,247.0","213,473.0","244,633.0","273,291.0","287,230.0","304,929.0","316,296.0","341,664.0","369,054.0","402,754.0","425,592.0","451,353.0","473,679.0","505,050.0","541,004.0","575,656.0","623,726.0","666,571.0","697,217.0","715,421.0","708,309.0","743,530.0","787,185.0","817,235.0","879,372.0","965,134.0"
