"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"244","237","              Meals at other eating places","DMOERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.395,63.81,66.644,69.683,71.932,73.251,74.476,75.616,77.23,79.061,81.189,83.338,85.549,87.648,90.452,92.679,94.571,97.136,100,103.152,106.811,111.083,114.198
"245","238","              Meals at drinking places","DMDPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.404,63.761,66.635,69.702,71.921,73.246,74.462,75.603,77.236,79.04,81.187,83.356,85.551,87.646,90.488,92.682,94.567,97.125,100,103.144,106.816,111.111,114.206
"246","239","          Alcohol in purchased meals","DAPMRG3",13.45,13.881,14.112,14.439,14.742,14.92,15.067,15.304,16.469,17.359,18.213,19.498,20.814,21.404,22.1,23.829,25.705,27.057,28.344,30.52,32.982,35.309,38.307,40.366,42.234,44.402,46.835,49.831,51.782,54.692,57.406,60.224,65.241,67.386,69.306,70.846,72.755,75.116,77.653,79.874,82.194,84.69,88.022,91.002,93.518,96.763,100,104.131,108.762,113.436,116.77
"247","240","        Food furnished to employees (including military) (103)","DFOORG3",13.647,14.01,14.313,14.692,15.037,15.29,15.634,16.363,17.194,18.084,19.197,20.623,21.683,22.553,24.331,27.44,29.993,32.022,34.407,37.373,41.487,45.538,49.54,52.108,54.289,56.5,58.638,60.834,63.153,65.622,68.56,71.678,73.988,75.351,76.608,77.783,79.455,81.316,83.515,85.174,87.025,88.07,88.972,91.248,94.78,97.397,100,103.407,106.867,111.11,115.637
"248","241","          Food supplied to civilians","DCFDRG3",13.643,14.004,14.308,14.688,15.032,15.284,15.626,16.349,17.191,18.081,19.199,20.63,21.686,22.551,24.326,27.446,29.991,32.023,34.399,37.378,41.493,45.542,49.542,52.11,54.291,56.5,58.639,60.834,63.153,65.624,68.561,71.68,73.99,75.352,76.609,77.784,79.446,81.318,83.516,85.175,87.025,88.071,88.972,91.245,94.78,97.396,100,103.433,106.91,111.184,115.717
"249","242","          Food supplied to military","DMFDRG3",13.639,14.006,14.309,14.686,15.032,15.285,15.632,16.373,17.185,18.075,19.178,20.593,21.664,22.55,24.343,27.401,29.994,32.004,34.438,37.33,41.436,45.499,49.513,52.084,54.269,56.49,58.62,60.826,63.136,65.596,68.535,71.646,73.964,75.332,76.593,77.763,79.562,81.283,83.487,85.148,87.007,88.048,88.96,91.275,94.77,97.412,100,103.281,106.671,110.753,115.517
"250","243","      Accommodations (104)","DACCRG3",10.811,10.999,11.14,11.234,11.266,11.395,11.6,11.803,12.336,12.973,13.826,14.868,15.512,15.883,16.552,17.695,18.996,20.45,22.104,24.84,28.189,31.915,35.429,39.202,41.187,44.272,47.372,49.359,52.495,55.575,58.164,60.762,63.872,65.728,67.775,69.704,72.231,75.459,78.699,81.939,84.611,88.494,89.698,89.899,91.304,96.227,100,104.402,109.71,111.124,106.399
"251","244","        Hotels and motels","DHOTRG3",10.418,10.619,10.763,10.848,10.853,10.978,11.2,11.429,12.092,12.874,13.888,15.134,15.766,16.087,16.758,18.003,19.35,20.923,22.611,25.784,29.714,33.967,37.804,42.171,44.296,47.762,51.097,53.001,56.323,59.569,62.017,64.492,67.628,69.024,70.964,72.739,75.288,78.738,82.051,85.398,87.985,92.099,92.696,91.687,92.066,96.809,100,104.168,109.427,109.775,101.898
"252","245","        Housing at schools","DSCHRG3",11.186,11.31,11.427,11.542,11.655,11.783,11.932,12.061,12.262,12.532,12.969,13.486,14.124,14.599,15.233,16.029,17.14,18.206,19.688,21.087,22.661,24.754,27.217,29.263,30.765,32.724,35.04,37.118,39.6,42.091,45.028,47.949,50.914,54.208,56.565,58.948,61.373,63.832,66.811,69.673,72.689,75.732,79.186,83.607,88.578,94.132,100,105.26,110.747,116.028,121.835
"253","246","    Financial services and insurance","DIFSRG3",11.65,12.159,12.57,13.088,13.103,13.651,13.998,14.842,15.183,16.307,17.765,18.677,19.797,21.01,21.506,23.229,24.948,25.955,27.949,31.638,33.361,35.942,38.658,40.89,44.831,47.666,49.7,52.479,53.873,57.147,59.147,62.102,64.836,69.726,70.503,71.664,74.514,77.523,82.117,84.071,84.91,85.66,85.177,87.519,91.48,96.488,100,102.303,106.726,109.986,109.444
"254","247","      Financial services","DFNLRG3",15.36,16.239,16.724,17.743,17.652,18.62,18.742,20.176,20.504,21.795,24.756,25.863,26.534,27.828,28.466,32.509,35.815,35.85,36.968,43.013,46.394,51.058,54.301,55.182,59.793,61.272,63.673,69.51,72.838,75.442,73.96,75.462,79.343,85.971,82.894,82.284,84.372,85.593,90.853,92.373,91.882,91.366,89.636,91.773,94.386,97.264,100,102.169,106.185,109.941,107.359
"255","248","        Financial services furnished without payment (107)","DIMPRG3",13.446,14.104,14.495,14.875,13.713,15.002,15.656,16.968,17.803,17.869,21.319,22.728,22.367,23.25,24.431,29.007,31.606,31.061,32.093,37.477,40.592,43.659,45.252,44.326,49.014,50.64,52.511,58.021,62.381,64.979,61.876,63.042,67.304,74.953,70.015,71.108,72.585,73.768,79.918,84.396,86.812,90.103,89.307,92.625,95.81,97.657,100,101.128,105.44,110.188,108.945
"256","249","          Commercial banks","DIMCRG3",17.507,18.451,18.045,18.157,18.094,19.088,19.782,21.165,21.995,23.332,27.023,28.39,26.786,27.175,27.91,34.67,36.728,34.323,35.616,39.862,45.049,51.825,56.207,60.293,57.632,58.592,57.121,62.728,64.726,67.63,62.607,63.475,67.92,76.835,69.668,70.428,70.477,70.611,77.292,82.318,84.048,87.222,87.733,93.7,96.957,98.167,100,99.665,106.815,118.153,117.222
"257","250","          Other depository institutions and regulated investment companies","DIMNRG3",9.04,9.402,10.52,11.111,9.052,10.535,11.12,12.312,13.114,11.939,15.201,16.699,17.828,19.409,21.255,23.598,27.323,28.948,29.165,37.439,38.279,37.726,36.873,30.843,45.047,47.259,52.583,59.013,66.53,68.707,65.132,65.941,70.696,77.998,73.97,75.251,77.901,79.003,85.7,89.894,92.387,94.934,91.687,93.414,96.978,98.155,100,101.154,103.402,105.866,105.906
"258","251","          Pension funds","DPENRG3",8.617,8.983,9.249,9.563,9.785,10.154,10.412,10.786,11.161,11.839,12.415,13.153,13.728,14.432,15.253,16.367,17.539,18.916,20.627,22.379,24.022,26.006,27.684,29.35,31.59,33.575,36.716,39.884,42.747,45.272,47.277,49.998,51.973,54.996,57.08,58.763,60.967,64.814,68.234,72.016,75.57,81.074,84.997,87.443,89.217,94.736,100,104.078,110.186,109.361,103.572
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRG3",17.779,19.05,19.688,22.011,24.643,24.595,23.433,24.982,24.293,27.87,29.344,29.375,33.247,35.574,33.955,34.147,39.246,42.068,43.07,49.437,52.499,62.168,70.813,78.405,80.961,81.258,84.898,90.088,88.975,91.002,94.835,97.031,99.098,101.993,103.98,99.31,102.596,103.794,106.836,102.99,98.199,92.95,90.117,90.861,92.841,96.838,100,103.233,106.958,109.682,105.621
"260","253","          Financial service charges and fees","DFEERG3",11.194,11.554,11.779,11.959,12.133,12.356,12.355,12.449,12.759,13.163,13.3,13.704,14.107,13.748,13.567,13.39,15.187,16.263,16.967,18.098,19.608,22.25,25.996,29.948,33.957,37.098,39.526,42.133,44.543,47.221,49.793,53.09,57.283,60.479,63.753,67.769,71.696,75.774,79.485,81.722,84.316,88.169,91.793,94.391,96.23,98.871,100,101.128,103.134,104.709,99.549
"261","254","          Securities commissions","DEQTRG3",51.798,57.235,59.763,71.298,85.336,84.065,77.667,85.661,80.865,98.133,105.8,103.572,126.9,145.44,134.891,138.721,162.055,173.884,174.534,216.725,225.368,278.74,308.803,325.715,308.661,288.001,298.601,319.277,313.384,308.774,313.505,300.507,300.947,283.623,267.883,226.626,219.761,203.786,203.017,172.157,144.315,115.867,98.322,92.957,96.295,97.446,100,99.829,99.52,99.984,96.532
"262","255","            Direct commissions","DDCTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519.689,490.993,485.967,469.239,463.67,443.107,380.825,308.436,286.595,269.744,264.623,205.5,156.198,112.469,97.431,92.554,98.821,99.234,100,100.157,105.848,101.84,99.073
"263","256","              Exchange-listed equities","DDCERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.205,194.205,146.317,110.732,98.276,96.645,97.978,97.63,100,103.188,106.189,100.596,98.46
"264","257","              Other direct commissions","DDCORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.43,216.514,165.929,114.503,96.802,88.131,99.199,100.174,100,98.624,105.644,102.383,99.628
"265","258","            Indirect commissions","DICTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.636,224.231,228.489,214.991,224.828,203.058,228.365,197.209,207.567,179.825,199.012,190.526,182.499,176.439,119.675,107.419,102.873,103.373,100,92.254,94.145,124.927,121.999
"266","259","              Over-the-counter equity securities","DICVRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2205.695,1428.75,936.145,799.25,305.127,181.48,131.545,120.905,100,92.057,108.115,130.03,97.249
"267","260","              Other imputed commissions","DICORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.377,79.35,93.685,99.319,96.431,98.531,99.85,101.718,100,92.269,93.251,124.681,127.212
"268","261","            Mutual fund sales charges","DMUTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.364,114.864,124.964,121.731,117.564,113.096,109.906,102.675,102.052,98.857,89.426,89.007,91.686,90.105,90.597,87.716,86.909,90.203,100,104.71,93.728,77.944,72.59
"269","262","          Portfolio management and investment advice services","DPMIRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.224,45.156,46.278,49.534,46.944,56.438,60.431,56.446,62.905,67.16,69.705,73.235,75.848,78.17,81.051,84.899,86.689,93.994,100,106.376,114.453,118.216,116.053
"270","263","          Trust, fiduciary, and custody activities","DTRURG3",25.74,26.569,27.084,27.499,27.9,28.413,28.411,28.626,29.34,30.268,30.582,31.513,32.439,31.612,31.197,30.789,34.922,37.395,39.016,41.617,45.087,51.164,59.778,68.866,73.945,76.259,76.433,76.337,59.198,54.464,60.319,61.162,57.843,59.04,66.668,69.386,71.128,79.083,87.793,96.647,95.562,103.489,98.365,95.066,92.478,97.508,100,112.776,109.827,126.388,108.773
"271","264","      Insurance","DINSRG3",7.573,7.822,8.111,8.313,8.364,8.627,8.984,9.403,9.678,10.495,10.988,11.624,12.724,13.664,13.996,14.289,14.901,16.252,18.395,20.185,20.734,21.786,23.74,26.269,29.283,32.805,34.367,34.428,34.089,37.671,42.208,46.016,47.612,50.702,54.594,57.275,60.704,65.521,69.178,71.652,74.352,77.034,78.479,81.14,87.147,95.327,100,102.509,107.592,110.02,112.822
"272","265","        Life insurance (110)","DLIFRG3",8.661,9.029,9.296,9.611,9.834,10.205,10.465,10.84,11.218,11.867,12.456,13.204,13.786,14.506,15.299,16.418,17.604,18.986,20.732,22.481,24.132,26.128,27.815,29.499,31.731,33.725,36.872,40.065,42.964,45.543,47.556,50.321,52.295,55.275,57.319,59.014,61.218,65.065,68.57,72.38,75.946,81.485,81.779,88.044,91.641,96.098,100,102.862,106.059,106.724,108.54
"273","266","        Net household insurance (111)","DFINRG3",4.374,4.338,4.396,4.479,4.764,5.246,6.056,6.795,7.571,8.099,8.559,9.041,10.008,10.409,10.388,9.373,9.525,11.256,12.61,12.888,13.762,15.421,16.942,18.841,20.601,21.516,22.815,25.143,26.554,28.276,29.785,30.449,31.485,32.587,35.068,37.767,42.253,45.79,50.697,51.432,54.602,58.583,64.258,71.583,89.131,95.115,100,101.266,106.316,112.828,120.316
"274","267","          Household insurance premiums and premium supplements","DFIPRG3",19.874,19.814,19.902,20.042,20.636,21.629,23.071,24.412,25.792,27.01,28.173,29.265,30.952,31.762,32.073,32.034,33.905,37.224,39.796,41.209,43.754,47.744,51.479,55.243,57.922,59.238,60.771,63.23,65.13,67.438,69.141,70.242,71.538,73.087,75.173,77.767,80.357,82.131,84.387,84.957,86.209,88.191,90.37,92.502,97.652,98.873,100,99.103,99.542,101.111,103.358
"275","268","          Less: Household insurance normal losses","DFIBRG3",52.98,53.127,52.839,52.535,52.297,52.251,51.967,52.45,53.193,54.809,56.62,58.098,59.444,60.387,61.546,66.816,73.084,75.975,78.468,82.081,86.745,92.64,98.48,103.034,104.978,105.882,106.361,106.868,108.355,109.966,110.357,111.585,112.472,114.022,114.541,116.112,115.289,114.317,113.004,113.295,111.905,111.229,109.347,106.713,103.109,101.247,100,97.881,95.734,94.223,93.086
"276","269","        Net health insurance (112)","DHINRG3",5.969,6.115,6.591,6.801,6.581,6.722,7.072,7.456,7.535,9.03,9.274,9.508,11.015,12.626,12.673,12.476,12.524,13.04,16.206,18.734,17.441,17.377,20.189,24.697,29.186,35.003,34.729,30.12,25.808,30.425,37.885,43.802,44.498,46.744,51.393,54.457,59.24,65.478,70.858,72.163,73.522,75.845,77.987,78.492,85.262,96.196,100,103.684,108.407,111.342,113.804
"277","270","          Medical care and hospitalization","DMINRG3",3.612,3.99,4.506,4.757,4.721,4.843,5.113,5.278,5.037,7.306,6.722,7.177,8.375,10.653,10.347,9.625,7.792,8.221,12.104,13.815,14.544,14.42,16.408,20.822,25.335,32.448,33.338,25.89,20.856,26.824,36.406,43.572,45.293,48.352,53.334,57.001,60.88,63.898,66.858,68.338,70.251,72.336,74.923,77.123,84.542,96.816,100,103.284,107.169,110.023,113.223
"278","271","          Income loss","DIINRG3",70.723,68.104,72.016,71.315,65.33,65.547,68.523,77.127,85.237,82.055,95.479,83.503,102.093,113.661,124.929,124.327,164.25,164.936,185.31,253.148,150.244,123.333,150.802,231.07,251.235,245.418,222.167,293.045,263.634,306.992,286.899,318.554,237.184,233.148,131.106,166.872,126.5,93.45,82.346,83.486,85.314,88.188,90.662,92.113,94.216,96.743,100,103.199,106.155,110.165,109.775
"279","272","          Workers' compensation","DPWCRG3",10.259,9.958,10.063,10.427,10.207,10.531,11.084,11.342,11.504,12.2,13.611,15.323,16.573,15.34,15.039,16.737,18.781,19.88,20.096,20.247,21.382,23.858,28.223,28.559,32.43,34.303,31.147,32.185,31.079,30.406,32.539,33.921,34.179,34.212,41.82,41.575,51.555,72.406,89.124,89.696,88.325,91.778,91.651,83.797,87.876,93.155,100,105.631,114.71,117.924,116.515
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRG3",8.714,8.95,9.092,9.12,9.2,9.415,9.909,10.442,10.764,11.015,11.724,12.794,14.171,14.56,14.671,14.659,15.347,17.935,19.138,20.021,21.831,23.159,24.078,24.733,26.819,29.48,31.632,34.669,36.693,39.857,43.088,45.013,47.77,53.1,59.23,63.002,65.743,69.625,70.291,73.215,77.263,76.615,77.713,80.107,85.969,92.212,100,99.198,107.789,110.851,115.3
"281","274","    Other services","DOTSRG3",13.964,14.353,14.517,14.754,15.074,15.41,15.805,16.262,16.782,17.524,18.373,19.258,20.395,21.439,22.699,25.154,26.957,28.642,30.113,31.693,33.994,37.082,40.878,44.06,46.547,48.916,50.698,53.357,54.646,56.933,59.081,61.488,64.426,67.158,69.489,72.092,74.479,76.639,78.786,80.394,82.357,83.942,86.539,89.912,93.234,96.358,100,103.422,106.374,110.819,113.229
"282","275","      Communication","DCOMRG3",47.419,48.281,48.484,48.539,49.47,49.749,49.195,48.309,49.037,49.879,50.648,51.21,54.49,57.596,58.985,62.248,64.244,68.021,68.828,70.13,70.344,71.42,78.846,87.032,91.891,97.828,101.327,104.403,102.209,102.214,102.456,102.221,104.362,104.559,105.016,106.92,107.359,107.627,108.227,107.393,105.313,102.328,101.386,102.24,102.273,100.759,100,100.058,97.734,99.408,101.311
"283","276","        Telecommunication services (71)","DTCSRG3",56.872,57.77,57.967,57.962,57.979,58.058,57.236,55.976,56.716,56.719,57.467,58.137,60.991,64.425,66.073,68.864,71.089,73.617,74.454,75.291,75.034,76.301,83.573,92.074,97.879,105.009,108.095,111.573,108.883,107.589,107.414,107.083,107.948,108.016,108.541,110.801,110.361,110.555,111.084,109.735,107.213,103.892,102.171,102.715,102.258,100.703,100,100.634,102.431,104.14,105.682
"284","277","          Land-line telephone services, local charges","DLOCRG3",25.334,25.738,25.805,25.805,25.805,25.873,25.468,24.936,25.266,25.265,25.603,25.874,27.15,28.697,29.433,30.643,31.649,32.791,33.159,33.771,33.522,34.528,39.016,43.469,46.951,53.477,57.423,63.319,66.581,67.535,69.98,71.286,73.512,74.324,74.676,74.896,76.522,76.74,77.816,79.051,80.507,83.788,88.174,92.133,95.91,97.361,100,102.077,105.939,109.746,112.872
"285","278","          Land-line telephone services, long-distance charges","DLDTRG3",117.225,119.053,119.561,119.539,119.612,119.614,118.109,115.371,116.892,116.91,118.43,119.946,125.807,132.795,136.184,142.101,146.61,151.747,153.494,154.061,154.181,154.688,163.983,178.539,186.602,187.445,184.108,176.737,158.909,152.826,146.797,143.039,140.876,139.838,141.411,147.991,144.262,149.451,150.836,148.968,145.555,136.125,131.61,125.957,115.119,105.115,100,101.174,105.886,110.874,115.758
"286","279","          Cellular telephone services","DCELRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.897,201.359,196.086,187.691,193.374,196.312,198.323,194.996,188.654,185.568,182.048,164.429,158.962,146.261,130.201,116.441,104.791,103.693,102.845,101.87,100,99.4,99.108,98.897,98.921
"287","280","        Postal and delivery services (68)","DPSSRG3",11.092,11.472,11.58,11.687,13.412,13.847,13.956,14.068,14.448,16.385,16.875,16.997,19.868,21.094,21.389,24.725,25.471,32.14,32.651,35.338,37.295,37.412,43.86,49.109,49.232,49.37,53.651,54.521,54.695,59.882,61.896,62.171,70.498,71.599,71.91,72.201,78.81,79.089,79.33,79.858,82.505,83.269,87.017,91.728,96.587,98.649,100,105.902,109.44,115.871,118.434
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRG3",11.656,12.057,12.17,12.281,14.113,14.572,14.685,14.798,15.198,17.255,17.766,17.882,20.969,22.279,22.569,26.167,26.905,34.16,34.641,37.505,39.565,39.611,46.509,52.108,52.17,52.231,56.88,57.698,57.726,63.459,65.53,65.53,75.187,76.117,76.117,76.117,83.979,83.979,83.979,83.979,86.494,86.499,89.847,95.001,100,100,100,105.359,107.966,111.581,117.145
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRG3",11.994,12.221,12.355,12.593,12.81,13.087,13.373,13.783,14.162,14.877,15.526,16.1,16.931,17.587,18.333,19.545,21.173,22.607,24.2,25.915,27.725,29.974,32.564,34.872,37.387,39.198,40.89,42.746,44.436,46.437,48.46,50.515,52.538,54.491,56.179,57.744,59.279,60.707,61.973,64.702,67.903,71.531,76.763,79.835,84.184,93.66,100,107.851,114.717,131.547,123.458
"290","283","        Internet access (72)","DINTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.155,160.259,151.609,144.439,133.543,123.17,112.228,98.457,93.707,96.432,100.196,107.213,103.926,100.656,102.532,103.407,104.282,101.717,100,95.632,76.535,77.244,79.987
"291","284","      Education services","DTEDRG3",5.57,5.697,5.812,5.959,6.103,6.253,6.467,6.757,7.037,7.359,7.809,8.349,8.794,9.248,9.95,11.256,12.244,13.137,13.992,14.729,16.019,17.802,19.889,22.132,24.026,26.101,28.072,30.008,32.126,34.52,36.977,39.538,42.828,46.459,49.908,52.924,55.889,58.85,61.689,64.499,67.718,71.031,74.83,79.654,85.83,93.155,100,106.339,112.362,118.874,125.46
"292","285","        Higher education (97)","DHEDRG3",4.639,4.759,4.878,5.063,5.248,5.445,5.682,5.968,6.272,6.652,7.1,7.598,8.073,8.52,8.987,9.762,10.486,11.209,11.947,12.605,13.613,14.909,16.756,19.013,20.992,23.141,25.248,27.287,29.345,31.576,34.075,36.827,40.566,44.929,49.144,52.586,55.745,58.913,61.907,64.524,67.076,69.852,73.406,78.415,84.983,93.034,100,106.7,113.382,120.457,127.729
"293","286","          Proprietary and public higher education","DGEDRG3",4.67,4.79,4.912,5.09,5.268,5.478,5.715,6.011,6.311,6.695,7.141,7.647,8.125,8.572,9.046,9.82,10.563,11.279,12.022,12.609,13.612,14.908,16.752,19.013,20.994,23.141,25.248,27.289,29.345,31.576,34.076,36.826,40.575,44.94,49.142,52.585,55.744,58.904,61.91,64.524,67.078,69.851,73.412,78.426,84.982,93.039,100,106.7,113.381,120.45,127.714
"294","287","          Nonprofit private higher education services to households","DPEDRG3",4.608,4.728,4.844,5.032,5.22,5.41,5.645,5.925,6.231,6.608,7.055,7.546,8.017,8.464,8.925,9.699,10.406,11.134,11.869,12.601,13.613,14.909,16.761,19.011,20.988,23.139,25.247,27.283,29.343,31.574,34.072,36.828,40.551,44.912,49.145,52.587,55.745,58.925,61.903,64.523,67.072,69.853,73.396,78.4,84.985,93.027,100,106.7,113.385,120.468,127.723
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRG3",5.157,5.29,5.419,5.486,5.549,5.581,5.711,5.932,6.093,6.254,6.642,7.217,7.572,7.959,9.054,10.911,12.151,13.216,14.003,14.466,15.755,17.663,19.672,21.855,23.673,25.697,27.665,29.726,32.131,34.853,37.546,40.447,43.576,46.731,49.841,52.732,55.994,58.753,61.771,65.726,69.68,74.241,78.781,83.882,89.009,94.327,100,105.722,111.224,117.27,122.933
"296","289","          Elementary and secondary schools","DESCRG3",4.332,4.445,4.553,4.607,4.661,4.688,4.796,4.985,5.119,5.255,5.577,6.062,6.359,6.682,7.665,9.342,10.431,11.305,11.988,12.288,13.357,14.976,16.742,18.833,20.613,22.629,24.631,26.736,29.231,31.992,34.749,37.833,40.981,44.207,47.387,50.21,53.642,56.457,59.593,63.708,67.727,72.403,77.094,82.449,87.93,93.849,100,105.801,111.639,118.083,124.283
"297","290","          Day care and nursery schools","DNSCRG3",10.799,11.019,11.326,11.544,11.654,11.736,12.035,12.378,12.782,13.094,13.994,15.144,15.929,16.779,17.857,19.894,21.827,24.186,25.514,27.518,30.284,33.932,37.033,38.434,39.425,40.564,41.608,42.88,44.235,46.215,48.238,50.033,52.833,55.455,58.143,61.213,63.745,66.236,68.769,72.122,75.825,79.977,84.01,88.298,92.311,95.788,100,105.48,110.017,114.968,119.143
"298","291","        Commercial and vocational schools (99)","DVEDRG3",11.552,11.67,11.667,11.827,11.982,12.247,12.559,13.042,13.501,13.92,14.497,15.069,15.487,16.072,16.895,19.885,21.649,22.977,24.613,26.478,29.321,33.58,36.994,38.562,39.461,40.659,41.448,42.278,43.924,46.393,48.25,49.444,51.067,52.33,53.17,54.705,56.544,59.044,61.146,63.362,68.017,71.854,75.752,79.679,85.54,92.346,100,105.685,109.914,114.943,120.028
"299","292","      Professional and other services (121)","DPRSRG3",7.723,7.919,8.075,8.217,8.391,8.692,9.01,9.242,9.62,10.001,10.658,11.497,12.251,13.107,14.073,15.344,16.462,17.473,18.594,19.874,21.63,24.545,27.655,30.891,34.557,37.371,39.554,41.96,44.87,46.748,49.239,52.417,55.291,57.904,60.206,62.474,64.835,67.423,70.246,73.517,76.951,80.656,84.57,88.665,92.393,95.981,100,104.655,108.91,113.343,116.469
"300","293","        Legal services","DGALRG3",6.093,6.272,6.4,6.493,6.627,6.975,7.376,7.597,7.992,8.3,9.008,9.978,10.82,11.877,12.981,14.043,15.013,16.029,17.145,18.335,19.897,22.546,25.566,28.976,32.989,36.044,38.407,40.951,44.205,45.921,48.572,52.058,54.904,57.678,59.966,61.812,63.775,66.011,68.694,72.116,75.83,79.979,84.013,88.308,92.304,95.802,100,104.447,108.699,113.064,116.119
"301","294","        Accounting and other business services","DPRORG3",7.765,7.966,8.032,8.137,8.24,8.348,8.513,8.746,9.057,9.474,9.954,10.532,10.974,11.276,11.989,13.294,14.454,15.369,16.441,17.599,19.128,21.573,24.241,27.023,30.125,32.532,34.515,36.544,38.602,41.015,43.408,46.495,50.226,53.089,56.111,60.649,63.913,67.182,70.317,73.923,77.31,81.151,84.719,88.837,92.357,96.072,100,105.764,109.855,115.05,117.602
"302","295","          Tax preparation and other related services","DTAPRG3",7.059,7.268,7.226,7.295,7.411,7.48,7.632,7.813,8.073,8.398,8.871,9.419,9.816,10.106,10.757,11.953,12.978,13.708,14.582,15.468,16.762,19.011,21.574,24.383,27.607,30.118,32.126,34.214,36.297,38.766,41.092,44.108,47.748,50.482,53.399,57.953,61.3,64.81,67.976,72.057,75.784,80.068,83.745,88.096,91.857,95.744,100,106.739,111.039,116.648,119.493
"303","296","          Employment agency services","DGENRG3",9.921,10.088,10.195,10.375,10.41,10.583,10.744,10.998,11.312,11.924,12.487,13.263,13.894,14.299,15.183,16.839,18.282,19.312,20.606,21.888,23.656,26.854,30.419,34.434,39.269,42.823,45.613,48.604,51.586,55.079,58.388,62.631,67.724,71.75,75.888,82.406,84.78,85.492,86.973,88.255,90.494,92.086,93.893,95.472,96.528,97.884,100,99.892,102.186,102.913,103.313
"304","297","          Other personal business services","DTHERG3",10.501,10.846,11.021,11.149,11.361,11.508,11.774,12.195,12.75,13.373,13.955,14.578,15.081,15.398,16.357,18.036,19.724,21.528,23.446,25.892,28.48,31.575,34.566,36.837,38.656,40.419,42.183,43.635,45.239,46.998,49.347,52.243,55.699,58.574,61.515,64.73,68.01,71.183,74.633,77.485,80.205,83.255,86.809,90.538,93.554,96.975,100,103.393,107.119,111.716,113.529
"305","298","        Labor organization dues","DUNSRG3",14.541,14.618,14.687,14.834,15.048,15.342,15.703,15.999,16.43,17.088,17.961,18.975,19.995,20.944,22.038,25.309,27.707,29.39,31.35,33.527,37.104,42.453,46.548,48.422,49.88,51.188,52.213,53.951,55.698,58.389,60.636,62.238,63.983,65.578,66.741,67.983,69.792,72.7,74.905,77.386,80.153,82.714,87.99,90.358,92.641,96.063,100,103.257,106.306,107.863,110.866
