"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"69","49","    State and local","A925RC1","16,334.0","16,984.0","17,876.0","17,986.0","18,240.0","18,096.0","17,846.0","16,477.0","16,357.0","17,701.0","18,370.0","20,598.0","21,508.0","31,341.0","23,056.0","37,915.0","32,584.0","29,807.0","29,037.0","28,595.0","27,688.0","27,741.0","28,379.0","24,199.0","20,481.0","22,658.0","23,892.0","23,704.0","26,576.0","27,694.0","27,663.0","32,574.0","31,584.0","34,132.0","38,490.0","38,654.0","40,455.0","47,218.0","40,836.0","44,095.0","40,625.0","38,879.0","41,881.0","40,560.0","40,646.0","36,644.0","39,901.0","45,128.0","46,509.0","43,901.0","44,470.0","40,521.0","37,822.0","37,883.0","37,333.0","36,285.0","33,168.0","43,723.0","50,775.0","55,486.0","64,147.0","68,827.0","63,689.0","68,419.0","68,368.0","68,282.0","66,592.0","64,706.0","73,264.0","67,570.0","70,788.0","62,667.0","57,538.0","70,887.0","63,145.0","62,069.0","65,890.0","66,467.0","76,865.0","78,953.0","84,393.0","84,153.0","80,673.0","65,474.0","76,563.0","71,420.0","68,161.0","60,756.0","58,945.0","58,479.0","64,944.0","61,923.0","68,014.0","69,076.0","65,476.0","71,284.0","62,163.0","69,831.0","70,551.0","88,875.0","81,821.0","81,184.0","93,945.0","88,472.0","92,237.0","80,287.0","92,963.0","103,777.0","106,415.0","105,250.0","112,755.0","116,448.0","119,791.0","124,162.0","132,373.0","135,144.0","139,987.0","137,823.0","141,805.0","152,615.0","143,609.0","138,742.0","144,377.0","148,954.0","157,863.0","161,739.0","149,345.0","135,000.0","129,056.0","109,620.0","93,700.0","68,081.0","63,785.0","63,353.0","75,537.0","68,177.0","44,234.0","74,371.0","102,303.0","132,882.0","108,595.0","113,758.0","135,548.0","156,943.0","170,216.0","167,199.0","177,509.0","189,302.0","219,395.0","224,405.0","206,619.0","204,650.0","203,673.0","206,835.0","190,156.0","162,893.0","143,304.0","159,205.0","91,013.0","82,378.0","81,276.0","123,759.0","124,539.0","154,399.0","168,796.0","174,877.0","199,811.0","171,250.0","151,966.0","172,405.0","132,874.0","137,997.0","....."
"70","50","  Net domestic investment","W171RC1","105,436.0","101,066.0","103,659.0","91,921.0","87,885.0","88,741.0","90,745.0","83,222.0","99,088.0","103,874.0","106,482.0","99,167.0","111,990.0","123,842.0","125,209.0","131,354.0","145,438.0","154,326.0","144,717.0","157,731.0","142,474.0","149,102.0","136,187.0","140,188.0","99,247.0","86,690.0","108,275.0","117,555.0","143,810.0","151,919.0","151,674.0","153,334.0","171,402.0","195,571.0","211,177.0","210,118.0","214,016.0","250,849.0","266,620.0","282,934.0","276,922.0","284,951.0","287,525.0","280,371.0","280,958.0","232,410.0","191,409.0","236,908.0","295,384.0","269,207.0","298,490.0","280,608.0","211,191.0","212,341.0","202,751.0","157,734.0","169,327.0","213,553.0","250,495.0","310,800.0","378,616.0","401,552.0","415,046.0","407,303.0","375,885.0","392,175.0","382,736.0","407,374.0","402,978.0","388,953.0","370,887.0","362,266.0","385,448.0","385,055.0","382,245.0","439,810.0","383,625.0","400,813.0","395,847.0","406,546.0","438,761.0","426,876.0","416,038.0","402,990.0","415,608.0","409,665.0","386,470.0","330,311.0","290,542.0","284,016.0","298,971.0","321,794.0","298,629.0","346,824.0","351,811.0","376,894.0","385,275.0","389,959.0","378,773.0","425,029.0","451,983.0","511,533.0","497,574.0","535,059.0","540,210.0","503,607.0","481,962.0","502,954.0","513,131.0","563,922.0","607,996.0","602,552.0","630,867.0","680,923.0","698,502.0","698,575.0","744,258.0","718,167.0","757,846.0","792,091.0","830,692.0","805,242.0","829,407.0","872,572.0","840,643.0","937,373.0","901,146.0","889,679.0","780,265.0","780,331.0","720,261.0","630,108.0","677,554.0","689,400.0","686,664.0","688,169.0","687,285.0","684,267.0","746,419.0","807,591.0","818,277.0","908,711.0","934,829.0","970,837.0","1,012,785.0","978,508.0","1,007,300.0","1,093,095.0","1,128,251.0","1,131,305.0","1,085,782.0","1,020,714.0","987,242.0","1,027,030.0","995,433.0","927,023.0","843,211.0","818,527.0","724,717.0","536,264.0","238,019.0","136,628.0","136,623.0","232,823.0","334,510.0","449,656.0","485,488.0","432,379.0","422,416.0","433,602.0","430,073.0","511,582.0","519,543.0"
"71","51","    Private","A557RC1","84,135.0","82,223.0","84,918.0","76,542.0","70,919.0","72,484.0","73,529.0","65,799.0","85,289.0","90,283.0","92,536.0","86,446.0","98,701.0","110,106.0","113,662.0","117,118.0","128,395.0","138,647.0","130,678.0","142,398.0","124,308.0","127,508.0","115,081.0","119,430.0","75,675.0","68,178.0","84,554.0","90,674.0","115,062.0","128,402.0","129,277.0","132,922.0","149,114.0","171,794.0","189,404.0","190,454.0","195,453.0","222,796.0","236,021.0","249,690.0","249,780.0","253,087.0","249,132.0","241,632.0","237,817.0","193,320.0","156,309.0","200,406.0","254,988.0","232,957.0","264,372.0","244,210.0","179,194.0","176,119.0","168,549.0","119,313.0","131,375.0","174,658.0","206,992.0","266,093.0","330,425.0","350,703.0","363,412.0","348,093.0","317,248.0","325,901.0","311,122.0","339,366.0","334,247.0","316,915.0","290,209.0","288,457.0","310,935.0","307,105.0","301,756.0","362,072.0","313,131.0","327,393.0","324,300.0","333,011.0","366,426.0","352,539.0","336,712.0","325,703.0","330,518.0","325,478.0","302,608.0","243,601.0","210,482.0","200,856.0","216,938.0","241,561.0","213,667.0","265,977.0","275,514.0","304,385.0","318,637.0","320,022.0","312,147.0","357,035.0","396,842.0","451,488.0","427,607.0","469,406.0","472,065.0","432,788.0","415,959.0","436,893.0","441,725.0","490,088.0","531,710.0","523,834.0","549,272.0","601,497.0","619,079.0","625,951.0","674,361.0","637,558.0","664,478.0","700,471.0","737,679.0","707,584.0","728,509.0","763,311.0","731,129.0","832,980.0","794,752.0","782,662.0","670,101.0","653,484.0","611,447.0","506,304.0","548,138.0","558,765.0","551,595.0","553,187.0","554,018.0","549,969.0","603,566.0","667,338.0","680,781.0","765,368.0","791,498.0","833,088.0","878,952.0","839,188.0","863,755.0","943,993.0","979,143.0","971,042.0","930,231.0","862,573.0","827,768.0","861,042.0","828,599.0","758,744.0","670,683.0","630,780.0","530,774.0","346,446.0","57,509.0","-51,422.0","-49,357.0","60,779.0","172,740.0","275,296.0","307,910.0","260,940.0","282,600.0","304,791.0","298,979.0","387,135.0","407,459.0"
"72","52","      Domestic business","W790RC1","58,766.0","57,182.0","60,291.0","54,207.0","48,983.0","51,704.0","52,151.0","41,366.0","58,490.0","59,372.0","59,150.0","50,890.0","59,524.0","69,866.0","72,615.0","72,475.0","80,958.0","92,652.0","85,548.0","99,646.0","85,242.0","89,861.0","77,409.0","86,951.0","44,898.0","35,422.0","47,667.0","50,419.0","68,745.0","78,680.0","79,944.0","74,017.0","86,054.0","97,665.0","113,598.0","114,313.0","117,709.0","138,343.0","149,402.0","163,131.0","166,675.0","171,088.0","166,566.0","161,949.0","164,309.0","139,012.0","99,767.0","133,974.0","190,136.0","170,812.0","208,640.0","195,611.0","133,092.0","130,928.0","122,757.0","66,878.0","63,532.0","94,169.0","113,941.0","165,930.0","226,246.0","242,984.0","256,407.0","240,782.0","210,929.0","219,130.0","202,880.0","226,214.0","213,421.0","185,905.0","154,262.0","149,742.0","170,500.0","162,956.0","155,161.0","212,250.0","165,206.0","175,678.0","171,838.0","177,701.0","212,296.0","203,387.0","189,598.0","183,665.0","185,664.0","188,740.0","175,461.0","126,125.0","102,399.0","87,653.0","95,164.0","116,158.0","79,545.0","121,335.0","129,221.0","148,948.0","164,509.0","164,209.0","148,802.0","180,304.0","211,063.0","256,339.0","235,232.0","280,914.0","291,796.0","264,292.0","241,728.0","255,768.0","250,617.0","284,447.0","321,985.0","315,032.0","337,680.0","383,970.0","394,676.0","395,332.0","434,650.0","384,664.0","399,754.0","426,341.0","462,523.0","428,196.0","445,583.0","475,825.0","433,449.0","534,382.0","501,104.0","488,658.0","366,062.0","343,512.0","295,794.0","193,444.0","224,015.0","222,594.0","214,500.0","204,786.0","192,287.0","179,877.0","207,598.0","250,279.0","245,758.0","299,192.0","310,642.0","342,355.0","371,776.0","310,160.0","313,304.0","387,023.0","420,124.0","440,642.0","440,687.0","403,297.0","405,318.0","461,043.0","463,408.0","440,575.0","395,326.0","375,581.0","303,690.0","165,759.0","-84,024.0","-169,980.0","-176,975.0","-59,957.0","59,749.0","148,118.0","205,582.0","158,429.0","184,627.0","202,176.0","195,223.0","277,069.0","285,217.0"
"73","53","      Households and institutions","W791RC1","25,369.0","25,041.0","24,627.0","22,335.0","21,936.0","20,780.0","21,378.0","24,433.0","26,799.0","30,911.0","33,386.0","35,556.0","39,177.0","40,240.0","41,047.0","44,643.0","47,437.0","45,995.0","45,130.0","42,752.0","39,066.0","37,647.0","37,672.0","32,479.0","30,777.0","32,756.0","36,887.0","40,255.0","46,317.0","49,722.0","49,333.0","58,905.0","63,060.0","74,129.0","75,806.0","76,141.0","77,744.0","84,453.0","86,619.0","86,559.0","83,105.0","81,999.0","82,566.0","79,683.0","73,508.0","54,308.0","56,542.0","66,432.0","64,852.0","62,145.0","55,732.0","48,599.0","46,102.0","45,191.0","45,792.0","52,435.0","67,843.0","80,489.0","93,051.0","100,163.0","104,179.0","107,719.0","107,005.0","107,311.0","106,319.0","106,771.0","108,242.0","113,152.0","120,826.0","131,010.0","135,947.0","138,715.0","140,435.0","144,149.0","146,595.0","149,822.0","147,925.0","151,715.0","152,462.0","155,310.0","154,130.0","149,152.0","147,114.0","142,038.0","144,854.0","136,738.0","127,147.0","117,476.0","108,083.0","113,203.0","121,774.0","125,403.0","134,122.0","144,642.0","146,293.0","155,437.0","154,128.0","155,813.0","163,345.0","176,731.0","185,779.0","195,149.0","192,375.0","188,492.0","180,269.0","168,496.0","174,231.0","181,125.0","191,108.0","205,641.0","209,725.0","208,802.0","211,592.0","217,527.0","224,403.0","230,619.0","239,711.0","252,894.0","264,724.0","274,130.0","275,156.0","279,388.0","282,926.0","287,486.0","297,680.0","298,598.0","293,648.0","294,004.0","304,039.0","309,972.0","315,653.0","312,860.0","324,123.0","336,171.0","337,095.0","348,401.0","361,731.0","370,092.0","395,968.0","417,059.0","435,023.0","466,176.0","480,856.0","490,733.0","507,176.0","529,028.0","550,451.0","556,970.0","559,019.0","530,400.0","489,544.0","459,278.0","422,448.0","399,998.0","365,191.0","318,170.0","275,358.0","255,200.0","227,083.0","180,687.0","141,534.0","118,558.0","127,617.0","120,735.0","112,991.0","127,178.0","102,328.0","102,512.0","97,973.0","102,615.0","103,757.0","110,067.0","122,242.0"
"74","54","    Government","A889RC1","21,301.0","18,843.0","18,741.0","15,379.0","16,966.0","16,257.0","17,216.0","17,423.0","13,799.0","13,591.0","13,946.0","12,721.0","13,289.0","13,736.0","11,547.0","14,236.0","17,043.0","15,679.0","14,039.0","15,333.0","18,166.0","21,594.0","21,106.0","20,758.0","23,572.0","18,512.0","23,721.0","26,881.0","28,748.0","23,517.0","22,397.0","20,412.0","22,288.0","23,777.0","21,773.0","19,664.0","18,563.0","28,053.0","30,599.0","33,244.0","27,142.0","31,864.0","38,393.0","38,739.0","43,141.0","39,090.0","35,100.0","36,502.0","40,396.0","36,250.0","34,118.0","36,398.0","31,997.0","36,222.0","34,202.0","38,421.0","37,952.0","38,895.0","43,503.0","44,707.0","48,191.0","50,849.0","51,634.0","59,210.0","58,637.0","66,274.0","71,614.0","68,008.0","68,731.0","72,038.0","80,678.0","73,809.0","74,513.0","77,950.0","80,489.0","77,738.0","70,494.0","73,420.0","71,547.0","73,535.0","72,335.0","74,337.0","79,326.0","77,287.0","85,090.0","84,187.0","83,862.0","86,710.0","80,060.0","83,160.0","82,033.0","80,233.0","84,962.0","80,847.0","76,297.0","72,509.0","66,638.0","69,937.0","66,626.0","67,994.0","55,141.0","60,045.0","69,967.0","65,653.0","68,145.0","70,819.0","66,003.0","66,061.0","71,406.0","73,834.0","76,286.0","78,718.0","81,595.0","79,426.0","79,423.0","72,624.0","69,897.0","80,609.0","93,368.0","91,620.0","93,013.0","97,658.0","100,898.0","109,261.0","109,514.0","104,393.0","106,394.0","107,017.0","110,164.0","126,847.0","108,814.0","123,804.0","129,416.0","130,635.0","135,069.0","134,982.0","133,267.0","134,298.0","142,853.0","140,253.0","137,496.0","143,343.0","143,331.0","137,749.0","133,833.0","139,320.0","143,545.0","149,102.0","149,108.0","160,263.0","155,551.0","158,141.0","159,474.0","165,988.0","166,834.0","168,279.0","172,528.0","187,747.0","193,943.0","189,818.0","180,510.0","188,050.0","185,980.0","172,044.0","161,770.0","174,360.0","177,578.0","171,439.0","139,816.0","128,811.0","131,094.0","124,447.0","112,084.0"
"75","55","      Federal","A890RC1","1,652.0","-896.0","-196.0","-2,240.0","-612.0","-1,288.0","-1,772.0","-1,232.0","-4,532.0","-4,916.0","-3,832.0","-5,764.0","-5,056.0","-3,288.0","-5,680.0","-4,416.0","-1,984.0","-2,828.0","-4,588.0","-4,200.0","-2,792.0","-1,324.0","-1,360.0","-764.0","-1,004.0","-2,772.0","1,276.0","1,692.0","1,376.0","156.0","1,712.0","1,476.0","1,912.0","2,416.0","1,936.0","404.0","376.0","2,360.0","3,116.0","4,592.0","3,192.0","3,392.0","7,168.0","5,000.0","7,344.0","6,204.0","5,176.0","6,412.0","6,048.0","8,256.0","8,852.0","9,360.0","7,260.0","11,412.0","9,192.0","11,780.0","13,040.0","14,736.0","16,592.0","18,504.0","19,016.0","19,436.0","17,144.0","23,716.0","22,016.0","25,816.0","30,160.0","27,548.0","24,388.0","26,656.0","34,172.0","30,192.0","28,144.0","32,120.0","33,224.0","29,136.0","21,908.0","21,192.0","20,300.0","19,604.0","19,236.0","18,960.0","22,936.0","17,476.0","20,392.0","21,580.0","21,208.0","19,884.0","15,748.0","19,116.0","16,588.0","13,348.0","14,040.0","14,604.0","14,720.0","13,316.0","8,412.0","7,016.0","3,780.0","4,488.0","-4,880.0","-2,940.0","1,888.0","-2,932.0","-1,444.0","-1,908.0","-4,256.0","-4,680.0","2,456.0","976.0","-1,628.0","-7,748.0","-10,844.0","-10,348.0","-6,296.0","-8,912.0","-9,204.0","-6,492.0","-3,416.0","-6,520.0","-8,024.0","-3,180.0","-1,796.0","-680.0","-6,792.0","-7,720.0","-7,236.0","-9,072.0","-9,728.0","-6,808.0","-6,156.0","-5,560.0","-3,748.0","792.0","4,296.0","2,640.0","1,936.0","5,644.0","6,772.0","7,180.0","6,120.0","8,032.0","11,188.0","8,440.0","6,288.0","8,712.0","12,652.0","12,452.0","14,308.0","15,832.0","11,308.0","15,060.0","10,756.0","16,324.0","16,828.0","15,208.0","17,432.0","28,120.0","33,124.0","34,976.0","26,908.0","32,000.0","34,768.0","31,844.0","33,344.0","39,152.0","40,304.0","42,352.0","26,252.0","22,792.0","24,808.0","17,524.0","9,112.0"
"76","56","      State and local","A893RC1","19,649.0","19,739.0","18,936.0","17,620.0","17,578.0","17,544.0","18,988.0","18,654.0","18,331.0","18,507.0","17,777.0","18,485.0","18,345.0","17,024.0","17,227.0","18,652.0","19,027.0","18,507.0","18,627.0","19,532.0","20,958.0","22,918.0","22,467.0","21,522.0","24,576.0","21,283.0","22,445.0","25,189.0","27,372.0","23,361.0","20,685.0","18,936.0","20,377.0","21,362.0","19,837.0","19,260.0","18,187.0","25,693.0","27,483.0","28,652.0","23,950.0","28,472.0","31,226.0","33,740.0","35,797.0","32,886.0","29,923.0","30,090.0","34,348.0","27,993.0","25,267.0","27,039.0","24,737.0","24,811.0","25,009.0","26,641.0","24,911.0","24,159.0","26,911.0","26,203.0","29,176.0","31,413.0","34,490.0","35,494.0","36,620.0","40,457.0","41,453.0","40,460.0","44,344.0","45,382.0","46,506.0","43,618.0","46,368.0","45,830.0","47,265.0","48,601.0","48,586.0","52,228.0","51,247.0","53,931.0","53,099.0","55,377.0","56,389.0","59,811.0","64,699.0","62,607.0","62,655.0","66,827.0","64,312.0","64,044.0","65,445.0","66,886.0","70,922.0","66,243.0","61,576.0","59,193.0","58,226.0","62,920.0","62,847.0","63,506.0","60,021.0","62,985.0","68,079.0","68,585.0","69,590.0","72,727.0","70,258.0","70,742.0","68,950.0","72,859.0","77,913.0","86,466.0","92,439.0","89,774.0","85,719.0","81,537.0","79,101.0","87,100.0","96,784.0","98,139.0","101,036.0","100,839.0","102,693.0","109,941.0","116,307.0","112,112.0","113,630.0","116,089.0","119,891.0","133,655.0","114,971.0","129,364.0","133,164.0","129,843.0","130,772.0","132,342.0","131,331.0","128,654.0","136,081.0","133,073.0","131,376.0","135,310.0","132,143.0","129,309.0","127,545.0","130,609.0","130,893.0","136,649.0","134,800.0","144,431.0","144,243.0","143,080.0","148,718.0","149,664.0","150,007.0","153,072.0","155,097.0","159,628.0","160,820.0","154,841.0","153,602.0","156,050.0","151,212.0","140,199.0","128,426.0","135,209.0","137,273.0","129,087.0","113,564.0","106,019.0","106,286.0","106,923.0","102,972.0"
"77","57","  Gross saving as a percentage of gross national income","W206RC1","20.4","20.1","20.3","19.6","18.9","18.8","18.7","18.0","18.5","18.6","18.7","18.6","18.8","18.5","19.1","20.2","20.5","20.6","21.0","22.0","21.2","20.1","19.6","19.4","17.9","17.4","18.5","18.7","19.1","19.1","18.7","18.4","18.3","19.6","20.2","20.0","20.0","20.8","21.0","21.3","21.5","21.1","20.7","20.4","19.8","19.3","19.1","20.0","20.3","20.2","21.3","20.9","19.8","20.2","18.9","16.9","17.2","17.0","16.6","17.6","19.0","19.1","19.4","19.0","18.3","17.9","17.0","17.0","17.1","16.4","15.4","15.4","16.1","16.3","16.6","17.3","17.2","17.6","17.8","17.6","17.9","17.0","16.6","16.2","16.0","16.4","15.7","15.7","17.0","15.9","15.5","15.6","15.4","15.4","14.5","14.4","14.6","14.8","14.3","14.7","15.3","15.7","15.6","15.9","16.5","16.2","16.5","16.8","16.8","17.0","17.3","17.5","17.8","18.3","18.5","18.3","18.9","18.6","18.7","18.2","18.8","18.1","17.7","17.7","18.3","18.0","17.8","17.0","17.3","16.8","15.9","15.0","15.1","14.8","14.2","14.2","13.7","13.9","13.6","14.3","14.2","14.6","14.9","14.5","14.9","14.9","14.8","15.4","16.1","16.0","15.8","16.2","15.0","14.7","14.1","14.0","13.9","13.2","13.1","12.6","12.1","11.3","10.7","11.4","11.9","12.5","12.7","12.3","12.5","12.4","12.8","13.3","....."
"78","58","  Net saving as a percentage of gross national income","W207RC1","10.5","10.1","10.3","9.4","8.5","8.4","8.2","7.5","8.1","8.1","8.2","8.1","8.4","8.2","8.9","10.0","10.5","10.5","10.8","11.8","10.7","9.3","8.7","8.1","6.3","5.7","6.9","7.1","7.7","7.6","7.3","6.9","6.8","8.2","8.8","8.6","8.5","9.4","9.6","9.9","10.0","9.4","8.9","8.5","7.7","6.8","6.5","7.6","7.9","7.6","8.8","8.1","6.7","7.0","5.6","3.6","4.1","4.1","3.9","5.1","6.8","7.1","7.4","7.1","6.4","5.9","5.0","5.0","5.0","4.2","3.2","3.1","3.8","4.1","4.6","5.3","5.3","5.7","5.9","5.7","6.1","5.1","4.7","4.2","4.1","4.4","3.7","3.6","4.8","3.7","3.3","3.5","3.3","3.5","2.6","2.6","2.7","2.9","2.4","2.9","3.6","4.0","3.9","4.2","4.8","4.5","4.7","5.0","5.1","5.4","5.7","5.9","6.2","6.8","7.0","6.8","7.4","7.1","7.3","6.7","7.4","6.5","6.0","6.1","6.8","6.3","6.1","5.2","5.5","4.8","3.8","2.7","3.0","2.6","1.9","2.0","1.5","1.7","1.5","2.3","2.2","2.6","2.9","2.4","2.9","2.8","2.7","3.3","4.1","3.9","3.7","4.0","2.6","2.3","1.6","1.5","1.3","0.6","0.3","-0.7","-1.3","-2.1","-2.6","-1.7","-1.0","-0.2","0.0","-0.4","-0.1","-0.3","0.2","0.6","....."
"79","59","  Disaster losses \2\","W771RC1",".....",".....",".....",".....",".....",".....",".....",".....","472.0","0.0","0.0","0.0","0.0","6,348.0","0.0","0.0","0.0","2,517.0","0.0","0.0","0.0","724.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","636.0","0.0","0.0","0.0","1,332.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,700.0","2,708.0","0.0","995.0","1,190.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,485.0","0.0","0.0","4,344.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,420.0","3,403.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16,927.0","18,904.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,076.0","0.0","0.0","71,769.0","0.0","8,411.0","0.0","8,143.0","0.0","81,662.0","0.0","0.0","0.0","0.0","0.0","0.0","9,700.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13,998.0","0.0","0.0","0.0","0.0","0.0","0.0","13,856.0","62,947.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","117,796.0","0.0","0.0","0.0","414,197.0","27,463.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76,331.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"80","60","    Private","W772RC1",".....",".....",".....",".....",".....",".....",".....",".....","472.0","0.0","0.0","0.0","0.0","6,348.0","0.0","0.0","0.0","2,517.0","0.0","0.0","0.0","724.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","636.0","0.0","0.0","0.0","1,332.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,700.0","2,708.0","0.0","995.0","1,190.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,485.0","0.0","0.0","4,344.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,420.0","3,403.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16,927.0","14,820.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6,076.0","0.0","0.0","71,769.0","0.0","8,411.0","0.0","8,143.0","0.0","73,466.0","0.0","0.0","0.0","0.0","0.0","0.0","9,700.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13,998.0","0.0","0.0","0.0","0.0","0.0","0.0","13,856.0","55,987.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","117,796.0","0.0","0.0","0.0","369,229.0","27,463.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76,331.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"81","61","      Domestic business","W773RC1",".....",".....",".....",".....",".....",".....",".....",".....","272.0","0.0","0.0","0.0","0.0","3,816.0","0.0","0.0","0.0","1,893.0","0.0","0.0","0.0","268.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","396.0","0.0","0.0","0.0","1,036.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,288.0","1,976.0","0.0","743.0","1,038.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,249.0","0.0","0.0","2,528.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","992.0","983.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,495.0","9,220.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,372.0","0.0","0.0","32,608.0","0.0","3,763.0","0.0","6,303.0","0.0","54,354.0","0.0","0.0","0.0","0.0","0.0","0.0","4,824.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8,922.0","0.0","0.0","0.0","0.0","0.0","0.0","5,900.0","55,987.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","69,636.0","0.0","0.0","0.0","180,036.0","15,180.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43,068.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"82","62","      Households and institutions","W774RC1",".....",".....",".....",".....",".....",".....",".....",".....","200.0","0.0","0.0","0.0","0.0","2,532.0","0.0","0.0","0.0","624.0","0.0","0.0","0.0","456.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","240.0","0.0","0.0","0.0","296.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","412.0","732.0","0.0","252.0","152.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,236.0","0.0","0.0","1,816.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,428.0","2,420.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7,432.0","5,600.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,704.0","0.0","0.0","39,161.0","0.0","4,648.0","0.0","1,840.0","0.0","19,112.0","0.0","0.0","0.0","0.0","0.0","0.0","4,876.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5,076.0","0.0","0.0","0.0","0.0","0.0","0.0","7,956.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","48,160.0","0.0","0.0","0.0","189,193.0","12,283.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","33,263.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
