"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"59","51","      Sports and recreational vehicles (79)","DWHLRX0",33060,34389,34672,35470,39400,36281,36175,36333,35967,37146,36688,38236,39357,38120,38315,37877,39200,41459,45197,48152,47692,48055,48830,49390,50642,52764,50924,49753,52782,51681,50733,52884,52419,53669,54280,53425,51903,51006,47531,39753,37769,35526,37497,37008,34666,35729,35375,36089,35865,35900,36145,36274,39281,38237,37996,38856,39855,41782,43220,43428,43155,44922,46473,46601,48752,49071,50181,52815
"60","52","        Motorcycles","DMCYRX0",6276,6513,6485,7531,8186,7811,7968,8281,8805,9830,9281,9545,10305,9372,9507,9606,10386,10259,11430,12851,12086,13065,12774,12312,12787,13418,12032,12427,12524,13174,12595,12699,12611,13028,12985,13647,13366,13840,12577,10199,9626,8884,9445,9122,8579,8570,8441,8531,8939,9030,9180,8850,9645,9348,9209,9823,9931,10106,10506,11169,10769,10930,10946,11202,12163,12226,13567,12771
"61","53","        Bicycles and accessories","DBCYRX0",3315,3342,3328,3333,3303,3292,3304,3220,3208,3205,3171,3198,3170,3121,3112,3169,3200,3247,3418,3527,3507,3418,3608,3648,3709,3745,3678,3788,3950,3883,3850,3916,3977,4122,4160,4145,4159,4331,4271,4060,4183,4116,4155,4158,4194,4218,4235,4309,4269,4282,4292,4300,4439,4552,4524,4492,4775,4574,4562,4604,4399,4533,4700,4801,4681,4756,4822,5006
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",23522,24590,24917,24638,27954,25208,24927,24845,23945,24077,24216,25477,25846,25618,25684,25081,25572,27947,30328,31701,32071,31495,32397,33417,34120,35566,35233,33526,36313,34609,34275,36256,35818,36507,37121,35634,34379,32847,30689,25496,23961,22526,23897,23729,21894,22940,22696,23240,22670,22605,22694,23118,25196,24335,24258,24563,25162,27089,28144,27698,28003,29451,30790,30578,31919,32098,31915,35048
"63","55","          Pleasure boats","DBOARX0",10278,10836,11480,9933,12358,11171,11248,11547,10973,10787,11062,12252,12294,11859,11347,10872,10760,12349,13583,14410,14526,14476,14017,13782,14866,16230,15547,14744,16633,15350,16549,16855,16287,16387,16780,16544,16017,15874,14914,13226,12128,11268,11754,11918,10478,10884,10779,10955,10923,10838,10859,10727,12231,11692,11315,11638,11466,12647,12998,12942,12737,13909,14980,14584,14746,14553,14309,16848
"64","56","          Pleasure aircraft","DAIRRX0",1137,1104,1058,1165,1219,1123,1150,1239,1126,1145,1015,972,944,990,1116,1021,1007,1128,1253,1315,1379,1280,1423,1524,1618,1693,1625,1566,1771,1708,1683,1986,1867,2079,2122,2173,1980,1982,1935,1477,1485,1306,1455,1475,1435,1446,1426,1456,1386,1374,1460,1564,1503,1459,1441,1364,1551,1624,1557,1484,1670,1453,1379,1218,1114,1072,1174,1259
"65","57","          Other recreational vehicles","DREVRX0",12109,12650,12380,13540,14377,12914,12529,12059,11846,12146,12140,12254,12610,12770,13221,13188,13806,14471,15492,15977,16167,15740,16957,18113,17636,17643,18062,17217,17911,17551,16043,17415,17666,18042,18220,16918,16382,14991,13839,10792,10348,9951,10688,10335,9981,10610,10491,10829,10361,10394,10374,10827,11463,11184,11502,11561,12144,12817,13589,13272,13596,14089,14430,14776,16058,16473,16432,16942
"66","58","      Recreational books (part of 90)","DRBKRX0",23158,23658,24322,25000,25138,26089,26095,26281,26047,25812,25864,26063,26247,26352,26354,26561,26771,27376,27682,27044,27635,27489,27703,27277,27590,27475,27836,28084,28563,28596,27711,27610,27439,27320,28196,28230,27667,27975,27728,26327,26216,26408,26750,26322,27274,27194,27399,27733,27934,27939,28650,27643,28122,28779,28774,28943,29163,28865,28750,28881,28739,29381,30111,30298,30272,30860,31420,31799
"67","59","      Musical instruments (part of 80)","DMSCRX0",3647,3688,3899,4156,4401,4690,4813,4735,4651,4843,4769,4915,4995,5081,5073,5009,4936,4747,4962,5235,5258,5293,5407,5221,5276,5256,5283,5362,5917,5390,5299,5408,5432,5570,5430,5626,5448,5300,5259,4746,4599,4552,4563,4574,4528,4562,4535,4658,4723,4789,4747,4824,5104,5066,4838,4942,4878,4876,5001,4978,5054,5113,5150,5161,5297,5441,5509,5732
"68","60","    Other durable goods","DODGRX0",102032,103403,106508,111979,112550,116150,116813,116075,114495,111745,110988,114444,117372,119371,120239,122541,122724,128563,134538,138700,142074,141313,142603,145103,149543,152350,152976,158434,163838,163156,163951,166763,167661,172113,174619,174392,170591,169746,167615,158034,156921,157765,158909,159102,162206,162489,165418,169391,171255,173761,176247,174505,176953,178395,181678,184803,185781,185670,185580,189274,189802,192943,193271,195721,196792,200855,203337,206960
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",47669,48131,49583,52158,51771,53520,55111,53993,52522,51765,51292,52053,54244,54797,54803,56417,57213,58977,61118,63884,64876,63954,65253,67273,68739,70623,68836,71960,74942,73095,72852,73046,71913,73596,73898,73348,70400,68531,66868,60269,59060,60143,60896,60929,62051,60456,60707,61644,61817,63314,63488,61482,62171,63654,65528,66323,66408,65287,64216,67080,68059,69029,68883,69460,69204,71925,71871,72401
"70","62","        Jewelry","DJLYRX0",43152,43389,44561,46895,46664,48277,49710,48691,47159,46604,46182,46735,48509,48943,49064,50275,51131,52821,54525,57125,58128,57089,58433,60287,61585,63528,61822,64528,67229,65504,65271,65279,64239,65567,65765,65075,62229,60485,58958,53392,52353,53193,53687,53607,54821,53199,53433,54017,54059,55088,55312,53414,53976,55441,57257,57812,58056,57063,56075,58623,59597,60582,60614,61224,61106,63527,63475,63926
"71","63","        Watches","DWTCRX0",4621,4825,5093,5339,5197,5341,5502,5398,5431,5243,5191,5384,5781,5894,5792,6171,6126,6217,6630,6813,6818,6906,6886,7060,7227,7211,7111,7518,7807,7672,7660,7822,7725,8060,8159,8283,8172,8045,7909,6880,6710,6949,7207,7322,7227,7259,7275,7643,7783,8283,8224,8134,8268,8262,8301,8557,8382,8256,8177,8489,8484,8462,8277,8241,8102,8401,8400,8479
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",33242,33206,33952,35566,35974,36648,35611,35977,35415,34596,34298,35667,35539,37218,38156,38440,37341,39410,41437,41383,42989,42583,42485,43006,44474,44855,46157,47469,48007,48090,48516,49651,50616,52661,53886,53454,52841,53250,53488,52565,52634,52583,52360,53107,53857,55316,56947,57744,57939,58533,59608,59430,60579,59815,60185,60288,60987,61393,61581,62491,61964,63251,63612,63941,64792,64101,65038,65384
"73","65","        Therapeutic medical equipment","DTMERX0",10995,11317,11478,12266,12344,12739,13181,13537,13521,13699,13709,14102,14160,14608,14774,14883,15281,15848,16644,17220,17549,18179,18670,19061,19568,19792,20344,21216,21837,22177,22757,23535,24200,24985,25368,25193,25212,25702,25561,24825,24590,24535,24467,24845,25475,26320,26994,27066,27280,27538,28305,28094,28919,29051,29373,29268,29460,29460,29844,30258,30422,31178,31449,31585,32134,31862,32374,32721
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",22585,22180,22784,23593,23931,24195,22620,22611,22046,21007,20690,21681,21488,22738,23527,23705,22150,23675,24913,24240,25539,24460,23844,23967,24938,25094,25846,26279,26187,25922,25760,26114,26415,27677,28520,28263,27630,27553,27927,27740,28045,28048,27893,28261,28386,29005,29960,30675,30659,30995,31313,31341,31673,30794,30847,31049,31552,31952,31765,32260,31587,32125,32220,32412,32722,32307,32736,32745
"75","67","      Educational books (96)","DEBKRX0",15715,15778,15235,16359,15431,16251,15535,15067,15084,14964,14949,15127,15242,14704,14474,14495,14120,14349,14320,13845,13880,13649,13516,13202,13155,12881,12861,12646,12549,12301,11682,11412,11022,10735,10799,10658,10373,10419,10149,9556,9406,9229,9214,8920,9048,8935,8988,8980,8866,8597,8628,8200,8198,8233,8009,7859,7875,7724,7624,7507,7515,7580,7540,7495,7383,7504,7595,7687
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",10380,10760,11511,11973,12593,13117,13321,13334,13516,12356,11985,12733,13387,13407,13457,13571,13802,14724,15682,16869,17337,17475,17428,17727,18882,19446,19831,20456,21519,21771,21974,22819,23491,23778,24030,24242,24321,24576,24292,23054,22685,23339,23775,23573,23983,24657,25675,27749,29011,29318,29973,30127,30593,31149,31859,34112,33792,34169,34958,34481,33886,33587,33288,34442,35624,37029,37434,38774
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1775,1944,2111,2243,2400,2486,2626,2744,2810,2881,3087,3320,3403,3511,3541,3738,4021,4571,5126,5550,5756,6114,6334,6351,6620,6822,7215,7735,8502,9180,9901,10576,11122,11736,12298,12883,12755,13010,12843,12606,13137,12473,12665,12572,13261,13147,13151,13376,13816,14185,14869,15897,16090,16115,16712,17004,17593,18243,18603,18966,19655,20980,21577,22241,21588,22198,23802,25867
"78","70","  Nondurable goods","DNDGRX0",1780218,1796766,1805080,1841834,1825701,1862049,1874305,1892339,1881040,1889822,1898574,1914659,1921736,1922707,1927430,1952556,1965967,1980296,2016969,2030935,2046289,2052617,2068522,2087172,2114017,2123202,2127909,2164197,2182086,2189304,2200274,2237006,2241568,2237132,2240189,2238413,2226156,2241750,2212166,2178566,2180158,2164376,2172498,2183471,2201628,2212076,2225986,2254452,2265077,2265580,2259731,2262357,2273860,2275881,2281098,2279352,2306270,2310411,2323804,2338853,2341286,2361019,2375204,2393674,2397815,2422993,2447867,2454962
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",657368,664160,670148,680818,674406,684742,686015,693031,690910,695842,693794,695352,692995,694443,697314,703373,708922,707928,718735,717442,724510,725121,730823,738611,749982,752813,759337,768319,771637,779102,780806,791738,793152,789122,789788,793064,789279,792690,782239,763257,761448,767189,771896,779300,786130,780569,783831,795354,797522,797115,793899,792043,794564,795181,795896,797005,802818,799369,803806,807764,808832,808497,807123,805680,804078,809510,810075,809105
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",572297,577543,582662,590969,583729,592387,591853,597386,594949,598690,597258,598771,595571,595953,599085,604692,610619,610898,620363,618813,625389,625318,630696,638145,649136,651285,656841,663922,665593,672329,673432,683025,684091,679867,681029,684648,681599,683967,673024,656283,655308,661334,665894,671168,674650,668416,671477,681453,682608,681739,677055,674796,675539,674812,676400,676570,682561,680523,684192,687672,688484,686811,685163,684028,681002,685516,685192,684688
"81","73","        Food purchased for off-premises consumption","DFOFRX0",503259,508567,513216,520578,515245,522782,522320,526837,524695,527602,526464,527855,524525,524904,527865,533422,537880,537750,544287,542127,548329,547542,552547,558194,568197,570455,575255,581135,582036,588092,588361,597727,599033,595193,596286,599284,597100,598581,588151,574752,574758,581094,585733,590365,592877,586809,589741,598104,599374,598609,594271,592078,592325,591496,593158,594051,599684,598610,601689,604997,605456,603231,601592,600576,597596,601779,601148,600765
"82","74","          Cereals and bakery products","DCBPRX0",101097,102099,103794,105985,105835,108061,108895,109879,110432,111798,112147,113502,113458,113591,114027,115033,115395,115022,116026,115854,116578,116600,116894,117922,118977,120654,121887,123439,123761,124916,124364,125337,125496,124522,124877,125839,124408,123021,120516,117561,117075,117729,117966,118959,119964,119216,120038,122413,123009,123023,122080,120243,120785,120975,121872,121502,122933,121991,122396,122590,122798,123101,123126,124644,121609,121949,122892,123650
"83","75","            Cereals","DGRARX0",33437,33395,33594,34055,33715,33944,34051,34083,34201,34202,33745,33553,33140,32933,32973,33046,33520,34052,34949,35323,35614,36150,36274,36785,37348,38263,39020,39778,40537,40922,41360,41974,42200,42027,42337,42634,41967,41501,40558,39530,39633,39999,39758,40107,40607,40342,40481,41105,40722,40762,40518,39798,39855,39986,40570,40863,41377,41290,41589,41444,41372,41485,41500,41796,41436,41453,42024,41871
"84","76","            Bakery products","DBAKRX0",67440,68527,70062,71818,72039,74085,74827,75806,76249,77646,78494,80089,80487,80843,81245,82193,82056,81108,81180,80611,81042,80504,80674,81184,81667,82416,82883,83671,83226,83996,83003,83361,83296,82495,82540,83205,82441,81520,79958,78031,77441,77730,78208,78852,79358,78875,79555,81305,82276,82250,81554,80435,80918,80977,81293,80640,81558,80711,80824,81155,81430,81621,81631,82844,80196,80515,80898,81788
"85","77","          Meats and poultry","DMAPRX0",120439,121121,121898,122565,119953,120191,119263,120786,118924,118433,117521,117004,116562,116457,117174,118616,119539,118734,120250,117317,119061,119796,119821,121843,122658,124464,126115,126102,126124,126728,127569,129692,129807,127352,128589,130169,130293,132670,130480,127531,127490,129461,131432,133262,133744,130049,129624,131988,131748,129847,129146,128325,126858,126924,127370,127088,127200,126730,127341,128393,129004,127231,125620,124254,123085,124324,125595,127407
"86","78","            Beef and veal","DBEERX0",38339,38430,38416,38238,37419,37187,36975,37477,35701,35192,35453,35794,35738,35511,35937,36098,35475,34778,34869,31978,32623,32895,32824,33451,33352,33297,34210,34035,33371,33598,33868,34197,33996,32965,33329,33764,33887,34433,33428,32890,33347,33903,34605,34833,35212,33287,33397,34136,33326,32415,32248,32049,31401,30993,30899,30940,31099,31029,31194,31544,31061,29857,28966,27959,27483,27151,27451,28503
"87","79","            Pork","DPORRX0",22708,22599,22656,22582,21662,21341,21155,21355,21181,21054,20688,20505,20286,20399,20808,21253,21279,21269,21593,21573,22027,22174,22000,22340,22466,22973,23564,23533,23543,23599,23689,24205,24375,24153,24588,24959,25306,25564,25175,24604,24814,25485,26075,26823,26104,25162,24653,24939,24940,24488,24355,24160,24314,24787,25196,25251,25275,25340,25275,25211,25266,24298,24120,24149,24615,25917,26112,26195
"88","80","            Other meats","DMEARX0",20867,21027,21349,21566,21399,21519,21304,21384,21627,21720,21648,21226,21141,20956,20894,21272,22014,21875,22292,22479,22873,23513,23964,24342,24691,25171,25297,25581,25686,25540,25836,26432,26764,26786,27431,27726,27653,28248,27826,26944,26582,27222,27256,27647,28109,27661,27512,28024,28033,27556,27292,27290,27107,27317,27709,27873,27936,27921,28309,28694,29067,28896,28501,28186,27663,27837,27818,27742
"89","81","            Poultry","DPOURX0",39000,39531,39909,40562,39880,40545,40240,40999,40691,40718,40048,39850,39791,39951,39892,40303,40999,40994,41655,41365,41606,41279,41119,41800,42240,43109,43100,43010,43596,44074,44260,44932,44729,43486,43264,43741,43455,44442,44081,43113,42751,42851,43494,43958,44316,43959,44097,44932,45536,45527,45394,44962,44153,43956,43704,43155,43013,42561,42695,43077,43812,44534,44467,44519,43877,44101,44900,45500
"90","82","          Fish and seafood","DFISRX0",10515,10612,10730,10826,10675,10732,10854,11002,10986,11098,11342,11458,11608,11460,11557,11746,11811,11673,11839,11914,12128,12292,12323,12363,12416,12485,12439,12185,11987,11797,11611,11773,11644,11443,11543,11560,11548,11605,11431,11179,11037,11056,11025,11233,11288,11168,11163,11270,11178,11063,10962,10952,10922,10932,10983,11016,11099,10928,10955,10898,10922,10972,10932,10957,10968,11045,11195,11360
"91","83","          Milk, dairy products, and eggs","DMDERX0",51421,53445,53854,53883,53872,54762,54803,55432,54992,55056,54427,54644,54873,54928,55402,56300,57754,58412,58877,57939,59482,58167,59266,61927,62563,63256,63682,64184,64920,66356,67601,69069,69302,68620,65187,65052,65502,66718,65433,64801,66612,68221,68869,69088,68458,68429,68254,69157,70690,69830,68542,68091,68264,68896,68890,68221,68819,68685,69083,69578,69256,68111,68024,67850,68766,69472,67517,68069
"92","84","            Fresh milk","DMILRX0",15103,16385,16442,15687,16243,16467,16410,16684,16370,16366,16223,16319,16621,16732,16981,17079,17643,18041,18281,17701,18571,17156,17300,18208,18146,18390,18594,18604,18809,19607,20140,20511,20697,20266,18768,19073,19620,20350,19834,19913,21041,21950,22041,21773,21284,21331,21132,21556,21726,21102,20832,20884,20950,21280,21296,20780,20910,21104,21223,21144,20812,20692,20786,20827,21653,22380,22466,22550
"93","85","            Processed dairy products","DDAIRX0",29203,29624,29898,30163,30013,30690,30893,31411,31334,31313,30695,30725,30820,30952,31179,31648,32366,32862,33339,33396,34117,33562,33488,34309,34625,34917,35309,35704,35847,36563,36987,38182,38785,38839,37678,37387,37536,37935,36830,35808,36066,36698,36963,37465,37578,37436,37440,37652,38988,38997,38255,37803,37708,38030,38318,38151,38503,38401,38653,39326,39559,38712,38505,38326,38671,39063,38949,38922
"94","86","            Eggs","DGGSRX0",7178,7465,7548,8219,7682,7654,7534,7333,7290,7387,7554,7663,7452,7230,7216,7573,7733,7456,7187,6789,6742,7404,8479,9484,9969,10151,9936,10053,10484,10319,10605,10479,9898,9624,8943,8753,8494,8555,8837,9098,9501,9574,9867,9852,9607,9670,9694,9954,9996,9781,9496,9434,9629,9605,9309,9334,9453,9226,9257,9188,9005,8810,8821,8781,8551,8214,6733,7092
"95","87","          Fats and oils","DFATRX0",12802,13049,13091,13369,13195,13378,13217,13211,12871,12808,12455,12413,12321,12320,12438,12663,12913,13175,13567,13486,13515,13185,13253,13656,14075,14483,14725,15102,15283,15784,16104,16388,16638,16751,16858,16878,16555,15938,15418,14954,15190,15483,15574,15700,15771,15532,15395,15439,15156,14890,14600,14342,14064,14095,14261,14302,14594,14692,14896,14877,14892,14822,14693,14763,14973,15091,15209,15033
"96","88","          Fresh fruits and vegetables","DFAVRX0",52964,53731,54358,56337,56782,58360,58078,57661,58430,59238,60151,61354,58663,59777,60559,61491,61391,60030,59383,59769,60810,60865,61668,57968,62962,61543,62078,62131,60917,61829,60036,61387,60393,60957,62908,61908,61948,62585,60773,61870,63928,64671,65372,66573,66226,65707,67795,67792,66189,68073,68752,70462,72083,71726,71871,72434,72178,73853,73147,74183,75716,74205,74764,74648,76569,77699,76228,72461
"97","89","            Fruit (fresh)","DFRURX0",19112,18827,19486,20428,20269,21989,21736,21544,22196,21851,22211,22516,22383,22589,22751,22784,22931,22801,22892,23407,23787,23483,24386,23609,24781,25532,25269,25186,24857,25323,24773,25498,25210,25500,26254,25949,25854,25920,25597,26411,27402,27697,27786,28284,28285,28739,29725,29183,29147,30317,29638,30622,30871,30458,30592,30486,30961,31694,31894,31979,31493,30665,31085,31482,32608,33236,32374,30789
"98","90","            Vegetables (fresh)","DVEGRX0",33976,35137,35019,36023,36672,36406,36387,36168,36274,37465,38020,38927,36336,37243,37867,38779,38528,37282,36537,36402,37062,37431,37311,34386,38218,36040,36832,36971,36085,36530,35284,35906,35196,35467,36665,35964,36102,36681,35177,35457,36526,36974,37587,38288,37940,36980,38085,38608,37062,37799,39113,39845,41210,41268,41279,41952,41217,42158,41265,42206,44239,43567,43696,43168,43959,44461,43854,41671
