"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"228","221","        Casino gambling","DCASRG3",14.967,15.19,15.352,15.533,15.732,15.936,16.185,16.675,17.139,17.871,18.834,19.934,20.787,21.475,22.834,25.347,27.64,29.295,31.19,33.284,36.406,40.387,44.131,46.684,48.615,50.596,52.304,53.273,55.037,57.075,59.508,62.517,64.803,66.504,68.231,69.685,71.39,73.32,74.877,75.989,77.687,80.269,82.523,83.853,85.779,88.06,91.012,93.961,96.653,100.329,100,101.652,104.849,107.02,108.622
"229","222","        Lotteries","DLOTRG3",14.962,15.186,15.348,15.529,15.724,15.952,16.13,16.771,17.195,17.873,18.841,19.984,20.828,21.494,22.845,25.343,27.659,29.242,31.138,33.28,36.406,40.334,44.108,46.725,48.623,50.614,52.326,53.272,55.041,57.075,59.504,62.478,64.78,66.476,68.188,69.671,71.364,73.294,74.863,75.973,77.63,80.25,82.517,83.834,85.755,88.045,91.015,93.948,96.628,100.314,100,101.639,104.833,107.009,108.605
"230","223","        Pari-mutuel net receipts","DPARRG3",14.966,15.186,15.35,15.532,15.725,15.935,16.183,16.671,17.129,17.863,18.832,19.939,20.784,21.463,22.811,25.301,27.632,29.227,31.109,33.268,36.376,40.313,44.065,46.676,48.59,50.587,52.292,53.265,55.036,57.065,59.485,62.493,64.769,66.463,68.183,69.665,71.365,73.294,74.871,75.982,77.643,80.253,82.516,83.834,85.751,88.039,90.983,93.944,96.607,100.315,100,101.648,104.849,106.998,108.609
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRG3",14.057,14.32,14.449,14.678,14.859,15.252,15.709,16.333,16.953,18.078,19.002,19.753,21.189,21.865,22.65,24.436,26.35,27.686,29.17,30.777,32.636,35.001,37.191,39.224,40.774,42.371,43.993,45.608,46.874,48.388,50.502,52.802,55.066,56.387,57.625,59.083,60.49,61.893,63.142,64.621,66.763,70.264,73.396,75.903,78.812,81.818,85.143,88.22,92.1,96.495,100,102.313,105.716,108.415,110.484
"232","225","        Veterinary and other services for pets","DVETRG3",11.647,11.8,11.932,12.134,12.257,12.617,13.049,13.614,14.17,15.245,15.991,16.909,17.772,18.226,18.724,19.819,21.103,21.97,22.891,24.055,25.551,27.277,29.057,30.909,32.477,33.959,35.482,37.119,38.502,39.984,42.091,44.204,46.355,47.47,48.721,50.169,51.326,52.752,53.974,55.543,57.792,62.178,66.066,69.54,73.184,77.18,81.514,84.88,89.88,95.407,100,103.455,108.615,111.939,114.641
"233","226","        Package tours","DHOLRG3",14.138,14.538,14.85,15.059,15.359,15.623,15.992,16.562,17.117,17.974,19.164,20.759,21.873,22.742,23.659,25.842,28.166,30.42,32.654,34.813,36.621,39.139,41.171,42.937,44.349,45.698,47.423,49.827,51.103,51.866,53.902,56.367,58.677,60.401,62.002,63.383,65.348,67.07,68.882,70.735,73.846,77.155,80.212,82.679,86.08,88.176,90.227,93.436,96.353,98.748,100,100.334,100.429,102.564,104.045
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERG3",27.113,27.99,27.764,28.092,28.611,29.098,29.429,30.119,30.954,32.131,33.691,31.4,37.326,39.131,41.492,47.418,53.163,56.045,60.181,63.598,67.677,73.824,78.763,81.961,82.954,85.471,87.25,86.701,87.072,90.243,92.704,95.876,98.871,100.285,100.251,101.992,103.081,102.993,102.256,101.656,100.369,99.269,98.861,97.142,96.18,95.95,96.325,97.726,97.137,98.749,100,99.106,98.835,99.067,98.517
"235","228","    Food services and accommodations","DFSARG3",11.45,11.759,11.996,12.294,12.559,12.754,13.006,13.508,14.257,15.001,15.899,17.074,17.985,18.65,19.925,22.23,24.232,25.836,27.707,30.129,33.382,36.615,39.885,42.166,43.987,45.971,47.948,49.913,51.929,54.162,56.615,59.206,61.57,62.877,64.111,65.236,66.775,68.575,70.609,72.502,74.376,76.458,78.64,80.542,82.247,84.974,87.695,90.649,94.158,97.821,100,101.33,103.887,106.842,109.079
"236","229","      Food services","DFSERG3",11.6,11.921,12.166,12.481,12.766,12.968,13.225,13.755,14.529,15.288,16.196,17.391,18.332,19.03,20.374,22.813,24.9,26.526,28.427,30.824,34.078,37.271,40.527,42.654,44.465,46.335,48.189,50.158,52.05,54.19,56.636,59.236,61.522,62.769,63.911,64.946,66.372,68.005,69.891,71.616,73.395,75.25,77.568,79.692,81.451,83.912,86.522,89.297,92.585,96.639,100,101.34,103.847,106.901,109.248
"237","230","        Purchased meals and beverages (102)","DPMBRG3",11.604,11.926,12.17,12.485,12.769,12.97,13.225,13.751,14.529,15.288,16.194,17.389,18.333,19.028,20.365,22.796,24.879,26.5,28.396,30.787,34.03,37.212,40.462,42.587,44.396,46.266,48.122,50.095,51.983,54.125,56.568,59.165,61.46,62.709,63.853,64.888,66.314,67.947,69.834,71.567,73.35,75.23,77.588,79.716,81.441,83.908,86.527,89.296,92.593,96.658,100,101.3,103.779,106.828,109.135
"238","231","          Meals and nonalcoholic beverages","DMABRG3",11.496,11.798,12.053,12.375,12.664,12.877,13.165,13.773,14.485,15.236,16.173,17.378,18.273,19.002,20.486,23.1,25.267,26.972,29.017,31.499,34.954,38.362,41.729,43.912,45.751,47.613,49.418,51.278,53.2,55.28,57.74,60.366,62.313,63.46,64.518,65.509,66.905,68.484,70.334,72.045,73.802,75.645,77.93,79.993,81.652,84.07,86.665,89.314,92.506,96.583,100,101.161,103.537,106.54,108.807
"239","232","            Meals at schools","DMSLRG3",11.782,12.094,12.355,12.683,12.982,13.199,13.493,14.121,14.846,15.615,16.574,17.808,18.723,19.475,20.998,23.671,25.891,27.65,29.748,32.271,35.815,39.335,42.787,45,46.883,48.794,50.642,52.545,54.536,56.665,59.202,61.892,63.889,65.063,66.146,67.164,68.597,70.217,72.114,73.547,75.144,76.042,76.82,78.78,81.832,84.09,86.322,89.304,92.321,95.994,100,102.664,106.128,109.372,113.115
"240","233","              Elementary and secondary school lunches","DESLRG3",11.781,12.094,12.355,12.683,12.981,13.199,13.493,14.121,14.846,15.615,16.574,17.807,18.723,19.474,20.993,23.668,25.888,27.648,29.748,32.27,35.817,39.331,42.789,45.003,46.883,48.796,50.647,52.55,54.539,56.657,59.196,61.896,63.887,65.063,66.151,67.166,68.602,70.221,72.118,73.547,75.146,76.046,76.823,78.779,81.836,84.095,86.328,89.303,92.316,95.982,100,102.645,106.117,109.37,113.117
"241","234","              Higher education school lunches","DHSLRG3",11.78,12.093,12.354,12.682,12.98,13.198,13.492,14.12,14.844,15.613,16.572,17.806,18.721,19.472,21.005,23.673,25.893,27.652,29.746,32.271,35.812,39.338,42.784,44.996,46.881,48.791,50.637,52.541,54.532,56.67,59.205,61.889,63.89,65.062,66.143,67.161,68.593,70.214,72.11,73.546,75.142,76.04,76.817,78.781,81.829,84.086,86.319,89.305,92.324,96.001,100,102.674,106.135,109.374,113.108
"242","235","            Other purchased meals","DOPMRG3",11.48,11.782,12.037,12.358,12.647,12.86,13.147,13.754,14.466,15.216,16.152,17.355,18.249,18.977,20.459,23.07,25.234,26.936,28.978,31.458,34.908,38.31,41.672,43.854,45.691,47.55,49.353,51.21,53.129,55.206,57.663,60.285,62.23,63.374,64.432,65.422,66.816,68.392,70.239,71.965,73.73,75.623,77.988,80.056,81.643,84.069,86.681,89.314,92.515,96.611,100,101.09,103.413,106.404,108.602
"243","236","              Meals at limited service eating places","DMLSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.542,54.587,57.019,59.604,61.528,62.663,63.705,64.688,66.064,67.616,69.448,71.026,72.628,74.574,76.854,79.013,80.53,83.129,85.836,88.333,91.539,95.988,100,100.865,103.129,106.395,108.408
"244","237","              Meals at other eating places","DMOERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.735,55.849,58.329,60.989,62.957,64.112,65.184,66.182,67.594,69.198,71.059,72.94,74.876,76.713,79.167,81.14,82.799,85.044,87.556,90.33,93.527,97.261,100,101.33,103.716,106.417,108.801
"245","238","              Meals at drinking places","DMDPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.743,55.806,58.321,61.005,62.948,64.107,65.171,66.171,67.6,69.178,71.058,72.954,74.88,76.71,79.199,81.141,82.801,85.029,87.562,90.325,93.521,97.28,100,101.331,103.699,106.419,108.799
"246","239","          Alcohol in purchased meals","DAPMRG3",11.518,11.887,12.085,12.365,12.624,12.777,12.903,13.106,14.103,14.866,15.597,16.697,17.824,18.33,18.925,20.406,22.013,23.171,24.273,26.136,28.245,30.238,32.805,34.569,36.168,38.025,40.108,42.674,44.344,46.836,49.161,51.574,55.871,57.707,59.351,60.67,62.305,64.327,66.5,68.401,70.388,72.526,75.379,77.932,80.088,82.865,85.644,89.185,93.154,97.142,100,102.229,105.406,108.761,111.341
"247","240","        Food furnished to employees (including military) (103)","DFOORG3",11.784,12.098,12.36,12.687,12.985,13.203,13.5,14.13,14.847,15.616,16.577,17.809,18.724,19.475,21.01,23.695,25.9,27.652,29.711,32.273,35.825,39.324,42.779,44.997,46.881,48.789,50.636,52.532,54.534,56.667,59.203,61.896,63.891,65.068,66.153,67.168,68.603,70.219,72.117,73.55,75.148,76.051,76.829,78.795,81.847,84.108,86.347,89.327,92.315,96.009,100,102.657,106.142,109.364,113.101
"248","241","          Food supplied to civilians","DCFDRG3",11.78,12.091,12.353,12.681,12.978,13.196,13.491,14.115,14.843,15.611,16.576,17.812,18.723,19.471,21.003,23.696,25.894,27.649,29.7,32.272,35.825,39.321,42.775,44.992,46.874,48.782,50.628,52.524,54.527,56.66,59.196,61.888,63.883,65.059,66.144,67.159,68.593,70.21,72.108,73.54,75.137,76.04,76.818,78.781,81.836,84.093,86.326,89.311,92.318,96.004,100,102.654,106.131,109.372,113.109
"249","242","          Food supplied to military","DMFDRG3",11.782,12.099,12.36,12.686,12.984,13.203,13.503,14.143,14.845,15.613,16.566,17.788,18.713,19.479,21.028,23.669,25.909,27.645,29.748,32.246,35.792,39.303,42.769,44.991,46.878,48.796,50.636,52.541,54.537,56.662,59.201,61.888,63.891,65.072,66.161,67.172,68.602,70.212,72.117,73.551,75.156,76.056,76.844,78.844,81.85,84.156,86.445,89.392,92.303,96.034,100,102.676,106.203,109.321,113.134
"250","243","      Accommodations (104)","DACCRG3",10.313,10.493,10.627,10.717,10.748,10.87,11.066,11.26,11.768,12.375,13.189,14.183,14.798,15.152,15.79,16.88,18.121,19.509,21.086,23.696,26.891,30.446,33.797,37.397,39.29,42.233,45.19,47.086,50.078,53.015,55.485,57.964,60.931,62.702,64.654,66.494,68.905,71.984,75.075,78.164,80.712,84.418,85.547,85.696,86.96,91.624,95.106,99.268,104.242,105.341,100,101.266,104.137,106.475,108.041
"251","244","        Hotels and motels","DHOTRG3",10.232,10.43,10.571,10.655,10.66,10.783,11.001,11.225,11.877,12.645,13.641,14.865,15.486,15.801,16.46,17.683,19.006,20.55,22.209,25.325,29.185,33.363,37.131,41.42,43.508,46.912,50.187,52.058,55.321,58.509,60.913,63.344,66.424,67.796,69.701,71.444,73.948,77.337,80.591,83.878,86.419,90.46,91.047,90.055,90.421,95.077,98.185,102.304,107.389,107.756,100,100.429,102.95,104.8,105.708
"252","245","        Housing at schools","DSCHRG3",9.177,9.279,9.374,9.468,9.561,9.666,9.788,9.894,10.059,10.28,10.639,11.063,11.587,11.976,12.496,13.149,14.061,14.936,16.151,17.298,18.59,20.307,22.328,24.005,25.238,26.845,28.745,30.45,32.486,34.529,36.939,39.335,41.767,44.47,46.403,48.358,50.347,52.365,54.807,57.154,59.628,62.124,64.957,68.584,72.646,77.205,82.036,86.355,90.861,95.213,100,104.566,108.816,113.114,117.442
"253","246","    Financial services and insurance","DIFSRG3",15.079,15.739,16.271,16.941,16.96,17.67,18.12,19.212,19.653,21.108,22.995,24.176,25.625,27.195,27.838,30.068,32.293,33.597,36.178,40.952,43.183,46.524,50.04,52.928,58.03,61.699,66.88,67.884,64.651,67.743,69.707,70.707,70.303,72.645,76.497,77.946,79.641,82.364,85.64,85.681,85.043,85.9,85.579,87.674,91.508,95.008,97.947,100.576,103.496,104.619,100,103.993,105.966,110.057,112.067
"254","247","      Financial services","DFNLRG3",24.214,25.6,26.366,27.972,27.829,29.355,29.546,31.808,32.324,34.36,39.027,40.772,41.831,43.87,44.876,51.25,56.461,56.517,58.28,67.81,73.14,80.491,85.604,86.994,94.263,96.595,107.18,109.65,102.149,103.744,100.779,96.704,92.975,93.666,96.863,96.488,95.95,96.322,99.154,97.061,93.797,93.376,91.77,93.221,96.131,99.358,102.181,104.993,108.481,109.213,100,104.421,105.776,111.012,112.693
"255","248","        Financial services furnished without payment (107)","DIMPRG3",26.691,27.997,28.773,29.527,27.221,29.779,31.076,33.682,35.34,35.47,42.317,45.115,44.398,46.152,48.496,57.577,62.736,61.656,63.706,74.391,80.574,86.662,89.825,87.989,97.294,100.523,114.135,115.077,105.816,107.288,101.03,93.906,87.358,87.086,91.118,93.386,90.925,91.041,93.941,93.067,91.017,94.952,94.54,96.864,100.48,103.56,107.049,111.126,114.039,113.937,100,105.699,105.515,112.375,113.765
"256","249","          Commercial banks","DIMCRG3",45.079,47.509,46.464,46.754,46.591,49.149,50.938,54.497,56.635,60.079,69.582,73.102,68.973,69.972,71.865,89.271,94.571,88.378,91.707,102.641,115.997,133.444,144.729,155.25,148.398,150.869,175.545,173.967,147.173,146.992,138.233,122.713,108.373,106.228,115.848,123.064,116.788,115.329,117.917,112.378,104.762,110.915,109.167,110.542,113.907,118.09,122.268,129.596,132.412,130.813,100,108.719,105.627,111.404,111.597
"257","250","          Other depository institutions and regulated investment companies","DIMNRG3",20.262,21.073,23.578,24.904,20.288,23.612,24.923,27.596,29.392,26.759,34.069,37.427,39.957,43.502,47.639,52.891,61.239,64.881,65.367,83.911,85.794,84.556,82.644,69.128,100.964,105.92,117.375,117.824,112.624,114.135,103.957,97.103,91.951,91.924,92.582,91.624,89.704,89.11,91.947,91.568,90.213,92.572,91.249,93.968,98.384,100.317,103.117,105.833,107.885,108.717,100,103.764,103.577,111.671,111.253
"258","251","          Pension funds","DPENRG3",8.407,8.764,9.024,9.329,9.546,9.906,10.158,10.523,10.889,11.55,12.112,12.832,13.393,14.08,14.881,15.968,17.111,18.454,20.124,21.833,23.436,25.372,27.009,28.633,30.819,32.755,35.82,38.91,41.703,44.167,46.123,48.778,50.704,53.654,55.686,57.329,59.479,63.232,66.569,70.258,73.726,79.095,82.922,85.215,86.687,91.777,96.511,100.194,105.918,104.611,100,106.811,112.358,116.922,127.196
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRG3",18.835,20.182,20.858,23.319,26.108,26.057,24.826,26.466,25.736,29.526,31.088,31.12,35.223,37.688,35.973,36.177,41.578,44.567,45.63,52.375,55.619,65.862,75.02,83.064,85.772,86.086,89.943,95.441,91.637,93.418,96.983,98.852,100.543,103.019,104.612,99.54,102.462,103.277,105.948,102.077,97.283,92.042,89.199,89.773,91.997,95.371,97.544,99.177,103.156,104.627,100,103.071,106.132,109.588,111.556
"260","253","          Financial service charges and fees","DFEERG3",11.243,11.605,11.83,12.011,12.187,12.411,12.41,12.504,12.815,13.221,13.358,13.764,14.17,13.808,13.627,13.449,15.254,16.335,17.042,18.178,19.694,22.348,26.11,30.08,34.107,37.261,39.701,42.319,44.74,47.429,50.013,53.324,57.535,60.746,64.034,68.068,72.012,76.107,79.835,82.082,84.687,88.557,92.197,94.819,96.666,99.33,100.448,101.583,103.603,105.152,100,103.435,105.806,112.938,117.594
"261","254","          Securities commissions","DEQTRG3",62.121,68.642,71.673,85.507,102.343,100.818,93.145,102.732,96.981,117.69,126.885,124.213,152.189,174.425,161.774,166.366,194.35,208.537,209.316,259.915,270.281,334.289,370.343,390.626,370.173,345.396,358.108,382.904,355.044,349.822,355.182,340.456,340.955,321.328,303.494,256.753,248.976,230.877,230.006,195.044,163.501,131.271,111.392,105.315,109.021,109.826,107.96,104.982,104.195,103.101,100,103.53,106.812,106.493,104.792
"262","255","            Direct commissions","DDCTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524.718,495.745,490.669,473.779,468.156,447.395,384.51,311.421,289.368,272.354,267.183,207.489,157.709,113.557,98.374,93.449,99.88,100.279,100.962,100.884,106.886,103.137,100,99.685,98.986,99.016,99.15
"263","256","              Exchange-listed equities","DDCERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.262,198.585,149.618,113.229,100.492,98.824,100.162,99.84,102.185,105.407,108.491,102.781,100,96.368,94.695,95.176,97.888
"264","257","              Other direct commissions","DDCORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.71,218.114,167.155,115.349,97.518,88.783,100.008,100.89,100.751,99.384,106.382,103.23,100,100.277,99.681,99.666,99.344
"265","258","            Indirect commissions","DICTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.632,181.846,185.299,174.353,182.33,164.675,185.199,159.932,168.332,145.834,161.394,154.512,148.002,143.088,97.054,87.114,83.497,83.881,80.883,74.521,76.123,100.809,100,104.874,113.789,103.336,100.824
"266","259","              Over-the-counter equity securities","DICVRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2310.17,1496.424,980.487,837.107,319.579,190.076,137.76,126.727,104.283,96.069,113.246,135.003,100,85.81,80.154,78.321,84.917
"267","260","              Other imputed commissions","DICORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.684,62.299,73.554,77.977,75.71,77.358,78.395,79.816,78.292,72.135,72.786,97.425,100,107.107,117.703,106.295,103.054
"268","261","            Mutual fund sales charges","DMUTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.038,215.711,234.677,228.606,220.781,212.391,206.4,192.82,191.651,185.65,167.939,167.152,172.184,169.215,170.138,164.728,162.171,165.212,155.206,147.748,126.883,105.22,100,111.746,118.893,128.303,124.669
"269","262","          Portfolio management and investment advice services","DPMIRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.655,41.149,42.172,45.139,42.779,51.43,55.069,51.438,57.324,61.201,63.52,66.737,69.118,71.234,73.86,77.157,78.393,84.592,89.421,94.826,102.636,104.741,100,103.306,106.959,108.101,108.088
"270","263","          Trust, fiduciary, and custody activities","DTRURG3",45.313,46.772,47.679,48.409,49.115,50.018,50.014,50.392,51.649,53.283,53.837,55.474,57.105,55.649,54.919,54.201,61.476,65.83,68.683,73.262,79.371,90.069,105.233,121.231,130.172,134.245,134.552,134.383,104.212,92.83,99.008,96.526,87.286,84.468,90.539,89.41,86.873,90.948,95.278,103.852,101.764,109.166,102.819,97.106,105.196,101.379,107.516,95.572,99.445,104.146,100,95.112,97.897,103.938,114.768
"271","264","      Insurance","DINSRG3",7.358,7.599,7.88,8.076,8.126,8.381,8.729,9.136,9.402,10.196,10.676,11.294,12.362,13.275,13.598,13.883,14.477,15.789,17.872,19.611,20.144,21.167,23.065,25.522,28.45,31.872,33.39,33.448,33.119,36.6,41.007,44.707,46.258,49.26,53.044,55.653,58.992,63.656,67.195,69.567,72.165,74.753,76.194,79.133,84.184,88.018,91.086,93.433,95.509,97.212,100,103.286,106.246,108.575,111.076
"272","265","        Life insurance (110)","DLIFRG3",8.125,8.47,8.722,9.017,9.226,9.575,9.818,10.17,10.524,11.133,11.686,12.388,12.933,13.609,14.354,15.403,16.515,17.813,19.45,21.092,22.641,24.513,26.096,27.675,29.77,31.641,34.593,37.589,40.308,42.728,44.616,47.21,49.063,51.859,53.776,55.367,57.434,61.044,64.332,67.906,71.252,76.448,76.724,82.54,85.717,89.666,93.029,95.548,98.474,98.481,100,102.078,103.367,104.778,108.834
"273","266","        Net household insurance (111)","DFINRG3",4.638,4.6,4.661,4.75,5.052,5.562,6.421,7.205,8.028,8.588,9.075,9.587,10.612,11.037,11.015,9.939,10.1,11.935,13.371,13.666,14.593,16.352,17.965,19.978,21.844,22.815,24.192,26.661,28.157,29.982,31.582,32.287,33.385,34.554,37.185,40.046,44.803,48.553,53.757,54.536,57.897,62.119,68.136,72.595,80.749,87.013,91.692,94.15,96.008,97.583,100,103.032,105.957,109.217,112.56
"274","267","          Household insurance premiums and premium supplements","DFIPRG3",15.407,15.36,15.428,15.537,15.997,16.767,17.885,18.925,19.995,20.938,21.841,22.687,23.995,24.622,24.863,24.833,26.284,28.857,30.851,31.946,33.919,37.012,39.908,42.825,44.902,45.923,47.111,49.017,50.49,52.279,53.599,54.453,55.457,56.659,58.275,60.286,62.294,63.67,65.419,65.861,66.831,68.368,70.057,72.611,80.71,86.974,91.697,94.132,95.967,97.566,100,103,105.937,109.199,112.536
"275","268","          Less: Household insurance normal losses","DFIBRG3",34.482,34.577,34.39,34.192,34.037,34.007,33.822,34.137,34.62,35.672,36.85,37.813,38.688,39.302,40.056,43.486,47.566,49.448,51.07,53.422,56.457,60.294,64.095,67.059,68.324,68.912,69.224,69.554,70.522,71.57,71.825,72.624,73.201,74.21,74.548,75.57,75.035,74.402,73.548,73.737,72.832,72.392,71.168,72.614,80.682,86.945,91.695,94.116,95.937,97.555,100,102.979,105.925,109.188,112.519
"276","269","        Net health insurance (112)","DHINRG3",5.683,5.822,6.276,6.476,6.267,6.4,6.734,7.099,7.174,8.598,8.83,9.053,10.489,12.023,12.067,11.88,11.925,12.416,15.431,17.838,16.607,16.546,19.223,23.516,27.79,33.329,33.068,28.679,24.574,28.97,36.073,41.707,42.37,44.509,48.942,51.867,56.416,62.27,67.26,68.513,69.849,72.048,74.118,75.121,80.388,84.379,87.798,90.95,93.454,96.474,100,104.314,107.858,110.137,111.586
"277","270","          Medical care and hospitalization","DMINRG3",3.371,3.724,4.205,4.439,4.406,4.52,4.772,4.926,4.701,6.819,6.274,6.698,7.816,9.942,9.656,8.983,7.272,7.672,11.296,12.893,13.574,13.458,15.313,19.433,23.645,30.283,31.114,24.162,19.465,25.034,33.977,40.665,42.271,45.126,49.783,53.213,56.846,59.679,62.445,63.823,65.608,67.556,69.971,71.862,77.579,81.639,85.29,88.735,91.426,95.242,100,105.394,109.673,112.447,114.225
"278","271","          Income loss","DIINRG3",64.376,61.992,65.553,64.915,59.467,59.664,62.373,70.205,77.587,74.69,86.91,76.009,92.93,103.46,113.717,113.168,149.509,150.133,168.678,230.429,136.76,112.264,137.268,210.331,228.687,223.392,202.228,266.744,239.973,279.44,261.15,289.964,215.897,212.224,119.34,151.896,115.152,85.053,74.959,75.989,77.662,80.282,82.526,83.839,85.762,88.047,91.017,93.955,96.643,100.325,100,101.642,104.838,107.016,108.613
"279","272","          Workers' compensation","DPWCRG3",10.843,10.525,10.635,11.021,10.788,11.131,11.715,11.988,12.159,12.895,14.386,16.195,17.517,16.213,15.895,17.69,19.851,21.012,21.24,21.4,22.599,25.217,29.83,30.185,34.276,36.256,32.92,34.017,32.848,32.137,34.392,35.853,36.124,36.16,44.2,43.942,54.489,76.528,94.198,94.802,93.353,97.003,96.869,92.4,94.908,98.432,100.242,101.632,103.109,102.111,100,98.472,97.097,96.602,96.529
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRG3",9.073,9.319,9.467,9.496,9.579,9.803,10.318,10.872,11.208,11.47,12.207,13.322,14.756,15.16,15.276,15.264,15.98,18.674,19.927,20.847,22.731,24.114,25.071,25.753,27.925,30.696,32.936,36.099,38.206,41.501,44.865,46.869,49.74,55.29,61.673,65.6,68.455,72.497,73.19,76.234,80.45,79.775,80.918,84.596,91.093,94.043,95.635,95.753,95.665,96.933,100,102.833,107.153,111.138,113.509
"281","274","    Other services","DOTSRG3",12.345,12.689,12.834,13.043,13.326,13.623,13.973,14.376,14.836,15.492,16.242,17.025,18.03,18.952,20.067,22.237,23.831,25.32,26.621,28.018,30.052,32.782,36.138,38.951,41.149,43.243,44.819,47.17,48.313,50.341,52.233,54.328,56.941,59.369,61.423,63.715,65.792,67.691,69.587,71.007,72.748,74.123,76.418,79.367,82.342,85.038,88.178,91.137,93.687,97.505,100,102.413,104.25,106.415,108.728
"282","275","      Communication","DCOMRG3",47.651,48.518,48.722,48.777,49.712,49.993,49.436,48.547,49.277,50.124,50.897,51.461,54.757,57.879,59.274,62.554,64.559,68.355,69.166,70.475,70.69,71.771,79.233,87.459,92.342,98.308,101.825,104.915,102.71,102.716,102.959,102.722,104.874,105.072,105.532,107.444,107.886,108.156,108.758,107.907,105.764,102.611,101.466,102.14,101.963,100.312,99.383,99.287,96.514,98.075,100,99.919,98.722,99.08,99.333
"283","276","        Telecommunication services (71)","DTCSRG3",54.903,55.769,55.96,55.955,55.971,56.048,55.253,54.037,54.751,54.755,55.476,56.124,58.879,62.193,63.785,66.479,68.626,71.067,71.875,72.684,72.435,73.658,80.678,88.885,94.489,101.372,104.351,107.708,105.112,103.863,103.694,103.374,104.209,104.275,104.781,106.963,106.539,106.727,107.236,105.918,103.417,100.027,98.106,98.394,97.652,95.982,95.101,95.6,97.191,98.675,100,99.269,97.515,97.705,97.284
"284","277","          Land-line telephone services, local charges","DLOCRG3",22.449,22.808,22.867,22.867,22.867,22.927,22.568,22.097,22.389,22.388,22.688,22.928,24.059,25.43,26.082,27.154,28.046,29.057,29.384,29.926,29.705,30.596,34.574,38.52,41.606,47.388,50.885,56.11,59,59.846,62.012,63.17,65.142,65.862,66.174,66.368,67.81,68.003,68.956,70.048,71.337,74.235,78.121,81.633,84.982,86.279,88.614,90.432,93.895,97.236,100,103.047,104.782,107.08,109.68
"285","278","          Land-line telephone services, long-distance charges","DLDTRG3",101.294,102.873,103.313,103.293,103.357,103.359,102.058,99.692,101.006,101.022,102.335,103.645,108.71,114.748,117.676,122.789,126.685,131.125,132.634,133.123,133.227,133.666,141.697,154.275,161.243,161.971,159.087,152.718,137.313,132.057,126.847,123.6,121.73,120.833,122.193,127.879,124.656,129.14,130.337,128.723,125.774,117.626,113.724,108.839,99.48,90.832,86.41,87.412,91.503,95.772,100,102.772,104.512,106.801,109.395
