"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"22","14","          Employee reimbursement","DREERX0",-2170,-2181,-2158,-2133,-2112,-2106,-2122,-2131,-2112,-2065,-2042,-2038,-2040,-2080,-2100,-2067,-2044,-2029,-2053,-2048,-2023,-2057,-2048,-2048,-2059,-2065,-2077,-2065,-2149,-2175,-2192,-2185,-2201,-2196,-2158,-2124,-2088,-2053,-2012,-1983,-1998,-1994,-1975,-1983,-2007,-2025,-2071,-2114,-2090,-2079,-2092,-2079,-2044,-2027,-2029,-2042,-2038,-2003,-2000,-2048,-2077,-2071,-2090,-2044,-2092,-2118,-2112,-2114,-2112,-2145,-2147,-2143,-2116,-2108,-2075,-2098,-2122,-2082,-2110,-2088,-2048,-2057,-2022,-1969,-2007,-2023,-2016,-2007,-2023,-2029,-2059,-2057,-2011,-1959,-1945,-1918,-1933,-1938,-1966,-1981,-2019,-1972,-1924,-1919,-1921,-1928,-1923,-1941,-1930,-1890,-1873,-1863,-1841,-1777,-1849,-1889,-1916,-1949,-1930,-1861,-1805,-1779,-1763,-1748,-1707,-1725,-1709,-1686,-1686,-1720,-1742,-1750,-1768,-1787,-1795,-1855,-1801,-1805,-1815,-1773,-1760,-1760,-1757,-1766,-1792,-1819,-1766,-1763,-1801,-1769,-1786,-1804,-1777,-1778,-1779,-1781,-1790,-1817,-1795,-1764,-1773,-1763,-1761,-1786,-1815,-1838,-1805,-1768,-1685,-1696,-1714,-1739,-1740,-1776,-1786,-1803,-1783,-1794,-1820,-1763,-1694,-1718
"23","15","        Used light trucks","DUTRRX0",38223,38175,38319,42885,43763,44064,44228,43263,41335,38701,39420,38741,43923,43367,43875,39592,39005,39954,41632,41522,39975,41422,42248,42378,41217,44215,43877,36666,40565,43361,42419,48418,43114,48547,42601,39557,37857,42402,44565,50947,44059,47920,48919,49918,46583,45264,45318,44926,47026,44666,43433,43976,43698,43517,45826,44792,44912,45608,44977,45272,43080,45556,45981,45895,47322,46300,47538,46518,49284,47747,48798,50377,51266,48675,49261,48576,42857,46238,45176,46435,44553,43690,45184,45459,45682,44784,47300,46569,45717,47449,46975,48480,48203,50554,50256,50698,49401,50132,50432,52917,55613,52875,55260,55249,57102,54728,52836,52670,52180,51476,50696,50575,49585,52273,49950,50598,51627,51405,51745,52494,58483,57142,59281,59174,58546,60157,58459,59433,54059,53483,53468,52313,50580,51690,53302,50924,52798,52248,51962,50547,51678,53464,50652,49843,49570,48818,48154,44139,44466,43819,44657,41950,42427,42774,42749,44190,43989,45174,44672,43996,43382,43876,45087,47320,47529,49387,49716,51982,52365,53067,53579,53118,52743,53096,53140,54462,52505,53668,53030,51256,50576,50820
"24","16","          Net transactions in used trucks","DUTNRX0",27390,27468,27462,31094,31705,31880,32145,31257,29478,27432,28145,27264,31525,30877,31512,28051,27611,28539,29733,29507,27910,29456,30258,30355,29073,32036,31596,23953,27782,30628,29895,35865,30968,36146,29836,26495,25055,29706,32001,38690,31660,35963,37509,38717,35232,33629,33287,32477,33114,31812,31391,31684,30980,30506,31388,30832,31945,31499,31281,32247,31962,32576,32909,32149,32628,32526,33390,33481,33432,34306,34870,35634,34369,35789,33898,32839,31229,32560,32783,33403,31877,30971,31990,32341,32634,31573,33523,33156,33192,33792,33472,33876,34965,35629,36134,36913,35581,36863,37455,38463,41186,39339,40463,40801,41994,40268,39498,38917,38459,37768,37681,38073,37376,39436,37725,38366,39025,40085,38975,40551,46151,45517,45756,46425,46706,47025,46466,46721,43509,41890,41141,40370,39250,39401,39538,38664,39416,39711,39198,38148,38546,40532,38331,37604,37337,36496,36526,32654,32817,32588,33118,30984,31203,31086,31474,31921,31400,32242,32359,31771,31493,31472,32243,34623,35202,35612,37118,38254,38917,40235,40008,39914,40344,40909,40327,41020,39921,41299,41255,38581,38798,39208
"25","17","          Used truck margin","DUTMRX0",10853,10734,10883,11833,12101,12229,12130,12049,11900,11312,11315,11519,12439,12528,12403,11579,11431,11449,11936,12054,12114,12008,12029,12064,12205,12214,12325,12825,12864,12779,12541,12591,12210,12446,12787,13024,12671,12639,12569,12546,12413,12173,11725,11570,11572,11761,12110,12472,13862,12851,12062,12299,12706,12983,14378,13902,12973,14028,13645,13088,11381,13049,13142,13692,14540,13728,14088,13116,15620,13495,13964,14736,16654,13053,15226,15522,11756,13656,12484,13088,12712,12731,13202,13139,13081,13200,13780,13428,12587,13678,13523,14592,13284,14919,14156,13846,13850,13363,13104,14515,14559,13679,14892,14575,15228,14578,13498,13896,13873,13869,13149,12596,12301,12940,12329,12316,12718,11251,12911,11973,12288,11569,13554,12756,11842,13124,12025,12711,10600,11597,12323,11933,11317,12282,13758,12249,13350,12523,12739,12375,13085,12911,12295,12209,12203,12286,11596,11461,11626,11198,11509,10944,11207,11679,11263,12260,12584,12929,12307,12218,11878,12407,12853,12677,12293,13767,12565,13702,13414,12781,13538,13166,12327,12103,12755,13393,12527,12305,11709,12618,11726,11564
"26","18","      Motor vehicle parts and accessories (58)","DMVPRX0",51110,51485,51402,52166,52279,52303,52837,52745,53647,53483,53898,53626,53912,53757,54309,52952,53327,53603,52808,53104,54902,52744,51806,52543,50751,51079,50747,51724,51747,51754,51259,51624,50173,53492,51429,50752,50815,51013,50172,51228,50430,51154,51396,51679,50899,50925,50790,51338,51235,50561,51836,52267,52729,53492,54027,54676,55239,54776,55636,54900,54798,55828,56690,55719,57009,55647,56618,56776,57543,57918,57847,59263,59688,59010,58237,59909,58955,60869,61707,59428,58100,58231,60503,60667,62433,60749,60535,60411,59049,59667,60420,60007,60508,60527,60247,61203,60926,61010,61800,61382,61978,61516,61405,62111,62340,62480,61331,60237,59763,59109,58739,58844,58879,58478,57242,56582,55743,53899,53496,52856,53036,52421,51340,51314,51507,51693,52002,53016,50389,51666,51346,51573,51840,51816,53717,54392,54363,54049,54218,55107,55244,55792,55997,56434,55555,55727,56436,56157,55562,56189,56091,56638,57100,57447,57573,56823,57681,57665,57069,57444,57044,56756,56890,56671,57276,56854,57031,56766,57077,57973,57063,57023,57572,57462,57596,57879,57741,58348,59866,59472,58728,58970
"27","19","        Tires","DTATRX0",19388,19361,19367,19520,19318,19364,19464,19406,19888,19651,19743,19724,19954,19814,20070,19388,19662,19668,19361,19300,19917,18943,18470,19206,18780,19104,19004,19521,19440,19590,19457,19701,19050,19248,18886,18941,18916,18877,18752,19114,19057,19328,19327,19310,19536,19549,19584,19674,19606,19429,19821,19887,20010,20179,20401,20615,20976,20927,21180,20799,20761,21261,21759,21421,21934,21399,21761,21822,21587,22150,22137,22560,23099,22855,22551,23090,22811,23273,23322,22987,22592,22969,23600,23717,23971,23487,23533,23513,22745,23198,23399,23060,23372,23375,23248,23454,23647,23577,24035,23804,24021,24168,24074,24209,24100,24242,23819,23684,23826,23469,23326,23449,23515,23311,22721,22853,22572,22155,21981,22001,21766,21589,21256,21142,21177,21172,21371,21502,20882,21277,20809,21261,21372,21450,21912,22467,22461,22451,22346,22661,22739,22752,22887,22868,22486,22466,23071,22563,22368,22525,22325,22750,23104,23105,23076,22444,22858,22920,22545,23009,22930,22693,22941,22762,22873,22831,22847,22598,22935,23349,23100,22980,23376,23208,23484,23719,23715,23994,24632,24196,23855,24009
"28","20","        Accessories and parts","DPAARX0",31743,32155,32063,32683,33014,32988,33428,33396,33808,33890,34216,33960,34010,33997,34292,33623,33719,33993,33505,33872,35057,33880,33420,33399,32018,32012,31777,32231,32339,32187,31822,31936,31143,34328,32602,31850,31940,32184,31456,32152,31396,31850,32098,32402,31375,31388,31216,31679,31644,31145,32032,32401,32743,33341,33653,34089,34288,33871,34480,34126,34060,34589,34949,34316,35093,34265,34873,34970,35991,35788,35730,36729,36602,36167,35699,36836,36159,37618,38416,36456,35519,35263,36912,36956,38483,37276,37013,36910,36320,36481,37035,36964,37150,37167,37014,37769,37292,37449,37778,37592,37971,37356,37339,37914,38255,38249,37522,36559,35944,35646,35417,35399,35368,35171,34527,33729,33170,31739,31511,30853,31268,30831,30082,30171,30331,30522,30631,31512,29510,30390,30535,30313,30469,30366,31804,31925,31901,31597,31871,32445,32504,33041,33110,33571,33074,33268,33364,33604,33203,33678,33786,33898,34000,34351,34511,34412,34852,34771,34558,34451,34123,34080,33955,33920,34421,34035,34198,34188,34154,34635,33971,34052,34205,34263,34122,34171,34037,34366,35248,35284,34880,34968
"29","21","    Furnishings and durable household equipment","DFDHRX0",161013,164895,166621,165071,168535,170588,170323,173908,176615,177313,178418,181505,181541,183822,185375,185881,188016,187433,188027,190119,190630,191830,191206,189086,195334,192727,192613,194222,195545,196120,197684,199499,194343,199290,203555,206591,208028,210081,210679,211654,211728,210796,210427,211991,210876,212534,215192,216399,215487,209327,217098,217985,224502,227692,230082,233222,234367,234934,238423,238402,238983,239898,246737,245019,245486,246900,251570,251135,251317,251707,252993,258170,257140,258767,257350,262113,258748,264903,263552,266810,269930,273710,273415,271605,280337,279698,280906,278365,275283,277209,277110,278116,279595,277743,276241,278978,283197,279344,281428,279712,281172,277978,280305,281125,280587,279796,281291,279384,276717,272063,271033,276133,277037,276589,274150,268270,259205,256977,253623,250240,248702,247261,239588,240236,241608,240777,241755,244766,244206,245837,247398,249593,249758,253648,258517,262540,261191,260463,260325,263690,264053,264597,269707,269529,265356,269098,274286,274548,272118,273422,274830,275952,280073,282435,285057,284476,287396,289683,291320,288956,291021,290425,292199,293878,296306,294507,297194,300305,299814,299505,301718,304412,306046,310230,313463,317081,319225,320548,318491,315643,312956,316004
"30","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",90434,92875,93477,92290,94820,95964,95152,98035,99865,100153,100859,102362,102431,103864,104657,105508,106819,106631,107248,107871,107237,108066,107300,104372,109368,108296,108352,108429,108993,110189,110941,111399,108937,111374,113841,115855,116887,118000,117841,118098,118457,117572,116750,117665,117256,117705,119616,119433,118790,115452,121340,121330,125418,126675,127806,130012,130343,131753,133843,134282,134174,134641,137872,137716,137434,138744,142891,142445,141765,142443,143200,146756,145551,147702,146737,149788,148586,152849,152693,154683,157107,158619,157866,156671,161252,161706,162706,161521,159815,162093,161935,162808,164282,163323,162921,164001,166795,165048,166511,167953,167508,165778,168256,168052,167924,168339,168409,167667,166127,161950,161586,164783,165623,163739,162305,159233,152552,151651,149204,148391,147008,147420,141544,141690,142590,142985,143162,144573,144658,145646,146793,147723,148226,150937,154023,154836,154827,155377,155465,158131,159163,159081,160433,160462,157507,160409,164255,164406,161865,162097,163670,164898,167742,169341,169753,169895,173343,175805,175453,175480,175837,175788,177036,177513,178304,177399,179226,181909,181037,179640,182281,184231,185172,188675,189279,191919,193685,195428,194348,190371,188766,190879
"31","23","        Furniture","DFNRRX0",59723,60838,61207,59953,61970,62649,62133,64066,65507,65687,65996,66873,67199,68308,68453,70013,70662,70578,71213,71321,70122,70758,70097,67933,71878,70677,70752,70901,71334,72548,73248,73538,71933,73572,75650,77315,77463,78136,78056,78215,78407,77342,76637,77060,77365,77536,78890,78293,77466,75036,78834,78752,80732,81190,81931,82595,82788,83920,85164,85530,85749,84963,86409,86558,86870,87148,90610,89752,88407,90311,91032,93115,90912,93282,92366,93178,92450,95976,95628,97053,98582,98706,97877,96577,98895,97893,98709,97330,96037,98402,98375,99152,99397,99084,98908,99301,100647,100202,99202,100480,99995,98504,100057,99601,99857,100367,99944,100015,98954,95676,95084,97026,97569,95411,94248,93052,87871,87010,86070,86899,85394,85819,81758,81135,81404,81848,81672,83472,82925,83800,84604,85040,85695,86902,88136,88596,89577,88925,89358,90926,91181,91090,91971,91643,89969,92700,94788,94703,91545,91507,93085,93236,94466,95278,95523,94734,96881,98956,96825,97181,97252,97650,98216,97907,97674,96167,97139,98688,97489,95621,97652,98044,98570,100193,100092,101689,103532,105256,103225,101103,98995,100612
"32","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11197,11531,11573,11488,11789,11820,11683,12089,12270,12224,12356,12794,12590,12773,13024,12941,13052,13166,13387,13591,13850,14001,13809,13729,14161,13927,13905,13854,13838,14055,14013,14118,13520,13947,14076,14223,14643,14822,14917,14960,15133,14983,15071,15191,14843,15168,15379,15776,15675,15465,15961,15960,17090,17403,17507,18610,18613,18406,18544,18807,18798,18862,19473,19628,19467,19851,20194,20418,20623,19199,19644,20233,20515,20559,20635,21593,21281,22186,22470,22993,23038,23543,23582,23931,25060,25445,25740,25971,25598,26025,26502,26908,27842,28072,27846,28410,28915,28568,29656,29587,29811,29870,30553,30469,31247,30589,31498,31739,31706,31117,31521,31269,31544,31985,31841,31520,30853,31452,30896,30606,30577,30611,29900,30390,30735,30451,30598,30759,31221,31551,31711,31885,31827,32279,33464,33433,33488,34113,34357,34871,35439,35301,36163,36353,35635,35860,36548,36882,37152,37607,37338,38037,39304,39657,39835,40233,40906,41197,42071,41979,42119,42040,42309,42545,43782,44168,44388,45000,45119,45665,46906,47846,47156,48287,49393,50933,50503,50769,50753,50046,50879,51241
"33","25","        Carpets and other floor coverings","DFLRRX0",15139,15975,15986,16323,16076,16542,16662,16926,17052,17201,17437,17453,18033,17844,18106,17517,18090,17957,17763,17929,17616,17794,17744,16877,17513,17752,17563,17745,17969,17865,18025,17772,17950,17944,18029,18549,18334,18714,18632,18705,18566,18670,18319,18673,18426,18359,18714,18486,18761,18353,19580,19462,20004,20282,20398,20510,20838,21192,21729,21467,21077,22021,22973,22671,22206,22663,23172,23097,23501,23997,23392,23710,24176,23871,23549,24410,24408,24233,24165,24120,24714,24837,24940,24840,25704,26132,25901,25920,25873,25454,24934,24598,24780,24229,24045,24375,25219,24241,25118,25034,24939,24626,24672,24808,23830,24537,24161,23440,23133,22893,22850,23823,23888,23232,23069,21922,21549,21223,20286,19292,19565,19604,18589,18710,18783,18908,19020,18547,18649,18411,18647,18760,18518,19237,19717,20034,18814,19513,19148,19346,19184,19148,18659,19108,18673,18415,19270,19221,19534,19315,19601,19824,20052,20318,20378,21014,21602,21640,22249,22164,22297,21841,22005,22649,22706,22954,23538,23978,23920,24206,23947,24358,24966,25343,25309,25105,25263,24987,25827,24867,24890,24952
"34","26","        Window coverings","DWCTRX0",6117,6372,6546,6421,6770,6880,6679,6930,7040,7111,7150,7159,6819,7057,7143,7102,7198,7034,6896,6985,7322,7211,7372,7281,7447,7640,7810,7675,7678,7512,7538,7772,7530,7817,8076,7903,8362,8281,8134,8120,8170,8406,8414,8470,8467,8357,8408,8428,8473,8059,8657,8822,9042,9210,9398,9443,9315,9603,9868,9842,9863,10201,10452,10213,10233,10403,10352,10515,10522,10784,10773,11301,11438,11538,11630,11931,11821,11725,11613,11640,11995,12658,12554,12276,12490,13060,13141,13013,13038,12905,12715,12692,12716,12342,12535,12297,12412,12421,12839,13178,13063,13037,13213,13411,13170,13089,12977,12634,12483,12377,12232,12801,12755,13165,13193,12774,12286,11965,11944,11621,11483,11408,11297,11450,11663,11774,11869,11791,11861,11881,11827,12034,12178,12516,12711,12774,12949,12835,12613,13004,13401,13591,13723,13424,13299,13500,13698,13653,13737,13801,13727,13915,14087,14257,14188,14112,14122,14139,14582,14407,14429,14509,14764,14686,14549,14624,14648,14725,15062,14837,14524,14827,15209,15637,15419,15246,15277,15253,15477,15324,15221,15254
"35","27","      Household appliances (part of 33)","DAPPRX0",29954,30372,31186,31312,31463,32196,32996,32283,32620,32752,32476,33135,33461,33863,34020,33850,34967,34301,34026,34990,35493,35772,36015,35997,36437,36022,35508,36230,36354,36051,36509,37316,36195,37404,37971,38154,38082,38393,39172,39457,39164,39146,39278,38838,38787,38955,39189,39627,39384,38398,39542,40072,40900,41414,42559,43151,43193,43558,44068,43858,44419,44945,46343,45777,46637,46389,46631,46930,47271,47414,48169,48933,48612,48166,47701,48918,48162,48577,48095,48228,48412,49701,49805,49200,50838,50382,50472,50053,49369,49005,49370,49666,49219,48293,47960,48407,49252,48036,48118,46688,48191,47438,47348,47596,47412,47102,47585,46752,46719,47147,46865,47372,46975,47088,46453,45034,44422,43411,42985,41940,42619,41430,40491,40178,40191,39989,40271,41293,41208,41905,41781,41976,42004,42571,42709,45979,45395,43593,42871,43036,43199,43385,44572,44393,44669,45344,45503,45020,45378,45590,45632,45021,46048,45444,46550,45809,44789,44421,44347,43400,44230,44069,44116,44786,45313,44423,45106,45106,45498,46063,46010,46273,46951,46733,47474,48019,48429,48417,47647,48168,47245,47481
"36","28","        Major household appliances","DMHARX0",26905,27263,28048,28198,28317,28961,29828,29065,29373,29536,29243,29826,30246,30644,30726,30557,31641,30978,30655,31620,32075,32341,32579,32519,32873,32585,32074,32702,32830,32553,33005,33800,32704,33867,34382,34495,34404,34694,35481,35686,35419,35378,35533,35067,35036,35161,35389,35765,35511,34515,35589,36009,36816,37291,38418,38949,38834,39273,39763,39523,40093,40560,41827,41355,42134,41847,42007,42287,42618,42745,43449,44207,43844,43390,42891,44071,43316,43656,43200,43298,43497,44736,44830,44201,45702,45321,45412,44959,44333,43990,44326,44599,44114,43229,42863,43186,44003,42858,42901,41582,43070,42298,42245,42449,42227,41942,42297,41489,41475,41889,41566,41956,41520,41597,41025,39683,39113,38213,37831,36850,37545,36404,35470,35282,35290,35067,35560,36516,36267,36896,36614,36712,36691,37293,37353,40503,39960,38126,37414,37552,37695,37824,38875,38667,38999,39684,39777,39227,39620,39754,39851,39159,40198,39479,40483,39754,38776,38412,38225,37310,38073,37918,37885,38532,39030,38107,38737,38679,39104,39620,39511,39721,40389,40135,40836,41366,41794,41710,40977,41512,40563,40760
"37","29","        Small electric household appliances","DSEARX0",3037,3092,3133,3119,3146,3232,3199,3221,3250,3231,3237,3311,3246,3257,3320,3315,3365,3348,3380,3400,3448,3465,3475,3507,3584,3475,3462,3552,3551,3524,3538,3564,3521,3582,3634,3695,3710,3732,3739,3810,3783,3802,3786,3800,3782,3821,3830,3889,3894,3888,3965,4066,4097,4138,4170,4231,4366,4308,4334,4356,4356,4415,4547,4457,4539,4570,4644,4665,4678,4694,4748,4763,4796,4797,4823,4869,4860,4932,4905,4938,4926,4983,4992,5009,5149,5075,5075,5104,5045,5022,5052,5075,5109,5065,5095,5219,5248,5175,5214,5103,5119,5137,5100,5144,5181,5155,5283,5258,5239,5253,5295,5412,5453,5489,5426,5351,5309,5197,5154,5091,5071,5025,5024,4896,4900,4921,4714,4783,4940,5008,5165,5262,5314,5278,5356,5473,5434,5468,5459,5485,5505,5563,5700,5728,5672,5664,5728,5793,5760,5836,5781,5863,5848,5967,6067,6058,6019,6016,6137,6112,6175,6169,6255,6272,6299,6343,6393,6457,6416,6462,6524,6577,6582,6622,6658,6669,6647,6723,6691,6673,6706,6746
"38","30","      Glassware, tableware, and household utensils (34)","DUTERX0",25072,25771,26324,25939,26604,26760,26732,27791,28281,28370,28802,29555,29218,29571,29675,29997,29670,29955,30104,30624,31255,31309,31431,31917,32481,31353,31895,32263,32760,32488,32887,33614,32256,33288,34269,35033,35255,35745,36010,36147,36191,36154,36529,37522,36802,37574,37954,39092,38700,37579,37451,38145,39445,40415,40290,40530,41096,39868,40684,40537,40957,40942,41868,41163,41063,41234,41442,41181,41656,41541,41425,41953,42366,42421,42400,42635,41502,42734,42192,43219,43250,44081,44609,44649,46004,45527,45765,45335,45109,45330,45100,44958,45903,45556,45094,46212,46563,45849,46314,45144,45203,44843,44819,45537,45514,44823,45656,45373,44227,43564,43426,44436,44647,45368,45291,44286,42748,42719,42858,41940,41074,40500,39871,40941,41379,40659,41277,41500,40821,41035,41467,42327,42113,42663,43563,43086,43001,43611,44066,44569,43649,43897,46140,45909,44983,45416,46414,46825,46228,46801,46463,46979,47384,48408,49621,49580,49729,50122,51457,50505,51535,51424,51903,52224,53150,53108,53198,53761,53492,53876,53971,54450,54604,55357,57131,57627,57513,57421,57095,57430,56857,57680
"39","31","        Dishes and flatware","DCHNRX0",10453,10733,11203,10837,10976,11306,11249,11685,12025,12254,12509,12807,12744,12893,12787,13123,12858,13062,13073,13519,13852,13812,13793,14160,14364,13901,14390,14545,14867,14693,14895,15309,14667,15116,15641,16114,16108,16586,16779,16826,16774,16892,17117,17704,17255,17536,17585,18189,18218,17412,16997,17301,18204,18706,18209,18529,18830,17757,18331,18550,18569,18385,18913,18513,18482,18653,18634,18534,18915,18829,18659,18886,18989,19015,18909,18754,18173,18931,18808,19427,19510,19912,20111,20231,20699,20604,20680,20472,20151,20306,20179,20144,20743,20566,20454,21118,21328,20833,20906,20487,20711,20401,20120,20793,21007,20451,20944,21052,20207,20000,20070,20595,20597,21003,21165,20602,19577,19763,20108,19628,18865,18527,18278,19016,19364,18916,19362,19696,18930,19165,19664,20050,19664,20098,20536,20189,20381,20848,21134,21544,20667,20670,22647,22731,22056,22209,22892,23048,22557,22939,22765,23089,23588,24181,25229,25531,25221,25311,26258,25889,26661,26615,26954,27171,27574,27683,27848,28189,27578,27755,27647,27958,28160,28637,30088,30649,30389,30312,29912,30376,29314,30062
"40","32","        Nonelectric cookware and tableware","DNECRX0",14924,15355,15356,15408,15999,15722,15769,16407,16513,16306,16465,16934,16630,16838,17099,17023,17000,17054,17211,17217,17501,17614,17780,17852,18228,17547,17528,17744,17894,17810,18000,18289,17581,18170,18603,18858,19117,19057,19111,19205,19320,19131,19268,19640,19400,19908,20270,20782,20309,20065,20451,20843,21155,21609,22098,21960,22214,22202,22382,21942,22388,22607,22976,22693,22619,22594,22849,22682,22734,22715,22796,23099,23429,23457,23564,24022,23490,23909,23459,23835,23770,24195,24532,24435,25349,24946,25114,24896,25028,25084,24984,24871,25194,25026,24664,25104,25242,25037,25441,24679,24501,24458,24731,24754,24509,24384,24720,24321,24032,23571,23358,23842,24054,24366,24123,23682,23177,22956,22747,22310,22211,21979,21596,21923,22013,21740,21912,21805,21887,21866,21805,22279,22446,22565,23025,22894,22621,22771,22945,23048,22979,23217,23534,23241,22971,23249,23584,23834,23710,23909,23745,23943,23880,24321,24550,24260,24659,24948,25382,24815,25120,25056,25216,25332,25845,25718,25667,25902,26153,26359,26536,26716,26690,26985,27422,27425,27526,27505,27530,27462,27801,27939
"41","33","      Tools and equipment for house and garden (35)","DTOORX0",16295,16578,16346,16321,16327,16390,16275,16407,16407,16623,16813,16991,17015,17098,17639,17008,17156,17045,17093,17143,17213,17256,17067,17549,17641,17696,17382,17941,18065,17944,17903,17759,17535,17838,18050,18054,18283,18413,18178,18518,18434,18474,18449,18454,18547,18827,18917,18764,19167,18430,19259,18950,19182,19673,20006,20087,20299,20317,20353,20204,19957,19932,21324,20959,21065,21172,21104,21144,21247,20907,20863,21149,21225,20956,20969,21267,20966,21113,20905,20954,21398,21614,21464,21396,22593,22373,22230,21711,21229,20927,20877,20851,20306,20655,20327,20451,20667,20453,20518,19847,20250,19896,19817,19904,19701,19475,19607,19549,19606,19406,19156,19534,19775,20396,20104,19716,19502,19206,18589,17973,17998,17916,17681,17428,17454,17144,17047,17397,17517,17254,17355,17565,17413,17476,18217,18654,17987,17888,17924,17968,18088,18264,18555,18754,18205,17966,18151,18315,18646,18912,19054,19046,18912,19258,19136,19205,19595,19458,20166,19724,19566,19309,19331,19513,19695,19758,19828,19753,19959,20037,19654,19684,19542,19755,19872,19839,19918,19662,19777,19944,20320,20249
