"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"249","241","Q1SSA1 C     Admissions to specified spectator amusements (96)","Q1SSA10",20928,21911,21850,22012,21858,21149,21336,22242,22305,22458,21439,22929,23627,24187,26074,24304,24774,25408,25958,24808,24905,26115,26257,27363,26944,27558,28993,27569,28588,28906,28424,28943,29487,28998,29970,29628,29385,30086,30818,30480,29922,30670,30409,30599,31232,30910,29968,31341,31934,32103,31746,32803,31899,31947,32183,32430,32411,32474,32323,31268,31484,30262,30971
"250","242","Q1MOV1 C       Motion picture theaters","Q1MOV10",6625,7380,7508,7973,8180,6761,6498,7072,6970,7217,5675,6742,6320,6642,7977,6008,6616,6151,7464,7113,6117,7491,6891,7428,7272,7762,6465,7431,8047,7761,7368,7322,8420,7851,8386,7973,7837,8386,9362,8166,8167,8760,8603,8816,8842,8250,8774,8881,9362,9137,8374,9090,8592,8689,8828,9047,8528,8772,8539,8386,8751,7472,8142
"251","243","Q1LEG1 C       Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)","Q1LEG10",7521,7767,7521,7097,6716,7341,7671,7858,7985,7839,8234,8460,9209,9247,9624,9647,9419,9757,9969,9823,9978,10119,9825,10171,10083,10097,10258,10131,10257,10622,10416,11026,10394,10260,10531,10533,10426,10550,10224,10946,10302,10446,10324,10276,10613,10796,10186,10367,10535,10795,11070,11314,10840,10717,10745,10710,11134,10932,11021,10887,10722,10694,10670
"252","244","Q1SPE1 C       Spectator sports","Q1SPE10",6793,6780,6836,6956,6975,7056,7176,7323,7359,7412,7534,7735,8105,8306,8485,8654,8743,9500,8536,7886,8814,8517,9544,9767,9593,9704,12258,10009,10289,10526,10640,10597,10676,10887,11055,11123,11120,11152,11235,11370,11457,11464,11481,11506,11776,11860,11019,12086,12039,12170,12293,12400,12459,12533,12602,12664,12740,12760,12752,11992,12011,12081,12152
"253","245","Q1RXA1 C     Other (94+100+101+102+103)","Q1RXA10",146636,148651,149840,150968,148601,149436,150282,151926,157999,160085,163320,165501,167884,169680,172135,174131,175746,178077,180938,183802,188072,192028,194770,197346,198395,200060,201820,203419,205805,207132,206996,208064,212122,213752,216490,219539,222429,225888,229838,232398,234310,236970,239698,240481,243497,243216,244577,244843,246517,248023,249403,252233,254246,257892,259374,264443,268705,268648,271308,272916,276377,278291,277718
"254","246","Q1RTV1 C       Radio and television repair","Q1RTV10",4064,4084,4029,3922,3741,3653,3566,3506,3419,3599,3516,3408,3543,3592,3615,3620,3552,3554,3582,3637,3697,3798,3864,3915,3849,3849,3838,3828,3904,3930,3943,3947,3972,4016,4068,4130,4073,4109,4155,4225,4204,4191,4165,4130,4039,4022,4001,3984,4021,4019,4020,4010,3954,3965,4007,4082,4236,4351,4464,4574,4626,4652,4666
"255","247","Q1CLU1 C       Clubs and fraternal organizations","Q1CLU10",17251,17608,18173,18529,18844,19534,19816,20124,20616,20676,20816,21150,21434,21033,20834,20444,20532,20415,20439,20547,20277,20057,19913,19642,19401,19380,18970,18612,18083,17847,17694,17647,17901,17993,18198,18404,18212,18369,18838,18884,19001,18934,19000,19168,19106,19210,19357,19383,19231,19909,19948,21004,21397,21726,21307,21270,21429,21746,21958,22328,22324,22445,22719
"256","248","Q1COM1 C       Commercial participant amusements","Q1COM10",32645,33134,33228,33916,32619,33345,33913,34480,36638,36977,38697,39747,40303,42149,44320,46231,47643,48811,50144,51216,53363,54819,56465,58111,58367,59196,61025,62121,63524,64591,64707,64982,66632,66689,67429,68389,69198,70718,72349,73306,73753,75448,77318,76730,78296,77482,76875,76220,78108,78769,80212,81264,81551,84196,84931,86952,89308,88810,89986,90325,91583,91591,88810
"257","249","Q1SIG1 D         Sightseeing","Q1SIG10",2879,2937,2992,3047,3108,3216,3317,3405,3554,3656,3681,3664,3836,3942,4042,4131,4183,4272,4372,4484,4690,4826,4936,5011,4998,5037,5075,5112,5163,5218,5288,5372,5447,5513,5571,5630,5892,5929,5911,5867,5644,5572,5477,5365,5205,5137,5064,4989,4893,4825,4774,4741,4734,4735,4753,4785,4839,4883,4927,4971,5013,5059,5107
"258","250","Q1FLY1 D         Private flying","Q1FLY10",371,370,373,376,384,394,395,388,362,348,342,334,332,333,333,333,330,333,342,355,391,402,409,408,389,384,380,380,404,412,417,420,416,416,416,415,453,467,477,484,481,481,482,484,487,490,493,496,478,473,470,470,476,479,483,486,488,492,495,498,501,504,507
"259","251","Q1BIL1 D         Bowling and billiards","Q1BIL10",3087,3063,2997,2964,2860,2824,2808,2811,2917,2941,2897,2835,2710,2650,2591,2532,2488,2515,2527,2529,2518,2524,2533,2541,2558,2560,2555,2544,2532,2531,2523,2511,2479,2472,2463,2477,2518,2520,2507,2511,2531,2493,2452,2407,2473,2493,2522,2557,2595,2626,2653,2679,2692,2722,2759,2800,2847,2891,2935,2980,3025,3071,3118
"260","252","Q1CAS1 D         Casino gambling","Q1CAS10",14323,14565,14592,15297,14380,15085,15543,15894,17158,17014,18432,19377,19769,21428,23400,25132,26430,27277,28220,28839,30214,31300,32597,33930,34030,34591,36160,37052,37929,38885,38983,39316,40489,40343,41016,41985,42487,43917,45546,46421,46888,48607,50563,50124,51269,50563,50712,51087,52250,53096,54698,55863,56254,58893,59492,61295,63253,62412,63264,63278,64221,63875,60706
"261","253","Q1OPA1 D         Other comml participant amusements","Q1OPA10",12274,12488,12561,12497,12163,12084,12099,12230,12895,13283,13589,13764,13880,13991,14117,14239,14331,14527,14789,15118,15661,15868,16079,16295,16470,16701,16910,17080,17544,17583,17533,17394,17831,17979,17992,17899,17864,17894,17912,18025,18211,18294,18343,18350,18862,18799,18088,17109,17908,17774,17656,17564,17456,17458,17541,17700,18010,18243,18478,18704,18934,19186,19448
"262","254","Q1PAR1 C       Pari-mutuel net receipts","Q1PAR10",4626,4636,4637,4641,4504,4401,4293,4214,4159,4134,4076,4003,3957,3949,3953,3972,4014,4039,4070,4099,4123,4160,4190,4213,4210,4230,4250,4270,4329,4337,4315,4262,4519,4586,4660,4746,4889,4971,5035,5071,5023,4992,4974,4954,4912,4929,4956,4992,5079,5102,5100,5073,4967,4914,4875,4853,4878,4875,4872,4868,4864,4865,4867
"263","255","Q1REO1 C       Other","Q1REO10",88135,89273,89859,90034,88983,88579,88769,89682,93256,94787,96305,97289,98740,99030,99471,99911,100042,101291,102730,104326,106627,109216,110347,111461,112580,113417,113736,114586,115954,116410,116319,117212,119086,120456,122120,123855,126047,127714,129456,130910,132329,133405,134240,135499,137144,137573,139383,140249,140067,140215,140126,140907,142407,143146,144287,147295,148869,148903,150073,150885,153027,154773,156687
"264","256","Q1PET1 D         Pets and pets services excluding veterinarians","Q1PET10",3263,3223,3264,3308,3482,3523,3564,3545,3585,3508,3505,3451,3705,3737,3820,3911,3984,4083,4097,4124,4106,4161,4243,4321,4431,4479,4502,4562,4585,4592,4583,4557,4461,4465,4441,4387,4298,4332,4356,4366,4546,4503,4458,4411,4337,4298,4266,4242,4234,4210,4184,4156,4095,4087,4103,4143,4233,4287,4334,4373,4416,4470,4527
"265","257","Q1VET1 D         Veterinarians","Q1VET10",6187,6256,6342,6491,6430,6502,6506,6539,6688,6634,6702,6830,6997,7135,7259,7247,7296,7575,7779,8008,8143,8359,8538,8674,8877,9135,9273,9455,9661,9827,10086,10435,10685,10834,10942,11123,11418,11474,11578,11700,11779,11913,11969,12005,11954,12150,12236,12193,12504,12492,12471,12650,12634,12612,12840,13098,13061,13200,13203,13145,13102,12974,12820
"266","258","Q1CTV1 D         Cable television","Q1CTV10",27696,28251,28342,28149,27510,27270,27074,27104,28264,28559,28726,28525,29413,29236,29191,29239,28626,28597,28911,29491,30695,31425,32024,32839,33561,34028,34156,34760,34972,35275,35101,35366,35295,35625,36257,37016,38087,38778,39519,39682,39900,40187,40456,41154,42338,41562,41939,42929,42241,42076,41957,41959,42492,42575,42634,44321,44362,44559,44875,45557,46810,47850,49041
"267","259","Q1FDV1 D         Film developing","Q1FDV10",6751,6676,6594,6532,6492,6461,6472,6529,6367,6301,6310,6397,6426,6463,6501,6529,6605,6587,6522,6419,6439,6484,6523,6557,6624,6634,6627,6611,6614,6607,6600,6595,6624,6658,6695,6731,6797,6814,6815,6798,6738,6711,6681,6652,6570,6594,6631,6677,6754,6782,6785,6757,6693,6584,6434,6242,5971,5732,5494,5264,5045,4831,4629
"268","260","Q1PIC1 D         Photo studios","Q1PIC10",5839,5925,5958,5950,5879,5844,5898,6018,6141,6218,6315,6426,6495,6558,6618,6662,6676,6717,6759,6800,7071,7115,7124,7094,6985,6911,6823,6724,6392,6281,6226,6230,6409,6473,6524,6554,6487,6512,6556,6620,6796,6819,6829,6821,6820,6743,6658,6565,6412,6344,6310,6310,6366,6394,6424,6452,6476,6488,6497,6504,6509,6519,6530
"269","261","Q1CMP1 D         Sporting and recreational camps","Q1CMP10",1376,1404,1430,1443,1365,1324,1334,1385,1517,1574,1610,1609,1559,1542,1537,1540,1571,1586,1599,1613,1607,1594,1585,1578,1582,1574,1562,1545,1487,1515,1587,1702,1686,1682,1665,1647,1644,1653,1663,1688,1742,1767,1783,1797,1835,1834,1830,1822,1786,1768,1755,1744,1742,1733,1725,1716,1703,1693,1683,1675,1665,1654,1645
"270","262","Q1HRE1 D         High school recreation","Q1HRE10",228,223,219,218,220,227,223,228,230,229,235,240,253,260,268,274,279,284,289,293,297,300,302,305,307,310,313,317,324,327,330,332,342,346,347,346,346,345,344,344,343,344,345,346,348,350,353,355,360,363,366,369,371,374,378,381,386,390,394,398,402,406,410
"271","263","Q1LOT1 D         Lotteries","Q1LOT10",11249,11245,11172,11073,10978,10972,11063,11228,11514,11658,11882,12110,12445,12612,12808,13053,13346,13634,13963,14311,14572,14722,14875,15021,15093,15199,15333,15466,15351,15268,15192,15143,15179,15210,15238,15264,15214,15161,15076,14974,14732,14661,14588,14519,14573,14690,14839,15011,15351,15559,15742,15891,15933,16042,16164,16301,16478,16621,16762,16900,17038,17185,17340
"272","264","Q1VID1 D         Video cassette rental","Q1VID10",5024,5242,5411,5495,5426,5349,5409,5573,5729,5808,5956,6135,6326,6482,6673,6894,7196,7409,7578,7693,7897,7932,7920,7860,7641,7586,7550,7531,7508,7593,7737,7937,8297,8460,8636,8820,9096,9231,9370,9507,9806,9750,9688,9630,9587,9759,10599,9887,9692,9621,9674,9873,10491,10857,11194,11471,11502,11665,11831,12010,12171,12312,12459
"273","265","Q1NEC1 D         Commercial amusements n.e.c.","Q1NEC10",20812,21114,21352,21539,21304,21213,21269,21495,23236,24290,24999,25392,24987,24805,24532,24232,23979,24265,24656,25026,25312,26672,26826,26928,27320,27468,27526,27604,29083,29171,28911,28958,30102,30693,31368,31967,32670,33423,34187,35234,35943,36751,37446,38164,38763,39579,40054,40544,40709,40982,40870,41201,41655,41997,42526,43230,44771,44315,45051,45080,45836,46506,47183
"274","266","Q1ISP1 D           Internet service providers","Q1ISP10",50,61,74,95,120,141,162,181,212,238,262,285,293,327,387,472,593,716,883,1102,1297,1587,1875,2163,2448,2685,2889,3149,3630,3648,3456,3646,3947,4140,4560,5051,5785,6372,7035,7895,8460,9183,9807,10474,11132,11862,12201,12520,12444,12682,12625,13128,14153,14702,15305,15934,16085,16759,16739,16955,17542,18037,18529
"275","267","Q1NIS1 D           Commercial amusements n.e.c. except internet service providers","Q1NIS10",21481,21772,21993,22146,21857,21725,21747,21949,23702,24750,25446,25816,25386,25147,24781,24356,23939,24080,24280,24408,24484,25555,25394,25186,25280,25174,25008,24800,25788,25857,25804,25638,26476,26869,27081,27136,27024,27141,27202,27365,27494,27566,27633,27689,27637,27737,27875,28047,28287,28328,28273,28118,27594,27415,27371,27479,28839,27801,28526,28364,28575,28786,29010
"276","268","Q1OSR1 B   Other","Q1OSR10",616952,622930,626789,620839,625815,632853,632058,634366,644847,647941,656426,663624,669716,674985,684227,694689,699144,693790,695777,696032,698936,705321,704252,709389,724429,726198,738826,733179,747974,755702,772313,782623,796822,815334,834385,841168,855508,870936,882174,901859,934050,934873,953167,961671,954633,964206,957812,964622,962702,965511,970468,967564,970203,978953,984440,989217,1000246,1000738,1009025,1016583,1019506,1024283,1032144
"277","269","Q1PER1 C     Personal care","Q1PER10",61484,62301,61931,60776,58396,57254,56732,56845,60194,62246,63511,63696,63202,63208,63328,63567,63826,64594,65750,67231,68409,69056,69671,70240,70474,70892,71496,72352,73587,74498,75465,76451,78162,79070,79989,80905,82194,82976,83865,84824,86665,86999,87201,87251,86845,86855,86922,87024,88016,88547,89117,89702,90085,90750,91104,92948,93727,94670,95543,96321,97032,97826,98665
"278","270","Q1CRC1 C       Cleaning, storage, and repair of clothing and shoes (17)","Q1CRC10",14272,14361,14248,13991,13553,13278,13127,13135,13294,13438,13488,13418,13211,13139,13073,13026,12975,13012,13130,13305,13523,13583,13611,13612,13444,13488,13623,13854,14264,14444,14568,14629,14770,14902,15040,15175,15322,15403,15494,15588,15868,15801,15704,15575,15353,15221,15120,15038,15030,14888,14701,14473,14086,13885,13753,13687,13760,13746,13729,13704,13684,13681,13683
"279","271","Q1SCL1 D         Shoe repair","Q1SCL10",800,812,811,799,778,778,766,761,763,763,761,755,740,727,708,685,648,624,605,593,591,587,581,571,555,546,538,530,525,516,504,488,458,448,443,444,453,457,457,453,441,432,424,417,407,403,400,398,402,401,399,396,390,386,384,382,382,380,378,376,374,372,371
"280","272","Q1LAU1 D         Cleaning, laundering, and garment repair","Q1LAU10",13469,13546,13434,13188,12771,12496,12358,12370,12527,12672,12725,12661,12469,12410,12363,12340,12327,12388,12524,12713,12932,12996,13031,13042,12889,12942,13086,13324,13739,13928,14065,14141,14313,14455,14597,14732,14869,14946,15038,15136,15428,15369,15280,15159,14946,14819,14721,14640,14628,14488,14302,14078,13696,13499,13369,13305,13378,13366,13351,13328,13311,13309,13312
"281","273","Q1DRY1 D           Drycleaning","Q1DRY10",5289,5153,5061,5052,5085,5154,5324,5558,6102,6425,6633,6682,6477,6429,6404,6411,6491,6562,6667,6795,6835,6874,6906,6934,6906,6969,7063,7186,7509,7646,7725,7745,7854,7927,7996,8061,8120,8147,8180,8216,8338,8298,8247,8181,8062,7982,7919,7865,7851,7760,7642,7504,7272,7158,7089,7064,7123,7136,7151,7165,7181,7204,7230
"282","274","Q1LGR1 D           Laundry and garment repair","Q1LGR10",8193,8407,8387,8149,7698,7353,7043,6819,6430,6250,6093,5980,5994,5982,5961,5930,5837,5826,5858,5918,6097,6123,6126,6108,5984,5974,6022,6139,6230,6282,6338,6396,6458,6528,6600,6671,6749,6799,6857,6920,7090,7071,7034,6977,6884,6836,6802,6775,6777,6727,6659,6574,6424,6340,6279,6241,6255,6230,6200,6163,6130,6106,6085
"283","275","Q1BBB1 C       Barbershops, beauty parlors, and health clubs (22)","Q1BBB10",27428,27462,27436,27407,27311,27311,27543,27840,29325,30136,30561,30507,29717,29474,29313,29216,29264,29452,29752,30172,30977,31261,31476,31620,31333,31559,31920,32413,33390,33936,34462,34939,35549,35852,36121,36352,36556,36783,37068,37406,38099,38302,38458,38565,38485,38715,38915,39079,39612,39903,40178,40429,40537,40780,41089,41466,42032,42450,42842,43192,43540,43950,44381
"284","276","Q1BEA1 D         Beauty shops, including combination","Q1BEA10",25161,25181,25154,25134,25068,25073,25316,25604,27083,27902,28348,28327,27550,27311,27152,27051,27099,27274,27550,27944,28757,29051,29277,29432,29184,29395,29717,30149,30992,31478,31966,32433,33100,33414,33688,33913,34067,34278,34551,34881,35569,35780,35939,36046,35958,36185,36381,36543,37079,37368,37639,37884,37984,38219,38518,38883,39436,39846,40231,40576,40920,41324,41747
"285","277","Q1BAR1 D         Barber shops","Q1BAR10",2275,2290,2290,2282,2252,2246,2234,2242,2245,2235,2212,2179,2167,2164,2162,2167,2167,2180,2203,2229,2221,2210,2199,2188,2149,2164,2202,2264,2398,2458,2496,2505,2449,2437,2433,2439,2489,2505,2517,2525,2529,2522,2519,2519,2527,2530,2534,2536,2533,2534,2538,2544,2553,2561,2572,2583,2596,2604,2611,2615,2620,2626,2633
"286","278","Q1COT1 C       Other (19)","Q1COT10",19794,20475,20248,19398,17590,16745,16165,15986,17694,18786,19569,19870,20342,20650,20984,21356,21615,22149,22876,23747,23918,24221,24590,25008,25684,25833,25944,26080,25941,26128,26449,26898,27854,28326,28835,29382,30316,30790,31303,31829,32698,32896,33040,33111,33007,32919,32889,32910,33378,33760,34242,34803,35463,36086,36263,37790,37933,38470,38967,39420,39802,40189,40595
"287","279","Q1WCR1 D         Watch, clock, and jewelry repair","Q1WCR10",1184,1178,1168,1153,1128,1116,1105,1097,1088,1084,1085,1092,1102,1108,1113,1122,1122,1139,1165,1200,1272,1301,1328,1352,1354,1385,1429,1487,1526,1546,1564,1579,1675,1703,1724,1739,1753,1759,1768,1779,1803,1801,1800,1798,1793,1779,1772,1769,1766,1772,1783,1796,1817,1828,1835,1837,1832,1828,1823,1817,1810,1804,1799
"288","280","Q1CRP1 D         Miscellaneous personal services","Q1CRP10",18604,19293,19076,18241,16456,15623,15053,14883,16601,17699,18483,18777,19240,19543,19871,20234,20493,21012,21712,22549,22648,22921,23262,23656,24332,24449,24514,24592,24415,24582,24884,25318,26180,26622,27111,27643,28563,29030,29535,30051,30895,31095,31239,31312,31215,31140,31117,31140,31612,31988,32460,33007,33646,34258,34429,35952,36101,36642,37144,37603,37991,38385,38797
"289","281","Q1PBU1 C     Personal business","Q1PBU10",327168,329141,330774,332942,340613,350268,351163,353993,357988,355934,358543,363142,373201,378387,382894,389514,390388,382269,379352,378501,379924,385870,389466,392582,399466,401256,401860,406739,416081,420674,432238,436394,439796,451527,459484,464870,478924,490466,497900,513960,536537,531761,541966,546128,539357,534688,526618,530839,524354,524769,529971,527448,524122,535718,540009,547400,550586,549276,554872,564064,570004,574835,580247
"290","282","Q1BRO1 C       Brokerage charges and investment counseling (61)","Q1BRO10",12340,12455,12284,12066,13000,14588,14269,15172,17106,15727,16389,17866,19992,20053,21579,24028,25344,23377,23350,24347,25079,27379,29437,30533,33455,34260,33351,35644,37898,38728,44134,44557,46054,52388,56791,57247,64280,70794,73540,86963,101168,99005,101474,100677,93179,86498,80277,85745,86833,87892,90565,86345,78240,85935,88683,89873,92995,89814,90411,98578,98514,97470,97767
"291","283","Q1EQT1 D         Equities commissions including imputed","Q1EQT10",2507,2603,2508,2334,2894,3381,3194,3531,4100,3471,3668,4354,5120,5085,5595,6741,7172,6303,6322,6764,7245,8398,9442,10012,10946,11297,10771,11862,12795,12789,15475,15310,15901,19275,22547,23001,27339,31164,31757,41915,51751,51177,54163,55008,49268,45694,41632,44824,44845,45713,48250,44051,35813,42215,42488,42235,43050,39038,37371,42721,40848,37710,37814
"292","284","Q1MUT1 D         Broker charges on mutual fund sales","Q1MUT10",1986,2038,1977,1954,2127,2573,2732,3120,3423,3448,3643,3831,4043,4223,4722,4828,4889,3999,3731,3562,3402,3973,4240,4305,4902,5178,4934,5281,5388,5703,6626,6966,6932,7551,7649,7585,7751,8282,8099,9201,11023,9824,9744,9423,9080,8677,7967,9199,8834,8843,8924,8604,7965,8901,9682,9530,10416,9346,9266,10365,10833,10790,11169
"293","285","Q1TDS1 D         Trading profits on debt securities","Q1TDS10",1956,1889,1680,2019,2006,1872,1830,1813,2184,2146,2254,2117,2151,1713,1562,1271,1807,1679,1923,2097,2292,2120,1880,1927,2499,2044,1980,2056,2154,1960,1750,1571,1365,1368,1333,1115,1146,1088,1072,1165,1315,1233,1132,1305,1669,1357,1413,1686,1484,1269,1263,1058,1075,1210,1575,1778,1620,1525,1459,1493,1690,1795,1775
"294","286","Q1TSC1 D         Trust services of commercial banks","Q1TSC10",2492,2482,2458,2432,2512,2597,2674,2736,2758,2713,2639,2540,2774,2518,2355,2257,2454,2501,2511,2490,2457,2454,2448,2440,2395,2359,2337,2324,2290,2407,2500,2444,2540,2563,2390,2465,2613,2678,2602,2693,2657,2603,2610,2564,2680,2673,2505,2575,2661,2635,2546,2567,2602,2583,2561,2535,2481,2433,2389,2350,2334,2329,2325
"295","287","Q1IAS1 D         Investment advisory services of brokers","Q1IAS10",2670,2640,2564,2457,2561,2753,2828,2804,3054,3204,3381,3425,3738,4003,4200,4769,4923,4783,4811,4937,4816,4828,5315,5515,5740,6171,6290,6533,6817,7309,8035,8831,8940,9940,9355,8893,9559,10429,12201,13259,13988,13815,13951,13207,12715,11657,10845,11207,11378,11204,10818,10164,10006,10276,10775,11220,11624,11684,11920,12588,12532,12833,12929
"296","288","Q1CMD1 D         Commodities revenue","Q1CMD10",1956,1656,1902,2150,1162,1405,1275,1057,1537,1371,1420,1426,1521,1589,1785,1719,1760,1999,1756,2057,2099,2076,1836,1700,2448,2000,1734,1567,2090,2190,2261,2123,2504,2438,2537,2336,2500,2412,2391,2024,2698,2415,2072,2396,2898,2962,2953,3459,3257,3446,3872,4031,3694,3925,4381,4353,4415,4836,5048,5538,5794,6306,6030
"297","289","Q1SAX1 D         Investment counseling services","Q1SAX10",5173,5368,5550,5570,5638,5668,5655,5667,5703,5697,5743,5784,6110,6360,6685,7078,7340,7733,8163,8227,8160,8236,8441,8583,8911,9406,9875,10335,10606,11029,11190,11402,11839,12440,13055,13689,14645,15674,16707,17246,17627,17832,17822,16969,14886,13541,12872,12857,14183,14656,15095,15499,15628,16000,16198,16923,17908,18758,20184,21117,21635,22161,22184
"298","290","Q1BNK1 C       Bank service charges, trust services, and safe deposit box rental (62)","Q1BNK10",46658,45907,45183,45878,46786,47402,47956,48474,49969,49046,49081,48992,49235,50545,50540,50881,49623,48046,49441,48561,47913,48504,49660,48872,48996,48843,49997,49134,48184,48689,50476,51071,51313,53184,54676,58257,58208,60839,63673,63778,64228,62798,64694,65256,66883,68004,66314,67861,69269,71939,73858,74488,75633,76878,77708,79154,82525,80270,81057,79733,80549,83443,85737
"299","291","Q1DAB1 D         Commercial bank service charges on deposit accounts","Q1DAB10",14755,14336,14224,14744,15188,15128,15297,15647,16373,15817,16335,16491,16185,16285,16162,16021,15663,15276,15353,15059,14983,14931,14992,14623,14471,14531,14647,14625,14421,14647,14988,15569,15370,15432,15311,15833,16197,16724,17184,16915,17046,17427,17785,18508,17936,19015,18879,19767,20198,20461,20818,21184,21616,21437,21874,21553,21089,21209,21215,21183,20440,21071,21614
"300","292","Q1FDB1 D         Commercial bank fees on fiduciary accounts","Q1FDB10",13538,13310,12730,13107,13931,14288,13844,14113,14746,14558,14003,13570,13279,13277,13084,13257,13312,12950,13848,13057,12732,12946,13486,13161,13020,12175,13144,11943,12566,12689,13307,12926,12732,13290,13056,14095,13810,14811,14662,13249,14604,14104,13890,13124,14419,14286,13176,13831,13682,14307,13947,13763,13895,13846,13732,13541,13211,13010,12812,12619,12571,12598,12631
"301","293","Q1OFB1 D         Commercial bank other fee income","Q1OFB10",11633,11582,11484,11371,11050,11348,11876,11783,12117,12002,11878,11901,12551,13410,13662,13946,13513,12810,13163,13259,12984,13127,13369,13087,13315,13494,13171,13195,11812,11550,12006,12016,12406,13453,15083,16878,16430,17254,19382,20679,19082,17277,18504,18556,18559,18428,17708,17548,18693,20272,21801,21778,21640,22510,22417,23777,25642,25570,25006,24110,25087,26716,27794
"302","294","Q1OBB1 D         Charges and fees of other depository institutions","Q1OBB10",7229,7164,7113,7087,7241,7330,7422,7462,7346,7299,7309,7345,7435,7698,7711,7760,7330,7216,7419,7386,7375,7677,8050,8205,8349,8641,9152,9337,9474,9893,10283,10629,10857,11063,11269,11498,11808,12109,12466,12893,13493,13990,14520,15068,16003,16268,16489,16663,16626,16835,17154,17592,18302,18871,19449,20021,22291,20200,21736,21538,22177,22797,23444
"303","295","Q1IMP1 C       Services furnished without payment by financial intermediaries except life insurance carriers (63)","Q1IMP10",113061,114673,116566,118538,118245,121976,124406,125788,125750,126668,127753,128924,130004,130770,131499,132258,133815,133946,133125,132044,129777,129374,128996,130722,133153,135151,137201,138755,140770,142554,144138,145160,146827,148949,151469,154208,157559,158743,159559,159932,163180,162489,169405,173817,173845,175521,176867,178474,177067,174922,173392,172567,172069,172591,173313,174067,176258,180305,183910,186970,189345,191425,193454
"304","296","Q1IMC1 D         Commercial banks","Q1IMC10",56041,57911,59967,62141,64814,66720,68263,69420,69614,70381,71149,71908,73241,73516,73327,72682,71285,70113,68912,67783,66293,65864,65996,66654,68698,69575,70131,70307,69691,69334,68884,68396,67498,67318,67435,67810,69701,69621,68898,67627,63842,63291,63970,65901,70943,73249,75751,78456,79795,79511,78798,77699,74563,74009,73702,73481,74690,77639,80144,82085,83501,84830,86211
"305","297","Q1IMN1 D         Other financial institutions","Q1IMN10",58610,58319,58081,57866,54819,56693,57603,57831,57574,57722,58048,58480,58244,58770,59692,61021,63788,64988,65322,65338,64482,64474,63990,65039,65568,66683,68115,69416,71874,73914,75838,77268,79744,81985,84332,86672,88152,89390,90875,92429,99404,99243,105418,107823,102915,102249,100976,99717,96865,94974,94180,94522,97410,98564,99653,100677,101629,102613,103625,104690,105620,106345,106964
"306","298","Q1LIF1 C       Expense of handling life insurance and pension plans (64)","Q1LIF10",85101,85439,86449,87761,95759,97978,96444,94090,91666,91675,90885,91484,96953,100560,101401,102327,99750,96699,92276,91671,95757,98102,97020,97084,95305,93417,92034,91963,97416,97279,96574,97918,95220,94638,91973,90667,90796,90711,91565,92400,96746,96773,95429,95363,92997,91377,89838,86294,79770,78558,79774,79982,81207,82875,83541,84790,82284,81800,81233,81408,82134,81730,81865
"307","299","Q1GAL1 C       Legal services (65)","Q1GAL10",62262,62579,62374,61757,60385,60048,59885,60335,60759,61797,61992,61841,61118,61043,60934,60740,60739,60443,60045,59546,58590,58697,58799,59144,60124,60349,60763,61179,61324,61787,62199,62561,62996,63247,63493,63704,64091,64225,64264,64226,63687,63759,63893,64078,64785,64633,64468,64282,63585,63566,63925,64598,66251,66844,66197,67650,65558,65790,66290,66615,68080,68998,69478
"308","300","Q1FUN1 C       Funeral and burial expenses (66)","Q1FUN10",15133,14935,14978,14793,14660,14888,14946,15347,15427,15311,15753,15596,15682,15661,15399,15335,15472,14566,15141,14753,15181,15005,15127,14962,14903,14873,14587,14671,14116,14450,14423,14365,15396,14545,14755,14099,14864,14410,14235,14167,14302,13775,14005,13825,13888,14394,14154,13961,13663,13514,13531,13721,13522,13987,14135,14627,14026,13958,14005,13835,13892,13892,13892
"309","301","Q1PBO1 C       Other (67)","Q1PBO10",23894,24273,24420,24399,24191,24449,24733,24937,24944,24987,25128,25222,25672,26205,26508,26674,26784,27104,27404,27866,27723,27699,27832,27885,28236,28376,28589,28699,29142,29710,30098,30674,31068,31300,31579,31873,32486,32855,32964,33095,33017,33138,33130,33275,33500,33481,33323,33362,33592,34004,34906,34975,35019,35379,35617,36290,36845,36838,37572,37932,38257,38399,38586
"310","302","Q1UNS1 D         Labor union expenses","Q1UNS10",8754,8913,8969,9065,9049,9281,9459,9560,9651,9639,9610,9590,9660,9835,9784,9714,9710,9820,9931,10139,10092,10057,10108,10085,10166,10220,10293,10184,10311,10482,10453,10613,10594,10592,10641,10669,10758,10817,10780,10809,10959,11022,10945,10933,10865,10847,10687,10754,10997,11208,11923,11768,11625,11753,11704,12074,12110,11818,12077,11998,12032,11919,11887
