"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"54","46","Q1LWN1 D         Outdoor equipment and supplies","Q1LWN10",793,811,866,840,862,895,921,960,1074,1059,1092,1132,1112,1140,1169,1177,1231,1262,1254,1252,1292,1291,1347,1350,1367,1422,1447,1486,1493,1488,1586,1617,1636,1637,1617,1666,1734,1694,1696,1767,1816,1779,1822,1870,1870,1889,1804,1824,1849,1899,1889,1898,1923,1984,2065,2078,2143,2155,2201,2225,2223,2328,2338,2411,2473,2511,2502,2498,2553,2546,2634,2671,2707
"55","47","Q1TOD1 B   Other","Q1TOD10",94617,92237,91991,92075,90623,89969,88046,86366,88300,88687,91534,92380,94391,95789,98316,99411,100448,103095,104888,108548,108266,110148,112884,113452,114972,119210,120693,123637,124816,125084,128298,130927,132676,136187,138870,142497,146562,148950,152910,158371,162942,163858,164702,164101,163250,162601,161170,165645,170323,172062,172689,174419,174945,180581,187534,189932,192985,192880,195894,198709,202859,207268,204617,207387,214458,212389,213607,215182,216600,220188,227209,224923,222250
"56","48","Q1OPT1 C     Ophthalmic products and orthopedic appliances (46)","Q1OPT10",18108,17234,17024,16999,16468,15483,14865,14522,14754,15012,15609,15693,15476,15001,15110,15714,16100,16387,16497,16406,16430,16401,16146,16423,16818,17778,18293,18829,19202,19207,20106,20305,20138,20404,21038,21476,21241,20764,21272,22475,22866,22931,21359,21309,21085,19991,19328,20052,19773,21004,21673,21883,21056,21318,21779,21743,21952,21858,21870,22129,22069,22085,22517,22538,23255,23453,23258,23151,24196,24952,26211,26032,25714
"57","49","Q1WHG1 C     Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","Q1WHG10",31365,30209,29609,30495,29990,29129,29250,29118,29161,28761,29935,30273,32031,32303,32451,33056,32816,34660,35135,37271,36772,37133,38867,38813,38771,40057,40714,41905,42190,42385,43700,44003,44741,46815,47597,48509,49917,51431,52794,53929,58452,56346,57418,58031,58189,59935,59125,61603,63607,63006,62990,62832,63747,66816,70416,72117,73116,74340,75665,76678,79516,82738,80076,79807,83318,82321,83505,85438,86148,88028,91555,91562,90943
"58","50","Q1WHE1 D       Sports and photo equipment, bicycles and motorcycles","Q1WHE10",21919,21388,21314,21268,21077,21155,21905,21352,21997,21911,22735,23120,23995,24524,24753,25268,25523,26185,26547,28227,27232,27649,28434,28364,28470,29721,30019,30008,30068,30478,31224,31838,32300,33520,34483,35349,36109,37077,37892,40519,42028,41376,42382,42835,43358,45245,44641,46096,47421,47222,47466,47903,48893,50398,52945,54231,54811,56451,57752,58475,60412,62029,60672,62415,65211,65911,66212,66589,67296,68555,71602,72236,72482
"59","51","Q1GUN1 D         Guns","Q1GUN10",1496,1427,1403,1393,1351,1351,1358,1306,1337,1319,1352,1364,1396,1412,1417,1436,1440,1447,1461,1513,1451,1474,1502,1475,1465,1507,1502,1482,1452,1461,1480,1501,1519,1597,1633,1676,1727,1775,1835,1937,2018,1996,2041,2039,2059,2127,2121,2199,2223,2265,2269,2283,2305,2362,2431,2454,2493,2555,2629,2680,2742,2803,2784,2880,3017,3040,3088,3116,3121,3200,3355,3373,3351
"60","52","Q1SPT1 D         Sporting equipment","Q1SPT10",11743,11454,11515,11690,11576,11836,12178,11989,12606,12708,13268,13604,13929,14254,14466,14831,15050,15302,15639,16402,15935,16398,16921,16850,16939,17676,17881,17922,17926,18268,18656,18997,19082,20026,20438,20943,21632,22237,22985,24269,25287,25003,25571,25548,25800,26647,26572,27553,27854,28375,28424,28603,28883,29600,30453,30741,31236,32012,32948,33581,34354,35118,34882,36082,37797,38090,38695,39042,39098,40099,42041,42256,41990
"61","53","Q1CAM1 D         Photographic equipment","Q1CAM10",2773,2688,2613,2561,2507,2440,2364,2267,2204,2146,2164,2201,2230,2270,2332,2369,2397,2468,2520,2591,2598,2623,2632,2671,2704,2765,2819,2843,2912,2904,2988,2950,3049,3131,3202,3401,3408,3448,3506,3757,3581,3689,3836,4127,3954,3939,3998,4170,4391,4411,4480,4550,4679,4891,5087,5208,5414,5736,5854,6146,6468,6790,6880,7166,7598,7998,8392,9130,9932,10423,10701,11284,12016
"62","54","Q1BCY1 D         Bicycles","Q1BCY10",3097,2968,2883,2844,2780,2768,2793,2697,2719,2610,2639,2675,2761,2804,2841,2919,2936,2996,3040,3114,2980,3018,3101,3071,3046,3146,3153,3183,3150,3179,3235,3302,3341,3454,3463,3466,3497,3551,3579,3741,3826,3749,3813,3768,3750,3855,3822,3934,3972,3976,4037,4037,4059,4142,4339,4452,4428,4422,4607,4667,4738,4824,4712,4769,4999,5035,4923,4902,4988,5219,5366,5267,5273
"63","55","Q1MCY1 D         Motorcycles","Q1MCY10",2762,2851,2913,2712,2849,2670,3289,3138,3118,3088,3285,3199,3725,3835,3700,3698,3670,4004,3876,4712,4313,4122,4265,4287,4304,4632,4667,4573,4624,4655,4863,5101,5345,5317,5775,5883,5846,6069,5973,6814,7319,6938,7118,7352,7790,8657,8125,8244,8970,8223,8284,8457,8983,9422,10599,11311,11209,11720,11719,11496,12211,12634,11703,11873,12222,12298,11883,11526,11614,11286,11803,11999,12155
"64","56","Q1BTA1 D       Pleasure boats and aircraft","Q1BTA10",9559,8898,8332,9343,9009,7984,7269,7755,7067,6728,7082,7018,7950,7654,7557,7636,7084,8358,8467,8907,9481,9407,10410,10430,10266,10265,10644,11947,12192,11944,12539,12180,12464,13351,13128,13154,13817,14368,14921,13383,16427,14968,15036,15198,14840,14715,14508,15518,16186,15796,15548,14981,14925,16446,17492,17906,18316,17943,17984,18267,19146,20685,19439,17637,18386,16869,17678,19063,19094,19688,20222,19703,18969
"65","57","Q1BOA1 D         Pleasure boats","Q1BOA10",8599,7989,7466,8355,8041,7109,6457,6873,6242,5934,6242,6187,7053,6808,6737,6823,6342,7498,7613,8026,8562,8514,9442,9480,9348,9367,9733,10948,11205,10995,11556,11230,11481,12295,12087,12109,12723,13230,13739,12323,15126,13783,13845,13994,13665,13550,13359,14289,14905,14545,14317,13794,13743,15144,16107,16488,16865,16522,16560,16821,17630,19047,17900,16241,16930,15534,16278,17554,17582,18129,18621,18143,17467
"66","58","Q1AIR1 D         Pleasure aircraft","Q1AIR10",960,910,866,989,967,875,812,882,825,794,840,831,897,847,820,814,742,860,854,881,919,894,969,950,918,898,912,999,988,949,983,950,983,1056,1042,1046,1094,1138,1182,1060,1301,1185,1191,1204,1175,1165,1149,1229,1282,1251,1231,1186,1182,1303,1385,1418,1451,1421,1424,1447,1516,1638,1540,1397,1456,1336,1400,1510,1512,1559,1601,1560,1502
"67","59","Q1JRY1 C     Jewelry and watches (18)","Q1JRY10",26828,26261,26726,26044,25725,26757,25401,24477,25847,26260,26734,27175,27216,28213,29945,29445,29992,30016,30458,31521,31188,32447,32873,33790,34802,35765,36220,36419,36481,36727,37702,38937,39942,41293,42121,43552,45166,45737,47075,49296,49030,50424,51969,50849,49810,48829,48509,49560,51499,52695,52590,53914,54219,55264,56877,58659,59419,58394,59288,61019,61840,63254,61588,64070,66244,64563,65049,64797,64030,64742,65698,64069,62242
"68","60","Q1BKS1 C     Books and maps (87)","Q1BKS10",19099,19291,19271,19284,19127,18905,18971,18774,18873,18976,19683,19595,20036,20457,20770,21392,21754,22353,23154,23584,24215,24345,25169,24459,24573,25696,25562,26673,27172,26964,26993,27863,27977,27754,28211,29051,30288,31034,31779,32675,32605,34157,33954,33902,34164,33884,34254,34491,35552,35430,35479,35839,36032,37305,38619,37728,38795,38599,39410,39300,39944,39869,40851,41455,42199,42462,42298,42394,42693,42933,44217,43798,43925
"69","61","Q1TND1 A Nondurable goods","Q1TND10",1483214,1486388,1491003,1475250,1474043,1485648,1486524,1475912,1500622,1498733,1508606,1532576,1530492,1544434,1559623,1566827,1582016,1596990,1610581,1626023,1627989,1636187,1642243,1648046,1657509,1677040,1686542,1700679,1710843,1711408,1736157,1742953,1765424,1787155,1799734,1825457,1849213,1867867,1873670,1915730,1917190,1944003,1954966,1972705,1975217,1974652,1986511,2010345,2026760,2033400,2034977,2053125,2072519,2084164,2122991,2132455,2156717,2164876,2181388,2207539,2226836,2247165,2260912,2286772,2312300,2325638,2343864,2368788,2386566,2383762,2396828,2404150,2396322
"70","62","Q1TFD1 B   Food","Q1TFD10",777563,787444,789877,782605,779691,786528,786426,780653,789489,780635,783096,798472,795225,799647,806169,807594,810814,821869,825237,829456,826634,826468,827291,827976,830714,835312,834156,838652,844684,841881,848755,845665,852872,862697,869571,877065,878425,889018,894476,912387,916134,925580,927754,931178,937136,938255,940577,945000,950153,954501,954390,959506,969350,970303,985281,985762,1000796,1003396,1008864,1024702,1032899,1043058,1056325,1067574,1080703,1084394,1091379,1110733,1115313,1111353,1114971,1126378,1124842
"71","63","Q1OPF1 C     Food and alcoholic beverages purchased for off-premise consumption (3)","Q1OPF10",481073,488151,488049,485414,484218,486315,487125,481957,483782,482541,482971,486451,486270,486729,489947,492673,497281,503452,504495,508354,508008,506093,506274,508195,511000,514134,513029,514786,518418,516044,519478,519359,521059,526380,531849,534478,537323,545540,551145,561153,557792,566440,568894,573654,573444,580052,578953,582132,582919,585691,586274,591420,598232,593828,602941,599903,611832,614314,617998,629462,636682,641108,653235,659474,664178,670644,673625,683610,689617,686681,688676,698112,698355
"72","64","Q1FOP1 G       Food purchased for off-premise consumption","Q1FOP10",420739,426804,425530,422250,425050,428627,430025,427299,430039,429019,429346,432443,431724,432016,434672,436853,440450,445500,445599,448953,448681,446461,446045,447397,448993,451530,450301,452110,454454,451956,454463,453790,455018,460256,465132,467505,470702,477619,482911,491573,487960,495765,497068,501275,501171,507043,507097,510749,510749,512974,514267,519232,524480,521011,528211,524832,534638,535475,538686,548022,554711,557392,566475,571643,575409,579408,581886,592837,597128,592747,594358,601716,600720
"73","65","Q1GRA1 D         Cereals","Q1GRA10",23416,23612,23815,23720,23838,24273,24466,24122,24309,24280,24240,24283,24206,24211,24318,24462,24287,24429,24520,24839,25091,25023,24994,25090,25141,25655,26251,26747,27017,26791,26635,26324,25665,25661,25746,26082,27039,27571,27962,28422,27529,27487,27419,27357,27778,28013,27788,27809,27698,27641,27572,27507,27240,26824,26990,26925,27214,27492,27208,27123,26655,26748,27019,27429,28104,28202,28349,28612,28834,28545,28686,29024,28596
"74","66","Q1BAK1 D         Bakery products","Q1BAK10",42120,42312,42467,42110,42027,42566,42129,41427,41266,40809,40838,41203,41148,41243,41315,41673,41914,42154,42332,42772,42914,42822,42620,42773,42655,42873,42858,43152,43433,43299,43585,43456,43403,43668,43815,43958,43903,44237,44643,45192,45061,45769,45598,45442,44800,45078,44919,45106,45257,45168,44903,44901,44618,43855,44080,44108,44894,44772,44982,45767,45806,45954,46736,47297,47361,47655,47459,48247,48412,48051,48249,48740,48002
"75","67","Q1BEE1 D         Beef and veal","Q1BEE10",30936,30668,30254,29210,29191,29279,28890,28410,28461,27939,27742,27304,26689,26208,25912,26009,26122,26234,26359,26416,25985,25905,25781,25527,25521,25838,25211,24664,24129,23767,23762,23801,24654,25167,25483,25452,24926,24813,24919,25041,25256,25563,25840,26420,25648,25592,25417,25399,24514,24096,24225,24512,24919,24677,24862,22718,23357,23435,23072,23171,22308,21676,22255,22432,22460,22968,23385,23563,23655,23019,23397,23858,24042
"76","68","Q1POR1 D         Pork","Q1POR10",20308,19582,18954,18375,18552,18999,19132,19336,19857,19921,19959,20059,19892,19682,19612,19708,19649,19929,20407,20888,20772,20860,20577,20106,19950,19645,18941,18759,18769,18517,18624,18730,18933,19490,19959,20544,21200,21524,21950,22218,21635,21678,21922,22458,23040,23276,23108,23039,22252,22250,22481,22743,23022,22899,23081,22749,23271,23158,22536,22396,21611,21282,21725,21904,22371,22595,22862,23262,23592,23224,23763,24314,24821
"77","69","Q1MEA1 D         Other meats","Q1MEA10",12908,12993,12998,12907,13148,13560,13736,13721,14103,14312,14523,14505,14565,14563,14623,14625,14681,14901,15158,15251,15399,15280,15322,15149,15260,15492,15437,15449,15492,15347,15454,15579,15679,16061,16288,16382,16487,16769,17035,17152,17227,17390,17271,17301,17548,17701,17680,17412,17431,17313,17087,17120,17728,17365,17329,16930,17120,17356,17467,17671,18043,18515,18729,18825,19047,19055,19197,19156,19530,19616,20092,20080,20282
"78","70","Q1POU1 D         Poultry","Q1POU10",20630,21159,21588,22507,22912,23846,24201,24829,25895,26161,25928,26257,26190,26346,26551,26614,27052,27285,27647,28574,28815,28934,28764,28736,28819,29235,28779,28788,29240,29583,29768,29904,30294,30312,30047,29709,29426,29672,29896,30590,30816,31703,32325,33207,33430,33675,33475,33215,32385,32244,31804,31931,32615,32451,32769,32214,32905,32520,31671,31959,31470,31086,30722,31304,32648,33210,33303,34029,34422,33263,32958,33873,34021
"79","71","Q1FIS1 D         Fish and seafood","Q1FIS10",9740,9903,9829,9581,9629,9681,9518,9144,9030,8875,8827,8879,8645,8662,8705,8642,8612,8566,8472,8452,8347,8178,8098,8131,8260,8291,8324,8238,7956,7949,8136,8346,8927,9348,9621,9899,9976,10088,10192,10292,10234,10347,10425,10596,10610,10856,11131,11472,11978,12039,12249,12547,12758,12648,12760,12633,12738,12697,12550,12540,12410,12353,12421,12353,12365,12356,12345,12622,12739,12521,12731,12892,12964
"80","72","Q1GGS1 D         Eggs","Q1GGS10",2803,2970,3164,2975,2959,3185,3205,3250,3544,3551,3587,3559,3596,3425,3731,3956,4008,4162,4316,4536,4641,4625,4371,4196,4053,4150,4238,4247,4470,4571,4694,4765,5019,5100,5188,5192,5182,5337,5374,5890,5706,5755,5741,5616,5549,5675,5858,6011,5707,5577,5508,5698,5917,5757,5571,5203,5206,5659,6204,6543,6104,5779,5341,5343,5599,5675,5794,5603,5123,4976,4488,4263,4079
"81","73","Q1MIL1 D         Fresh milk and cream","Q1MIL10",18139,18356,18116,17967,18735,18752,18507,17924,17421,17319,16916,16845,16718,16713,16243,16308,15932,15919,16026,15972,15809,15630,15495,15250,14779,14612,13978,13411,13491,13496,13743,13207,13269,13459,13465,12993,12071,13165,13256,12599,13500,13900,14029,14233,14264,14324,14099,14071,13899,13810,13809,13936,14027,14036,14134,13738,14563,13545,13758,14680,14644,14904,15178,15191,15407,15947,16257,16308,16303,15717,14394,14521,14853
"82","74","Q1DAI1 D         Processed dairy products","Q1DAI10",26037,26480,26610,26703,27345,27887,27979,27723,28143,28131,28354,28563,28390,28525,28805,29225,29202,29309,29688,29910,29796,29669,29691,29665,29571,29459,28501,28068,28502,28348,28995,28755,28639,29028,29271,29177,29822,30618,30931,30898,29643,29759,29615,29829,29984,30062,29620,29967,30305,30621,30957,31490,31314,31531,32010,32230,33331,33186,33492,35011,35679,36290,37028,37622,37918,38399,38788,39819,40126,39962,38788,38658,38507
"83","75","Q1FRU1 D         Fresh fruits","Q1FRU10",14219,14431,14413,14675,13564,13143,13556,13876,14485,14478,14758,15163,15287,15632,15250,14808,15141,15432,15316,15826,15261,14843,14355,14769,14910,14399,14466,14347,14725,14656,14969,15218,15389,15702,15596,15623,14802,14493,14952,15652,15853,17337,17183,16782,16514,16199,16568,17027,18050,18665,18707,18587,17874,17428,17255,17675,18309,18381,19055,18257,18517,18721,18430,18389,18156,18556,18157,18742,18390,18572,19116,19057,18909
"84","76","Q1VEG1 D         Fresh vegetables","Q1VEG10",18093,21865,20923,20515,21204,18589,20111,20436,19806,19819,19021,18863,19689,18748,20053,20045,21426,22088,20918,19992,20161,19101,20588,21450,21847,21601,22475,23460,23259,23638,22958,22694,22454,22429,23472,23462,23933,24544,24048,24560,25485,25374,25075,24652,24347,25047,25148,25866,25096,26018,26483,27117,26436,25669,25660,25242,26174,26876,27088,24237,26517,24677,25586,25281,25426,25966,25572,25832,26146,26159,27395,27456,27444
"85","77","Q1PFV1 D         Processed fruits and vegetables","Q1PFV10",18725,18401,18315,18133,18419,18587,18381,17900,17566,17360,17361,17529,17622,17796,17793,17663,17515,17667,17770,18015,17886,17778,17702,17797,17722,17590,17327,17392,17368,17257,17411,17366,17112,17311,17610,18042,18758,19175,19452,19696,19143,19265,19185,19124,19093,19261,19142,19042,18945,18868,18730,18772,19237,18866,18930,18647,18235,17907,17882,18496,19268,19740,20256,20445,20359,20328,20377,20560,20829,20752,20717,20992,20858
"86","78","Q1JNB1 D         Juices and nonalcoholic drinks","Q1JNB10",44575,45468,45373,45355,45929,46787,47235,46687,46559,46481,46617,47472,46217,46355,46416,45987,46693,47081,47166,47082,46159,45443,45001,44930,45363,45368,45475,45982,46110,45781,45954,45651,45819,46414,47059,47142,47472,47700,48232,49055,48010,48886,48988,49846,49974,51045,51016,51349,51018,51323,51611,52001,54286,54378,56531,56911,57727,58224,58907,61302,63012,64088,65685,66290,66217,66392,66708,67481,67787,67602,67669,68935,68803
"87","79","Q1CTM1 D         Coffee, tea and beverage materials","Q1CTM10",9518,9424,9106,9029,8986,8986,8965,8781,8453,8321,8495,8946,9553,9541,9830,10242,10451,10692,7906,7528,7912,8374,8654,9187,9712,10209,10716,11253,11440,10206,9653,10060,10168,10308,10590,10779,10996,11165,11307,11515,11307,11563,11744,11972,12136,12424,12521,12655,12610,12710,12703,12840,13162,13387,13861,13955,14152,14344,14506,14981,15164,15246,15563,15763,15814,15862,16047,16303,16397,16256,16325,16709,16706
"88","80","Q1FAT1 D         Fats and oils","Q1FAT10",9227,9315,9297,9149,9143,9364,9461,9488,9751,9787,9836,9869,9713,9730,9672,9709,9634,9551,9466,9428,9316,9200,9082,9020,8980,8966,8902,8885,8796,8662,8719,8708,8738,8855,8578,8467,8995,9334,9450,9680,9435,9575,9503,9563,9618,9759,9640,9760,9676,9748,9788,9855,9905,9875,10025,9884,9834,9483,9386,9551,9605,9708,9782,9957,10051,10255,10331,10440,10578,10574,10530,10623,10442
"89","81","Q1SWE1 D         Sugar and sweets","Q1SWE10",27841,28072,28307,28015,28262,28539,28375,27940,28025,27911,28052,28413,28387,28640,28759,28939,29060,29451,29801,30016,30157,30011,29730,29791,29651,29808,29687,29898,29924,29508,29639,29656,29770,30066,30254,30251,30182,30202,30436,30969,31270,32279,32438,32626,32139,32482,32418,32617,32926,32890,32815,33108,33317,33066,33768,33850,34972,35631,35562,35685,35110,34558,34531,34475,34985,34968,35148,35641,36130,36079,36181,36690,36786
"90","82","Q1OFD1 D         Other foods","Q1OFD10",58857,59526,59940,59302,59434,60488,60191,59887,60493,60455,60847,60974,61613,62370,62937,63843,64602,65637,66452,67405,67833,68057,68490,69431,69911,70678,71387,71873,72647,72456,72990,72698,72247,73046,73791,74665,76058,77526,78815,80546,79414,80969,81514,82848,83238,84813,85618,86821,88578,89426,90281,91537,93233,93281,95296,96263,97615,97949,100132,105666,109777,113109,116323,118052,117763,117686,118508,123042,124501,123813,124956,127746,127817
"91","83","Q1PEF1 D         Pet food","Q1PEF10",12843,12652,12363,12343,12185,12236,12086,12445,12675,12882,13145,13508,13774,13791,14381,14708,14784,15368,15911,16172,16630,16975,17005,16718,17136,17822,17490,17697,17802,18237,18898,18889,18866,18896,19357,19752,19550,19755,20081,21613,21445,21163,21242,21409,21484,21798,21999,22196,22654,22762,22738,23210,23149,23407,23859,23987,23966,23761,24283,24741,25034,25530,25773,26028,26071,25836,25889,26409,26608,27111,27060,26715,26261
"92","84","Q1AOP1 C       Alcoholic beverages purchased for off-premise consumption (9)","Q1AOP10",60292,61302,62518,63183,59082,57627,57049,54686,53853,53644,53746,54135,54637,54796,55354,55883,56878,57987,58906,59407,59337,59634,60234,60799,62004,62607,62726,62675,63960,64090,65018,65579,66058,66132,66726,66983,66615,67922,68234,69577,69834,70677,71824,72381,72278,73013,71848,71370,72163,72709,72000,72182,73745,72808,74722,75072,77199,78854,79320,81457,81985,83743,86813,87894,88837,91332,91839,90821,92567,94059,94446,96558,97847
"93","85","Q1MLT1 D         Beer and ale, at home","Q1MLT10",36395,36792,37400,37588,34538,33781,33288,31875,30858,30442,30399,30467,31263,31623,32127,32515,33181,33773,34352,34845,34961,35302,35689,36063,36673,37227,37353,37757,38700,38751,39468,39850,39952,40082,40323,40403,40205,41020,41322,42227,42304,42752,43352,43802,43570,44207,43305,42712,43252,43698,43331,43480,44930,43888,45000,45012,46966,48062,48285,50084,50458,51622,54270,54762,55278,57262,57307,55898,56986,57988,57858,59953,61023
"94","86","Q1WIN1 D         Wine and brandy, at home","Q1WIN10",10938,11261,11580,11629,11007,10767,10674,10306,10337,10396,10388,10481,10622,10688,10839,11047,11247,11621,11913,12069,12153,12237,12394,12512,12789,12917,12971,12873,13102,13087,13217,13335,13411,13356,13513,13625,13581,13866,13936,14271,14434,14643,14930,15043,15139,15364,15247,15230,15393,15606,15463,15475,15512,15604,16037,16310,16359,16621,16806,16961,17101,17360,17498,17835,18015,18225,18447,18716,19003,19265,19488,19387,19566
