"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"63","55","          Pleasure boats","DBOARX0",10278,10836,11480,9933,12358,11171,11248,11547,10973,10787,11062,12252,12294,11859,11347,10872,10760,12349,13583,14410,14526,14476,14017,13782,14866,16230,15547,14744,16633,15350,16549,16855,16287,16387,16780,16544,16017,15874,14914,13226,12128,11268,11754,11918,10478,10884,10779,10955,10923,10838,10859,10727,12090,11651,11576,12035,12156,13645,14495,14311,14600,15731,16801
"64","56","          Pleasure aircraft","DAIRRX0",1137,1104,1058,1165,1219,1123,1150,1239,1126,1145,1015,972,944,990,1116,1021,1007,1128,1253,1315,1379,1280,1423,1524,1618,1693,1625,1566,1771,1708,1683,1986,1867,2079,2122,2173,1980,1982,1935,1477,1485,1306,1455,1475,1435,1446,1426,1456,1386,1374,1460,1564,1604,1679,1730,1683,2046,2230,2139,1988,2372,2108,2036
"65","57","          Other recreational vehicles","DREVRX0",12109,12650,12380,13540,14377,12914,12529,12059,11846,12146,12140,12254,12610,12770,13221,13188,13806,14471,15492,15977,16167,15740,16957,18113,17636,17643,18062,17217,17911,17551,16043,17415,17666,18042,18220,16918,16382,14991,13839,10792,10348,9951,10688,10335,9981,10610,10491,10829,10361,10394,10374,10827,11610,11410,11551,11017,11213,11492,11909,11401,12126,12479,12662
"66","58","      Recreational books (part of 90)","DRBKRX0",23158,23658,24322,25000,25138,26089,26095,26281,26047,25812,25864,26063,26247,26352,26354,26561,26771,27376,27682,27044,27635,27489,27703,27277,27590,27475,27836,28084,28563,28596,27711,27610,27439,27320,28196,28230,27667,27975,27728,26327,26216,26408,26750,26322,27274,27194,27399,27733,27934,27939,28650,27643,27855,28542,28562,29037,29425,29440,29424,29863,29361,30149,30799
"67","59","      Musical instruments (part of 80)","DMSCRX0",3647,3688,3899,4156,4401,4690,4813,4735,4651,4843,4769,4915,4995,5081,5073,5009,4936,4747,4962,5235,5258,5293,5407,5221,5276,5256,5283,5362,5917,5390,5299,5408,5432,5570,5430,5626,5448,5300,5259,4746,4599,4552,4563,4574,4528,4562,4535,4658,4723,4789,4747,4824,5082,5029,4814,4896,4820,4792,4895,4912,4947,5014,5033
"68","60","    Other durable goods","DODGRX0",102032,103403,106508,111979,112550,116150,116813,116075,114495,111745,110988,114444,117372,119371,120239,122541,122724,128563,134538,138700,142074,141313,142603,145103,149543,152350,152976,158434,163838,163156,163951,166763,167661,172113,174619,174392,170591,169746,167615,158034,156921,157765,158909,159102,162206,162489,165418,169391,171255,173761,176247,174505,178435,181416,185398,188898,192398,193956,193705,197669,198069,201498,200845
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",47669,48131,49583,52158,51771,53520,55111,53993,52522,51765,51292,52053,54244,54797,54803,56417,57213,58977,61118,63884,64876,63954,65253,67273,68739,70623,68836,71960,74942,73095,72852,73046,71913,73596,73898,73348,70400,68531,66868,60269,59060,60143,60896,60929,62051,60456,60707,61644,61817,63314,63488,61482,62397,63938,65653,66186,68485,68451,67452,69987,71012,73121,72071
"70","62","        Jewelry","DJLYRX0",43152,43389,44561,46895,46664,48277,49710,48691,47159,46604,46182,46735,48509,48943,49064,50275,51131,52821,54525,57125,58128,57089,58433,60287,61585,63528,61822,64528,67229,65504,65271,65279,64239,65567,65765,65075,62229,60485,58958,53392,52353,53193,53687,53607,54821,53199,53433,54017,54059,55088,55312,53414,54178,55724,57353,57706,59837,59807,58779,61089,62148,64133,63266
"71","63","        Watches","DWTCRX0",4621,4825,5093,5339,5197,5341,5502,5398,5431,5243,5191,5384,5781,5894,5792,6171,6126,6217,6630,6813,6818,6906,6886,7060,7227,7211,7111,7518,7807,7672,7660,7822,7725,8060,8159,8283,8172,8045,7909,6880,6710,6949,7207,7322,7227,7259,7275,7643,7783,8283,8224,8134,8291,8260,8332,8525,8684,8679,8722,8940,8896,9015,8829
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",33242,33206,33952,35566,35974,36648,35611,35977,35415,34596,34298,35667,35539,37218,38156,38440,37341,39410,41437,41383,42989,42583,42485,43006,44474,44855,46157,47469,48007,48090,48516,49651,50616,52661,53886,53454,52841,53250,53488,52565,52634,52583,52360,53107,53857,55316,56947,57744,57939,58533,59608,59430,60996,60656,61311,61312,61600,62012,62244,63238,62754,63966,64847
"73","65","        Therapeutic medical equipment","DTMERX0",10995,11317,11478,12266,12344,12739,13181,13537,13521,13699,13709,14102,14160,14608,14774,14883,15281,15848,16644,17220,17549,18179,18670,19061,19568,19792,20344,21216,21837,22177,22757,23535,24200,24985,25368,25193,25212,25702,25561,24825,24590,24535,24467,24845,25475,26320,26994,27066,27280,27538,28305,28094,28802,28858,29206,29186,29521,29764,30267,30640,30666,31312,31667
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",22585,22180,22784,23593,23931,24195,22620,22611,22046,21007,20690,21681,21488,22738,23527,23705,22150,23675,24913,24240,25539,24460,23844,23967,24938,25094,25846,26279,26187,25922,25760,26114,26415,27677,28520,28263,27630,27553,27927,27740,28045,28048,27893,28261,28386,29005,29960,30675,30659,30995,31313,31341,32197,31809,32117,32138,32096,32266,32008,32626,32127,32697,33219
"75","67","      Educational books (96)","DEBKRX0",15715,15778,15235,16359,15431,16251,15535,15067,15084,14964,14949,15127,15242,14704,14474,14495,14120,14349,14320,13845,13880,13649,13516,13202,13155,12881,12861,12646,12549,12301,11682,11412,11022,10735,10799,10658,10373,10419,10149,9556,9406,9229,9214,8920,9048,8935,8988,8980,8866,8597,8628,8200,8133,8181,7957,7879,7961,7894,7809,7752,7695,7796,7719
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",10380,10760,11511,11973,12593,13117,13321,13334,13516,12356,11985,12733,13387,13407,13457,13571,13802,14724,15682,16869,17337,17475,17428,17727,18882,19446,19831,20456,21519,21771,21974,22819,23491,23778,24030,24242,24321,24576,24292,23054,22685,23339,23775,23573,23983,24657,25675,27749,29011,29318,29973,30127,30801,31558,32406,35625,36412,37076,37716,37944,37409,36618,35365
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1775,1944,2111,2243,2400,2486,2626,2744,2810,2881,3087,3320,3403,3511,3541,3738,4021,4571,5126,5550,5756,6114,6334,6351,6620,6822,7215,7735,8502,9180,9901,10576,11122,11736,12298,12883,12755,13010,12843,12606,13137,12473,12665,12572,13261,13147,13151,13376,13816,14185,14869,15897,16896,17924,19066,19084,19006,19821,19974,20110,20540,21297,22398
"78","70","  Nondurable goods","DNDGRX0",1780218,1796766,1805080,1841834,1825701,1862049,1874305,1892339,1881040,1889822,1898574,1914659,1921736,1922707,1927430,1952556,1965967,1980296,2016969,2030935,2046289,2052617,2068522,2087172,2114017,2123202,2127909,2164197,2182086,2189304,2200274,2237006,2241568,2237132,2240189,2238413,2226156,2241750,2212166,2178566,2180158,2164376,2172498,2183471,2201628,2212076,2225986,2254452,2265077,2265580,2259731,2262357,2273414,2277975,2284149,2285000,2311682,2310485,2326396,2341837,2341931,2354621,2369412
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",657368,664160,670148,680818,674406,684742,686015,693031,690910,695842,693794,695352,692995,694443,697314,703373,708922,707928,718735,717442,724510,725121,730823,738611,749982,752813,759337,768319,771637,779102,780806,791738,793152,789122,789788,793064,789279,792690,782239,763257,761448,767189,771896,779300,786130,780569,783831,795354,797522,797115,793899,792043,797582,800940,803304,804744,810155,804575,808876,814034,811946,809159,809027
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",572297,577543,582662,590969,583729,592387,591853,597386,594949,598690,597258,598771,595571,595953,599085,604692,610619,610898,620363,618813,625389,625318,630696,638145,649136,651285,656841,663922,665593,672329,673432,683025,684091,679867,681029,684648,681599,683967,673024,656283,655308,661334,665894,671168,674650,668416,671477,681453,682608,681739,677055,674796,678428,680241,683202,683559,688699,684208,687738,692682,690838,686891,686449
"81","73","        Food purchased for off-premises consumption","DFOFRX0",503259,508567,513216,520578,515245,522782,522320,526837,524695,527602,526464,527855,524525,524904,527865,533422,537880,537750,544287,542127,548329,547542,552547,558194,568197,570455,575255,581135,582036,588092,588361,597727,599033,595193,596286,599284,597100,598581,588151,574752,574758,581094,585733,590365,592877,586809,589741,598104,599374,598609,594271,592078,594863,596276,599245,600520,605363,602031,604839,609341,607064,602144,601346
"82","74","          Cereals and bakery products","DCBPRX0",101097,102099,103794,105985,105835,108061,108895,109879,110432,111798,112147,113502,113458,113591,114027,115033,115395,115022,116026,115854,116578,116600,116894,117922,118977,120654,121887,123439,123761,124916,124364,125337,125496,124522,124877,125839,124408,123021,120516,117561,117075,117729,117966,118959,119964,119216,120038,122413,123009,123023,122080,120243,120723,121168,122210,122157,123014,121503,121984,124133,123809,124285,124578
"83","75","            Cereals","DGRARX0",33437,33395,33594,34055,33715,33944,34051,34083,34201,34202,33745,33553,33140,32933,32973,33046,33520,34052,34949,35323,35614,36150,36274,36785,37348,38263,39020,39778,40537,40922,41360,41974,42200,42027,42337,42634,41967,41501,40558,39530,39633,39999,39758,40107,40607,40342,40481,41105,40722,40762,40518,39798,39953,40216,40868,41162,41627,41436,41859,42006,42068,42360,42634
"84","76","            Bakery products","DBAKRX0",67440,68527,70062,71818,72039,74085,74827,75806,76249,77646,78494,80089,80487,80843,81245,82193,82056,81108,81180,80611,81042,80504,80674,81184,81667,82416,82883,83671,83226,83996,83003,83361,83296,82495,82540,83205,82441,81520,79958,78031,77441,77730,78208,78852,79358,78875,79555,81305,82276,82250,81554,80435,80759,80942,81336,80996,81393,80083,80151,82132,81751,81940,81965
"85","77","          Meats and poultry","DMAPRX0",120439,121121,121898,122565,119953,120191,119263,120786,118924,118433,117521,117004,116562,116457,117174,118616,119539,118734,120250,117317,119061,119796,119821,121843,122658,124464,126115,126102,126124,126728,127569,129692,129807,127352,128589,130169,130293,132670,130480,127531,127490,129461,131432,133262,133744,130049,129624,131988,131748,129847,129146,128325,127970,129352,130547,130881,131340,130621,130588,130795,129983,126376,124444
"86","78","            Beef and veal","DBEERX0",38339,38430,38416,38238,37419,37187,36975,37477,35701,35192,35453,35794,35738,35511,35937,36098,35475,34778,34869,31978,32623,32895,32824,33451,33352,33297,34210,34035,33371,33598,33868,34197,33996,32965,33329,33764,33887,34433,33428,32890,33347,33903,34605,34833,35212,33287,33397,34136,33326,32415,32248,32049,31670,31611,31728,31870,32091,32012,32062,32137,31275,29689,28773
"87","79","            Pork","DPORRX0",22708,22599,22656,22582,21662,21341,21155,21355,21181,21054,20688,20505,20286,20399,20808,21253,21279,21269,21593,21573,22027,22174,22000,22340,22466,22973,23564,23533,23543,23599,23689,24205,24375,24153,24588,24959,25306,25564,25175,24604,24814,25485,26075,26823,26104,25162,24653,24939,24940,24488,24355,24160,24533,25168,25700,25983,26136,25998,25773,25681,25517,24021,23751
"88","80","            Other meats","DMEARX0",20867,21027,21349,21566,21399,21519,21304,21384,21627,21720,21648,21226,21141,20956,20894,21272,22014,21875,22292,22479,22873,23513,23964,24342,24691,25171,25297,25581,25686,25540,25836,26432,26764,26786,27431,27726,27653,28248,27826,26944,26582,27222,27256,27647,28109,27661,27512,28024,28033,27556,27292,27290,27401,27891,28442,28699,28903,28833,29082,29216,29346,28758,28296
"89","81","            Poultry","DPOURX0",39000,39531,39909,40562,39880,40545,40240,40999,40691,40718,40048,39850,39791,39951,39892,40303,40999,40994,41655,41365,41606,41279,41119,41800,42240,43109,43100,43010,43596,44074,44260,44932,44729,43486,43264,43741,43455,44442,44081,43113,42751,42851,43494,43958,44316,43959,44097,44932,45536,45527,45394,44962,44484,44816,44819,44461,44338,43902,43807,43901,44066,44287,44077
"90","82","          Fish and seafood","DFISRX0",10515,10612,10730,10826,10675,10732,10854,11002,10986,11098,11342,11458,11608,11460,11557,11746,11811,11673,11839,11914,12128,12292,12323,12363,12416,12485,12439,12185,11987,11797,11611,11773,11644,11443,11543,11560,11548,11605,11431,11179,11037,11056,11025,11233,11288,11168,11163,11270,11178,11063,10962,10952,11004,11146,11266,11354,11438,11266,11249,11113,10980,10900,10851
"91","83","          Milk, dairy products, and eggs","DMDERX0",51421,53445,53854,53883,53872,54762,54803,55432,54992,55056,54427,54644,54873,54928,55402,56300,57754,58412,58877,57939,59482,58167,59266,61927,62563,63256,63682,64184,64920,66356,67601,69069,69302,68620,65187,65052,65502,66718,65433,64801,66612,68221,68869,69088,68458,68429,68254,69157,70690,69830,68542,68091,68530,69270,69429,68780,69444,69033,69411,69631,68917,67123,67213
"92","84","            Fresh milk","DMILRX0",15103,16385,16442,15687,16243,16467,16410,16684,16370,16366,16223,16319,16621,16732,16981,17079,17643,18041,18281,17701,18571,17156,17300,18208,18146,18390,18594,18604,18809,19607,20140,20511,20697,20266,18768,19073,19620,20350,19834,19913,21041,21950,22041,21773,21284,21331,21132,21556,21726,21102,20832,20884,21020,21409,21475,20994,21142,21305,21399,21248,20778,20517,20632
"93","85","            Processed dairy products","DDAIRX0",29203,29624,29898,30163,30013,30690,30893,31411,31334,31313,30695,30725,30820,30952,31179,31648,32366,32862,33339,33396,34117,33562,33488,34309,34625,34917,35309,35704,35847,36563,36987,38182,38785,38839,37678,37387,37536,37935,36830,35808,36066,36698,36963,37465,37578,37436,37440,37652,38988,38997,38255,37803,37820,38298,38640,38374,38709,38577,38764,39175,39148,38128,37957
"94","86","            Eggs","DGGSRX0",7178,7465,7548,8219,7682,7654,7534,7333,7290,7387,7554,7663,7452,7230,7216,7573,7733,7456,7187,6789,6742,7404,8479,9484,9969,10151,9936,10053,10484,10319,10605,10479,9898,9624,8943,8753,8494,8555,8837,9098,9501,9574,9867,9852,9607,9670,9694,9954,9996,9781,9496,9434,9711,9584,9349,9452,9632,9199,9294,9275,9093,8588,8709
"95","87","          Fats and oils","DFATRX0",12802,13049,13091,13369,13195,13378,13217,13211,12871,12808,12455,12413,12321,12320,12438,12663,12913,13175,13567,13486,13515,13185,13253,13656,14075,14483,14725,15102,15283,15784,16104,16388,16638,16751,16858,16878,16555,15938,15418,14954,15190,15483,15574,15700,15771,15532,15395,15439,15156,14890,14600,14342,14126,14202,14366,14412,14717,14777,14986,15080,15180,15179,15085
"96","88","          Fresh fruits and vegetables","DFAVRX0",52964,53731,54358,56337,56782,58360,58078,57661,58430,59238,60151,61354,58663,59777,60559,61491,61391,60030,59383,59769,60810,60865,61668,57968,62962,61543,62078,62131,60917,61829,60036,61387,60393,60957,62908,61908,61948,62585,60773,61870,63928,64671,65372,66573,66226,65707,67795,67792,66189,68073,68752,70462,72857,72506,72679,72661,71838,72117,71400,72498,74035,71900,72747
"97","89","            Fruit (fresh)","DFRURX0",19112,18827,19486,20428,20269,21989,21736,21544,22196,21851,22211,22516,22383,22589,22751,22784,22931,22801,22892,23407,23787,23483,24386,23609,24781,25532,25269,25186,24857,25323,24773,25498,25210,25500,26254,25949,25854,25920,25597,26411,27402,27697,27786,28284,28285,28739,29725,29183,29147,30317,29638,30622,31000,30589,30729,30499,30637,30767,30908,31155,30624,29525,30032
"98","90","            Vegetables (fresh)","DVEGRX0",33976,35137,35019,36023,36672,36406,36387,36168,36274,37465,38020,38927,36336,37243,37867,38779,38528,37282,36537,36402,37062,37431,37311,34386,38218,36040,36832,36971,36085,36530,35284,35906,35196,35467,36665,35964,36102,36681,35177,35457,36526,36974,37587,38288,37940,36980,38085,38608,37062,37799,39113,39845,41855,41921,41952,42169,41200,41349,40497,41343,43437,42414,42743
"99","91","          Processed fruits and vegetables","DPFVRX0",23451,23390,23391,23524,23161,23351,23275,23230,22909,22858,22474,22002,21496,21173,21047,21217,21959,22074,22608,22789,23022,23282,23505,23981,24251,24336,24604,24912,24979,25395,25689,26052,26280,26391,26390,26673,26508,26186,25553,24422,24196,24019,24237,24559,24757,24609,24625,25229,25334,25539,25316,24743,24835,24825,25196,25300,25580,25433,25592,25979,25895,26009,26258
"100","92","          Sugar and sweets","DSWERX0",38488,38439,38634,39043,38473,39323,39274,39604,39520,39858,39709,39598,39244,38804,38628,38892,38272,38496,39296,39901,39360,39020,39755,40349,40696,39874,39429,40603,40432,40019,39557,39681,39841,39647,39531,39756,38978,38857,38639,36468,35081,35264,35668,35301,35508,35558,35848,35979,36102,36410,35775,36346,36552,36064,35766,36701,37742,37895,38752,38854,37815,39305,39478
"101","93","          Food products, not elsewhere classified","DOFDRX0",92703,93236,94035,95641,93939,95286,95321,96630,96245,97084,96891,96587,96935,96966,97562,98005,99357,100597,102928,103732,104842,104875,106594,108756,110026,109797,110699,113029,114251,115869,116495,118884,120259,120128,121144,122343,122071,121427,120444,116163,114147,115180,115587,115701,117175,116548,117016,118863,120036,120049,119238,118737,118566,117945,117965,118453,120412,119543,121064,121536,120794,121806,121678
"102","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",69044,69032,69514,70462,68634,69748,69676,70666,70372,71182,70895,71021,71128,71132,71311,71388,72818,73210,76086,76688,77073,77792,78165,79976,80959,80848,81604,82804,83572,84253,85083,85317,85081,84695,84762,85382,84515,85407,84913,81541,80551,80238,80162,80803,81772,81612,81736,83359,83236,83132,82796,82741,83610,84020,83992,83017,83290,82086,82830,83257,83748,84867,85270
"103","95","          Coffee, tea, and other beverage materials","DCTMRX0",8214,8256,8298,8386,8159,8268,8315,8425,8407,8530,8487,8479,8458,8428,8398,8445,8591,8624,8862,8870,8956,9057,9083,9174,9116,8997,9059,9168,9253,9390,9489,9517,9492,9436,9462,9576,9635,9710,9747,9657,9675,9807,9729,9748,9781,9675,9593,9671,9647,9356,9214,9202,9328,9437,9582,9731,9897,10008,10185,10328,10479,10403,10306
"104","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",60838,60779,61219,62081,60480,61486,61365,62246,61969,62657,62413,62547,62675,62709,62918,62948,64232,64591,67229,67824,68123,68741,69088,70809,71853,71863,72559,73651,74333,74876,75607,75813,75602,75272,75313,75818,74887,75705,75172,71884,70875,70432,70432,71055,71991,71938,72146,73694,73595,73799,73615,73572,74313,74608,74424,73283,73382,72054,72617,72897,73234,74436,74943
