"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"235","228","    Food services and accommodations","DFSARG3",13.05,13.403,13.673,14.012,14.315,14.537,14.824,15.396,16.25,17.098,18.122,19.461,20.499,21.258,22.711,25.337,27.62,29.447,31.58,34.341,38.048,41.734,45.461,48.061,50.136,52.397,54.65,56.89,59.204,61.75,64.546,67.501,70.196,71.686,73.092,74.375,76.13,78.181,80.499,82.656,84.792,87.162,89.647,91.821,93.775,96.894,100,103.365,107.41,111.62,114.232,115.787,118.781
"236","229","      Food services","DFSERG3",13.405,13.775,14.058,14.422,14.751,14.985,15.282,15.895,16.789,17.665,18.715,20.096,21.184,21.99,23.543,26.362,28.773,30.652,32.849,35.618,39.378,43.068,46.83,49.288,51.381,53.542,55.684,57.96,60.164,62.638,65.465,68.47,71.112,72.554,73.874,75.07,76.719,78.606,80.786,82.779,84.834,86.974,89.648,92.104,94.141,96.992,100,103.197,106.996,111.691,115.599,117.151,120.058
"237","230","        Purchased meals and beverages (102)","DPMBRG3",13.409,13.78,14.062,14.425,14.755,14.987,15.281,15.888,16.788,17.665,18.712,20.092,21.183,21.987,23.531,26.34,28.747,30.62,32.811,35.574,39.321,42.997,46.752,49.208,51.299,53.459,55.603,57.883,60.084,62.559,65.382,68.385,71.037,72.481,73.803,75,76.648,78.535,80.715,82.717,84.777,86.946,89.665,92.126,94.124,96.982,100,103.192,107,111.707,115.594,117.104,119.979
"238","231","          Meals and nonalcoholic beverages","DMABRG3",13.261,13.609,13.904,14.275,14.608,14.854,15.186,15.887,16.71,17.575,18.656,20.046,21.078,21.92,23.631,26.647,29.146,31.113,33.472,36.335,40.32,44.252,48.135,50.654,52.775,54.924,57.005,59.151,61.39,63.791,66.63,69.659,71.907,73.229,74.451,75.595,77.206,79.028,81.162,83.135,85.161,87.284,89.915,92.297,94.216,97.014,100,103.049,106.732,111.447,115.416,116.763,119.519
"239","232","            Meals at schools","DMSLRG3",13.646,14.008,14.31,14.69,15.036,15.288,15.628,16.355,17.195,18.086,19.196,20.626,21.686,22.556,24.32,27.416,29.988,32.025,34.454,37.377,41.482,45.559,49.557,52.12,54.3,56.514,58.655,60.859,63.165,65.63,68.569,71.685,73.997,75.358,76.614,77.792,79.452,81.331,83.524,85.181,87.032,88.074,88.975,91.247,94.781,97.396,100,103.432,106.921,111.171,115.806,118.88,123.087
"240","233","              Elementary and secondary school lunches","DESLRG3",13.644,14.006,14.309,14.688,15.034,15.286,15.627,16.354,17.193,18.084,19.195,20.623,21.684,22.554,24.313,27.411,29.982,32.021,34.452,37.373,41.482,45.551,49.556,52.12,54.297,56.512,58.657,60.86,63.164,65.617,68.557,71.684,73.99,75.353,76.612,77.788,79.45,81.326,83.523,85.178,87.029,88.072,88.972,91.237,94.778,97.394,100,103.425,106.913,111.15,115.807,118.88,123.087
"241","234","              Higher education school lunches","DHSLRG3",13.645,14.007,14.309,14.689,15.035,15.287,15.627,16.355,17.194,18.084,19.195,20.625,21.684,22.554,24.329,27.419,29.992,32.028,34.454,37.379,41.481,45.564,49.556,52.117,54.301,56.513,58.651,60.856,63.164,65.64,68.576,71.684,74.002,75.361,76.615,77.794,79.453,81.334,83.525,85.183,87.034,88.075,88.977,91.252,94.783,97.397,100,103.436,106.926,111.181,115.807,118.881,123.08
"242","235","            Other purchased meals","DOPMRG3",13.239,13.587,13.881,14.252,14.584,14.83,15.161,15.861,16.682,17.547,18.626,20.013,21.044,21.884,23.593,26.604,29.099,31.062,33.417,36.277,40.255,44.179,48.056,50.572,52.69,54.835,56.913,59.055,61.291,63.688,66.521,69.546,71.79,73.111,74.33,75.472,77.08,78.899,81.03,83.021,85.056,87.24,89.969,92.358,94.186,96.993,100,103.029,106.722,111.462,115.394,116.645,119.321
"243","236","              Meals at limited service eating places","DMLSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.192,63.573,66.406,69.416,71.657,72.978,74.193,75.337,76.939,78.747,80.881,82.718,84.584,86.851,89.505,92.052,93.82,96.855,100,102.905,106.639,111.821,116.494,117.501,120.135
"244","237","              Meals at other eating places","DMOERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.396,63.812,66.646,69.685,71.933,73.252,74.478,75.618,77.231,79.063,81.19,83.34,85.551,87.65,90.454,92.681,94.573,97.14,100,103.161,106.811,111.078,114.207,115.726,118.442
"245","238","              Meals at drinking places","DMDPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.403,63.761,66.635,69.702,71.921,73.246,74.462,75.603,77.236,79.04,81.187,83.355,85.551,87.646,90.488,92.681,94.57,97.119,100,103.146,106.799,111.093,114.204,115.724,118.429
"246","239","          Alcohol in purchased meals","DAPMRG3",13.45,13.881,14.112,14.439,14.742,14.92,15.067,15.304,16.469,17.359,18.213,19.498,20.814,21.405,22.1,23.829,25.705,27.058,28.344,30.52,32.982,35.309,38.308,40.367,42.234,44.402,46.835,49.831,51.782,54.692,57.407,60.225,65.242,67.386,69.306,70.846,72.755,75.117,77.653,79.874,82.194,84.691,88.022,91.003,93.52,96.773,100,104.133,108.767,113.426,116.763,119.37,123.043
"247","240","        Food furnished to employees (including military) (103)","DFOORG3",13.647,14.01,14.313,14.693,15.037,15.29,15.634,16.363,17.194,18.084,19.197,20.623,21.683,22.553,24.331,27.44,29.994,32.022,34.407,37.374,41.488,45.539,49.541,52.109,54.29,56.5,58.639,60.835,63.154,65.623,68.561,71.679,73.99,75.352,76.609,77.784,79.456,81.317,83.516,85.175,87.026,88.072,88.973,91.25,94.78,97.4,100,103.416,106.877,111.14,115.761,118.824,123.031
"248","241","          Food supplied to civilians","DCFDRG3",13.643,14.004,14.308,14.688,15.032,15.284,15.626,16.349,17.191,18.081,19.199,20.63,21.686,22.551,24.326,27.446,29.991,32.023,34.399,37.378,41.493,45.542,49.542,52.11,54.291,56.5,58.639,60.834,63.154,65.624,68.562,71.68,73.99,75.352,76.609,77.784,79.446,81.318,83.517,85.175,87.026,88.071,88.972,91.246,94.78,97.396,100,103.433,106.917,111.172,115.801,118.878,123.083
"249","242","          Food supplied to military","DMFDRG3",13.641,14.008,14.31,14.687,15.033,15.287,15.634,16.375,17.187,18.077,19.18,20.595,21.666,22.552,24.346,27.404,29.997,32.007,34.442,37.334,41.44,45.504,49.518,52.09,54.275,56.496,58.627,60.832,63.143,65.604,68.542,71.653,73.972,75.34,76.601,77.771,79.57,81.292,83.496,85.157,87.016,88.057,88.97,91.285,94.766,97.435,100,103.336,106.701,111.004,115.581,118.575,122.877
"250","243","      Accommodations (104)","DACCRG3",10.816,11.005,11.145,11.24,11.272,11.4,11.606,11.809,12.342,12.979,13.832,14.875,15.52,15.891,16.561,17.704,19.005,20.46,22.115,24.852,28.203,31.931,35.446,39.222,41.207,44.293,47.395,49.383,52.521,55.602,58.192,60.792,63.903,65.761,67.808,69.738,72.267,75.496,78.738,81.979,84.653,88.538,89.741,89.943,91.332,96.252,100,104.419,109.991,111.268,106.296,107.857,111.318
"251","244","        Hotels and motels","DHOTRG3",10.421,10.621,10.766,10.851,10.856,10.981,11.203,11.432,12.095,12.877,13.891,15.138,15.77,16.091,16.763,18.008,19.355,20.928,22.617,25.791,29.721,33.976,37.814,42.182,44.308,47.774,51.11,53.015,56.338,59.585,62.033,64.509,67.646,69.042,70.982,72.758,75.308,78.758,82.073,85.42,88.008,92.123,92.721,91.711,92.077,96.82,100,104.202,109.802,110.038,102.104,102.524,105.467
"252","245","        Housing at schools","DSCHRG3",11.186,11.31,11.427,11.541,11.655,11.782,11.932,12.061,12.262,12.531,12.968,13.486,14.124,14.599,15.233,16.028,17.14,18.206,19.688,21.086,22.66,24.753,27.217,29.262,30.765,32.723,35.039,37.118,39.599,42.09,45.027,47.948,50.913,54.207,56.564,58.947,61.372,63.831,66.81,69.672,72.687,75.73,79.185,83.606,88.576,94.131,100,105.26,110.722,116.006,121.847,127.407,132.576
"253","246","    Financial services and insurance","DIFSRG3",11.639,12.148,12.558,13.076,13.091,13.639,13.986,14.829,15.169,16.293,17.749,18.66,19.779,20.991,21.487,23.208,24.926,25.932,27.924,31.609,33.331,35.909,38.623,40.852,44.791,47.623,49.655,52.432,53.824,57.095,59.093,62.045,64.777,69.662,70.439,71.599,74.446,77.453,82.042,83.994,84.833,85.582,85.099,87.439,91.399,96.478,100,102.262,106.822,110.197,110.607,116.833,118.712
"254","247","      Financial services","DFNLRG3",15.364,16.244,16.729,17.749,17.657,18.626,18.747,20.182,20.51,21.802,24.763,25.87,26.542,27.836,28.474,32.519,35.825,35.86,36.978,43.026,46.408,51.072,54.317,55.198,59.81,61.289,63.691,69.53,72.859,75.463,73.981,75.483,79.366,85.995,82.918,82.307,84.396,85.618,90.879,92.399,91.909,91.392,89.661,91.799,94.412,97.266,100,102.134,106.2,110.018,109.016,116.644,117.779
"255","248","        Financial services furnished without payment (107)","DIMPRG3",13.447,14.105,14.496,14.876,13.714,15.003,15.656,16.969,17.804,17.87,21.32,22.729,22.368,23.251,24.432,29.008,31.608,31.063,32.095,37.479,40.594,43.661,45.254,44.328,49.017,50.643,52.514,58.024,62.384,64.982,61.879,63.045,67.308,74.956,70.018,71.111,72.589,73.772,79.922,84.4,86.816,90.108,89.311,92.629,95.815,97.656,100,101.12,105.499,111.116,114.276,125.825,125.117
"256","249","          Commercial banks","DIMCRG3",17.507,18.451,18.045,18.157,18.094,19.088,19.782,21.165,21.995,23.332,27.023,28.39,26.786,27.175,27.91,34.67,36.728,34.323,35.616,39.862,45.049,51.825,56.207,60.293,57.632,58.592,57.121,62.728,64.726,67.63,62.607,63.475,67.92,76.835,69.668,70.428,70.477,70.611,77.292,82.318,84.048,87.222,87.733,93.7,96.957,98.167,100,99.665,104.269,114.081,120.431,140.685,136.312
"257","250","          Other depository institutions and regulated investment companies","DIMNRG3",9.04,9.402,10.52,11.111,9.052,10.535,11.12,12.312,13.114,11.939,15.201,16.699,17.828,19.409,21.255,23.598,27.323,28.948,29.165,37.439,38.279,37.726,36.873,30.843,45.047,47.259,52.583,59.013,66.53,68.707,65.132,65.941,70.696,77.998,73.97,75.251,77.901,79.003,85.7,89.894,92.387,94.934,91.687,93.414,96.978,98.155,100,101.154,104.977,109.864,113.119,119.903,119.954
"258","251","          Pension funds","DPENRG3",8.615,8.981,9.247,9.56,9.782,10.151,10.41,10.783,11.159,11.836,12.412,13.15,13.725,14.429,15.25,16.363,17.535,18.912,20.622,22.374,24.017,26,27.678,29.343,31.583,33.567,36.708,39.874,42.737,45.261,47.265,49.986,51.96,54.983,57.066,58.749,60.953,64.799,68.218,71.999,75.553,81.055,84.977,87.422,89.194,94.709,100,104.04,109.947,108.58,103.835,110.81,116.353
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRG3",17.787,19.058,19.697,22.021,24.655,24.607,23.444,24.993,24.304,27.883,29.358,29.388,33.263,35.59,33.971,34.163,39.264,42.087,43.09,49.46,52.524,62.197,70.845,78.441,80.998,81.295,84.938,90.129,89.015,91.043,94.877,97.075,99.143,102.039,104.026,99.354,102.642,103.841,106.884,103.036,98.243,92.991,90.157,90.902,92.882,96.838,100,103.189,106.941,108.889,103.563,107.088,110.31
"260","253","          Financial service charges and fees","DFEERG3",11.194,11.554,11.779,11.959,12.133,12.356,12.355,12.449,12.759,13.163,13.3,13.704,14.107,13.748,13.567,13.39,15.187,16.263,16.967,18.098,19.608,22.25,25.996,29.948,33.957,37.098,39.526,42.133,44.543,47.221,49.793,53.09,57.283,60.479,63.753,67.769,71.696,75.774,79.485,81.722,84.316,88.169,91.793,94.391,96.227,98.867,100,101.129,103.14,104.685,99.552,102.966,105.329
"261","254","          Securities commissions","DEQTRG3",51.842,57.284,59.814,71.359,85.409,84.137,77.734,85.734,80.934,98.217,105.89,103.661,127.008,145.565,135.007,138.839,162.194,174.033,174.683,216.91,225.561,278.978,309.067,325.993,308.924,288.247,298.856,319.549,313.642,309.029,313.764,300.756,301.196,283.858,268.104,226.813,219.943,203.955,203.185,172.3,144.435,115.963,98.403,93.034,96.371,97.472,100,99.935,99.807,100.244,97.3,101.196,105.005
"262","255","            Direct commissions","DDCTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519.686,490.991,485.964,469.236,463.667,443.105,380.823,308.435,286.593,269.742,264.621,205.499,156.197,112.468,97.43,92.553,98.8,99.158,100,100.271,105.811,101.871,98.784,98.183,97.407
"263","256","              Exchange-listed equities","DDCERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.165,194.17,146.291,110.712,98.258,96.627,97.945,97.616,100,103.18,106.167,100.658,97.825,94.288,92.69
"264","257","              Other direct commissions","DDCORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.404,216.495,165.914,114.493,96.794,88.124,99.251,100.144,100,98.642,105.579,102.458,99.255,99.546,98.906
"265","258","            Indirect commissions","DICTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.244,224.875,229.146,215.609,225.474,203.641,229.022,197.776,208.164,180.342,199.584,191.074,183.024,176.947,120.019,107.728,103.103,103.538,100,92.291,94.426,124.876,124.472,130.801,141.746
"266","259","              Over-the-counter equity securities","DICVRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2208.364,1430.479,937.279,800.217,305.496,181.7,131.733,121.047,100,92.319,109.016,129.721,96.243,82.495,77.315
"267","260","              Other imputed commissions","DICORG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.383,79.358,93.693,99.327,96.44,98.539,99.859,101.725,100,92.288,93.336,124.605,128.049,137.097,150.638
"268","261","            Mutual fund sales charges","DMUTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.424,114.922,125.026,121.791,117.623,113.153,109.961,102.726,102.103,98.906,89.471,89.052,91.732,90.15,90.642,87.76,86.986,90.248,100,104.759,93.483,78.426,74.042,83.102,88.469
"269","262","          Portfolio management and investment advice services","DPMIRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.224,45.156,46.278,49.534,46.944,56.437,60.431,56.446,62.905,67.16,69.704,73.234,75.847,78.17,81.051,84.899,86.68,93.99,100,106.338,114.688,116.504,111.219,114.291,117.213
"270","263","          Trust, fiduciary, and custody activities","DTRURG3",25.74,26.569,27.084,27.499,27.9,28.413,28.411,28.626,29.34,30.268,30.582,31.513,32.439,31.612,31.197,30.789,34.922,37.395,39.016,41.617,45.087,51.164,59.778,68.866,73.945,76.259,76.433,76.337,59.198,54.464,60.319,61.162,57.843,59.04,66.668,69.386,71.128,79.083,87.793,96.647,95.562,103.489,98.366,95.066,92.479,97.509,100,112.772,110.387,127.018,105.73,113.615,127.071
"271","264","      Insurance","DINSRG3",7.541,7.788,8.076,8.277,8.329,8.59,8.946,9.363,9.636,10.45,10.941,11.575,12.67,13.605,13.936,14.228,14.837,16.182,18.317,20.099,20.645,21.693,23.639,26.157,29.158,32.665,34.221,34.281,33.943,37.511,42.027,45.82,47.409,50.485,54.361,57.03,60.445,65.241,68.883,71.347,74.035,76.705,78.144,80.794,86.782,95.253,100,102.463,107.862,110.43,113.489,117.025,120.37
"272","265","        Life insurance (110)","DLIFRG3",8.66,9.028,9.295,9.61,9.833,10.205,10.464,10.84,11.217,11.866,12.455,13.203,13.784,14.505,15.298,16.417,17.602,18.984,20.73,22.479,24.13,26.126,27.813,29.496,31.728,33.722,36.869,40.062,42.96,45.539,47.552,50.317,52.291,55.271,57.315,59.01,61.213,65.06,68.565,72.374,75.94,81.478,81.772,88.036,91.638,96.086,100,102.849,105.986,105.899,107.371,109.623,110.976
"273","266","        Net household insurance (111)","DFINRG3",4.374,4.338,4.396,4.479,4.764,5.246,6.056,6.795,7.571,8.099,8.559,9.041,10.008,10.409,10.388,9.373,9.525,11.256,12.61,12.888,13.762,15.421,16.942,18.84,20.601,21.516,22.815,25.143,26.554,28.276,29.784,30.449,31.485,32.586,35.068,37.767,42.253,45.789,50.696,51.431,54.601,58.582,64.257,71.582,89.129,95.114,100,101.265,106.255,110.12,112.853,116.276,119.271
"274","267","          Household insurance premiums and premium supplements","DFIPRG3",19.874,19.814,19.902,20.043,20.636,21.629,23.071,24.412,25.792,27.01,28.173,29.265,30.952,31.762,32.073,32.034,33.905,37.224,39.797,41.209,43.754,47.744,51.479,55.243,57.922,59.238,60.771,63.23,65.13,67.438,69.141,70.242,71.538,73.087,75.173,77.767,80.357,82.131,84.387,84.957,86.209,88.191,90.37,92.502,97.652,98.873,100,99.103,99.542,100.577,103.092,106.186,108.905
"275","268","          Less: Household insurance normal losses","DFIBRG3",52.981,53.127,52.839,52.536,52.298,52.252,51.967,52.451,53.194,54.81,56.62,58.099,59.444,60.388,61.546,66.816,73.084,75.976,78.469,82.082,86.746,92.641,98.481,103.035,104.979,105.883,106.362,106.869,108.356,109.967,110.358,111.586,112.473,114.023,114.542,116.113,115.29,114.318,113.005,113.296,111.906,111.23,109.348,106.714,103.11,101.249,100,97.882,95.767,95.03,97.419,100.323,102.897
"276","269","        Net health insurance (112)","DHINRG3",5.908,6.052,6.524,6.732,6.514,6.653,7,7.38,7.457,8.938,9.179,9.411,10.903,12.497,12.543,12.349,12.396,12.906,16.04,18.542,17.262,17.199,19.982,24.444,28.887,34.644,34.374,29.811,25.544,30.113,37.497,43.353,44.042,46.266,50.867,53.899,58.633,64.808,70.132,71.424,72.769,75.068,77.188,77.688,84.408,96.133,100,103.713,109.094,112.953,116.879,121.475,125.496
"277","270","          Medical care and hospitalization","DMINRG3",3.568,3.942,4.451,4.699,4.663,4.784,5.051,5.214,4.975,7.217,6.64,7.09,8.272,10.523,10.22,9.507,7.697,8.12,11.956,13.646,14.366,14.244,16.207,20.568,25.025,32.051,32.931,25.573,20.601,26.496,35.961,43.039,44.739,47.761,52.681,56.304,60.136,63.117,66.041,67.503,69.392,71.451,74.007,76.18,83.523,96.827,100,103.259,107.155,111.256,116.753,122.718,127.695
"278","271","          Income loss","DIINRG3",70.732,68.112,72.025,71.324,65.338,65.555,68.531,77.136,85.248,82.065,95.491,83.514,102.106,113.675,124.944,124.342,164.27,164.956,185.332,253.179,150.262,123.348,150.82,231.098,251.266,245.448,222.195,293.081,263.666,307.03,286.934,318.593,237.213,233.177,131.123,166.893,126.515,93.461,82.356,83.496,85.324,88.198,90.673,92.125,94.224,96.743,100,103.209,106.273,110.333,109.967,111.781,115.335
"279","272","          Workers' compensation","DPWCRG3",10.233,9.934,10.038,10.402,10.182,10.506,11.057,11.314,11.476,12.171,13.578,15.285,16.533,15.302,15.002,16.696,18.736,19.831,20.047,20.198,21.33,23.8,28.154,28.489,32.351,34.219,31.071,32.106,31.003,30.332,32.46,33.839,34.095,34.128,41.718,41.473,51.429,72.229,88.906,89.477,88.109,91.554,91.428,83.593,87.674,93.038,100,105.673,117.414,120.21,117.73,115.919,114.352
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRG3",8.714,8.95,9.092,9.12,9.2,9.415,9.909,10.442,10.764,11.015,11.724,12.794,14.171,14.56,14.671,14.659,15.347,17.935,19.138,20.021,21.831,23.159,24.078,24.733,26.819,29.481,31.632,34.669,36.693,39.857,43.088,45.013,47.77,53.1,59.23,63.002,65.743,69.625,70.291,73.215,77.263,76.615,77.713,80.107,85.969,92.212,100,99.198,107.793,111.145,114.669,117.897,122.722
"281","274","    Other services","DOTSRG3",13.964,14.353,14.517,14.754,15.074,15.409,15.805,16.262,16.782,17.524,18.372,19.258,20.394,21.438,22.699,25.153,26.957,28.641,30.113,31.693,33.993,37.081,40.878,44.059,46.546,48.915,50.697,53.356,54.645,56.932,59.079,61.487,64.425,67.157,69.488,72.091,74.478,76.638,78.785,80.393,82.356,83.94,86.537,89.91,93.232,96.358,100,103.42,106.437,110.877,113.511,116.385,118.692
"282","275","      Communication","DCOMRG3",47.419,48.282,48.484,48.539,49.47,49.75,49.195,48.31,49.037,49.88,50.649,51.211,54.491,57.597,58.986,62.249,64.245,68.021,68.829,70.131,70.345,71.421,78.847,87.033,91.892,97.829,101.329,104.404,102.21,102.215,102.457,102.222,104.363,104.56,105.018,106.921,107.361,107.628,108.229,107.394,105.315,102.329,101.387,102.241,102.274,100.762,100,100.025,97.641,99.298,101.168,101.115,99.93
"283","276","        Telecommunication services (71)","DTCSRG3",56.875,57.772,57.97,57.965,57.982,58.061,57.238,55.978,56.718,56.721,57.469,58.14,60.994,64.428,66.076,68.867,71.092,73.62,74.457,75.295,75.037,76.304,83.576,92.078,97.883,105.013,108.099,111.577,108.888,107.593,107.419,107.087,107.953,108.02,108.545,110.805,110.366,110.56,111.089,109.74,107.218,103.897,102.175,102.719,102.262,100.707,100,100.617,102.394,104.039,105.513,104.915,103.252
"284","277","          Land-line telephone services, local charges","DLOCRG3",25.335,25.74,25.807,25.807,25.807,25.875,25.47,24.937,25.268,25.267,25.605,25.876,27.152,28.699,29.435,30.645,31.652,32.793,33.162,33.773,33.524,34.53,39.019,43.472,46.955,53.481,57.427,63.323,66.585,67.54,69.985,71.291,73.518,74.329,74.682,74.901,76.528,76.745,77.822,79.057,80.512,83.794,88.181,92.139,95.917,97.369,100,102.075,105.969,109.717,112.829,116.305,118.263
"285","278","          Land-line telephone services, long-distance charges","DLDTRG3",117.225,119.053,119.561,119.539,119.612,119.614,118.109,115.371,116.892,116.91,118.429,119.945,125.807,132.794,136.184,142.101,146.61,151.747,153.493,154.06,154.18,154.688,163.982,178.538,186.602,187.444,184.108,176.736,158.908,152.826,146.797,143.039,140.875,139.837,141.41,147.991,144.261,149.45,150.835,148.967,145.555,136.125,131.609,125.957,115.119,105.113,100,101.168,105.902,110.759,115.726,118.937,120.956
"286","279","          Cellular telephone services","DCELRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.897,201.359,196.086,187.691,193.374,196.312,198.323,194.996,188.654,185.568,182.048,164.429,158.961,146.261,130.201,116.441,104.791,103.693,102.845,101.869,100,99.4,99.109,98.897,98.917,96.043,92.594
"287","280","        Postal and delivery services (68)","DPSSRG3",11.065,11.444,11.552,11.658,13.379,13.813,13.922,14.033,14.412,16.345,16.833,16.955,19.82,21.042,21.337,24.664,25.408,32.061,32.571,35.251,37.203,37.32,43.752,48.988,49.111,49.249,53.519,54.387,54.561,59.735,61.745,62.018,70.325,71.423,71.733,72.024,78.616,78.894,79.135,79.662,82.303,83.064,86.803,91.502,96.353,98.531,100,105.959,109.718,117.086,119.487,126.061,133.514
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRG3",11.656,12.057,12.17,12.281,14.113,14.572,14.685,14.798,15.198,17.255,17.766,17.882,20.969,22.279,22.569,26.167,26.905,34.16,34.641,37.505,39.565,39.611,46.509,52.108,52.17,52.231,56.88,57.698,57.726,63.459,65.53,65.53,75.187,76.117,76.117,76.117,83.979,83.979,83.979,83.979,86.494,86.499,89.847,95.001,100,100,100,105.359,107.973,111.591,117.115,120.414,125.212
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRG3",11.996,12.222,12.357,12.595,12.812,13.089,13.375,13.784,14.163,14.879,15.528,16.102,16.933,17.589,18.335,19.547,21.176,22.61,24.203,25.918,27.728,29.978,32.568,34.876,37.391,39.203,40.895,42.751,44.442,46.443,48.466,50.522,52.545,54.498,56.186,57.751,59.286,60.715,61.981,64.71,67.912,71.54,76.773,79.845,84.206,93.66,100,107.882,115.231,135.096,126.76,144.727,161.69
"290","283","        Internet access (72)","DINTRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.154,160.257,151.607,144.437,133.542,123.168,112.226,98.456,93.706,96.431,100.195,107.211,103.924,100.654,102.53,103.405,104.281,101.715,100,95.635,76.534,77.251,79.976,80.496,79.742
"291","284","      Education services","DTEDRG3",5.57,5.697,5.812,5.959,6.103,6.252,6.467,6.757,7.037,7.358,7.808,8.349,8.794,9.247,9.95,11.256,12.243,13.136,13.992,14.729,16.019,17.802,19.889,22.132,24.025,26.1,28.072,30.008,32.126,34.519,36.976,39.537,42.827,46.458,49.907,52.923,55.887,58.848,61.687,64.498,67.717,71.029,74.828,79.652,85.827,93.153,100,106.339,112.353,118.826,125.371,131.239,137.51
"292","285","        Higher education (97)","DHEDRG3",4.639,4.759,4.878,5.063,5.248,5.445,5.682,5.968,6.272,6.652,7.1,7.598,8.073,8.52,8.987,9.762,10.486,11.209,11.947,12.605,13.613,14.909,16.757,19.013,20.992,23.141,25.248,27.287,29.345,31.576,34.075,36.828,40.566,44.929,49.144,52.587,55.746,58.913,61.908,64.525,67.077,69.853,73.407,78.416,84.984,93.034,100,106.701,113.406,120.419,127.656,134.294,141.083
"293","286","          Proprietary and public higher education","DGEDRG3",4.67,4.79,4.912,5.09,5.268,5.477,5.715,6.011,6.311,6.695,7.141,7.647,8.125,8.572,9.046,9.82,10.563,11.279,12.022,12.609,13.612,14.908,16.752,19.013,20.994,23.141,25.248,27.288,29.345,31.576,34.076,36.826,40.575,44.94,49.142,52.585,55.744,58.903,61.91,64.524,67.078,69.85,73.412,78.425,84.981,93.039,100,106.7,113.402,120.418,127.655,134.288,141.07
"294","287","          Nonprofit private higher education services to households","DPEDRG3",4.608,4.728,4.844,5.032,5.22,5.41,5.645,5.925,6.231,6.608,7.055,7.546,8.018,8.464,8.925,9.7,10.406,11.135,11.869,12.601,13.614,14.91,16.761,19.012,20.988,23.14,25.247,27.283,29.344,31.575,34.073,36.829,40.552,44.913,49.146,52.588,55.747,58.926,61.904,64.525,67.074,69.855,73.398,78.402,84.987,93.027,100,106.701,113.412,120.419,127.657,134.306,141.083
