"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"165","150","    Rest of the world \3\","W540RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,1,1.6,1.2,1.2,1.2,1,0.8,0.5,1.5,3.5,3.2,4.5,4.5,4.1,3.6,3,4,5.4,6.6,6.6,6.6,5.6,5.8,6.2,5.7,5.6,5.4,5.1,4.9,4,4.3,4,3.9,5.5,8.5
"166","151","  Borrower services","W541RC1",0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.6,0.8,1,1.1,1.3,1.6,1.7,1.9,2,2.1,2.5,2.7,2.8,3.1,3.4,3.4,3.7,3.9,4.2,4.8,5.6,5.9,7,7.8,7.1,5.5,6.4,11.2,13.6,3.7,11.2,14.6,22.4,34.6,43.6,53.6,37.4,15.6,31.6,26.1,38.6,49,61.1,70.5,60.3,47,46.9,61.3,72,83,78.2,80.7,84.3,86.1,105.3,99.2,103.7,129.1,135.8,164.1,200.3,184.1,154.3
"167","152","    Persons","W542RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.2,1.4,1.4,1.7,1.7,1.6,1.3,1.5,2.6,3,0.8,2.7,3.6,5.6,8.3,10.1,11.6,7.9,3.3,6.7,5.2,6.5,9.1,11.1,13.1,10.7,8.2,7.7,10.1,12.9,15.8,15.4,15.2,14.4,13.6,15.8,14.8,14.8,18,19.7,22,25.6,23.4,19.4
"168","153","    Government","W543RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,9.8,5.7,6,4.4,3.6,2.9,4,5.4,4.3,4.4,3.5,3.1,3.7,4.1,4.3,2.9,4.9,6.8,6.7,7.8,7.5,6.5,5.7
"169","154","    Private enterprises","W544RC1",0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.8,0.9,1,1.3,1.4,1.5,1.5,1.6,1.9,2,2.1,2.3,2.5,2.5,2.7,2.9,3,3.4,4.1,4.3,5.1,5.4,5.1,4.2,4.7,8.3,10.1,2.7,8,10.3,15.7,24.2,30.8,38.4,28.1,11.8,24.1,17.6,21.7,33.6,43.4,52.2,45.5,35.5,34.8,45.2,54,61.9,58.3,61.2,64.8,66.9,83.4,79.8,82.3,102.4,107.5,132.2,164.1,151.8,126.9
"170","155","      Domestic business","W545RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.7,0.8,1,1.1,1.2,1.2,1.3,1.5,1.6,1.7,1.9,2,2.1,2.2,2.3,2.5,2.8,3.4,3.6,4.3,4.6,4.4,3.5,3.9,7,8.6,2.3,6.6,8.4,12.7,19.3,24.5,30.6,22.7,9.6,19.7,14.5,17.8,27.7,35.4,41.8,35.7,27.1,26.1,33.5,39.7,44.7,41.8,43.8,46.8,48.5,59.7,57,57,67.9,69.8,84.3,104.7,96.6,83.8
"171","156","      Owner-occupied housing","W546RC1",0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.7,1.2,1.4,0.4,1.2,1.7,2.8,4.5,5.9,7.1,5,2,3.9,2.8,3.4,5.1,7,9.1,8.7,7.5,7.8,10.6,13.2,15.9,15.3,16.1,16.7,17,21.9,21,23.3,32.1,35.1,44.6,55.3,51.4,39.9
"172","157","      Nonprofit institutions serving households","W547RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.5,0.2,0.4,0.3,0.5,0.8,1,1.3,1.1,0.9,0.9,1.1,1.2,1.3,1.2,1.3,1.3,1.4,1.8,1.8,2,2.4,2.6,3.3,4.2,3.8,3.1
"173","158","    Rest of the world \4\","W548RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.5,0.7,1.2,2.1,2.7,3.6,1.4,0.5,0.9,0.5,0.5,0.7,0.7,0.7,0.5,0.4,0.5,0.7,0.7,0.9,1.1,1.2,1.4,1.4,1.8,1.7,1.7,1.9,1.8,2.2,3,2.5,2.3
"174","159","Premium supplements for property and casualty insurance (160+161+162+165-166)","W354RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.4,1.5,1.6,1.8,2.2,2.7,3.4,4,4.5,5.1,5.8,6.5,7.6,9.1,12.2,17.2,19.2,19.7,20.6,21.8,22.7,23.2,25.9,27.3,26.6,27.1,27.6,28.2,28.6,30.1,31.1,33,34.2,34.2,32.5,33.6,31.7,30.5
"175","160","  Persons and nonprofit institutions serving households","W549RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.7,0.8,0.9,1.1,1.3,1.7,1.9,2.2,2.6,3,3.4,4,4.8,6,7.5,8.7,9.4,10.2,10.8,11.3,11.6,12.6,12.8,12.2,12.4,12.6,12.9,12.6,13.7,14.3,13.4,13.3,13.3,13.4,13.3,12.2,11.8
"176","161","  Government","W550RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"177","162","  Private enterprises","W551RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.8,0.8,0.9,1.1,1.3,1.7,2,2.2,2.5,2.7,3.1,3.5,4.2,6.1,9.8,10.7,10.5,10.9,11.5,12.1,12.4,14.1,15.5,15.4,15.6,16,16.8,17.9,18.6,20.5,23.5,25,25.6,21.9,24.9,24.5,22.3
"178","163","    Domestic business","W552RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.7,0.8,0.9,1.2,1.6,1.8,2,2.2,2.5,2.7,3.1,3.8,5.6,9.3,10.1,9.9,10.2,10.8,11.3,11.6,13.2,14.5,14.4,14.5,15,15.7,16.7,17.5,19.3,22.3,23.7,24.3,20.6,23.5,23.2,20.9
"179","164","    Owner-occupied housing","W553RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4
"180","165","  To the rest of the world (exports)","W554RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1,1.4,1.7,2,1.4,2.1,1.9,1.4
"181","166","  From the rest of the world (imports)","W555RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.8,1,1.1,1.2,1.3,1.5,1.8,1.9,1.8,1.9,2.7,3,3.7,4.9,5.6,6,7,4.4,7,7.2,5.3
"182","167","Farm products consumed on farms","A2051C1",1.2,1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.7,1.4,1.2,1.4,1.3,1.2,1,0.9,0.9,0.8,0.8,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
"183","168","  Output","B1008C1",1.7,1.6,1.3,1,1,1.1,1.3,1.4,1.4,1.2,1.2,1.2,1.4,1.8,2.3,2.2,2.4,2.7,2.8,2.7,2.2,2.1,2.3,2.2,2,1.8,1.7,1.6,1.5,1.5,1.3,1.1,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"184","169","  Less: Intermediate inputs","B1161C1",0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1,0.9,0.8,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2
"185","170","Employment-related imputations","A2099C1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,1.1,1.9,2.7,3.1,3.1,2.1,2.4,2.5,2.4,3.3,3.6,3.7,3.8,3.9,4.3,4.8,5.3,5.8,6.2,6.8,7.3,7.8,8.6,9.5,10.6,11.6,13.6,15.2,17.6,19.3,21.9,24.1,27.8,33.5,40.7,47.6,55.6,63.2,72.7,84.3,95.8,105,113.8,124.2,132,141,158,175.1,194.6,210.9,235.7,255.1,266.9,264,267.3,271.5,292.5,324.4,361.6,392.2,418.6,457.5,492.5,529.1,543.1,563.9,577.3
"186","171","  Food furnished to employees, including military and domestic service \5\","B1160C1",0.5,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.7,1.2,1.9,2.6,3,1.6,1.3,1.4,1.3,1.4,2,2.2,2,1.9,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.3,2.4,2.4,2.5,2.5,2.4,2.4,2.7,3.2,3.7,4.1,4.3,4.9,5.6,6.2,6.9,7.3,7.2,7.2,7,6.8,6.6,7,7.4,7.7,7.9,8.1,8.4,8.7,9,9.3,9.5,9.9,10.2,10.6,10.8,11.3,12.2,NA,NA,NA,NA,NA
"187","172","  Standard clothing issued to military personnel \5\","BMICRC1",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,1,1,1.1,0.4,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,NA,NA,NA,NA,NA
"188","173","  Employees' lodging \5\","A2641C1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.6,0.8,0.7,0.6,0.6,0.5,0.6,0.5,0.4,0.4
"189","174","  Employer contributions for health and life insurance \6\","B4922C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.8,1,1.3,1.5,1.7,1.9,2.3,2.7,3.2,3.6,4,4.5,4.9,5.4,5.9,6.7,7.5,8.2,8.9,10.8,12.3,14.5,16.1,18.7,20.8,23.8,28.6,35.1,42.1,49.7,56.4,65.1,76,87.3,96.3,105.2,115.6,123.5,132.3,148.7,165.3,184.1,199.8,223.7,242.9,255.1,252.3,255.4,259.5,280.3,311.8,348.4,378.5,404.4,442.1,476.5,511.7,523.8,544,557.6
"190","175","  Contributions for government social insurance for federal government employees for certain programs \7\","A1676C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.5,0.8,0.4,0.4,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.4,0.4,0.6,0.8,0.9,0.8,0.9,1.4,1.5,1.4,1.2,1.3,1.5,1.6,1.5,1.7,1.7,1.9,2.1,2.2,2.5,2.7,3,3.4,4.2,4.2,3.5,3.1,3,2.9,2.9,3,3.2,3.5,3.8,4.2,4.5,4.6,5,5,5.3
"191","176","Private investment-related imputations","A2087C1",2.6,1.9,1.4,0.7,0.5,0.7,0.9,1.2,1.5,1.5,2,2.4,3,1.6,1.1,1.1,1.6,7.1,10.8,14.3,13.7,19.2,17.8,17.9,18.6,20.5,24,22.9,21.6,21.1,26.2,24.9,24.2,25.6,27.7,29.3,30.5,29.4,29.9,33.7,36.1,34.9,45.8,56.9,63.3,57.9,59.7,78.6,104,120.2,123.3,109.4,109.3,102.6,143.3,167.5,172.7,200.1,218.4,230.5,232.2,221.1,212.7,245.6,268.8,303.4,295.2,328.5,352.2,397.3,428.9,453.5,481.9,517.4,581.4,683.7,773.9,767.3,645.3,508.5
"192","177","  Owner-occupied residential structures \8\","B1166C1",2,1.3,1,0.5,0.4,0.6,0.8,1,1.2,1.3,1.8,2.1,2.7,1.5,1,1.1,1.4,6.6,10.2,13.1,12.1,17.3,15.8,15.9,16.5,18,21.4,20.1,18.6,17.8,22.7,21.2,20.1,21,23.1,24.3,24.8,23.5,24,27.6,29,27.5,37.5,46.5,52.3,47.1,49.3,66.8,89.5,104.5,106.7,92.7,91.4,81.6,119.3,141.8,146.5,171.7,186.2,196.3,194.8,180.8,171.2,201.5,226.4,259.7,249.8,280.4,291,329,359.3,378.3,402.6,435.1,494.1,589.4,676.8,664.5,535.6,394.3
"193","178","  Nonresidential fixed investment by nonprofit institutions serving households \9\","B1167C1",0.6,0.5,0.4,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.3,0.5,0.7,1.1,1.3,1.6,1.8,1.7,1.9,2.2,2.4,2.7,2.9,3.1,3.3,3.5,3.8,4.2,4.2,4.6,5.3,5.5,5.5,5.7,6.7,7,7.7,9.8,10.3,9.9,9.4,10.3,12.2,13.2,14,14.8,16.3,19.6,21.5,23.1,23.5,25.2,29.2,31.3,34.8,37.6,39.3,41,39.6,40.5,42.9,45.3,58.3,65.6,66.5,72.6,76.6,79.3,84.3,90.8,93,99.3,106.7,111.5
"194","179","  Margins on owner-built housing","B1173C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.6,2.3,2.6,2.7,1.9,1.5,1.5,2.5,2.6,2.7,3.2,3,2.8,2.6,2.7,2.2,3,2.8,3.2,2.6,2.8,2.9,2.7,3.1,2.7,2.7,2.9,3,3.6,4.1,3.5,3,2.7
"195","180","Government investment-related imputations","A2018C1",3.7,4,3.8,2.8,2.7,3.6,3.7,5.2,4.9,5.4,5.7,5.7,12.6,31.8,45,45.2,33.9,13.9,14.8,16.2,17.9,17.2,25.7,31.2,33.7,32.9,31.9,34.8,37,39.4,42.7,42.2,45.7,48.5,49.8,51.3,52.9,58.1,62.6,64.7,65.8,67.7,67.2,69,74.7,87.8,98,103.5,107.1,119.9,135.3,153.3,167,178.6,192.9,214.1,238.5,258.9,276.3,284.4,302.8,328.7,340.4,347.8,349.9,356.7,373.8,388.8,400.5,414.7,445.9,471.1,494.5,520.8,538.5,565.8,600.7,649.7,703.9,755.9
"196","181","  General government consumption of fixed capital \10\","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,5.9,8.6,9.8,10.4,10.2,9.1,8.2,7.4,8,8.9,9.7,10.4,11,11.9,12.7,12.9,13.4,13.9,14.4,15.2,16.1,16.7,17.4,18.3,19.6,21,22.5,24.1,25.5,26.3,27.8,31.6,34.9,37.1,39.6,42.8,46.9,53,60.1,66.2,70.1,74.7,79.7,85.6,92,98.3,105.1,112.9,120.1,124.7,130.5,135.8,141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,242.4,259.5
"197","182","  Gross government investment \11\","A782RC1",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219.4,220.9,232.6,244.2,252.4,262.9,287.4,304.3,322,343.5,355.8,372.4,392,425.1,461.6,496.3
"198",NA,"Interest-related imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","183","  Net interest, domestic (184-191+192-195)","A2104C1",2.1,2,1.8,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.8,2,2.2,2.4,2.6,2.7,3.1,3.3,3.6,4.1,4.6,5.4,6,6.9,7.9,8.7,9.4,10.4,11.6,12.6,13.7,14.4,16.3,17.6,19.1,20.7,22.5,26.8,30.5,33.9,38.4,43.4,50.8,61.9,66.2,76.1,89.6,102.4,114.9,127.6,148.3,185.1,200.1,233.7,265,276.7,287.8,298.3,320.1,341.3,360,356.3,357.4,373.4,393.5,421.3,443.8,474.5,512,531.5,553.8,555.3,594.5,653.8,719.5,796.3,831.9
"200","184","    Interest paid by persons","W562RC1",1,1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.3,2.6,3,3.4,4,4.7,5.4,6,6.7,7.4,8.3,9,10,10.9,11.8,12.6,13.6,15.1,16.7,19,21.9,25.1,28.7,33.6,37.7,44.3,52.4,62.7,74.7,87.3,104.4,119,133.7,150.2,165.7,175.2,186.5,201.2,216.5,224.1,226.4,219.4,218.5,236.3,246.8,262.4,274.4,293.1,320.2,341.9,357.6,363.7,386.6,437.5,503.7,554.6,571.1
"201","185","      Monetary interest paid by persons","A2129C1",1.1,1.1,1.1,1,1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.1,1.3,1.5,1.7,1.9,2.2,2.5,2.9,3.3,3.7,4.4,5.1,5.8,6.5,7.2,7.9,8.8,9.5,10.5,11.5,12.5,13.3,14.5,16,17.5,19.7,22.7,26.4,30.3,34,39,46.2,55.4,67.7,81.1,95,109.8,121.2,138,153.3,169.6,181.1,194.5,211.6,226.3,232.5,235,231.1,232.9,253.5,263.3,279.8,292.4,311.4,343.9,364.7,382.9,398.2,424.4,485.4,563.2,609.8,614.1
"202","186","        Owner-occupied housing","W498RC1",1,1,1,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.4,1.6,1.8,2.1,2.5,2.8,3.2,3.6,4.3,5,5.7,6.3,7.1,7.7,8.6,9.4,10.3,11.3,12.2,12.9,13.9,15.4,16.7,18.8,21.7,25.3,29,32.6,37.5,44.5,53.3,64.9,77.7,90.7,104.5,115.1,129.8,145.4,160.5,171.6,183.8,199.9,214.5,220.1,222.2,216.2,219,238.8,247.6,263.4,275.5,294.1,326.3,347.1,365.7,381.6,408.4,469.9,547.9,594.5,599.2
"203","187","        Interest paid by nonprofit institutions serving households","W319RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,8.2,7.8,9.1,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.7,16.4,16.9,17.3,17.6,17.6,17.2,16.6,16,15.5,15.3,15.2,14.9
"204","188","      Imputed interest paid by persons","W556RC1",-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.7,-0.8,-0.9,-0.8,-0.6,-0.7,-1.3,-1.6,-0.4,-1.4,-1.9,-3,-4.9,-6.4,-7.7,-5.4,-2.2,-4.3,-3.1,-3.9,-5.9,-8,-10.4,-9.8,-8.4,-8.6,-11.7,-14.4,-17.2,-16.5,-17.4,-18,-18.4,-23.7,-22.8,-25.3,-34.5,-37.8,-47.9,-59.5,-55.2,-43
"205","189","        Owner-occupied housing (-156)","W307RC1",-0.1,-0.1,-0.1,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.8,-0.7,-0.6,-0.7,-1.2,-1.4,-0.4,-1.2,-1.7,-2.8,-4.5,-5.9,-7.1,-5,-2,-3.9,-2.8,-3.4,-5.1,-7,-9.1,-8.7,-7.5,-7.8,-10.6,-13.2,-15.9,-15.3,-16.1,-16.7,-17,-21.9,-21,-23.3,-32.1,-35.1,-44.6,-55.3,-51.4,-39.9
"206","190","        Nonprofit institutions serving households (-157)","W309RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.5,-0.2,-0.4,-0.3,-0.5,-0.8,-1,-1.3,-1.1,-0.9,-0.9,-1.1,-1.2,-1.3,-1.2,-1.3,-1.3,-1.4,-1.8,-1.8,-2,-2.4,-2.6,-3.3,-4.2,-3.8,-3.1
"207","191","    Less:  Imputed interest received by persons (164)","W553RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4
"208","192","    Imputed interest paid by private enterprises","W566RC1",2,1.7,1.5,1.2,1,1,1.1,1.3,1.3,1.3,1.4,1.3,1.4,1.5,1.6,1.9,2,1.9,1.7,1.7,1.7,1.7,1.6,1.9,2.4,2.6,3,3.2,3.3,3.2,3.6,4,4.3,4.3,4.2,5,4.8,4.8,5.8,5.9,9.3,13.5,17.2,18.4,14.8,17.6,40,30.3,30.9,29.3,19,12,3.4,35.3,85.7,65.4,90.5,99,86.8,72.3,52,74.9,109.9,126.3,111.3,104.6,91.3,111.8,127.3,135.9,151.4,141.6,154.3,164.2,129,142.4,107.1,59.8,123.2,193.9
