"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"256","249","P1SIGG D         Sightseeing","P1SIGG3",18.033,18.775,19.168,19.445,19.945,20.162,20.77,21.576,22.248,23.292,24.836,26.842,28.277,29.542,30.834,33.402,36.482,39.313,42.193,45.433,47.698,51.052,53.745,55.962,57.848,59.636,61.84,64.996,66.696,67.723,70.321,73.562,76.625,78.816,80.92,82.74,85.283,87.53,89.909,91.883,95.704,100,103.919,107.074,111.445,114.16,116.809
"257","250","P1FLYG D         Private flying","P1FLYG3",18.241,19.57,20.015,19.831,20.015,20.511,20.64,21.731,22.437,23.612,25.411,27.483,28.965,29.837,31.093,34.022,37.028,40.214,42.51,45.173,47.012,50.398,53.073,55.477,57.462,59.161,61.26,64.438,66.674,67.642,70.287,73.517,76.572,78.769,80.888,82.721,85.256,87.499,89.887,91.851,95.713,100,103.923,107.06,111.427,114.135,116.785
"258","251","P1BILG D         Bowling and billiards","P1BILG3",15.023,15.999,16.791,17.514,18.183,18.797,18.795,19.094,19.709,20.439,21.045,21.902,22.933,23.533,24.452,25.847,27.428,28.955,30.525,32.99,35.365,38.586,42.155,45.804,48.693,51.284,54.121,57.177,60.557,63.858,67.465,71.044,75.132,78.241,81.953,86.113,85.988,88.655,92.395,94.448,97.144,100,102.48,103.723,106.657,107.157,107.729
"259","252","P1CASG D         Casino gambling","P1CASG3",18.71,19.008,19.16,19.377,19.612,19.897,20.185,20.835,21.421,22.301,23.523,24.919,25.937,26.821,28.493,31.623,34.533,36.578,38.951,41.496,45.389,50.353,55.019,58.203,60.611,63.08,65.21,66.417,68.678,71.203,74.241,77.997,80.852,82.972,85.12,86.944,89.12,91.529,93.476,94.759,96.746,100,102.79,104.409,106.778,109.63,113.317
"260","253","P1OPAG D         Other comml participant amusements","P1OPAG3",18.445,18.977,19.373,19.651,20.052,20.385,20.863,21.59,22.326,23.458,24.992,27.066,28.54,29.682,30.881,33.754,36.755,39.696,42.589,45.392,47.762,51.1,53.717,56.016,57.889,59.652,61.891,65.034,66.682,67.668,70.319,73.526,76.582,78.818,80.891,82.714,85.253,87.51,89.878,91.851,95.685,100,103.872,107.058,111.423,114.139,116.785
"261","254","P1PARG C       Pari-mutuel net receipts","P1PARG3",15.714,16.21,16.376,16.453,17.187,17.437,17.838,19.086,19.328,20.319,21.96,23.931,25.336,26.569,28.222,29.69,32.081,32.984,34.706,36.358,39.067,39.317,44.543,46.553,50.955,57.238,58.723,61.277,62.667,71.416,70.653,75.014,78.361,82.236,84.636,86.779,88.752,90.974,93.194,95.349,97.239,100,102.792,104.388,106.761,109.624,113.319
"262","255","P1REOG C       Other","P1REOG3",22.122,22.397,22.749,23.115,23.316,23.954,24.684,25.488,26.422,28.311,29.441,30.715,32.13,32.707,33.615,35.575,37.905,39.347,40.659,42.576,44.908,48.302,51.12,53.428,55.216,57.193,59.53,61.939,64.087,66.216,69.25,73.184,77.305,79.787,82.525,83.65,85.326,88.162,91.386,94.225,96.718,100,103.331,106.917,110.203,112.891,115.557
"263","256","P1PETG D         Pets and pets services excluding veterinarians","P1PETG3",20.67,21.08,21.107,21.466,21.715,22.418,23.21,24.158,25.13,27.094,28.36,29.918,31.626,32.371,33.387,35.334,37.581,39.204,40.918,42.166,45.089,50.661,55.968,58.861,60.913,62.94,64.851,66.233,67.785,68.772,71.464,74.739,77.849,80.089,82.242,84.085,86.674,88.965,91.373,94.596,96.249,100,103.368,106.408,110.731,114.918,120.479
"264","257","P1VETG D         Veterinarians","P1VETG3",18.668,18.913,19.151,19.471,19.645,20.24,20.914,21.821,22.724,24.435,25.628,27.095,28.484,29.213,30.009,31.766,33.823,35.211,36.69,38.553,40.95,43.712,46.569,49.54,52.054,54.432,56.871,59.494,61.711,64.085,67.463,70.85,74.297,76.084,78.078,80.406,82.257,84.544,86.51,89.191,92.903,100,106.827,112.396,118.311,125.452,133.011
"265","258","P1CTVG D         Cable television","P1CTVG3",13.949,13.954,14.758,14.75,14.672,15.115,15.757,16.314,17.157,18.333,19.331,20.348,21.413,21.918,22.661,24.027,25.517,26.633,27.683,29.112,30.538,32.759,34.424,35.835,37.012,38.905,41.411,43.252,46.13,49.829,53.946,59.325,65.805,69.72,74.513,73.935,75.166,79.629,85.651,91.93,95.431,100,104.362,110.576,116.047,120.862,124.371
"266","259","P1FDVG D         Film developing","P1FDVG3",35.34,35.644,36.641,37.34,37.742,38.217,38.978,39.415,40.215,44.621,44.981,44.789,46.922,46.989,46.529,47.271,49.256,49.7,48.91,50.034,52.568,56.235,59.172,61.666,63.683,65.611,68.049,71.54,73.359,74.432,77.332,80.861,84.245,86.683,88.996,90.981,93.789,96.27,98.885,99.414,99.257,100,99.349,99.8,100.06,99.699,98.917
"267","260","P1PICG D         Photo studios","P1PICG3",27.938,28.305,28.715,29.521,29.737,30.296,30.731,31.032,31.806,32.897,33.476,34.68,35.191,35.629,36.343,38.999,43.086,44.952,46.565,48.87,51.355,54.873,57.775,60.245,62.226,64.086,66.509,69.92,71.709,72.753,75.596,79.066,82.357,84.745,86.996,88.947,91.675,94.096,96.656,97.55,98.306,100,103.027,107.198,109.413,109.18,109.235
"268","261","P1CMPG D         Sporting and recreational camps","P1CMPG3",21.888,22.155,22.421,22.749,22.95,23.682,24.579,25.629,26.751,28.642,30.189,31.785,33.529,34.253,35.448,37.594,39.933,41.586,43.29,45.494,47.796,51.082,53.711,56.04,57.834,59.5,61.696,64.905,66.67,67.615,70.278,73.515,76.548,78.796,80.878,82.7,85.228,87.489,89.892,91.834,95.685,100,103.903,107.046,111.402,114.115,116.774
"269","262","P1HREG D         High school recreation","P1HREG3",22.438,22.438,22.699,22.831,23.154,23.984,24.755,25.705,26.982,28.82,30.241,32.042,33.606,34.386,35.364,37.814,40.321,41.644,43.42,45.752,48.062,51.313,54.035,56.381,58.158,60.044,62.051,65.443,66.673,67.646,70.319,73.49,76.577,78.797,80.9,82.713,85.248,87.509,89.883,91.853,95.677,100,103.923,107.079,111.427,114.136,116.784
"270","263","P1LOTG D         Lotteries","P1LOTG3",18.007,18.007,18.007,18.007,18.007,18.955,18.007,18.007,21.384,22.201,23.343,24.964,26.01,26.878,28.548,31.69,34.544,36.498,38.912,41.509,45.408,50.307,55.014,58.278,60.645,63.129,65.264,66.443,68.71,71.233,74.266,77.98,80.857,82.972,85.102,86.961,89.124,91.534,93.493,94.778,96.738,100,102.824,104.428,106.8,109.666,113.352
"271","264","P1VIDG D         Video cassette rental","P1VIDG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.485,106.485,106.485,106.485,106.485,106.485,106.485,106.485,106.485,106.485,106.485,106.485,106.485,106.485,106.485,106.485,101.2,101.541,100,98.14,97.897,92.649,91.666,92.358
"272","265","P1NECG D         Commercial amusements n.e.c.","P1NECG3",22.828,23.116,23.462,23.739,23.944,24.711,25.621,26.726,27.846,29.858,31.463,33.141,34.948,35.641,36.961,39.263,41.623,43.371,45.146,47.48,49.834,53.367,56.092,58.457,60.251,62.074,64.379,67.656,69.387,70.416,72.671,76.268,79.886,81.714,83.635,85.736,87.359,89.789,92.047,94.768,97.448,100,103.36,105.784,108.996,109.812,110.814
"273","266","P1ISPG D           Internet service providers","P1ISPG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.698,150.575,143.454,132.577,122.363,111.462,97.785,93.068,95.774,99.434,106.421,103.428,100,101.902,102.686,103.588,101.046,99.344
"274","267","P1NISG D           Commercial amusements n.e.c. except internet service providers","P1NISG3",22.002,22.28,22.613,22.881,23.078,23.817,24.694,25.76,26.839,28.778,30.326,31.942,33.684,34.352,35.624,37.843,40.118,41.803,43.513,45.763,48.031,51.437,54.064,56.342,58.072,59.829,62.05,65.209,66.877,67.87,70.061,73.563,77.143,79.02,81.048,83.485,85.402,87.766,89.817,91.857,95.687,100,103.921,107.064,111.416,114.129,116.785
"275","268","P1OSRG B   Other","P1OSRG3",14.709,15.142,15.437,15.87,16.129,16.593,17.007,17.735,18.268,19.166,20.531,21.577,22.62,23.737,25.14,28.413,30.985,32.435,34.408,37.668,41.063,45.698,49.618,51.955,55.233,57.313,59.619,63.72,66.027,69.207,71.21,74.13,77.711,81.978,83.689,85.704,88.37,91.37,94.475,96.175,98.073,100,102.124,105.806,109.087,113.658,117.262
"276","269","P1PERG C     Personal care","P1PERG3",15.586,16.119,16.381,16.618,16.963,17.216,17.618,18.292,19.128,20.043,20.953,21.916,22.671,23.138,24.592,27.165,29.686,32.44,35.34,39.039,42.953,47.658,52.175,55.653,58.364,61.033,63.737,65.924,68.353,70.981,74.506,77.975,80.778,82.471,84.656,86.804,88.251,90.299,92.866,94.317,96.741,100,104.046,106.465,109.049,112.188,116.478
"277","270","P1CRCG C       Cleaning, storage, and repair of clothing and shoes (17)","P1CRCG3",15.627,16.281,16.474,16.733,17.056,17.289,17.642,18.334,19.132,19.824,20.693,21.681,22.422,22.821,23.843,26.476,28.768,30.826,32.949,36.359,40.86,46.397,51.608,55.395,58.269,61.23,64.099,66.588,69.396,72.266,75.93,79.434,82.73,84.749,87.026,89.29,90.532,92.024,94.264,95.476,97.523,100,104.115,106.929,109.378,112.781,116.658
"278","271","P1SCLG D         Shoe repair","P1SCLG3",21.206,22.135,22.725,23.03,23.596,23.903,23.961,24.102,24.187,24.531,24.906,25.99,27.098,28.03,29.477,31.868,34.119,36.146,39.134,41.944,44.95,50.355,54.468,57.559,60.757,62.805,66.409,69.454,71.48,73.029,75.549,80.344,84.065,87.469,88.968,90.638,91.574,92.543,93.582,94.983,96.982,100,104.693,107.113,109.599,113.377,118.669
"279","272","P1LAUG D         Cleaning, laundering, and garment repair","P1LAUG3",15.274,15.911,16.079,16.335,16.643,16.871,17.238,17.957,18.789,19.497,20.392,21.372,22.088,22.45,23.44,26.096,28.395,30.46,32.52,35.974,40.584,46.135,51.434,55.276,58.129,61.158,63.979,66.433,69.289,72.24,75.974,79.401,82.673,84.608,86.931,89.227,90.484,91.998,94.284,95.491,97.539,100,104.099,106.923,109.372,112.764,116.601
"280","273","P1DRYG D           Drycleaning","P1DRYG3",15.159,15.968,16.199,16.531,16.986,17.286,17.636,18.346,19.142,19.838,20.747,21.612,22.323,22.547,23.295,26.045,28.814,30.732,32.668,36.101,40.684,46.266,51.55,55.416,58.289,61.31,64.143,66.614,69.474,72.421,76.178,79.606,82.936,84.869,87.176,89.482,90.739,92.259,94.551,95.925,98.017,100,103.6,106.778,109.195,112.247,114.84
"281","274","P1LGRG D           Laundry and garment repair","P1LGRG3",15.282,15.705,15.797,15.967,16.112,16.259,16.643,17.372,18.26,18.989,19.863,21.013,21.738,22.297,23.596,26.146,27.955,30.163,32.345,35.818,40.457,45.97,51.284,55.101,57.93,60.965,63.771,66.211,69.06,72.011,75.722,79.143,82.37,84.306,86.645,88.931,90.187,91.694,93.974,94.978,96.973,100,104.683,107.098,109.582,113.363,118.655
"282","275","P1BBBG C       Barbershops, beauty parlors, and health clubs (22)","P1BBBG3",15.092,15.541,15.889,16.11,16.513,16.77,17.222,17.9,18.792,19.937,20.861,21.801,22.564,23.068,25.092,27.682,30.31,33.992,37.912,42.064,45.351,49.056,52.784,55.906,58.428,60.777,63.267,65.112,67.144,69.512,72.896,76.321,78.564,79.866,81.954,83.971,85.681,88.429,91.413,93.292,96.224,100,103.477,105.745,108.441,110.936,114.447
"283","276","P1BEAG D         Beauty shops, including combination","P1BEAG3",14.836,15.109,15.655,15.862,16.209,16.277,16.615,17.104,17.923,19.022,19.777,20.604,21.359,21.837,23.966,26.574,29.321,33.381,37.659,42.15,45.399,49.086,52.823,55.996,58.605,60.921,63.408,65.21,67.263,69.587,73.007,76.534,78.773,79.992,82.054,84.088,85.705,88.466,91.41,93.293,96.224,100,103.477,105.745,108.441,110.936,114.434
"284","277","P1BARG D         Barber shops","P1BARG3",16.812,17.555,17.618,17.882,18.421,19.083,19.821,21.019,22.157,23.49,24.957,26.291,27.093,27.694,29.363,31.896,34.037,36.099,38.448,41.04,44.467,48.21,51.836,54.62,56.547,59.114,61.601,63.787,65.616,68.389,71.387,73.676,75.964,78.236,80.662,82.462,85.37,87.941,91.445,93.291,96.227,100,103.479,105.747,108.444,110.934,114.441
"285","278","P1COTG C       Other (19)","P1COTG3",17.252,17.36,17.595,17.756,17.885,18.208,18.6,19.127,19.848,20.626,21.605,22.533,23.289,23.836,24.695,27.033,29.755,31.609,33.566,36.735,41.02,46.505,51.577,55.292,58.14,61.057,63.959,66.443,69.209,72.055,75.677,79.18,82.447,84.521,86.781,89.032,90.254,91.727,93.942,94.971,96.969,100,104.679,107.1,109.611,113.37,118.655
"286","279","P1WCRG D         Watch, clock, and jewelry repair","P1WCRG3",21.8,21.791,22.084,22.303,22.233,22.734,23.248,23.628,24.271,25.303,26.679,27.767,28.732,29.892,31.062,32.738,35.5,37.406,39.459,41.943,44.938,50.327,54.45,57.551,60.729,62.803,66.419,69.442,71.462,73.003,75.525,80.309,84.046,87.454,88.969,90.645,91.556,92.533,93.581,94.974,96.966,100,104.68,107.101,109.594,113.36,118.65
"287","280","P1CRPG D         Miscellaneous personal services","P1CRPG3",15.934,16.209,16.429,16.564,16.907,17.122,17.472,18.164,19.008,19.705,20.54,21.456,22.157,22.429,23.198,25.86,28.656,30.539,32.504,35.881,40.489,46.031,51.297,55.123,57.933,60.951,63.78,66.213,69.05,72.007,75.71,79.129,82.366,84.353,86.656,88.939,90.178,91.679,93.965,94.971,96.969,100,104.679,107.1,109.611,113.371,118.645
"288","281","P1PBUG C     Personal business","P1PBUG3",13.975,14.575,14.961,15.566,15.727,16.422,16.757,17.603,18.094,19.079,20.898,22.108,23.021,24.298,25.375,28.239,30.716,31.675,33.311,37.37,40.358,44.625,48.207,50.697,55.297,57.786,61.065,66.276,69.097,71.952,73.128,76.016,80.129,85.443,86.609,87.846,90.335,93.465,96.852,98.267,99.247,100,100.683,103.865,105.903,110.358,112.974
"289","282","P1BROG C       Brokerage charges and investment counseling (61)","P1BROG3",31.919,35.269,36.827,43.935,52.586,51.802,47.86,52.786,49.831,60.471,65.196,63.823,78.198,89.623,83.123,85.482,99.861,107.151,107.551,133.55,138.876,171.765,190.29,200.712,190.202,177.472,184.004,196.744,185.343,183.849,188.985,188.965,187.728,188.425,178.26,157.429,154.636,150.682,147.21,130.093,114.17,100,89.983,87.04,90.298,92.173,93.721
"290","283","P1EQTG D         Equities commissions including imputed","P1EQTG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459.705,434.394,429.878,415.065,410.163,391.962,336.896,272.82,253.519,238.617,227.683,173.894,131.651,100,79.821,73.52,78.664,78.948,79.74
"291","284","P1MUTG D         Broker charges on mutual fund sales","P1MUTG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.128,129.907,141.346,137.679,132.952,127.909,124.301,116.122,115.418,111.804,101.138,101.128,101.641,100,97.336,92.922,93.01,97.557,96.333
"292","285","P1TDSG D         Trading profits on debt securities","P1TDSG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.185,62.525,64.112,60.024,63.766,56.601,69.18,62.205,67.842,56.889,68.163,79.615,94.125,100,97.366,99.686,101.342,103.13,104.564
"293","286","P1TSCG D         Trust services of commercial banks","P1TSCG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.81,46.708,58.517,67.145,71.871,83.229,89.024,86.819,82.3,83.115,81.774,90.779,90.893,100,97.241,96.739,99.868,114.096,123.222
"294","287","P1IASG D         Investment advisory services of brokers","P1IASG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.733,71.23,74.383,78.012,80.909,83.042,85.206,87,89.156,91.569,93.546,94.779,96.855,100,102.8,104.397,106.82,109.693,113.24
"295","288","P1CMDG D         Commodities revenue","P1CMDG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.992,100.007,99.994,100.023,99.969,100,100,100,100,100,100,100,100,100,100,100,100,100
"296","289","P1SAXG D         Investment counseling services","P1SAXG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.753,57.814,59.373,63.413,60.086,72.203,77.375,72.242,80.495,85.962,89.19,93.728,97.08,100,103.71,107.178,108.736,111.124,114.2
"297","290","P1BNKG C       Bank service charges, trust services, and safe deposit box rental (62)","P1BNKG3",12.466,12.867,13.117,13.318,13.512,13.76,13.759,13.863,14.209,14.659,14.811,15.262,15.71,15.31,15.109,14.911,16.913,18.11,18.895,20.155,21.836,24.779,28.951,33.352,37.815,41.312,44.017,46.919,46.538,48.354,52.133,55.643,59.108,62.781,67.615,72.068,76.307,82.193,88.117,92.28,94.597,100,102.671,104.891,107.167,112.034,114.27
"298","291","P1DABG D         Commercial bank service charges on deposit accounts","P1DABG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.52,53.575,56.496,60.228,64.975,68.612,72.303,76.874,81.315,85.957,90.178,92.681,95.609,100,104.148,107.064,109.152,112.159,113.439
"299","292","P1FDBG D         Commercial bank fees on fiduciary accounts","P1FDBG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.893,33.749,39.392,42.213,42.339,46,53.689,57.799,61.377,70.776,81.602,90.593,90.9,100,97.244,96.551,99.674,113.874,121.387
"300","293","P1OFBG D         Commercial bank other fee income","P1OFBG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.552,53.576,56.503,60.239,65.014,68.614,72.36,76.89,81.35,85.977,90.178,92.782,95.727,100,104.125,107.121,109.2,112.174,113.472
"301","294","P1OBBG D         Charges and fees of other depository institutions","P1OBBG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.527,53.547,56.467,60.212,64.981,68.602,72.324,76.89,81.372,85.966,90.193,92.686,95.628,100,104.119,107.053,109.157,112.138,113.426
"302","295","P1IMPG C       Services furnished without payment by financial intermediaries except life insurance carriers (63)","P1IMPG3",15.68,16.449,16.905,17.346,15.968,17.482,18.248,19.791,20.767,20.826,24.919,26.571,26.095,27.113,28.482,34.018,37.108,36.169,37.144,43.756,47.446,50.979,52.594,50.734,56.376,57.994,60.119,66.71,70.286,73.431,69.975,70.762,76.389,84.566,83.441,85.286,87.313,89.538,92.945,95.524,98.875,100,102.179,106.874,105.197,108.438,109.113
"303","296","P1IMCG D         Commercial banks","P1IMCG3",20.843,21.967,21.484,21.617,21.543,22.727,23.553,25.199,26.184,27.777,32.173,33.802,31.891,32.354,33.229,41.278,43.728,40.865,42.404,47.459,53.635,61.702,66.921,71.786,68.616,69.759,68.283,74.861,72.914,75.945,70.222,71.195,76.691,86.103,79.604,81.341,81.717,82.376,88.342,92.538,95.508,100,104.157,111.738,111.162,113.57,112.877
"304","297","P1IMNG D         Other financial institutions","P1IMNG3",8.613,8.958,10.023,10.586,8.624,10.037,10.594,11.73,12.494,11.375,14.482,15.909,16.985,18.492,20.25,22.483,26.031,27.579,27.786,35.668,36.469,35.942,35.13,29.385,42.917,45.024,50.912,57.44,66.104,69.264,67.881,68.471,74.098,80.582,86.074,88.004,91.729,95.531,96.399,97.562,101.203,100,100.838,103.289,100.741,104.612,106.332
"305","298","P1LIFG C       Expense of handling life insurance and pension plans (64)","P1LIFG3",10.63,11.08,11.409,11.795,12.071,12.526,12.844,13.306,13.768,14.565,15.289,16.206,16.921,17.803,18.78,20.155,21.609,23.307,25.444,27.594,29.621,32.07,34.141,36.204,38.949,41.397,45.264,49.18,52.729,55.88,58.353,61.741,64.171,67.84,70.358,72.441,75.151,79.883,84.155,88.834,93.21,100,101.988,106.726,111.393,120.44,126.085
"306","299","P1GALG C       Legal services (65)","P1GALG3",7.693,7.92,8.081,8.198,8.367,8.807,9.313,9.592,10.091,10.479,11.374,12.599,13.662,14.996,16.39,17.732,18.957,20.24,21.647,23.151,25.123,28.467,32.281,36.586,41.654,45.512,48.495,51.707,55.816,57.982,61.33,65.732,69.325,72.827,75.716,78.045,80.524,83.347,86.735,90.687,95.052,100,105.327,111.469,117.099,122.671,127.758
"307","300","P1FUNG C       Funeral and burial expenses (66)","P1FUNG3",11.579,11.912,12.246,12.573,12.908,13.184,13.348,13.625,14.017,14.571,15.182,15.786,16.397,16.952,17.669,18.891,20.058,20.939,21.856,23.291,25.247,28.657,32.438,36.819,41.807,45.67,48.639,51.836,55.383,57.488,59.99,63.677,67.606,70.669,73.928,77.555,82.136,86.197,90.674,94.054,97.222,100,103.579,108.623,112.926,117.773,121.731
"308","301","P1PBOG C       Other (67)","P1PBOG3",13.943,14.089,14.172,14.323,14.535,14.766,15.068,15.392,15.843,16.437,17.305,18.311,19.208,19.961,21.103,23.855,25.981,27.522,29.33,31.29,34.27,39.062,43.499,46.973,49.828,52.239,54.105,56.482,58.989,62.239,65.256,68.324,71.607,74.333,76.822,79.896,82.874,86.268,89.241,92.656,96.048,100,105.238,108.133,111.412,114.719,119.038
"309","302","P1UNSG D         Labor union expenses","P1UNSG3",17.581,17.682,17.766,17.93,18.207,18.552,18.994,19.35,19.873,20.672,21.73,22.95,24.184,25.328,26.653,30.627,33.523,35.542,37.911,40.528,44.84,51.308,56.262,58.532,60.286,61.872,63.105,65.21,67.327,70.585,73.298,75.237,77.344,79.27,80.677,82.179,84.366,87.883,90.55,93.561,96.899,100,107.094,107.921,111.793,115.137,120.225
"310","303","P1ASSG D         Profession association expenses","P1ASSG3",16.368,16.476,16.935,17.234,17.711,17.667,17.838,18.282,19.043,19.715,20.987,22.14,23.124,23.735,25.273,28.105,30.341,32.173,34.071,36.564,39.58,44.907,51.034,57.833,59.359,61.233,62.416,64.03,66.294,70.209,73.646,76.342,78.659,80.735,82.52,83.868,87.016,89.789,91.739,94.461,96.044,100,104.77,106.282,106.414,107.854,111.843
"311","304","P1GENG D         Employment agency fees","P1GENG3",10.77,10.927,11.096,11.263,11.326,11.49,11.665,11.939,12.281,12.946,13.557,14.399,15.084,15.523,16.483,18.281,19.848,20.966,22.37,23.762,25.682,29.154,33.024,37.391,42.651,46.501,49.53,52.788,56.012,59.802,63.397,68.006,73.532,77.913,82.423,89.517,92.042,92.832,94.384,95.872,98.235,100,101.996,103.629,104.8,104.78,105.607
"312","305","P1AMOG D         Money orders","P1AMOG3",9.772,10.066,10.029,10.126,10.269,10.375,10.584,10.883,11.233,11.633,12.301,13.028,13.578,14.05,14.897,16.566,17.974,19.017,20.221,21.485,23.203,26.326,29.928,33.733,38.101,41.726,44.39,47.406,50.025,53.025,55.93,59.662,64.324,67.95,71.621,76.156,80.549,85.057,89.242,92.44,95.718,100,103.724,107.629,110.769,114.415,116.637
"313","306","P1CLAG D         Classified ads","P1CLAG3",9.744,9.907,9.998,10.145,10.297,10.449,10.559,10.865,11.153,11.711,12.268,13.064,13.52,13.987,14.768,16.429,17.879,18.886,20.162,21.272,23.063,26.052,29.638,33.548,38.103,41.467,44.178,47.095,49.999,52.981,55.864,59.548,64.233,67.871,71.542,76.082,80.518,85.092,89.253,92.435,95.731,100,103.73,107.634,110.765,114.396,116.666
"314","307","P1ACCG D         Tax return preparation services","P1ACCG3",8.817,9.08,9.027,9.113,9.257,9.344,9.533,9.761,10.086,10.489,11.081,11.764,12.261,12.625,13.439,14.939,16.213,17.122,18.214,19.313,20.933,23.739,26.95,30.479,34.477,37.614,40.13,42.739,45.34,48.402,51.31,55.062,59.641,63.053,66.728,72.422,76.579,80.961,84.926,89.989,94.641,100,104.615,110.124,114.823,119.717,124.994
"315","308","P1THEG D         Personal business services, n.e.c.","P1THEG3",14.379,14.379,14.379,14.379,14.379,14.394,14.755,14.968,15.649,12.833,13.594,14.397,15.049,15.517,16.522,17.864,19.094,20.314,21.934,23.343,25.164,28.608,32.451,36.73,41.801,45.692,48.674,51.878,55.844,58.044,61.384,65.788,69.373,72.849,75.785,78.082,80.561,83.385,86.789,90.716,95.068,100,105.276,111.477,117.125,122.696,127.786
"316","309","P1TEDG C     Education and research","P1TEDG3",11.51,11.768,11.998,12.304,12.608,12.92,13.365,13.962,14.538,15.21,16.126,17.208,18.117,19.034,20.453,23.136,25.176,27.01,28.761,30.425,33.435,37.244,41.267,44.351,46.891,49.573,51.923,54.172,56.867,60.182,63.418,66.644,70.213,73.586,76.558,79.595,82.586,85.931,89.02,92.184,95.679,100,104.734,109.609,115.407,122.069,128.599
"317","310","P1HEDG C       Higher education (105)","P1HEDG3",9.554,9.803,10.045,10.43,10.816,11.218,11.707,12.29,12.919,13.703,14.628,15.65,16.626,17.549,18.508,20.113,21.6,23.087,24.599,26.119,28.341,31.169,34.651,38.16,41.044,43.936,46.849,49.616,52.336,55.486,58.957,62.933,67.436,71.805,75.788,79.504,82.812,86.393,89.784,93.149,96.067,100,104.98,110.724,117.069,124.851,131.808
"318","311","P1PEDG D         Private higher education","P1PEDG3",12.186,12.506,12.812,13.31,13.811,14.313,14.937,15.671,16.481,17.481,18.666,19.961,21.205,22.388,23.603,25.666,27.538,29.451,31.374,33.595,36.617,40.426,44.663,48.244,51.038,53.603,56.322,58.879,61.363,64.48,67.848,71.877,75.501,78.119,80.336,83.043,85.254,88.072,90.734,93.818,96.091,100,104.812,109.308,112.905,117.318,121.591
"319","312","P1GEDG D         Public higher education","P1GEDG3",6.934,7.111,7.293,7.557,7.821,8.132,8.484,8.924,9.37,9.939,10.602,11.353,12.063,12.726,13.43,14.58,15.682,16.745,17.848,18.706,20.164,22.05,24.738,28.034,30.906,34.015,37.055,39.988,42.921,46.084,49.63,53.522,58.873,64.974,70.763,75.55,80.059,84.504,88.72,92.4,96.04,100,105.164,112.278,121.674,133.196,143.188
"320","313","P1EEDG C       Nursery, elementary, and secondary schools (106)","P1EEDG3",12.857,13.188,13.511,13.678,13.837,13.917,14.241,14.789,15.193,15.594,16.562,17.993,18.879,19.847,22.553,27.149,30.225,32.881,34.833,36.101,40.363,45.191,49.923,52.34,54.668,57.349,59.074,60.681,63.557,67.193,70.501,73.132,75.359,77.666,79.768,82.201,84.539,87.465,90.128,93.071,95.998,100,104.273,107.761,111.114,114.117,117.636
