"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"270","262","          Portfolio management and investment advice services","DPMIRX0",54243,57464,61403,64273,67740,70505,73152,72696,70000,67360,64895,64692,65464,65055,66240,68761,71542,67993,68026,70279,70630,72219,74061,77113,78453,80121,80750,79590,85616,91186,94390,96417,95137,97580,96252,95977,97035,98373,100013,98703,94371,90270,86404,85527,89130,91876,91818,89746,90264,90655,92853,91986,94830,95298,95824,96976,97891,101893,103202
"271","263","          Trust, fiduciary, and custody activities","DTRURX0",6995,7503,7463,6813,7499,7281,7194,6831,7522,7487,6988,7443,7528,7905,7604,7252,6921,6717,6739,6973,6981,7243,7309,7180,7182,7226,7519,8028,8421,8721,9008,9258,9434,9504,9530,9514,9382,9209,9091,9057,8588,8134,7991,8150,8553,8914,9168,9310,9344,9322,9256,9144,9019,8927,8872,8854,8777,8689,8635
"272","264","      Insurance","DINSRX0",260041,261037,263318,265929,273041,275315,276484,278828,277395,277929,278652,277191,271772,270654,272558,273254,272032,273391,275485,276926,277602,279131,283002,287133,292423,297839,301399,303622,302589,297762,295055,294914,299408,301950,302471,302968,301528,298317,291828,280580,269566,263983,264816,268496,274399,279978,282930,285638,286402,290035,295011,298439,300253,299780,299052,298078,299530,300646,300630
"273","265","        Life insurance (110)","DLIFRX0",79612,79240,79930,80849,85054,85479,84621,84818,82913,81655,80706,77694,71963,70949,71536,70483,68226,68918,71042,73659,77024,79728,82214,82862,82792,84064,85517,87460,89296,88100,87249,87399,88663,89120,88531,89010,89821,90623,89614,85160,80689,78482,79814,81093,82854,84685,86280,89272,92522,96020,99744,100836,100441,99155,97916,96921,97066,97289,96526
"274","266","        Net household insurance (111)","DFINRX0",6271,6204,6165,6150,6153,6163,6180,6200,6213,6194,6140,6037,5943,5849,5861,5856,5995,6034,6124,6260,6426,6574,6691,6777,6821,6804,6722,6572,6386,6336,6461,6764,7205,7612,7949,8212,8388,8425,8313,8047,7666,7364,7189,7140,7241,7361,7455,7523,7561,7573,7559,7519,7458,7409,7381,7375,7377,7378,7381
"275","267","          Household insurance premiums and premium supplements","DFIPRX0",14052,14170,14310,14464,14623,14783,14945,15105,15269,15493,15799,16182,16609,16911,17104,17069,17109,17048,17073,17165,17299,17415,17497,17541,17548,17590,17684,17825,18007,18218,18462,18736,19016,19226,19356,19398,19356,19282,19193,19083,18951,18819,18696,18581,18635,18738,18802,18824,18809,18824,18886,18994,19132,19251,19346,19413,19462,19514,19570
"276","268","          Less: Household insurance normal losses","DFIBRX0",7913,8069,8228,8384,8532,8673,8811,8944,9086,9320,9671,10149,10668,11063,11243,11213,11115,11015,10950,10906,10874,10842,10806,10765,10728,10787,10962,11254,11621,11882,12002,11973,11811,11614,11407,11186,10968,10857,10880,11036,11286,11454,11508,11441,11394,11377,11347,11301,11248,11251,11327,11475,11674,11843,11965,12038,12086,12136,12189
"277","269","        Net health insurance (112)","DHINRX0",120536,121843,123421,125158,128186,130032,131940,133814,133971,135627,137195,138778,139736,140578,142369,144551,145651,146083,145417,143294,139379,136915,136996,139200,143428,146951,149043,149943,148051,144661,142005,139865,140534,140619,140537,140133,138197,134853,130329,124811,119771,117752,118374,121663,126230,130298,132066,132314,130501,131324,133266,136218,138999,140220,140947,141007,142306,143205,143926
"278","270","          Medical care and hospitalization","DMINRX0",102503,103789,105246,106767,109574,111069,112574,113990,113552,114750,115904,117134,118089,119364,121151,122838,124871,126729,127003,125356,121449,118673,118155,119458,122588,125172,126554,126992,124790,121014,117884,115183,115311,115023,114784,114442,112763,109819,105819,100966,96729,95528,96931,100949,105981,110493,112842,113802,112681,113353,114168,115034,115051,114026,113245,112536,113850,114978,115928
"279","271","          Income loss","DIINRX0",1843,1891,1940,1990,2039,2089,2139,2190,2238,2280,2313,2337,2352,2370,2393,2422,2454,2481,2503,2516,2520,2523,2526,2528,2529,2535,2548,2568,2593,2618,2643,2667,2689,2705,2715,2718,2714,2710,2710,2711,2711,2705,2691,2668,2638,2611,2591,2576,2567,2562,2562,2566,2572,2579,2585,2591,2592,2592,2592
"280","272","          Workers' compensation","DPWCRX0",16618,16651,16767,16957,17209,17499,17827,18191,18575,18941,19281,19589,19618,19303,19355,19800,19072,17906,17097,16631,16499,16682,17178,17989,19025,19906,20549,20947,21142,21376,21709,22136,22609,22926,23055,22986,22719,22307,21770,21099,20310,19524,18770,18045,17566,17086,16460,15685,14935,15078,16301,18609,21715,24275,26006,26900,26846,26554,26263
"281","273","        Net motor vehicle and other transportation insurance (116)","DTINRX0",53587,53721,53815,53840,53798,53841,54014,54302,54645,54900,55043,55059,54814,54099,53711,53454,53371,53541,53970,54595,55377,56304,57371,58570,59761,60473,60609,60139,59257,58996,59601,61064,63139,64713,65582,65715,65170,64404,63535,62541,61435,60383,59442,58604,58062,57598,57086,56522,55893,55268,54672,54100,53555,53147,52913,52848,52847,52840,52845
"282","274","    Other services","DOTSRX0",719448,729084,737436,747869,763601,778550,794009,797791,798714,815593,814872,810953,811618,812875,808555,809911,826370,827555,833701,832696,843225,846064,851433,853030,857107,853017,855010,861256,868621,877729,880974,890087,900507,903326,896154,894703,899721,894506,891211,891575,881032,869930,872010,877513,877984,880983,886333,889817,895093,895129,896063,900624,911190,909811,913186,913599,907061,906197,909152
"283","275","      Communication","DCOMRX0",122566,127991,132989,136454,141265,148039,152132,153980,154507,157141,158130,157374,157905,159909,159460,159833,161492,163299,164771,164978,167389,171153,174014,175206,176463,178651,179843,180652,184449,188493,192240,200171,204931,209078,211974,216604,220291,221997,223278,220652,217774,216331,217102,220212,223482,225719,228332,230582,235977,239609,244474,244623,248595,250873,255568,261250,259854,259628,261276
"284","276","        Telecommunication services (71)","DTCSRX0",108190,112554,116242,117767,120713,125793,128850,130168,131575,134187,135183,133929,133551,134162,133568,132494,132607,133846,134457,133417,134715,137842,140263,140733,142247,144655,145744,146485,150403,153061,151115,151440,152276,152716,153139,155268,156457,156843,156799,154305,151043,149243,148511,149549,152018,152563,154105,154286,158435,159658,161331,160566,161442,162077,165192,168829,166730,168736,170979
"285","277","          Land-line telephone services, local charges","DLOCRX0",66332,68790,68700,68867,69500,71107,69655,70164,70612,69838,67952,67178,66118,65957,63918,61516,59844,57798,55249,54068,53073,52706,52322,52177,52366,51856,51179,50158,51667,52287,50943,49618,48536,47828,46733,46570,46763,46401,45801,43705,42022,40406,39768,39592,39481,39361,38711,38194,37307,36582,36301,35057,34921,34617,34653,35207,35640,34802,34593
"286","278","          Land-line telephone services, long-distance charges","DLDTRX0",34640,35442,36662,35531,35171,35772,36379,34757,32950,33306,32820,29665,28299,27152,27343,26781,26363,27430,28677,28732,28944,29432,29537,27897,27453,27260,26953,26456,26015,25645,23165,22798,22645,22540,22114,21993,21903,21556,21093,19936,18961,17902,17167,16515,15726,15205,14737,14571,14515,14429,14426,13946,13821,13649,13630,13831,14001,13671,13589
"287","279","          Cellular telephone services","DCELRX0",15951,17251,19027,21257,23639,26267,29150,31584,34412,36980,39798,42583,44485,46374,47184,48620,50444,52188,53666,53637,55521,58332,60828,62808,64443,67309,69187,71214,73956,76246,77763,79604,81542,82723,84557,86902,87961,89010,89992,90704,90075,90929,91566,93445,96877,98109,100869,101782,107097,109265,111324,112472,113689,114904,118164,121124,118199,121718,124459
"288","280","        Postal and delivery services (68)","DPSSRX0",14219,14163,14006,14039,14190,14073,13877,13908,13419,13266,13052,12640,12649,12743,11821,11429,11652,11829,12040,12329,12254,12006,12087,12300,12118,12212,12420,12510,13045,13122,12972,12872,12725,12881,12990,13081,13677,13417,13151,12914,12452,12107,11818,11655,11388,11418,11108,10959,10056,9908,9731,9453,9308,9108,9001,8962,8656,8520,8479
"289","281","          First-class postal service (by U.S. Postal Service)","DPSTRX0",11220,11179,11019,11017,11112,10972,10787,10850,10443,10361,10219,9885,9952,10087,9229,8864,9071,9243,9457,9760,9725,9524,9639,9882,9739,9858,10079,10173,10720,10767,10612,10477,10364,10533,10712,10836,11577,11393,11194,10904,10457,10121,9885,9722,9677,9729,9397,9219,8388,8250,8049,7726,7645,7456,7309,7289,6996,6861,6816
"290","282","          Other delivery services (by non-U.S. postal facilities)","DODSRX0",3016,3000,3015,3058,3122,3158,3156,3113,3036,2954,2875,2798,2725,2670,2637,2626,2632,2629,2614,2583,2539,2494,2454,2417,2378,2349,2332,2328,2314,2343,2349,2383,2348,2334,2266,2235,2104,2033,1971,2013,1995,1985,1933,1934,1720,1700,1716,1740,1659,1647,1661,1691,1634,1619,1649,1632,1613,1609,1611
"291","283","        Internet access (72)","DINTRX0",6014,6972,8180,9789,11292,12831,13842,14280,13882,14054,14201,14789,15491,16560,17215,18567,19654,20029,20586,21340,22303,23074,23453,23903,23883,23729,23695,23688,23314,24449,29046,35714,39697,43333,45757,48193,50097,51677,53288,53411,54276,54977,56771,59017,60094,61739,63129,65343,67587,70151,73526,74732,77978,79838,81570,83696,84724,82730,82243
"292","284","      Education services","DTEDRX0",212244,213080,213995,215914,218168,220183,222549,224282,225629,226494,225392,224020,221463,220093,220705,218968,219037,219531,218854,217883,216575,214551,212992,213213,213973,213824,214188,214823,215511,216138,216004,217820,218460,219316,219753,220321,220086,220346,221228,220190,219513,218736,219581,221606,223581,224590,225390,226240,227608,228419,228856,229933,230452,230802,231612,231269,230146,231507,232511
"293","285","        Higher education (97)","DHEDRX0",133367,134189,134826,136620,138100,139668,141304,142408,143688,144684,144959,143698,142014,141317,141967,141373,142135,143019,142899,142841,142077,140806,139698,140121,141038,141120,141991,142095,142632,143344,143003,143953,144132,144448,144476,144920,144921,144900,145550,145265,145390,145581,147115,148546,149419,149911,150761,151689,152933,153922,154835,155891,156528,157376,157838,158027,157771,158139,158323
"294","286","          Proprietary and public higher education","DGEDRX0",76877,77642,78548,79554,80588,81508,82299,82932,83388,83790,84181,84541,84873,85218,85642,86121,86810,87273,87412,87101,86387,85860,85646,85735,86043,86416,86834,87262,87669,88016,88321,88557,88705,88818,88953,89077,89162,89246,89370,89506,89702,90336,91525,93270,94098,94468,95059,95867,96802,97636,98338,98896,99287,99609,99901,100147,100385,100652,100942
"295","287","          Nonprofit private higher education services to households","DPEDRX0",56489,56546,56277,57066,57512,58159,59005,59476,60300,60894,60777,59156,57140,56100,56324,55252,55325,55746,55487,55740,55690,54946,54052,54386,54995,54704,55157,54833,54963,55328,54682,55396,55427,55630,55523,55843,55758,55654,56180,55760,55688,55245,55589,55276,55321,55443,55702,55822,56132,56287,56497,56996,57241,57767,57938,57880,57386,57487,57381
"296","288","        Nursery, elementary, and secondary schools (98)","DNEHRX0",40242,40218,39973,39959,39962,39858,39629,40040,40213,40211,39852,39764,39422,39237,39469,39018,38725,38412,37981,37649,37473,37346,37127,36756,36605,36378,36144,36074,36051,35945,35795,36266,36177,36115,36288,36132,35909,35830,35719,35608,35306,35020,34599,34334,34158,33890,33872,34003,34199,34534,34602,34627,34328,34063,34000,34010,33921,33854,33997
"297","289","          Elementary and secondary schools","DESCRX0",31467,31392,31252,31243,31113,30984,30869,31109,31189,31096,30721,30590,30339,30202,30285,30032,29611,29200,28779,28357,28159,27999,27708,27380,27278,27090,26798,26714,26720,26566,26262,26378,26177,25950,25996,25828,25658,25646,25686,25483,25181,24945,24584,24289,24236,24179,24120,23932,23822,23748,23715,23741,23577,23460,23480,23540,23575,23735,23974
"298","290","          Day care and nursery schools","DNSCRX0",8959,9002,8904,8898,9014,9032,8925,9086,9173,9253,9256,9292,9202,9155,9294,9103,9211,9292,9273,9348,9366,9395,9459,9414,9365,9324,9377,9390,9361,9406,9554,9901,10008,10168,10293,10304,10251,10185,10036,10127,10125,10075,10015,10046,9922,9710,9752,10073,10381,10795,10898,10897,10761,10612,10527,10476,10350,10115,10014
"299","291","        Commercial and vocational schools (99)","DVEDRX0",38136,38194,38720,38903,39674,40251,41225,41438,41368,41280,40355,40297,39762,39289,39035,38387,38047,38019,37920,37375,37011,36384,36147,36328,36344,36348,36107,36686,36860,36891,37231,37617,38155,38743,38974,39253,39244,39600,39943,39307,38813,38137,37870,38724,40007,40794,40754,40539,40463,39943,39390,39379,39548,39297,39706,39155,38365,39435,40130
"300","292","      Professional and other services (121)","DPRSRX0",161728,161880,161678,161787,162184,162072,163379,163272,164827,165779,167114,166457,165578,165347,166189,168109,170952,172880,172781,172852,172537,170707,172213,172706,173903,172427,170540,170379,170556,172665,173548,174522,176178,175576,174451,173510,173399,173431,171809,169655,165249,162204,160478,158240,158405,158416,158414,157706,157076,156559,155726,155282,155566,155573,156377,156213,153937,154098,154478
"301","293","        Legal services","DGALRX0",94773,95224,94944,94921,94094,94576,95181,94968,96181,95864,97348,97149,96598,96704,97404,98642,100607,100513,99102,97568,98112,96549,97466,98112,97973,96953,95623,95032,95291,96747,97068,97768,98855,97270,95942,94788,94611,95422,95274,94458,91698,90263,90060,88309,88325,88069,88415,88115,87560,87275,86678,86064,85908,85608,85903,85883,84028,84236,84537
"302","294","        Accounting and other business services","DPRORX0",22972,23313,23679,24027,24356,24670,24959,25218,25428,25612,25812,26006,26189,26398,26583,26741,27090,27540,28079,28726,29390,29847,30049,29971,29625,29357,29263,29291,29437,29707,30098,30611,31207,31698,32029,32196,32186,31817,31085,30041,28718,27587,26802,26343,26250,26267,26297,26296,26302,26292,26265,26220,26175,26128,26108,26130,26166,26214,26253
"303","295","          Tax preparation and other related services","DTAPRX0",16331,16607,16874,17120,17350,17611,17920,18273,18653,19014,19353,19662,19937,20168,20361,20512,20615,20809,21158,21638,22174,22473,22466,22139,21547,21047,20721,20564,20565,20688,20933,21297,21755,22214,22668,23107,23477,23553,23293,22687,21799,21007,20399,19974,19801,19722,19669,19642,19625,19586,19522,19430,19313,19223,19177,19173,19183,19191,19203
"304","296","          Employment agency services","DGENRX0",933,932,942,942,938,936,923,901,862,809,769,730,692,697,694,689,709,692,663,662,672,705,767,854,932,1006,1091,1147,1184,1236,1301,1384,1484,1559,1574,1537,1473,1352,1203,1083,950,834,784,780,797,835,886,908,949,988,1017,1040,1078,1089,1090,1097,1102,1116,1114
"305","297","          Other personal business services","DTHERX0",5641,5714,5803,5907,6014,6075,6082,6030,5928,5834,5760,5705,5669,5649,5649,5666,5880,6148,6372,6543,6666,6788,6918,7055,7193,7325,7451,7568,7673,7764,7842,7905,7940,7895,7761,7535,7227,6905,6588,6272,5969,5746,5619,5589,5650,5710,5743,5749,5731,5722,5731,5757,5795,5829,5856,5876,5898,5926,5954
"306","298","        Labor organization dues","DUNSRX0",14025,13993,13815,13631,13620,13488,13161,13007,12677,12567,12458,12188,12064,11975,11859,11853,12008,12165,12278,12307,12104,12027,12253,12118,11903,12022,11798,11929,12107,12076,12044,11980,12082,12202,12201,12252,12430,12642,12835,12902,12683,12602,12474,12261,12148,12065,11947,11876,11708,11661,11642,11737,11971,11960,11758,11409,11462,11584,11337
"307","299","        Professional association dues","DAXSRX0",6061,6204,6267,6380,6406,6428,6491,6616,6742,6757,6862,6915,6965,7077,7177,7176,7214,7256,7329,7363,7282,7215,7243,7217,7350,7446,7440,7676,7663,7799,7952,7964,8047,8086,8058,8071,7856,7696,7566,7448,7607,7742,7724,7518,7692,7591,7638,7691,7631,7844,7616,7473,7657,7477,7886,8282,8355,8742,8772
"308","300","        Funeral and burial services","DFUNRX0",23517,22783,22632,22512,23394,22603,23333,23222,23613,24843,24511,24097,23662,23088,23074,23621,23950,25360,25962,26892,25641,25064,25183,25274,27118,26690,26470,26499,26081,26371,26423,26234,26011,26346,26247,26224,26328,25856,25040,24798,24539,24009,23421,23811,23991,24430,24118,23724,23876,23482,23525,23799,23870,24429,24749,24520,23938,23324,23577
"309","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX0",101254,102350,103747,105392,107111,108309,108862,108719,107998,107494,107420,107757,108406,109015,109632,110136,110889,111753,112965,114362,115607,116865,117890,118698,119299,119563,119664,119497,119867,120533,121097,121526,120999,120516,120147,119869,119449,118576,117311,115650,111929,109548,108692,109380,110415,112293,113099,114389,114623,114339,115066,115577,116184,117930,118283,117050,114521,111812,111347
"310","302","        Personal care services","DPCSRX0",79285,80241,81488,82984,84579,85738,86345,86362,85886,85652,85836,86422,87335,88249,89216,90133,90895,91857,93177,94715,96187,97636,98854,99861,100663,101082,101285,101173,101608,102373,103057,103608,103312,103039,102858,102727,102606,102080,101116,99653,96430,94449,93794,94436,95625,97437,98212,99522,99752,99444,100122,100528,100898,102650,103141,102293,100296,97880,97448
"311","303","          Hairdressing salons and personal grooming establishments","DBBBRX0",38704,39025,39486,40066,40704,41187,41472,41542,41433,41439,41631,42002,42496,42925,43303,43569,44018,44632,45478,46504,47621,48737,49763,50696,51468,51867,51928,51572,52305,53436,54216,54607,54967,55190,55385,55527,55542,55443,55180,54734,53699,53375,53774,54894,55469,56096,56560,57470,57665,57682,58096,57994,58064,59117,59874,60169,60167,59662,59609
"312","304","          Miscellaneous personal care services","DMPCRX0",40947,41603,42411,43350,44332,45023,45349,45288,44905,44651,44632,44840,45259,45750,46354,47029,47338,47675,48131,48620,48940,49239,49397,49433,49435,49442,49590,49857,49518,49100,48978,49132,48444,47926,47533,47248,47110,46676,45967,44939,42735,41070,40014,39548,40167,41347,41662,42068,42103,41786,42051,42537,42826,43529,43296,42208,40301,38464,38102
"313","305","        Clothing and footwear services","DCFSRX0",21956,22097,22249,22400,22525,22565,22510,22351,22106,21836,21578,21329,21065,20762,20413,20004,19995,19898,19791,19652,19427,19238,19046,18848,18647,18492,18388,18332,18268,18168,18047,17925,17692,17480,17292,17146,16844,16497,16194,15996,15499,15099,14899,14944,14791,14858,14889,14870,14874,14898,14947,15052,15289,15283,15147,14764,14233,13940,13907
"314","306","          Laundry and drycleaning services","DDRYRX0",13675,13833,14012,14206,14398,14513,14544,14483,14342,14225,14153,14122,14115,14020,13830,13537,13563,13516,13460,13383,13239,13138,13039,12938,12840,12774,12746,12755,12780,12772,12724,12659,12511,12378,12264,12193,11972,11714,11505,11405,11117,10869,10755,10826,10735,10774,10795,10751,10743,10765,10826,10931,11144,11145,11038,10753,10390,10178,10152
"315","307","          Clothing repair, rental, and alterations","DLGRRX0",7719,7694,7662,7619,7554,7484,7406,7317,7222,7072,6883,6653,6380,6162,6002,5894,5873,5837,5796,5740,5661,5574,5481,5386,5286,5200,5127,5066,4980,4889,4817,4760,4674,4598,4527,4458,4387,4306,4222,4132,3929,3783,3703,3682,3624,3655,3665,3690,3700,3700,3686,3682,3704,3693,3660,3560,3391,3306,3297
"316","308","          Repair and hire of footwear","DSCLRX0",716,718,715,706,694,680,667,654,641,631,626,625,627,626,622,615,599,582,570,563,560,556,552,548,542,536,530,524,518,514,511,510,510,507,503,496,487,477,469,461,453,446,440,436,432,430,429,429,430,433,436,440,445,449,452,453,456,459,462
"317","309","      Social services and religious activities (120)","DSOCRX0",98545,99185,100042,101178,102220,103456,104311,106155,108440,109606,111070,111381,111761,112491,112999,114144,114494,115367,116678,117845,118557,119071,120645,120201,120886,122280,121983,123860,124683,124638,125790,126533,127636,129341,130327,131032,131078,131690,132184,132630,132613,132855,132939,134332,135578,135870,136447,137583,137413,138242,138093,138416,140084,139143,139555,139387,139437,139860,139615
"318","310","        Child care","DCHCRX0",26930,27024,26911,27026,27207,27277,27232,27741,28046,28167,28510,28350,28368,28412,28400,28464,28381,28409,28638,28930,28724,28866,29046,28539,28617,28543,28241,28501,28481,28544,28941,29621,30128,30458,30781,30959,30729,30770,30314,29890,30024,29985,30000,30721,30599,29807,29441,29590,29371,29833,29814,29885,29990,29921,29912,29882,29520,28857,28237
"319","311","        Social assistance","DSCWRX0",48985,49848,50863,52024,53099,54336,55385,56935,59004,60236,61525,62353,62996,63778,64319,65118,65541,66342,67334,68089,69081,69580,70853,71139,71946,73378,73529,74961,75648,75468,76082,76062,76459,77668,78352,79158,79593,80205,81078,81774,81911,82218,82484,83359,84393,85803,86704,87646,87758,87953,88252,88853,90038,89516,89216,88276,88609,88941,89187
"320","312","          Homes for the elderly","DELDRX0",9615,9855,10111,10342,10580,10888,11151,11519,12074,12372,12634,12829,13106,13270,13330,13405,13411,13469,13600,13704,13838,13830,14024,14105,14192,14544,14718,15033,15362,15491,15557,15437,15401,15495,15436,15583,15719,15837,15867,15872,15777,15780,15960,16231,16431,16733,17058,17474,17840,18135,18311,18434,18671,18646,18637,18746,19049,19073,19185
"321","313","          Residential mental health and substance abuse","DMENRX0",3327,3407,3520,3619,3707,3799,3887,3978,4116,4227,4350,4467,4552,4623,4672,4706,4854,5055,5194,5307,5412,5452,5620,5749,5891,6050,6022,6020,5961,5931,5972,6010,6174,6383,6486,6619,6718,6803,6872,6911,6915,6939,7017,7104,7222,7347,7407,7467,7364,7331,7329,7301,7429,7527,7633,7671,7679,7726,7768
"322","314","          Individual and family services","DFAMRX0",23287,23600,24001,24394,24788,25329,25798,26416,27321,27888,28459,28801,28945,29210,29355,29652,29628,29876,30239,30590,31058,31186,31669,31233,31397,31808,31737,32754,33295,33349,33843,33972,34338,34974,35347,35782,35670,35878,36537,37142,37336,37557,37675,37986,38336,39082,39547,39893,39828,39721,39968,40365,41191,40891,40441,39678,39769,40047,40093
"323","315","          Vocational rehabilitation services","DVOCRX0",5976,6053,6106,6377,6547,6639,6661,6889,6994,7043,7129,7069,7061,7118,7213,7376,7611,7774,7895,8012,8115,8273,8474,8684,8784,8922,8944,8912,8731,8556,8446,8291,8178,8192,8188,8206,8305,8374,8443,8453,8654,8809,8847,8793,8928,9132,9176,9245,9311,9333,9187,9107,9057,8872,9007,8907,8743,8613,8562
"324","316","          Community food and housing/emergency/other relief services","DCFORX0",2800,2908,3016,3141,3285,3427,3551,3718,3931,4031,4156,4299,4385,4536,4669,4818,4852,4960,5185,5267,5444,5629,5822,6110,6344,6630,6726,6853,6927,6827,6960,7029,7011,7148,7366,7421,7621,7765,7849,7954,7911,7882,7772,8048,8242,8234,8237,8268,8156,8199,8227,8398,8392,8260,8104,7889,7974,8041,8100
"325","317","          Other social assistance, not elsewere classified","DSIARX0",3875,3924,4009,4054,4099,4164,4250,4332,4488,4596,4720,4818,4884,4961,5024,5106,5130,5155,5176,5167,5175,5174,5212,5230,5314,5403,5360,5372,5357,5299,5293,5313,5349,5470,5527,5547,5559,5546,5511,5443,5318,5251,5213,5197,5233,5275,5279,5299,5261,5236,5231,5244,5297,5323,5402,5401,5414,5463,5502
"326","318","        Social advocacy and civic and social organizations","DSADRX0",15791,15521,15480,15383,15237,15208,15093,14960,14900,14769,14689,14388,14192,14151,14160,14440,14402,14382,14400,14448,14258,14072,14136,13859,13662,13662,13479,13617,13713,13712,13746,13701,13738,13791,13755,13551,13537,13613,13743,13935,13671,13660,13482,13304,13714,13534,13655,13751,13726,13899,13535,13255,13649,13358,14045,14767,14836,15543,15671
"327","319","        Religious organizations' services to households","DRELRX0",6438,6399,6355,6304,6244,6191,6151,6121,6096,6065,6026,5978,5923,5876,5844,5826,5820,5826,5850,5884,5922,5950,5962,5958,5937,5916,5899,5885,5874,5886,5926,5994,6076,6124,6129,6087,6008,5946,5914,5913,5931,5935,5918,5879,5764,5640,5549,5489,5455,5425,5397,5370,5343,5324,5315,5315,5319,5323,5327
"328","320","        Foundations and grantmaking and giving services to households","DGIVRX0",1144,1111,1077,1043,1006,962,911,852,790,729,672,619,570,537,518,512,547,582,620,658,695,727,752,768,775,794,829,880,937,1006,1085,1175,1267,1328,1341,1308,1230,1172,1134,1112,1076,1058,1056,1067,1107,1099,1122,1133,1137,1159,1130,1097,1115,1074,1109,1165,1187,1244,1261
"329","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRX0",62054,61377,61377,61865,63887,64001,63701,62956,62286,61514,60436,59141,58845,59087,59167,59179,59864,60145,60717,61537,62661,63565,64108,64465,64272,64114,64061,64130,64316,64391,64636,64972,65705,66163,66586,67168,67245,66691,65547,64436,62426,60667,59393,58842,58561,58208,58200,58947,59520,60189,61172,61966,62683,63216,63747,64495,64616,64751,64908
"330","322","        Domestic services","DDMSRX0",26390,25358,24978,25085,26775,26755,26545,26129,25983,25689,24982,23959,23864,24297,24565,24779,25455,25432,25492,25630,25985,26215,26250,26286,25892,25659,25589,25396,25581,25801,26047,25814,26128,26468,26964,27335,27366,27312,26961,26420,25631,24836,24054,23280,22673,22289,22107,22056,22257,22796,23432,24372,25443,26330,27047,27490,27692,27843,27993
"331","323","        Moving, storage, and freight services","DMSERX0",15269,15443,15659,15909,16155,16248,16156,15872,15423,14965,14532,14118,13733,13431,13231,13124,12997,13017,13210,13561,14016,14394,14634,14723,14736,14679,14621,14838,14869,14688,14528,14771,14929,14884,14758,15000,15204,14950,14464,14245,13542,12936,12606,12796,12980,12827,12656,13099,13220,13411,13759,13995,14049,14165,14360,14594,14577,14472,14467
"332","324","        Repair of furniture, furnishings, and floor coverings","DFRERX0",2849,2790,2738,2690,2643,2580,2497,2394,2278,2172,2081,2001,1934,1885,1853,1838,1826,1811,1787,1755,1716,1685,1667,1660,1659,1658,1655,1648,1636,1617,1596,1571,1540,1512,1486,1461,1439,1402,1351,1287,1178,1108,1077,1082,1063,1039,1051,1066,1054,1022,1038,1019,1025,1006,978,1014,1010,1037,1047
"333","325","        Repair of household appliances","DERERX0",5840,5807,5778,5748,5713,5660,5589,5496,5387,5283,5190,5106,5033,4988,4974,4990,5089,5186,5280,5365,5429,5459,5448,5389,5291,5217,5175,5165,5182,5222,5277,5349,5297,5237,5174,5108,5026,4947,4872,4800,4638,4508,4417,4364,4340,4323,4411,4498,4531,4425,4498,4412,4404,4301,4179,4294,4273,4361,4396
"334","326","        Other household services","DMHSRX0",11660,11907,12120,12289,12417,12549,12696,12858,13034,13257,13537,13877,14244,14483,14562,14478,14559,14778,15024,15277,15532,15799,16083,16379,16663,16875,17002,17036,17000,17041,17194,17459,17798,18058,18213,18255,18188,18062,17895,17681,17436,17279,17241,17320,17511,17736,17977,18231,18464,18549,18460,18195,17789,17457,17247,17158,17122,17082,17045
"335","327","      Net foreign travel","DFORRX0",-18794,-18980,-20555,-19659,-17262,-15608,-10194,-11056,-14301,-2391,-6629,-8756,-5273,-7010,-13546,-14256,-4798,-10819,-8650,-12367,-6298,-7025,-8370,-9493,-9736,-16170,-13792,-10754,-9823,-8544,-12094,-15649,-13944,-17289,-27371,-33861,-32110,-37982,-39720,-31718,-28464,-30423,-26158,-25113,-31976,-34018,-33490,-35498,-36764,-41534,-46115,-44096,-41224,-46198,-49984,-53449,-52811,-52937,-52428
"336","328","        Foreign travel by U.S. residents (129)","DFTRRX0",103025,102910,103313,106942,112465,115418,116741,117294,115835,122379,107440,89565,104373,102166,96663,104810,101325,87352,98165,103280,107240,109290,107305,107764,108979,107293,105237,107263,108623,110586,107735,107942,106705,106270,104527,102847,105126,101230,100562,103140,98655,94804,98911,99362,97435,96144,99121,99475,97791,97142,94907,95351,100071,99310,98259,95980,99069,101592,102744
"337","329","          Passenger fares for foreign travel","DAFTRX0",39037,37291,36651,38852,40000,42044,43017,41159,40880,42876,37958,27659,34946,34543,30896,34909,34463,31095,34852,36853,39442,41275,39935,40631,40512,41115,40789,40180,40709,43283,41603,41007,40126,41810,40363,39009,40315,39696,38487,38147,34192,34975,37465,38000,35950,35580,36107,36356,36686,35155,32528,31689,33577,32261,32301,30938,33048,34699,35626
