"","Table 7#5# Chain-Type Quantity and Price Indexes for Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"176","167","      Taxicab (80)","BTAXRG",7.23,7.06,5.4,3.92,3.59,4.64,5.07,5.5,6.39,6.35,7.01,6.17,6.34,6.6,7.34,6.34,7.16,7.77,8.81,8.61,9.86,10.83,11.26,11.34,11.54,11.57,12.64,13.04,13.54,13.27,14.15,14.23,14.63,15.5,15.9,16.82,17.31,18.03,19.11,20.18,20.97,22.24,24.18,25.51,26.32,29,31.99,33.8,36.25,38.8,42.17,49.36,53.96,56.97,57.73,59.1,60.78,62.62,66.61,71.78,73.4,76.29,82.69,85.1,87.51,88.67,90.22,100,103.92,101.64,100.32,101.74,104.81
"177","168","    Purchased intercity transportation","B480RG",20.72,20.43,19.51,17.98,16,15.18,15.53,14.74,13.46,13.82,13.56,12.98,13.09,14.6,15.16,15.54,15.55,15.78,16.92,18.41,19.26,19.52,19.92,20.21,20.3,19.93,19.65,20.09,20.91,22.01,22.9,24.05,24.99,25.88,24.71,24.71,24.91,25.1,25.36,26.04,27.9,30.04,32.43,33.29,34.59,37.56,41.21,44.6,47.57,49.6,53.26,70.38,83.03,82.89,84.95,89,88.37,81.27,85.11,90.93,96.3,99.93,98.89,100.13,106.1,102.04,103.39,100,105.03,104.09,103.6,110.06,104.32
"178","169","      Railway (82)","BIRRRG",13.15,13.04,12.28,10.91,9.56,8.94,8.98,8.41,8.2,8.7,8.53,8.1,8.14,9.08,9.27,9.55,9.6,10.03,11.04,12.39,13,13.25,13.49,13.46,13.48,13.18,13.01,13.44,14.28,14.7,14.99,15.24,15.71,15.86,15.4,15.44,15.48,15.46,15.54,15.83,16.79,18.23,19.72,19.33,19.11,21.03,23.53,25.72,28.03,30.22,32.99,38.89,46.19,51.88,55.87,58.96,61.1,64.73,68.34,72.04,80.18,83.35,85.66,86.87,88.2,89.09,93.87,100,99.88,102.3,106.09,109.43,114.76
"179","170","      Bus (83)","BIBURG",14.71,14.32,14.14,14.39,12.42,11.88,13.18,12.44,8.92,8.82,8.47,8.18,8.25,9.35,10.02,10.11,10.14,9.94,10.22,10.44,11.05,11.28,11.65,12.11,12.29,12.05,11.87,12.33,13.27,14.07,15.02,15.75,15.56,15.83,16.1,16.27,16.67,17.12,17.8,18.73,19.71,21.11,23.63,24.96,25.96,28.6,33.09,35.05,39.73,42.8,46.41,52.94,60.4,65.69,71.46,77.64,82.98,91.55,89.97,93.44,96.01,98.32,102.89,104.55,101.28,101.14,98.11,100,100.43,105.89,108.35,113.22,117.09
"180","171","      Airline (84)","BIAIRG",37.35,24.9,24.9,21.79,21.79,18.35,19.37,19.37,19.37,17.01,18.35,17.24,17.43,19.09,19.92,20.99,19.57,18.33,19.93,22.8,23.19,22.8,23.01,23.28,23.25,22.9,22.58,22.56,22.56,24.12,25.05,26.81,28.55,30.03,27.86,27.73,27.86,27.92,27.96,28.55,30.73,33.09,35.55,36.4,37.91,41.04,44.69,48.47,51.37,53.39,57.29,77.51,91.46,89.36,90.7,94.61,92.88,82.87,87.3,94.13,100.02,103.21,101.11,102.43,108.95,103.44,104.93,100,106.08,104.56,103.18,109.82,102.55
"181","172","      Other (85)","BTRORG",12.91,12.62,12.69,12.62,12.52,12.79,12.59,12.82,12.82,12.21,12.41,12.31,12.74,13.02,13.39,13.92,13.92,13.92,13.89,14.68,14.17,14.02,14.02,14.02,13.71,13.81,13.71,13.82,13.82,13.82,14.31,14.51,14.95,15.42,15.53,15.7,15.93,16.66,17.35,18.15,19.4,20.99,22.07,22.77,23.81,26.01,28.36,30.72,32.4,33.23,35.3,43.96,54.39,60.1,62.68,66.28,69.02,72.69,74.61,75.1,77.93,84.68,86.81,87.43,94.9,96.49,98.19,100,101.48,101.07,104.42,110.66,111.27
"182","173","  Medical care","B494RG",4.83,4.85,4.47,3.93,3.9,4.07,4.3,4.41,4.53,4.63,4.6,4.73,4.84,5.16,5.56,5.92,6.21,6.73,7.32,7.65,7.58,7.65,7.78,8.22,8.73,9.09,9.31,9.48,9.88,10.24,10.54,10.96,11.28,11.58,11.84,12.21,12.62,13.25,14.1,15.13,16.08,17.12,18.06,18.99,19.84,21.44,23.64,25.74,28.25,30.95,33.58,37.17,41.61,46.15,49.66,53.07,55.9,57.81,60.5,65.15,70.63,76.04,80.48,85.26,90.35,94.15,97.87,100,102.3,104.82,107.03,110.19,114.27
"183","174","    Physicians (47)","BPHYRG",4.81,4.92,4.56,3.92,3.94,4.06,4.32,4.41,4.48,4.64,4.61,4.77,4.86,5.14,5.59,5.95,6.1,6.39,6.73,7.01,7.04,7.08,7.26,7.66,8.06,8.38,8.76,9.15,9.53,9.85,10.18,10.43,10.67,10.98,11.23,11.54,11.91,12.66,13.52,14.27,15.32,16.44,17.55,18.11,18.68,20.42,22.9,25.51,27.86,30.14,32.94,36.42,40.41,44.2,47.67,50.98,53.94,57.86,62.12,66.57,71.45,76.59,81.1,86.2,91,95.55,99.31,100,101.34,103.51,105.29,107.11,110.16
"184","175","    Dentists (48)","BDENRG",5.79,5.95,5.5,4.64,4.6,4.72,5.06,5.14,5.32,5.54,5.49,5.71,5.77,6.15,6.58,7.1,7.4,7.84,8.41,8.85,9.12,9.22,9.46,9.76,10.32,10.79,11.01,11.35,11.64,11.98,12.28,12.53,12.59,12.96,13.31,13.67,14.12,14.57,15.3,16.14,17.28,18.25,19.43,20.21,20.87,22.43,24.77,26.39,28.34,30.31,32.85,36.76,40.27,43.39,46.3,50.05,53.22,56.17,59.98,64.01,67.93,72.36,77.7,82.85,87.12,91.21,95.6,100,104.64,109.07,114.17,119.4,124.23
"185","176","    Other professional services (49)","BOPSRG",6.27,6.41,5.92,5.14,5.14,5.36,5.64,5.78,5.85,6.13,5.99,6.2,6.41,6.69,7.33,7.82,7.96,8.31,8.81,9.16,9.23,9.3,9.51,10.01,10.5,10.99,11.49,11.98,12.4,12.9,13.34,13.69,14.02,14.45,14.79,15.12,15.63,16.6,17.72,18.75,20.01,21.55,22.95,23.66,24.53,26.76,30.1,33.49,36.6,39.42,42.11,46.85,51.25,54.67,58,60.6,64.82,68.32,70.48,74.49,78.41,82.51,86.66,90.09,92.85,96.44,98.27,100,103.94,106.45,108.34,111.13,114.62
"186","177","    Hospitals and nursing homes (50)","BPHORG",3.43,3.23,3.04,2.85,2.73,2.85,2.98,3.04,3.17,3.11,3.11,3.17,3.3,3.55,3.81,4.12,4.44,5.14,6.22,6.72,6.85,7.17,7.74,8.12,8.44,8.63,8.88,9.13,9.58,10.02,10.24,10.9,11.2,11.44,11.83,12.29,12.66,13.08,13.93,14.88,15.93,17.19,17.88,18.75,19.86,21.83,24.21,26.39,28.52,31.02,34.24,38.31,43.13,47.74,51.4,54.62,57.44,59.81,63,67.47,72.66,77.83,83.08,87.61,91.33,94.23,97.2,100,101.95,104.31,106.64,110.32,114.8
"187","178","    Health insurance (56)","BHINRG",6.3,6.37,5.04,4.32,4.78,5.8,6.03,6.61,7.07,7.17,7.22,7.22,7.19,7.94,8.31,8.09,9,9.65,9.19,8.92,7.55,7.02,5.79,6.48,7.49,8.18,7.75,6.99,7.36,7.45,7.78,8.12,8.76,9.04,8.85,9.05,9.52,10.34,10.94,12.98,12.8,12.46,13.38,15.53,15.92,15.05,14.67,14.64,18.87,23.42,22.71,22.98,26.66,33.78,36.91,41.64,42.53,34.7,30.31,36.96,47.89,57.09,56.69,63.39,80.66,87.45,98.51,100,102.61,105.87,107.15,110.6,116.28
"188","179","  Recreation","B490RG",10.26,10.06,9.58,9.09,8.58,8.67,8.79,8.99,9.34,9.5,9.44,9.49,9.82,10.35,11.14,12.49,13.13,14.03,15.15,15.74,15.99,16.17,16.74,17.33,18.13,18.9,19.54,20.15,20.9,21.7,22.26,22.98,23.5,24.01,24.52,25.28,25.97,26.85,27.81,29.43,30.81,32.35,33.83,34.69,35.92,38.28,40.93,42.7,44.52,46.95,50.04,53.7,57.26,60.11,62.62,65.36,67.91,70.48,72.96,75.76,79.15,83.31,87.49,90.05,92.76,94.56,96.82,100,103.09,105.76,108.78,112.81,116.58
"189","180","    Admissions to specified spectator amusements (96)","B481RG",8.38,8.29,7.95,7.55,6.96,6.9,6.99,7.12,7.34,7.53,7.42,7.58,7.92,8.32,8.98,10.38,10.89,11.23,11.75,11.83,12.07,12.03,12.25,12.41,12.92,13.65,14.32,14.64,15.19,15.74,16.17,17.06,17.78,18.45,19.1,20.29,21.52,22.68,24.02,25.98,27.69,29.75,31.24,32.13,33.33,35.51,38.19,39.68,41.24,43.67,46.87,49.29,51.33,54.14,57.54,61.01,64.03,66.45,69.55,72.74,77.86,82.58,87.15,88.1,89.02,92.06,95.29,100,102.79,104.98,110.54,117.45,122.96
"190","181","    Other (94+100+101+102+103)","B491RG",9.92,9.61,9.09,8.62,8.35,8.62,8.75,8.97,9.41,9.5,9.51,9.4,9.61,10.17,10.91,11.72,12.34,13.8,15.49,16.61,16.82,17.22,18.08,19.01,19.94,20.62,21.14,21.9,22.72,23.6,24.2,24.79,25.19,25.61,26.05,26.64,27.11,27.87,28.68,30.15,31.4,32.76,34.22,35.06,36.28,38.67,41.3,43.12,44.99,47.4,50.44,54.35,58.19,61.04,63.38,65.98,68.44,71.03,73.42,76.17,79.3,83.39,87.51,90.29,93.24,94.87,97.01,100,103.13,105.85,108.57,112.27,115.85
"191","182","  Other","B178RG",6.76,6.56,6.01,5.48,5.23,5.4,5.46,5.61,5.86,5.82,5.82,5.88,6.14,6.58,7.1,7.62,7.96,8.55,9.29,9.9,10.19,10.52,11.18,11.45,12.05,12.44,12.94,13.68,14.19,14.53,15.05,15.51,15.81,16.26,16.54,17,17.42,18.15,18.67,19.6,21.02,22.15,23.18,24.31,25.82,29.15,31.89,32.94,34.79,38.35,42.06,47.06,50.92,53.88,57.39,59.82,62.99,66.97,70.73,74.01,76.44,79.53,84.03,88.75,90.42,92.57,96.29,100,104.68,107.72,110.75,114.26,116.35
"192","183","    Personal care","B488RG",8.2,8.14,7.95,7.5,7.16,7.2,7.15,7.1,7.46,7.6,7.59,7.58,7.83,8.58,9.36,10.12,10.39,11,11.92,12.52,12.77,12.98,13.89,14.23,14.64,14.8,15.15,15.77,16.43,16.81,17.24,17.82,18.11,18.38,18.76,19.04,19.48,20.23,21.15,22.16,23.17,24.24,25.07,25.59,27.2,30.04,32.83,35.87,39.08,43.17,47.5,52.7,57.7,61.54,64.54,67.5,70.5,72.94,75.65,78.58,82.48,86.31,89.46,91.38,93.8,96.19,97.78,100,102.81,104.38,107.03,110.64,115.18
"193","184","      Cleaning, storage, and repair of clothing and shoes (17)","B478RG",9.39,9.33,9.18,8.89,8.56,8.48,8.36,8.2,8.42,8.53,8.49,8.45,8.63,9.3,9.72,10.26,10.4,10.92,11.94,12.55,12.91,13.16,14.09,14.3,14.72,14.81,15.03,15.63,16.25,16.59,16.98,17.69,17.91,18.19,18.54,18.79,19.18,19.93,20.79,21.55,22.49,23.57,24.37,24.8,25.91,28.78,31.27,33.5,35.81,39.52,44.41,50.43,56.09,60.21,63.33,66.55,69.67,72.37,75.42,78.54,82.53,86.34,89.91,92.11,94.58,97.04,98.39,100,102.43,103.69,105.9,108.79,113.45
"194","185","      Barbershops, beauty parlors, and health clubs (22)","BBBBRG",6.46,6.49,6.38,5.83,5.54,5.62,5.62,5.67,6.15,6.36,6.36,6.36,6.57,7.31,8.53,9.57,10.04,10.86,11.47,11.92,12.06,12.16,12.88,13.48,13.86,14.12,14.68,15.34,16.08,16.58,17.06,17.57,17.96,18.21,18.67,18.96,19.47,20.24,21.25,22.54,23.59,24.65,25.51,26.08,28.37,31.3,34.27,38.43,42.87,47.56,51.27,55.46,59.68,63.21,66.05,68.71,71.53,73.62,75.92,78.6,82.42,86.28,88.82,90.31,92.67,94.95,96.91,100,103.38,105.51,108.83,113.1,117.02
"195","186","      Other (19)","BCOTRG",7.69,7.29,6.47,5.73,5.26,5.66,5.81,5.88,6.37,6.26,6.32,6.54,7.47,8.62,9.98,11.19,11.66,12,13.48,14.63,14.11,14.38,16.2,16.49,16.99,17.3,17.6,18.1,18.46,18.57,18.81,18.93,19.18,19.36,19.5,19.85,20.28,20.86,21.64,22.49,23.56,24.57,25.39,25.99,26.93,29.48,32.44,34.47,36.6,40.06,44.73,50.71,56.24,60.29,63.39,66.58,69.74,72.45,75.46,78.57,82.52,86.34,89.9,92.16,94.61,97.06,98.4,100,102.4,103.53,105.7,109.01,114.11
"196","187","    Personal business","B479RG",5.19,5.02,4.5,4.01,3.8,3.94,4.03,4.22,4.41,4.31,4.28,4.38,4.6,4.89,5.24,5.7,6.01,6.51,6.99,7.49,7.83,8.19,8.73,9.12,9.89,10.36,11.04,11.87,12.32,12.65,13.19,13.78,14.14,14.72,14.9,15.53,15.84,16.62,17.04,18,19.75,21.03,21.81,23,24.18,26.83,29.39,29.5,30.73,34.94,38.2,42.67,45.82,49.12,53.78,56.64,61.15,65.76,70.83,73.62,75.48,78.37,83.62,89.27,90.36,92.03,95.85,100,105.81,109.38,111.87,115,115.31
"197","188","      Brokerage charges and investment counseling (61)","BBRORG",2.87,2.87,2.64,2.29,2.18,2.52,2.29,2.64,2.64,2.64,2.75,2.75,2.87,2.87,4.01,4.13,4.7,5.85,5.39,6.54,6.77,7.34,8.15,8.49,8.83,11.36,13.77,15.49,15.72,18.13,18.62,20.57,21.48,25.63,30.67,30.22,27.92,30.79,29.07,35.27,38.03,37.23,45.61,52.28,48.48,49.86,58.25,62.5,62.73,77.9,81,100.19,110.99,117.07,110.94,103.51,107.32,114.76,112.99,113.14,115.96,115.81,115.07,115.83,111.41,102.33,101.27,100,100.66,96.3,90.27,89.38,86.13
"198","189","      Bank service charges, trust services, and safe deposit box rental (62)","BBNKRG",2.61,3.4,3.78,4.45,4.2,4.24,4.71,5,5.45,6.1,6.04,6.27,6.27,6.31,6.18,6.22,6.06,6.85,8.09,9.07,9.71,9.21,9.37,9.71,10.04,10.66,11.05,12.49,13.56,14.39,14.77,15.25,15.55,15.78,16.01,16.31,16.31,16.43,16.84,17.37,17.55,18.09,18.62,18.14,17.91,17.67,20.04,21.46,22.39,23.89,25.88,29.37,34.31,39.53,44.82,48.96,52.17,55.61,58.78,62.32,65.72,70.06,75.59,79.81,84.14,89.44,94.64,100,104.93,107.86,111.25,116.32,121.14
"199","190","      Services furnished without payment by financial intermediaries except life insurance carriers (63)","BIMPRG",4.84,4.46,3.59,3.09,3.02,2.97,3.18,3.33,3.51,3.32,3.18,3.33,3.55,3.78,4.1,4.64,4.87,5.59,6,6.34,6.75,7.29,7.74,8.1,9.7,10.07,11.08,12.24,12.51,12.2,13,13.7,14.06,14.47,13.58,14.68,15.27,16.43,17.05,17.29,20.63,22.39,21.81,22.62,24.22,28.61,31.75,28.83,28.87,35.15,39.25,43.45,44.54,46.1,51.58,54.19,59.4,64.21,71.31,73.67,73.35,74.56,82.04,90.23,89.16,90.69,95.54,100,108.4,113.09,116.07,117.33,114.13
"200","191","      Expense of handling life insurance and pension plans (64)","BLIFRG",6.45,6.25,5.8,5.09,4.77,5.03,5.09,5.29,5.54,5.35,5.29,5.41,5.61,6.06,6.45,6.83,7.03,7.54,7.86,8.44,8.83,9.28,9.93,10.25,10.76,11.02,11.28,11.79,12.25,12.7,13.3,13.87,14.28,14.76,15.11,15.68,16.07,16.65,17.23,18.23,19.13,20.28,21.18,22.28,23.5,25.22,27.04,29.17,31.85,34.53,37.07,40.14,42.73,45.31,48.75,51.81,56.65,61.55,66,69.94,73.03,77.28,80.32,84.9,88.06,90.67,94.05,100,105.47,111.27,116.88,125.35,129.48
"201","192","      Legal services (65)","BGALRG",3.11,3.15,3.01,2.84,2.65,2.63,2.63,2.72,2.77,2.72,2.7,2.77,2.86,2.99,3.2,3.72,4.19,3.96,4.45,4.71,4.97,5.2,5.58,6.15,6.62,7,7.5,8.17,8.69,8.99,9.23,9.5,9.7,9.84,10.04,10.57,11.18,11.51,12.11,12.57,13.65,15.12,16.39,17.99,19.67,21.28,22.75,24.29,25.98,27.78,30.15,34.16,38.73,43.9,49.98,54.61,58.19,62.04,66.97,69.57,73.59,78.87,83.18,87.38,90.85,93.65,96.62,100,104.07,108.81,114.05,119.99,126.4
"202","193","      Funeral and burial expenses (66)","BFUNRG",6.73,6.32,5.66,4.95,4.7,4.84,5.13,5.28,5.68,5.72,5.85,5.91,6.46,6.81,7.16,7.84,8.32,8.61,9.28,9.58,9.97,10.08,10.48,10.88,11.17,11.47,11.71,11.94,12.46,13.06,13.43,13.82,14.21,14.59,14.98,15.3,15.49,15.81,16.26,16.9,17.61,18.31,19.02,19.67,20.5,21.92,23.27,24.29,25.36,27.02,29.29,33.25,37.63,42.72,48.51,52.99,56.43,60.14,64.25,66.7,69.6,73.87,78.43,81.99,85.78,89.99,95.32,100,105.19,109.09,112.76,115.99,120.17
"203","194","      Other (67)","BPBORG",9,8.7,7.93,7.51,7,7.04,7.11,7.24,7.33,7.1,7.08,7.03,7.36,8.01,8.42,8.82,9.05,10.14,11.47,12.38,12.31,12.68,13.81,13.95,14.17,14.41,14.59,15.06,15.54,15.85,16.17,16.33,16.42,16.61,16.84,17.12,17.47,17.84,18.36,19.05,20.06,21.23,22.27,23.14,24.46,27.64,30.11,31.91,34.01,36.29,39.75,45.3,50.45,54.48,57.79,60.59,62.76,65.52,68.42,72.19,75.69,79.25,83.06,86.22,89.13,92.82,96.24,100,103.27,106.93,110.56,114.85,119.9
"204","195","    Education and research","B482RG",6.59,6.62,6.32,6.14,5.57,5.68,5.63,5.68,5.81,5.85,5.86,5.85,6.13,6.47,7.08,7.58,7.84,8.42,9.17,9.83,10,10.22,10.81,10.93,11.1,11.33,11.58,12.17,12.62,12.95,13.43,13.73,14,14.36,14.71,15.08,15.59,16.29,16.97,17.75,18.82,20.08,21.14,22.21,23.87,26.99,29.38,31.52,33.58,35.51,39.02,43.47,48.17,51.77,54.73,57.86,60.61,63.23,66.38,70.25,74.02,77.79,81.96,85.88,89.23,92.58,96.09,100,103.62,107.27,111.2,116.06,120.71
"205","196","      Higher education (105)","BHEDRG",6.12,6.12,5.88,5.59,5.17,5.29,5.23,5.29,5.41,5.47,5.47,5.41,5.59,5.89,6.36,6.78,7.13,7.61,8.08,8.5,8.62,8.8,9.21,9.27,9.33,9.57,9.81,10.16,10.4,10.52,11.06,11.34,11.62,12.07,12.51,12.98,13.54,14.22,14.95,15.85,16.92,18.11,19.24,20.3,21.42,23.27,24.98,26.71,28.47,30.23,32.8,36.07,40.1,44.16,47.5,50.85,54.22,57.42,60.57,64.22,68.24,72.84,78.05,83.11,87.72,92.02,95.85,100,103.84,107.73,110.91,115.05,119.14
"206","197","      Nursery, elementary, and secondary schools (106)","BEEDRG",5.85,5.7,5.4,5.77,4.87,4.95,4.95,4.95,5.1,5.1,5.1,5.17,5.55,5.85,6.37,6.97,7.35,7.95,8.92,9.97,10.19,10.57,11.4,11.7,12.15,12.44,12.82,13.42,14.02,14.54,14.89,15.28,15.65,15.85,16.03,16.12,16.5,17.13,17.6,18.06,19.18,20.84,21.87,22.99,26.13,31.45,35.01,38.09,40.36,41.83,46.76,52.36,57.84,60.64,63.34,66.44,68.44,70.3,73.63,77.85,81.68,84.73,87.31,89.91,91.86,93.83,96.61,100,103.41,106.65,109.59,114.03,118.7
"207","198","      Other (107)","BOEDRG",9.47,9.73,9.28,8.65,8.02,8.13,8.07,8.15,8.31,8.31,8.42,8.41,8.82,9.35,10.48,11.08,10.92,11.78,13.16,14.11,14.38,14.5,15.36,15.4,15.58,15.68,15.81,17.16,18.09,18.93,19.39,19.58,19.58,19.85,20.11,20.56,21.09,21.91,22.63,23.4,24.34,25.26,26.03,26.95,28.4,33.08,36.14,38.44,41.13,44.22,48.9,55.68,61.47,64.2,65.91,68.08,69.5,71.12,73.94,78.01,81.07,83.4,86.51,88.8,90.35,92.69,96.15,100,103.35,106.82,113.07,119.63,125.31
"208","199","    Religious and welfare activities (108)","BRAWRG",9.31,8.86,8.02,7.42,7.27,7.72,7.8,8.02,8.48,8.18,8.17,8.17,8.55,9.31,9.84,10.14,10.45,11.51,13.47,14.46,14.53,15.14,16.43,16.35,16.58,16.95,17.33,18.01,18.77,19.15,19.73,19.97,20.14,20.31,20.61,20.77,21.21,21.73,22.26,23.16,24.6,25.52,26.84,28.07,29.77,34.14,37.23,39.32,42.01,44.97,49.29,55.79,60.74,63.63,65.6,67.94,69.42,71.38,74.08,78.03,81.5,84.18,87.28,89.84,92.01,93.71,97.28,100,102.7,105.53,109.73,115.28,119.95
"209","200","    Net foreign travel"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","201","      Foreign travel by U.S. residents (110)","BFTRRG",18.43,17.05,14.22,11.75,12.04,12.62,13.2,13.71,14.1,14.4,15.44,15.44,15.16,15.02,15.25,16.15,20.09,21.07,20.57,21.99,22.57,22.36,21.86,21.56,23.09,23.93,23.74,24.36,24.44,24.62,25.31,24.8,24.99,25.68,26.32,26.85,27.92,28.95,28.74,30.01,30.68,31.13,34.06,36.17,39.57,47.9,52.68,53.72,56.97,59.38,66.12,74.42,78.88,75.68,73.08,70.33,68.21,75.06,73.12,77.43,77.79,82.63,88.16,92.42,92.41,94.88,97.7,100,101.82,99.54,102.02,102.86,104.17
"211","202","      Less: Expenditures in the United States by nonresidents (112)","BEXFRG",9.74,9.72,8.95,8.27,7.76,8.5,9.17,9.62,9.78,9.03,8.7,9.18,9.2,10.02,9.21,9.43,10.12,12.13,13.99,14.99,14.97,15.17,16.32,16.74,16.96,17.04,17.09,17.36,17.97,18.51,18.7,18.93,19.16,19.36,19.57,19.88,20.18,20.77,21.37,22.25,23.44,24.86,25.81,26.69,28.2,30.64,33.01,35.45,37.89,41.18,45.15,50.67,55.55,60.04,63.06,66.61,69.81,72.13,75.68,78.67,81.32,85.85,91.34,93.7,95.04,95.96,97.47,100,102.39,103.65,106.37,111.38,112.46
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","  Note.  The figures in parentheses are the line numbers of the corresponding items",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","in table 2.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
