"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"297","290","          Day care and nursery schools","DNSCRC0",34,46,58,70,82,92,104,116,126,141,172,221,270,303,390,517,684,723,730,872,983,1050,1099,1095,1339,1547,1813,1989,2110,2267,3020,3194,3251,3717,3976,4273,4612,4731,5079,5279,5688,6049,6515,6807,7188,7561,7856,8456,9408,9792,10065,10187,11401,11517,11288
"298","291","        Commercial and vocational schools (99)","DVEDRC0",572,589,545,574,634,674,756,929,1123,1287,1419,1549,1557,1589,1792,1870,2420,2977,3261,3653,3900,4184,4484,4604,5086,5548,6226,6740,7542,9461,10562,11068,11137,11788,12287,13140,14420,16172,17818,19876,21823,24347,25781,25984,26985,28075,30321,32728,35533,37872,38386,41969,43264,44704,46257
"299","292","      Professional and other services (121)","DPRSRC0",4323,4535,4854,5131,5483,5785,6230,6855,7274,7842,8620,9653,10408,11389,12746,14038,14894,16546,18303,20741,22146,24847,28162,30755,33565,37482,42370,46404,51151,57332,62207,67743,70190,75293,78376,80877,82829,87635,92767,100054,107189,113015,120915,126620,137134,142975,148402,155313,163631,167498,161542,163305,165893,169389,172135
"300","293","        Legal services","DGALRC0",1971,2024,2292,2419,2642,2797,3039,3429,3614,3804,4195,4956,5481,6033,6951,7686,7986,8787,9700,11121,11738,13182,15543,17236,18937,21485,24600,27348,30927,34729,37692,40984,41751,44889,46204,47035,47420,50608,53861,57899,62157,65378,70075,73878,79273,81473,83771,86955,90498,92420,90082,91410,92926,93650,94998
"301","294","        Accounting and other business services","DPRORC0",254,277,280,310,321,375,447,514,581,675,829,863,884,993,1094,1195,1313,1481,1704,1944,2056,2163,2349,2405,2874,3111,3471,3729,3975,4846,5744,6532,7089,7722,8643,9894,10155,10995,11959,13796,15484,17155,18569,20049,21932,24407,25026,26951,29685,30579,27362,26997,27722,28775,29557
"302","295","          Tax preparation and other related services","DTAPRC0",68,68,78,88,82,125,171,211,284,323,407,455,444,500,565,666,797,843,976,987,1013,990,1044,1199,1472,1527,1770,2022,2231,2837,3563,4177,5035,5687,6526,7443,7273,7652,7972,9294,10596,11902,13416,14903,16162,17847,17520,18620,20826,22673,20795,20262,20669,21365,21807
"303","296","          Employment agency services","DGENRC0",95,108,101,108,115,118,130,145,146,182,228,222,243,278,288,287,265,320,384,504,514,612,700,662,734,829,955,979,981,1155,1293,1487,1254,1221,1090,979,869,731,784,804,818,821,718,638,635,708,1007,1230,1517,1269,837,862,1010,1090,1162
"304","297","          Other personal business services","DTHERC0",91,100,102,114,125,132,146,157,152,170,193,186,197,215,240,241,252,318,344,453,529,560,606,545,667,755,746,728,763,854,888,869,800,814,1028,1473,2013,2612,3204,3698,4070,4432,4436,4508,5135,5853,6499,7101,7343,6637,5731,5873,6043,6320,6589
"305","298","        Labor organization dues","DUNSRC0",650,695,710,735,757,809,852,912,989,1063,1177,1281,1343,1478,1670,1950,2193,2465,2758,3092,3510,4007,4384,4857,5039,5454,6005,6561,6924,7377,7767,8279,8738,9136,9302,9465,9752,10127,10551,10346,10323,10233,10194,10006,10447,10745,10947,11420,11887,12516,12505,12349,12319,12426,12439
"306","299","        Professional association dues","DAXSRC0",37,43,44,49,53,63,83,98,124,151,178,210,246,295,335,384,474,554,637,754,846,950,1050,1187,1285,1388,1527,1675,1839,2040,2237,2422,2498,2577,2754,2863,3125,3184,3395,3689,4077,4478,4945,5388,5812,6045,6500,7053,7548,7437,7648,7928,8171,8540,9577
"307","300","        Funeral and burial services","DFUNRC0",1411,1496,1528,1618,1710,1741,1809,1902,1966,2149,2241,2343,2454,2590,2696,2823,2928,3259,3504,3830,3996,4545,4836,5070,5430,6044,6767,7091,7486,8340,8767,9526,10114,10969,11473,11620,12377,12721,13001,14324,15148,15771,17132,17299,19670,20305,22158,22934,24013,24546,23945,24621,24755,25998,25565
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRC0",6201,6439,6746,7063,7234,7690,8188,8907,9516,10101,10301,10589,10335,10755,11294,11666,12296,13109,14622,16035,17004,17947,18651,18837,22689,24143,26707,29433,32685,37743,41271,44450,42494,47452,49723,52866,57106,60233,64274,69050,74196,80392,83198,86467,91149,97740,103315,108066,111547,114269,109887,114931,119594,124789,121611
"309","302","        Personal care services","DPCSRC0",2959,3116,3402,3650,3766,4051,4364,4917,5386,5779,5822,6095,5995,6274,6870,7213,7729,8387,9631,10714,11435,12115,12686,12912,16224,17069,19243,21523,24042,27879,30481,33160,31476,35661,37654,40230,43646,46274,49758,53774,58103,63683,66424,70133,75033,81725,87401,91933,95513,98424,94777,99690,103936,108607,106465
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRC0",2486,2593,2839,3088,3160,3372,3571,4024,4361,4628,4597,4833,4694,4830,5137,5365,5608,5938,6941,7530,7807,7990,8030,7926,9872,10567,11632,12788,14414,15907,17056,17762,18129,20046,20062,20661,22198,23183,25871,27747,29603,32259,33700,35651,38337,42730,46317,49418,52589,54270,53935,56901,58675,61039,62787
"311","304","          Miscellaneous personal care services","DMPCRC0",473,523,563,562,606,679,793,893,1025,1150,1225,1262,1301,1444,1733,1847,2122,2449,2690,3184,3628,4125,4657,4986,6352,6501,7611,8735,9628,11973,13425,15399,13347,15616,17592,19569,21449,23091,23887,26026,28500,31424,32724,34482,36696,38995,41084,42515,42924,44153,40842,42789,45261,47568,43678
"312","305","        Clothing and footwear services","DCFSRC0",3241,3323,3344,3413,3468,3639,3824,3990,4130,4323,4479,4494,4340,4481,4424,4454,4566,4722,4991,5321,5569,5832,5964,5925,6464,7074,7464,7910,8643,9864,10790,11289,11018,11791,12069,12637,13460,13959,14516,15277,16094,16709,16774,16333,16116,16015,15914,16133,16034,15845,15110,15241,15657,16182,15146
"313","306","          Laundry and drycleaning services","DDRYRC0",1659,1675,1654,1670,1703,1858,2055,2258,2404,2495,2555,2526,2396,2421,2123,2099,2112,2142,2277,2538,2686,2850,2845,2653,2987,3271,3373,3569,4052,4585,4960,4858,5270,6683,7004,7593,8191,8701,9157,9713,10414,11045,11228,11299,11226,11203,11190,11488,11482,11318,10892,11006,11224,11639,10864
"314","307","          Clothing repair, rental, and alterations","DLGRRC0",1349,1399,1420,1470,1520,1548,1519,1481,1469,1556,1644,1675,1641,1690,1931,1983,2073,2188,2330,2400,2486,2568,2692,2864,3045,3360,3646,3891,4113,4753,5261,5810,5127,4470,4454,4507,4756,4777,4901,5098,5196,5194,5085,4569,4447,4374,4282,4201,4099,4075,3774,3789,3967,4045,3755
"315","308","          Repair and hire of footwear","DSCLRC0",233,249,270,273,245,233,250,251,256,272,280,293,302,370,370,372,381,393,384,383,396,414,427,408,432,443,445,449,478,526,569,621,622,638,611,537,512,482,457,465,483,470,461,466,443,439,442,444,453,453,444,445,467,498,527
"316","309","      Social services and religious activities (120)","DSOCRC0",1570,1617,1683,1676,1796,2099,2350,2685,3048,3292,3602,3871,4384,5053,5459,5854,6499,7494,8598,10020,11881,13993,16138,17944,19618,21833,25060,28034,31435,33873,38580,41177,43546,47510,51123,54381,58127,61111,64627,69261,74416,81144,88365,93357,98615,104061,110230,116774,124599,130060,133185,138863,143651,147314,150864
"317","310","        Child care","DCHCRC0",290,306,315,303,331,427,499,604,712,795,909,1007,1192,1448,1575,1688,1906,2265,2652,3128,3694,4327,4891,5314,5782,6389,7203,7983,9076,9337,11569,11465,10948,12013,12896,13603,14364,14412,15119,15774,17161,18363,19924,21047,22142,23138,23888,25567,28224,29348,30183,30828,31542,32532,32192
"318","311","        Social assistance","DSCWRC0",430,453,467,449,490,632,739,895,1056,1179,1347,1492,1766,2145,2333,2501,2825,3357,3930,4635,5474,6412,7248,7874,8583,9518,10769,11977,13456,14839,16368,18278,20233,22343,24253,26084,28286,30453,32817,35921,39696,45063,50837,54923,58512,62577,67704,71677,75745,80041,82493,87183,91012,92992,94713
"319","312","          Homes for the elderly","DELDRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2780,3066,3382,3776,4180,4616,4964,5286,5621,5931,6094,6923,7832,9023,10381,11313,11818,12391,13543,14629,15162,15768,15937,17140,18701,19360,20088
"320","313","          Residential mental health and substance abuse","DMENRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,899,991,1093,1221,1351,1492,1615,1731,1864,1993,2113,2407,2700,3117,3542,3922,4427,4916,5536,5654,6220,6764,6994,7433,7548,7808,8256
"321","314","          Individual and family services","DFAMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6421,7081,7810,8722,9655,10662,11611,12529,13674,14816,16197,17332,18918,21172,23733,25308,26468,27961,29367,31750,33985,35959,37638,39705,41306,42182,42687
"322","315","          Vocational rehabilitation services","DVOCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642,1810,1997,2230,2469,2726,2964,3193,3476,3755,4081,4483,4866,5531,5989,6269,6937,7592,8270,8103,8037,8381,8776,9204,9440,9385,9336
"323","316","          Community food and housing/emergency/other relief services","DCFORC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,640,706,788,872,963,1049,1132,1236,1341,1468,1794,2194,2695,3241,3766,4268,4993,5999,6470,6985,7701,7903,8408,8644,8757,8650
"324","317","          Other social assistance, not elsewere classified","DSIARC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1134,1251,1380,1541,1705,1883,2051,2213,2415,2618,2864,2983,3185,3525,3952,4345,4596,4724,4988,5071,5356,5467,5245,5294,5372,5500,5696
"325","318","        Social advocacy and civic and social organizations","DSADRC0",471,482,506,520,549,589,620,686,736,760,745,722,692,699,730,739,759,779,825,958,1265,1663,2178,2765,3085,3522,4445,5170,5802,6327,7010,7614,8324,8968,9616,10077,10702,11098,11205,11995,11999,12110,12084,12022,12432,12446,12481,12932,13332,13555,13529,13908,14205,14895,16726
"326","319","        Religious organizations' services to households","DRELRC0",369,364,379,387,404,432,458,462,507,524,556,595,650,685,745,819,891,960,1034,1154,1247,1358,1560,1683,1816,2026,2228,2445,2587,2775,2922,3090,3244,3356,3490,3801,3968,4364,4569,4711,4776,4906,4965,4931,5025,5263,5418,5615,6017,5957,5916,5797,5699,5687,5889
"327","320","        Foundations and grantmaking and giving services to households","DGIVRC0",9,12,15,18,22,20,34,37,37,34,45,54,84,76,76,108,118,134,157,145,201,233,261,307,352,379,415,459,514,595,711,730,797,830,868,817,808,783,917,859,785,702,554,434,505,636,739,982,1281,1159,1064,1146,1193,1208,1344
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRC0",4707,4995,4931,5023,5055,5256,5480,5737,6060,6458,6769,6970,7169,7610,8134,8271,8400,9737,10949,12118,13150,13769,14607,14900,15807,18299,19322,20539,20952,22037,24151,25387,24732,26575,28445,31329,34548,35817,38914,43854,45152,48617,48506,48660,51208,55223,57877,60448,63781,65533,60332,58608,61479,65907,68347
"329","322","        Domestic services","DDMSRC0",3698,3931,3858,3920,3934,4032,4090,4158,4342,4531,4588,4638,4679,4751,4949,4723,4768,5591,6208,6722,6568,6297,6359,6767,6906,8024,8066,8672,8789,9587,10503,11274,11134,12357,13302,14156,15389,15683,16788,19370,18648,20248,19902,19995,21431,22510,22761,23726,25474,26716,24450,22381,23586,27416,29233
"330","323","        Moving, storage, and freight services","DMSERC0",331,349,359,388,408,412,478,560,602,733,886,1015,1170,1369,1551,1811,1850,2173,2560,2936,3550,4059,4399,4272,4703,5735,6131,6432,6146,5769,6333,6262,5941,6260,6762,7853,8991,9648,11095,12082,12948,13915,13276,12344,12456,13810,14720,15079,15247,15122,12970,12740,13397,14529,14958
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERC0",386,384,361,357,349,373,395,410,418,478,538,589,629,823,848,859,821,827,819,820,902,922,947,924,958,1004,1129,1193,1470,1530,1710,1901,1913,1850,1729,1690,1682,1624,1589,1690,1685,1603,1446,1335,1336,1332,1386,1411,1373,1323,1111,1089,1107,1136,1197
"332","325","        Repair of household appliances","DERERC0",230,266,282,285,288,303,333,389,455,444,444,399,339,280,325,377,417,486,565,660,894,1001,1122,965,1014,1064,1119,1042,1020,1096,1109,1099,1184,1246,1463,1892,2454,2828,3251,3403,3529,3561,3556,3552,3895,4301,4363,4623,4765,4744,4482,4535,4784,4848,5057
"333","326","        Other household services","DMHSRC0",62,66,71,73,76,136,185,220,243,272,313,329,352,387,462,500,543,660,797,980,1235,1490,1779,1971,2225,2472,2876,3200,3527,4054,4496,4852,4560,4862,5188,5738,6032,6034,6191,7308,8343,9289,10326,11434,12090,13270,14646,15609,16921,17628,17319,17864,18604,17978,17902
"334","327","      Net foreign travel","DFORRC0",1060,1203,1191,1437,1636,1585,1786,1841,2409,2188,2390,2751,2912,3537,3370,3500,3387,2872,3303,3012,2661,1746,-1636,-155,2730,3744,4581,318,2988,282,-6396,-10265,-17569,-20994,-21790,-18752,-22845,-25940,-24438,-18886,-20240,-20409,-15447,-14156,-11106,-10100,-13024,-12564,-21503,-31630,-27539,-32949,-44753,-53566,-61278
"335","328","        Foreign travel by U.S. residents (129)","DFTRRC0",2111,2313,2340,2583,2840,2988,3346,3606,4249,4200,4717,5414,5853,6832,7324,8127,8759,9380,10285,11107,12063,13304,15001,16522,18394,26109,27904,27795,33932,37336,38434,42702,41678,45907,48806,53419,54881,58721,64603,69067,73178,81778,77906,75450,76769,89333,94926,100822,104122,109935,97933,103404,105770,110021,114461
"336","329","          Passenger fares for foreign travel","DAFTRC0",811,889,899,992,1091,1148,1286,1385,1632,1614,1812,2080,2249,2625,2814,3122,3365,3604,3952,4072,4439,5194,6089,6957,8328,8539,9454,9276,11033,12115,12688,13761,13982,15620,16756,18922,19271,20583,23210,24080,25929,29691,28647,27087,28826,34506,37307,40483,41159,43973,36158,40134,40456,40431,43039
"337","330","          U.S. travel outside the United States","DUSTRC0",1300,1424,1441,1591,1749,1840,2060,2221,2617,2586,2905,3334,3604,4207,4510,5005,5394,5776,6333,7035,7624,8110,8609,9222,9700,17189,18046,18086,22447,24678,25159,28283,26998,29520,31193,33525,34485,36887,39997,43399,45441,50055,46958,45660,44795,51285,53627,55872,58239,60819,56631,57802,59551,63553,65178
"338","331","          U.S. student expenditures","DUSSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,343,366,381,404,433,452,543,586,658,698,767,857,972,1125,1252,1396,1587,1808,2032,2300,2702,3148,3542,3992,4467,4725,5143,5144,5468,5763,6037,6244
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC0",1051,1110,1149,1146,1204,1403,1560,1765,1840,2012,2327,2663,2941,3295,3954,4627,5372,6508,6982,8095,9402,11558,16637,16677,15664,22365,23323,27477,30944,37054,44830,52967,59247,66901,70596,72171,77726,84661,89041,87953,93418,102187,93353,89606,87875,99433,107950,113386,125625,141565,125472,136353,150523,163587,175739
"340","333","          Foreign travel in the United States","DFTURC0",1051,1110,1149,1146,1204,1403,1560,1765,1840,2012,2327,2663,2941,3295,3954,4627,5372,6508,6982,8095,9402,11558,14049,13721,12407,18863,19572,23490,26606,32371,39668,47211,52895,60008,63110,64201,69354,75769,79582,77712,82450,90338,80397,75520,72992,84109,91916,96519,107304,121078,103093,112540,124668,135701,146717
"341","334","          Medical expenditures of foreigners","DMEFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,387,416,440,468,493,516,541,588,630,672,708,748,796,857,1005,1114,1205,1351,1501,1479,1460,1571,1689,2014,2221,2365,2531,2691,2876,3032,3176,3285
"342","335","          Expenditures of foreign students in the United States","DEFSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2236,2569,2841,3062,3283,3494,3822,4142,4574,5126,5680,6185,6738,7174,7515,7887,8345,9036,9616,10348,11476,12626,13312,13634,14021,14647,15956,17956,19689,20937,22823,24710,25737
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISH) (132)","DNPIRC0",4864,5059,5246,5479,5769,6433,6962,7455,8049,8793,9443,10474,11704,12814,13755,15497,17013,18982,20635,23018,26120,30033,34140,37964,40756,45383,47907,52610,55697,63293,68037,75861,80127,87934,90065,97762,102328,110044,105588,123807,138229,158041,179082,198342,205512,206372,210268,239185,248780,282144,276017,275350,277902,290489,289505
"344","337","    Gross output of nonprofit institutions (133)","DNPERC0",13908,14834,15783,16932,18339,20250,22079,24339,26978,30348,34009,38091,42770,47353,51832,58803,67193,76310,85160,96659,109356,126100,145650,163805,179216,194432,209278,227298,246863,275519,301238,334437,362892,396390,418746,440076,458544,483135,502624,542521,576319,621641,676441,737060,774643,818994,868456,932226,983141,1040912,1072564,1105893,1141592,1194126,1235180
"345","338","      Health, gross output","DHLGRC0",4680,5146,5602,6229,6992,7726,8408,9473,10796,12704,14893,17086,19687,22064,24470,28273,33623,39141,44677,51465,58344,67741,79637,90229,100077,107400,115297,124583,136813,153357,168660,188512,207555,227991,242831,252657,262264,272820,286514,306977,323094,340569,367030,401266,428254,455657,490401,525656,552132,581823,614721,636098,665583,696027,728838
"346","339","        Outpatient services, gross output","DOUGRC0",402,452,503,599,687,811,911,984,895,991,1035,1126,1201,1324,1555,1763,2117,2524,2914,3231,3625,4080,4856,5137,6271,7385,8638,9969,11448,13187,14890,17920,20096,22505,26134,29489,32592,34332,35951,37714,39273,41400,44948,50781,53303,55518,58152,60638,61263,62598,65429,67721,71426,75201,80506
"347","340","        Nonprofit hospitals, gross output","DHSORC0",4181,4518,4874,5360,5958,6443,7009,7890,9160,10785,12690,14593,16856,18914,20864,24161,28802,33591,38375,44296,50318,58645,69174,79172,86932,92381,98390,105605,114883,127310,140122,154851,170980,186992,196974,202171,206752,213744,222671,239449,252386,266161,286080,312420,333938,357346,385801,415172,438547,464649,492502,510474,535227,560646,586924
"348","341","        Nonprofit nursing homes, gross output","DNXORC0",97,175,225,269,347,473,488,599,740,928,1168,1366,1630,1826,2051,2350,2704,3026,3388,3938,4401,5016,5607,5920,6874,7634,8268,9009,10482,12860,13648,15741,16479,18494,19723,20997,22920,24744,27892,29814,31434,33008,36002,38065,41012,42792,46448,49846,52322,54576,56790,57903,58929,60180,61408
"349","342","      Recreation services, gross output","DRCGRC0",599,637,668,711,753,808,830,917,983,1060,1142,1234,1284,1367,1530,1762,1983,2234,2498,2805,3313,3991,4843,5536,6009,6459,7410,8118,8602,9577,10795,12119,13146,14575,15563,16154,16823,17220,17968,19024,20921,23079,25072,26548,28565,30226,32645,35259,37841,40230,39663,38817,39197,41367,42894
"350","343","      Education services, gross output","DEDGRC0",2935,3178,3477,3787,4093,4473,5060,5623,6087,6756,7467,8258,8946,9776,10661,11707,12815,13776,14590,16036,17815,20155,22655,25126,27425,29852,32326,34660,37748,40806,44544,48072,50817,53626,56823,60054,63748,67803,69848,75579,81041,88353,97631,104876,108186,112128,117313,125688,135673,143350,147407,151232,158053,167386,173435
"351","344","      Social services, gross output","DSSGRC0",603,636,656,629,688,887,1038,1257,1483,1656,1893,2098,2484,3017,3282,3518,3973,4722,5528,6521,7701,9020,10195,11073,12068,13380,15133,16825,18924,20762,23183,25651,28093,31032,33384,35334,38283,40715,44591,49342,55059,63055,72109,78587,83123,85146,90119,94400,99277,105326,108863,113897,115512,115205,117771
"352","345","      Religious organizations, gross output","DREORC0",3696,3639,3794,3870,4046,4325,4582,4628,5073,5248,5564,5955,6502,6853,7452,8190,8909,9597,10342,11536,12475,13580,15597,16829,17832,19257,20536,21855,22759,24607,26296,28221,30075,31372,33017,36624,38628,42630,44223,47751,49766,53557,58066,61716,62815,66742,69601,72131,77273,76509,75973,74454,73188,73042,75632
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORC0",80,113,145,168,206,184,336,365,355,321,439,533,861,767,760,1101,1196,1361,1610,1452,2042,2392,2673,3164,3645,3924,4290,4733,5295,6134,7433,7670,8434,8816,9230,8665,8556,8245,7558,8652,10619,12643,15890,17205,17463,18181,19379,22516,24762,27675,26381,26440,27931,28491,30007
"354","347","      Social advocacy establishments, gross output","DSAORC0",74,78,81,78,85,109,128,155,183,204,233,258,305,371,403,432,488,580,679,801,946,1108,1253,1361,1483,1643,1857,2063,2316,2552,2811,3135,3465,3823,4124,4349,4702,4972,5268,5527,6046,6757,7554,9405,9995,10315,11300,13136,15212,16986,17359,18008,18675,19281,20394
"355","348","      Civic and social organizations, gross output","DCIORC0",204,210,220,224,237,261,278,313,341,367,390,409,432,465,506,552,619,697,777,863,1048,1273,1532,1837,1974,2117,2479,2724,2986,3311,3761,4223,4760,5233,5494,5605,5811,5871,5898,6529,7037,7797,8487,9260,9696,9561,9196,9257,9086,9492,9303,9312,9421,9517,10026
"356","349","      Professional advocacy, gross output","DSNGRC0",1037,1197,1141,1237,1239,1477,1418,1610,1679,2032,1989,2260,2270,2672,2767,3267,3587,4203,4458,5180,5671,6840,7266,8649,8703,10400,9950,11738,11420,14413,13755,16834,16547,19921,18279,20634,19731,22860,20756,23142,22736,25831,24603,28198,26546,31038,28501,34182,31886,39522,32895,37635,34033,43810,36184
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRC0",9044,9775,10537,11453,12570,13817,15117,16884,18929,21555,24566,27617,31066,34539,38077,43306,50180,57328,64525,73641,83236,96067,111510,125841,138460,149049,161371,174688,191166,212226,233201,258576,282765,308456,328681,342314,356216,373091,397036,418714,438090,463600,497359,538718,569131,612622,658188,693041,734361,758768,796547,830543,863690,903637,945675
"358","351","      Health services to households","DHLRRC0",4858,5334,5804,6449,7236,7985,8683,9782,11191,13160,15434,17707,20404,22863,25321,29266,34794,40478,46199,53145,60089,69585,81544,92309,102061,109098,116665,125604,137513,153860,169177,188809,208004,228609,243504,252105,259939,270103,287104,301962,314873,331743,355999,392928,416041,451331,487582,513796,545777,563518,597519,625034,652016,684721,718296
"359","352","        Outpatient services to households","DOUSRC0",361,402,444,525,598,706,788,850,787,869,915,1000,1069,1177,1373,1553,1859,2199,2538,2780,3084,3434,4033,4218,5039,5772,6588,7437,8397,9737,11357,14128,16378,18835,21418,23984,26400,27987,30291,32155,33274,35889,38815,44563,46744,49953,52371,51956,51461,52044,54379,56655,59893,61717,64756
"360","353","        Nonprofit hospitals, services to households","DNPHRC0",4404,4762,5144,5664,6304,6824,7424,8355,9691,11397,13393,15390,17763,19926,21971,25448,30329,35363,40396,46570,52764,61317,72107,82386,90397,95969,102109,109484,119014,131745,144714,159601,175876,192120,203075,208104,211946,218718,230865,241608,252256,264796,283610,312928,331339,361471,392196,417220,446792,462872,492269,516304,538959,569278,599262
"361","354","        Nonprofit nursing homes' services to households","DNPNRC0",93,169,216,259,334,455,470,577,714,894,1126,1317,1571,1760,1977,2265,2606,2916,3265,3796,4242,4834,5404,5705,6626,7357,7969,8683,10103,12378,13106,15081,15750,17654,19011,20018,21593,23398,25948,28199,29344,31058,33575,35438,37958,39907,43016,44620,47524,48602,50871,52075,53164,53727,54278
"362","355","      Recreation services to households","DRCRRC0",408,426,441,462,485,516,534,588,630,646,643,638,611,615,658,708,745,794,860,1008,1258,1594,2028,2437,2737,3121,3845,4508,4934,5386,5861,6432,6870,7420,8089,8554,9064,9358,9812,10176,10955,11529,12148,12180,13148,14574,16723,18014,18686,18430,17520,17495,17048,17745,18246
"363","356","      Education services to households","DEDRRC0",1906,2067,2268,2472,2670,2912,3287,3639,3927,4344,4795,5301,5735,6266,6831,7492,8147,8739,9233,10066,10944,12152,13372,14708,15991,17290,18574,19743,21460,23328,25775,28258,30236,32079,34100,36168,38470,41888,44634,47579,50412,54181,58526,59625,62648,66235,70371,74620,79298,83993,87367,90995,95878,101028,105099
"364","357","      Social services to households","DSSRRC0",277,292,301,289,316,407,476,576,680,759,867,961,1137,1381,1503,1611,1819,2162,2531,2985,3525,4129,4667,5071,5526,6126,6929,7704,8665,9516,10670,11820,12950,14321,15757,17207,19101,20858,23352,25791,28106,31823,35975,39148,40907,42959,44940,45989,47825,49413,50621,52957,54127,54284,54906
"365","358","      Religious organizations' services to households","DRELRC0",369,364,379,387,404,432,458,462,507,524,556,595,650,685,745,819,891,960,1034,1154,1247,1358,1560,1683,1816,2026,2228,2445,2587,2775,2922,3090,3244,3356,3490,3801,3968,4364,4569,4711,4776,4906,4965,4931,5025,5263,5418,5615,6017,5957,5916,5797,5699,5687,5889
"366","359","      Foundations and grantmaking and giving services to households","DGIVRC0",9,12,15,18,22,20,34,37,37,34,45,54,84,76,76,108,118,134,157,145,201,233,261,307,352,379,415,459,514,595,711,730,797,830,868,817,808,783,917,859,785,702,554,434,505,636,739,982,1281,1159,1064,1146,1193,1208,1344
"367","360","      Services of social advocacy establishments to households","DSASRC0",18,19,19,19,20,26,31,37,44,49,56,62,73,89,97,104,117,139,163,192,227,266,300,326,355,394,445,494,555,612,675,754,835,922,1011,1098,1214,1288,1278,1400,1530,1592,1603,1654,1900,1954,2063,2330,2555,2731,2765,2957,3142,3226,3598
"368","361","      Civic and social organizations' services to households","DCISRC0",188,192,201,206,218,237,251,279,302,313,311,306,301,312,327,335,349,369,399,465,599,770,983,1219,1356,1541,1917,2218,2489,2718,3010,3280,3592,3881,4173,4394,4692,4881,4917,5365,5557,5866,5960,6120,6332,6286,6094,6113,6223,6110,5943,6061,6020,6348,7149
"369","362","      Professional advocacy services to households","DSNRRC0",1012,1070,1108,1151,1199,1282,1364,1483,1612,1725,1859,1994,2072,2252,2519,2865,3200,3554,3949,4482,5146,5980,6795,7781,8265,9074,10353,11514,12448,13436,14400,15404,16237,17038,17689,18171,18963,19568,20453,20872,21097,21259,21627,21696,22627,23384,24257,25583,26700,27458,27832,28102,28568,29388,31149
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRC0",136637,139474,143006,149163,155194,167297,179365,197309,205767,224280,240830,256051,270081,294732,328989,362036,393825,429567,469658,520592,578931,625931,675386,701019,752647,816205,863840,920915,973988,1040936,1108279,1164630,1190845,1230443,1289335,1370723,1429583,1503812,1567122,1653526,1780864,1898152,1954828,2018487,2117633,2254618,2387190,2521977,2617077,2649292,2574364,2665002,2806726,2932467,3037803
