"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"241","234","              Higher education school lunches","DHSLRA3",11.819,12.93,14.153,15.493,17.407,19.54,22.192,24.315,26.927,26.535,26.241,25.281,24.709,24.184,27.589,29.894,33.734,38.572,42.326,42.364,42.286,43.386,45.107,45.916,46.503,47.188,46.984,47.761,47.167,49.351,53.221,55.873,57.243,61.474,65.971,71.004,74.891,79.325,83.879,86.128,90.58,93.626,95.398,96.646,98.645,98.546,100,101.993,107.819,112.603,112.886,117.92
"242","235","            Other purchased meals","DOPMRA3",25.101,25.56,25.569,26.451,27.028,28.655,30.911,32.249,32.13,34.967,36.081,37.794,38.454,41.331,43.301,42.478,44.494,47.389,48.627,50.935,52.432,52.327,52.7,53.677,56.126,57.862,58.869,61.241,65.13,69.491,71.439,73.848,73.902,75.145,78.038,79.583,79.911,80.251,81.625,83.665,85.31,88.822,89.14,90.011,93.336,97.118,100,102.981,104.222,102.526,98.368,101.273
"243","236","              Meals at limited service eating places","DMLSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.627,70.429,72.875,75.017,74.836,77.199,80.809,81.287,81.977,81.171,79.896,82.793,83.818,87.069,87.757,88.768,92.566,96.806,100,102.766,103.685,103.32,99.428,103.059
"244","237","              Meals at other eating places","DMOERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.285,68.21,69.738,72.437,72.751,72.789,75.035,77.847,77.801,79.408,83.69,84.753,86.999,90.721,90.594,91.23,94.044,97.407,100,103.198,104.811,101.704,97.233,99.333
"245","238","              Meals at drinking places","DMDPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.245,88.543,82.368,84.501,84.17,85.455,79.6,72.716,72.038,69.996,67.056,73.091,79.09,87.433,91.239,98.225,101.739,100.501,100,103.978,103.5,99.709,97.168,100.574
"246","239","          Alcohol in purchased meals","DAPMRA3",53.791,52.454,51.678,52.561,53.16,54.519,56.726,59.081,53.651,54.179,53.628,55.511,53.867,57.651,61.536,61.01,62.081,64.035,66.936,69.637,73.13,74.833,74.482,72.261,71.882,71.508,70.434,70.321,70.63,74.283,76.404,82.027,81.361,84.385,80.607,76.962,74.143,71.375,69.916,74.053,78.395,84.226,87.01,91.461,94.02,97.219,100,102.542,103.443,101.521,97.188,98.922
"247","240","        Food furnished to employees (including military) (103)","DFOORA3",74.98,73.218,75.934,77.324,76.173,76.244,80.592,91.725,95.93,92.568,90.738,84.956,77.792,75.618,75.741,84.166,89.617,95.624,92.448,96.961,100.782,103.163,105.688,106.601,100.422,95.853,90.112,83.373,77.143,78.525,79.891,80.137,79.463,79.789,80.955,82.019,83.067,83.327,83.416,83.908,84.872,86.007,87.117,88.042,90.597,92.814,100,110.203,111.767,109.415,109.216,102.258
"248","241","          Food supplied to civilians","DCFDRA3",54.231,55.016,56.19,57.217,58.071,59.174,62.483,66.59,65.678,66.748,68.918,69.915,70.147,71.386,71.647,81.343,87.514,94.574,91.536,97.21,102.172,105.83,109.754,112.323,106.59,101.381,95.58,88.359,81.419,83.434,84.921,85.822,85.24,85.941,87.034,88.171,89.536,90.239,90.691,91.464,92.54,93.449,94.316,94.323,95.876,97.937,100,102.075,104.402,105.285,103.787,103.603
"249","242","          Food supplied to military","DMFDRA3",203.889,186.328,198.618,202.259,188.662,182.331,193.142,247.859,283.805,252.932,226.27,178.374,125.263,101.909,101.181,101.711,102.7,102.17,98.142,95.45,92.189,86.641,80.482,71.111,62.166,61.561,56.197,52.451,50.628,48.077,48.691,44.871,43.63,41.621,43.25,43.856,42.942,40.453,38.287,37.038,37.3,39.844,42.458,49.082,57.857,61.04,100,160.655,157.479,135.02,142.895,93.82
"250","243","      Accommodations (104)","DACCRA3",13.718,14.694,15.116,16.545,18.204,19.331,21.334,22.718,24.427,26.153,27.117,28.084,27.219,33.535,35.932,36.612,38.314,41.618,42.832,43.566,45.162,44.208,46.184,44.508,46.267,50.158,52.549,53.62,57.739,59.924,61.328,62.536,62.914,67.342,66.375,68.888,69.617,72.742,78.484,79.424,81.275,85.893,80.565,82.413,87.132,92.536,100,105.147,107.211,110.181,108.217,115.644
"251","244","        Hotels and motels","DHOTRA3",13.89,14.787,14.831,16.138,17.505,18.096,19.643,20.464,21.795,23.41,24.225,25.118,23.848,31.564,34.259,34.637,35.786,38.804,40.274,40.79,42.652,41.182,43.092,40.247,41.48,45.712,48.356,49.477,54.393,56.826,58.517,60.02,60.203,65.359,63.517,66.593,67.401,70.721,77.633,78.801,80.858,86.119,78.965,80.752,85.656,91.569,100,105.564,107.464,110.132,105.865,113.108
"252","245","        Housing at schools","DSCHRA3",14.513,15.869,17.701,19.716,22.594,25.75,29.597,33.155,36.424,38.707,40.327,41.641,42.493,43.07,44.292,46.286,50.427,55.075,55.188,56.924,57.227,58.947,61.215,65.941,70.527,72.324,73.165,73.908,73.494,74.234,74.048,73.68,75.049,75.745,79.035,78.832,79.177,81.339,81.487,81.338,82.208,83.774,86.869,88.964,92.914,96.297,100,103.559,106.242,110.335,116.237,124.285
"253","246","    Financial services and insurance","DIFSRA3",15.684,16.311,17.193,17.167,17.77,19.021,20.278,20.976,22.019,23.153,23.481,24.349,25.239,26.707,28.241,28.923,31.688,33.415,35.498,37.3,38.442,38.93,38.616,41.637,47.625,48.072,53.168,54.849,55.098,55.022,57.119,58.434,62.326,64.077,69.317,69.796,70.139,72.767,75.27,80.057,86.791,95.355,94.689,94.345,94.377,96.713,100,102.576,105.926,104.851,96.802,95.619
"254","247","      Financial services","DFNLRA3",8.963,9.081,9.918,9.519,9.77,10.527,11.413,11.978,13.171,13.815,13.898,14.448,15.665,16.575,17.384,17.725,20.487,21.882,23.558,24.424,24.773,24.681,24.281,27.39,35.503,35.784,41.118,43.403,43.71,41.881,43.349,44.202,46.99,48.951,54.939,57.466,59.372,65.531,69.297,75.352,84.995,95.478,94.186,94.139,92.83,97.16,100,104.664,111.42,112.514,104.159,104.018
"255","248","        Financial services furnished without payment (107)","DIMPRA3",11.825,12.57,12.956,13.15,13.999,14.87,15.238,15.556,16.289,17.857,19.435,21.853,24.013,25.765,28.156,29.173,34.63,36.671,39.905,41.453,41.422,39.837,38.845,43.781,58.199,57.702,66.461,66.919,67.346,65.162,65.93,67.081,70.016,70.507,78.404,81.066,81.804,88.687,90.862,91.733,95.498,98.607,99.297,97.347,91.929,98.934,100,100.986,108.113,111.812,101.22,104.059
"256","249","          Commercial banks","DIMCRA3",18.421,19.539,19.915,19.545,20.927,22.357,22.773,23.469,24.929,28.034,30.987,36.61,40.935,43.799,47.629,47.777,60.114,61.297,66.28,66.288,59.793,49.878,41.271,55.251,88.472,81.9,98.569,92.898,88.32,81.211,84.968,95.571,109.577,114.48,120.144,113.504,108.54,116.785,114.311,110.031,110.288,100.632,105.179,111.888,98.936,105.028,100,99.092,105.62,124.742,111.587,116.884
"257","250","          Other depository institutions and regulated investment companies","DIMNRA3",11.299,12.051,12.671,13.517,14.277,15.012,15.497,15.606,16.026,16.576,17.074,17.014,17.796,19.029,20.424,21.363,21.928,23.373,25.354,27.476,30.718,33.605,37.647,34.171,36.702,38.872,41.975,45.835,50.046,50.287,51.662,51.129,50.208,50.523,58.395,63.867,63.787,68.552,70.5,75.418,82.327,91.612,92.882,88.223,86.286,95.114,100,100.37,109.112,105.206,93.425,95.5
"258","251","          Pension funds","DPENRA3",1.668,1.803,1.83,1.853,1.923,2.079,2.253,2.248,2.19,3.388,5.54,8.005,9.93,11.487,15.386,21.618,29.185,40.031,45.625,50.674,56.482,63.474,68.946,75.247,76.584,85.452,97.986,100.974,96.898,97.017,85.396,68.33,59.495,47.946,62.508,76.15,95.351,108.334,122.67,117.43,115.204,121.145,110.551,99.592,97.946,99.87,100,107.272,109.874,107.83,107.903,107.401
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRA3",6.608,6.167,7.417,6.518,6.321,6.961,8.223,8.981,10.566,10.452,9.312,8.197,8.612,8.829,8.328,8.057,8.408,9.274,9.606,9.885,10.601,11.824,11.91,13.467,16.441,17.275,19.732,23.276,23.473,22.007,23.892,24.466,26.934,29.901,34.116,36.387,39.085,44.362,49.202,59.419,74.264,91.992,88.607,90.621,93.85,95.241,100,108.587,114.951,113.23,107.437,103.641
"260","253","          Financial service charges and fees","DFEERA3",7.969,8.17,8.351,8.587,8.705,9.365,10.318,11.349,12.23,12.799,13.806,14.422,14.97,16.225,18.142,20.232,19.566,20.329,22.019,23.311,25.082,27.706,30.519,32.876,32.336,34.585,37.946,42.002,43.582,45.095,46.992,47.802,48.879,50.733,53.122,51.295,51.379,52.488,52.567,58.073,64.969,72.313,78.082,85.558,94.825,93.226,100,105.98,110.251,107.482,110.632,102.008
"261","254","          Securities commissions","DEQTRA3",5.636,4.86,6.595,5.21,4.901,5.471,6.751,7.339,9.068,8.703,6.945,5.356,5.674,5.582,4.548,3.714,4.256,4.998,4.942,4.927,5.264,5.925,5.408,6.485,9.945,10.27,12.244,15.354,13.833,10.908,12.791,12.925,15.43,19.155,24.597,27.522,33.083,42.114,49.623,64.36,91.731,131.082,113.881,109.55,100.689,103.916,100,105.831,116.09,110.046,93.357,90.052
"262","255","            Direct commissions","DDCTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.241,5.752,7.406,7.381,9.771,11.798,17.181,20.498,27.445,35.523,41.868,60.308,99.435,153.349,134.962,132.533,114.688,112.241,100,97.506,94.495,95.123,84.002,73.862
"263","256","              Exchange-listed equities","DDCERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.677,87.078,133.848,193.685,198.897,191.655,145.226,125.823,100,92.891,91.942,84.683,66.55,34.794
"264","257","              Other direct commissions","DDCORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.742,45.11,79.409,129.309,97.411,97.905,97.206,104.438,100,100.253,96.012,101.2,94.083,96.065
"265","258","            Indirect commissions","DICTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.391,32.247,34.431,34.623,32.636,40.14,40.627,46.263,49.5,60.27,69.519,71.941,81.703,105.055,87.172,72.326,71.043,82.711,100,131.014,161.979,135.014,109.568,119.017
"266","259","              Over-the-counter equity securities","DICVRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.436,38.954,73.945,137.654,126.018,100.734,105.854,110.076,100,121.923,129.39,143.668,167.659,173.258
"267","260","              Other imputed commissions","DICORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.813,126.964,108.874,106.544,83.066,69.742,67.554,80.093,100,131.809,164.984,134.062,104.802,114.364
"268","261","            Mutual fund sales charges","DMUTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.428,17.31,18.891,20.099,26.659,36.244,45.013,40.882,40.222,51.279,62.366,75.085,81.188,97.582,84.781,85.123,90.687,100.601,100,107.325,133.291,127.858,104.788,105.59
"269","262","          Portfolio management and investment advice services","DPMIRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.092,15.427,16.919,18.556,21.3,22.768,27.209,33.955,35.213,41.331,49.577,62.31,75.941,90.884,85.399,84.712,88.18,92.828,100,114.907,120.71,123.551,112.836,113.772
"270","263","          Trust, fiduciary, and custody activities","DTRURA3",9.666,10.001,10.266,10.601,10.788,11.713,12.985,14.32,15.486,16.27,17.631,18.448,19.335,20.974,23.495,26.236,25.405,26.4,28.521,30.348,32.705,36.254,40.031,43.219,42.464,45.306,49.696,54.938,86.903,95.636,93.33,94.32,102.2,104.935,95.792,94.271,91.184,86.074,86.106,88.881,94.766,93.97,95.173,95.684,96.346,92.57,100,93.291,106.521,93.781,96.762,93.684
"271","264","      Insurance","DINSRA3",33.015,35.078,35.9,37.054,38.625,41.123,43.228,44.174,44.452,46.85,47.878,49.526,49.102,51.962,55.385,56.977,58.674,60.914,63.725,67.984,71.375,73.682,73.787,75.608,73.387,74.231,77.792,77.39,77.397,82.965,86.503,88.872,95.196,96.198,99.119,94.871,91.775,86.987,86.903,89.093,90.076,94.999,95.466,94.601,96.937,96.016,100,99.355,97.489,93.093,85.52,82.764
"272","265","        Life insurance (110)","DLIFRA3",47.514,51.367,52.117,52.781,54.778,59.23,64.167,64.027,62.381,64.726,65.572,68.055,65.634,67.489,71.64,71.979,74.414,81.683,83.74,88.894,91.466,95.175,96.049,100.913,96.651,96.847,100.185,93.657,85.333,95.952,105.874,109.741,129.228,126.581,134.776,120.776,115.85,104.365,105.01,100.944,97.844,104.07,98.865,87.157,85.821,96.118,100,102.931,103.17,101.482,93.903,92.933
"273","266","        Net household insurance (111)","DFINRA3",52.605,62.092,68.386,72.824,72.245,68.776,60.763,54.056,53.961,54.926,56.872,61.117,62.962,69.21,78.213,98.668,105.026,100.305,108.54,128.436,138.273,135.055,128.048,122.296,118.734,122.328,121.258,120.003,129.708,138.818,138.966,131.973,125.74,114.274,106.797,107.407,101.047,102.532,92.85,105.889,106.559,106.155,105.681,96.655,89.655,98.123,100,97.188,112.256,117.575,103.453,107.166
"274","267","          Household insurance premiums and premium supplements","DFIPRA3",8.383,9.732,10.898,12.017,12.595,13.121,13.162,13.168,13.854,14.613,15.511,17.136,18.322,19.935,21.492,23.972,25.824,27.458,30.508,34.177,36.334,37.61,38.219,38.507,40.107,42.775,45.23,48.568,50.259,51.048,50.792,52.575,52.981,54.831,56.826,58.87,60.769,62.288,63.292,65.784,68.211,71.153,75.086,82.03,87.266,94.719,100,107.689,113.807,113.806,110.564,112.826
"275","268","          Less: Household insurance normal losses","DFIBRA3",2.408,2.744,3.13,3.585,3.979,4.525,5.083,5.591,6.125,6.639,7.178,8.091,8.888,9.597,9.969,10.048,10.93,12.588,14.261,15.308,16.106,17.478,18.717,19.589,21.409,23.362,25.74,29.045,29.24,28.606,28.326,31.301,32.775,36.676,40.122,42.192,45.629,47.015,50.712,50.105,52.889,56.726,62.025,74.961,85.813,92.692,100,114.252,114.446,110.734,115.255,116.475
"276","269","        Net health insurance (112)","DHINRA3",20.901,21.746,22.459,23.759,24.87,26.613,27.939,29.296,29.418,31.912,33.378,35.142,35.468,37.761,39.835,41.764,43.995,46.654,49.075,51.747,56.41,58.89,57.938,57.594,55.604,57.061,61.588,64.163,68.87,72.081,72.801,74.778,76.574,80.741,82.122,81.142,77.325,73.814,72.764,78.053,81.261,87.562,91.017,96.994,103.073,93.877,100,97.276,92.785,85.92,78.004,73.681
"277","270","          Medical care and hospitalization","DMINRA3",18.325,18.82,19.426,20.541,21.445,22.956,24.19,24.815,24.368,25.315,27.021,28.317,29.176,31.088,32.97,34.989,39.379,41.404,42.368,43.847,46.609,49.947,52.531,53.72,54.027,55.209,58.411,60.427,64.244,66.653,67.54,69.173,71.343,75.263,77.097,76.893,74.471,73.007,72.23,79.454,83.656,90.626,93.264,99.377,105.912,94.212,100,96.243,91.699,85.855,77.947,76.432
"278","271","          Income loss","DIINRA3",32.163,33.073,34.12,36.047,37.66,40.32,42.533,43.579,42.831,50.996,52.493,57.175,55.909,58.06,57.783,59.189,56.559,56.426,55.124,56.278,64.26,64.277,52.766,45.217,35.439,36.366,39.427,35.336,35.27,34.422,34.85,34.864,32.654,38.261,48.554,45.777,46.968,50.182,60.401,69.895,76.606,81.761,86.551,92.098,96.683,98.613,100,103.955,107.504,107.661,106.972,103.4
"279","272","          Workers' compensation","DPWCRA3",16.571,17.892,18.526,19.646,20.724,22.148,22.953,25.791,27.592,29.318,29.959,30.684,30.72,33.579,37.509,39.232,40.529,46.497,54.954,62.113,68.508,69.612,65.137,65.142,62.12,64.607,74.685,83.995,94.317,102.831,102.846,107.48,109.589,112.824,107.125,102.541,90.209,76.872,73.722,72.245,71.749,75.746,81.809,87.236,91.594,91.941,100,101.063,96.061,84.509,75.904,59.068
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRA3",37.481,39.046,39.992,41.583,43.708,45.479,45.871,48.335,51.609,54.408,54.939,55.252,55.953,61.164,66.08,67.6,67.031,61.95,66.533,71.996,73.942,74.578,75.985,78.422,78.875,78.882,80.504,82.883,86.567,88.87,88.821,90.653,88.763,89.25,89.02,90.226,91.071,91.493,93.356,95.732,97.123,97.572,99.24,99.015,99.072,100.73,100,99.689,99.458,96.381,90.366,88.468
"281","274","    Other services","DOTSRA3",23.142,23.872,24.647,25.622,26.558,27.744,29.328,31.053,32.88,33.786,34.781,35.901,36.047,37.615,38.68,37.438,37.744,39.184,41.106,43.282,43.666,43.421,43.205,44.104,46.98,49.336,52.759,53.343,57.091,59.411,61.274,62.344,60.096,62.432,63.745,66.172,67.466,69.741,73.873,80,84.512,90.615,94.278,94.846,97.011,98.886,100,102.616,104.871,103.59,101.597,101.882
"282","275","      Communication","DCOMRA3",5.529,5.848,6.217,6.6,7.048,7.563,8.307,9.115,9.812,10.522,11.489,12.292,12.705,13.517,14.834,15.413,16.849,17.882,19.152,20.812,22.437,23.694,24.108,24.883,25.789,26.203,27.768,28.88,31.134,32.736,34.749,36.24,37.412,41.022,43.101,45.946,48.457,52.87,58.31,63.836,72.051,82.967,88.513,90.821,92.966,97.105,100,105.84,115.022,118.305,115.72,119.807
"283","276","        Telecommunication services (71)","DTCSRA3",5.055,5.369,5.722,6.057,6.545,7.042,7.792,8.605,9.294,10.104,11.098,11.927,12.442,13.268,14.713,15.506,17.141,18.501,19.895,21.78,23.541,24.822,25.387,26.214,27.115,27.333,29.152,30.26,32.655,34.647,37.093,38.851,40.635,45.049,47.362,50.283,52.89,57.511,63.64,69.376,76.711,85.908,92.289,93.308,93.946,97.407,100,105.09,106.722,108.311,103.332,105.239
"284","277","          Land-line telephone services, local charges","DLOCRA3",16.04,17.03,18.165,19.227,20.788,22.336,24.757,27.315,29.498,32.07,35.227,37.891,39.525,42.114,46.704,49.276,54.437,58.732,63.172,68.662,74.501,76.962,76.843,78.449,80.554,78.187,78.95,77.185,76.185,76.152,76.446,78.148,78.918,81.924,85.544,90.401,93.317,99.49,105.168,112.033,119.836,125.958,129.032,125.288,113.752,107.057,100,100.775,94.654,90.991,80.395,76.743
"285","278","          Land-line telephone services, long-distance charges","DLDTRA3",7.347,7.807,8.312,8.799,9.504,10.24,11.31,12.502,13.506,14.68,16.125,17.312,18.063,19.276,21.376,22.502,24.891,26.876,28.895,31.874,34.311,36.965,38.77,40.518,42.238,44.385,50.307,55.612,66.03,73.613,82.085,85.727,90.765,102.626,104.085,105.634,105.913,109.395,123.829,127.151,130.084,129.905,117.709,100.185,102.068,106.703,100,90.632,83.22,78.802,65.753,56.203
"286","279","          Cellular telephone services","DCELRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,0.124,0.178,0.454,1.008,1.65,2.245,3.598,4.909,6.621,8.93,12.044,14.246,19.18,26.804,40.356,56.089,68.043,76.643,86.99,100,113.396,124.436,132.612,135.698,147.222
"287","280","        Postal and delivery services (68)","DPSSRA3",67.132,69.056,72.238,78.18,77.458,81.737,85.771,90.355,95.192,93.533,98.252,102.123,99.236,104.015,106.167,99.424,99.713,92.669,96.132,98.471,104.014,111.123,108.728,111.855,117.677,127.189,128.214,135.399,144.781,141.731,140.479,140.654,128.739,126.713,130.301,136.956,135.261,139.64,141.612,142.723,139.255,138.316,129.256,120.051,108.866,104.342,100,97.418,97.705,91.896,85.18,77.819
"288","281","          First-class postal service (by U.S. Postal Service)","DPSTRA3",82.201,84.491,88.428,95.64,94.595,99.818,104.619,110.164,116.13,113.599,118.681,122.739,118.38,123.583,126.154,117.657,118.199,109.4,114.001,116.676,123.875,133.283,131.091,135.363,140.392,149.486,148.552,155.372,164.766,158.97,155.334,153.693,137.275,133.37,136.794,143.674,140.536,145.548,148.372,147.844,143.554,141.248,132.159,123.203,109.22,104.534,100,96.041,96.685,93.57,85.487,79.94
"289","282","          Other delivery services (by non-U.S. postal facilities)","DODSRA3",2.666,2.956,2.948,3.393,3.912,4.139,4.801,5.228,5.264,7.037,9.862,12.548,15.635,18.445,18.766,19.627,18.826,19.541,17.784,18.686,16.739,13.617,10.244,8.117,18.146,29.758,39.606,48.633,57.999,67.003,76.423,84.537,92.653,99.335,103.75,109.513,114.295,115.856,114.018,122.322,122.308,126.964,118.009,107.829,107.612,103.686,100,101.91,101.073,87.419,84.616,71.979
"290","283","        Internet access (72)","DINTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.052,0.11,0.232,0.501,0.828,1.228,2.737,5.75,9.281,11.937,17.316,32.372,54.636,59.53,70.954,83.829,93.586,100,112.147,168.001,186.006,200.987,223.813
"291","284","      Education services","DTEDRA3",29.854,31.662,33.351,35.727,38.377,41.499,45.83,49.92,53.468,57.534,60.66,64.524,67.443,69.868,72.127,69.757,71.661,73.628,74.302,77.846,78.143,78.148,77.548,76.374,77.803,78.242,79.336,79.895,81.397,84.676,88.35,90.069,89.314,89.466,88.26,88.608,89.812,92.394,94.962,97.745,100.015,103.517,105.429,103.055,102.274,100.137,100,100.687,102.247,103.382,103.806,105.552
"292","285","        Higher education (97)","DHEDRA3",27.246,28.882,30.896,32.892,35.118,38.793,44.135,48.141,50.811,54.344,57.723,62.791,67.08,70.023,72.717,71.937,71.644,72.696,74.196,74.833,77.064,79.328,81.038,82.254,82.382,81.595,81.074,81.319,81.777,82.897,85.051,86.749,87.047,86.645,85.041,85.035,85.632,87.972,90.996,94.098,97.025,101.071,103.87,102.006,102.091,100.003,100,100.451,101.337,102.527,103.947,106.06
"293","286","          Proprietary and public higher education","DGEDRA3",12.091,13.392,14.621,16.508,18.838,22.02,25.558,28.909,32.233,35.561,38.948,45.232,50.834,53.702,57.395,57.194,57.079,58.703,60.925,63.938,65.597,68.045,69.61,69.684,71.106,71.247,71.449,72.285,73.039,75.284,77.671,79.502,80.908,82.507,81.48,81.862,82.53,83.107,85.43,88.605,92.14,96.474,99.001,100.756,101.981,99.849,100,100.873,102.279,103.927,106.068,108.263
"294","287","          Nonprofit private higher education services to households","DPEDRA3",51.234,53.397,56.651,58.813,60.873,65.322,73.515,78.548,80.168,84.017,87.373,90.493,92.679,95.732,96.829,95.134,94.558,94.696,95.044,91.929,95.058,97.032,98.97,101.975,100.074,97.832,96.175,95.495,95.489,94.843,96.631,98.122,96.68,93.138,90.63,90.014,90.501,95.607,99.728,102.716,104.689,108.283,111.51,103.966,102.263,100.246,100,99.787,99.86,100.33,100.621,102.605
"295","288","        Nursery, elementary, and secondary schools (98)","DNEHRA3",54.15,58.895,65,71.318,76.761,81.797,86.348,89.915,94.129,100.413,104.018,106.486,110.54,115.95,115.764,111.705,112.947,110.581,108.188,122.399,120.268,118.663,112.453,103.543,105.801,106.735,107.629,105.671,106.93,107.257,113.879,115.676,112.945,112.462,109.349,108.222,107.87,107.721,105.619,103.005,102.963,102.383,102.736,100.879,100.311,100.016,100,100.575,102.063,102.173,102.345,102.278
"296","289","          Elementary and secondary schools","DESCRA3",81.899,88.378,96.981,105.924,113.487,120.607,126.898,131.733,137.875,146.859,150.892,152.38,156.309,163.664,159.606,149.42,146.635,144.248,141.719,160.948,156.904,155.834,147.333,134.631,133.57,131.755,129.158,124.34,125.33,124.968,126.465,128.321,125.729,122.139,117.105,114.81,113.049,113.294,109.233,105.977,105.064,103.991,103.591,101.294,100.369,99.701,100,100.284,100.301,100.619,101.4,101.995
"297","290","          Day care and nursery schools","DNSCRA3",4.129,5.361,6.613,7.859,9.105,10.105,11.188,12.156,12.766,13.893,15.93,18.901,21.943,23.382,28.213,33.616,40.526,38.674,36.975,40.959,41.958,39.995,38.381,36.842,43.923,49.328,56.341,59.972,61.662,63.416,80.959,82.556,79.569,86.677,88.416,90.267,93.55,92.365,95.499,94.638,96.994,97.793,100.277,99.684,100.159,100.984,100,101.48,107.575,107.028,105.24,103.019
"298","291","        Commercial and vocational schools (99)","DVEDRA3",16.58,16.902,15.646,16.247,17.713,18.43,20.168,23.857,27.863,30.966,32.793,34.432,33.679,33.124,35.521,31.505,37.441,43.39,44.38,46.211,44.553,41.732,40.601,39.99,43.17,45.701,50.316,53.395,57.512,68.308,73.317,74.98,73.047,75.45,77.4,80.453,85.418,91.743,97.603,105.068,107.467,113.495,113.992,109.227,105.089,100.758,100,101.672,105.812,107.85,104.709,106.996
"299","292","      Professional and other services (121)","DPRSRA3",37.667,38.537,40.458,42.024,43.98,44.787,46.526,49.926,50.892,52.77,54.429,56.504,57.175,58.476,60.95,61.566,60.895,63.727,66.245,70.237,68.907,68.126,68.535,67.002,65.366,67.501,72.091,74.426,76.717,82.537,85.023,86.975,85.434,87.51,87.61,87.124,85.977,87.474,88.876,91.593,93.745,94.3,96.223,96.11,99.527,99.597,100,99.721,101.102,99.885,94.091,91.306
"300","293","        Legal services","DGALRA3",37.09,36.986,41.055,42.715,45.712,45.966,47.234,51.755,51.848,52.545,53.397,56.949,58.077,58.238,61.389,62.742,60.985,62.843,64.865,69.534,67.633,67.027,69.7,68.196,65.811,68.338,73.431,76.562,80.208,86.704,88.965,90.258,87.181,89.225,88.334,87.239,85.246,87.894,89.889,92.045,93.973,93.715,95.626,95.912,99.781,100.148,100,100.666,102.048,100.037,94.661,92.018
"301","294","        Accounting and other business services","DPRORA3",12.922,13.739,13.802,15.067,15.424,17.755,20.753,23.236,25.395,28.195,32.93,32.413,31.856,34.831,36.095,35.553,35.947,38.129,41.006,43.711,42.533,39.661,38.339,35.213,37.739,37.834,39.787,40.368,40.736,46.742,52.348,55.581,55.837,57.546,60.943,64.545,62.858,64.749,67.288,73.834,79.24,83.635,86.715,89.288,92.212,96.89,100,99.567,105.155,106.631,95.478,90.702
