"","Table 8#21# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"182","167","    Net interest (118+131+134-137-138)","A2104C",2.2,2.1,1.9,1.7,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.6,1.7,1.8,2,2.2,2.6,2.8,3.1,3.4,3.8,4.4,4.9,5.7,6.4,7.3,8.4,9.2,10.1,11.1,12.4,13.2,14.4,15.2,16.9,18.4,20.1,21.6,23.6,27.3,30.7,33.6,38,44.2,50.8,57.8,63.9,74,91.4,109,125,138.5,157.1,183.4,204.3,233.5,260.6,289.8,307.8,324.9,346.7,368.9,383.4,382.3,394,424.3,443.5,485.8,514,544.9,599.9,620
"183","168","    Imputed interest received by government (-136)","A2022C",-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.4,-0.5,-0.4,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.5,-0.6,-0.6,-0.7,-0.7,-0.8,-0.8,-0.9,-0.9,-1,-1,-1.1,-1.2,-1.3,-1.6,-1.9,-2.1,-2.2,-2.4,-2.4,-2.2,-2.1,-2.5,-2.8,-2.7,-2.8,-2.7,-3.3,-3.5,-4,-4.8,-5.6,-6.2,-5.7,-6,-6.4,-7.2,-7.3,-7.3,-7.8,-9,-9.6,-10.6,-9.6,-10.5,-11.9,-11.1
"184","169","    Interest paid by persons (-118-131)","A2109C",-1.1,-1.1,-1.1,-1,-1,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.9,-0.9,-1.1,-1.3,-1.5,-1.7,-1.9,-2.2,-2.5,-2.9,-3.3,-3.7,-4.4,-5.1,-5.8,-6.5,-7.2,-7.9,-8.8,-9.5,-10.5,-11.5,-12.5,-13.3,-14.5,-16,-17.5,-19.7,-22.7,-26.4,-30.3,-34,-39.1,-46.2,-55.4,-67.7,-81.1,-95.1,-109.8,-121.3,-136.6,-153.2,-168.2,-180.7,-194.2,-210.7,-225.3,-232.8,-234.5,-229.5,-229.9,-249.2,-257,-270.9,-283.2,-300.6,-329.9,-349.4
"185",NA,"          Selected aggregates"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","170","Gross domestic product","A191RC",103.7,91.3,76.6,58.8,56.4,66,73.3,83.7,91.9,86.1,92,101.3,126.7,161.8,198.4,219.7,223,222.3,244.4,269.6,267.7,294.3,339.5,358.6,379.9,381.1,415.2,438,461.5,467.9,507.4,527.4,545.7,586.5,618.7,664.4,720.1,789.3,834.1,911.5,985.3,1039.7,1128.6,1240.4,1385.5,1501,1635.2,1823.9,2031.4,2295.9,2566.4,2795.6,3131.3,3259.2,3534.9,3932.7,4213,4452.9,4742.5,5108.3,5489.1,5803.2,5986.2,6318.9,6642.3,7054.3,7400.5,7813.2,8318.4,8781.5,9274.3,9824.6,10082.2
"187","171","  Imputations","A2023C",10.3,9.6,8.7,7.4,6.7,6.8,7.1,7.4,7.9,7.8,7.9,8.2,9.7,13.1,17.8,22,24.5,25.3,24.7,25,25,25.7,29.3,32.3,35.6,38.3,41,44.5,47.8,50.9,54.2,58,61.3,65.4,69.2,73.4,78.2,84,90.1,97.8,107.6,118.1,128,139.9,153.9,172.2,192.3,212,235.1,269.9,305.7,347.9,390.2,432.3,476.6,517.1,565.6,611.5,674.3,731.4,790.4,854,916.1,979.4,1030.4,1087.9,1131.6,1175.2,1224.2,1299.4,1380,1492.7,1549.5
"188","172","    Owner-occupied housing (113-116+114-117)","A2024C",5.8,5.6,5.1,4.5,3.9,3.6,3.6,3.7,3.9,4.1,4.1,4.2,4.5,5,5.5,6,6.4,6.7,7.4,8.4,9.4,10.6,12.2,14,15.9,17.7,19.3,21,22.8,24.8,26.9,29.2,31.2,33.6,35.6,37.6,40.1,42.8,45.6,48.4,52.3,56.1,61.5,66.7,72.8,79.8,86.5,94.5,103.7,117.5,134.6,157.4,179.6,196.5,209.2,228.1,246,263.3,284.7,311.3,338.1,362.2,381,398.2,413.8,439.7,464.4,487.1,509.1,541,581.9,621.5,648.5
"189","173","    Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving individuals (131+132+133)","A2050C",0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.3,1.4,1.6,1.6,1.6,1.8,1.9,2,2.2,2.4,2.6,2.9,3.2,3.6,4,4.5,5,5.5,6.3,7.3,8.4,9.1,9.9,11.2,12.7,14.6,16.8,19,20.7,22.2,24.1,25.7,28.1,30.8,33.6,36.1,38.9,41.8,45.4,45.7,48.1,49.8,52.2,55.2,55.2,58.7,61.2
"190","174","    Services furnished without payment by financial intermediaries except life insurance carriers (135+136+138)","A2025C",1.2,1.1,0.9,0.7,0.6,0.6,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.9,0.9,1.2,1.3,1.6,1.6,1.7,1.8,2,2.2,2.4,3,3.3,3.7,4.1,4.2,4.5,4.8,5.4,5.6,5.8,5.9,6.7,7.1,7.9,8.6,9.5,11.8,13.8,14.4,15.9,18.6,21.7,25.3,26.2,29.3,37.7,43.4,46.3,45.7,50.2,66.3,72.6,86.4,99.1,117.1,122.2,122.6,130.5,146.2,159.7,164.7,177.4,189.6,202.1,232.2,249.3,260.3,291.1,288.9
"191","175","    Employment-related imputations (142)","A2099C",0.8,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.8,0.7,0.7,0.9,1.3,2.3,3.5,4.2,4.8,4.1,3.1,3,3.1,3.2,4.2,4.3,4.4,4.4,4.5,4.9,5.4,6,6.3,6.7,7.3,7.8,8.3,9.1,10,11.1,12,14,15.7,18.1,19.7,22.3,24.6,28.3,34,41.2,48.2,56.3,63.8,73.3,85,96.6,105.7,114.6,125,132.9,146.4,163.6,185.6,207.1,224.2,249.1,269.5,282.1,279.3,280.6,269.2,286.4,306.2,333.7,354.8
"192","176","    Farm products consumed on farms (139)","A2051C",1.2,1.1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.8,1.4,1.3,1.4,1.3,1.2,1,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"193","177","    Margins on owner-built housing (151)","B1173C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.6,2.3,2.6,2.7,1.9,1.5,1.5,2.5,2.6,2.7,3.2,4.4,3.9,3.8,3.9,4.4,4.8,5.2,5.4,5.6,6.2,6.7,7.3,7.7,8.1,8.2
"194","178","    Consumption of general government fixed capital (153)","A265RC",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,6,8.7,9.9,10.6,10.3,9.3,8.3,7.5,8.1,9,9.8,10.5,11.1,12,12.8,13,13.6,14.1,14.6,15.4,16.3,16.9,17.6,18.6,19.9,21.5,23,24.8,26.4,28.4,30.3,33.7,36.7,38.9,41.2,44.1,47.9,53.9,61,68.1,71.9,76.7,81,87.1,93.2,99.4,106.3,113.9,121.2,125.5,131.5,137.5,144.3,149.2,154.6,160.1,168.6,179.5,187.7
"195","179","  Excluding imputations (170-171)","A2026C",93.5,81.6,67.9,51.4,49.7,59.3,66.2,76.4,83.9,78.2,84.1,93.1,117,148.7,180.6,197.7,198.5,197,219.7,244.6,242.6,268.6,310.2,326.3,344.3,342.8,374.2,393.5,413.7,417,453.3,469.4,484.4,521.1,549.5,590.9,641.9,705.3,743.9,813.7,877.7,921.6,1000.6,1100.5,1231.6,1328.9,1442.8,1611.9,1796.2,2026,2260.7,2447.7,2741.2,2827,3058.3,3415.6,3647.5,3841.4,4068.2,4377,4698.7,4949.3,5070.1,5339.5,5611.9,5966.4,6268.9,6638,7094.2,7482.1,7894.4,8331.9,8532.6
"196","180","Personal income","A065RC",85.3,76.5,65.5,50,46.9,53.8,60.5,68.8,74.3,68.6,73.1,78.6,96.3,123.8,152.4,166.3,171.9,179.5,192.1,211.1,208.2,229.9,258.7,276.1,292.6,295.2,316.8,340,359.3,370,394,412.7,430.3,457.9,481,515.8,557.4,606.4,650.4,714.5,780.8,841.1,905.1,994.3,1113.4,1225.6,1331.7,1475.4,1637.1,1848.3,2081.5,2323.9,2599.4,2768.4,2946.9,3274.8,3515,3712.4,3962.5,4272.1,4599.8,4903.2,5085.4,5390.4,5610,5888,6200.9,6547.4,6937,7426,7786.5,8406.6,8685.3
"197","181","  Imputations","A2106C",5.8,5.2,4.4,3.5,3,2.8,3.2,3.4,3.7,3.6,3.6,3.8,4.6,6.2,8,9.1,9.9,8.5,8.2,9,9.4,10.5,12.4,13.6,15.1,16.1,16.9,17.8,18.8,20,21.4,23.1,24.4,25.9,26.9,28.4,30.1,32.4,34.4,36.7,40.5,44.4,47.2,50.2,55.4,61.7,69.8,77.7,85,102,115,129.1,142.1,153.6,175.9,189.1,206.7,224.3,259,288.1,307.6,341.7,376.3,411.4,461.6,499.9,508.8,531.5,547.3,592.6,635.2,689.4,704
"198","182","    Food furnished to employees, including military and domestic service (143)","B1160C",0.5,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.7,1.2,1.9,2.6,3,1.6,1.3,1.4,1.3,1.4,2,2.2,2,1.9,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2,2.3,2.4,2.4,2.5,2.5,2.4,2.4,2.7,3.2,3.7,4.1,4.3,4.9,5.6,6.2,6.9,7.3,7.2,7.2,7,6.8,6.6,7,7.4,7.7,7.9,8.1,8.4,8.8,9.2,9.5,10,10.3,10.7,10.9,11.2
"199","183","    Standard clothing issued to military personnel (144)","BMICRC",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,1,1,1.1,0.4,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"200","184","    Employees' lodging (145)","A2641C",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5
"201","185","    Employer contributions for health and life insurance (146)","B4922C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1,1.3,1.5,1.7,1.9,2.3,2.7,3.2,3.6,4,4.5,4.9,5.4,5.9,6.7,7.5,8.2,8.9,10.8,12.3,14.5,16.1,18.7,20.8,23.8,28.6,35.1,42.1,49.7,56.4,65.1,76,87.3,96.3,105.2,115.6,123.5,137.1,153.5,175,195.8,212.4,236.2,256.3,269.1,266.1,267.2,255.4,272.3,291.8,318.8,339.6
"202","186","    Owner-occupied farm housing (128)","B1165C",0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.2,1.2,1.1,1.1,1.1,1.1,1,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
"203","187","    Farm products consumed on farms (139)","A2051C",1.2,1.1,0.9,0.7,0.7,0.7,0.9,0.9,1,0.8,0.8,0.7,0.9,1.2,1.5,1.4,1.5,1.7,1.7,1.8,1.4,1.3,1.4,1.3,1.2,1,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"204","188","    Margins on owner-built housing (151)","B1173C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.6,2.3,2.6,2.7,1.9,1.5,1.5,2.5,2.6,2.7,3.2,4.4,3.9,3.8,3.9,4.4,4.8,5.2,5.4,5.6,6.2,6.7,7.3,7.7,8.1,8.2
"205","189","    Owner-occupied nonfarm housing (129-124)","A2028C",2.4,2.1,1.8,1.5,1.1,0.9,0.9,0.9,1,1.2,1.3,1.3,1.5,1.8,2.1,2.3,2.5,2.4,2.3,2.6,3.1,3.7,4.3,5.2,6.3,7.3,7.7,8,8.4,8.9,9.7,10.6,11.2,12,12.4,12.5,12.8,13.4,13.9,13.6,13.8,13.6,14.4,13.4,13.6,13.7,13.1,12.1,8.9,9.6,9.7,12.9,15.1,11.9,9.6,8.9,4.6,2.8,6.9,14.7,12.2,18.3,21.6,19.5,44.9,59.3,60.6,70.5,69.8,80.4,90.2,92.1,84.2
"206","190","    Services furnished without payment by financial intermediaries except life insurance carriers (135)","B1611C",1,0.9,0.7,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.5,2.7,3.1,3.4,3.5,3.7,4,4.4,4.5,4.7,4.8,5.4,5.8,6.5,7.1,7.8,9.7,11.4,11.9,13.1,15.4,18,21.5,22.7,25.3,33.1,38.5,41,40.7,43.9,58.7,63.7,75.5,86.8,102.9,107.9,108.2,115,129,141.5,145.5,156.3,166.1,177,204.2,221.2,233.8,258.1,259.5
"207","191","  Excluding imputations (180-181)","A2107C",79.5,71.2,61.1,46.5,43.9,51,57.2,65.4,70.6,65,69.4,74.9,91.7,117.5,144.4,157.2,162,171,183.9,202.1,198.8,219.4,246.3,262.4,277.5,279.1,299.9,322.2,340.5,350,372.6,389.7,405.9,432,454.2,487.4,527.3,574,616,677.8,740.3,796.7,857.9,944,1058.1,1163.9,1261.9,1397.7,1552.2,1746.3,1966.5,2194.8,2457.3,2614.8,2771,3085.7,3308.3,3488.1,3703.5,3984,4292.2,4561.6,4709.1,4979,5148.4,5388.1,5692.1,6015.9,6389.7,6833.4,7151.3,7717.2,7981.3
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209"," 1. Residential dwellings owned and used by nonprofit institutions serving individuals are included in owner-occupied housing ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211"," 2. Includes services furnished without payment by financial intermediaries except life insurance carriers to government employee ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213"," 3. Classified as a service in exports of goods, services, and income receipts and as an income payment in imports of goods, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","services, and income payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215"," 4. For general government employees, recorded as compensation of employees (wages and salaries) and as a sale; government ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","consumption expenditures is not affected.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Similar payments for employees of government enterprises are not included in government consumption expenditures; they are ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","deducted in the calculation of the surplus of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220"," 5. Health insurance premiums paid by employers are included in the calculation of the ``health insurance'' category of personal ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","consumption expenditures (PCE);",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","life insurance premiums paid by employers are included in the calculation of the ``expenses of handling life insurance and ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","pension plans'' category of PCE.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224"," 6. Consists of the programs for which a social insurance fund is imputed, and for which contributions are set equal to benefits ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","paid.  These payments are funded directly out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","of the current budget.  The specific programs consist of workers' compensation, unemployment insurance, and medical services for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","the dependents of active duty military",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","personnel at nonmilitary facilities.  Source data are not available for the corresponding treatment for similar State and local ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","government programs.  Similar payments for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
