"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"338","331","E1USS1 D         U.S. student expenditures","E1USS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,343,366,381,404,433,452,543,586,658,698,720,857,972,1125,1253,1396,1587,1807,2034,2253,2449,2699,2858
"339","332","E1EXF1 C       Less: Expenditures in the United States by nonresidents (112)","E1EXF10",1051,1110,1149,1146,1204,1403,1560,1765,1840,2012,2327,2663,2941,3295,3954,4627,5372,6508,6982,8095,9402,11558,16637,16677,15664,22365,23323,27477,30944,37054,44830,52967,59247,66902,70516,72060,77626,84385,88777,87667,92123,100658,91507,87857,86706,97934
"340","333","E1FTU1 D         Foreign travel in the U.S.","E1FTU10",1051,1110,1149,1146,1204,1403,1560,1765,1840,2012,2327,2663,2941,3295,3954,4627,5372,6508,6982,8095,9402,11558,14049,13721,12407,18863,19572,23490,26606,32371,39668,47211,52895,60008,63028,64092,69255,75493,79318,77426,81155,88809,78356,73329,71167,81558
"341","334","E1MEF1 D         Medical expenditures of foreigners","E1MEF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,387,416,440,468,493,516,541,588,630,672,708,750,794,856,1005,1113,1204,1351,1501,1676,1901,2142,2307
"342","335","E1EFS1 D         Expenditures of foreign students in the U.S.","E1EFS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2236,2569,2841,3062,3283,3494,3822,4142,4574,5126,5680,6186,6738,7174,7515,7887,8346,9036,9616,10348,11475,12627,13398,14069
"343",NA,"         Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","336","E1TGD1 D   Goods","E1TGD10",191119,196152,198351,209663,219749,235292,254800,277031,287499,316442,339087,356972,382385,418391,466632,506825,554187,617170,678359,751966,838867,910249,990222,1027821,1111962,1211117,1292200,1361432,1436929,1537073,1638465,1724086,1738699,1814093,1906127,2019396,2096665,2208092,2311621,2433765,2622434,2810542,2900784,2996271,3150781,3370958
"345","337","E1CGP1 D   Control Group","E1CGP10",170937,175372,179445,187249,194691,208778,224399,245926,256654,280290,301472,322822,340769,371754,415799,462177,505398,553515,604279,669266,756202,833873,905809,936123,999404,1075157,1134061,1186390,1261909,1350613,1446246,1535068,1568227,1626530,1700145,1790644,1863012,1958196,2041506,2135038,2292823,2466789,2534052,2612157,2754534,2970947
"346","338","E1PXC1 D   PCE except computers, peripherals, and software","E1PXC10",317628,331725,342122,363283,382669,411415,443779,480859,507753,558032,605218,648465,701868,770602,852417,933427,1034394,1151913,1278584,1428485,1592115,1756933,1940660,2075904,2287655,2500251,2717435,2894528,3094051,3345420,3590171,3830993,3974186,4223189,4462540,4723471,4951486,5227958,5513930,5842493,6242085,6695545,7013075,7331895,7714748,8180020
"347","339","E1GXC1 D     Goods except computers, peripherals, and software","E1GXC10",191119,196152,198351,209663,219749,235292,254800,277031,287499,316442,339087,356972,382385,418391,466632,506825,554187,617170,678334,751916,838767,910049,989822,1026457,1109060,1208082,1289330,1356236,1430746,1528877,1630140,1715142,1726820,1802017,1890781,1999581,2072363,2179218,2278152,2396776,2582046,2766708,2858821,2952107,3104649,3321040
"348","340","E1DXC1 D       Durables except computers, peripherals, and software","E1DXC10",42660,43319,41770,46870,51599,56654,63254,68284,70434,80772,85946,84991,96892,110365,123549,122327,133457,158850,181188,201671,214309,213961,230934,238863,277896,323442,360628,397792,415484,445393,463439,465260,442035,471512,511390,562406,587299,623689,659189,713209,777240,819492,841726,872005,904558,944022
"349","341","E1FXC1 D         Furniture and household equipment except computers, peripherals, and software","E1FXC10",18083,17964,18251,19252,20650,23214,25116,28244,30009,32899,34711,35740,37806,42406,47887,51502,54504,60224,67188,74236,82626,86492,91701,92060,103720,115945,125661,137774,147216,155508,163228,162668,159838,166578,178044,193557,204324,214048,222694,236129,253478,269073,270125,275753,281869,301378
"350",NA,"         Market based PCE:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","343","E1MBP1  Market-based PCE","E1MBP10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4803255,5069348,5409337,5785944,6048990,6318106,6648718,7056747
"352","344","E1MBF1   Market-based PCE food","E1MBF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,787463,820818,863791,915505,958028,995625,1053595,1138885
"353","345","E1MBE1   Market-based PCE energy","E1MBE10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279086,263660,280421,334781,343744,330052,375540,422844
"354","346","E1MBX1   Market-based PCE except food & energy","E1MBX10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3736706,3984870,4265126,4535658,4747218,4992429,5219583,5495017
"355","347","E1MBV1    Market-based PCE motor vehicles & parts","E1MBV10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270611,301841,334182,349024,367933,387904,400666,403829
"356","348","E1DXM1    Durables except MV & parts","E1DXM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387539,414095,446841,476808,475804,490026,510604,546170
"357","349","E1MPC1    Market-based PCE clothing & shoes","E1MPC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257769,270571,286034,297401,297378,301771,306712,326167
"358","350","E1MBN1    Market-based PCE other nondurables","E1MBN10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413982,445763,492460,529638,561012,590655,615312,650717
"359","351","E1MBH1    Market-based PCE housing","E1MBH10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832904,884713,938161,995742,1062291,1132951,1176418,1226917
"360","352","E1MBO1    Market-based PCE other household operation","E1MBO10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210062,224954,238666,251687,257660,262867,271089,281740
"361","353","E1MBT1    Market-based PCE transportation services","E1MBT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317919,332166,347917,364749,372113,376601,388450,399584
"362","355","E1MBM1    Market-based PCE medical care services","E1MBM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602885,630360,651596,694022,757922,826089,891006,958940
"363","356","E1MBR1    Market-based PCE recreation services","E1MBR10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144253,154498,167946,180583,191572,200872,212018,223900
"364","357","E1PER1    Personal care services","E1PER10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69650,75012,80745,87029,90428,92893,95053,97511
"365","358","E1MBB1    Market-based PCE personal business","E1MBB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156603,172071,193950,213131,206881,214243,227598,243575
"366","359","E1GED1    Public higher education","E1GED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32646,35070,37680,40794,45832,51977,58301,65283
"367","360","E1VED1    Commercial & vocational schools","E1VED10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20203,22789,25769,29533,32154,33259,34447,36442
"368","361","E1CHC1    Child care","E1CHC10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19682,20968,23181,25517,28237,30319,31910,34241
"369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","  the Survey of Current Business monthly (NIPA table 2.8.5; B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","  of Current Business monthly (NIPA table 2.3.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","  Business annually (NIPA table 2.5.5; B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","Note. Numbers in parentheses refer to line numbers in NIPA table 2.5.5 and table B.4,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","published in the Survey of Current Business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
