"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"60","39","  Interest receipts","W706MC1","-514.0","-574.0","-554.0","-688.0","-595.0","-659.0","-614.0","-741.0","-586.0","-718.0","-682.0","-883.0","-675.0","-725.0","-711.0","-859.0","-742.0","-786.0","-673.0","-804.0","-710.0","-775.0","-773.0","-896.0","-769.0","-869.0","-936.0","-1,068.0","-1,046.0","-1,033.0","-1,100.0","-1,108.0","-1,102.0","-1,273.0","-1,262.0","-1,312.0","-1,295.0","-1,553.0","-1,563.0","-1,786.0","-1,709.0","-1,755.0","-1,881.0","-2,109.0","-1,924.0","-2,076.0","-2,329.0","-2,657.0","-2,613.0","-2,717.0","-3,056.0","-3,473.0","-3,580.0","-3,592.0","-3,773.0","-3,772.0","-3,806.0","-3,797.0","-3,927.0","-4,046.0","-4,030.0","-4,305.0","-4,180.0","-4,115.0","-4,190.0","-4,410.0","-4,932.0","-5,330.0","-5,616.0","-5,497.0","-5,888.0","-4,800.0","-4,346.0","-4,159.0","-3,976.0","-3,832.0","-5,847.0","-4,450.0","-4,286.0","-4,422.0","-3,960.0","-3,886.0","-4,459.0","-4,047.0","-4,182.0","-4,037.0","-4,112.0","-6,904.0","-5,488.0","-4,902.0","-5,038.0","-4,533.0","-4,427.0","-4,322.0","-4,161.0","-4,184.0","-3,659.0","-3,636.0","-3,601.0","-3,497.0","-2,856.0","-2,690.0","-2,585.0","-2,841.0","-2,934.0","-3,099.0","-2,817.0","-2,991.0","-3,646.0","-3,576.0","-3,736.0","-3,144.0","-2,888.0","-3,040.0","-3,064.0","-3,322.0","-2,590.0","-2,827.0","-2,943.0","-3,129.0","-3,065.0","-3,106.0","-3,065.0","-3,035.0","-3,706.0","-3,667.0","-3,197.0","-2,897.0","-2,828.0","-2,762.0","-2,931.0","-3,401.0","-2,605.0","-2,615.0","-2,816.0","-2,897.0","-2,552.0","-2,902.0","-2,923.0","-2,933.0","-2,378.0","-2,313.0","-2,405.0","-2,453.0","-2,527.0","-2,607.0","-2,573.0","-2,676.0","-2,645.0","-2,712.0","-2,788.0","-2,952.0","-2,987.0","-3,093.0","-3,096.0","-3,076.0","-2,963.0","-2,910.0","-3,183.0","-3,373.0","-6,937.0","-9,510.0","-9,357.0","-10,409.0","-8,826.0","-9,300.0","-10,366.0","-10,643.0","-10,877.0","-10,666.0","-10,398.0","-9,964.0","-9,868.0","-9,424.0","-9,411.0","-9,455.0"
"61","40","  Current surplus of government enterprises","W707MC1","311.0","330.0","426.0","196.0","471.0","684.0","759.0","549.0","771.0","640.0","902.0","468.0","608.0","572.0","636.0","561.0","738.0","722.0","909.0","1,016.0","889.0","764.0","745.0","852.0","1,021.0","1,150.0","1,127.0","1,121.0","765.0","770.0","733.0","638.0","779.0","887.0","958.0","805.0","1,007.0","890.0","693.0","305.0","546.0","683.0","818.0","620.0","800.0","954.0","1,068.0","819.0","963.0","750.0","736.0","164.0","322.0","564.0","956.0","298.0","506.0","470.0","651.0","317.0","619.0","650.0","887.0","530.0","667.0","481.0","542.0","-67.0","146.0","96.0","412.0","-67.0","181.0","332.0","-75.0","61.0","-86.0","-350.0","21.0","-242.0","-214.0","-314.0","-1,002.0","463.0","771.0","490.0","414.0","657.0","-574.0","-880.0","-119.0","-554.0","-908.0","-1,007.0","-455.0","-1,750.0","-215.0","-198.0","-2,989.0","-54.0","-76.0","-131.0","-3,146.0","-687.0","-552.0","-518.0","-3,712.0","-267.0","-138.0","-181.0","-3,634.0","-507.0","-709.0","-747.0","-4,199.0","-919.0","-985.0","-1,026.0","-4,422.0","-1,118.0","-1,005.0","-1,042.0","-4,428.0","-727.0","-746.0","-706.0","-4,304.0","438.0","475.0","522.0","-3,299.0","-496.0","-453.0","-465.0","-4,358.0","-1,577.0","-1,560.0","-1,751.0","-1,892.0","-1,477.0","-1,513.0","-1,378.0","-1,861.0","-133.0","-131.0","-30.0","-469.0","-313.0","-295.0","-273.0","-534.0","-692.0","-574.0","-611.0","-619.0","-241.0","-246.0","-231.0","-246.0","-119.0","-931.0","-64.0","21.0","224.0","423.0","403.0","553.0","1,706.0","1,847.0","1,717.0","1,916.0","1,799.0","1,737.0","1,763.0","1,952.0","7,982.0"
"62","41","  Other \4\","M318431","-985.0","-501.0","-535.0","-572.0","-904.0","-942.0","-565.0","-687.0","-941.0","-795.0","-767.0","-798.0","-843.0","-1,156.0","-772.0","-635.0","-1,082.0","-1,215.0","-769.0","-695.0","-1,240.0","-1,000.0","-959.0","-963.0","-1,137.0","-1,781.0","-1,259.0","-1,253.0","-1,453.0","-1,518.0","-1,501.0","-1,380.0","-2,107.0","-1,790.0","-1,575.0","-1,454.0","-1,634.0","-1,560.0","-1,631.0","-1,616.0","-1,918.0","-1,858.0","-1,952.0","-2,064.0","-2,208.0","-2,087.0","-2,181.0","-2,407.0","-2,983.0","-2,723.0","-2,574.0","-2,928.0","-3,456.0","-3,423.0","-3,111.0","-3,192.0","-3,436.0","-3,638.0","-3,408.0","-3,724.0","-4,565.0","-4,292.0","-4,257.0","-4,831.0","-4,574.0","-6,211.0","-5,042.0","-4,319.0","-4,615.0","-4,487.0","-4,631.0","-4,909.0","-5,095.0","-5,089.0","-5,211.0","-5,142.0","-5,020.0","-5,381.0","-4,598.0","-4,715.0","-5,876.0","-5,588.0","-5,642.0","-5,317.0","-5,839.0","-5,979.0","-5,677.0","-6,305.0","-6,092.0","-6,230.0","-6,622.0","-6,387.0","-7,027.0","-6,755.0","-7,052.0","-7,297.0","-8,605.0","-8,289.0","-8,796.0","-8,478.0","-9,003.0","-8,609.0","-8,768.0","-7,009.0","-7,668.0","-7,148.0","-7,859.0","-6,439.0","-7,599.0","-7,411.0","-8,701.0","-11,410.0","-8,466.0","-7,632.0","-9,049.0","-7,142.0","-8,762.0","-7,816.0","-8,990.0","-7,358.0","-7,854.0","-7,630.0","-8,698.0","-8,285.0","-9,054.0","-9,097.0","-10,154.0","-8,814.0","-10,282.0","-10,347.0","-10,255.0","-9,075.0","-9,464.0","-11,361.0","-13,744.0","-9,021.0","-11,262.0","-11,765.0","-12,431.0","-10,813.0","-12,415.0","-13,213.0","-13,688.0","-12,720.0","-13,286.0","-14,039.0","-15,796.0","-12,867.0","-15,070.0","-16,636.0","-16,439.0","-13,953.0","-16,160.0","-16,244.0","-17,807.0","-16,152.0","-18,079.0","-19,117.0","-22,168.0","-19,705.0","-20,439.0","-18,916.0","-26,399.0","-65,500.0","-18,483.0","-18,143.0","-21,378.0","-18,175.0","-20,232.0","-20,418.0","-22,374.0","-15,662.0","-17,669.0","-17,050.0","-15,915.0","-15,713.0"
"63","42","Plus: Timing differences","M318441","-1,099.0","257.0","-848.0","-112.0","-504.0","1,299.0","-1,489.0","1,389.0","-603.0","587.0","-177.0","1,130.0","-616.0","-899.0","1,018.0","2,482.0","-1,254.0","689.0","386.0","-672.0","449.0","-404.0","1,157.0","-270.0","-1,174.0","-353.0","88.0","-863.0","1,840.0","34.0","1,649.0","2,040.0","-160.0","-124.0","191.0","-1,084.0","693.0","-273.0","2,222.0","646.0","510.0","-47.0","1,999.0","-2,327.0","1,328.0","68.0","-888.0","-1,340.0","729.0","-1,062.0","535.0","-15,614.0","14,494.0","-223.0","-578.0","-2,078.0","1,679.0","-270.0","362.0","-1,213.0","-228.0","394.0","4,428.0","-1,228.0","2,629.0","-1,422.0","-17.0","-2,907.0","1,187.0","-1,112.0","1,020.0","-1,061.0","3,431.0","1,361.0","6,767.0","-22,547.0","21,782.0","464.0","219.0","-4,192.0","233.0","2,113.0","-426.0","1,498.0","-1,945.0","2,788.0","6,734.0","-5,276.0","6,989.0","506.0","-996.0","-5,670.0","4,409.0","-652.0","-335.0","-28,202.0","32,820.0","1,916.0","-3,590.0","-4,041.0","6,392.0","2,435.0","-8,985.0","-272.0","4,994.0","4,583.0","-3,580.0","4,579.0","9,237.0","2,230.0","-3,672.0","-6,280.0","6,909.0","411.0","-5,091.0","-3,893.0","8,809.0","-58.0","-5,654.0","-33,298.0","38,134.0","610.0","-4,797.0","-7,456.0","1,989.0","156.0","-6,231.0","1,536.0","1,379.0","2,119.0","2,884.0","-4,696.0","7,306.0","609.0","-10,242.0","-5,507.0","10,753.0","2,020.0","-4,292.0","5,081.0","10,711.0","1,770.0","-3,829.0","-6,733.0","14,422.0","1,641.0","97.0","-11,203.0","-6,639.0","1,054.0","9,692.0","-8,295.0","-2,749.0","4,456.0","20,186.0","-11,826.0","16,587.0","8,166.0","-483.0","-15,988.0","21,696.0","4,286.0","-14,208.0","-46,961.0","48,474.0","3,424.0","-8,453.0","-16,509.0","24,588.0","6,831.0","-42,054.0","18,186.0","-7,027.0","1,970.0","36,623.0","-15,812.0"
"64","43","  Purchases (increase in payables net of advances)","M318451","-992.0","-415.0","-187.0","-177.0","174.0","-322.0","-519.0","606.0","188.0","-705.0","760.0","346.0","176.0","-2,399.0","1,908.0","958.0","169.0","-379.0","590.0","-654.0","-208.0","-819.0","589.0","-846.0","294.0","-671.0","272.0","-514.0","1,239.0","-51.0","1,268.0","754.0","564.0","400.0","-171.0","151.0","516.0","-287.0","338.0","1,198.0","-174.0","500.0","143.0","-836.0","-299.0","128.0","-887.0","786.0","-712.0","-750.0","265.0","-842.0","-125.0","-297.0","-737.0","-466.0","-494.0","-509.0","84.0","78.0","4.0","-279.0","277.0","335.0","-389.0","-381.0","-504.0","-396.0","-316.0","-271.0","1,058.0","414.0","953.0","756.0","3,647.0","-2,516.0","3,149.0","742.0","2,414.0","-4,635.0","-433.0","215.0","922.0","52.0","-983.0","1,545.0","3,301.0","-918.0","4,647.0","-567.0","532.0","-3,855.0","969.0","777.0","603.0","-332.0","2,597.0","-762.0","691.0","-1,878.0","1,995.0","601.0","-314.0","-186.0","1,115.0","3,034.0","591.0","1,583.0","3,426.0","524.0","1,910.0","-2,356.0","2,041.0","-82.0","-299.0","-2,310.0","2,472.0","-111.0","202.0","-2,189.0","1,850.0","551.0","914.0","-2,361.0","554.0","-533.0","-334.0","-996.0","-909.0","-651.0","2,949.0","-3,232.0","1,310.0","-211.0","-531.0","-4,471.0","4,408.0","-588.0","-483.0","-4,380.0","3,522.0","794.0","-294.0","-5,238.0","5,387.0","318.0","-3,199.0","-8,472.0","3,566.0","3,059.0","2,816.0","-8,128.0","3,063.0","3,846.0","6,966.0","-12,608.0","6,763.0","3,124.0","2,428.0","-12,225.0","7,175.0","1,993.0","903.0","-11,338.0","4,350.0","2,182.0","2,992.0","-14,691.0","8,220.0","5,768.0","-1,232.0","-4,353.0","-2,926.0","5,464.0","9,265.0","-5,979.0"
"65","44","  Interest payments","M318461","-199.0","477.0","-754.0","155.0","-741.0","1,351.0","-935.0","953.0","-952.0","955.0","-1,122.0","1,032.0","-1,086.0","1,088.0","-1,130.0","1,153.0","-1,160.0","1,163.0","-22.0","21.0","-216.0","97.0","5.0","12.0","-101.0","71.0","-23.0","32.0","-61.0","-57.0","-146.0","-175.0","166.0","-131.0","-82.0","-141.0","-14.0","-230.0","42.0","-74.0","-304.0","-231.0","66.0","-155.0","-166.0","-82.0","-258.0","-185.0","-36.0","-433.0","-253.0","-487.0","-251.0","-160.0","-197.0","-27.0","-275.0","-44.0","-423.0","30.0","-776.0","-452.0","-58.0","-217.0","-368.0","-336.0","-296.0","-318.0","-734.0","-308.0","-339.0","-223.0","203.0","562.0","320.0","-200.0","-504.0","113.0","-1,056.0","-108.0","-531.0","259.0","-387.0","-252.0","-495.0","160.0","-677.0","-2,589.0","-548.0","-244.0","-1,085.0","-211.0","-215.0","-896.0","-156.0","440.0","1,210.0","440.0","-640.0","1,206.0","1,131.0","355.0","-1,353.0","213.0","386.0","512.0","-1,027.0","1,162.0","860.0","580.0","-1,958.0","172.0","184.0","78.0","-1,559.0","-358.0","814.0","252.0","-2,234.0","1,855.0","97.0","411.0","-2,688.0","424.0","640.0","262.0","-2,780.0","1,805.0","220.0","1,424.0","-3,294.0","391.0","1,255.0","1,421.0","-3,880.0","850.0","1,063.0","500.0","-2,439.0","-721.0","2,638.0","-947.0","-2,231.0","165.0","2,733.0","-1,133.0","-3,561.0","1,476.0","1,928.0","-468.0","-5,477.0","2,805.0","1,632.0","2,622.0","-3,444.0","-127.0","1,494.0","2,272.0","-6,433.0","3,780.0","7,102.0","590.0","-10,936.0","1,640.0","2,116.0","98.0","-6,294.0","2,920.0","3,360.0","-740.0","-6,980.0","2,599.0","3,762.0","-1,128.0","-6,579.0","-8,181.0"
"66","45","  Current transfer payments","M318471","16.0","21.0","64.0","95.0","75.0","104.0","91.0","35.0","68.0","22.0","89.0","194.0","118.0","-84.0","172.0","-19.0","125.0","250.0","299.0","251.0","211.0","185.0","98.0","52.0","-151.0","-356.0","-52.0","-99.0","188.0","249.0","101.0","154.0","300.0","78.0","93.0","-718.0","-230.0","360.0","1,258.0","-713.0","248.0","165.0","1,851.0","-1,246.0","1,724.0","126.0","17.0","-1,531.0","1,782.0","-74.0","188.0","-13,780.0","14,173.0","67.0","114.0","-2,008.0","1,961.0","189.0","350.0","-1,600.0","707.0","402.0","3,568.0","-2,383.0","2,303.0","-484.0","520.0","-2,087.0","2,132.0","-36.0","66.0","-1,850.0","2,145.0","240.0","2,047.0","-19,422.0","19,516.0","-209.0","-1,127.0","-233.0","971.0","393.0","229.0","259.0","-393.0","40.0","3,024.0","-1,947.0","2,519.0","-224.0","-171.0","-2,359.0","3,437.0","174.0","642.0","-26,947.0","27,330.0","-64.0","157.0","-3,209.0","3,027.0","-61.0","-3,536.0","413.0","-371.0","-251.0","-409.0","376.0","3,159.0","-315.0","-543.0","-3,843.0","3,564.0","-586.0","-303.0","-3,698.0","3,815.0","-643.0","-622.0","-33,801.0","33,393.0","-739.0","-711.0","-4,450.0","-239.0","-795.0","-577.0","-256.0","747.0","-409.0","4,900.0","-3,156.0","4,778.0","-580.0","-635.0","-4,410.0","5,589.0","374.0","1,184.0","7,684.0","4,937.0","-21.0","732.0","-3,476.0","6,538.0","572.0","-8,375.0","4,582.0","-7,206.0","-1,393.0","13,793.0","-3,388.0","-7,803.0","-2,151.0","17,052.0","-748.0","8,773.0","3,502.0","1,565.0","-6,896.0","10,609.0","1,573.0","-3,543.0","-37,297.0","43,397.0","2,071.0","-5,595.0","-5,348.0","12,955.0","2,074.0","-31,722.0","20,395.0","-7,436.0","-5,494.0","31,572.0","-8,035.0"
"67","46","  Other \10\","W708MC1","76.0","174.0","29.0","-185.0","-12.0","166.0","-126.0","-205.0","93.0","315.0","96.0","-442.0","176.0","496.0","68.0","390.0","-388.0","-345.0","-481.0","-290.0","662.0","133.0","465.0","512.0","-1,216.0","603.0","-109.0","-282.0","474.0","-107.0","426.0","1,307.0","-1,190.0","-471.0","351.0","-376.0","421.0","-116.0","584.0","235.0","740.0","-481.0","-61.0","-90.0","69.0","-104.0","240.0","-410.0","-305.0","195.0","335.0","-505.0","697.0","167.0","242.0","423.0","487.0","94.0","351.0","279.0","-163.0","723.0","641.0","1,037.0","1,083.0","-221.0","263.0","-106.0","105.0","-497.0","235.0","598.0","130.0","-197.0","753.0","-409.0","-379.0","-182.0","-12.0","784.0","226.0","1,246.0","-1,190.0","1,439.0","-74.0","1,043.0","1,086.0","178.0","371.0","1,541.0","-272.0","755.0","218.0","-707.0","-1,424.0","-1,363.0","1,683.0","2,302.0","-3,798.0","-160.0","239.0","1,540.0","-3,782.0","-712.0","3,864.0","1,288.0","-2,735.0","1,458.0","1,792.0","1,441.0","-3,081.0","-253.0","1,120.0","1,001.0","-2,930.0","2,473.0","1,708.0","444.0","-3,000.0","837.0","2,794.0","387.0","-2,312.0","-1,069.0","1,034.0","1,222.0","-2,540.0","983.0","1,321.0","1,755.0","-1,671.0","1,301.0","-37.0","-21.0","-5,196.0","2,524.0","-307.0","1,734.0","-2,554.0","2,498.0","-386.0","1,944.0","-2,036.0","1,816.0","-236.0","1,884.0","15,232.0","-8,789.0","-4,927.0","-144.0","-1,440.0","416.0","359.0","139.0","-388.0","1,657.0","-443.0","-732.0","1,957.0","-647.0","-3,190.0","130.0","-632.0","34.0","-1,389.0","-927.0","444.0","610.0","53.0","-271.0","-2,120.0","-455.0","-427.0","3,128.0","2,365.0","6,383.0"
"68","47","Equals: Federal government current expenditures, NIPAs","M318491","45,919.0","49,415.0","51,517.0","50,092.0","50,684.0","55,705.0","57,428.0","56,075.0","57,221.0","61,685.0","61,265.0","61,361.0","64,211.0","67,358.0","66,649.0","69,677.0","70,255.0","72,376.0","72,634.0","71,670.0","75,641.0","79,516.0","80,161.0","83,828.0","89,313.0","95,090.0","93,129.0","96,276.0","99,306.0","98,984.0","100,471.0","103,318.0","105,555.0","107,090.0","109,382.0","113,390.0","117,197.0","119,632.0","121,131.0","125,438.0","128,034.0","130,499.0","133,831.0","138,931.0","147,333.0","151,217.0","157,012.0","163,727.0","172,146.0","172,944.0","177,364.0","183,810.0","189,261.0","191,027.0","195,580.0","206,788.0","208,687.0","211,924.0","211,891.0","216,719.0","221,966.0","222,458.0","223,913.0","234,664.0","239,539.0","241,132.0","241,747.0","248,450.0","250,699.0","259,827.0","258,991.0","260,464.0","263,056.0","263,702.0","261,903.0","273,468.0","277,578.0","277,367.0","272,338.0","291,491.0","296,829.0","298,847.0","293,894.0","307,908.0","318,687.0","321,664.0","317,456.0","328,782.0","321,107.0","337,362.0","336,558.0","356,731.0","367,354.0","367,926.0","366,148.0","383,310.0","382,290.0","383,634.0","383,018.0","391,622.0","395,377.0","388,959.0","393,831.0","402,242.0","414,965.0","417,461.0","411,112.0","410,181.0","432,778.0","425,049.0","421,320.0","430,514.0","442,255.0","436,708.0","428,968.0","444,879.0","450,268.0","441,701.0","436,439.0","452,633.0","461,505.0","453,874.0","451,388.0","467,437.0","482,826.0","476,167.0","465,675.0","482,592.0","511,388.0","499,793.0","493,749.0","507,889.0","537,680.0","530,604.0","525,651.0","542,790.0","569,335.0","574,752.0","563,238.0","586,150.0","618,190.0","598,098.0","595,127.0","610,549.0","663,782.0","642,862.0","642,195.0","654,685.0","710,680.0","687,736.0","680,298.0","681,110.0","750,725.0","727,797.0","718,458.0","730,516.0","794,914.0","796,741.0","776,959.0","772,235.0","852,008.0","881,346.0","869,765.0","876,753.0","968,457.0","917,340.0","913,272.0","922,208.0","995,529.0","950,685.0","911,827.0","906,894.0","988,553.0","936,859.0","921,795.0","925,473.0"
"69",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","48","Budget surplus or deficit (-) (1-19)","M318501","-1,969.0","15,518.0","-2,461.0","-5,624.0","-3,466.0","8,706.0","-7,759.0","-8,862.0","-8,200.0","1,788.0","-7,775.0","-10,602.0","-10,488.0","5,638.0","-2,041.0","-10,484.0","-9,481.0","7,705.0","-1,062.0","-5,045.0","-7,086.0","9,733.0","-1,592.0","-11,993.0","-17,994.0","-12,025.0","-18,529.0","-26,563.0","-22,702.0","2,189.0","-12,701.0","-22,785.0","-18,693.0","8,618.0","-12,175.0","-28,784.0","-25,833.0","13,963.0","-8,108.0","-23,768.0","-20,410.0","21,379.0","-4,482.0","-24,484.0","-26,894.0","8,073.0","-15,656.0","-33,555.0","-32,053.0","16,243.0","-8,569.0","-48,215.0","-23,696.0","-2,499.0","-36,244.0","-68,265.0","-60,961.0","-29,197.0","-36,950.0","-63,337.0","-55,299.0","-25,619.0","-33,969.0","-73,268.0","-54,833.0","-27,796.0","-47,258.0","-76,018.0","-60,375.0","-30,811.0","-53,895.0","-64,372.0","-57,601.0","2,144.0","-28,595.0","-80,409.0","-37,596.0","674.0","-36,930.0","-67,448.0","-61,058.0","22,712.0","-47,523.0","-69,815.0","-80,910.0","-12,518.0","-57,223.0","-83,214.0","-65,015.0","-26,144.0","-95,121.0","-83,575.0","-114,114.0","-30,013.0","-62,638.0","-120,360.0","-63,127.0","-17,571.0","-53,582.0","-90,771.0","-61,508.0","1,037.0","-51,944.0","-75,419.0","-70,598.0","23,930.0","-41,866.0","-55,731.0","-72,928.0","53,427.0","-32,199.0","-58,836.0","-52,325.0","100,529.0","-11,252.0","-39,664.0","-29,874.0","137,105.0","1,703.0","-54,843.0","5,397.0","144,664.0","30,392.0","-20,409.0","-14,912.0","211,241.0","60,319.0","-3,040.0","-21,859.0","194,256.0","-41,121.0","-35,335.0","-96,443.0","15,654.0","-41,634.0","-108,475.0","-144,817.0","-15,921.0","-108,372.0","-129,203.0","-172,333.0","-25,320.0","-85,871.0","-117,323.0","-176,335.0","45,578.0","-70,264.0","-119,222.0","-183,684.0","96,175.0","-41,450.0","-80,360.0","-177,970.0","136,777.0","-39,148.0","-108,141.0","-206,077.0","25,546.0","-169,881.0","-479,214.0","-471,669.0","-130,551.0","-331,253.0","-389,212.0","-327,979.0","-288,598.0","-288,584.0","-369,442.0","-461,828.0","-141,793.0","-326,530.0","-320,110.0","-456,938.0","-124,757.0","-185,158.0","-293,202.0"
"71","49","Plus: Net investment (28)","M318511","1,814.0","1,193.0","1,280.0","660.0","961.0","782.0","523.0","613.0","-252.0","-335.0","-64.0","-549.0","-328.0","214.0","-474.0","-143.0","445.0","246.0","-314.0","-460.0","-29.0","309.0","312.0","393.0","200.0","-112.0","919.0","1,055.0","1,004.0","865.0","1,162.0","1,089.0","1,272.0","1,543.0","1,512.0","1,143.0","1,057.0","1,735.0","2,087.0","2,405.0","2,056.0","2,286.0","3,146.0","2,501.0","3,178.0","3,017.0","2,988.0","3,178.0","3,186.0","3,781.0","3,992.0","4,193.0","3,617.0","4,534.0","4,337.0","4,800.0","4,909.0","5,476.0","6,282.0","6,709.0","6,558.0","6,981.0","6,835.0","8,813.0","8,203.0","9,477.0","10,939.0","10,557.0","9,083.0","9,780.0","11,689.0","11,018.0","10,303.0","11,571.0","11,921.0","11,110.0","8,182.0","8,109.0","7,599.0","7,790.0","6,794.0","6,810.0","7,351.0","6,101.0","6,598.0","7,360.0","7,180.0","5,918.0","4,706.0","6,085.0","4,876.0","3,226.0","3,332.0","4,081.0","4,135.0","3,420.0","1,871.0","1,747.0","1,214.0","567.0","-1,579.0","-886.0","762.0","-1,247.0","-705.0","-573.0","-760.0","-2,178.0","224.0","-299.0","-343.0","-2,192.0","-3,709.0","-2,412.0","-1,344.0","-1,858.0","-3,041.0","-1,575.0","-52.0","-1,246.0","-2,445.0","-322.0","-88.0","913.0","-1,822.0","-658.0","-1,309.0","-323.0","-1,802.0","415.0","210.0","1,726.0","908.0","3,980.0","5,428.0","4,930.0","4,097.0","7,073.0","8,290.0","6,579.0","6,957.0","7,422.0","9,081.0","8,924.0","6,394.0","8,081.0","10,885.0","8,157.0","8,961.0","9,831.0","9,206.0","9,346.0","8,238.0","10,266.0","10,870.0","9,247.0","8,958.0","12,415.0","14,187.0","13,877.0","9,863.0","12,890.0","14,116.0","12,572.0","11,057.0","14,080.0","15,218.0","14,279.0","9,591.0","10,458.0","10,614.0","8,258.0","4,694.0","5,889.0","7,096.0","4,112.0"
"72","50","Less: Net capital transfers received (4-29)","M318521","-456.0","-40.0","-823.0","-978.0","-298.0","90.0","-637.0","-733.0","-268.0","-146.0","-728.0","-219.0","612.0","-41.0","-805.0","-456.0","196.0","-379.0","-185.0","-537.0","-426.0","-927.0","-508.0","-1,270.0","-967.0","-953.0","-1,262.0","-1,642.0","-849.0","-1,024.0","-1,461.0","-1,700.0","668.0","-1,168.0","-1,866.0","-1,670.0","-1,099.0","-1,417.0","-1,964.0","-2,292.0","-1,553.0","-1,754.0","-2,632.0","-3,089.0","-1,874.0","-2,235.0","-2,648.0","-3,468.0","-1,963.0","-2,197.0","-2,251.0","-2,434.0","-865.0","-1,686.0","-2,125.0","-2,479.0","-1,949.0","-1,982.0","-2,933.0","-2,945.0","-1,850.0","-2,617.0","-3,716.0","-3,630.0","-1,814.0","-3,070.0","-4,137.0","-4,171.0","-2,359.0","-3,149.0","-4,423.0","-3,179.0","-2,102.0","-2,733.0","-3,671.0","-3,385.0","-2,248.0","-2,653.0","-4,038.0","-3,172.0","-2,329.0","-2,131.0","-3,419.0","-3,226.0","-2,343.0","-666.0","-3,255.0","-3,123.0","-2,094.0","-2,123.0","-3,234.0","-2,930.0","-2,019.0","-2,316.0","-3,679.0","-3,262.0","-2,062.0","-1,557.0","-4,129.0","-2,986.0","-1,663.0","-933.0","-3,825.0","-3,432.0","-2,951.0","-2,478.0","-3,929.0","-3,151.0","-2,836.0","-1,478.0","-3,391.0","-3,226.0","-1,927.0","-824.0","-3,397.0","-2,319.0","-699.0","1,195.0","-2,552.0","-1,689.0","57.0","1,152.0","-3,527.0","-1,293.0","-1,494.0","-83.0","-3,990.0","-3,323.0","-2,181.0","-1,468.0","-6,358.0","-4,550.0","-3,983.0","-3,844.0","-6,800.0","-5,981.0","-3,004.0","-6,190.0","-9,305.0","-5,880.0","-3,884.0","-4,207.0","-8,610.0","-5,856.0","-4,139.0","-5,811.0","-25,279.0","-6,821.0","-3,423.0","-5,291.0","-9,067.0","-7,357.0","-4,257.0","-5,644.0","-10,474.0","-7,783.0","-4,589.0","-4,932.0","-13,762.0","-77,246.0","-62,303.0","-43,630.0","-30,184.0","-37,114.0","-25,120.0","-37,195.0","-25,634.0","-24,143.0","-20,659.0","-21,538.0","-29,640.0","-31,665.0","-17,243.0","-14,883.0","-20,544.0","-24,347.0"
