"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"64","43","        Other \4\","M318431","-986.0","-503.0","-536.0","-574.0","-905.0","-944.0","-567.0","-689.0","-943.0","-797.0","-769.0","-799.0","-847.0","-1,158.0","-774.0","-636.0","-1,083.0","-1,217.0","-772.0","-698.0","-1,244.0","-1,004.0","-963.0","-967.0","-1,141.0","-1,785.0","-1,264.0","-1,259.0","-1,459.0","-1,524.0","-1,507.0","-1,384.0","-2,110.0","-1,794.0","-1,580.0","-1,459.0","-1,640.0","-1,565.0","-1,636.0","-1,622.0","-1,924.0","-1,863.0","-1,959.0","-2,071.0","-2,216.0","-2,095.0","-2,189.0","-2,415.0","-2,992.0","-2,733.0","-2,586.0","-2,942.0","-3,472.0","-3,439.0","-3,126.0","-3,205.0","-3,448.0","-3,650.0","-3,420.0","-3,736.0","-4,579.0","-4,305.0","-4,271.0","-4,845.0","-4,603.0","-6,249.0","-5,076.0","-4,355.0","-4,622.0","-4,495.0","-4,644.0","-4,921.0","-5,109.0","-5,092.0","-5,215.0","-5,146.0","-5,026.0","-5,386.0","-4,601.0","-4,720.0","-5,882.0","-5,591.0","-5,644.0","-5,321.0","-5,842.0","-5,997.0","-5,694.0","-6,320.0","-6,119.0","-6,256.0","-6,643.0","-6,410.0","-7,052.0","-6,775.0","-7,076.0","-7,318.0","-8,625.0","-8,308.0","-8,810.0","-8,476.0","-9,026.0","-8,657.0","-8,866.0","-7,216.0","-7,739.0","-7,185.0","-7,949.0","-6,441.0","-7,660.0","-7,498.0","-9,063.0","-11,544.0","-8,521.0","-7,736.0","-9,501.0","-7,199.0","-8,444.0","-7,635.0","-9,629.0","-6,738.0","-7,598.0","-7,388.0","-9,376.0","-8,015.0","-8,977.0","-8,672.0","-10,467.0","-8,577.0","-10,323.0","-10,018.0","-10,557.0","-8,848.0","-9,027.0","-11,143.0","-13,649.0","-8,775.0","-10,387.0","-11,276.0","-12,948.0","-10,032.0","-11,921.0","-12,481.0","-13,597.0","-11,849.0","-12,881.0","-13,561.0","-15,740.0","-12,232.0","-14,818.0","-15,370.0","-16,310.0","-13,184.0","-15,940.0","-15,973.0","-17,445.0","-15,759.0","-17,973.0","-18,370.0","-21,845.0","-19,618.0","-20,145.0","-18,476.0","-26,018.0","-64,998.0","-18,933.0","-18,891.0","-21,830.0","-16,686.0"
"65","44","Plus: Timing differences","M318441","-1,111.0","244.0","-860.0","-125.0","-1,127.0","1,833.0","-1,396.0","1,388.0","-607.0","585.0","-184.0","1,096.0","-611.0","-869.0","1,018.0","1,959.0","-1,298.0","685.0","364.0","-694.0","425.0","-287.0","1,494.0","-310.0","-1,199.0","-379.0","63.0","-889.0","1,811.0","9.0","1,621.0","2,019.0","-206.0","-145.0","171.0","-1,069.0","642.0","-288.0","2,184.0","655.0","559.0","-33.0","2,011.0","-2,316.0","1,340.0","83.0","-874.0","-1,325.0","746.0","-1,046.0","484.0","-15,594.0","14,549.0","-211.0","-565.0","-2,064.0","1,661.0","24.0","449.0","-1,226.0","-288.0","333.0","4,426.0","-1,384.0","2,500.0","-1,283.0","-203.0","-3,155.0","1,176.0","-1,122.0","1,005.0","-1,056.0","3,411.0","1,364.0","6,711.0","-22,476.0","21,796.0","469.0","186.0","-4,423.0","361.0","2,067.0","-454.0","1,538.0","-2,212.0","2,960.0","6,693.0","-5,191.0","6,769.0","663.0","-1,160.0","-5,751.0","4,306.0","-817.0","-512.0","-28,475.0","32,488.0","1,768.0","-3,670.0","-4,209.0","6,307.0","2,088.0","-9,137.0","-580.0","5,321.0","4,901.0","-3,272.0","4,922.0","9,589.0","2,578.0","-3,337.0","-5,920.0","7,250.0","738.0","-4,781.0","-3,472.0","9,184.0","303.0","-5,252.0","-32,857.0","38,586.0","1,059.0","-4,375.0","-6,981.0","2,431.0","617.0","-5,795.0","1,898.0","1,712.0","2,470.0","3,225.0","-4,298.0","6,764.0","677.0","-7,853.0","-5,219.0","9,763.0","2,547.0","-6,034.0","-4,656.0","8,218.0","3,504.0","-3,921.0","-6,915.0","12,324.0","3,349.0","-202.0","-12,554.0","-9,519.0","5,145.0","10,416.0","-9,458.0","-3,038.0","3,371.0","18,766.0","-11,319.0","16,519.0","9,949.0","-197.0","-20,413.0","11,924.0","6,854.0","-6,513.0","-53,714.0","44,251.0","2,204.0","1,184.0","-21,057.0"
"66","45","        Purchases (increase in payables net of advances)","M318451","-1,004.0","-428.0","-199.0","-190.0","-449.0","212.0","-426.0","605.0","184.0","-707.0","753.0","312.0","181.0","-2,369.0","1,908.0","435.0","125.0","-383.0","568.0","-676.0","-232.0","-702.0","926.0","-886.0","269.0","-697.0","247.0","-540.0","1,210.0","-76.0","1,240.0","733.0","518.0","379.0","-191.0","166.0","465.0","-302.0","300.0","1,207.0","-125.0","514.0","155.0","-825.0","-287.0","143.0","-873.0","801.0","-695.0","-734.0","214.0","-822.0","-70.0","-285.0","-724.0","-452.0","-512.0","-215.0","171.0","65.0","-56.0","-340.0","275.0","179.0","-518.0","-242.0","-690.0","-644.0","-327.0","-281.0","1,043.0","419.0","933.0","759.0","3,591.0","-2,445.0","3,163.0","747.0","2,381.0","-4,866.0","-305.0","169.0","894.0","92.0","-1,250.0","1,717.0","3,260.0","-833.0","4,427.0","-410.0","368.0","-3,936.0","866.0","612.0","426.0","-605.0","2,265.0","-910.0","611.0","-2,046.0","1,910.0","254.0","-466.0","-494.0","1,116.0","3,034.0","592.0","1,582.0","3,426.0","524.0","1,910.0","-2,356.0","2,041.0","-82.0","-299.0","-2,310.0","2,472.0","-111.0","202.0","-2,189.0","1,850.0","551.0","914.0","-2,361.0","554.0","-533.0","-334.0","-996.0","-909.0","-651.0","2,949.0","-3,232.0","976.0","225.0","419.0","-4,072.0","3,766.0","-471.0","-662.0","-4,868.0","2,988.0","864.0","798.0","-7,209.0","5,079.0","209.0","-2,583.0","-9,931.0","3,797.0","3,728.0","3,583.0","-9,159.0","2,585.0","2,152.0","6,513.0","-13,080.0","6,931.0","2,834.0","1,201.0","-16,315.0","6,500.0","686.0","3,008.0","-17,399.0","5,283.0","1,454.0","448.0","-18,898.0"
"67","46","        Interest payments","M318461","-199.0","477.0","-754.0","155.0","-741.0","1,351.0","-935.0","953.0","-952.0","955.0","-1,122.0","1,032.0","-1,086.0","1,088.0","-1,130.0","1,153.0","-1,160.0","1,163.0","-22.0","21.0","-216.0","97.0","5.0","12.0","-101.0","71.0","-23.0","32.0","-61.0","-57.0","-146.0","-175.0","166.0","-131.0","-82.0","-141.0","-14.0","-230.0","42.0","-74.0","-304.0","-231.0","66.0","-155.0","-166.0","-82.0","-258.0","-185.0","-36.0","-433.0","-253.0","-487.0","-251.0","-160.0","-197.0","-27.0","-275.0","-44.0","-423.0","30.0","-776.0","-452.0","-58.0","-217.0","-368.0","-336.0","-296.0","-318.0","-734.0","-308.0","-339.0","-223.0","203.0","562.0","320.0","-200.0","-504.0","113.0","-1,056.0","-108.0","-531.0","259.0","-387.0","-252.0","-495.0","160.0","-677.0","-2,589.0","-548.0","-244.0","-1,085.0","-211.0","-215.0","-896.0","-156.0","440.0","1,210.0","440.0","-640.0","1,206.0","1,131.0","355.0","-1,353.0","213.0","386.0","512.0","-1,027.0","1,162.0","860.0","580.0","-1,958.0","172.0","184.0","78.0","-1,559.0","-358.0","814.0","252.0","-2,234.0","1,855.0","97.0","411.0","-2,688.0","424.0","640.0","262.0","-2,780.0","1,805.0","220.0","1,424.0","-3,294.0","391.0","587.0","573.0","-2,904.0","482.0","705.0","931.0","-3,442.0","-896.0","820.0","1,014.0","-3,157.0","1,911.0","1,060.0","1,117.0","-4,056.0","1,521.0","-845.0","3,307.0","-5,243.0","1,961.0","1,531.0","2,942.0","-4,707.0","476.0","741.0","3,837.0","-5,449.0","2,852.0","3,836.0","2,764.0","-10,128.0","2,802.0","2,250.0","1,470.0","-8,084.0","3,555.0"
"68","47","        Current transfer payments","M318471","16.0","21.0","64.0","95.0","75.0","104.0","91.0","35.0","68.0","22.0","89.0","194.0","118.0","-84.0","172.0","-19.0","125.0","250.0","299.0","251.0","211.0","185.0","98.0","52.0","-151.0","-356.0","-52.0","-99.0","188.0","249.0","101.0","154.0","300.0","78.0","93.0","-718.0","-230.0","360.0","1,258.0","-713.0","248.0","165.0","1,851.0","-1,246.0","1,724.0","126.0","17.0","-1,531.0","1,782.0","-74.0","188.0","-13,780.0","14,173.0","67.0","114.0","-2,008.0","1,961.0","189.0","350.0","-1,600.0","707.0","402.0","3,568.0","-2,383.0","2,303.0","-484.0","520.0","-2,087.0","2,132.0","-36.0","66.0","-1,850.0","2,145.0","240.0","2,047.0","-19,422.0","19,516.0","-209.0","-1,127.0","-233.0","971.0","393.0","229.0","259.0","-393.0","40.0","3,024.0","-1,947.0","2,519.0","-224.0","-171.0","-2,359.0","3,437.0","174.0","642.0","-26,947.0","27,330.0","-64.0","157.0","-3,209.0","3,027.0","-61.0","-3,536.0","413.0","-47.0","66.0","-103.0","719.0","3,510.0","32.0","-210.0","-3,484.0","3,905.0","-260.0","7.0","-3,327.0","4,189.0","-283.0","-269.0","-33,359.0","33,821.0","-322.0","-289.0","-4,003.0","203.0","-362.0","-141.0","82.0","1,080.0","-72.0","5,241.0","-2,762.0","5,188.0","-173.0","-221.0","-4,213.0","5,600.0","356.0","626.0","-1,390.0","4,804.0","-310.0","484.0","-3,425.0","6,423.0","137.0","-8,793.0","4,643.0","-7,511.0","-1,773.0","13,269.0","-3,355.0","-7,337.0","-1,686.0","17,524.0","-193.0","9,347.0","4,068.0","2,152.0","-6,177.0","4,872.0","3,369.0","1,334.0","-39,115.0","38,460.0","561.0","8,730.0","-5,238.0"
"69","48","        Other \11\","W708MC1","76.0","174.0","29.0","-185.0","-12.0","166.0","-126.0","-205.0","93.0","315.0","96.0","-442.0","176.0","496.0","68.0","390.0","-388.0","-345.0","-481.0","-290.0","662.0","133.0","465.0","512.0","-1,216.0","603.0","-109.0","-282.0","474.0","-107.0","426.0","1,307.0","-1,190.0","-471.0","351.0","-376.0","421.0","-116.0","584.0","235.0","740.0","-481.0","-61.0","-90.0","69.0","-104.0","240.0","-410.0","-305.0","195.0","335.0","-505.0","697.0","167.0","242.0","423.0","487.0","94.0","351.0","279.0","-163.0","723.0","641.0","1,037.0","1,083.0","-221.0","263.0","-106.0","105.0","-497.0","235.0","598.0","130.0","-197.0","753.0","-409.0","-379.0","-182.0","-12.0","784.0","226.0","1,246.0","-1,190.0","1,439.0","-74.0","1,043.0","1,086.0","178.0","371.0","1,541.0","-272.0","755.0","218.0","-707.0","-1,424.0","-1,363.0","1,683.0","2,302.0","-3,798.0","-160.0","239.0","1,540.0","-3,782.0","-712.0","3,866.0","1,289.0","-2,734.0","1,459.0","1,793.0","1,442.0","-3,079.0","-252.0","1,120.0","1,002.0","-2,930.0","2,523.0","1,709.0","445.0","-2,951.0","836.0","2,818.0","419.0","-2,312.0","-1,041.0","1,034.0","1,250.0","-2,540.0","1,007.0","1,321.0","1,769.0","-1,671.0","1,305.0","13.0","52.0","-5,147.0","2,584.0","-308.0","1,731.0","-2,556.0","2,498.0","-394.0","1,936.0","-2,046.0","1,808.0","-238.0","1,886.0","15,230.0","-8,787.0","-4,960.0","-117.0","-1,193.0","1,095.0","183.0","-37.0","-564.0","1,478.0","-500.0","-790.0","1,899.0","-773.0","-3,284.0","35.0","-727.0","-2.0","-1,742.0","-1,281.0","90.0","-476.0"
"70","49","Equals: Federal government current expenditures, NIPAs","M318491","42,924.0","46,503.0","47,999.0","46,673.0","45,801.0","52,185.0","52,444.0","51,147.0","51,840.0","56,822.0","55,822.0","56,102.0","58,266.0","62,413.0","60,888.0","63,631.0","63,838.0","67,300.0","65,968.0","65,528.0","68,722.0","74,905.0","73,331.0","77,493.0","81,815.0","91,151.0","85,467.0","89,841.0","91,626.0","95,826.0","92,509.0","96,697.0","97,519.0","100,283.0","106,205.0","106,078.0","107,875.0","111,231.0","116,684.0","117,137.0","118,053.0","122,396.0","129,801.0","130,616.0","136,757.0","142,915.0","154,299.0","155,480.0","161,187.0","164,688.0","175,428.0","175,387.0","177,170.0","182,681.0","194,033.0","198,737.0","195,976.0","204,210.0","210,505.0","208,800.0","208,422.0","214,273.0","221,665.0","237,092.0","225,687.0","234,685.0","239,675.0","252,971.0","236,343.0","253,333.0","256,138.0","264,841.0","250,039.0","258,073.0","258,980.0","278,781.0","262,033.0","272,160.0","266,969.0","295,782.0","279,259.0","293,116.0","287,330.0","312,269.0","299,257.0","315,045.0","311,454.0","333,445.0","299,957.0","331,330.0","327,828.0","361,228.0","344,461.0","360,682.0","357,158.0","388,194.0","357,546.0","376,698.0","373,427.0","396,641.0","370,375.0","381,649.0","383,338.0","407,150.0","389,419.0","410,915.0","399,970.0","413,700.0","406,602.0","418,558.0","410,387.0","439,138.0","415,686.0","429,526.0","418,364.0","452,714.0","422,901.0","433,870.0","425,513.0","461,998.0","433,463.0","446,500.0","440,223.0","475,972.0","455,466.0","469,795.0","453,771.0","492,903.0","483,211.0","494,138.0","482,539.0","519,881.0","510,952.0","526,616.0","518,124.0","556,411.0","543,669.0","572,809.0","554,128.0","590,858.0","587,671.0","592,489.0","586,397.0","626,849.0","633,438.0","636,706.0","633,248.0","669,697.0","677,747.0","682,384.0","672,875.0","695,311.0","719,245.0","718,713.0","709,546.0","752,447.0","763,364.0","789,101.0","772,913.0","790,345.0","804,338.0","872,855.0","870,325.0","902,903.0","931,757.0","904,464.0","919,650.0","947,438.0"
"71",NA,"      Net federal government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","50","Budget surplus or deficit (-) (1-19)","M318501","-1,969.0","15,518.0","-2,461.0","-5,624.0","-3,466.0","8,706.0","-7,759.0","-8,862.0","-8,200.0","1,788.0","-7,775.0","-10,602.0","-10,488.0","5,638.0","-2,041.0","-10,484.0","-9,481.0","7,705.0","-1,062.0","-5,045.0","-7,086.0","9,733.0","-1,592.0","-11,993.0","-17,994.0","-12,025.0","-18,529.0","-26,563.0","-22,702.0","2,189.0","-12,701.0","-22,785.0","-18,693.0","8,618.0","-12,175.0","-28,784.0","-25,833.0","13,963.0","-8,108.0","-23,768.0","-20,410.0","21,379.0","-4,482.0","-24,484.0","-26,894.0","8,073.0","-15,656.0","-33,555.0","-32,053.0","16,243.0","-8,569.0","-48,215.0","-23,696.0","-2,499.0","-36,244.0","-68,265.0","-60,961.0","-29,197.0","-36,950.0","-63,337.0","-55,299.0","-25,619.0","-33,969.0","-73,268.0","-54,833.0","-27,796.0","-47,258.0","-76,018.0","-60,375.0","-30,811.0","-53,895.0","-64,372.0","-57,601.0","2,144.0","-28,595.0","-80,409.0","-37,596.0","674.0","-36,930.0","-67,448.0","-61,058.0","22,712.0","-47,523.0","-69,815.0","-80,910.0","-12,518.0","-57,223.0","-83,214.0","-65,015.0","-26,144.0","-95,121.0","-83,575.0","-114,114.0","-30,013.0","-62,638.0","-120,360.0","-63,127.0","-17,571.0","-53,582.0","-90,771.0","-61,508.0","1,037.0","-51,944.0","-75,419.0","-71,103.0","23,426.0","-40,856.0","-56,032.0","-72,953.0","53,403.0","-31,849.0","-58,749.0","-52,350.0","100,505.0","-11,290.0","-39,728.0","-29,905.0","137,074.0","1,829.0","-54,732.0","5,384.0","144,651.0","30,307.0","-20,962.0","-14,929.0","211,224.0","60,909.0","-2,659.0","-21,942.0","194,172.0","-41,336.0","-35,516.0","-96,438.0","15,657.0","-41,460.0","-108,648.0","-144,839.0","-15,946.0","-108,152.0","-130,193.0","-171,142.0","-25,742.0","-85,650.0","-117,772.0","-175,207.0","44,845.0","-70,212.0","-119,478.0","-183,543.0","96,525.0","-41,685.0","-79,911.0","-178,121.0","136,630.0","-39,299.0","-108,139.0","-206,069.0","25,536.0","-169,881.0","-479,212.0","-471,440.0","-130,324.0","-331,712.0","-388,992.0","-327,812.0","-288,430.0","-288,255.0","-370,998.0"
"73","51","Plus: Net investment (28)","M318511","400.0","-202.0","-37.0","-581.0","-175.0","-280.0","-450.0","-321.0","-1,147.0","-1,195.0","-946.0","-1,473.0","-1,299.0","-761.0","-1,403.0","-1,147.0","-528.0","-626.0","-1,152.0","-1,093.0","-741.0","-220.0","-363.0","-236.0","-317.0","-525.0","283.0","357.0","268.0","253.0","381.0","279.0","319.0","572.0","786.0","-10.0","-77.0","541.0","1,105.0","1,043.0","625.0","776.0","2,188.0","1,100.0","1,625.0","1,428.0","1,795.0","1,438.0","1,289.0","1,907.0","2,804.0","2,131.0","1,567.0","2,660.0","2,934.0","2,753.0","2,989.0","3,462.0","4,809.0","4,457.0","4,456.0","4,622.0","4,874.0","5,877.0","5,058.0","6,095.0","8,246.0","6,987.0","5,734.0","6,465.0","9,038.0","7,614.0","6,536.0","7,738.0","8,842.0","7,540.0","4,913.0","5,089.0","5,513.0","5,238.0","4,512.0","4,759.0","6,168.0","4,214.0","4,658.0","5,515.0","6,293.0","4,305.0","3,439.0","5,164.0","5,018.0","2,580.0","2,703.0","3,563.0","4,647.0","3,259.0","1,598.0","1,590.0","2,097.0","639.0","-1,591.0","-949.0","1,612.0","-1,288.0","-572.0","-526.0","200.0","-2,174.0","359.0","-173.0","586.0","-2,258.0","-3,911.0","-2,570.0","-476.0","-2,143.0","-3,394.0","-1,956.0","523.0","-1,581.0","-2,910.0","-909.0","259.0","140.0","-2,852.0","-1,729.0","-1,342.0","-1,782.0","-3,403.0","-1,621.0","-1,139.0","-900.0","-2,266.0","349.0","2,556.0","356.0","-1,114.0","1,606.0","3,810.0","1,081.0","1,027.0","1,220.0","3,944.0","2,254.0","-211.0","1,572.0","5,911.0","2,754.0","2,977.0","3,571.0","4,326.0","3,253.0","1,904.0","3,858.0","6,111.0","2,906.0","2,923.0","6,557.0","10,268.0","8,665.0","4,602.0","8,121.0","11,585.0","7,342.0","6,525.0","9,901.0","11,859.0","10,503.0"
"74","52","Less: Net capital transfers received (4-29)","M318521","-455.0","-40.0","-822.0","-978.0","-298.0","91.0","-636.0","-730.0","-265.0","-143.0","-724.0","-213.0","618.0","-35.0","-796.0","-447.0","205.0","-370.0","-175.0","-528.0","-417.0","-918.0","-499.0","-1,261.0","-955.0","-938.0","-1,247.0","-1,627.0","-834.0","-1,012.0","-1,449.0","-1,688.0","681.0","-1,153.0","-1,848.0","-1,652.0","-1,078.0","-1,396.0","-1,943.0","-2,268.0","-1,529.0","-1,727.0","-2,605.0","-3,059.0","-1,844.0","-2,203.0","-2,615.0","-3,435.0","-1,931.0","-2,167.0","-2,221.0","-2,404.0","-835.0","-1,657.0","-2,098.0","-2,452.0","-1,922.0","-1,956.0","-2,909.0","-2,921.0","-1,828.0","-2,594.0","-3,691.0","-3,602.0","-1,780.0","-3,033.0","-4,099.0","-4,137.0","-2,329.0","-3,122.0","-4,396.0","-3,152.0","-2,070.0","-2,699.0","-3,635.0","-3,349.0","-2,214.0","-2,620.0","-4,004.0","-3,139.0","-2,296.0","-2,095.0","-3,383.0","-3,190.0","-2,307.0","-628.0","-3,216.0","-3,084.0","-2,052.0","-2,080.0","-3,191.0","-2,888.0","-1,976.0","-2,273.0","-3,636.0","-3,245.0","-2,062.0","-1,557.0","-4,129.0","-2,990.0","-1,664.0","-933.0","-3,825.0","-3,437.0","-2,950.0","-2,478.0","-3,928.0","-3,149.0","-2,838.0","-1,478.0","-3,391.0","-3,221.0","-1,927.0","-824.0","-3,398.0","-2,319.0","-697.0","1,193.0","-2,552.0","-1,662.0","59.0","1,176.0","-3,420.0","-1,199.0","-1,326.0","85.0","-4,036.0","-3,182.0","-2,045.0","-1,326.0","-6,205.0","-4,472.0","-3,881.0","-3,700.0","-6,669.0","-5,853.0","-2,885.0","-6,065.0","-9,177.0","-5,757.0","-3,775.0","-4,085.0","-8,476.0","-5,773.0","-3,983.0","-5,680.0","-25,150.0","-6,705.0","-3,323.0","-5,171.0","-8,939.0","-7,231.0","-4,153.0","-5,504.0","-10,335.0","-7,657.0","-4,498.0","-4,804.0","-13,626.0","-77,123.0","-62,199.0","-43,540.0","-30,112.0","-36,963.0","-24,812.0","-36,844.0","-25,289.0","-24,303.0"
"75","53","      Federal employee retirement plans (3-21)","M318531","-475.0","-280.0","-387.0","-189.0","-570.0","329.0","-657.0","-340.0","-532.0","469.0","-420.0","-258.0","-804.0","464.0","-504.0","-538.0","-1,080.0","701.0","-1,377.0","-751.0","-1,480.0","1,655.0","-1,786.0","-1,058.0","-1,957.0","2,768.0","-2,327.0","-1,391.0","-2,418.0","3,510.0","-2,782.0","-1,532.0","-2,805.0","-1,557.0","4,463.0","-1,847.0","-3,303.0","-2,134.0","4,482.0","-2,140.0","-3,892.0","-2,181.0","5,372.0","-2,397.0","-4,609.0","-2,765.0","6,921.0","-3,079.0","-5,662.0","-3,382.0","8,395.0","-2,823.0","-6,256.0","-3,108.0","8,721.0","-2,655.0","-6,773.0","-2,518.0","9,237.0","-2,121.0","-7,400.0","-1,888.0","9,047.0","14,333.0","-3,658.0","3,642.0","14,267.0","15,388.0","-3,499.0","4,655.0","14,195.0","15,742.0","-2,518.0","4,907.0","13,246.0","16,646.0","-4,616.0","6,506.0","13,186.0","17,147.0","-5,046.0","7,583.0","13,194.0","17,987.0","-6,409.0","7,101.0","14,222.0","19,113.0","-7,289.0","9,030.0","14,256.0","20,357.0","-7,042.0","8,953.0","14,975.0","21,549.0","-8,535.0","9,323.0","14,659.0","20,966.0","-8,854.0","9,104.0","13,821.0","20,881.0","-9,806.0","9,383.0","13,306.0","19,406.0","-10,252.0","9,320.0","13,318.0","24,106.0","-10,823.0","8,602.0","14,144.0","24,162.0","-11,359.0","8,872.0","13,777.0","25,476.0","-11,494.0","8,821.0","13,519.0","24,752.0","-11,322.0","9,471.0","13,242.0","26,055.0","-12,303.0","9,795.0","12,905.0","26,804.0","-12,797.0","10,212.0","13,992.0","27,355.0","-11,889.0","10,996.0","11,152.0","26,545.0","-12,125.0","8,605.0","14,803.0","32,387.0","-11,458.0","8,637.0","13,801.0","42,244.0","-16,691.0","6,765.0","13,602.0","41,934.0","-17,947.0","5,743.0","14,461.0","47,675.0","-16,249.0","6,270.0","18,505.0","44,676.0","-28,511.0","4,414.0","14,276.0","56,717.0","-19,256.0","4,055.0","13,711.0","59,010.0"
"76","54","      Other coverage differences (5+6-26-27-30-35-38)","M318541","-698.0","1,674.0","-68.0","-1,188.0","-106.0","511.0","918.0","645.0","127.0","464.0","446.0","-767.0","307.0","742.0","2,665.0","1,067.0","1,325.0","2,658.0","1,368.0","2,426.0","2,248.0","4,529.0","-326.0","1,265.0","3,070.0","2,070.0","-981.0","-595.0","3,065.0","5,014.0","914.0","-896.0","3,360.0","1,317.0","2,391.0","-3,105.0","20.0","3,446.0","-694.0","-2,882.0","-534.0","2,729.0","4,048.0","-983.0","338.0","-387.0","3,791.0","1,837.0","-867.0","3,443.0","7,211.0","-1,339.0","-656.0","3,645.0","5,065.0","-2,703.0","-976.0","9,674.0","12,833.0","-516.0","5,897.0","3,774.0","5,592.0","-12,893.0","-4,051.0","-2,301.0","-208.0","-9,902.0","-3,507.0","5,123.0","-1,000.0","-2,653.0","-2,379.0","3,457.0","2,294.0","1,642.0","-3,072.0","-5,275.0","-4,719.0","-6,994.0","-573.0","-4,922.0","-10,368.0","-7,385.0","-5,279.0","-28,183.0","-14,234.0","-18,156.0","-4,503.0","-16,065.0","-41,524.0","2,478.0","-13,645.0","-4,733.0","7,738.0","1,859.0","-631.0","7,537.0","11,793.0","-6,724.0","9,760.0","-2,551.0","5,847.0","-5,441.0","5,325.0","6,922.0","12,393.0","187.0","3,784.0","5,626.0","2,399.0","2,252.0","3,717.0","13,014.0","5,095.0","-4,211.0","3,147.0","7,158.0","2,610.0","-7,261.0","-789.0","8,674.0","9,435.0","-12,673.0","3,475.0","5,318.0","10,829.0","-6,122.0","447.0","8,031.0","14,093.0","-10,822.0","-654.0","1,500.0","16,776.0","-7,839.0","-9,340.0","8,207.0","10,647.0","-8,149.0","-142.0","-5,335.0","10,739.0","-9,924.0","-6,813.0","-4,380.0","15,886.0","-16,261.0","8.0","-16,103.0","6,594.0","1,009.0","-3,306.0","9,234.0","11,455.0","-9,999.0","-884.0","-1,602.0","-6,759.0","-202,801.0","-59,312.0","150,779.0","17,864.0","-19,469.0","112,077.0","-21,885.0","52,228.0","3,299.0"
