"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"127","109","    Insurance","DINSRC1","1,178.0","1,209.0","1,160.0","1,087.0","1,080.0","1,136.0","1,265.0","1,311.0","1,407.0","1,397.0","1,453.0","1,502.0","1,595.0","1,649.0","1,749.0","1,829.0","1,891.0","2,098.0","2,499.0","2,780.0","2,941.0","3,254.0","3,850.0","4,155.0","4,674.0","5,004.0","5,392.0","5,823.0","6,322.0","6,595.0","6,831.0","7,496.0","7,955.0","8,416.0","8,828.0","9,692.0","10,612.0","11,350.0","11,754.0","13,433.0","14,374.0","15,730.0","17,071.0","19,399.0","21,180.0","22,244.0","23,888.0","27,048.0","32,029.0","37,494.0","40,433.0","43,860.0","47,861.0","54,267.0","58,714.0","66,534.0","73,046.0","72,796.0","72,087.0","85,394.0","99,755.0","111,737.0","123,838.0","133,261.0","147,851.0","148,463.0","152,216.0","155,722.0","164,255.0","174,418.0","182,988.0","199,949.0","204,703.0","209,723.0","230,660.0","264,250.0","285,410.0","294,603.0","309,154.0","314,683.0"
"128","110","      Life insurance \18\","DLIFRC1","870.0","897.0","879.0","849.0","843.0","870.0","969.0","976.0","1,019.0","996.0","1,008.0","1,023.0","1,034.0","1,019.0","1,069.0","1,101.0","1,087.0","1,174.0","1,410.0","1,532.0","1,596.0","1,753.0","1,907.0","1,958.0","2,099.0","2,208.0","2,430.0","2,788.0","3,032.0","3,222.0","3,153.0","3,553.0","3,712.0","3,887.0","4,128.0","4,631.0","5,145.0","5,318.0","5,362.0","5,885.0","6,258.0","6,885.0","6,933.0","7,501.0","8,398.0","9,055.0","10,037.0","11,883.0","13,302.0","15,312.0","16,912.0","19,054.0","20,470.0","22,808.0","23,498.0","25,026.0","28,304.0","28,751.0","28,091.0","33,483.0","38,578.0","42,312.0","51,781.0","53,610.0","59,192.0","54,612.0","54,340.0","52,030.0","55,171.0","55,982.0","56,936.0","64,975.0","61,949.0","58,796.0","59,717.0","70,547.0","76,502.0","80,945.0","83,834.0","82,694.0"
"129","111","      Net household insurance \19\","DFINRC1","20.0","19.0","18.0","16.0","15.0","16.0","17.0","19.0","21.0","21.0","22.0","23.0","26.0","30.0","36.0","43.0","49.0","51.0","57.0","62.0","63.0","68.0","76.0","82.0","89.0","94.0","101.0","109.0","115.0","121.0","142.0","166.0","185.0","201.0","212.0","222.0","227.0","227.0","252.0","274.0","300.0","341.0","389.0","444.0","501.0","570.0","617.0","696.0","844.0","1,021.0","1,174.0","1,284.0","1,338.0","1,421.0","1,508.0","1,623.0","1,706.0","1,861.0","2,124.0","2,421.0","2,552.0","2,478.0","2,441.0","2,296.0","2,310.0","2,502.0","2,633.0","2,895.0","2,903.0","3,358.0","3,588.0","3,835.0","4,188.0","4,267.0","4,928.0","5,755.0","6,167.0","6,069.0","7,349.0","8,259.0"
"130","112","      Net health insurance","DHINRC1","175.0","177.0","147.0","112.0","107.0","132.0","150.0","178.0","214.0","225.0","249.0","268.0","326.0","396.0","464.0","497.0","547.0","601.0","707.0","778.0","783.0","847.0","871.0","984.0","1,199.0","1,312.0","1,366.0","1,348.0","1,526.0","1,525.0","1,654.0","1,764.0","1,963.0","2,143.0","2,171.0","2,372.0","2,621.0","2,897.0","2,939.0","3,821.0","4,105.0","4,431.0","5,181.0","6,323.0","6,695.0","6,910.0","7,307.0","8,068.0","10,547.0","12,856.0","13,047.0","13,571.0","15,512.0","18,863.0","21,521.0","26,487.0","28,365.0","25,629.0","23,571.0","29,082.0","36,575.0","43,437.0","45,186.0","50,051.0","55,971.0","58,599.0","60,747.0","64,095.0","68,374.0","74,696.0","79,230.0","88,070.0","94,132.0","100,962.0","116,944.0","134,433.0","145,127.0","150,615.0","156,273.0","161,780.0"
"131","113","        Medical care and hospitalization \20\","DMINRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","699.0","793.0","924.0","1,032.0","1,069.0","1,174.0","1,306.0","1,383.0","1,296.0","1,953.0","1,918.0","2,146.0","2,580.0","3,497.0","3,602.0","3,556.0","3,240.0","3,594.0","5,415.0","6,396.0","7,158.0","7,605.0","9,101.0","11,811.0","14,453.0","18,916.0","20,562.0","16,519.0","14,148.0","18,878.0","25,963.0","31,825.0","34,120.0","38,426.0","43,418.0","46,281.0","47,873.0","49,258.0","50,992.0","57,334.0","62,055.0","69,220.0","73,784.0","80,928.0","94,563.0","110,252.0","117,839.0","121,401.0","127,248.0","133,390.0"
"132","114","        Income loss \21\","DIINRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","536.0","531.0","579.0","606.0","580.0","623.0","687.0","792.0","860.0","986.0","1,181.0","1,125.0","1,345.0","1,555.0","1,701.0","1,734.0","2,189.0","2,193.0","2,407.0","3,357.0","2,275.0","1,868.0","1,875.0","2,462.0","2,098.0","2,103.0","2,064.0","2,440.0","2,191.0","2,490.0","2,356.0","2,617.0","1,825.0","2,102.0","1,500.0","1,800.0","1,400.0","1,105.0","1,172.0","1,375.0","1,540.0","1,699.0","1,849.0","1,999.0","2,167.0","2,353.0","2,572.0","2,823.0","3,023.0","3,179.0"
"133","115","        Workers' compensation \22\","DPWCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","419.0","440.0","460.0","505.0","522.0","575.0","628.0","722.0","783.0","882.0","1,006.0","1,160.0","1,256.0","1,271.0","1,392.0","1,620.0","1,878.0","2,281.0","2,725.0","3,103.0","3,614.0","4,098.0","4,536.0","4,590.0","4,970.0","5,468.0","5,739.0","6,670.0","7,232.0","7,714.0","8,256.0","8,995.0","9,241.0","9,523.0","11,053.0","10,518.0","11,474.0","13,732.0","16,210.0","15,987.0","15,635.0","17,151.0","18,499.0","18,035.0","20,214.0","21,828.0","24,716.0","26,391.0","26,002.0","25,211.0"
"134","116","      Net motor vehicle and other transportation insurance \23\","DTINRC1","113.0","116.0","116.0","110.0","115.0","118.0","129.0","138.0","153.0","155.0","174.0","188.0","209.0","204.0","180.0","188.0","208.0","272.0","325.0","408.0","499.0","586.0","996.0","1,131.0","1,287.0","1,390.0","1,495.0","1,578.0","1,649.0","1,727.0","1,882.0","2,013.0","2,095.0","2,185.0","2,317.0","2,467.0","2,619.0","2,908.0","3,201.0","3,453.0","3,711.0","4,073.0","4,568.0","5,131.0","5,586.0","5,709.0","5,927.0","6,401.0","7,336.0","8,305.0","9,300.0","9,951.0","10,541.0","11,175.0","12,187.0","13,398.0","14,671.0","16,555.0","18,301.0","20,408.0","22,050.0","23,510.0","24,430.0","27,304.0","30,378.0","32,750.0","34,496.0","36,702.0","37,807.0","40,382.0","43,234.0","43,069.0","44,434.0","45,698.0","49,071.0","53,515.0","57,614.0","56,974.0","61,698.0","61,950.0"
"135","117","  Other goods and services","DOISRC1","5,449.0","4,926.0","4,522.0","3,799.0","3,365.0","3,772.0","3,997.0","4,315.0","4,790.0","4,765.0","4,995.0","5,276.0","5,965.0","6,822.0","7,951.0","8,500.0","9,278.0","10,334.0","11,112.0","11,678.0","11,768.0","12,217.0","13,258.0","14,260.0","15,017.0","15,430.0","16,310.0","17,471.0","18,782.0","19,877.0","21,394.0","22,434.0","23,721.0","24,859.0","26,165.0","27,833.0","30,158.0","33,313.0","35,768.0","38,609.0","41,000.0","44,263.0","46,963.0","50,985.0","56,931.0","62,206.0","67,806.0","76,274.0","83,765.0","93,178.0","100,408.0","110,675.0","121,230.0","127,772.0","143,434.0","157,656.0","173,267.0","190,019.0","208,167.0","225,392.0","245,652.0","262,298.0","268,009.0","290,056.0","304,538.0","316,870.0","332,720.0","350,832.0","368,397.0","394,793.0","431,632.0","462,304.0","483,467.0","504,265.0","529,901.0","557,012.0","580,925.0","611,213.0","647,144.0","667,912.0"
"136","118","    Personal care \24\","DPCRRC1","1,306.0","1,211.0","1,113.0","919.0","743.0","860.0","906.0","976.0","1,089.0","1,072.0","1,135.0","1,181.0","1,338.0","1,568.0","1,885.0","2,128.0","2,310.0","2,356.0","2,538.0","2,612.0","2,622.0","2,775.0","3,031.0","3,271.0","3,534.0","3,802.0","4,162.0","4,670.0","5,147.0","5,514.0","5,857.0","6,314.0","6,916.0","7,512.0","7,895.0","8,496.0","9,182.0","10,238.0","11,150.0","12,055.0","12,539.0","13,235.0","13,472.0","14,318.0","15,839.0","17,240.0","18,809.0","20,592.0","23,460.0","26,113.0","28,571.0","30,819.0","33,143.0","34,467.0","39,945.0","43,325.0","47,494.0","51,887.0","56,686.0","62,482.0","67,406.0","72,410.0","71,720.0","77,031.0","81,599.0","87,341.0","93,820.0","99,722.0","106,163.0","113,686.0","122,551.0","132,191.0","137,466.0","143,292.0","150,238.0","160,623.0","169,146.0","178,781.0","189,470.0","198,820.0"
"137","119","    Personal items \25\","DPEORC1","926.0","828.0","586.0","434.0","332.0","388.0","442.0","500.0","585.0","574.0","619.0","686.0","878.0","1,126.0","1,444.0","1,572.0","1,828.0","2,184.0","2,177.0","2,211.0","2,090.0","2,126.0","2,304.0","2,487.0","2,558.0","2,631.0","2,795.0","2,910.0","2,925.0","2,961.0","3,090.0","3,097.0","3,127.0","3,319.0","3,491.0","3,889.0","4,304.0","5,006.0","5,368.0","5,997.0","6,445.0","6,712.0","7,361.0","8,032.0","9,646.0","10,975.0","12,536.0","14,855.0","16,424.0","18,023.0","18,625.0","20,156.0","20,957.0","20,303.0","22,791.0","25,773.0","27,532.0","31,537.0","34,349.0","36,960.0","38,848.0","39,977.0","40,144.0","42,214.0","44,739.0","46,943.0","48,739.0","50,945.0","50,992.0","54,303.0","59,658.0","63,653.0","61,451.0","63,392.0","65,760.0","69,513.0","72,587.0","77,315.0","80,362.0","78,925.0"
"138","120","    Social services and religious activities \26\","DSOCRC1","356.0","356.0","327.0","278.0","250.0","258.0","263.0","284.0","299.0","296.0","303.0","326.0","348.0","394.0","455.0","523.0","548.0","617.0","649.0","699.0","700.0","739.0","798.0","901.0","965.0","1,039.0","1,097.0","1,231.0","1,310.0","1,411.0","1,570.0","1,617.0","1,683.0","1,676.0","1,796.0","2,099.0","2,350.0","2,685.0","3,048.0","3,292.0","3,602.0","3,871.0","4,384.0","5,053.0","5,459.0","5,854.0","6,499.0","7,494.0","8,598.0","10,020.0","11,881.0","13,993.0","16,138.0","17,944.0","19,618.0","21,833.0","25,060.0","28,034.0","31,435.0","33,873.0","38,580.0","41,177.0","43,546.0","47,510.0","51,123.0","54,381.0","58,127.0","61,111.0","64,627.0","70,334.0","76,698.0","84,953.0","93,930.0","100,819.0","107,095.0","113,236.0","118,702.0","125,881.0","135,858.0","144,380.0"
"139","121","    Professional and other services","DPRSRC1","1,166.0","1,081.0","1,007.0","846.0","807.0","899.0","952.0","1,020.0","1,144.0","1,126.0","1,171.0","1,213.0","1,321.0","1,397.0","1,552.0","1,641.0","1,721.0","1,824.0","2,004.0","2,147.0","2,247.0","2,326.0","2,588.0","2,687.0","2,859.0","3,012.0","3,201.0","3,350.0","3,705.0","4,001.0","4,323.0","4,535.0","4,854.0","5,131.0","5,483.0","5,785.0","6,230.0","6,855.0","7,274.0","7,842.0","8,620.0","9,653.0","10,408.0","11,389.0","12,746.0","14,038.0","14,894.0","16,546.0","18,303.0","20,741.0","22,146.0","24,847.0","28,162.0","30,755.0","33,565.0","37,482.0","42,370.0","46,404.0","51,151.0","57,332.0","62,207.0","67,743.0","70,190.0","75,293.0","78,376.0","80,877.0","82,829.0","87,635.0","92,767.0","100,054.0","107,189.0","113,015.0","120,915.0","126,620.0","137,100.0","143,192.0","149,435.0","156,955.0","166,347.0","168,638.0"
"140","122","      Legal services","DGALRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,971.0","2,024.0","2,292.0","2,419.0","2,642.0","2,797.0","3,039.0","3,429.0","3,614.0","3,804.0","4,195.0","4,956.0","5,481.0","6,033.0","6,951.0","7,686.0","7,986.0","8,787.0","9,700.0","11,121.0","11,738.0","13,182.0","15,543.0","17,236.0","18,937.0","21,485.0","24,600.0","27,348.0","30,927.0","34,729.0","37,692.0","40,984.0","41,751.0","44,889.0","46,204.0","47,035.0","47,420.0","50,608.0","53,861.0","57,899.0","62,157.0","65,378.0","70,075.0","73,878.0","81,054.0","85,254.0","89,706.0","95,234.0","102,088.0","102,931.0"
"141","123","      Accounting and other business services \27\","DPRORC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","254.0","277.0","280.0","310.0","321.0","375.0","447.0","514.0","581.0","675.0","829.0","863.0","884.0","993.0","1,094.0","1,195.0","1,313.0","1,481.0","1,704.0","1,944.0","2,056.0","2,163.0","2,349.0","2,405.0","2,874.0","3,111.0","3,471.0","3,729.0","3,975.0","4,846.0","5,744.0","6,532.0","7,089.0","7,722.0","8,643.0","9,894.0","10,155.0","10,995.0","11,959.0","13,796.0","15,484.0","17,155.0","18,569.0","20,049.0","21,469.0","23,379.0","24,291.0","25,523.0","27,823.0","28,598.0"
"142","124","      Labor organization dues","DUNSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","650.0","695.0","710.0","735.0","757.0","809.0","852.0","912.0","989.0","1,063.0","1,177.0","1,281.0","1,343.0","1,478.0","1,670.0","1,950.0","2,193.0","2,465.0","2,758.0","3,092.0","3,510.0","4,007.0","4,384.0","4,857.0","5,039.0","5,454.0","6,005.0","6,561.0","6,924.0","7,377.0","7,767.0","8,279.0","8,738.0","9,136.0","9,302.0","9,465.0","9,752.0","10,127.0","10,551.0","10,346.0","10,323.0","10,233.0","10,194.0","10,006.0","10,364.0","10,576.0","10,690.0","11,066.0","11,425.0","12,028.0"
"143","125","      Professional association dues","DAXSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","37.0","43.0","44.0","49.0","53.0","63.0","83.0","98.0","124.0","151.0","178.0","210.0","246.0","295.0","335.0","384.0","474.0","554.0","637.0","754.0","846.0","950.0","1,050.0","1,187.0","1,285.0","1,388.0","1,527.0","1,675.0","1,839.0","2,040.0","2,237.0","2,422.0","2,498.0","2,577.0","2,754.0","2,863.0","3,125.0","3,184.0","3,395.0","3,689.0","4,077.0","4,478.0","4,945.0","5,388.0","5,581.0","5,695.0","5,756.0","6,181.0","6,543.0","6,410.0"
"144","126","      Funeral and burial services","DFUNRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,411.0","1,496.0","1,528.0","1,618.0","1,710.0","1,741.0","1,809.0","1,902.0","1,966.0","2,149.0","2,241.0","2,343.0","2,454.0","2,590.0","2,696.0","2,823.0","2,928.0","3,259.0","3,504.0","3,830.0","3,996.0","4,545.0","4,836.0","5,070.0","5,430.0","6,044.0","6,767.0","7,091.0","7,486.0","8,340.0","8,767.0","9,526.0","10,114.0","10,969.0","11,473.0","11,620.0","12,377.0","12,721.0","13,001.0","14,324.0","15,148.0","15,771.0","17,132.0","17,299.0","18,632.0","18,288.0","18,992.0","18,951.0","18,468.0","18,671.0"
"145","127","    Tobacco","DTOBRC1","1,695.0","1,450.0","1,489.0","1,322.0","1,233.0","1,367.0","1,434.0","1,535.0","1,673.0","1,697.0","1,767.0","1,870.0","2,080.0","2,337.0","2,615.0","2,636.0","2,871.0","3,353.0","3,744.0","4,009.0","4,109.0","4,251.0","4,537.0","4,914.0","5,101.0","4,946.0","5,055.0","5,310.0","5,695.0","5,990.0","6,554.0","6,871.0","7,141.0","7,221.0","7,500.0","7,564.0","8,092.0","8,529.0","8,928.0","9,423.0","9,794.0","10,792.0","11,338.0","12,193.0","13,241.0","14,099.0","15,068.0","16,787.0","16,980.0","18,281.0","19,185.0","20,860.0","22,830.0","24,303.0","27,515.0","29,243.0","30,811.0","32,157.0","34,546.0","34,745.0","38,611.0","40,991.0","42,409.0","48,008.0","48,701.0","47,328.0","49,205.0","51,419.0","53,848.0","56,416.0","65,536.0","68,492.0","69,705.0","70,142.0","69,708.0","70,448.0","71,055.0","72,281.0","75,107.0","77,149.0"
"146","128","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC1","511.0","499.0","367.0","285.0","206.0","207.0","217.0","264.0","310.0","261.0","209.0","87.0","120.0","159.0","276.0","638.0","1,192.0","-54.0","28.0","316.0","625.0","655.0","857.0","1,132.0","1,476.0","1,509.0","1,619.0","1,708.0","1,738.0","1,855.0","2,019.0","2,121.0","2,047.0","2,342.0","2,517.0","2,568.0","2,858.0","3,132.0","3,788.0","3,684.0","4,044.0","4,514.0","4,778.0","5,237.0","4,721.0","4,708.0","4,445.0","3,790.0","4,311.0","4,250.0","4,075.0","3,540.0","416.0","2,509.0","5,435.0","6,565.0","7,741.0","3,296.0","6,063.0","2,781.0","-3,696.0","-7,673.0","-15,220.0","-19,951.0","-20,662.0","-17,497.0","-21,462.0","-24,511.0","-21,505.0","-13,739.0","-13,799.0","-13,328.0","-7,408.0","-5,147.0","-549.0","545.0","-89.0","3,721.0","-3,224.0","-13,483.0"
"147","129","    Foreign travel by U.S. residents","DFTRRC1","632.0","611.0","445.0","334.0","258.0","276.0","303.0","368.0","433.0","379.0","333.0","172.0","189.0","128.0","143.0","175.0","267.0","450.0","597.0","727.0","850.0","920.0","924.0","1,044.0","1,174.0","1,263.0","1,456.0","1,624.0","1,738.0","1,900.0","2,111.0","2,313.0","2,340.0","2,583.0","2,840.0","2,988.0","3,346.0","3,606.0","4,249.0","4,200.0","4,717.0","5,414.0","5,853.0","6,832.0","7,324.0","8,127.0","8,759.0","9,380.0","10,285.0","11,107.0","12,063.0","13,304.0","15,001.0","16,522.0","18,394.0","26,109.0","27,904.0","27,795.0","33,932.0","37,336.0","38,434.0","42,702.0","41,678.0","45,990.0","48,818.0","53,339.0","54,710.0","58,446.0","64,578.0","70,973.0","75,408.0","84,257.0","80,629.0","78,097.0","80,460.0","92,314.0","99,762.0","108,527.0","113,991.0","118,799.0"
"148","130","    Less: Expenditures in the United States by nonresidents","DEXFRC1","142.0","132.0","98.0","69.0","70.0","85.0","106.0","122.0","140.0","135.0","144.0","105.0","94.0","122.0","140.0","169.0","203.0","360.0","418.0","399.0","451.0","481.0","568.0","637.0","703.0","735.0","830.0","920.0","997.0","1,046.0","1,051.0","1,110.0","1,149.0","1,146.0","1,204.0","1,403.0","1,560.0","1,765.0","1,840.0","2,012.0","2,327.0","2,663.0","2,941.0","3,295.0","3,954.0","4,627.0","5,372.0","6,508.0","6,982.0","8,095.0","9,402.0","11,558.0","16,637.0","16,677.0","15,664.0","22,365.0","23,323.0","27,477.0","30,944.0","37,054.0","44,830.0","52,967.0","59,247.0","66,901.0","70,596.0","72,171.0","77,726.0","84,661.0","89,041.0","87,953.0","92,336.0","100,804.0","91,440.0","87,278.0","85,792.0","96,812.0","104,874.0","110,088.0","123,271.0","138,559.0"
"149","131","    Net expenditures abroad by U.S. residents","DNFRRC1","21.0","20.0","20.0","20.0","18.0","16.0","20.0","18.0","17.0","17.0","20.0","20.0","25.0","153.0","273.0","632.0","1,128.0","-144.0","-151.0","-12.0","226.0","216.0","501.0","725.0","1,005.0","981.0","993.0","1,004.0","997.0","1,001.0","959.0","918.0","856.0","905.0","881.0","983.0","1,072.0","1,291.0","1,379.0","1,496.0","1,654.0","1,763.0","1,866.0","1,700.0","1,351.0","1,208.0","1,058.0","918.0","1,008.0","1,238.0","1,414.0","1,794.0","2,052.0","2,664.0","2,705.0","2,821.0","3,160.0","2,978.0","3,075.0","2,499.0","2,700.0","2,592.0","2,349.0","960.0","1,116.0","1,335.0","1,554.0","1,704.0","2,958.0","3,241.0","3,129.0","3,219.0","3,403.0","4,034.0","4,783.0","5,043.0","5,023.0","5,282.0","6,056.0","6,277.0"
"150","132","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \28\","DNPIRC1","1,283.0","1,293.0","1,209.0","1,037.0","911.0","905.0","899.0","937.0","955.0","978.0","991.0","1,056.0","1,115.0","1,263.0","1,481.0","1,669.0","1,737.0","1,978.0","2,124.0","2,319.0","2,355.0","2,475.0","2,645.0","2,947.0","3,091.0","3,307.0","3,464.0","3,897.0","4,155.0","4,492.0","5,060.0","5,276.0","5,465.0","5,707.0","6,000.0","6,694.0","7,192.0","7,751.0","8,421.0","9,346.0","10,082.0","11,089.0","12,329.0","13,615.0","14,629.0","16,433.0","18,050.0","20,069.0","21,791.0","24,473.0","27,799.0","31,888.0","36,264.0","40,090.0","42,908.0","47,591.0","50,346.0","55,367.0","58,532.0","66,761.0","71,716.0","79,614.0","84,245.0","92,343.0","94,622.0","102,369.0","107,170.0","115,715.0","112,248.0","130,995.0","145,407.0","165,368.0","186,204.0","205,005.0","211,815.0","210,013.0","214,075.0","240,350.0","253,498.0","278,721.0"
"151","133","  Gross output of nonprofit institutions \29\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,104.0","15,051.0","16,002.0","17,160.0","18,570.0","20,511.0","22,309.0","24,635.0","27,350.0","30,901.0","34,648.0","38,706.0","43,395.0","48,154.0","52,706.0","59,739.0","68,230.0","77,397.0","86,316.0","98,114.0","111,035.0","127,955.0","147,774.0","165,931.0","181,368.0","196,640.0","211,717.0","230,055.0","249,698.0","278,987.0","304,917.0","338,190.0","367,010.0","400,799.0","423,303.0","444,684.0","463,386.0","488,806.0","509,284.0","550,547.0","585,277.0","631,979.0","688,012.0","749,684.0","785,843.0","827,716.0","874,632.0","933,608.0","987,493.0","1,049,413.0"
"152","134","  Less: Receipts from sales of goods and services by nonprofit institutions \30\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,044.0","9,775.0","10,537.0","11,453.0","12,570.0","13,817.0","15,117.0","16,884.0","18,929.0","21,555.0","24,566.0","27,617.0","31,066.0","34,539.0","38,077.0","43,306.0","50,180.0","57,328.0","64,525.0","73,641.0","83,236.0","96,067.0","111,510.0","125,841.0","138,460.0","149,049.0","161,371.0","174,688.0","191,166.0","212,226.0","233,201.0","258,576.0","282,765.0","308,456.0","328,681.0","342,315.0","356,216.0","373,091.0","397,036.0","419,552.0","439,870.0","466,611.0","501,808.0","544,679.0","574,028.0","617,703.0","660,557.0","693,258.0","733,995.0","770,692.0"
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","1. Consists of household purchases of goods and services from business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","government, nonprofit institutions, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","2. Consists of shoes and other footwear, and of repair and hire of footwear.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","3. Consists of space rent (see footnote 4) and rent for appliances,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","furnishings, and furniture.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","4. Consists of rent for space and for heating and plumbing facilities, water heaters,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
