"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"302","295","          Tax preparation and other related services","DTAPRC0",68,68,78,88,82,125,171,211,284,323,407,455,444,500,565,666,797,843,976,987,1013,990,1044,1199,1472,1527,1770,2022,2231,2837,3563,4177,5035,5687,6526,7443,7273,7652,7972,9294,10597,11902,13416,14903,16092,17704,18950,19861,22075,24355,22735,22035,22722,24111
"303","296","          Employment agency services","DGENRC0",95,108,101,108,115,118,130,145,146,182,228,222,243,278,288,287,265,320,384,504,514,612,700,662,734,829,955,979,981,1155,1293,1487,1254,1221,1090,979,869,731,784,804,818,821,718,638,633,703,997,1214,1492,1248,823,848,993,1072
"304","297","          Other personal business services","DTHERC0",91,100,102,114,125,132,146,157,152,170,193,186,197,215,240,241,252,318,344,453,529,560,606,545,667,755,746,728,763,854,888,869,800,814,1028,1473,2013,2612,3204,3698,4070,4432,4436,4508,4802,5123,5329,5530,5660,5418,4898,5055,5338,5588
"305","298","        Labor organization dues","DUNSRC0",650,695,710,735,757,809,852,912,989,1063,1177,1281,1343,1478,1670,1950,2193,2465,2758,3092,3510,4007,4384,4857,5039,5454,6005,6561,6924,7377,7767,8279,8738,9136,9302,9465,9752,10127,10551,10346,10323,10233,10194,10006,10364,10576,10690,11066,11430,12035,12025,11877,11876,11331
"306","299","        Professional association dues","DAXSRC0",37,43,44,49,53,63,83,98,124,151,178,210,246,295,335,384,474,554,637,754,846,950,1050,1187,1285,1388,1527,1675,1839,2040,2237,2422,2498,2577,2754,2863,3125,3184,3395,3689,4077,4478,4945,5388,5824,6069,6539,7110,7624,7512,7725,8009,8345,8630
"307","300","        Funeral and burial services","DFUNRC0",1411,1496,1528,1618,1710,1741,1809,1902,1966,2149,2241,2343,2454,2590,2696,2823,2928,3259,3504,3830,3996,4545,4836,5070,5430,6044,6767,7091,7486,8340,8767,9526,10114,10969,11473,11620,12377,12721,13001,14324,15148,15771,17132,17299,18586,18182,18856,18580,18652,19062,18594,19103,19518,19761
"308","301","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRC0",6201,6439,6746,7063,7234,7690,8188,8907,9516,10101,10301,10589,10335,10755,11294,11666,12296,13109,14622,16035,17004,17947,18651,18837,22674,24120,26698,29441,32685,37827,41469,44875,42814,47452,49553,52482,56547,59444,64274,68984,74055,80170,82893,86467,90261,96762,102485,107388,111136,113859,109234,110915,117188,119923
"309","302","        Personal care services","DPCSRC0",2959,3116,3402,3650,3766,4051,4364,4917,5386,5779,5822,6095,5995,6274,6870,7213,7729,8387,9631,10714,11435,12115,12686,12912,16224,17069,19243,21523,24042,27879,30481,33160,31476,35661,37654,40230,43646,46274,49758,53774,58102,63683,66424,70133,74690,80899,86306,90550,93871,96792,93005,94609,100301,102599
"310","303","          Hairdressing salons and personal grooming establishments","DBBBRC0",2486,2593,2839,3088,3160,3372,3571,4024,4361,4628,4597,4833,4694,4830,5137,5365,5608,5938,6941,7530,7807,7990,8030,7926,9872,10567,11632,12788,14414,15907,17056,17762,18129,20046,20062,20661,22198,23183,25871,27747,29603,32259,33700,35651,37690,41330,44209,46612,49063,50754,50407,52334,54781,56544
"311","304","          Miscellaneous personal care services","DMPCRC0",473,523,563,562,606,679,793,893,1025,1150,1225,1262,1301,1444,1733,1847,2122,2449,2690,3184,3628,4125,4657,4986,6352,6501,7611,8735,9628,11973,13425,15399,13347,15616,17592,19569,21449,23091,23887,26026,28500,31424,32724,34482,37000,39569,42098,43938,44808,46038,42598,42275,45520,46056
"312","305","        Clothing and footwear services","DCFSRC0",3241,3323,3344,3413,3468,3639,3824,3990,4130,4323,4479,4494,4340,4481,4424,4454,4566,4722,4991,5321,5569,5832,5964,5925,6450,7052,7455,7918,8643,9948,10988,11715,11338,11791,11899,12252,12901,13170,14516,15210,15953,16487,16469,16333,15570,15863,16179,16838,17265,17067,16228,16306,16887,17324
"313","306","          Laundry and drycleaning services","DDRYRC0",1659,1675,1654,1670,1703,1858,2055,2258,2404,2495,2555,2526,2396,2421,2123,2099,2112,2142,2277,2538,2686,2850,2845,2653,2905,3097,3110,3208,3552,3965,4232,4091,4379,5483,5606,5931,6250,6487,7239,7645,8053,8319,8305,8244,7691,7840,8013,8457,8635,8475,8129,8081,8308,8505
"314","307","          Clothing repair, rental, and alterations","DLGRRC0",1349,1399,1420,1470,1520,1548,1519,1481,1469,1556,1644,1675,1641,1690,1931,1983,2073,2188,2330,2400,2486,2568,2692,2864,3113,3512,3899,4261,4613,5457,6187,7003,6337,5670,5682,5783,6139,6202,6820,7100,7416,7698,7702,7624,7437,7586,7727,7940,8179,8141,7657,7779,8105,8319
"315","308","          Repair and hire of footwear","DSCLRC0",233,249,270,273,245,233,250,251,256,272,280,293,302,370,370,372,381,393,384,383,396,414,427,408,432,443,445,449,478,526,569,621,622,638,611,537,512,482,457,465,484,471,461,466,442,437,439,441,451,451,442,445,474,501
"316","309","      Social services and religious activities (120)","DSOCRC0",1570,1617,1683,1676,1796,2099,2350,2685,3048,3292,3602,3871,4384,5053,5459,5854,6499,7494,8598,10020,11881,13993,16138,17944,19618,21833,25060,28034,31435,33873,38580,41177,43546,47510,51123,54381,58127,61111,64627,70334,76698,84953,93930,100819,107266,113874,120994,128508,137767,144016,147411,153545,159109,162556
"317","310","        Child care","DCHCRC0",290,306,315,303,331,427,499,604,712,795,909,1007,1192,1448,1575,1688,1906,2265,2652,3128,3694,4327,4891,5314,5782,6389,7203,7983,9076,9337,11569,11465,10948,12013,12896,13603,14364,14412,15119,15774,17161,18363,19924,21047,22151,23164,23934,25592,28280,29370,30225,30673,31604,32197
"318","311","        Social assistance","DSCWRC0",430,453,467,449,490,632,739,895,1056,1179,1347,1492,1766,2145,2333,2501,2825,3357,3930,4635,5474,6412,7248,7874,8583,9518,10769,11977,13456,14839,16368,18278,20233,22343,24253,26084,28286,30453,32817,36994,41977,48872,56403,62384,66759,71578,77489,82330,87706,92731,95422,100618,104888,107142
"319","312","          Homes for the elderly","DELDRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2780,3066,3382,3776,4180,4616,4964,5286,5621,5931,6094,6923,7832,9023,10381,11313,11834,12426,13597,14710,15266,15881,16051,17276,18345,18353
"320","313","          Residential mental health and substance abuse","DMENRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,899,991,1093,1221,1351,1492,1615,1731,1864,1993,2113,3329,4690,6461,8448,10476,11560,12529,13765,14259,15396,16660,17221,18243,18930,19816
"321","314","          Individual and family services","DFAMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6421,7081,7810,8722,9655,10662,11611,12529,13674,14816,16197,17332,18918,21172,23733,25308,27121,29356,31540,34789,38167,40285,42046,44091,46175,47046
"322","315","          Vocational rehabilitation services","DVOCRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642,1810,1997,2230,2469,2726,2964,3193,3476,3755,4081,4483,4866,5530,5989,6269,6627,6942,7270,6849,6504,6795,7103,7463,7618,7629
"323","316","          Community food and housing/emergency/other relief services","DCFORC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,640,706,788,872,963,1049,1132,1236,1341,1468,1794,2194,2695,3241,3766,4197,4839,5736,6105,6660,7390,7534,7988,8270,8639
"324","317","          Other social assistance, not elsewere classified","DSIARC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1134,1251,1380,1541,1705,1883,2051,2213,2415,2618,2864,3133,3477,3990,4612,5253,5420,5486,5580,5617,5713,5720,5467,5556,5550,5660
"325","318","        Social advocacy and civic and social organizations","DSADRC0",471,482,506,520,549,589,620,686,736,760,745,722,692,699,730,739,759,779,825,958,1265,1663,2178,2765,3085,3522,4445,5170,5802,6327,7010,7614,8324,8968,9616,10077,10702,11098,11205,11995,11999,12110,12084,12022,12889,13383,13651,14382,15085,15327,15273,15673,15906,16333
"326","319","        Religious organizations' services to households","DRELRC0",369,364,379,387,404,432,458,462,507,524,556,595,650,685,745,819,891,960,1034,1154,1247,1358,1560,1683,1816,2026,2228,2445,2587,2775,2922,3090,3244,3356,3490,3801,3968,4364,4569,4711,4776,4906,4965,4931,5025,5263,5418,5615,6017,5957,5915,5963,6077,6232
"327","320","        Foundations and grantmaking and giving services to households","DGIVRC0",9,12,15,18,22,20,34,37,37,34,45,54,84,76,76,108,118,134,157,145,201,233,261,307,352,379,415,459,514,595,711,730,797,830,868,817,808,783,917,859,785,702,554,434,441,486,502,590,679,632,576,619,635,653
"328","321","      Household maintenance (parts of 31, 33, and 36)","DHHMRC0",4707,4995,4931,5023,5055,5256,5480,5737,6060,6458,6769,6970,7169,7610,8134,8271,8400,9737,10949,12118,13150,13769,14607,14900,15807,18299,19322,20539,20952,22037,24151,25387,24732,26575,28445,31329,34548,35817,38914,43584,44561,47685,47202,46903,49115,52855,55275,57656,61214,63008,57439,55993,59906,63436
"329","322","        Domestic services","DDMSRC0",3698,3931,3858,3920,3934,4032,4090,4158,4342,4531,4588,4638,4679,4751,4949,4723,4768,5591,6208,6722,6568,6297,6359,6767,6906,8024,8066,8672,8789,9587,10503,11274,11134,12357,13302,14156,15389,15683,16788,19370,18648,20248,19902,19995,21716,23137,23716,25101,27343,28674,26202,23831,25281,26639
"330","323","        Moving, storage, and freight services","DMSERC0",331,349,359,388,408,412,478,560,602,733,886,1015,1170,1369,1551,1811,1850,2173,2560,2936,3550,4059,4399,4272,4703,5735,6131,6432,6146,5769,6333,6262,5941,6260,6762,7853,8991,9648,11095,12082,12948,13915,13276,12344,12483,13883,14930,15385,15721,15527,13152,13788,15247,16415
"331","324","        Repair of furniture, furnishings, and floor coverings","DFRERC0",386,384,361,357,349,373,395,410,418,478,538,589,629,823,848,859,821,827,819,820,902,922,947,924,958,1004,1129,1193,1470,1530,1710,1901,1913,1850,1729,1690,1682,1624,1589,1690,1685,1603,1446,1335,1318,1295,1329,1334,1283,1227,1031,1013,1026,1075
"332","325","        Repair of household appliances","DERERC0",230,266,282,285,288,303,333,389,455,444,444,399,339,280,325,377,417,486,565,660,894,1001,1122,965,1014,1064,1119,1042,1020,1096,1109,1099,1184,1246,1463,1892,2454,2828,3251,3403,3529,3561,3556,3552,3764,4006,3909,4027,4042,4024,3866,3855,4013,4170
"333","326","        Other household services","DMHSRC0",62,66,71,73,76,136,185,220,243,272,313,329,352,387,462,500,543,660,797,980,1235,1490,1779,1971,2225,2472,2876,3200,3527,4054,4496,4852,4560,4862,5188,5738,6032,6034,6191,7037,7752,8357,9022,9678,9834,10534,11390,11809,12824,13555,13187,13506,14339,15136
"334","327","      Net foreign travel","DFORRC0",1060,1203,1191,1437,1636,1585,1786,1841,2409,2188,2390,2751,2912,3537,3370,3500,3387,2872,3303,3012,2661,1746,-1636,-155,2730,3744,4581,318,2988,282,-6396,-10265,-17569,-20911,-21778,-18832,-23016,-26215,-24463,-16980,-16928,-16547,-10811,-9181,-5281,-4403,-4980,-1526,-9247,-22708,-19426,-22789,-31909,-36715
"335","328","        Foreign travel by U.S. residents (129)","DFTRRC0",2111,2313,2340,2583,2840,2988,3346,3606,4249,4200,4717,5414,5853,6832,7324,8127,8759,9380,10285,11107,12063,13304,15001,16522,18394,26109,27904,27795,33932,37336,38434,42702,41678,45990,48818,53339,54710,58446,64578,70973,75408,84257,80629,78097,80461,92314,99762,108528,113895,119808,107086,114823,120791,127065
"336","329","          Passenger fares for foreign travel","DAFTRC0",811,889,899,992,1091,1148,1286,1385,1632,1614,1812,2080,2249,2625,2814,3122,3365,3604,3952,4072,4439,5194,6089,6957,8328,8539,9454,9276,11033,12115,12688,13761,13982,15620,16756,18922,19269,20583,23647,26510,28940,33226,32537,30911,33473,38536,43072,48874,50866,53219,43554,49742,52780,55698
"337","330","          U.S. travel outside the United States","DUSTRC0",1300,1424,1441,1591,1749,1840,2060,2221,2617,2586,2905,3334,3604,4207,4510,5005,5394,5776,6333,7035,7624,8110,8609,9222,9700,17189,18046,18086,22447,24678,25159,28283,26998,29603,31205,33445,34316,36611,39535,42876,44661,48999,45793,44485,43840,50236,52698,55186,58304,61446,58389,59596,62123,65230
"338","331","          U.S. student expenditures","DUSSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,343,366,381,404,433,452,543,586,658,698,767,857,972,1125,1252,1396,1587,1807,2032,2299,2701,3148,3542,3992,4467,4725,5143,5144,5485,5888,6137
"339","332","        Less: Expenditures in the United States by nonresidents (130)","DEXFRC0",1051,1110,1149,1146,1204,1403,1560,1765,1840,2012,2327,2663,2941,3295,3954,4627,5372,6508,6982,8095,9402,11558,16637,16677,15664,22365,23323,27477,30944,37054,44830,52967,59247,66901,70596,72171,77726,84661,89041,87953,92336,100804,91440,87278,85742,96717,104742,110054,123142,142516,126512,137612,152700,163780
"340","333","          Foreign travel in the United States","DFTURC0",1051,1110,1149,1146,1204,1403,1560,1765,1840,2012,2327,2663,2941,3295,3954,4627,5372,6508,6982,8095,9402,11558,14049,13721,12407,18863,19572,23490,26606,32371,39668,47211,52895,60008,63110,64201,69354,75769,79582,77712,81368,88955,78485,73193,70859,81422,88757,93241,104880,122029,104132,113780,126942,136593
"341","334","          Medical expenditures of foreigners","DMEFRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,387,416,440,468,493,516,541,588,630,672,708,748,796,857,1005,1114,1205,1351,1501,1479,1460,1571,1661,1964,2166,2306,2531,2691,2876,3032,3194
"342","335","          Expenditures of foreign students in the United States","DEFSRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2236,2569,2841,3062,3283,3494,3822,4142,4574,5126,5680,6185,6738,7174,7515,7887,8345,9036,9616,10348,11476,12626,13312,13634,14021,14647,15956,17956,19689,20956,22726,23993
"343","336","  Final consumption expenditures of nonprofit institutions serving households (NPISH) (132)","DNPIRC0",5060,5276,5465,5707,6000,6694,7192,7751,8421,9346,10082,11089,12329,13615,14629,16433,18050,20069,21791,24473,27799,31888,36264,40090,42908,47591,50346,55367,58532,66761,71716,79614,84245,92343,94622,102369,107170,115715,112248,130995,145407,165368,186204,205005,211261,209375,211707,239977,253916,284586,279508,279656,291943,301399
"344","337","    Gross output of nonprofit institutions (133)","DNPERC0",14104,15051,16002,17160,18570,20511,22309,24635,27350,30901,34648,38706,43395,48154,52706,59739,68230,77397,86316,98114,111035,127955,147774,165931,181368,196640,211717,230055,249698,278987,304917,338190,367010,400799,423303,444684,463386,488806,509284,550547,585277,631979,688012,749684,785929,827580,874298,935158,989366,1046516,1078720,1113350,1164469,1215537
"345","338","      Health, gross output","DHLGRC0",4707,5178,5642,6280,7057,7804,8493,9565,10895,12808,14999,17198,19804,22189,24603,28440,33825,39378,44952,51788,58707,68141,80074,90697,100585,107955,115905,125251,137526,154135,169492,189399,208509,228995,243883,253730,263358,273952,287730,308350,324629,342344,369032,403445,427113,451220,482156,512711,539111,567403,599509,622694,655677,681276
"346","339","        Outpatient services, gross output","DOUGRC0",402,452,503,599,687,811,911,984,895,991,1035,1126,1201,1324,1555,1763,2117,2524,2914,3231,3625,4080,4856,5137,6271,7385,8638,9969,11448,13187,14890,17920,20096,22505,26134,29489,32592,34332,35951,37714,39273,41400,44948,50781,54265,57862,61625,65305,68185,69107,72296,75137,79247,83281
"347","340","        Nonprofit hospitals, gross output","DHSORC0",4208,4550,4915,5412,6023,6520,7093,7983,9259,10889,12796,14705,16973,19039,20997,24328,29004,33829,38650,44619,50681,59045,69610,79641,87439,92937,98999,106273,115595,128088,140954,155737,171933,187996,198027,203244,207846,214876,223887,240823,253921,267936,288083,314599,333281,353501,378327,403579,426276,451627,478657,497905,525365,547314
"348","341","        Nonprofit nursing homes, gross output","DNXORC0",97,175,225,269,347,473,488,599,740,928,1168,1366,1630,1826,2051,2350,2704,3026,3388,3938,4401,5016,5607,5920,6874,7634,8268,9009,10482,12860,13648,15741,16479,18494,19723,20997,22920,24744,27892,29814,31434,33008,36002,38065,39567,39857,42205,43827,44650,46669,48556,49651,51065,50681
"349","342","      Recreation services, gross output","DRCGRC0",599,637,668,711,753,808,830,917,983,1060,1142,1234,1284,1367,1530,1762,1983,2234,2498,2805,3313,3991,4843,5536,6009,6459,7410,8118,8602,9577,10795,12119,13146,14575,15563,16154,16823,17220,17968,19024,20921,23079,25072,26548,28307,29866,32145,34718,37222,39591,38899,38131,38983,40303
"350","343","      Education services, gross output","DEDGRC0",3085,3344,3632,3935,4228,4623,5170,5785,6312,7152,7942,8702,9392,10383,11328,12391,13554,14517,15351,17025,18969,21436,24146,26573,28843,31263,33890,36435,39516,43075,46938,50469,53478,56504,59792,63065,66967,71775,74673,80831,86252,93750,102993,110449,115764,121551,128705,140101,153602,162824,167967,172539,182970,193699
"351","344","      Social services, gross output","DSSGRC0",603,636,656,629,688,887,1038,1257,1483,1656,1893,2098,2484,3017,3282,3518,3973,4722,5528,6521,7701,9020,10195,11073,12068,13380,15133,16825,18924,20762,23183,25651,28093,31032,33384,35334,38283,40715,44591,50028,56507,65411,75469,82548,86911,87906,92188,95804,100026,105675,109271,111357,116924,117999
"352","345","      Religious organizations, gross output","DREORC0",3696,3639,3794,3870,4046,4325,4582,4628,5073,5248,5564,5955,6502,6853,7452,8190,8909,9597,10342,11536,12475,13580,15597,16829,17832,19257,20536,21855,22759,24607,26296,28221,30075,31372,33017,36624,38628,42630,44223,47751,49766,53557,58066,61716,62825,66763,69634,72176,77334,76569,76033,76641,78104,80096
"353","346","      Foundations and grantmaking and giving establishments, gross output","DFXORC0",98,132,168,197,237,217,372,406,402,375,496,592,922,837,835,1186,1292,1468,1731,1595,2204,2567,2870,3375,3871,4165,4557,5047,5650,6556,7886,8140,8938,9343,9766,9189,9084,8812,8177,9366,11383,13454,16736,18115,18246,18942,20116,23396,25751,28783,27458,27469,29831,32134
"354","347","      Social advocacy establishments, gross output","DSAORC0",74,78,81,78,85,109,128,155,183,204,233,258,305,371,403,432,488,580,679,801,946,1108,1253,1361,1483,1643,1857,2063,2316,2552,2811,3135,3465,3823,4124,4349,4702,4972,5268,5527,6046,6757,7554,9405,10375,10468,11215,12737,14421,16085,16463,17085,17997,19231
"355","348","      Civic and social organizations, gross output","DCIORC0",204,210,220,224,237,261,278,313,341,367,390,409,432,465,506,552,619,697,777,863,1048,1273,1532,1837,1974,2117,2479,2724,2986,3311,3761,4223,4760,5233,5494,5605,5811,5871,5898,6529,7037,7797,8487,9260,9886,9944,9762,10036,10059,10508,10298,10044,10145,10761
"356","349","      Professional advocacy, gross output","DSNGRC0",1037,1197,1141,1237,1239,1477,1418,1610,1679,2032,1989,2260,2270,2672,2767,3267,3587,4203,4458,5180,5671,6840,7266,8649,8703,10400,9950,11738,11420,14413,13755,16834,16547,19921,18279,20634,19731,22860,20756,23142,22736,25831,24603,28198,26502,30921,28376,33478,31839,39078,32821,37390,33839,40037
"357","350","    Less: Receipts from sales of goods and services by nonprofit institutions (134)","DNPSRC0",9044,9775,10537,11453,12570,13817,15117,16884,18929,21555,24566,27617,31066,34539,38077,43306,50180,57328,64525,73641,83236,96067,111510,125841,138460,149049,161371,174688,191166,212226,233201,258576,282765,308456,328681,342315,356216,373091,397036,419552,439870,466611,501808,544679,574668,618205,662591,695181,735450,761930,799212,833694,872526,914138
"358","351","      Health services to households","DHLRRC0",4858,5334,5804,6449,7236,7985,8683,9782,11191,13160,15434,17707,20404,22863,25321,29266,34794,40478,46199,53145,60089,69585,81544,92309,102061,109098,116665,125604,137513,153860,169177,188809,208004,228609,243504,252105,259939,270103,287104,301962,314873,331743,355999,392928,414256,448384,482509,505778,536024,555260,588547,615632,646874,681151
"359","352","        Outpatient services to households","DOUSRC0",361,402,444,525,598,706,788,850,787,869,915,1000,1069,1177,1373,1553,1859,2199,2538,2780,3084,3434,4033,4218,5039,5772,6588,7437,8397,9737,11357,14128,16378,18835,21418,23984,26400,27987,30291,32155,33274,35889,38815,44563,47397,52189,55583,55499,56834,60233,62792,65378,69153,72681
"360","353","        Nonprofit hospitals, services to households","DNPHRC0",4404,4762,5144,5664,6304,6824,7424,8355,9691,11397,13393,15390,17763,19926,21971,25448,30329,35363,40396,46570,52764,61317,72107,82386,90397,95969,102109,109484,119014,131745,144714,159601,175876,192120,203075,208104,211946,218718,230865,241608,252256,264796,283610,312928,329540,357570,385887,408289,434910,449700,478256,501586,527781,558465
"361","354","        Nonprofit nursing homes' services to households","DNPNRC0",93,169,216,259,334,455,470,577,714,894,1126,1317,1571,1760,1977,2265,2606,2916,3265,3796,4242,4834,5404,5705,6626,7357,7969,8683,10103,12378,13106,15081,15750,17654,19011,20018,21593,23398,25948,28199,29344,31058,33575,35438,37320,38625,41039,41990,44280,45327,47499,48668,49940,50005
"362","355","      Recreation services to households","DRCRRC0",408,426,441,462,485,516,534,588,630,646,643,638,611,615,658,708,745,794,860,1008,1258,1594,2028,2437,2737,3121,3845,4508,4934,5386,5861,6432,6870,7420,8089,8554,9064,9358,9812,10176,10955,11529,12148,12180,12840,13877,15561,16337,16451,16071,15288,15349,15415,15921
"363","356","      Education services to households","DEDRRC0",1906,2067,2268,2472,2670,2912,3287,3639,3927,4344,4795,5301,5735,6266,6831,7492,8147,8739,9233,10066,10944,12152,13372,14708,15991,17290,18574,19743,21460,23328,25775,28258,30236,32079,34100,36168,38469,41888,44634,47579,50412,54181,58526,59625,63163,67345,72108,76740,81631,86887,90274,94143,99258,105384
"364","357","      Social services to households","DSSRRC0",277,292,301,289,316,407,476,576,680,759,867,961,1137,1381,1503,1611,1819,2162,2531,2985,3525,4129,4667,5071,5526,6126,6929,7704,8665,9516,10670,11820,12950,14321,15757,17207,19101,20858,23352,26628,29886,34835,40425,45110,47698,50434,53126,54944,57802,59461,60733,63497,65149,65283
"365","358","      Religious organizations' services to households","DRELRC0",369,364,379,387,404,432,458,462,507,524,556,595,650,685,745,819,891,960,1034,1154,1247,1358,1560,1683,1816,2026,2228,2445,2587,2775,2922,3090,3244,3356,3490,3801,3968,4364,4569,4711,4776,4906,4965,4931,5025,5263,5418,5615,6017,5957,5915,5963,6077,6232
"366","359","      Foundations and grantmaking and giving services to households","DGIVRC0",9,12,15,18,22,20,34,37,37,34,45,54,84,76,76,108,118,134,157,145,201,233,261,307,352,379,415,459,514,595,711,730,797,830,868,817,808,783,917,859,785,702,554,434,441,486,502,590,679,632,576,619,635,653
"367","360","      Services of social advocacy establishments to households","DSASRC0",18,19,19,19,20,26,31,37,44,49,56,62,73,89,97,104,117,139,163,192,227,266,300,326,355,394,445,494,555,612,675,754,835,922,1011,1098,1214,1288,1278,1400,1530,1592,1603,1654,1919,1971,2143,2470,2767,2952,2962,3150,3300,3411
"368","361","      Civic and social organizations' services to households","DCISRC0",188,192,201,206,218,237,251,279,302,313,311,306,301,312,327,335,349,369,399,465,599,770,983,1219,1356,1541,1917,2218,2489,2718,3010,3280,3592,3881,4173,4394,4692,4881,4917,5365,5557,5866,5960,6120,6651,6960,6793,6865,7034,6906,6717,6850,6793,6934
"369","362","      Professional advocacy services to households","DSNRRC0",1012,1070,1108,1151,1199,1282,1364,1483,1612,1725,1859,1994,2072,2252,2519,2865,3200,3554,3949,4482,5146,5980,6795,7781,8265,9074,10353,11514,12448,13436,14400,15404,16237,17038,17689,18171,18963,19568,20453,20872,21097,21259,21627,21696,22676,23485,24429,25842,27047,27805,28198,28491,29026,29170
"370",NA,"Additional aggregates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","363","  Control Group","DCGPRC0",136637,139474,143006,149163,155194,167297,179365,197309,205767,224280,240830,256051,270081,294732,328989,362036,393825,429567,469658,520592,578931,625931,675386,701019,752647,816205,863840,920915,973988,1040936,1108279,1164630,1190845,1230443,1289335,1370723,1429583,1503812,1567122,1653846,1781873,1900205,1958142,2023408,2110202,2234022,2364364,2495378,2600833,2633609,2558110,2648643,2804933,2916980
"372","364","  PCE food and energy","DPFERC0",84567,86734,88338,90452,92710,97604,104503,112820,116688,125065,134356,145011,151469,162309,181097,210501,233233,252934,275371,299818,345726,397569,432428,448321,464384,484193,502493,494984,509665,536883,574698,614144,629015,635833,655410,678490,695422,731567,749006,744956,788193,863921,892894,889808,957399,1030542,1138236,1210293,1286349,1380564,1257015,1334698,1457929,1478989
"373","365","  PCE energy goods and services \1\","DNRGRC0",22971,24178,24591,25796,26840,28114,30061,32210,34129,36233,38985,41505,44344,47837,54383,67463,76667,85637,95601,103706,127356,158402,177089,181181,187348,193090,199540,178570,185353,194076,209310,222968,226062,231368,241939,246381,251675,269688,274230,258450,274625,326465,333187,320201,369870,417579,493743,536102,575142,634171,514698,574061,647741,649927
"374","366","  PCE excluding food","DPXFRC0",256105,269237,278438,298679,316840,341961,369367,400281,425223,469173,509754,544798,594488,655759,725295,789891,877219,983957,1098054,1231508,1372794,1516660,1684162,1808353,2011541,2209982,2414658,2580327,2772648,3007252,3229104,3444274,3577123,3832427,4070117,4318695,4543531,4811726,5095846,5431979,5829218,6292915,6589101,6869583,7216589,7657610,8159032,8626804,9061063,9289127,9103585,9455085,9918856,10290546
"375","367","  PCE excluding energy","DPXERC0",294732,307615,317594,337540,355870,383337,413748,448681,473652,521771,566140,606799,657269,722394,797626,865467,957119,1065617,1182224,1323914,1463808,1597425,1762411,1894313,2101230,2307993,2518070,2718172,2911607,3155982,3385182,3612481,3754015,4005523,4241651,4504424,4735604,5003916,5296393,5660036,6068162,6503908,6815621,7118989,7434245,7852993,8309782,8764893,9197129,9401352,9331203,9641662,10081303,10469685
"376","368","  PCE excluding food and energy \2\","DPCCRC0",233136,245061,253847,272884,290003,313849,339308,368073,391095,432937,470768,503290,550144,607921,670915,722431,800555,898320,1002452,1127803,1245441,1358257,1507078,1627173,1824192,2016891,2215115,2401761,2587295,2813173,3019792,3221309,3351058,3601058,3828183,4072316,4291858,4542041,4821620,5173532,5554590,5966449,6255913,6549383,6846721,7240032,7665290,8090705,8485921,8654959,8588888,8881023,9271116,9640620
"377",NA,"Market-based personal consumption expenditures (PCE):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
