"","Table 7#1# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"86","62","    Chain-type quantity index","B255RA",4.67,4.78,4.14,4.2,4.89,5.09,5.2,5.19,5.04,4.88,4.75,4.91,5.01,5.32,6.86,6.73,6.6,6.31,5.46,5.07,5.71,5.79,6,6.41,6.29,6.65,6.45,5.91,5.67,6.24,5.75,5.71,6.29,6.36,6.39,7.04,7.29,7.06,6.98,7.08,7.2,7.31,7.19,7.53,7.18,7.32,7.46,8.1,8.35,8.98,9.13,8.81,8.95,9.05,8.55,8.14,8.06,8.21,9.08,9.3,9.63,9.93,10.11,10.09,9.96,10.3,10.57,10.54,10.46,10.82,11.23,11.6,11.07,12.81,12.92,13.56,13.91,14.13,15.04,15.22,15.23,14.83,14.95,16.35,17.64,18.08,19.32,19,16.56,20.97,20.54,20.02,20.06,20.22,20.16,20.72,20.62,22.61,23.41,21.33,25.07,23.89,24.9,26.07,27.42,26.73,26.31,26.51,25.25,26.71,26.25,25.78,22.78,20.83,23,24.29,26.03,27.33,28.54,29.56,31.16,31.39,31.01,31.45,33.64,33.78,34.17,34.62,34.55,34.77,34.18,35.05,35.1,32.28,29.6,31.28,32.59,32.62,32.31,33.36,32.12,31.22,33.01,31.27,32.2,34.88,37.87,39.99,42.92,44.67,45.61,46.8,45.33,48,47.82,50.07,49.7,52.84,53.95,54.32,53.43,54.52,55.83,56.82,56.66,56.08,57.46,59.34,58.41,59.72,60.11,60.94,61.26,62.45,62.41,60.27,58.49,60.76,63.1,63.89,64.44,67.1,68.25,69.27,71.27,73.55,74.15,77.17,78.69,82.82,85.7,88.24,89.75,91.58,91.8,92.59,95.22,98.65,102.13,104,107.58,112.95,117.27,119,123.2,126.79,127.94,132.44,135.67,141.12,146.26,149.72,154.59,161.91,167.15,166.4,162.44,158.49,154.54,153.24,154.63,164.44,165.81,168.34,165.45,170.69
"87","63","    Chain-type price index","B255RG",14.8,16.22,17.36,18.12,18.54,18.59,18.33,17.96,17.59,17.35,17.25,17.32,17.84,18.28,19,20.07,22.05,23.5,24.36,24.49,23.13,22.64,22.17,21.79,21.6,21.44,21.4,21.45,21.79,21.91,22.01,22.03,21.86,21.85,21.87,21.93,22.1,22.25,22.36,22.5,22.66,22.63,22.48,22.23,21.65,21.39,21.2,21.07,21.46,21.39,21.41,21.67,21.7,21.72,21.79,21.64,21.58,21.49,21.48,21.46,21.11,21.07,20.9,20.88,21.01,21.1,21.25,21.38,21.69,21.81,21.73,21.78,21.86,21.67,21.84,22.08,22.11,22.44,22.35,22.53,22.49,22.35,22.35,22.35,22.52,22.69,22.67,22.86,23,23.09,23.22,24.01,24.28,24.52,25.28,25.57,26.03,25.96,26.24,26.54,27.2,28.03,28.47,29.09,29.98,32.4,33.86,36.7,43.51,49.29,52.18,53.95,54.8,54.76,53.09,52.94,53.99,54.96,55.94,56.46,58.63,60.37,61.11,61.58,62.66,64.16,64.96,66.04,68.83,72.63,78.48,84.08,91.44,95.07,97.66,99.45,102.47,103.05,99.76,99.73,99.24,97.44,96.39,95.55,93.16,93.18,93.37,92.67,92.91,93.55,92.16,91.2,88.84,88.8,88.1,89.63,88.98,85.44,85.9,87.09,90.21,92.87,93.74,95.35,96.42,98.32,97.13,98.02,100.18,101.55,99.42,99.77,101.02,98.49,101.32,107.27,103.21,100.41,98.88,99.99,99.23,99.78,101.03,100.81,99.06,99.77,98.89,98.51,97.85,99.34,100.85,101.27,102.06,103.59,102.66,101.73,101.15,100.54,99.13,99.18,97.95,95.73,95.23,94.6,91.89,90.55,89.24,88.99,88.44,89.56,90.93,92.32,93.85,94.12,95.17,95.37,94.48,92.92,91.36,88.71,88.24,90.55,91.15,91.36,93.98,92.33
"88","64","    Implicit price deflator","A255RD",14.87,16.29,17.42,18.17,18.57,18.59,18.33,17.95,17.6,17.36,17.24,17.29,17.75,18.17,18.88,19.98,22.07,23.59,24.49,24.62,23.18,22.67,22.19,21.79,21.61,21.44,21.39,21.45,21.78,21.91,22.02,22.03,21.86,21.84,21.87,21.92,22.1,22.25,22.37,22.5,22.66,22.63,22.48,22.24,21.68,21.41,21.21,21.05,21.47,21.39,21.41,21.67,21.69,21.72,21.79,21.64,21.58,21.49,21.48,21.47,21.11,21.07,20.9,20.88,21.01,21.1,21.24,21.37,21.69,21.81,21.73,21.78,21.86,21.67,21.83,22.07,22.1,22.43,22.34,22.53,22.5,22.35,22.35,22.35,22.52,22.69,22.67,22.86,22.99,23.08,23.21,23.99,24.27,24.52,25.27,25.57,26.03,25.96,26.24,26.53,27.19,28.02,28.46,29.08,29.98,32.42,33.9,36.76,43.52,49.27,52.12,53.86,54.82,54.79,53.14,52.99,53.97,54.92,55.89,56.4,58.61,60.37,61.11,61.59,62.65,64.15,64.94,66.02,68.82,72.61,78.46,84.05,91.5,95.22,97.88,99.68,102.55,103.07,99.73,99.68,99.24,97.43,96.39,95.56,93.17,93.19,93.38,92.69,92.95,93.58,92.18,91.2,88.81,88.78,88.1,89.65,89.04,85.48,85.93,87.1,90.19,92.82,93.68,95.3,96.4,98.31,97.13,98.03,100.18,101.55,99.42,99.78,101.04,98.52,101.36,107.33,103.28,100.48,98.92,100.01,99.21,99.76,101.01,100.79,99.08,99.78,98.89,98.5,97.79,99.28,100.78,101.22,102.05,103.59,102.67,101.74,101.15,100.56,99.16,99.24,98.01,95.78,95.27,94.64,91.93,90.59,89.27,89,88.41,89.51,90.87,92.26,93.82,94.11,95.16,95.36,94.44,92.88,91.31,88.66,88.19,90.49,91.09,91.31,93.92,92.28
"89",NA,"  Imports of services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","65","    Current dollars","A656RT",1.23,1.23,1.19,1.41,1.48,1.55,1.78,1.67,1.58,1.62,1.5,1.44,1.5,1.56,1.66,1.82,2,2.03,2.26,2.52,2.75,2.6,2.9,3.27,3.11,3.19,3.33,3.4,3.1,3.32,3.28,3.42,3.27,3.79,3.96,3.64,3.81,4.06,4.29,3.66,4.47,4.45,4.33,3.94,4.44,4.79,4.5,4.55,4.47,4.53,4.57,4.57,4.9,4.89,5.05,4.85,4.91,4.94,4.89,5,5.09,5.15,5.19,5.5,5.34,5.38,5.53,5.52,5.58,5.59,5.63,5.72,5.75,5.97,5.96,6.3,6.55,6.87,7.11,7.18,7.58,7.9,8.1,7.83,7.94,7.92,8.29,8.44,8.42,8.76,8.93,9.24,9.15,9.78,9.85,9.73,9.87,10.24,10.23,10.46,11.04,11.19,10.86,11.58,12.21,12.55,12.3,12.85,13.88,14.86,14.87,15.69,15.47,14.85,15.04,15.96,16.41,16.66,17.4,18.05,18.61,19.31,19.21,19.91,21.29,21.78,23.04,23.94,24.32,25.21,26.19,27.36,28.85,28.51,29.11,30.49,32,32.43,31.92,32.72,33.5,34.42,33.65,34.48,34.07,35.66,37.17,37.72,42.33,44.3,45.05,46.08,46.46,47.9,47.58,49.11,52.55,50.56,54.18,55.08,56.4,59.71,60.52,63.96,64.92,64.39,65.21,66.71,66.7,67,68.45,69.81,74.57,76.19,79.29,81.6,78.96,78.62,77.49,79.12,77.86,77.2,75.2,79.27,78.87,80.55,81.14,84.31,85.93,86.64,88.5,88.91,91.64,93.45,94.57,95.5,97.25,98.59,101.75,102.4,106.44,108.05,112.51,114.12,117.08,119.95,122.01,123.39,120.24,123.36,127.36,130.12,138.35,141.81,148.65,148.87,150.33,152.14,114.87,140.41,151.98,155.59,161.87,167.25,169.84,167.64
"91","66","    Chain-type quantity index","B656RA",6.34,6.38,6.12,7.24,7.42,7.68,8.78,8.28,7.98,8.29,7.69,7.44,7.71,8.03,8.46,9.18,9.86,9.84,10.82,11.93,13.12,12.43,13.94,15.9,15.39,15.96,16.83,17.26,15.62,16.7,16.54,17.27,16.64,19.31,20.18,18.53,19.32,20.45,21.48,18.23,22.08,21.97,21.39,19.54,22.35,24.19,22.76,22.97,22.37,22.62,22.74,22.7,24.47,24.38,24.91,23.76,23.88,23.94,23.75,24.3,24.76,24.82,24.86,25.89,24.77,24.81,25.4,25.28,25.64,25.57,25.65,25.98,25.63,26.46,26.25,27.52,28.2,29.56,30.63,30.92,32.35,33.7,34.51,33.34,33.58,33.28,34.48,34.96,34.9,36.1,36.41,37.48,36.84,38.76,38.76,38.08,36.91,37.53,36.89,36.77,39.06,39.12,37.26,38.71,39.74,38.13,35.41,35.67,36.49,37.61,36.85,37.84,36.83,34.69,34.7,36.12,37.01,37.5,38.43,39.22,39.73,40.47,39.5,40.04,42.23,42.15,42.99,43.78,43.48,43.51,43.22,43.28,43.13,41.89,41.51,43.09,45,45.31,44.35,44.75,45.62,47.51,47.26,48.57,48.12,50.39,52.45,53.26,59.48,62.26,65.37,68.31,69.78,70.12,67.46,67.5,69.08,65.88,69.86,70.92,73.93,77.62,77.66,81.33,80.31,78.57,79.6,80.53,80.83,81.06,82.67,83.37,87.28,88.24,89.27,88.11,85.49,87.23,85.5,86.49,84.74,83.17,78.64,84.23,84.25,85.44,86.85,89.86,91.37,91.9,91.82,91.5,95.55,94.45,95.05,96.53,97.86,98.85,101.64,101.65,106.39,107.86,113.61,115.89,121.62,123.59,125.7,125.73,125.79,127.88,130.86,133.14,139.53,142.76,147.87,147.7,147.81,150.84,141.21,134.98,145.69,144.92,146.02,150.54,149.03,143.24
"92","67","    Chain-type price index","B656RG",19.3,19.31,19.45,19.65,20.02,20.15,20.18,20.11,19.76,19.6,19.47,19.38,19.34,19.44,19.65,19.95,20.38,20.68,20.91,21.04,20.99,20.91,20.76,20.53,20.18,19.95,19.78,19.7,19.85,19.86,19.85,19.82,19.68,19.62,19.6,19.63,19.73,19.83,19.95,20.07,20.23,20.27,20.25,20.16,19.89,19.78,19.75,19.82,19.96,20.03,20.09,20.14,20.03,20.05,20.29,20.41,20.55,20.63,20.58,20.58,20.55,20.74,20.86,21.26,21.57,21.67,21.75,21.85,21.76,21.85,21.93,22.04,22.45,22.57,22.7,22.91,23.22,23.23,23.23,23.23,23.42,23.44,23.46,23.49,23.64,23.81,24.05,24.14,24.13,24.26,24.54,24.65,24.85,25.23,25.42,25.56,26.73,27.29,27.74,28.45,28.27,28.61,29.13,29.88,30.65,32.82,34.63,35.95,38.01,39.51,40.37,41.52,42.02,42.8,43.34,44.17,44.34,44.46,45.29,46.03,46.85,47.72,48.62,49.73,50.43,51.69,53.62,54.71,55.94,57.94,60.58,63.2,66.89,68.06,70.13,70.74,71.13,71.56,71.97,73.1,73.41,72.41,71.17,70.97,70.81,70.76,70.86,70.82,71.13,71.08,68.83,67.36,66.52,68.27,70.51,72.75,76.06,76.75,77.57,77.69,76.33,76.96,77.96,78.66,80.84,81.95,81.92,82.84,82.53,82.66,82.81,83.75,85.44,86.35,88.83,92.62,92.37,90.12,90.63,91.47,91.85,92.78,95.6,94.09,93.61,94.28,93.42,93.83,94.05,94.28,96.38,97.16,95.9,98.93,99.49,98.93,99.4,99.75,100.11,100.74,100.03,100.15,99,98.45,96.27,97.06,97.07,98.15,95.6,96.48,97.35,97.77,99.17,99.35,100.54,100.8,101.74,100.91,81.38,104.08,104.37,107.43,110.92,111.16,114.03,117.1
"93","68","    Implicit price deflator","A656RD",19.44,19.35,19.39,19.51,19.89,20.11,20.23,20.18,19.77,19.59,19.46,19.4,19.41,19.48,19.62,19.83,20.26,20.6,20.9,21.15,20.99,20.92,20.78,20.56,20.18,19.96,19.79,19.7,19.87,19.86,19.85,19.81,19.67,19.62,19.61,19.64,19.74,19.84,19.95,20.06,20.23,20.27,20.24,20.15,19.88,19.78,19.76,19.81,19.96,20.03,20.09,20.14,20.03,20.06,20.29,20.41,20.55,20.63,20.58,20.58,20.55,20.73,20.86,21.25,21.57,21.67,21.75,21.85,21.76,21.85,21.93,22.03,22.45,22.57,22.69,22.9,23.22,23.23,23.23,23.23,23.42,23.44,23.46,23.49,23.63,23.81,24.05,24.14,24.12,24.26,24.54,24.65,24.85,25.23,25.42,25.56,26.74,27.29,27.75,28.45,28.25,28.6,29.14,29.92,30.72,32.92,34.73,36.03,38.04,39.5,40.34,41.48,42.01,42.8,43.35,44.18,44.33,44.44,45.27,46.01,46.84,47.72,48.63,49.73,50.41,51.67,53.59,54.68,55.94,57.94,60.59,63.22,66.89,68.06,70.13,70.75,71.13,71.56,71.97,73.11,73.44,72.43,71.19,70.99,70.81,70.75,70.86,70.82,71.17,71.16,68.92,67.46,66.58,68.32,70.53,72.77,76.07,76.75,77.56,77.66,76.29,76.93,77.93,78.64,80.83,81.94,81.92,82.84,82.53,82.65,82.8,83.74,85.43,86.34,88.83,92.61,92.36,90.12,90.64,91.48,91.88,92.81,95.63,94.12,93.62,94.28,93.42,93.83,94.05,94.28,96.38,97.17,95.91,98.94,99.49,98.93,99.38,99.74,100.1,100.74,100.05,100.18,99.03,98.47,96.27,97.05,97.06,98.14,95.59,96.47,97.32,97.74,99.15,99.34,100.52,100.79,101.71,100.86,81.34,104.02,104.31,107.37,110.86,111.1,113.97,117.03
"94",NA,"Government consumption expenditures and gross investment:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","69","  Current dollars","A822RT",2.56,2.58,2.56,2.55,2.65,2.8,2.92,3.07,3.21,3.33,3.33,3.29,3.21,3.25,3.24,3.49,4.05,4.56,5.12,5.48,5.58,5.86,5.99,6.16,6.33,6.48,6.37,6.38,6.25,6.09,5.99,6,6.03,6.08,6.19,6.13,6.23,6.46,6.47,6.67,6.93,6.95,7.05,7.22,7.2,7.46,7.55,7.75,7.83,7.95,7.96,7.9,7.77,7.9,8.09,8.25,8.33,8.46,8.56,8.83,9.08,9.22,9.38,9.5,9.53,9.61,9.87,9.95,10.06,10.23,10.25,10.27,10.33,10.59,10.95,11.36,11.64,12.08,12.49,12.83,13.46,13.55,13.8,14.13,14.58,14.84,15.08,15.36,15.41,15.68,16.01,16.08,16.37,16.47,16.82,17.05,17.3,17.57,17.76,17.98,18.73,18.95,18.94,19.35,19.86,20.14,20.2,20.8,21.54,22.32,23,23.82,24.68,25.04,25.55,26.29,26.74,26.83,27.05,27.53,28.3,29.04,29.43,30.05,30.5,31.76,32.5,33.41,33.76,34.81,35.86,37.2,38.66,39.82,40.2,41.58,43.19,44.06,44.48,45.88,46.61,47.53,48.45,49.94,50.57,51.43,52.79,52.23,54.24,55.94,56.79,58.3,59.58,61.07,62.77,63.65,64.22,65.63,67.49,67.74,68.75,69.8,70.48,71.68,71.77,72.52,72.8,74.59,75.27,77,78.19,79.04,81.47,82.38,83.18,85.31,86.4,86.89,87.09,87.17,88.42,88.97,89.86,90.15,89.98,90.66,91.16,91.93,91.66,92.56,94.81,94.52,95.68,96.69,96.93,96.66,98.64,100.07,100.1,101.19,102.62,104.53,105.35,106.06,105.62,107.87,108.87,110.43,112.14,113.94,116.31,119.23,120.72,122.99,123.58,125.28,128.35,130.7,130.22,133.39,136.4,137.83,139.32,141.45,144.31,146.99
"96","70","  Chain-type quantity index","B822RA",21.52,21.64,21.78,21.46,21.88,22.92,23.35,24.37,24.99,26.12,26.4,25.81,25.39,25.77,25.29,26.9,29.67,33.77,37.57,39.64,41.13,42.5,42.93,43.66,45.1,46.13,45.54,45.39,44.1,42.62,41.58,41.31,41.24,40.78,41.07,40.18,40.15,40.97,40.6,41.67,42.48,42.24,42.59,43.36,42.87,43.96,44.2,45.12,45.82,46.69,46.99,46.57,45.63,46.23,46.83,47.34,47.85,48.33,48.81,50.01,50.87,51.46,52.1,52.34,52.04,52.34,53.86,53.4,53.67,54.35,53.9,53.87,53.84,54.95,56.28,57.47,58.54,60.33,61.19,62.45,65.09,64.79,65.18,65.74,66.91,67.24,67.39,67.55,67.29,67.23,67.1,66.33,65.84,65.21,65.47,65.39,64.6,64.36,64.13,63.95,64.76,64.84,63.83,63.94,64.32,64.11,63.19,63.89,64.7,65.25,65,65.22,66.16,65.98,66.23,66.74,66.99,66.34,66.03,66.01,66.48,67.17,67.23,67.13,67.28,69.07,69.64,70.3,69.66,70.36,70.49,71.09,72.13,72.34,71.41,71.31,72.26,72.44,72.28,72.78,72.69,73.11,73.62,74.82,75.24,75.83,77.15,75.87,76.73,78.43,78.98,80.47,81.41,83.02,85.04,85.43,86.08,87.76,89.83,89.42,89.9,90.66,90.89,92.13,91.43,91.59,91.45,93.33,92.78,94.28,95.19,95.67,97.14,97.38,97.39,98.36,98.79,99.08,98.66,98.24,98.99,98.86,99.38,99.42,98.21,98.32,98.34,98.61,97.61,97.78,99.68,98.77,98.97,99.44,99.22,98,98.79,100.59,100,100.61,100.89,102.47,103.02,103.05,102.4,104.27,104.78,105.83,106.61,107.37,108.76,110.64,110.29,111.55,111.27,112.06,113.63,115.19,114.87,117.76,119.37,119.79,120.65,122.02,122.14,124.56
"97","71","  Chain-type price index","B822RG",11.9,11.89,11.76,11.87,12.1,12.21,12.51,12.58,12.85,12.75,12.59,12.72,12.64,12.6,12.8,12.98,13.65,13.52,13.63,13.8,13.57,13.78,13.94,14.11,14.02,14.03,13.97,14.05,14.16,14.26,14.39,14.51,14.61,14.88,15.06,15.24,15.51,15.76,15.92,15.99,16.3,16.44,16.55,16.65,16.77,16.95,17.07,17.16,17.07,17.02,16.92,16.96,17.02,17.08,17.26,17.41,17.4,17.49,17.52,17.64,17.84,17.91,17.99,18.14,18.3,18.35,18.31,18.61,18.74,18.81,19.01,19.04,19.18,19.27,19.45,19.76,19.87,20.02,20.41,20.53,20.67,20.9,21.16,21.48,21.78,22.05,22.35,22.72,22.88,23.3,23.84,24.22,24.84,25.24,25.67,26.04,26.76,27.26,27.66,28.08,28.89,29.2,29.64,30.23,30.84,31.39,31.93,32.53,33.26,34.19,35.35,36.5,37.27,37.93,38.55,39.36,39.89,40.4,40.91,41.66,42.52,43.19,43.73,44.75,45.33,45.97,46.67,47.52,48.47,49.47,50.86,52.34,53.6,55.03,56.27,58.31,59.76,60.83,61.56,63.04,64.13,65.02,65.82,66.76,67.22,67.83,68.43,68.85,70.71,71.35,71.91,72.47,73.2,73.58,73.82,74.53,74.62,74.79,75.13,75.76,76.48,77,77.55,77.82,78.5,79.18,79.61,79.92,81.12,81.67,82.15,82.61,83.88,84.61,85.41,86.74,87.47,87.7,88.27,88.72,89.33,90,90.43,90.67,91.63,92.21,92.7,93.22,93.9,94.66,95.11,95.7,96.67,97.23,97.69,98.63,99.84,99.48,100.1,100.58,101.72,102.01,102.26,102.93,103.14,103.46,103.91,104.36,105.2,106.13,106.96,107.78,109.46,110.26,111.07,111.8,112.96,113.47,113.37,113.27,114.27,115.06,115.47,115.92,118.15,118.01
"98","72","  Implicit price deflator","A822RD",11.91,11.9,11.77,11.88,12.1,12.22,12.51,12.58,12.86,12.76,12.6,12.73,12.66,12.61,12.8,12.98,13.64,13.52,13.63,13.82,13.58,13.78,13.95,14.11,14.03,14.04,13.98,14.06,14.17,14.28,14.4,14.53,14.62,14.9,15.07,15.25,15.52,15.77,15.93,16,16.32,16.46,16.56,16.66,16.78,16.96,17.08,17.17,17.08,17.03,16.93,16.97,17.03,17.1,17.27,17.42,17.42,17.5,17.53,17.65,17.85,17.93,18,18.15,18.31,18.37,18.32,18.63,18.75,18.83,19.02,19.06,19.19,19.28,19.46,19.77,19.88,20.03,20.42,20.54,20.68,20.91,21.18,21.5,21.8,22.07,22.37,22.74,22.9,23.32,23.86,24.25,24.86,25.26,25.69,26.07,26.79,27.29,27.69,28.12,28.92,29.23,29.68,30.26,30.87,31.42,31.96,32.55,33.29,34.21,35.39,36.53,37.3,37.95,38.58,39.4,39.92,40.44,40.96,41.71,42.57,43.24,43.78,44.77,45.33,45.98,46.67,47.53,48.46,49.47,50.87,52.34,53.61,55.04,56.29,58.32,59.76,60.82,61.54,63.04,64.12,65.01,65.81,66.75,67.22,67.83,68.43,68.84,70.69,71.33,71.9,72.45,73.18,73.56,73.81,74.51,74.61,74.78,75.13,75.76,76.48,77,77.54,77.81,78.5,79.18,79.61,79.92,81.12,81.67,82.14,82.62,83.88,84.6,85.41,86.74,87.47,87.7,88.27,88.72,89.33,89.99,90.42,90.67,91.62,92.21,92.7,93.22,93.9,94.65,95.11,95.69,96.68,97.23,97.69,98.64,99.84,99.48,100.1,100.58,101.72,102.01,102.26,102.92,103.14,103.45,103.91,104.35,105.19,106.12,106.94,107.77,109.45,110.26,111.06,111.8,112.95,113.46,113.37,113.27,114.27,115.06,115.47,115.92,118.15,118.01
"99",NA,"  Federal:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","73","    Current dollars","A823RT",4.4,4.35,4.2,4.04,4.21,4.47,4.62,4.88,5.18,5.36,5.2,5.05,4.79,4.83,4.68,5.24,6.63,7.86,9.25,10.15,10.42,11,11.38,11.74,12.03,12.45,12.03,11.96,11.43,10.86,10.41,10.39,10.27,10.29,10.51,10.23,10.3,10.75,10.62,11.02,11.48,11.37,11.51,11.79,11.53,12.04,12.07,12.43,12.49,12.78,12.78,12.67,12.08,12.19,12.5,12.79,12.68,12.99,13.11,13.48,14.1,14.36,14.62,14.77,14.56,14.62,14.98,14.94,15.03,15.15,15.01,14.86,14.79,15.09,15.56,16.34,16.7,17.54,18.26,18.57,19.82,19.79,20.18,20.57,21.19,21.31,21.52,21.77,21.51,21.67,22.17,22.03,22.1,21.8,21.81,21.87,21.94,22.07,22.2,22.25,23.65,24,23.32,23.56,24.11,24.22,23.61,24.25,24.92,25.51,26.18,27.38,27.87,28.34,28.67,29.57,29.56,29.84,30.27,31.14,32.04,32.99,33.31,34.12,34.61,35.74,36.39,37.62,38.18,39.25,40,41.81,43.8,45.97,46.19,48.6,50.45,52.76,53.29,55.54,56.56,57.75,59.2,61.86,62.87,64.6,66.93,64.78,68,70.76,70.96,73.48,75.11,76.8,79.2,79.97,79.35,81.79,85.03,83.93,85.06,86.47,86.81,88.13,86.76,86.53,86,88.83,88.49,90.79,92.18,91.64,94.43,95.35,95.16,97.65,99.76,100.12,99.12,97.83,99.16,99.8,101.69,101.56,99.5,98.81,99.12,99.33,97.03,97.05,100.17,97.83,98.47,98.85,98.75,96.37,99.81,101.06,99.53,99.6,99.54,102.22,101.84,101.37,98.96,102.13,101.48,103.16,103.47,104.62,107.05,110.03,108.31,112.59,110.94,111.54,115.38,117.53,118.03,121.7,126.42,129.46,131.25,134.86,138.3,146.68
