"","Table 7#11# Chain-Type Quantity and Price Indexes for Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"68","57","      Nondurable goods"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","58","        Commodity Credit Corporation inventory change"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","59","        Other nondurables","B828RG",24.54,21.12,21.16,20.22,24.32,19.54,19.92,20.59,20.45,23.97,19.83,20.05,21.87,25.76,25.05,21.52,22.09,22.75,22.25,23.32,23.89,26.38,26.57,26.08,23.36,25.82,26.1,27.68,28.39,29.11,27.97,24.75,30.08,30.76,24.75,25.79,26.63,27.46,27.82,27.54,27.04,27.95,27.36,28.66,29.36,32.12,28.85,28.21,28.62,28.46,28.71,29.2,31.21,29.37,29.61,29.85,33.59,29.99,30.3,30.52,33.46,31.2,31.5,32.03,32.12,32.09,32.4,33.49,33.07,32.94,33.25,33.98,35.94,33.94,34.3,34.78,35.65,35.52,36.46,36.64,36.63,37.01,37.45,37.72,38.28,38.78,39.09,39.28,39.47,39.55,39.87,40.14,40.69,41.1,41.63,42.26,42.86,43.42,43.87,44.31,43.96,44.47,45.28,45.92,46.82,47.68,49.38,50.23,52.01,52.46,53,53.77,54.34,54.97,56.99,57.54,57.34,57.86,59.27,59.55,60.46,61.06,61.57,62.2,62.5,63.38,62.89,63.21,63.34,65.43,65.53,66.53,68.62,70.13,70.76,72.13,75.13,72.46,69.76,72.74,72.96,72.8,74.15,79.72,82.83,79.31,80.09,76.17,76.97,78.3,78.41,78.54,79.04,78.87,77.59,81.4,78.56,81.69,81.85,79.5,80.6,81.49,82.93,81.69,81.68,82.03,83.24,83.55,84.64,85.35,86.55,87.5,88.25,89.26,87.81,81.8,92.54,90.41,89.88,88.3,91.17,92.14,92.09,92.29,92.95,93.77,94.03,95.24,96.38,96.75,97.74,98.38,99.42,99.87,99.92,100.51,100.59,100.68,100.82,97.91,98.35,99.71,100.07,100.25,99.46,99.03,99.11,98.39,98.99,100.81,103.13,105.24,107.91,108.63,110.31,103.85,110.29,110.65,109.05,105.96,106.6,111.34,113.42,111.69,116.29,113.28
"71","60","      Services","B544RG",8.44,8.68,9.59,9.55,8.86,8.75,8.72,8.59,9.55,9.49,9.39,9.85,9.78,9.45,9.43,9.01,10.78,10.05,9.83,9.82,10.45,10.51,10.61,10.85,11.02,11.09,10.92,11.08,10.81,11.13,11,11.25,11.55,11.92,11.78,11.79,11.95,12.27,12.47,12.47,12.6,12.75,12.81,13.05,13.73,14.21,13.87,14.14,13.93,14.08,14.18,14.23,14.21,14.19,14.75,14.89,15.01,15.07,15.16,15.21,15.48,15.45,15.47,15.98,16,16.03,16.04,16.28,16.61,16.69,16.95,17.03,17.2,17.3,17.44,17.75,17.93,18.01,18.17,18.21,18.26,18.41,18.53,19.13,19.38,19.59,20.04,20.45,20.5,20.66,21.31,21.57,22.71,23.15,23.37,23.54,24.52,25.21,25.6,25.87,26.52,26.71,26.88,27.45,28.02,28.3,28.73,29.6,29.79,30.47,31.1,32.51,33.42,34.05,34.62,35.76,35.86,36.04,36.6,38.03,39.25,39.85,40.19,41.4,41.52,41.82,42.32,43.69,44.14,44.64,45.39,47.26,48.26,48.97,49.82,52.7,53.61,54.35,55.03,56.75,57.67,58.24,58.68,59.99,60.23,60.67,60.96,61.29,62.41,62.91,63.6,63.95,65.07,65.57,65.2,65.8,66.42,66.96,67.61,68.04,68.74,69.09,69.24,69.69,71.05,72.33,73.12,73.53,74.96,75.5,75.74,76.27,76.93,78.22,78.34,80.48,82.51,82.81,83.23,83.16,84.09,84.67,85.44,86.77,88.32,89.03,90.68,91.53,92.35,93.77,93.14,93.94,95.43,95.54,96.15,100.89,100.97,99.11,99.63,100.29,102.24,103.05,102.94,103.73,103.94,104.96,105.48,106.23,107.64,108.39,109.11,109.23,112.3,112.34,112.44,112.25,114.06,114.66,114.97,115.3,119.16,120.07,120.42,120.05,123.84,124.44
"72","61","        Compensation of general government employees, except own-account investment \3\","B545RG",5.67,5.94,6.42,6.54,5.89,5.74,5.55,5.5,6.35,6.31,6.41,6.8,6.69,6.34,6.34,5.9,7.33,6.78,6.55,6.56,7.06,7.14,7.15,7.34,7.43,7.64,7.44,7.53,7.46,7.61,7.55,7.68,7.9,8.28,8.23,8.29,8.44,8.75,8.85,8.82,8.94,9.06,9.13,9.35,9.93,10.22,10.38,10.41,10.47,10.49,10.49,10.47,10.5,10.4,11.08,11.2,11.32,11.4,11.45,11.51,11.61,11.56,11.59,12.13,12.17,12.22,12.14,12.26,12.79,12.82,13.14,13.17,13.29,13.4,13.54,13.88,14.02,13.99,14.13,14.09,14.14,14.17,14.19,14.86,15.09,15.28,15.72,16.11,15.96,15.99,16.75,16.99,18.48,18.73,18.86,18.9,20.08,20.79,21.16,21.33,22.07,22.21,22.34,22.98,23.58,23.75,24.16,24.96,24.87,25.32,25.62,27.14,27.9,28.47,28.84,30.05,30.15,30.4,30.79,32.43,33.66,34.19,34.41,35.82,35.66,35.71,35.9,37.34,37.72,38,38.36,40.39,41.09,41.4,41.99,45.06,45.66,46.15,46.51,48.22,48.94,49.3,49.53,50.66,50.88,51.6,51.67,51.85,53.39,53.65,54.28,54.61,56.1,56.46,55.77,56.27,56.9,57.65,58.37,58.81,59.74,59.96,60.03,60.45,62.24,63.89,64.75,65.01,66.8,67.06,67.3,67.92,68.47,70.16,69.96,73.07,75.87,76.17,76.58,76.17,77.56,78.41,79.18,81.26,83.74,84.7,87.16,88.39,89.71,91.73,90.36,91.4,93.24,92.99,93.85,102.13,102.15,98.61,99.18,100.06,103.44,103.92,104.27,105.35,105.55,106.81,107.94,109.17,111.32,112.62,113.77,113.5,118.44,117.92,117.89,117.1,119.78,120.45,120.74,121.05,128.03,129.63,130.11,129.14,136.01,136.79
"73","62","        Consumption of general government fixed capital \4\","B546RG",20.73,20.98,25.85,23.6,22.72,22.49,24.17,22.91,24.86,24.56,21.91,22.57,22.55,22.76,22.38,23.55,25.28,24.19,23.87,22.57,23.25,23.1,24.2,24.26,25.82,24.07,24.44,24.05,23.89,23.22,24.27,23.99,23.96,24.41,24.7,24.34,24.73,24.95,24.42,24.21,24.66,24.94,25.37,25.38,25.47,26.09,25.72,26.13,25.75,26.07,26.53,26.63,26.76,27.34,26.47,26.84,27.54,27.36,27.81,27.03,27.76,27.94,27.5,28.45,28.77,28.98,29.91,29.62,29.98,29.58,29.94,30.02,30.28,30.88,30.65,30.81,31.16,31.69,32,32.09,32.19,32.44,32.75,33.22,33.85,34.16,34.7,35.22,35.8,36.44,36.91,37.42,38.22,38.91,39.48,40.18,41.13,41.91,42.6,43.3,43.49,43.84,44.14,44.54,45.19,45.66,46.06,48.25,47.89,49.6,51.75,54.11,55.56,56.69,57.25,57.94,59.63,59.01,59.47,60.11,61.03,61.69,62.51,63.28,64,64.54,65.18,66.44,67.55,68.84,70.22,71.72,73.46,74.73,76.16,78.12,79.83,81.43,82.82,84.3,85.52,86.77,86.96,87.49,87.51,87.45,87.48,87.5,87.67,88.05,88.2,88.29,88.65,88.68,88.81,88.85,88.94,89.12,89.48,89.95,89.83,89.97,90.29,90.85,91.54,92.08,92.5,93.1,93.45,93.89,94.24,94.53,94.99,95.44,96.01,96.75,97.59,97.67,97.54,97.45,97.03,96.92,96.82,96.98,97.61,97.79,98.1,98.36,98.55,98.9,98.84,99.1,99.91,100.49,100.69,101.33,100.76,99.93,99.73,99.59,99.39,99.32,98.98,98.93,98.34,98.17,98.06,98.05,98.66,99,99.18,99.59,100.08,100.8,101.24,101.81,102.05,102.62,102.42,102.71,102.68,102.44,102.34,102.46,102.52,102.64
"74","63","        Other services","B730RG",12.72,12.17,13.36,13.2,13.52,13.99,14.44,14.41,14.5,14.45,14.1,14.19,14.49,14.64,14.66,14.82,16.13,15.24,15.78,16.28,16.97,16.85,17.06,17.41,17.46,17.31,17.26,17.83,16.71,17.95,17.22,18.17,18.95,18.94,17.91,17.83,17.89,18.2,18.98,19.22,19.19,19.35,19.19,19.47,20.39,21.55,18.4,19.9,18.59,19.21,19.64,19.92,19.68,19.81,19.92,20.02,20.04,20.09,20.21,20.36,20.96,20.98,21.05,21.26,21.2,21.14,21.24,21.83,21.62,21.85,21.93,22.11,22.37,22.33,22.56,22.81,23.04,23.25,23.43,23.61,23.67,24.05,24.38,24.79,24.94,25.16,25.52,25.9,26.38,26.82,27.03,27.27,27.29,28.15,28.52,28.91,29.18,29.68,30.02,30.42,30.84,31.13,31.36,31.73,32.19,32.62,33.06,33.71,34.67,35.6,36.68,37.49,38.56,39.15,40.13,41.05,40.85,40.95,41.94,42.68,43.75,44.45,44.97,45.59,46.28,47.12,48.3,49.35,49.79,50.6,52.07,53.47,54.87,56.33,57.58,59.91,61.29,62.35,63.58,65.18,66.44,67.32,68.31,70.15,70.44,70.3,71.2,71.98,72.21,73.29,74.22,74.66,75.04,75.96,76.27,77.25,77.97,78.06,78.63,79.01,79.4,80.11,80.38,80.83,81.38,82.02,82.76,83.44,84.34,85.57,85.75,86.14,87.07,87.78,88.38,88.97,89.75,90.13,90.74,91.39,91.83,92.1,93.13,93.43,93.5,93.89,94.35,94.67,94.77,95.39,96.01,96.55,97.6,98.17,98.45,98.44,98.91,99.65,100.41,101.02,101.35,103.12,102.31,102.99,103.56,104.78,104.5,104.76,105.18,105.07,105.34,106.02,107.05,107.78,107.92,108.32,109.51,109.99,110.6,110.99,111.93,112.39,112.79,113.14,114.08,114.66
"75","64","    Gross investment","B798RG",18.83,19.16,23.59,21.76,21.47,21.64,22.99,22.59,23.55,24.03,20.39,22.31,21.91,21.68,21.69,22.56,23.36,23.46,24.2,23.35,24.06,24.77,25.29,25.19,25.43,24.72,25.34,24.88,24.79,24.24,24.55,24.13,23.92,24.12,24.48,24.56,24.86,25.47,25.95,26.04,26.19,27.01,27.52,27.65,26.67,27.05,27.14,27.25,27.56,27.74,27.78,27.64,27.76,27.88,28.06,28.08,27.85,27.96,28.18,28.32,28.52,28.65,28.73,28.89,29.03,29.22,29.15,29.86,30.2,30.94,30.66,30.44,30.21,29.84,29.88,30.02,30.22,30.64,30.73,31.19,31.55,31.89,32.18,32.32,33.01,33.47,33.75,34.11,34.3,34.88,35.59,36.27,37.5,38.27,39.21,39.8,40.55,40.97,41.49,42.26,42.49,42.89,43.24,43.74,44.28,44.91,45.53,46.45,47.39,48.96,50.87,53.16,54.92,56.18,56.88,57.64,58.27,58.69,59.17,59.81,60.86,61.6,62.33,63.02,63.54,64.14,64.95,65.9,67.08,68.41,69.83,72.05,72.93,74.51,76.18,77.72,79.42,81.13,82.69,84.09,85.28,86.27,86.72,87.19,87.04,86.86,86.73,86.71,86.92,87.25,87.43,87.55,87.89,88.01,88.17,88.38,88.55,88.77,89.15,89.72,89.63,89.76,90.12,90.77,91.36,91.89,92.35,93.11,93.6,94.08,94.45,94.8,95.38,95.88,96.47,97.22,97.99,98,97.85,97.65,97.2,97.08,96.91,97.09,97.63,97.82,98.09,98.29,98.56,98.91,98.97,99.31,100.1,100.56,100.81,101.22,100.74,99.94,99.74,99.59,99.26,99.15,98.78,98.63,98.06,97.88,97.77,97.73,98.36,98.61,98.66,99.02,99.4,99.98,100.54,100.9,101.1,101.58,101.33,101.55,101.39,101.18,101.04,101,101.02,101.08
"76","65","      Structures","B830RG",11.37,12.68,15.09,13.92,13.87,14.11,14.83,15.09,15.29,15.72,13.02,14.85,14.3,13.79,14,14.18,14.79,15.19,15.56,15.66,15.72,16.02,16.47,16.51,16.37,16.56,16.78,16.39,16.34,16.36,16.33,16.09,15.8,15.97,16.22,16.55,16.82,17.27,17.61,17.77,17.94,18.37,18.75,18.84,18.05,18.24,18.41,18.48,18.43,18.41,18.33,18.26,18.26,18.2,18.36,18.38,18.4,18.48,18.5,18.57,18.71,18.76,18.85,18.93,19,19.04,19.03,19.12,19.23,19.34,19.52,19.56,19.72,19.79,19.99,20.1,20.25,20.51,20.67,20.84,21.1,21.29,21.45,21.54,21.97,22.2,22.45,22.8,23.15,23.6,24.1,24.54,25.13,25.54,26,26.44,27.07,27.67,28.12,28.65,29.08,29.53,29.95,30.46,30.86,31.41,32,32.65,33.45,34.71,36.26,38.16,39.77,40.85,41.58,42.18,42.72,43.17,43.53,43.92,44.82,45.43,46.06,46.65,47.32,48.09,48.95,49.89,50.95,52.22,53.66,55.17,56.72,58.31,60.1,61.72,63.37,64.88,66.26,67.71,69.03,70.06,70.89,71.34,71.6,71.61,71.62,71.83,72.11,72.44,72.82,73.12,73.55,73.89,74.33,74.75,75.16,75.65,76.03,76.46,76.83,77.17,77.83,78.48,79.08,79.67,80.28,80.97,81.57,82.42,83.26,84.16,84.97,85.56,86.22,86.75,87.35,87.92,88.3,88.27,88.32,88.6,88.87,89.32,89.83,90.43,90.84,91.55,92.29,93.05,93.89,94.86,95.86,96.75,97.68,98.49,99.3,99.58,100.23,100.89,101.8,102.68,103.62,104.78,105.08,105.45,106.2,107,107.77,108.61,109.37,110.53,111.74,113.02,113.87,114.85,115.87,116.49,116.9,117.67,117.97,118.42,118.91,119.6,120.84,121.47
"77","66","      Equipment and software","B880RG",26.54,26.82,34.91,31.72,30.63,30.35,33.04,30.18,33.3,32.79,30.96,29.82,30.67,32.8,31.58,35.28,35.61,33.48,35.45,30.77,33.67,35.71,35.96,35.41,37.74,32.13,34.21,34.13,33.86,31.05,32.74,31.95,32.5,32.64,33.01,31.57,31.59,32.14,32.67,32.09,31.7,33.8,34.1,34.23,34.32,35.6,34.39,34.63,38.15,40.81,42.65,41.92,43.21,45.35,45.09,45,43.09,43.19,44.49,44.89,45.12,45.51,45.42,45.89,46.27,47.07,46.73,49.58,50.57,53.42,51.4,50.31,48.74,47.04,46.53,46.7,46.98,47.69,47.56,48.68,49.16,49.81,50.38,50.56,51.74,52.71,52.92,53.21,52.91,53.67,54.72,55.8,58.3,59.79,61.76,62.57,63.37,63.04,63.48,64.68,64.13,64.15,64.08,64.25,64.97,65.46,65.78,67.12,67.94,69.68,71.76,74.13,75.49,76.66,76.88,77.73,78.34,78.45,79.07,80.21,81.19,81.99,82.64,83.3,83.19,83.07,83.33,83.85,84.93,85.94,86.85,90.19,88.97,90.12,91.13,92.14,93.45,95.13,96.7,97.67,98.38,99.13,98.93,99.39,98.69,98.3,98.02,97.73,97.85,98.16,98.11,98.02,98.25,98.15,98.01,97.98,97.91,97.8,98.17,98.85,98.27,98.16,98.15,98.77,99.37,99.86,100.18,100.99,101.39,101.64,101.72,101.71,102.15,102.57,103.12,104.01,104.89,104.53,104.02,103.71,102.89,102.49,102.03,102.01,102.57,102.46,102.63,102.45,102.38,102.46,102.02,101.93,102.56,102.77,102.58,102.76,101.53,100.12,99.46,98.88,97.98,97.46,96.56,95.89,94.99,94.61,94.16,93.78,94.36,94.42,94.25,94.33,94.44,94.8,95.29,95.47,95.43,95.87,95.47,95.55,95.26,94.85,94.54,94.3,93.97,93.88
"78","67","State and local","B829RG",9.8,9.95,10.16,10.49,10.88,11.11,11.52,11.69,11.57,11.37,11.35,11.29,11.18,11.26,11.59,11.93,12.36,12.57,12.8,12.97,12.99,13.15,13.42,13.4,13.54,13.51,13.5,13.48,13.45,13.76,13.83,13.91,13.79,13.85,14.08,14.26,14.59,14.8,15.05,15.21,15.36,15.58,15.66,15.64,15.6,15.73,15.82,15.88,16.08,16.11,16.11,16.15,16.3,16.38,16.45,16.51,16.59,16.74,16.85,16.99,17.21,17.29,17.32,17.43,17.58,17.67,17.71,17.85,17.93,18.02,18.1,18.18,18.36,18.47,18.63,18.78,19.04,19.36,19.63,19.88,20.2,20.42,20.7,20.94,21.26,21.52,21.72,22.15,22.46,22.91,23.32,23.75,24.3,24.81,25.25,25.69,26.23,26.67,27.01,27.24,27.76,28.12,28.57,29.04,29.73,30.33,30.79,31.39,32.28,33.37,34.55,35.55,36.26,37.02,37.58,38.19,38.78,39.35,39.74,40.24,40.97,41.7,42.41,43.14,43.75,44.52,45.21,45.84,46.94,48.04,49.68,50.7,52.13,53.61,55.08,56.47,58.23,59.4,60.16,61.05,62.12,63.13,64.1,64.91,65.38,66.08,66.74,67.34,68.35,69.05,69.71,70.33,71.13,71.78,72.36,73.02,73.32,73.57,74.22,75.27,76.08,76.93,77.79,78.25,78.64,79.35,79.97,80.46,81.39,82.15,82.63,83.48,84.82,85.57,86.54,87.71,88.11,88.36,88.87,89.23,89.48,90.14,90.44,91.04,91.86,92.48,92.73,93.3,94.06,94.66,95.46,95.99,96.98,97.66,98.04,98.39,99.58,99.5,100.2,100.72,101.9,102.25,102.71,103.47,103.72,104.05,104.56,105.05,105.71,106.87,107.86,108.9,110.36,111.5,112.49,113.59,114.73,115.28,115.06,114.97,115.29,116.17,116.6,117.24,119.21,118.85
"79","68","  Consumption expenditures","B991RG",8.49,8.61,8.77,9.06,9.4,9.59,9.97,10.15,10.05,9.89,9.93,9.9,9.91,10.03,10.29,10.53,10.82,10.94,11.15,11.32,11.41,11.53,11.76,11.84,11.96,11.99,11.98,12.08,12.17,12.41,12.56,12.63,12.64,12.69,12.78,12.93,13.2,13.31,13.5,13.66,13.83,14.02,14.12,14.19,14.29,14.39,14.45,14.53,14.76,14.87,14.92,15.01,15.23,15.33,15.42,15.5,15.61,15.8,15.94,16.11,16.36,16.42,16.45,16.55,16.73,16.83,16.87,17.02,17.12,17.23,17.32,17.41,17.58,17.66,17.83,17.98,18.28,18.57,18.87,19.13,19.52,19.81,20.09,20.35,20.62,20.91,21.18,21.56,21.84,22.26,22.71,23.1,23.66,24.13,24.54,24.91,25.46,25.88,26.22,26.39,26.93,27.32,27.78,28.22,28.91,29.49,29.9,30.43,31.15,31.95,32.84,33.68,34.34,35.2,35.84,36.52,37.17,37.79,38.22,38.76,39.51,40.28,41.01,41.78,42.41,43.14,43.77,44.35,45.44,46.47,48.12,49,50.41,51.83,53.18,54.49,56.22,57.29,57.93,58.74,59.83,60.79,61.76,62.67,63.21,64.05,64.81,65.51,66.69,67.47,68.2,68.92,69.78,70.52,71.15,71.84,72.1,72.23,72.86,73.95,74.83,75.7,76.6,77.06,77.4,78.16,78.8,79.3,80.35,81.13,81.59,82.52,84.02,84.76,85.77,87.15,87.6,87.81,88.39,88.88,89.24,89.95,90.27,90.91,91.76,92.39,92.66,93.26,94.02,94.65,95.43,95.89,96.88,97.59,97.92,98.24,99.58,99.46,100.2,100.76,102.09,102.4,102.94,103.72,104.02,104.46,104.95,105.42,106.13,107.4,108.52,109.62,111.21,112.31,113.35,114.54,115.76,116.35,116.04,115.79,116.19,117.19,117.72,118.49,120.7,120.24
"80","69","    Durable goods \2\","B989RG",17.23,17.54,17.77,18.07,18.35,18.62,19.62,20.12,20.23,19.11,18.88,18.88,18.88,19.17,20.1,21.32,21.92,22.03,21.76,22.05,22.17,22.08,22.07,21.93,22.35,22.1,21.97,21.95,21.88,22.49,22.69,23.03,23.7,24.07,25.07,25.81,26.26,25.68,25.56,25.75,25.39,25,24.79,24.63,24.44,24.45,24.64,25.28,23.7,24.45,24.1,24.3,24.51,24.53,24.81,24.81,25.53,25.59,25.57,26.27,25.71,25.52,25.79,25.69,25.68,26.42,26.54,26.56,26.61,27.18,27.18,27.2,27.18,27.73,27.65,27.57,28.27,28.77,28.97,29.25,29.13,29.58,29.96,29.97,30.48,31.06,31.02,31.32,31.85,32.07,32.49,32.67,33.88,34.18,34.54,35.18,35.36,35.83,36.21,36.66,37.04,37.49,37.93,38.31,38.62,39.27,39.58,40.13,41.15,42.83,45.21,46.97,48.13,48.73,49.4,49.76,50.53,51.36,52.1,52.93,53.85,54.59,55.35,56.21,57.02,58.08,59.17,60.38,61.69,62.86,64.24,65.9,67.69,69.4,71.22,72.87,75.28,76.74,78.1,79.39,80.61,81.48,82,82.5,82.52,82.93,83.29,83.75,84.31,84.65,85.26,85.67,86.04,86.32,86.55,86.79,86.99,87.38,87.72,88.21,88.69,89.07,89.52,90.08,90.81,91.6,92.39,93.16,94.29,94.78,95.49,95.86,96.19,96.48,97.17,97.56,97.93,97.95,98.03,98.2,98.08,98.03,98.18,98.27,98.34,98.23,98.31,98.17,98.26,98.29,98.63,98.95,99.69,100.29,100.79,100.84,100.45,99.92,99.86,99.77,99.52,99.43,99.38,99.47,99.3,99.23,99.21,99.09,99.07,98.91,98.78,99.11,99.09,99.26,99.38,99.85,99.86,100.13,100.18,100.29,100.58,100.67,100.55,100.54,100.66,100.75
"81","70","    Nondurable goods","B337RG",19.14,19.77,20.12,20.94,22,22.15,22.3,21.9,21.06,20.36,20.27,20.23,20.23,20.5,21.51,22.37,23.36,23.39,23.34,23.47,23.21,23,23,22.79,22.7,22.87,23.39,23.24,23.12,22.99,22.78,22.72,22.88,22.85,22.92,23,23.31,23.55,23.64,23.77,24.47,24.59,24.43,24.31,24.06,23.85,24,24.02,23.29,23.53,23.55,23.84,23.58,23.82,23.92,23.98,24,23.9,23.95,23.9,24,24.03,23.98,23.93,24.1,24.08,24.14,24.12,24.35,24.25,24.28,24.54,24.39,24.66,24.85,25.21,25.09,25.39,25.72,25.78,26.01,26.17,26.27,26.48,26.74,26.92,26.99,27.08,27.23,27.56,27.79,27.81,28.07,28.28,28.55,28.8,29.08,29.37,29.57,29.71,29.77,30.07,30.46,30.79,31.65,32.78,33.73,35.05,37.93,40.37,42.88,44.43,44.95,45.78,46.82,47.44,47.54,48.09,48.84,49.49,50.69,51.71,52.03,52.58,53.03,53.84,54.73,56.43,58.31,61.37,65.46,68.59,73.05,75.35,76.73,78.47,83.27,84.79,84.9,85.35,85.01,84.59,85.14,84.82,82.63,83.07,84.32,83.88,84.88,84.63,84.17,83.74,83.58,84.43,83.55,84.6,79.72,74.58,73.17,73.82,76.95,78.69,80.76,80.37,79.42,80.96,81.06,80.87,84.76,87.6,86.1,87.47,90.75,88.69,92.15,99.45,93.78,89.97,89.95,90.27,88.79,90.95,91.93,91.13,91.72,92.26,90.44,90.08,90.15,90.49,92.73,92.89,95.02,97.64,96.87,96.42,98.46,100.52,99.57,101.45,101.3,98.7,98.47,98.49,95.64,95.03,93.91,92.66,92.43,96.47,100.17,102.06,108.47,109.34,111.42,113.43,112.43,112.57,108.93,102.88,103.13,106.74,108.1,110.62,121.47,113.69
