"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"56","48","          Computer software and accessories","DCPSRX0",1069,1189,1368,1596,1791,2109,2346,2644,3074,3567,4025,4447,4833,4968,5293,5802,6129,6447,6519,6701,7237,7441,7678,8028,7921,7977,7964,8232,8851,9192,9588,9895,11032,13200,15757,17761,19310,20652,22045,23277,25006,27046,28623,29831,32043,34010,36403,40358,43105,45786,48865,49037,46985,46871,46239,45248,44888,43967,45318,47946,51350,55894,59358,58648,58883,58715,57399,58484,60783,61800,65034,66555
"57","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",377,379,380,372,357,363,359,358,356,352,353,354,395,447,503,555,589,640,684,736,793,843,891,926,921,930,984,1015,1051,1099,1133,1183,1173,1195,1249,1294,1357,1407,1459,1467,1515,1585,1597,1634,1683,1733,1784,1822,1849,1879,1933,1981,1958,1981,1955,1884,1902,1871,1915,1873,1977,1990,2016,2049,2141,2202,2270,2375,2395,2447,2541,2592
"58","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",21351,21950,22627,22509,22609,23566,23812,23838,23801,24223,24717,25159,25451,27016,27577,28425,29517,30631,31912,33544,35088,35552,36672,37092,37708,38778,38859,40402,41184,41448,41700,42585,42038,43281,44751,45608,46691,46932,47678,47603,49453,51308,50483,51615,54671,53235,55789,56770,55902,56478,58295,58848,58133,58560,56146,51185,49829,49489,50865,51891,51374,51550,52245,54832,56737,57578,59148,61035,62675,61715,62937,64870
"59","51","      Sports and recreational vehicles (79)","DWHLRX0",23240,23832,24922,24129,24217,24861,25977,26983,27372,27093,28139,28497,29399,30104,30945,31598,31831,33110,33382,34151,37935,34932,34830,34982,34630,35765,35323,36814,37893,36702,36890,36469,37524,39062,42131,44547,44308,43687,44600,44834,45824,47026,45335,44748,46712,45654,44735,46163,45565,46249,47012,46494,45512,44622,41418,34008,32421,30884,32888,32395,30280,30883,30596,31619,31386,31597,31858,31807,33317,32873,32829,32996
"60","52","        Motorcycles","DMCYRX0",4454,4256,4404,4427,4444,4783,4819,4722,4775,4807,5022,5268,5588,5633,6156,6292,6281,6519,6491,7537,8192,7817,7974,8287,8812,9838,9289,9552,10313,9380,9515,9613,10387,10170,11284,12621,12059,12621,12425,11999,12487,12845,11740,12136,12268,12651,12167,12221,12191,12403,12629,13277,13076,13535,12148,9597,9096,8589,9212,8882,8311,8225,8080,8335,8650,8675,8808,8751,9329,9088,8929,9481
"61","53","        Bicycles and accessories","DBCYRX0",3031,3070,3154,3124,3099,3200,3207,3238,3204,3233,3290,3359,3302,3314,3190,3139,3151,3177,3163,3168,3140,3129,3140,3060,3049,3047,3014,3040,3013,2966,2958,3012,3040,3062,3208,3292,3282,3177,3352,3393,3429,3476,3418,3499,3642,3593,3566,3620,3657,3790,3851,3816,3837,3979,3942,3744,3858,3780,3814,3827,3865,3892,3890,3973,3925,3912,3918,3991,4079,4127,4103,4118
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",15748,16469,17322,16546,16643,16855,17922,18989,19358,19020,19793,19836,20474,21121,21564,22131,22362,23377,23689,23423,26575,23965,23697,23620,22764,22890,23022,24220,24572,24355,24417,23844,24101,25834,27642,28624,28964,27886,28820,29445,29906,30702,30178,29117,30798,29424,29006,30309,29711,30051,30527,29450,28652,27208,25393,20697,19492,18535,19887,19701,18118,18766,18619,19300,18837,19031,19159,19087,19951,19687,19811,19469
"63","55","          Pleasure boats","DBOARX0",6203,6221,6957,7042,7001,7073,7409,8401,8643,8481,8914,8663,8977,9397,9093,9321,9772,10304,10915,9445,11750,10622,10695,10979,10434,10256,10518,11650,11689,11276,10789,10338,10126,11428,12404,12980,13065,12683,12489,12160,12966,13884,13225,12887,14099,13009,13917,13982,13435,13546,13762,13415,13246,13068,12334,10651,9686,9196,9798,9897,8617,8799,8735,9097,9070,9279,9393,9142,9579,9411,9418,9756
"64","56","          Pleasure aircraft","DAIRRX0",935,909,986,967,934,914,928,1017,1005,965,1001,966,985,1085,1108,1092,1081,1050,1006,1108,1159,1068,1094,1178,1071,1089,965,924,897,942,1062,971,956,1053,1153,1214,1295,1183,1312,1399,1490,1525,1451,1436,1566,1525,1533,1753,1667,1806,1855,1918,1769,1729,1707,1279,1278,1153,1301,1298,1253,1255,1246,1251,1146,1114,1140,1186,1192,1266,1252,1214
"65","57","          Other recreational vehicles","DREVRX0",8609,9338,9378,8537,8708,8867,9586,9571,9711,9573,9878,10207,10513,10640,11363,11717,11510,12024,11767,12870,13665,12275,11908,11462,11260,11545,11539,11647,11985,12138,12566,12535,13018,13353,14085,14430,14604,14021,15019,15886,15450,15294,15502,14794,15133,14890,13557,14574,14609,14699,14910,14117,13636,12410,11351,8766,8527,8186,8786,8506,8248,8711,8638,8952,8621,8638,8625,8759,9180,9009,9140,8498
"66","58","      Recreational books (part of 90)","DRBKRX0",17525,17709,18399,17970,18142,19065,19058,19984,20423,20267,20289,20942,21014,20772,21061,21701,22527,23014,23659,24319,24453,25378,25384,25565,25337,25109,25159,25353,25526,25625,25621,25827,26232,26889,27288,26692,27527,27250,27366,27283,27823,27664,28058,28722,29247,29442,28615,28854,28902,28849,29809,30158,29407,29723,29343,27751,27624,27972,28344,27804,28431,28657,29037,29815,30543,31298,32565,31716,32361,33673,33893,34617
"67","59","      Musical instruments (part of 80)","DMSCRX0",2729,2711,2869,3005,2944,2988,2859,3033,2990,3090,3081,3261,3365,3362,3367,3426,3663,3705,3916,4174,4420,4711,4835,4756,4672,4865,4790,4937,5017,5105,5097,5033,4980,4781,4997,5263,5295,5345,5445,5262,5316,5350,5393,5450,6026,5536,5468,5560,5608,5798,5686,5853,5667,5544,5492,4885,4752,4724,4735,4750,4684,4727,4686,4857,4940,5022,5067,5211,5602,5660,5577,5695
"68","60","    Other durable goods","DODGRX0",69153,69811,70074,70888,72287,74579,75079,76581,76921,76907,78779,80862,82618,85486,87142,89017,92747,93994,96816,101789,102308,105581,106184,105512,104075,101575,100888,104032,106893,108932,109714,112178,111656,116454,122126,126250,128042,127743,129108,133075,136784,140676,141010,145785,151121,151542,151536,153332,154930,158936,161368,160900,157871,157227,154680,145090,144008,145514,146764,146697,150467,150131,152321,155580,156451,159139,159798,158324,162063,165455,167952,170769
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",28655,29773,30126,30927,31813,32651,33018,33148,33152,33335,34192,35296,36112,37309,37849,39261,40691,41086,42325,44523,44193,45685,47044,46089,44834,44187,43783,44433,46303,46776,46781,48158,48779,49908,51484,53503,54434,53431,54273,56059,57205,58626,57133,59547,62085,60612,60322,60340,59691,61064,61001,60210,58127,56864,55442,49310,48231,49675,50535,50506,51316,49942,50336,51050,51055,52690,52140,50999,52251,54190,54777,55851
"70","62","        Jewelry","DJLYRX0",25346,26367,26713,27458,28280,29060,29424,29576,29601,29760,30522,31507,32169,33151,33605,34763,36098,36296,37277,39229,39035,40385,41583,40731,39450,38985,38633,39095,40579,40942,41044,42056,42669,43682,44823,46649,47530,46438,47291,48840,49788,51158,49724,51736,53911,52486,52154,52015,51426,52403,52257,51409,49399,48256,47008,42059,41164,42279,42841,42701,43578,42272,42610,42979,42880,44082,43645,42548,43555,45472,46022,46791
"71","63","        Watches","DWTCRX0",3294,3388,3394,3449,3511,3566,3568,3545,3522,3546,3640,3759,3915,4132,4219,4477,4568,4770,5035,5278,5138,5280,5438,5336,5368,5182,5132,5322,5715,5827,5726,6100,6104,6219,6663,6853,6900,6996,6981,7218,7417,7468,7409,7811,8174,8128,8169,8331,8270,8675,8763,8835,8789,8679,8510,7281,7091,7437,7762,7896,7794,7752,7809,8211,8343,8830,8708,8706,8972,8906,8927,9274
"72","64","      Therapeutic appliances and equipment (42)","DTAERX0",23999,24023,23903,24104,24544,25670,26263,27024,27441,27470,28453,28700,28980,29896,30934,31561,31389,31355,32060,33584,33969,34605,33626,33972,33441,32667,32387,33679,33562,35147,36033,36301,34767,36493,38496,38753,38967,38967,39210,39760,40773,40895,41800,42642,43352,43228,43599,44503,45463,47059,48282,47695,47410,47810,47715,46912,47019,46931,46611,47258,48836,49531,50513,50890,51210,51812,52543,52710,54492,54437,55602,56472
"73","65","        Therapeutic medical equipment","DTMERX0",7475,7447,7473,7429,7509,7787,7909,8148,8253,8212,8505,8523,8919,9527,10117,10409,10554,10864,11018,11774,11849,12228,12652,12994,12979,13150,13160,13537,13592,14023,14182,14286,14627,14905,15424,15703,16232,16558,16895,17198,17536,17677,18093,18733,19218,19394,19790,20361,20824,21400,21803,21677,21610,22125,21986,21351,21006,20891,20793,21110,21796,22344,22927,23184,23797,24325,25134,25079,25816,25876,26345,26565
"74","66","        Corrective eyeglasses and contact lenses","DEYERX0",16711,16768,16615,16872,17242,18106,18589,19117,19436,19510,20209,20446,20299,20582,21014,21346,21007,20630,21193,21945,22259,22505,21040,21032,20506,19539,19245,20167,19991,21154,21888,22053,20146,21608,23102,23074,22745,22413,22315,22560,23238,23218,23706,23909,24136,23837,23815,24152,24652,25669,26485,26028,25811,25709,25748,25570,26011,26034,25812,26142,27032,27192,27600,27726,27460,27550,27504,27717,28760,28650,29342,29982
"75","67","      Educational books (96)","DEBKRX0",11601,11424,11682,11221,11072,11296,11085,11313,11336,11052,10993,11306,11317,11284,11495,11610,11927,11975,11563,12416,11712,12334,11791,11435,11449,11358,11346,11481,11569,11160,10986,11001,10956,11371,11561,11313,11536,11386,11352,11349,11539,11423,11552,11653,11727,11704,11300,11347,11233,11108,11294,11324,10909,10892,10524,9865,9729,9619,9606,9270,9279,9267,9362,9486,9532,9479,9647,9248,9293,9499,9293,9233
"76","68","      Luggage and similar personal items (part of 119)","DLUGRX0",6940,6518,6356,6351,6493,6660,6477,6850,6810,6769,6885,7259,7625,8117,8014,7759,9234,9573,10241,10652,11203,11669,11851,11862,12024,10992,10662,11327,12080,12290,12329,12770,12621,13331,14361,15684,15826,16127,16139,17620,18602,20742,20965,21655,22697,23844,23259,23228,23995,24427,24844,25046,25083,25177,24793,23495,23123,23961,24451,24284,24973,25569,26294,28165,28248,28310,28509,28456,29299,30224,30944,31840
"77","69","      Telephone and facsimile equipment (67)","DTCERX0",1501,1549,1589,1605,1586,1664,1680,1721,1740,1734,1757,1765,1853,1961,2083,2158,2299,2518,2735,2905,3109,3221,3401,3554,3640,3732,3999,4301,4409,4550,4589,4839,5238,5948,6682,7227,7504,7982,8276,8354,8700,8984,9546,10272,11271,12245,13271,14276,15047,15934,16753,17617,17388,17672,17476,17181,17882,16938,17173,17052,18044,17890,17879,18074,18738,19202,19537,19937,19602,19740,20308,20342
"78","70","  Nondurable goods","DNDGRX0",1427990,1435010,1440106,1447534,1456906,1475627,1486125,1498160,1507269,1508098,1532374,1543149,1554551,1573754,1585358,1607043,1636729,1652095,1659955,1693953,1679332,1712882,1724532,1741381,1731226,1739494,1747918,1763045,1770210,1772485,1777504,1800015,1815979,1825152,1856935,1864778,1880423,1880279,1895099,1915419,1937024,1946685,1954373,1975417,1986138,1996052,2005920,2031869,2038210,2037499,2046914,2049014,2032057,2043501,2015433,1985291,1983703,1973264,1981414,1992882,2017702,2018262,2029359,2051978,2075279,2073510,2071448,2080549,2088890,2091982,2098173,2100252
"79","71","    Food and beverages purchased for off-premises consumption","DFXARX0",549823,547134,547199,549583,552077,554672,553628,555394,559307,556384,559688,559694,559175,563705,567518,571460,578192,583955,588985,598058,592086,600847,601630,607502,605330,609321,607197,608230,605706,606687,609069,614278,618462,612728,619455,615470,621934,619133,623496,630844,639152,639139,646528,653152,654842,662057,662969,672125,673222,669531,672426,677591,672920,674538,666507,650155,646352,652334,656980,663518,669378,663205,666081,676718,682757,686027,685900,686382,686366,685449,685857,685032
"80","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",483892,480849,480276,482032,483181,485114,483973,485831,488324,485276,487571,486966,485922,490070,493021,495996,502322,506927,511420,518712,512357,519956,519487,524344,522205,525488,524231,525560,522671,523017,525761,530639,534875,530461,536132,532287,538137,535265,539357,546143,554210,553678,559819,564956,565219,571575,571944,579999,580582,576675,579686,584863,581234,582215,573567,558866,556116,562441,566966,571663,574900,568100,570743,579420,583989,586227,585027,585430,584817,583568,584584,582408
"81","73","        Food purchased for off-premises consumption","DFOFRX0",427776,425089,424753,426080,426160,427613,425825,426581,428688,426889,429428,428828,427646,431015,433171,435867,441595,446253,450332,456792,452112,458725,458320,462284,460404,462955,461957,463178,460175,460519,463111,467944,471006,466812,470255,466210,471796,468607,472469,477602,485134,484943,490287,494474,494316,499988,499735,507602,508470,504840,507715,512176,509334,509634,501329,489574,487832,494369,498883,502980,505367,498874,501413,508716,512898,515180,514102,514779,513626,512535,513417,512014
"82","74","          Cereals and bakery products","DCBPRX0",75563,75384,75135,75414,75349,76184,76854,77740,78351,77946,78082,77586,78181,79979,81152,82481,83567,84395,85796,87607,87483,89324,90013,90826,91283,92412,92701,93821,93793,93911,94270,95107,94871,93256,93272,92457,92979,92258,92246,93021,93345,94134,95228,96012,95989,96876,96263,96603,96461,95561,96000,96814,95488,94323,92579,90229,89555,90226,90436,91212,92195,91426,91997,93516,94573,95204,95130,94346,93651,93405,93851,93156
"83","75","            Cereals","DGRARX0",26633,26561,26530,26632,26685,27231,27864,28391,28677,28437,28271,27941,27806,28024,28029,28146,28149,28114,28281,28670,28383,28576,28666,28693,28792,28794,28409,28247,27899,27725,27759,27820,28367,28808,29622,29941,30293,30664,30866,31479,32009,32864,33722,34407,35195,35766,36219,36867,37199,37179,37678,38051,37342,36756,35946,34978,34981,35385,35227,35557,36054,35681,35809,36357,36162,36111,35922,35182,35350,35227,35718,35605
"84","76","            Bakery products","DBAKRX0",48753,48648,48419,48593,48458,48706,48689,49024,49342,49190,49515,49368,50131,51745,52947,54188,55302,56194,57453,58892,59074,60751,61360,62163,62526,63671,64367,65675,66010,66310,66638,67421,66613,64518,63694,62544,62711,61607,61391,61549,61339,61269,61505,61605,60806,61125,60072,59777,59314,58442,58391,58834,58211,57627,56689,55304,54634,54905,55267,55714,56203,55805,56245,57216,58445,59118,59228,59169,58319,58195,58162,57586
"85","77","          Meats and poultry","DMAPRX0",109688,109691,109074,107984,108041,108870,106663,105820,105795,105304,105778,106272,106994,108277,108851,109711,111443,112074,112793,113411,110993,111214,110355,111764,110041,109587,108743,108265,107869,107772,108431,109774,110679,109214,110282,107184,108909,108963,108996,111087,111723,112909,114917,114827,114747,115422,116337,118487,118624,116230,117677,119584,119550,121327,119556,116648,116122,118338,120500,122158,122584,118968,118643,120490,122161,122825,124111,124235,120986,121114,121685,121121
"86","78","            Beef and veal","DBEERX0",36009,35978,35884,35607,35670,36193,35400,34721,34057,33616,33654,33732,33976,34298,34540,34741,35212,35295,35283,35119,34367,34154,33959,34420,32789,32321,32561,32875,32831,32618,33008,33160,32737,32057,32181,29503,30189,30340,30357,31092,31057,30989,32051,31963,31392,31743,32106,32591,32539,31650,32141,32692,32737,33158,32192,31603,31920,32591,33339,33575,33950,32029,32121,32764,32513,32226,32559,32638,31531,31139,31113,31081
"87","79","            Pork","DPORRX0",22926,22959,22587,22012,21785,21392,20563,20299,20241,19915,19994,20090,20392,20990,21370,21864,22265,22158,22213,22141,21239,20924,20742,20938,20767,20643,20283,20104,19889,20000,20402,20838,20845,20663,20888,20775,21226,21235,21057,21408,21488,21849,22507,22440,22407,22440,22546,23073,23165,22907,23401,23881,24241,24404,24097,23491,23592,24337,24959,25624,24973,24069,23579,23706,24104,24234,24452,24335,24175,24694,25084,25044
"88","80","            Other meats","DMEARX0",17990,17850,17900,17697,17827,18098,18034,18048,18098,17929,18054,18200,18211,18577,18744,18857,19002,19148,19441,19639,19486,19596,19400,19473,19694,19779,19713,19329,19252,19083,19027,19371,19863,19364,19488,19449,19725,20070,20348,20586,20703,20934,20968,21059,20991,20812,20932,21282,21452,21270,21806,22089,22042,22455,22214,21507,21115,21686,21768,22087,22452,22050,21954,22319,22673,22676,22865,23070,22625,22713,23139,23254
"89","81","            Poultry","DPOURX0",33396,33535,33338,33305,33401,33883,33354,33364,33888,34286,34500,34659,34816,34797,34600,34654,35361,35842,36184,36777,36158,36762,36484,37173,36894,36919,36311,36132,36084,36233,36176,36554,37306,37182,37768,37452,37767,37316,37238,38005,38475,39137,39391,39363,39962,40438,40765,41554,41477,40410,40336,40931,40555,41329,41083,40069,39521,39773,40496,40958,41240,40846,40998,41704,42908,43768,44318,44270,42746,42706,42516,41908
"90","82","          Fish and seafood","DFISRX0",8773,8595,8510,8546,8681,8713,8748,8658,8362,8354,8550,8772,8690,8547,8418,8511,8744,8825,8923,9003,8877,8925,9026,9149,9136,9229,9432,9528,9655,9531,9612,9771,9908,9831,10026,10113,10351,10477,10558,10675,10775,10865,10930,10763,10634,10542,10446,10687,10692,10504,10671,10779,10771,10680,10521,10316,10190,10249,10243,10438,10503,10366,10351,10422,10536,10611,10675,10734,10586,10593,10656,10653
"91","83","          Milk, dairy products, and eggs","DMDERX0",51328,50988,50546,50010,49188,49016,47533,46504,47285,47286,48324,47593,47448,47808,47777,47059,46554,48386,48756,48782,48772,49578,49615,50184,49786,49844,49275,49471,49573,49620,50043,50807,51402,50949,50633,49289,50319,48707,49295,51159,51132,51095,51186,51191,51240,52104,52695,53358,52869,52082,49438,49510,49789,50834,49822,49302,50493,51886,52389,52515,52221,52099,51916,52394,53321,52170,51214,51171,51381,51880,52114,51315
"92","84","            Fresh milk","DMILRX0",18630,18420,18261,17971,17416,17220,16473,15805,15898,15905,16196,15564,15588,15945,16054,15652,14884,16148,16205,15461,16008,16228,16173,16443,16133,16129,15989,16083,16380,16489,16735,16829,17146,17110,17046,16291,16994,15517,15527,16233,16000,16014,16106,15983,16013,16582,16883,17053,17048,16567,15299,15554,16026,16641,16266,16308,17145,17925,18019,17807,17431,17443,17262,17563,17681,17132,17015,17281,17214,17515,17582,17111
"93","85","            Processed dairy products","DDAIRX0",27887,27764,27780,27746,27649,27536,26633,26222,26624,26485,27093,26869,26606,26696,26545,26168,26212,26590,26835,27074,26939,27547,27729,28194,28125,28106,27551,27578,27562,27677,27874,28250,28592,28663,28814,28640,29119,28479,28368,28974,29061,28999,29223,29402,29321,29720,29915,30651,30629,30539,29637,29601,29562,29914,29110,28358,28509,29105,29361,29719,29850,29701,29713,29797,30504,30118,29406,29077,29098,29535,29868,29469
"94","86","            Eggs","DGGSRX0",5076,5058,4780,4588,4433,4538,4634,4644,4888,4999,5133,5210,5297,5237,5253,5288,5462,5681,5744,6255,5846,5825,5734,5581,5548,5622,5749,5831,5671,5502,5491,5763,5706,5251,4891,4508,4424,4767,5376,5921,6057,6082,5863,5815,5907,5806,5899,5677,5270,5079,4668,4547,4430,4512,4610,4749,4958,5022,5154,5122,5060,5073,5053,5145,5240,5039,4919,4939,5148,4968,4843,4875
