"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"22","14","          Employee reimbursement","DREERX0",-1975,-1990,-1954,-1930,-2009,-2030,-2019,-1918,-1970,-1937,-1944,-2005,-1985,-1875,-1911,-1891,-1963,-1981,-1946,-1917,-1961,-1965,-1980,-1985,-1988,-1895,-1872,-1891,-1893,-1899,-1876,-1850,-1879,-1831,-1845,-1856,-1857,-1824,-1849,-1851,-1838,-1825,-1796,-1787,-1754,-1766,-1797,-1821,-1815,-1824,-1805,-1784,-1767,-1762,-1775,-1782,-1767,-1727,-1708,-1705,-1706,-1740,-1757,-1729,-1710,-1697,-1718,-1713,-1692,-1721,-1713,-1713,-1722,-1727,-1737,-1727,-1798,-1819,-1833,-1828,-1841,-1837,-1805,-1777,-1747,-1718,-1683,-1659,-1671,-1668,-1652,-1659,-1679,-1694,-1732,-1768,-1748,-1739,-1750,-1739,-1710,-1696,-1697,-1708,-1705,-1676,-1673,-1713,-1737,-1732,-1748,-1710,-1750,-1772,-1767,-1768,-1767,-1794,-1796,-1792,-1773,-1768,-1743,-1761,-1776,-1744,-1756,-1731,-1709,-1718,-1690,-1651,-1679,-1696,-1696,-1686,-1695,-1704,-1717,-1700,-1673,-1633,-1626,-1605,-1618,-1627,-1658,-1675,-1711,-1669,-1622,-1609,-1612,-1611,-1602,-1619,-1627,-1599,-1582,-1573,-1566,-1500,-1548,-1576,-1603,-1626,-1608,-1552,-1525,-1512,-1492,-1472,-1453,-1452,-1437,-1413,-1407,-1432,-1450,-1454,-1501,-1531,-1520,-1556,-1532,-1509,-1523,-1486,-1465
"23","15","        Used light trucks","DUTRRX0",20923,20565,21174,20987,21337,22570,22513,23524,22836,23727,24452,25918,25885,26911,26747,27145,27687,27649,27704,28908,29038,30282,29478,30106,33480,32634,31232,32380,33146,34352,34468,36265,36315,36286,34531,34057,34638,34696,36277,38646,36184,37376,42070,44042,45316,50066,52985,50552,45217,45161,45330,50733,51771,52127,52321,51179,48899,45782,46634,45831,51960,51302,51904,46837,46142,47265,49250,49120,47290,49002,49979,50133,48759,52306,51907,43375,47988,51296,50181,57277,51003,57431,50397,46795,44785,50161,52725,60270,52114,56697,57865,59052,55107,53559,53610,53155,56023,53559,52370,53248,53085,53002,55904,54668,54780,55555,54662,54850,51935,54794,55162,54996,56667,55359,56828,55569,59097,57191,58606,60718,62204,58956,60051,59439,52411,56812,55616,57290,55065,54066,56058,56428,56753,55715,58905,58009,56833,58993,58315,60216,59632,62526,61938,62177,60393,60998,61141,64167,67101,63607,66499,66323,68501,65608,63178,63088,62626,61937,60508,60300,58818,61263,58602,58436,59880,58914,59734,59701,65101,66490,65792,65624,65155,66396,65139,65093,60616,60793,61243,61039,58208,63686,61720,60264,63516,62875,64552,62358,62454
"24","16","          Net transactions in used trucks","DUTNRX0",11617,11229,11677,11438,11661,12648,12520,13321,12645,13337,13889,15104,14992,15823,15594,15864,16263,16147,16115,17103,17136,18170,17365,17847,20079,19522,18405,19492,20193,21251,21059,22709,22787,22974,21380,21002,21728,21735,23055,24883,22361,23226,27356,28887,29727,33285,35856,33773,30022,30108,30102,34083,34753,34944,35235,34261,32312,30068,30850,29884,34555,33845,34541,30747,30265,31282,32590,32343,30592,32287,33166,33272,31867,35115,34633,26255,30452,33572,32768,39312,33945,39620,32704,29042,27463,32560,35081,42409,34696,39428,41108,42438,38618,36876,36486,35603,36662,35550,35355,35902,35272,34863,35952,35338,36591,35999,35636,36589,36055,36572,36805,35850,36311,36156,37108,37233,37237,38308,39074,40112,38934,40698,38738,37701,36007,37718,38168,38990,37290,36273,37603,38060,38468,37256,39635,39230,39227,39870,39407,39832,41041,41667,42140,42816,41021,42332,42853,43868,46779,44525,45679,45971,47220,45232,44364,43680,43351,42557,42625,43076,41773,43810,41589,41609,42057,43122,41713,42839,47502,49551,47189,46958,47276,47615,46884,46410,44366,42821,42638,42590,40732,44473,42413,41818,42667,44838,44681,44015,44110
"25","17","          Used truck margin","DUTMRX0",10146,10267,10388,10513,10635,10758,10880,11002,11123,11245,11366,11488,11608,11729,11849,11970,12090,12210,12329,12449,12568,12687,12806,12924,14040,13761,13574,13475,13460,13527,13907,13961,13927,13680,13582,13501,13291,13353,13537,14005,14314,14627,14866,15247,15689,16747,16896,16693,15175,15008,15216,16544,16920,17098,16960,16847,16638,15816,15821,16106,17392,17517,17341,16189,15982,16008,16688,16854,16938,16789,16819,16868,17065,17078,17232,17932,17986,17868,17534,17604,17072,17402,17879,18210,17717,17672,17574,17542,17356,17020,16394,16177,16180,16444,16932,17438,19382,17968,16865,17196,17765,18152,20103,19437,18138,19613,19078,18299,15913,18245,18375,19144,20329,19194,19697,18339,21839,18869,19524,20603,23285,18251,21289,21703,16437,19094,17455,18300,17774,17800,18459,18370,18289,18456,19267,18775,17599,19125,18907,20402,18573,20860,19792,19359,19365,18684,18321,20294,20356,19126,20822,20379,21292,20383,18873,19429,19298,19393,17917,17263,17080,17483,17061,16869,17884,15845,18068,16930,17706,17095,18662,18716,17987,18843,18344,18722,16399,17988,18592,18433,17466,19203,19299,18437,20825,18040,19864,18334,18334
"26","18","      Motor vehicle parts and accessories (58)","DMVPRX0",37007,36243,36554,37118,37068,37812,37617,38120,38343,38065,38883,38965,38910,39649,39792,39745,40058,40078,40548,39852,40302,40965,40849,40980,41223,41354,41668,41679,40782,41704,41889,42560,42680,42390,43011,42505,42845,42617,42964,42920,43426,42722,42287,41834,42297,42737,42503,43008,43370,43688,43617,44266,44362,44381,44835,44757,45522,45383,45735,45505,45747,45615,46084,44932,45251,45485,44810,45061,46588,44756,43960,44586,43065,43343,43061,43891,43910,43916,43496,43806,42574,45390,43640,43065,43118,43309,42589,43487,42811,43418,43627,43868,43219,43230,43116,43582,43341,43085,43814,43830,44059,44435,44795,45125,45647,45119,45737,45292,44862,45848,46438,45664,46576,45407,46054,45995,46341,46649,46971,48124,48098,47914,47009,48374,47480,48647,48800,47836,47080,47237,48908,49166,50124,49202,49155,48755,47569,47995,48432,47971,48431,48350,48145,48988,48331,48407,49176,48757,48980,48818,48876,49386,49603,49430,48783,48576,47762,47092,47255,46871,47297,47426,46518,45927,44894,44422,44364,43771,43965,43615,42532,42566,42587,42415,42899,43555,41462,42923,42358,42587,42515,42884,43792,44303,44019,44067,43880,44973,45716
"27","19","        Tires","DTATRX0",16060,15684,15793,15908,15886,16124,15879,16056,16152,15973,16311,16338,16299,16564,16490,16500,16664,16558,16716,16334,16363,16649,16499,16440,16443,16482,16560,16486,16160,16600,16601,16856,16943,16893,17090,16903,17005,17005,17019,16787,16891,16583,16519,16295,16371,16563,16300,16594,16743,16719,16725,16857,16682,16723,16809,16758,17175,16970,17049,17033,17232,17111,17332,16743,16980,16985,16720,16667,17200,16359,15950,16585,16218,16498,16412,16858,16788,16917,16802,17013,16451,16622,16309,16357,16335,16316,16202,16514,16471,16698,16702,16684,16880,16887,16910,16991,16845,16922,17097,17171,17305,17417,17681,17761,18322,18195,18405,18251,17941,18481,18822,18602,18957,18659,18824,18819,18594,19008,19273,19730,20089,20014,19596,20164,19896,20146,19861,20133,20044,20358,21016,21196,21224,21112,21265,21167,20505,20937,21088,20838,21267,21120,21099,21395,21373,21362,21882,21641,21740,22006,22031,22154,22095,21967,21752,21854,21747,21350,21493,21414,21683,21870,21420,21483,21132,21241,21353,21272,21035,21045,20650,20659,20576,20427,20694,20698,20175,20535,20025,20325,20261,20543,20655,21172,21047,21256,20919,21576,21916
"28","20","        Accessories and parts","DPAARX0",20846,20463,20666,21121,21094,21603,21665,21993,22119,22025,22504,22560,22546,23021,23248,23188,23334,23467,23780,23472,23902,24277,24317,24513,24759,24851,25089,25178,24606,25082,25270,25687,25718,25476,25901,25582,25822,25592,25930,26124,26531,26136,25761,25535,25926,26172,26207,26415,26628,26973,26896,27416,27694,27672,28041,28014,28360,28428,28702,28487,28529,28519,28766,28205,28285,28515,28106,28413,29407,28420,28034,28017,26858,26853,26656,27037,27128,27000,26694,26789,26124,28796,27348,26718,26793,27005,26394,26981,26341,26722,26928,27188,26338,26341,26204,26591,26496,26162,26717,26659,26752,27016,27112,27361,27322,26922,27330,27038,26917,27363,27614,27062,27618,26749,27228,27175,27747,27640,27697,28394,28007,27899,27412,28210,27584,28501,28938,27704,27037,26880,27893,27970,28902,28091,27890,27589,27063,27060,27346,27135,27168,27233,27050,27596,26964,27051,27301,27123,27247,26822,26856,27240,27515,27467,27035,26729,26029,25752,25774,25472,25630,25576,25117,24468,23788,23211,23047,22542,22965,22609,21924,21950,22052,22028,22246,22888,21335,22423,22360,22296,22287,22377,23164,23166,23009,22853,22996,23436,23840
"29","21","    Furnishings and durable household equipment","DFDHRX0",132396,130055,129952,130204,132385,133303,134160,133272,134264,133516,136525,136371,131380,134936,136812,138418,139773,139434,139181,138570,140094,141311,142466,143201,141327,143451,143632,142889,142909,144271,145911,146680,147057,147272,149027,149178,151603,152902,152742,153301,154850,156279,156949,158232,159965,161403,163896,165262,165041,169020,170789,169200,172751,174855,174583,178259,181033,181749,182881,186045,186082,188421,190012,190531,192719,192121,192731,194875,195398,196628,195989,193816,200221,197549,197432,199081,200437,201027,202629,204489,199205,204275,208646,211758,213230,215328,215888,216919,217011,216048,215683,217239,216108,217836,220559,221771,220719,214808,221567,221704,228282,231204,233765,236873,238012,238243,241298,241049,240516,241647,248004,246013,246602,247510,252671,251810,252419,252311,253244,258969,255974,258528,256501,261023,258123,263862,262220,265583,268329,272649,272801,271113,279654,278595,279608,277660,274832,276034,275491,276564,280611,277854,277475,280997,283545,280312,283250,279899,281980,278190,280623,281361,282017,281793,282649,281952,278695,274085,274348,279016,280016,278352,277532,272119,264659,262628,258910,255867,255711,255908,249135,248864,249389,249609,250840,254538,255223,256931,259845,261081,262057,267901,273640,275304,272984,272876,274976,277826,279818
"30","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRX0",76105,74209,74018,74401,75310,75985,76202,75901,76663,76586,78439,77349,74363,77281,78816,79709,80038,80326,81010,80102,80695,81618,82371,82847,82890,83956,83503,83214,83240,83708,84707,85912,86390,86644,87775,88215,89124,89741,89261,89453,90131,91232,91704,92045,92860,93745,95610,95759,95330,97902,98538,97286,99953,101159,100303,103342,105271,105574,106319,107903,107976,109486,110322,111220,112601,112403,113053,113711,113042,113916,113109,110022,115289,114159,114218,114299,114894,116154,116947,117430,114834,117403,120003,122126,123213,124398,124181,124468,124861,123926,123059,123999,123575,124066,126086,125871,125376,121565,126938,126504,130344,131111,132522,134586,135072,136000,137910,137796,137258,137759,141315,140730,140563,141378,145794,144821,144488,144528,144978,148755,146951,149342,148081,150651,149434,153117,152532,154391,156627,158610,157951,156372,161728,161447,162225,160900,159228,160557,159668,160264,163312,160891,161023,161967,163963,162603,164235,164155,164268,161898,164047,163847,164518,165583,165161,165084,163266,159529,159973,162821,163686,161104,160372,157696,152402,151352,148597,147844,147625,148933,143806,142904,143015,143825,144260,146173,147066,147786,149881,150202,150946,154633,159046,157663,157033,157652,159347,161158,163329
"31","23","        Furniture","DFNRRX0",46771,45068,45160,45166,46048,46612,46762,46807,47271,47654,48521,47307,45695,48047,48934,49391,49523,49448,49785,49197,49941,50586,50748,51179,51690,52793,51876,51997,52176,52249,53327,54230,54069,54350,55420,56175,56883,56915,56511,56681,56934,57592,57587,57564,58514,59077,60381,59789,60289,61415,61788,60521,62558,63243,62722,64674,66128,66310,66622,67508,67837,68955,69102,70677,71333,71247,71888,71998,70787,71429,70761,68577,72560,71347,71422,71574,72011,73236,73943,74235,72615,74269,76368,78048,78197,78884,78772,78944,79139,78075,77358,77767,78069,78259,79638,79011,78705,76076,79443,79197,81057,81017,81783,82766,82799,83562,84832,85206,84961,84335,85768,85849,86344,86116,89505,88349,87749,88955,89477,91728,89541,91986,90866,91647,90880,93934,93301,94643,95952,96453,95898,94500,97011,96225,96652,95462,94447,95586,95509,96073,97482,96402,96724,97018,97649,97334,97204,97235,97310,95566,96767,96556,97236,98240,97733,98092,97065,94259,94288,95811,96679,94033,93509,92558,88414,87362,86680,87201,86342,87406,83683,82708,82473,82829,83189,84891,84936,85491,86818,86671,87516,89269,91797,91023,91194,91101,92533,93324,94122
"32","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRX0",11234,11322,11189,11518,11650,11705,11759,11721,11708,11693,11805,11833,11251,11859,12036,12265,12340,12532,12668,12749,12761,12910,13233,13339,13087,13090,13265,13027,12959,13211,13210,13381,13602,13557,13476,13373,13800,13777,13561,13462,13565,13915,14076,14155,14104,14256,14405,14498,14674,15112,15167,15055,15450,15491,15310,15844,16080,16020,16193,16767,16500,16740,17069,16959,17105,17255,17544,17811,18152,18349,18097,17993,18558,18252,18224,18157,18136,18419,18364,18502,17718,18278,18447,18640,19190,19428,19549,19603,19836,19632,19747,19912,19451,19884,20151,20668,20278,19882,20572,20410,21671,22173,22436,23602,23941,23583,23723,23621,23595,23548,24586,24556,24412,24845,25408,25690,25700,23905,24388,25394,25454,25404,25436,26485,26025,26914,27125,27771,27810,28677,28493,28823,30639,30473,31154,31107,30596,31022,31126,31587,32905,32505,32265,32968,33829,33715,34476,34439,34692,34759,35557,35464,36280,35549,36507,36902,36286,35931,36341,36385,36479,36880,36908,36484,35943,36515,35655,35358,35715,36015,35199,35547,35721,35835,36035,36490,37138,37474,38219,38535,38305,39210,40845,40433,40665,41172,41705,42068,43014
"33","25","        Carpets and other floor coverings","DFLRRX0",14122,13949,13635,13471,13272,13350,13242,12954,13213,12794,13561,13593,12927,12557,13096,13306,13330,13385,13561,13092,12738,12686,12948,12878,12809,12717,12800,12781,12730,12683,12609,12729,13120,13069,13149,12802,12701,13238,13307,13451,13685,13643,13743,14001,14087,14207,14536,15151,14244,15031,15042,15359,15126,15565,15678,15926,16044,16185,16407,16421,16968,16790,17036,16481,17021,16896,16713,16870,16575,16742,16695,15880,16478,16703,16526,16696,16907,16809,16960,16722,16890,16884,16964,17453,17250,17608,17520,17590,17470,17560,17237,17555,17339,17265,17597,17392,17597,17189,18060,17926,18405,18550,18797,18726,19009,19248,19632,19509,18917,19836,20720,20329,19808,20321,20760,20561,20902,21359,20687,20884,21102,20879,20691,21237,21304,21197,21138,21018,21546,21663,21774,21684,22233,22603,22414,22407,22272,22080,21481,21148,21452,20813,20801,20990,21331,20567,21304,21060,20975,20521,20574,20569,19955,20533,20130,19498,19262,19023,19187,19978,19920,19454,19247,18428,18112,17923,16858,16148,16319,16388,15920,15757,15824,16027,15929,15730,15872,15696,15840,15947,15652,16358,16869,16844,15872,16286,16116,16516,16632
"34","26","        Window coverings","DWCTRX0",4918,4720,4833,4913,4953,4952,5029,4968,5075,4989,5226,5247,5101,5247,5270,5267,5344,5414,5457,5401,5521,5660,5651,5636,5551,5612,5753,5663,5642,5758,5764,5780,5826,5894,6005,6114,5906,6067,6184,6215,6321,6379,6570,6622,6504,6552,6686,6781,6428,6696,6879,6748,7114,7230,7019,7282,7398,7472,7514,7523,7166,7416,7506,7463,7564,7391,7247,7340,7694,7578,7747,7651,7826,8029,8207,8065,8069,7894,7921,8167,7913,8215,8486,8304,8787,8704,8545,8535,8584,8834,8842,8897,8898,8782,8842,8858,8904,8506,8979,9088,9257,9386,9520,9454,9300,9602,9733,9474,9765,10068,10275,10016,9998,10115,10134,10230,10160,10413,10466,10758,10865,11091,11095,11275,11226,11062,10960,10962,11306,11815,11777,11373,11903,12187,12094,12028,11998,11972,11691,11646,11759,11480,11512,11333,11552,11438,11743,11922,11831,11681,11853,11952,11906,11928,11654,11576,11589,11302,11202,11569,11524,11825,11837,11406,11189,10976,10815,10576,10751,10644,10557,10569,10709,10832,10838,10834,11001,11072,11024,11130,11510,11862,11742,11522,11620,11468,11436,11681,12152
"35","27","      Household appliances (part of 33)","DAPPRX0",23887,23540,23673,23374,23605,23759,24322,23940,24094,23761,23995,24167,23529,23859,24020,24452,24480,24073,23363,23848,24318,24368,24291,24421,23456,23867,23669,23950,23825,23975,24365,23985,23974,24109,24321,24030,24519,24834,25383,25609,26070,26315,26439,26820,26652,27001,27139,27558,27775,28163,28917,29034,29174,29854,30595,29934,30247,30370,30114,30725,31027,31399,31545,31388,32423,31806,31551,32445,32911,33170,33395,33378,33787,33402,32925,33595,33710,33429,33854,34602,33562,34683,35209,35378,35312,35595,36313,36593,36314,36298,36417,36011,35957,36127,36339,36740,36416,35771,36553,36858,37709,38115,38878,39554,39668,39895,40315,40321,40181,40779,41576,41204,41885,41847,42249,42502,42809,42871,43376,44255,43255,42979,42613,43605,42901,43360,42856,43106,43102,44377,44402,44040,45055,44609,44551,44400,43959,43615,44115,44343,44132,43540,43479,44229,44323,43360,43432,42023,43140,42662,42797,42826,42696,42482,42958,42647,42392,42441,42239,42748,42651,42552,42510,41284,40780,40210,39741,38914,39194,38508,37769,37438,37614,37660,37957,38651,39021,39708,39827,39840,40035,40681,41015,44198,43899,42453,42032,42356,42942
"36","28","        Major household appliances","DMHARX0",21058,20777,20855,20617,20828,20934,21519,21130,21195,20958,21103,21184,20644,20951,21087,21452,21421,21087,20454,20919,21374,21402,21357,21525,20622,21058,20839,21100,20977,21106,21442,21028,21048,21157,21335,21051,21506,21831,22433,22670,23180,23414,23513,23906,23687,24015,24105,24512,24694,25023,25743,25880,25990,26581,27376,26676,26960,27108,26840,27374,27760,28126,28200,28046,29041,28432,28136,29021,29439,29683,29901,29847,30172,29908,29438,30015,30132,29877,30292,31022,30017,31084,31556,31660,31576,31840,32558,32760,32508,32474,32609,32185,32150,32278,32484,32823,32516,31844,32577,32829,33642,34003,34729,35357,35331,35617,36029,36031,35897,36457,37131,36843,37433,37376,37702,37915,38222,38247,38708,39565,38564,38274,37902,38823,38119,38510,38025,38237,38237,39439,39450,39067,39959,39569,39503,39288,38909,38574,39035,39212,38949,38378,38269,38896,38946,38051,38047,36785,37851,37377,37528,37511,37326,37118,37510,37159,36959,36981,36751,37157,37031,36909,36924,35754,35251,34822,34406,33608,33879,33209,32464,32271,32456,32465,32966,33571,33771,34381,34353,34296,34388,35070,35350,38443,38184,36724,36303,36616,37173
"37","29","        Small electric household appliances","DSEARX0",2782,2722,2768,2713,2735,2776,2771,2768,2844,2759,2836,2916,2822,2847,2872,2935,2986,2917,2840,2864,2886,2905,2877,2847,2778,2765,2779,2800,2797,2818,2869,2890,2865,2888,2920,2909,2946,2943,2909,2904,2875,2888,2911,2908,2947,2971,3013,3031,3064,3119,3161,3146,3175,3261,3228,3250,3280,3260,3266,3341,3275,3287,3349,3345,3396,3378,3410,3431,3479,3496,3506,3538,3616,3506,3493,3584,3583,3556,3570,3596,3553,3614,3667,3728,3743,3763,3770,3844,3816,3833,3819,3832,3815,3855,3862,3923,3904,3923,3976,4027,4070,4114,4154,4203,4336,4282,4292,4296,4290,4329,4451,4368,4458,4477,4551,4590,4591,4627,4671,4697,4693,4705,4711,4782,4782,4850,4831,4869,4865,4937,4951,4973,5096,5040,5047,5114,5052,5043,5081,5133,5188,5171,5222,5347,5392,5327,5409,5263,5308,5309,5290,5339,5400,5395,5482,5530,5472,5502,5535,5644,5676,5704,5640,5597,5604,5452,5400,5378,5384,5375,5394,5242,5230,5271,5047,5136,5314,5390,5549,5626,5739,5690,5745,5802,5760,5797,5802,5810,5834
"38","30","      Glassware, tableware, and household utensils (34)","DUTERX0",19838,19697,19696,19948,20940,20942,20888,20802,20753,20467,21268,21927,20815,20955,21105,21294,22199,21852,21694,21559,21902,22083,22552,22910,21892,22341,23045,22274,22373,22940,23059,22982,22868,22620,22980,22888,23745,23942,23736,23608,23936,24019,23974,24492,25213,25303,25669,26198,25999,26724,27297,26898,27587,27749,27720,28819,29326,29418,29867,30648,30298,30664,30772,31106,30767,31062,31216,31756,32411,32466,32593,33096,33682,32512,33074,33455,33971,33689,34102,34856,33448,34518,35536,36328,36558,37057,37341,37484,37527,37492,37892,38899,38156,38964,39355,40540,39878,38857,38941,39384,40937,42165,42100,42279,42681,41663,42305,42216,42823,42747,43489,42869,42786,42818,43142,42933,43339,43329,43310,43971,43960,44427,44064,44593,43660,45105,44718,45871,45960,46713,47482,47782,48947,48698,49056,48804,48657,49154,48992,49138,50715,50620,50264,51795,52144,51549,52496,51306,51564,51084,51172,51944,52263,51393,51963,51801,50575,49714,49956,50943,50949,51400,51521,50542,49087,48895,49204,48430,48060,47828,47014,48336,48663,48115,48688,49306,48574,48993,49547,50334,50392,51566,52239,51193,51178,52056,52835,53299,52409
"39","31","        Dishes and flatware","DCHNRX0",9598,9507,9486,9585,10039,10017,9969,9904,9859,9699,10056,10343,9796,9839,9885,9948,10345,10159,10060,9975,10109,10167,10356,10494,10004,10207,10528,10177,10224,10482,10536,10501,10447,10335,10499,10456,10926,11038,10863,10598,10816,11042,10932,11313,11872,11793,12067,12371,12064,12387,12929,12506,12666,13047,12981,13485,13877,14142,14436,14780,14708,14879,14757,15144,14839,15074,15087,15601,15986,15940,15918,16341,16576,16042,16607,16786,17157,16956,17190,17667,16926,17444,18051,18597,18589,19134,19365,19423,19362,19500,19760,20429,19910,20242,20296,20993,20939,20182,19849,20074,21280,21996,21483,21874,22073,20987,21546,21932,22079,21831,22300,21968,21979,22088,22141,22080,22497,22503,22397,22728,22617,22933,22659,22662,22153,23232,23226,23999,24209,24603,24988,25268,25681,25814,25964,25915,25586,26041,25981,26157,27308,27382,27334,28416,28687,28144,28677,28156,28600,28234,27964,28805,29230,28398,28790,29050,28005,27631,28029,28533,28439,28755,29044,28401,27244,27371,28007,27561,26884,26568,26264,27301,27688,27167,27645,28300,27316,27669,28290,28778,28386,29234,29600,28845,29108,29832,30338,30815,29756
"40","32","        Nonelectric cookware and tableware","DNECRX0",10284,10235,10257,10413,10956,10982,10978,10958,10956,10831,11280,11657,11090,11190,11296,11425,11940,11778,11721,11673,11885,12011,12296,12520,11990,12237,12624,12200,12252,12565,12630,12588,12527,12391,12588,12539,12922,13007,12982,13149,13249,13080,13156,13276,13418,13601,13683,13905,14036,14442,14443,14491,15047,14787,14831,15430,15530,15336,15485,15926,15641,15836,16081,16010,15988,16039,16187,16193,16460,16566,16722,16790,17143,16503,16485,16688,16829,16750,16929,17201,16535,17089,17496,17736,17980,17921,17972,18059,18165,17987,18127,18464,18241,18719,19060,19545,18931,18669,19101,19320,19651,20163,20626,20402,20606,20698,20767,20280,20745,20925,21196,20907,20811,20731,21005,20855,20839,20824,20912,21242,21343,21492,21404,21938,21515,21869,21486,21868,21751,22110,22494,22518,23262,22892,23098,22900,23070,23121,23020,22996,23445,23286,22992,23471,23561,23484,23901,23245,23100,22971,23287,23274,23207,23116,23306,22938,22697,22223,22109,22588,22672,22819,22687,22331,21973,21691,21445,21113,21337,21391,20902,21242,21221,21151,21277,21303,21441,21531,21526,21838,22205,22571,22878,22550,22325,22532,22824,22864,22904
