"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"263","255","Q1REO1 C       Other","Q1REO10",88135,89273,89859,90034,88983,88579,88769,89682,93256,94787,96305,97289,98740,99030,99471,99911,100042,101291,102730,104326,106627,109216,110347,111461,112580,113417,113736,114586,115954,116410,116319,117212,119086,120456,122120,123855,126047,127714,129456,130910,132329,133405,134240,135499,137144,137573,139383,140249,140644,140855,141165,142276,143871,144754,146422,148436,149480,150375,150553
"264","256","Q1PET1 D         Pets and pets services excluding veterinarians","Q1PET10",3263,3223,3264,3308,3482,3523,3564,3545,3585,3508,3505,3451,3705,3737,3820,3911,3984,4083,4097,4124,4106,4161,4243,4321,4431,4479,4502,4562,4585,4592,4583,4557,4461,4465,4441,4387,4298,4332,4356,4366,4546,4503,4458,4411,4337,4298,4266,4242,4222,4215,4219,4233,4262,4286,4310,4336,4360,4385,4411
"265","257","Q1VET1 D         Veterinarians","Q1VET10",6187,6256,6342,6491,6430,6502,6506,6539,6688,6634,6702,6830,6997,7135,7259,7247,7296,7575,7779,8008,8143,8359,8538,8674,8877,9135,9273,9455,9661,9827,10086,10435,10685,10834,10942,11123,11418,11474,11578,11700,11779,11913,11969,12005,11954,12150,12236,12193,12429,12407,12415,12687,12643,12599,12763,12939,12928,13065,12984
"266","258","Q1CTV1 D         Cable television","Q1CTV10",27696,28251,28342,28149,27510,27270,27074,27104,28264,28559,28726,28525,29413,29236,29191,29239,28626,28597,28911,29491,30695,31425,32024,32839,33561,34028,34156,34760,34972,35275,35101,35366,35295,35625,36257,37016,38087,38778,39519,39682,39900,40187,40456,41154,42338,41562,41939,42929,42542,42500,42493,42894,43749,43985,44656,45574,46004,46260,46053
"267","259","Q1FDV1 D         Film developing","Q1FDV10",6751,6676,6594,6532,6492,6461,6472,6529,6367,6301,6310,6397,6426,6463,6501,6529,6605,6587,6522,6419,6439,6484,6523,6557,6624,6634,6627,6611,6614,6607,6600,6595,6624,6658,6695,6731,6797,6814,6815,6798,6738,6711,6681,6652,6570,6594,6631,6677,6776,6801,6796,6756,6631,6551,6477,6412,6343,6262,6185
"268","260","Q1PIC1 D         Photo studios","Q1PIC10",5839,5925,5958,5950,5879,5844,5898,6018,6141,6218,6315,6426,6495,6558,6618,6662,6676,6717,6759,6800,7071,7115,7124,7094,6985,6911,6823,6724,6392,6281,6226,6230,6409,6473,6524,6554,6487,6512,6556,6620,6796,6819,6829,6821,6820,6743,6658,6565,6439,6356,6292,6249,6226,6217,6224,6244,6258,6261,6266
"269","261","Q1CMP1 D         Sporting and recreational camps","Q1CMP10",1376,1404,1430,1443,1365,1324,1334,1385,1517,1574,1610,1609,1559,1542,1537,1540,1571,1586,1599,1613,1607,1594,1585,1578,1582,1574,1562,1545,1487,1515,1587,1702,1686,1682,1665,1647,1644,1653,1663,1688,1742,1767,1783,1797,1835,1834,1830,1822,1802,1786,1769,1752,1731,1715,1702,1692,1679,1665,1652
"270","262","Q1HRE1 D         High school recreation","Q1HRE10",228,223,219,218,220,227,223,228,230,229,235,240,253,260,268,274,279,284,289,293,297,300,302,305,307,310,313,317,324,327,330,332,342,346,347,346,346,345,344,344,343,344,345,346,348,350,353,355,358,360,362,364,365,367,369,372,375,377,379
"271","263","Q1LOT1 D         Lotteries","Q1LOT10",11249,11245,11172,11073,10978,10972,11063,11228,11514,11658,11882,12110,12445,12612,12808,13053,13346,13634,13963,14311,14572,14722,14875,15021,15093,15199,15333,15466,15351,15268,15192,15143,15179,15210,15238,15264,15214,15161,15076,14974,14732,14661,14588,14519,14573,14690,14839,15011,15244,15417,15573,15705,15768,15858,15947,16034,16115,16196,16281
"272","264","Q1VID1 D         Video cassette rental","Q1VID10",5024,5242,5411,5495,5426,5349,5409,5573,5729,5808,5956,6135,6326,6482,6673,6894,7196,7409,7578,7693,7897,7932,7920,7860,7641,7586,7550,7531,7508,7593,7737,7937,8297,8460,8636,8820,9096,9231,9370,9507,9806,9750,9688,9630,9587,9759,10599,9887,9879,9771,9681,9630,9701,9655,9582,9476,9384,9329,9276
"273","265","Q1NEC1 D         Commercial amusements n.e.c.","Q1NEC10",20812,21114,21352,21539,21304,21213,21269,21495,23236,24290,24999,25392,24987,24805,24532,24232,23979,24265,24656,25026,25312,26672,26826,26928,27320,27468,27526,27604,29083,29171,28911,28958,30102,30693,31368,31967,32670,33423,34187,35234,35943,36751,37446,38164,38763,39579,40054,40544,40935,41231,41554,41963,42730,43446,44264,45155,45799,46305,46819
"274","266","Q1ISP1 D           Internet service providers","Q1ISP10",50,61,74,95,120,141,162,181,212,238,262,285,293,327,387,472,593,716,883,1102,1297,1587,1875,2163,2448,2685,2889,3149,3630,3648,3456,3646,3947,4140,4560,5051,5785,6372,7035,7895,8460,9183,9807,10474,11132,11862,12201,12520,12650,12765,12922,13187,13934,14537,15208,15922,16404,16778,17153
"275","267","Q1NIS1 D           Commercial amusements n.e.c. except internet service providers","Q1NIS10",21481,21772,21993,22146,21857,21725,21747,21949,23702,24750,25446,25816,25386,25147,24781,24356,23939,24080,24280,24408,24484,25555,25394,25186,25280,25174,25008,24800,25788,25857,25804,25638,26476,26869,27081,27136,27024,27141,27202,27365,27494,27566,27633,27689,27637,27737,27875,28047,28312,28495,28665,28815,28860,28995,29169,29381,29570,29725,29889
"276","268","Q1OSR1 B   Other","Q1OSR10",616952,622930,626789,620839,625815,632853,632058,634366,644847,647941,656426,663624,669716,674985,684227,694689,699144,693790,695777,696032,698936,705321,704252,709389,724429,726198,738826,733179,747974,755702,772313,782623,796822,815334,834385,841168,855508,870936,882174,901859,934050,934873,953167,961671,954633,964206,957812,964622,963752,969664,975784,975406,981110,988857,992480,1000341,1011200,1019421,1025844
"277","269","Q1PER1 C     Personal care","Q1PER10",61484,62301,61931,60776,58396,57254,56732,56845,60194,62246,63511,63696,63202,63208,63328,63567,63826,64594,65750,67231,68409,69056,69671,70240,70474,70892,71496,72352,73587,74498,75465,76451,78162,79070,79989,80905,82194,82976,83865,84824,86665,86999,87201,87251,86845,86855,86922,87024,87195,87244,87282,87297,87271,87209,87147,87069,86982,86930,86912
"278","270","Q1CRC1 C       Cleaning, storage, and repair of clothing and shoes (17)","Q1CRC10",14272,14361,14248,13991,13553,13278,13127,13135,13294,13438,13488,13418,13211,13139,13073,13026,12975,13012,13130,13305,13523,13583,13611,13612,13444,13488,13623,13854,14264,14444,14568,14629,14770,14902,15040,15175,15322,15403,15494,15588,15868,15801,15704,15575,15353,15221,15120,15038,15054,14903,14686,14403,13980,13621,13262,12909,12559,12216,11887
"279","271","Q1SCL1 D         Shoe repair","Q1SCL10",800,812,811,799,778,778,766,761,763,763,761,755,740,727,708,685,648,624,605,593,591,587,581,571,555,546,538,530,525,516,504,488,458,448,443,444,453,457,457,453,441,432,424,417,407,403,400,398,399,399,398,397,395,393,391,388,386,384,381
"280","272","Q1LAU1 D         Cleaning, laundering, and garment repair","Q1LAU10",13469,13546,13434,13188,12771,12496,12358,12370,12527,12672,12725,12661,12469,12410,12363,12340,12327,12388,12524,12713,12932,12996,13031,13042,12889,12942,13086,13324,13739,13928,14065,14141,14313,14455,14597,14732,14869,14946,15038,15136,15428,15369,15280,15159,14946,14819,14721,14640,14655,14505,14289,14006,13585,13228,12872,12520,12173,11833,11506
"281","273","Q1DRY1 D           Drycleaning","Q1DRY10",5289,5153,5061,5052,5085,5154,5324,5558,6102,6425,6633,6682,6477,6429,6404,6411,6491,6562,6667,6795,6835,6874,6906,6934,6906,6969,7063,7186,7509,7646,7725,7745,7854,7927,7996,8061,8120,8147,8180,8216,8338,8298,8247,8181,8062,7982,7919,7865,7866,7769,7634,7459,7203,6989,6776,6569,6365,6165,5972
"282","274","Q1LGR1 D           Laundry and garment repair","Q1LGR10",8193,8407,8387,8149,7698,7353,7043,6819,6430,6250,6093,5980,5994,5982,5961,5930,5837,5826,5858,5918,6097,6123,6126,6108,5984,5974,6022,6139,6230,6282,6338,6396,6458,6528,6600,6671,6749,6799,6857,6920,7090,7071,7034,6977,6884,6836,6802,6775,6788,6735,6655,6547,6381,6239,6095,5950,5807,5667,5532
"283","275","Q1BBB1 C       Barbershops, beauty parlors, and health clubs (22)","Q1BBB10",27428,27462,27436,27407,27311,27311,27543,27840,29325,30136,30561,30507,29717,29474,29313,29216,29264,29452,29752,30172,30977,31261,31476,31620,31333,31559,31920,32413,33390,33936,34462,34939,35549,35852,36121,36352,36556,36783,37068,37406,38099,38302,38458,38565,38485,38715,38915,39079,39158,39282,39438,39628,39892,40125,40381,40652,40910,41163,41429
"284","276","Q1BEA1 D         Beauty shops, including combination","Q1BEA10",25161,25181,25154,25134,25068,25073,25316,25604,27083,27902,28348,28327,27550,27311,27152,27051,27099,27274,27550,27944,28757,29051,29277,29432,29184,29395,29717,30149,30992,31478,31966,32433,33100,33414,33688,33913,34067,34278,34551,34881,35569,35780,35939,36046,35958,36185,36381,36543,36622,36746,36899,37086,37347,37575,37826,38089,38342,38590,38851
"285","277","Q1BAR1 D         Barber shops","Q1BAR10",2275,2290,2290,2282,2252,2246,2234,2242,2245,2235,2212,2179,2167,2164,2162,2167,2167,2180,2203,2229,2221,2210,2199,2188,2149,2164,2202,2264,2398,2458,2496,2505,2449,2437,2433,2439,2489,2505,2517,2525,2529,2522,2519,2519,2527,2530,2534,2536,2535,2536,2538,2541,2545,2549,2555,2562,2568,2573,2579
"286","278","Q1COT1 C       Other (19)","Q1COT10",19794,20475,20248,19398,17590,16745,16165,15986,17694,18786,19569,19870,20342,20650,20984,21356,21615,22149,22876,23747,23918,24221,24590,25008,25684,25833,25944,26080,25941,26128,26449,26898,27854,28326,28835,29382,30316,30790,31303,31829,32698,32896,33040,33111,33007,32919,32889,32910,32987,33062,33163,33274,33409,33475,33517,33527,33535,33577,33627
"287","279","Q1WCR1 D         Watch, clock, and jewelry repair","Q1WCR10",1184,1178,1168,1153,1128,1116,1105,1097,1088,1084,1085,1092,1102,1108,1113,1122,1122,1139,1165,1200,1272,1301,1328,1352,1354,1385,1429,1487,1526,1546,1564,1579,1675,1703,1724,1739,1753,1759,1768,1779,1803,1801,1800,1798,1793,1779,1772,1769,1774,1775,1775,1774,1771,1767,1760,1753,1746,1739,1734
"288","280","Q1CRP1 D         Miscellaneous personal services","Q1CRP10",18604,19293,19076,18241,16456,15623,15053,14883,16601,17699,18483,18777,19240,19543,19871,20234,20493,21012,21712,22549,22648,22921,23262,23656,24332,24449,24514,24592,24415,24582,24884,25318,26180,26622,27111,27643,28563,29030,29535,30051,30895,31095,31239,31312,31215,31140,31117,31140,31212,31288,31388,31499,31637,31709,31757,31774,31790,31837,31893
"289","281","Q1PBU1 C     Personal business","Q1PBU10",327168,329141,330774,332942,340613,350268,351163,353993,357988,355934,358543,363142,373201,378387,382894,389514,390388,382269,379352,378501,379924,385870,389466,392582,399466,401256,401860,406739,416081,420674,432238,436394,439796,451527,459484,464870,478924,490466,497900,513960,536537,531761,541966,546128,539357,534688,526618,530839,525378,528489,535556,535669,535896,544839,548775,559772,566037,569557,575110
"290","282","Q1BRO1 C       Brokerage charges and investment counseling (61)","Q1BRO10",12340,12455,12284,12066,13000,14588,14269,15172,17106,15727,16389,17866,19992,20053,21579,24028,25344,23377,23350,24347,25079,27379,29437,30533,33455,34260,33351,35644,37898,38728,44134,44557,46054,52388,56791,57247,64280,70794,73540,86963,101168,99005,101474,100677,93179,86498,80277,85745,86103,86718,88820,86260,80223,87297,87521,87945,92331,88400,86861
"291","283","Q1EQT1 D         Equities commissions including imputed","Q1EQT10",2507,2603,2508,2334,2894,3381,3194,3531,4100,3471,3668,4354,5120,5085,5595,6741,7172,6303,6322,6764,7245,8398,9442,10012,10946,11297,10771,11862,12795,12789,15475,15310,15901,19275,22547,23001,27339,31164,31757,41915,51751,51177,54163,55008,49268,45694,41632,44824,44837,45449,47095,43567,36549,42261,40311,39202,41109,37015,34567
"292","284","Q1MUT1 D         Broker charges on mutual fund sales","Q1MUT10",1986,2038,1977,1954,2127,2573,2732,3120,3423,3448,3643,3831,4043,4223,4722,4828,4889,3999,3731,3562,3402,3973,4240,4305,4902,5178,4934,5281,5388,5703,6626,6966,6932,7551,7649,7585,7751,8282,8099,9201,11023,9824,9744,9423,9080,8677,7967,9199,8881,8744,8802,8619,8029,8786,9502,9580,10512,9243,9078
"293","285","Q1TDS1 D         Trading profits on debt securities","Q1TDS10",1956,1889,1680,2019,2006,1872,1830,1813,2184,2146,2254,2117,2151,1713,1562,1271,1807,1679,1923,2097,2292,2120,1880,1927,2499,2044,1980,2056,2154,1960,1750,1571,1365,1368,1333,1115,1146,1088,1072,1165,1315,1233,1132,1305,1669,1357,1413,1686,1444,1180,1140,1004,1167,1432,1671,1737,1834,1871,1829
"294","286","Q1TSC1 D         Trust services of commercial banks","Q1TSC10",2492,2482,2458,2432,2512,2597,2674,2736,2758,2713,2639,2540,2774,2518,2355,2257,2454,2501,2511,2490,2457,2454,2448,2440,2395,2359,2337,2324,2290,2407,2500,2444,2540,2563,2390,2465,2613,2678,2602,2693,2657,2603,2610,2564,2680,2673,2505,2575,2653,2631,2553,2595,2664,2681,2702,2722,2726,2720,2716
"295","287","Q1IAS1 D         Investment advisory services of brokers","Q1IAS10",2670,2640,2564,2457,2561,2753,2828,2804,3054,3204,3381,3425,3738,4003,4200,4769,4923,4783,4811,4937,4816,4828,5315,5515,5740,6171,6290,6533,6817,7309,8035,8831,8940,9940,9355,8893,9559,10429,12201,13259,13988,13815,13951,13207,12715,11657,10845,11207,11358,11172,10768,10251,10252,10419,10662,10932,11254,11215,11210
"296","288","Q1CMD1 D         Commodities revenue","Q1CMD10",1956,1656,1902,2150,1162,1405,1275,1057,1537,1371,1420,1426,1521,1589,1785,1719,1760,1999,1756,2057,2099,2076,1836,1700,2448,2000,1734,1567,2090,2190,2261,2123,2504,2438,2537,2336,2500,2412,2391,2024,2698,2415,2072,2396,2898,2962,2953,3459,3474,3802,4380,4949,4688,4933,5290,5421,5833,6210,6097
"297","289","Q1SAX1 D         Investment counseling services","Q1SAX10",5173,5368,5550,5570,5638,5668,5655,5667,5703,5697,5743,5784,6110,6360,6685,7078,7340,7733,8163,8227,8160,8236,8441,8583,8911,9406,9875,10335,10606,11029,11190,11402,11839,12440,13055,13689,14645,15674,16707,17246,17627,17832,17822,16969,14886,13541,12872,12857,13408,13747,14243,14820,15352,15785,15975,16604,17277,17691,18430
"298","290","Q1BNK1 C       Bank service charges, trust services, and safe deposit box rental (62)","Q1BNK10",46658,45907,45183,45878,46786,47402,47956,48474,49969,49046,49081,48992,49235,50545,50540,50881,49623,48046,49441,48561,47913,48504,49660,48872,48996,48843,49997,49134,48184,48689,50476,51071,51313,53184,54676,58257,58208,60839,63673,63778,64228,62798,64694,65256,66883,68004,66314,67861,68673,71425,73619,74223,75836,77044,75481,80359,80255,81340,82539
"299","291","Q1DAB1 D         Commercial bank service charges on deposit accounts","Q1DAB10",14755,14336,14224,14744,15188,15128,15297,15647,16373,15817,16335,16491,16185,16285,16162,16021,15663,15276,15353,15059,14983,14931,14992,14623,14471,14531,14647,14625,14421,14647,14988,15569,15370,15432,15311,15833,16197,16724,17184,16915,17046,17427,17785,18508,17936,19015,18879,19767,19960,20603,21029,21068,21558,21300,21988,21641,21707,22316,22863
"300","292","Q1FDB1 D         Commercial bank fees on fiduciary accounts","Q1FDB10",13538,13310,12730,13107,13931,14288,13844,14113,14746,14558,14003,13570,13279,13277,13084,13257,13312,12950,13848,13057,12732,12946,13486,13161,13020,12175,13144,11943,12566,12689,13307,12926,12732,13290,13056,14095,13810,14811,14662,13249,14604,14104,13890,13124,14419,14286,13176,13831,13685,14305,13947,13775,13886,13921,13949,13956,13972,14003,14038
"301","293","Q1OFB1 D         Commercial bank other fee income","Q1OFB10",11633,11582,11484,11371,11050,11348,11876,11783,12117,12002,11878,11901,12551,13410,13662,13946,13513,12810,13163,13259,12984,13127,13369,13087,13315,13494,13171,13195,11812,11550,12006,12016,12406,13453,15083,16878,16430,17254,19382,20679,19082,17277,18504,18556,18559,18428,17708,17548,18423,19672,21336,21522,21691,22476,19631,24208,23406,23131,22990
"302","294","Q1OBB1 D         Charges and fees of other depository institutions","Q1OBB10",7229,7164,7113,7087,7241,7330,7422,7462,7346,7299,7309,7345,7435,7698,7711,7760,7330,7216,7419,7386,7375,7677,8050,8205,8349,8641,9152,9337,9474,9893,10283,10629,10857,11063,11269,11498,11808,12109,12466,12893,13493,13990,14520,15068,16003,16268,16489,16663,16546,16790,17172,17691,18509,19133,19735,20296,20914,21616,22348
"303","295","Q1IMP1 C       Services furnished without payment by financial intermediaries except life insurance carriers (63)","Q1IMP10",113061,114673,116566,118538,118245,121976,124406,125788,125750,126668,127753,128924,130004,130770,131499,132258,133815,133946,133125,132044,129777,129374,128996,130722,133153,135151,137201,138755,140770,142554,144138,145160,146827,148949,151469,154208,157559,158743,159559,159932,163180,162489,169405,173817,173845,175521,176867,178474,179074,180305,181663,182649,184286,183862,187104,189822,192077,197975,203691
"304","296","Q1IMC1 D         Commercial banks","Q1IMC10",56041,57911,59967,62141,64814,66720,68263,69420,69614,70381,71149,71908,73241,73516,73327,72682,71285,70113,68912,67783,66293,65864,65996,66654,68698,69575,70131,70307,69691,69334,68884,68396,67498,67318,67435,67810,69701,69621,68898,67627,63842,63291,63970,65901,70943,73249,75751,78456,82649,84767,85739,85398,81689,80679,79735,78803,78220,81394,84718
"305","297","Q1IMN1 D         Other financial institutions","Q1IMN10",58610,58319,58081,57866,54819,56693,57603,57831,57574,57722,58048,58480,58244,58770,59692,61021,63788,64988,65322,65338,64482,64474,63990,65039,65568,66683,68115,69416,71874,73914,75838,77268,79744,81985,84332,86672,88152,89390,90875,92429,99404,99243,105418,107823,102915,102249,100976,99717,95847,94844,95207,96627,102504,103189,107604,111557,114807,117307,119413
"306","298","Q1LIF1 C       Expense of handling life insurance and pension plans (64)","Q1LIF10",85101,85439,86449,87761,95759,97978,96444,94090,91666,91675,90885,91484,96953,100560,101401,102327,99750,96699,92276,91671,95757,98102,97020,97084,95305,93417,92034,91963,97416,97279,96574,97918,95220,94638,91973,90667,90796,90711,91565,92400,96746,96773,95429,95363,92997,91377,89838,86294,80134,78755,79362,79470,80776,81820,83063,84590,84167,84037,83245
"307","299","Q1GAL1 C       Legal services (65)","Q1GAL10",62262,62579,62374,61757,60385,60048,59885,60335,60759,61797,61992,61841,61118,61043,60934,60740,60739,60443,60045,59546,58590,58697,58799,59144,60124,60349,60763,61179,61324,61787,62199,62561,62996,63247,63493,63704,64091,64225,64264,64226,63687,63759,63893,64078,64785,64633,64468,64282,63763,63727,63914,64309,65107,65709,66319,66904,67506,68159,68836
"308","300","Q1FUN1 C       Funeral and burial expenses (66)","Q1FUN10",15133,14935,14978,14793,14660,14888,14946,15347,15427,15311,15753,15596,15682,15661,15399,15335,15472,14566,15141,14753,15181,15005,15127,14962,14903,14873,14587,14671,14116,14450,14423,14365,15396,14545,14755,14099,14864,14410,14235,14167,14302,13775,14005,13825,13888,14394,14154,13961,13628,13344,13355,13539,13480,13844,13972,14286,14729,14729,14729
"309","301","Q1PBO1 C       Other (67)","Q1PBO10",23894,24273,24420,24399,24191,24449,24733,24937,24944,24987,25128,25222,25672,26205,26508,26674,26784,27104,27404,27866,27723,27699,27832,27885,28236,28376,28589,28699,29142,29710,30098,30674,31068,31300,31579,31873,32486,32855,32964,33095,33017,33138,33130,33275,33500,33481,33323,33362,33312,33570,34391,34302,34208,34238,34243,34604,34319,33799,34070
"310","302","Q1UNS1 D         Labor union expenses","Q1UNS10",8754,8913,8969,9065,9049,9281,9459,9560,9651,9639,9610,9590,9660,9835,9784,9714,9710,9820,9931,10139,10092,10057,10108,10085,10166,10220,10293,10184,10311,10482,10453,10613,10594,10592,10641,10669,10758,10817,10780,10809,10959,11022,10945,10933,10865,10847,10687,10754,10780,10914,11592,11322,11163,11165,11043,11277,11026,10549,10612
"311","303","Q1ASS1 D         Profession association expenses","Q1ASS10",3521,3675,3791,3753,3791,3831,3846,3817,3823,3845,3959,4004,4042,4098,4198,4243,4209,4238,4243,4327,4517,4626,4687,4657,4595,4555,4550,4614,4715,4772,4858,4938,4965,4955,4976,5033,5098,5238,5299,5350,5324,5337,5402,5506,5694,5765,5836,5886,5864,5831,5792,5834,5872,5900,6023,6038,5886,5778,5847
"312","304","Q1GEN1 D         Employment agency fees","Q1GEN10",2962,3016,2962,2806,2536,2343,2252,2253,2193,2197,2214,2231,2093,2068,2013,1922,1908,1831,1809,1781,1810,1744,1720,1707,1628,1620,1625,1627,1808,1902,1981,2056,2173,2230,2277,2322,2402,2430,2477,2559,2604,2672,2685,2726,2739,2714,2705,2680,2716,2855,2974,3022,2931,2834,2749,2776,2797,2753,2794
"313","305","Q1AMO1 D         Money orders","Q1AMO10",779,797,810,813,804,798,808,817,835,841,852,862,876,890,910,936,943,981,1002,1034,1094,1153,1213,1267,1329,1329,1321,1319,1328,1356,1393,1437,1479,1540,1602,1663,1744,1787,1823,1851,1889,1887,1892,1903,1810,1806,1811,1832,1906,1954,2001,2045,2065,2097,2129,2160,2190,2219,2250
"314","306","Q1CLA1 D         Classified ads","Q1CLA10",1260,1241,1199,1150,1075,1043,1018,1005,997,1000,996,991,977,977,978,987,996,1030,1040,1049,1058,1067,1076,1085,1092,1104,1118,1134,1161,1174,1187,1197,1208,1212,1216,1219,1212,1219,1227,1234,1279,1262,1221,1163,1032,1006,993,993,1028,1037,1040,1037,1016,1005,994,984,973,961,949
"315","307","Q1ACC1 D         Tax return preparation services","Q1ACC10",4161,4035,4024,4133,4335,4520,4654,4699,4601,4561,4565,4594,4944,5172,5397,5607,5744,5895,6017,6109,5546,5370,5278,5284,5640,5715,5778,5838,5700,5782,5883,6007,6183,6272,6339,6417,6639,6711,6741,6769,6744,6838,6937,7041,7210,7302,7386,7457,7495,7534,7564,7585,7586,7592,7600,7610,7618,7624,7631
"316","308","Q1THE1 D         Personal business services, n.e.c.","Q1THE10",2328,2411,2455,2479,2427,2469,2544,2638,2678,2734,2753,2772,2959,3066,3160,3233,3262,3320,3384,3457,3579,3650,3711,3768,3789,3847,3922,4009,4123,4240,4343,4426,4469,4503,4532,4554,4639,4658,4621,4526,4218,4120,4049,4004,4149,4041,3908,3763,3531,3460,3445,3477,3587,3649,3708,3761,3821,3893,3966
"317","309","Q1TED1 C     Education and research","Q1TED10",125034,125344,126118,125883,125976,126864,127514,128210,129644,130134,131248,131012,131482,131911,133259,133559,133863,134214,135093,135964,137166,138026,138712,139923,141266,142410,143712,143532,143568,144882,146400,147861,150088,151369,152158,153984,155334,156744,157939,159125,161586,163011,164573,165911,167819,169845,170430,172019,172479,173129,174536,174809,175523,174609,174210,174436,175007,175856,176444
"318","310","Q1HED1 C       Higher education (105)","Q1HED10",68915,69317,69970,70048,70397,70772,71128,71851,72545,72726,72750,73075,73251,73160,73953,73949,73799,74064,74797,75462,75806,76053,75932,76058,76640,77227,77588,77778,77371,77377,77838,78533,79605,80108,80714,81607,82340,83021,83329,84316,85405,86038,86827,87162,88806,90126,91411,92141,92274,93113,94167,94407,95174,95559,95670,96581,97210,97549,97568
"319","311","Q1PED1 D         Private higher education","Q1PED10",34503,34717,35153,35207,35359,35544,35711,36244,36683,36621,36511,36787,37423,37462,38269,38288,38164,38367,38972,39490,39848,40090,40015,40276,40860,41267,41497,41621,41043,40769,40905,41225,42019,42300,42644,43252,43678,43991,43910,44496,45047,45398,45886,45924,46367,46928,47441,47417,46875,47081,47559,47286,47704,47747,47545,48227,48622,48669,48353
"320","312","Q1GED1 D         Public higher education","Q1GED10",34696,34882,35064,35084,35289,35482,35676,35826,36066,36342,36500,36528,35971,35826,35757,35730,35713,35768,35875,36007,35979,35977,35932,35785,35769,35943,36074,36139,36323,36611,36939,37315,37587,37809,38069,38354,38662,39031,39420,39821,40358,40640,40941,41238,42440,43197,43969,44721,45387,46017,46592,47092,47439,47772,48064,48313,48555,48833,49126
"321","313","Q1EED1 C       Nursery, elementary, and secondary schools (106)","Q1EED10",28770,28942,29278,29068,28815,29040,29317,29052,29397,29552,30176,29655,29856,30050,30505,30604,30712,30822,30958,31184,31602,31786,32033,32307,32382,32484,32547,32511,32518,32600,32675,32738,32895,33084,33411,33685,33935,34068,34063,34276,34503,34556,34532,34881,34989,35014,34907,35237,35397,35441,35828,35548,35618,35568,35417,35657,35770,35904,36220
"322","314","Q1ESC1 D         Elementary and secondary schools","Q1ESC10",23057,23364,23931,23900,23800,24093,24309,24004,24187,24241,24516,24291,24196,24309,24671,24732,24727,24742,24684,24714,24999,25099,25380,25658,25718,25756,25821,25641,25463,25425,25369,25358,25607,25707,25855,26028,26026,26061,26012,26110,26148,26105,25987,26176,26183,26056,25765,25860,25932,25981,26143,26053,25986,25899,25696,25575,25642,25791,26051
"323","315","Q1NSC1 D         Nursery schools","Q1NSC10",5735,5600,5370,5191,5040,4974,5036,5075,5234,5333,5676,5385,5676,5756,5849,5887,5999,6091,6284,6476,6609,6693,6660,6656,6671,6735,6733,6875,7059,7179,7308,7381,7290,7380,7557,7658,7910,8007,8050,8166,8355,8450,8544,8705,8806,8958,9142,9379,9468,9464,9691,9499,9638,9677,9730,10100,10148,10130,10186
"324","316","Q1OED1 C       Other (107)","Q1OED10",27103,26859,26658,26581,26614,26889,26899,27171,27559,27706,28133,28125,28212,28531,28621,28826,29175,29149,29156,29131,29567,30001,30568,31396,32096,32560,33460,33119,33567,34823,35830,36548,37565,38163,38007,38672,39040,39641,40546,40530,41678,42418,43216,43868,44023,44705,44107,44636,44805,44561,44519,44827,44691,43429,43064,42139,41966,42339,42611
"325","317","Q1VED1 D         Commercial and vocational schools","Q1VED10",18142,18056,17830,17828,17611,17645,17345,17401,17736,17928,18350,18293,18046,18321,18522,18816,19187,19193,19117,18957,19530,20007,20707,21328,21659,21980,22653,22125,22559,23540,24148,24666,25475,25891,25763,26233,26514,27141,27796,27442,28534,29223,29963,30411,30162,30590,30213,30403,30273,29908,29529,29681,29872,28744,28539,28054,27803,28056,28135
"326","318","Q1RED1 D         Foundations and nonprofit research","Q1RED10",8941,8786,8809,8736,8975,9208,9502,9712,9768,9728,9740,9786,10103,10150,10047,9966,9953,9922,9999,10128,10006,9973,9860,10071,10429,10571,10803,10978,10997,11277,11673,11874,12087,12270,12241,12436,12523,12499,12750,13091,13143,13195,13253,13457,13866,14120,13896,14243,14556,14690,15057,15218,14868,14762,14597,14139,14236,14357,14567
"327","319","Q1RAW1 C     Religious and welfare activities (108)","Q1RAW10",117069,120664,123822,123364,122091,122142,122999,123822,126801,130309,133792,134454,132047,132921,134133,134600,136716,139193,142472,144433,141809,141979,142362,143559,146760,149162,151339,152380,148714,148766,149625,150559,152999,156341,160062,161685,160501,160925,162404,164529,168175,171116,173430,176415,176908,179563,182895,185543,187262,190136,193587,195015,192932,193227,193552,195279,198380,200489,202124
"328","320","Q1POL1 D       Political organizations","Q1POL10",1074,2418,3768,3750,854,457,353,864,2129,3742,4048,3742,925,444,374,373,1061,2453,3848,3911,1130,543,456,713,2527,3599,4348,4579,1074,533,458,465,1306,2967,4563,4561,1317,627,523,810,2836,4122,4959,5243,1246,625,539,548,1473,3323,5247,5723,1811,863,716,956,3216,4672,5620
