"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"234","206","  Employees' lodging \5\","A2641C1","183.0","173.0","155.0","133.0","123.0","128.0","137.0","139.0","147.0","149.0","148.0","160.0","175.0","215.0","257.0","264.0","274.0","289.0","309.0","327.0","309.0","284.0","279.0","266.0","262.0","240.0","227.0","231.0","243.0","250.0","371.0","352.0","338.0","321.0","301.0","284.0","273.0","265.0","256.0","249.0","248.0"
"235","207","  Employer contributions for health and life insurance \6\","B4922C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","679.0","827.0","1,095.0","1,386.0","1,545.0","1,801.0","1,983.0","2,331.0","2,804.0","3,277.0","3,652.0","4,021.0","4,471.0","4,899.0","5,431.0","5,911.0","6,689.0","7,563.0","8,268.0","8,928.0","10,742.0","12,334.0"
"236","208","  Contributions for government social insurance for federal government employees for certain programs \7\","A1676C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","110.0","1,478.0","773.0","431.0","393.0","51.0","29.0","39.0","73.0","139.0","142.0","118.0","119.0","202.0","202.0","180.0","208.0","180.0","200.0","200.0","171.0","144.0","276.0","350.0","411.0"
"237","209","Private investment-related imputations and reclassifications","A2087C1","2,654.0","1,911.0","1,421.0","689.0","507.0","723.0","968.0","1,260.0","1,501.0","1,565.0","2,073.0","2,442.0","3,018.0","1,714.0","1,211.0","1,220.0","1,735.0","7,230.0","10,938.0","14,370.0","13,742.0","19,349.0","17,915.0","17,978.0","18,716.0","20,585.0","24,120.0","23,043.0","21,838.0","21,310.0","26,487.0","25,165.0","24,459.0","25,932.0","28,106.0","29,798.0","31,034.0","30,008.0","30,558.0","34,439.0","36,805.0"
"238",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","210","  Owner-occupied residential structures \8\","B1166C1","2,026.0","1,325.0","995.0","457.0","381.0","587.0","813.0","1,045.0","1,234.0","1,277.0","1,783.0","2,126.0","2,658.0","1,526.0","1,036.0","1,059.0","1,374.0","6,602.0","10,170.0","13,100.0","12,149.0","17,345.0","15,773.0","15,924.0","16,526.0","18,021.0","21,440.0","20,067.0","18,573.0","17,805.0","22,712.0","21,159.0","20,091.0","21,044.0","23,093.0","24,303.0","24,815.0","23,512.0","23,995.0","27,562.0","28,985.0"
"240","211","  Nonresidential fixed investment by nonprofit institutions serving households \9\","B1167C1","628.0","586.0","426.0","232.0","126.0","136.0","155.0","215.0","267.0","288.0","290.0","316.0","360.0","188.0","175.0","161.0","361.0","628.0","768.0","1,147.0","1,350.0","1,708.0","1,895.0","1,815.0","1,981.0","2,302.0","2,495.0","2,801.0","3,099.0","3,338.0","3,544.0","3,778.0","4,093.0","4,586.0","4,643.0","5,105.0","5,867.0","6,154.0","6,166.0","6,430.0","7,405.0"
"241",NA,"    Imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","212","  Margins on owner-built housing","B1173C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","243.0","296.0","247.0","239.0","209.0","262.0","185.0","175.0","166.0","167.0","231.0","228.0","275.0","302.0","370.0","390.0","352.0","342.0","397.0","447.0","415.0"
"243",NA,"Government investment-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","213","  General government consumption of fixed capital \10\","A265RC1","840.0","834.0","808.0","725.0","815.0","944.0","972.0","1,087.0","1,167.0","1,223.0","1,266.0","1,348.0","1,831.0","3,352.0","6,185.0","9,031.0","10,378.0","11,183.0","11,066.0","10,108.0","9,260.0","8,587.0","9,424.0","10,433.0","11,449.0","12,305.0","13,129.0","14,459.0","15,721.0","16,530.0","17,596.0","18,596.0","19,670.0","21,074.0","22,532.0","23,706.0","24,911.0","26,488.0","28,417.0","30,761.0","33,230.0"
"245",NA,"    Reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","214","  Gross government investment \11\","A782RC1","2,902.0","3,253.0","3,085.0","2,260.0","2,029.0","2,670.0","2,851.0","4,226.0","3,898.0","4,293.0","4,594.0","4,437.0","10,796.0","28,985.0","39,892.0","38,149.0","25,308.0","4,708.0","5,683.0","8,488.0","11,309.0","11,452.0","19,571.0","24,619.0","26,655.0","25,391.0","24,356.0","27,136.0","30,231.0","32,621.0","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"247",NA,"Net interest-related imputations and reclassifications:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","215","  Net interest, domestic (216-221+225)","A2104C1","2,248.0","2,148.0","1,971.0","1,779.0","1,652.0","1,644.0","1,697.0","1,783.0","1,785.0","1,759.0","1,812.0","1,797.0","1,881.0","2,053.0","2,256.0","2,512.0","2,707.0","2,995.0","3,155.0","3,536.0","3,824.0","4,248.0","4,790.0","5,403.0","6,338.0","7,087.0","8,049.0","9,181.0","10,186.0","11,077.0","12,426.0","13,887.0","15,102.0","16,523.0","17,479.0","19,668.0","21,357.0","23,488.0","25,694.0","28,079.0","33,031.0"
"249",NA,"      Imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","216","    Imputed interest paid by private enterprises","W566RC1","2,192.0","1,968.0","1,757.0","1,514.0","1,298.0","1,344.0","1,481.0","1,645.0","1,762.0","1,757.0","1,869.0","1,865.0","2,013.0","2,278.0","2,639.0","3,090.0","3,421.0","3,513.0","3,529.0","3,694.0","3,920.0","4,217.0","4,475.0","5,090.0","6,012.0","6,668.0","7,536.0","8,386.0","9,316.0","9,898.0","11,117.0","12,251.0","13,335.0","14,125.0","14,759.0","16,503.0","17,268.0","18,578.0","20,908.0","22,726.0","29,068.0"
"251","217","      By banks, credit agencies, and investment companies for depositor services and by property and casualty insurance carriers (170+181)","W560RC1","2,063.0","1,789.0","1,543.0","1,256.0","1,007.0","1,047.0","1,163.0","1,307.0","1,380.0","1,342.0","1,421.0","1,380.0","1,463.0","1,567.0","1,690.0","1,937.0","2,104.0","2,407.0","2,401.0","2,512.0","2,563.0","2,716.0","2,897.0","3,242.0","3,840.0","4,071.0","4,606.0","5,115.0","5,317.0","5,311.0","5,943.0","6,559.0","6,809.0","7,013.0","7,016.0","7,978.0","8,224.0","8,913.0","10,129.0","10,966.0","14,682.0"
"252","218","      By private enterprises for borrower services (-178)","W561RC1","-81.0","-67.0","-61.0","-50.0","-35.0","-36.0","-39.0","-43.0","-47.0","-50.0","-58.0","-67.0","-80.0","-80.0","-64.0","-63.0","-64.0","-467.0","-654.0","-828.0","-899.0","-1,018.0","-1,258.0","-1,363.0","-1,480.0","-1,493.0","-1,619.0","-1,881.0","-2,019.0","-2,086.0","-2,309.0","-2,519.0","-2,512.0","-2,674.0","-2,854.0","-3,013.0","-3,430.0","-4,086.0","-4,300.0","-5,100.0","-5,425.0"
"253","219","      By corporate business for unfunded actuarial liability of defined benefit pension plans (194)","Y245RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","331.0","736.0"
"254","220","      By defined benefit and defined contribution pension plans (196)","Y233RC1","210.0","246.0","275.0","308.0","326.0","333.0","357.0","381.0","429.0","465.0","506.0","552.0","630.0","791.0","1,013.0","1,216.0","1,381.0","1,573.0","1,782.0","2,010.0","2,256.0","2,519.0","2,836.0","3,211.0","3,652.0","4,090.0","4,549.0","5,152.0","6,018.0","6,673.0","7,483.0","8,211.0","9,038.0","9,786.0","10,597.0","11,538.0","12,474.0","13,751.0","15,079.0","16,529.0","19,075.0"
"255","221","    Imputed interest received by private enterprises","W563RC1","1,034.0","909.0","858.0","755.0","607.0","618.0","681.0","742.0","828.0","809.0","848.0","863.0","968.0","1,094.0","1,257.0","1,477.0","1,660.0","1,582.0","1,630.0","1,637.0","1,752.0","1,851.0","1,898.0","2,222.0","2,526.0","2,854.0","3,206.0","3,581.0","4,199.0","4,574.0","5,149.0","5,540.0","6,089.0","6,389.0","6,806.0","7,355.0","7,448.0","7,596.0","8,523.0","9,136.0","12,045.0"
"256","222","      By banks for borrower services (-175)","W358RC1","-81.0","-67.0","-61.0","-50.0","-35.0","-36.0","-39.0","-43.0","-47.0","-50.0","-58.0","-67.0","-80.0","-108.0","-110.0","-100.0","-176.0","-590.0","-814.0","-1,033.0","-1,137.0","-1,304.0","-1,588.0","-1,737.0","-1,915.0","-1,950.0","-2,134.0","-2,467.0","-2,669.0","-2,768.0","-3,054.0","-3,372.0","-3,438.0","-3,706.0","-3,908.0","-4,182.0","-4,789.0","-5,634.0","-5,917.0","-6,978.0","-7,769.0"
"257","223","      By defined benefit pension plans for unfunded actuarial liability (193)","Y609RC1","157.0","185.0","199.0","217.0","230.0","234.0","254.0","274.0","313.0","333.0","363.0","402.0","459.0","590.0","785.0","954.0","1,126.0","1,302.0","1,492.0","1,687.0","1,888.0","2,102.0","2,358.0","2,649.0","3,004.0","3,350.0","3,727.0","4,241.0","4,958.0","5,454.0","5,974.0","6,452.0","7,017.0","7,534.0","8,104.0","8,705.0","9,357.0","10,085.0","10,803.0","12,138.0","14,555.0"
"258","224","      By other private enterprises (173+184)","W565RC1","958.0","791.0","720.0","588.0","412.0","420.0","466.0","511.0","562.0","526.0","543.0","528.0","589.0","612.0","582.0","623.0","710.0","870.0","952.0","983.0","1,001.0","1,053.0","1,128.0","1,310.0","1,437.0","1,454.0","1,613.0","1,807.0","1,910.0","1,888.0","2,229.0","2,460.0","2,510.0","2,561.0","2,610.0","2,832.0","2,880.0","3,145.0","3,637.0","3,976.0","5,259.0"
"259",NA,"      Reclassifications for owner-occupied housing and fixed assets of nonprofit institutions serving households:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","225","    Monetary interest paid by owner-occupants and nonprofit institutions","A2129C1","1,090.0","1,089.0","1,072.0","1,020.0","961.0","918.0","897.0","880.0","851.0","811.0","791.0","795.0","836.0","869.0","874.0","899.0","946.0","1,064.0","1,256.0","1,479.0","1,656.0","1,882.0","2,213.0","2,535.0","2,852.0","3,273.0","3,719.0","4,376.0","5,069.0","5,753.0","6,458.0","7,176.0","7,856.0","8,787.0","9,526.0","10,520.0","11,537.0","12,506.0","13,309.0","14,489.0","16,008.0"
"261","226","      Owner-occupied housing","W498RC1","999.0","996.0","979.0","925.0","867.0","825.0","805.0","789.0","764.0","727.0","709.0","715.0","759.0","795.0","805.0","832.0","885.0","1,005.0","1,193.0","1,414.0","1,585.0","1,807.0","2,136.0","2,453.0","2,768.0","3,185.0","3,627.0","4,281.0","4,970.0","5,651.0","6,348.0","7,051.0","7,716.0","8,632.0","9,351.0","10,297.0","11,262.0","12,150.0","12,862.0","13,949.0","15,368.0"
"262","227","      Interest paid by nonprofit institutions serving households","W319RC1","91.0","93.0","93.0","95.0","94.0","93.0","92.0","91.0","87.0","84.0","82.0","80.0","77.0","74.0","69.0","67.0","61.0","59.0","63.0","65.0","71.0","75.0","77.0","82.0","84.0","88.0","92.0","95.0","99.0","102.0","110.0","125.0","140.0","155.0","175.0","223.0","275.0","356.0","447.0","540.0","640.0"
"263","228","  Personal interest payments","A2109C1","-1,090.0","-1,089.0","-1,072.0","-1,020.0","-961.0","-918.0","-897.0","-880.0","-851.0","-811.0","-791.0","-795.0","-836.0","-897.0","-920.0","-936.0","-982.0","-1,124.0","-1,364.0","-1,632.0","-1,844.0","-2,119.0","-2,498.0","-2,849.0","-3,241.0","-3,678.0","-4,184.0","-4,916.0","-5,666.0","-6,340.0","-7,127.0","-7,948.0","-8,683.0","-9,673.0","-10,468.0","-11,551.0","-12,716.0","-13,860.0","-14,699.0","-16,152.0","-17,731.0"
"264","229","    Owner-occupied housing (-226)","A2020C1","-999.0","-996.0","-979.0","-925.0","-867.0","-825.0","-805.0","-789.0","-764.0","-727.0","-709.0","-715.0","-759.0","-795.0","-805.0","-832.0","-885.0","-1,005.0","-1,193.0","-1,414.0","-1,585.0","-1,807.0","-2,136.0","-2,453.0","-2,768.0","-3,185.0","-3,627.0","-4,281.0","-4,970.0","-5,651.0","-6,348.0","-7,051.0","-7,716.0","-8,632.0","-9,351.0","-10,297.0","-11,262.0","-12,150.0","-12,862.0","-13,949.0","-15,368.0"
"265","230","    Interest paid by nonprofit institutions serving households (-167)","A2021C1","-91.0","-93.0","-93.0","-95.0","-94.0","-93.0","-92.0","-91.0","-87.0","-84.0","-82.0","-80.0","-77.0","-74.0","-69.0","-67.0","-61.0","-59.0","-63.0","-65.0","-71.0","-75.0","-77.0","-82.0","-84.0","-88.0","-92.0","-95.0","-99.0","-102.0","-110.0","-125.0","-140.0","-155.0","-175.0","-223.0","-275.0","-356.0","-447.0","-540.0","-640.0"
"266","231","    Borrower services paid by persons (-176)","W308RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-28.0","-46.0","-37.0","-36.0","-60.0","-108.0","-153.0","-188.0","-237.0","-285.0","-314.0","-389.0","-405.0","-465.0","-540.0","-597.0","-587.0","-669.0","-772.0","-827.0","-886.0","-942.0","-1,031.0","-1,179.0","-1,354.0","-1,390.0","-1,663.0","-1,723.0"
"267","232","  Personal interest income (171+182+196)","W520RC1","1,083.0","1,039.0","905.0","786.0","737.0","728.0","828.0","916.0","1,012.0","1,001.0","1,043.0","1,133.0","1,242.0","1,432.0","1,691.0","1,935.0","2,144.0","2,596.0","2,881.0","3,131.0","3,395.0","3,760.0","4,147.0","4,631.0","5,512.0","6,141.0","6,944.0","7,822.0","8,724.0","9,371.0","10,432.0","11,471.0","12,486.0","13,358.0","14,046.0","15,596.0","16,744.0","18,445.0","20,351.0","22,158.0","26,697.0"
"268","233","    Net interest, domestic (215)","A2104C1","2,248.0","2,148.0","1,971.0","1,779.0","1,652.0","1,644.0","1,697.0","1,783.0","1,785.0","1,759.0","1,812.0","1,797.0","1,881.0","2,053.0","2,256.0","2,512.0","2,707.0","2,995.0","3,155.0","3,536.0","3,824.0","4,248.0","4,790.0","5,403.0","6,338.0","7,087.0","8,049.0","9,181.0","10,186.0","11,077.0","12,426.0","13,887.0","15,102.0","16,523.0","17,479.0","19,668.0","21,357.0","23,488.0","25,694.0","28,079.0","33,031.0"
"269","234","    Net interest, rest of the world (-174-180-186+187)","W528RC1","-44.0","-37.0","-32.0","-29.0","-23.0","-24.0","-26.0","-38.0","-64.0","-61.0","-80.0","-109.0","-107.0","-108.0","-141.0","-167.0","-143.0","-134.0","-113.0","-115.0","-133.0","-147.0","-172.0","-213.0","-206.0","-195.0","-211.0","-224.0","-251.0","-265.0","-284.0","-280.0","-288.0","-319.0","-303.0","-356.0","-402.0","-416.0","-419.0","-454.0","-543.0"
"270","235","    Net imputed interest paid by government (-172-177-183+195)","A2022C1","-30.0","18.0","39.0","56.0","70.0","27.0","55.0","52.0","144.0","116.0","104.0","242.0","306.0","387.0","498.0","529.0","565.0","859.0","1,203.0","1,342.0","1,548.0","1,778.0","2,027.0","2,290.0","2,621.0","2,927.0","3,290.0","3,781.0","4,455.0","4,899.0","5,417.0","5,812.0","6,355.0","6,826.0","7,339.0","7,835.0","8,504.0","9,231.0","9,768.0","10,679.0","11,943.0"
"271","236","    Personal interest payments (228)","A2109C1","-1,090.0","-1,089.0","-1,072.0","-1,020.0","-961.0","-918.0","-897.0","-880.0","-851.0","-811.0","-791.0","-795.0","-836.0","-897.0","-920.0","-936.0","-982.0","-1,124.0","-1,364.0","-1,632.0","-1,844.0","-2,119.0","-2,498.0","-2,849.0","-3,241.0","-3,678.0","-4,184.0","-4,916.0","-5,666.0","-6,340.0","-7,127.0","-7,948.0","-8,683.0","-9,673.0","-10,468.0","-11,551.0","-12,716.0","-13,860.0","-14,699.0","-16,152.0","-17,731.0"
"272",NA,"          Selected aggregates"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","237","Gross domestic product","A191RC1","104,560.0","92,167.0","77,406.0","59,532.0","57,165.0","66,812.0","74,259.0","84,854.0","93,029.0","87,387.0","93,473.0","102,946.0","129,356.0","165,997.0","203,122.0","224,550.0","228,173.0","227,812.0","249,945.0","274,807.0","272,827.0","300,198.0","347,294.0","367,728.0","389,739.0","391,146.0","426,175.0","450,130.0","474,851.0","482,045.0","522,451.0","543,283.0","563,303.0","605,115.0","638,582.0","685,786.0","743,728.0","815,039.0","861,731.0","942,480.0","1,019,878.0"
"274","238","  Imputations","A2023C1","9,983.0","9,425.0","8,522.0","7,292.0","6,676.0","6,699.0","7,126.0","7,467.0","7,900.0","7,998.0","8,120.0","8,452.0","10,494.0","14,776.0","19,757.0","23,936.0","26,447.0","27,813.0","26,901.0","27,604.0","27,769.0","28,955.0","33,877.0","37,842.0","41,476.0","44,379.0","47,267.0","51,089.0","55,167.0","58,654.0","62,643.0","67,002.0","71,414.0","76,108.0","80,474.0","85,755.0","91,714.0","98,773.0","105,851.0","115,754.0","128,058.0"
"275","239","    Owner-occupied housing (154-157)","A2024C1","5,863.0","5,569.0","5,108.0","4,442.0","3,861.0","3,647.0","3,666.0","3,731.0","3,919.0","4,120.0","4,164.0","4,261.0","4,608.0","5,107.0","5,582.0","6,093.0","6,550.0","6,888.0","7,584.0","8,542.0","9,526.0","10,749.0","12,378.0","14,241.0","16,165.0","18,032.0","19,667.0","21,398.0","23,255.0","25,174.0","27,452.0","29,787.0","31,887.0","34,319.0","36,406.0","38,533.0","41,114.0","43,910.0","46,802.0","49,742.0","54,030.0"
"276","240","    Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households (166)","A2050C1","293.0","295.0","280.0","262.0","255.0","267.0","267.0","276.0","297.0","300.0","303.0","312.0","331.0","354.0","368.0","379.0","386.0","449.0","571.0","641.0","670.0","719.0","843.0","906.0","962.0","1,008.0","1,085.0","1,215.0","1,336.0","1,406.0","1,498.0","1,603.0","1,708.0","1,841.0","1,996.0","2,198.0","2,436.0","2,741.0","3,061.0","3,417.0","3,848.0"
"277","241","    Financial services furnished without payment (171+172+174+176+177+180)","A2025C1","1,081.0","974.0","800.0","648.0","574.0","604.0","672.0","769.0","788.0","787.0","848.0","821.0","841.0","944.0","1,113.0","1,308.0","1,461.0","1,613.0","1,554.0","1,672.0","1,735.0","1,880.0","2,019.0","2,211.0","2,727.0","2,954.0","3,382.0","3,758.0","3,904.0","3,935.0","4,272.0","4,747.0","5,005.0","5,252.0","5,208.0","6,042.0","6,403.0","6,971.0","7,725.0","8,442.0","11,281.0"
"278","242","    Premium supplements for property and casualty insurance (182+183+186-187)","W569RC1","23.0","23.0","22.0","20.0","20.0","22.0","24.0","26.0","28.0","27.0","28.0","29.0","31.0","36.0","39.0","40.0","42.0","47.0","55.0","62.0","65.0","69.0","80.0","95.0","111.0","120.0","126.0","136.0","153.0","170.0","187.0","205.0","220.0","233.0","251.0","273.0","301.0","347.0","391.0","432.0","483.0"
"279","243","    Defined benefit and defined contribution pension plans (188+191)","Y684RC1","257.0","268.0","267.0","232.0","186.0","187.0","245.0","295.0","295.0","336.0","357.0","525.0","1,290.0","2,653.0","3,027.0","2,994.0","2,979.0","2,789.0","2,242.0","2,253.0","2,390.0","2,912.0","4,189.0","4,807.0","4,904.0","4,846.0","4,784.0","4,741.0","4,986.0","5,120.0","4,919.0","4,999.0","5,315.0","5,267.0","5,451.0","5,618.0","6,240.0","6,979.0","7,131.0","8,671.0","9,214.0"
"280","244","    Farm products consumed on farms (200)","A2051C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,745.0","1,351.0","1,237.0","1,371.0","1,291.0","1,163.0","1,012.0","917.0","856.0","789.0","804.0","637.0","577.0","553.0","480.0","434.0","384.0","389.0","385.0","331.0","324.0","337.0"
"281","245","    Employment-related imputations (203)","A2099C1","440.0","418.0","353.0","293.0","278.0","313.0","351.0","375.0","418.0","396.0","402.0","438.0","645.0","1,148.0","1,934.0","2,666.0","3,137.0","3,116.0","2,105.0","2,458.0","2,529.0","2,506.0","3,326.0","3,619.0","3,786.0","3,840.0","3,992.0","4,351.0","4,857.0","5,348.0","5,851.0","6,260.0","6,781.0","7,340.0","7,826.0","8,611.0","9,568.0","10,610.0","11,596.0","13,518.0","15,220.0"
"282","246","    Margins on owner-built housing (212)","B1173C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","123.0","243.0","296.0","247.0","239.0","209.0","262.0","185.0","175.0","166.0","167.0","231.0","228.0","275.0","302.0","370.0","390.0","352.0","342.0","397.0","447.0","415.0"
"283","247","    Consumption of general government fixed capital (213)","A265RC1","840.0","834.0","808.0","725.0","815.0","944.0","972.0","1,087.0","1,167.0","1,223.0","1,266.0","1,348.0","1,831.0","3,352.0","6,185.0","9,031.0","10,378.0","11,183.0","11,066.0","10,108.0","9,260.0","8,587.0","9,424.0","10,433.0","11,449.0","12,305.0","13,129.0","14,459.0","15,721.0","16,530.0","17,596.0","18,596.0","19,670.0","21,074.0","22,532.0","23,706.0","24,911.0","26,488.0","28,417.0","30,761.0","33,230.0"
"284","248","  Excluding imputations (237-238)","A2026C1","94,577.0","82,742.0","68,884.0","52,240.0","50,489.0","60,113.0","67,133.0","77,387.0","85,129.0","79,389.0","85,353.0","94,494.0","118,862.0","151,221.0","183,365.0","200,614.0","201,726.0","199,999.0","223,044.0","247,203.0","245,058.0","271,243.0","313,417.0","329,886.0","348,263.0","346,767.0","378,908.0","399,041.0","419,684.0","423,391.0","459,808.0","476,281.0","491,889.0","529,007.0","558,108.0","600,031.0","652,014.0","716,266.0","755,880.0","826,726.0","891,820.0"
"285","249","Personal income","A065RC1","85,261.0","76,507.0","65,642.0","50,264.0","47,204.0","54,061.0","60,836.0","69,213.0","74,699.0","69,082.0","73,626.0","79,400.0","97,870.0","126,713.0","156,177.0","169,709.0","175,778.0","182,668.0","194,616.0","213,661.0","211,244.0","233,904.0","264,455.0","282,655.0","299,565.0","302,592.0","324,583.0","348,411.0","368,486.0","379,474.0","403,193.0","422,532.0","441,082.0","469,087.0","492,839.0","528,356.0","570,847.0","620,572.0","665,748.0","730,743.0","800,258.0"
"286","250","  Imputations","A2106C1","5,826.0","5,315.0","4,605.0","3,788.0","3,302.0","3,099.0","3,560.0","3,775.0","4,136.0","4,173.0","4,277.0","4,582.0","6,071.0","8,816.0","11,005.0","12,169.0","13,074.0","12,064.0","11,457.0","12,989.0","13,789.0","15,672.0","19,037.0","21,424.0","23,330.0","24,691.0","25,927.0","27,494.0","29,748.0","31,563.0","33,726.0","36,243.0","38,791.0","40,882.0","42,768.0","45,555.0","48,565.0","52,508.0","56,243.0","65,889.0","74,068.0"
"287","251","    Owner-occupied housing (164-159)","A2028C1","2,755.0","2,443.0","2,105.0","1,734.0","1,349.0","1,086.0","1,113.0","1,171.0","1,280.0","1,470.0","1,544.0","1,560.0","1,741.0","2,064.0","2,376.0","2,663.0","2,877.0","2,900.0","2,766.0","2,996.0","3,398.0","4,005.0","4,634.0","5,607.0","6,718.0","7,641.0","8,044.0","8,218.0","8,638.0","9,155.0","10,075.0","10,993.0","11,664.0","12,461.0","12,911.0","13,057.0","13,388.0","13,920.0","14,438.0","14,101.0","14,414.0"
"288","252","    Depositor financial services furnished without payment and premium supplements (171+182)","W570RC1","873.0","793.0","630.0","478.0","411.0","395.0","471.0","535.0","583.0","536.0","537.0","581.0","612.0","641.0","678.0","719.0","763.0","1,023.0","1,099.0","1,121.0","1,139.0","1,241.0","1,311.0","1,420.0","1,860.0","2,051.0","2,395.0","2,670.0","2,706.0","2,698.0","2,949.0","3,260.0","3,448.0","3,572.0","3,449.0","4,058.0","4,270.0","4,694.0","5,272.0","5,629.0","7,622.0"
"289","253","    Defined benefit and defined contribution pension plans (189+196+197-198+199)","Y685RC1","572.0","617.0","633.0","613.0","577.0","590.0","696.0","786.0","867.0","962.0","1,042.0","1,285.0","2,156.0","3,781.0","4,508.0","4,700.0","4,893.0","4,775.0","4,536.0","4,977.0","5,522.0","6,438.0","8,177.0","9,287.0","9,667.0","10,024.0","10,536.0","11,342.0","12,711.0","13,593.0","14,185.0","15,105.0","16,278.0","16,907.0","17,978.0","19,255.0","20,769.0","22,701.0","24,485.0","32,220.0","36,471.0"
"290","254","    Farm products consumed on farms (200)","A2051C1","1,186.0","1,044.0","884.0","670.0","687.0","715.0","929.0","908.0","988.0","809.0","752.0","718.0","917.0","1,182.0","1,509.0","1,425.0","1,514.0","1,728.0","1,724.0","1,745.0","1,351.0","1,237.0","1,371.0","1,291.0","1,163.0","1,012.0","917.0","856.0","789.0","804.0","637.0","577.0","553.0","480.0","434.0","384.0","389.0","385.0","331.0","324.0","337.0"
"291","255","    Food furnished to employees, including military and domestic service (204)","DFOORC1","257.0","245.0","198.0","160.0","155.0","185.0","214.0","236.0","271.0","247.0","254.0","278.0","470.0","933.0","1,677.0","2,398.0","2,753.0","1,349.0","1,023.0","1,021.0","1,000.0","1,076.0","1,632.0","1,769.0","1,650.0","1,478.0","1,292.0","1,198.0","1,218.0","1,244.0","1,206.0","1,209.0","1,281.0","1,339.0","1,350.0","1,374.0","1,485.0","1,769.0","1,944.0","1,973.0","2,053.0"
"292","256","    Standard clothing issued to military personnel (205)","DMICRC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","51.0","48.0","55.0","69.0","64.0","64.0","76.0","164.0","192.0","204.0","174.0"
