"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"64","41","    Gross value added of nonfinancial corporate business \2\","B455RX1","2,015,571.0","2,027,334.0","2,038,244.0","2,032,345.0","2,007,918.0","2,012,226.0","2,028,045.0","1,994,875.0","2,060,612.0","2,074,792.0","2,094,892.0","2,129,661.0","2,192,751.0","2,229,511.0","2,261,136.0","2,310,348.0","2,381,548.0","2,383,954.0","2,381,274.0","2,393,406.0","2,379,203.0","2,376,437.0","2,344,721.0","2,294,712.0","2,247,671.0","2,284,271.0","2,348,362.0","2,381,838.0","2,478,651.0","2,495,075.0","2,520,109.0","2,526,076.0","2,582,826.0","2,679,409.0","2,753,904.0","2,741,701.0","2,765,943.0","2,874,966.0","2,886,498.0","2,929,221.0","2,958,954.0","2,948,029.0","2,954,145.0","2,962,914.0","2,952,313.0","2,882,443.0","2,898,491.0","2,975,040.0","3,021,980.0","3,038,205.0","3,080,843.0","3,042,492.0","2,983,220.0","2,990,256.0","2,979,322.0","2,964,961.0","3,010,448.0","3,089,736.0","3,161,697.0","3,238,747.0","3,337,409.0","3,386,951.0","3,421,263.0","3,468,674.0","3,493,662.0","3,532,405.0","3,604,715.0","3,614,579.0","3,631,927.0","3,628,378.0","3,651,864.0","3,704,606.0","3,741,469.0","3,816,954.0","3,890,587.0","3,943,025.0","4,008,698.0","4,068,999.0","4,089,220.0","4,170,816.0","4,154,278.0","4,145,558.0","4,164,525.0","4,183,797.0","4,202,965.0","4,239,562.0","4,225,521.0","4,220,838.0","4,183,810.0","4,190,607.0","4,203,077.0","4,224,297.0","4,284,073.0","4,317,762.0","4,325,838.0","4,386,277.0","4,339,968.0","4,422,615.0","4,440,912.0","4,537,250.0","4,585,910.0","4,690,550.0","4,735,979.0","4,819,882.0","4,844,362.0","4,890,898.0","4,975,369.0","5,031,148.0","5,093,809.0","5,177,690.0","5,270,393.0","5,356,879.0","5,421,902.0","5,515,905.0","5,633,442.0","5,722,215.0","5,756,112.0","5,852,613.0","5,949,338.0","6,001,056.0","6,112,102.0","6,170,103.0","6,218,228.0","6,340,747.0","6,517,175.0","6,528,155.0","6,589,313.0","6,567,680.0","6,421,447.0","6,437,231.0","6,401,941.0","6,385,379.0","6,408,868.0","6,470,049.0","6,468,834.0","6,517,504.0","6,507,371.0","6,565,811.0","6,640,311.0","6,713,666.0","6,777,657.0","6,871,839.0","6,988,235.0","6,978,759.0","7,037,050.0","7,127,840.0","7,102,048.0","7,259,687.0","7,357,221.0","7,336,518.0","7,446,193.0","7,485,145.0","7,472,018.0","7,502,389.0","7,428,169.0","7,519,320.0","7,413,011.0","7,402,683.0","7,475,600.0","7,244,331.0","6,839,437.0","6,773,277.0","6,820,211.0","7,006,264.0","7,172,005.0","7,222,708.0","7,311,171.0","7,254,254.0","7,313,769.0","7,421,125.0","7,422,731.0","7,528,360.0","7,703,445.0","7,749,516.0","7,706,395.0","7,811,258.0","7,842,285.0","7,929,651.0","7,936,806.0","7,979,711.0","7,993,302.0","8,120,869.0","8,229,101.0","8,361,279.0","....."
"65","42","      Consumption of fixed capital \3\","N456RX1","182,613.0","185,641.0","188,552.0","191,344.0","194,012.0","196,545.0","198,939.0","201,191.0","203,299.0","205,421.0","207,562.0","209,725.0","211,913.0","214,702.0","218,067.0","221,949.0","226,251.0","230,177.0","233,821.0","237,250.0","240,501.0","243,499.0","246,234.0","248,696.0","250,877.0","252,960.0","254,948.0","256,840.0","258,638.0","260,755.0","263,194.0","265,957.0","269,049.0","272,260.0","275,592.0","279,046.0","282,624.0","286,404.0","290,388.0","294,577.0","298,972.0","303,275.0","307,485.0","311,600.0","315,619.0","319,502.0","323,248.0","326,855.0","330,321.0","333,987.0","337,855.0","341,931.0","346,220.0","350,118.0","353,623.0","356,729.0","359,434.0","362,404.0","365,643.0","369,155.0","372,943.0","377,324.0","382,304.0","387,892.0","394,099.0","399,884.0","405,240.0","410,161.0","414,642.0","419,115.0","423,583.0","428,046.0","432,505.0","436,780.0","440,870.0","444,771.0","448,479.0","452,274.0","456,156.0","460,127.0","464,185.0","468,365.0","472,666.0","477,089.0","481,634.0","486,007.0","490,205.0","494,224.0","498,059.0","501,788.0","505,410.0","508,926.0","512,335.0","516,148.0","520,370.0","525,005.0","530,060.0","535,362.0","540,914.0","546,718.0","552,779.0","559,428.0","566,675.0","574,534.0","583,015.0","591,675.0","600,516.0","609,539.0","618,746.0","628,527.0","638,890.0","649,847.0","661,409.0","673,296.0","685,511.0","698,059.0","710,943.0","723,774.0","736,550.0","749,266.0","761,918.0","775,755.0","790,793.0","807,047.0","824,533.0","838,353.0","848,443.0","854,751.0","871,489.0","884,612.0","895,125.0","903,217.0","907,742.0","910,815.0","914,432.0","918,060.0","921,564.0","925,180.0","929,489.0","934,639.0","940,235.0","945,065.0","950,740.0","957,275.0","964,786.0","972,954.0","981,669.0","990,424.0","999,758.0","1,009,928.0","1,020,200.0","1,030,701.0","1,040,829.0","1,049,697.0","1,057,940.0","1,065,965.0","1,073,318.0","1,080,744.0","1,087,380.0","1,091,985.0","1,093,163.0","1,092,408.0","1,091,418.0","1,090,894.0","1,090,684.0","1,091,869.0","1,094,005.0","1,097,325.0","1,105,934.0","1,113,672.0","1,120,933.0","1,127,697.0","1,133,572.0","1,139,949.0","1,146,324.0","1,153,397.0","1,161,573.0","1,169,656.0","1,177,598.0","1,186,150.0","1,194,567.0","1,203,471.0","1,213,566.0","1,224,346.0","1,234,941.0"
"66","43","      Net value added \4\","A457RX1","1,832,958.0","1,841,693.0","1,849,692.0","1,841,001.0","1,813,906.0","1,815,681.0","1,829,106.0","1,793,684.0","1,857,313.0","1,869,371.0","1,887,330.0","1,919,936.0","1,980,838.0","2,014,809.0","2,043,069.0","2,088,399.0","2,155,297.0","2,153,777.0","2,147,453.0","2,156,156.0","2,138,702.0","2,132,938.0","2,098,487.0","2,046,016.0","1,996,794.0","2,031,311.0","2,093,414.0","2,124,998.0","2,220,013.0","2,234,320.0","2,256,915.0","2,260,119.0","2,313,777.0","2,407,149.0","2,478,312.0","2,462,655.0","2,483,319.0","2,588,562.0","2,596,110.0","2,634,644.0","2,659,982.0","2,644,754.0","2,646,660.0","2,651,314.0","2,636,694.0","2,562,941.0","2,575,243.0","2,648,185.0","2,691,659.0","2,704,218.0","2,742,988.0","2,700,561.0","2,637,000.0","2,640,138.0","2,625,699.0","2,608,232.0","2,651,014.0","2,727,332.0","2,796,054.0","2,869,592.0","2,964,466.0","3,009,627.0","3,038,959.0","3,080,782.0","3,099,563.0","3,132,521.0","3,199,475.0","3,204,418.0","3,217,285.0","3,209,263.0","3,228,281.0","3,276,560.0","3,308,964.0","3,380,174.0","3,449,717.0","3,498,254.0","3,560,219.0","3,616,725.0","3,633,064.0","3,710,689.0","3,690,093.0","3,677,193.0","3,691,859.0","3,706,708.0","3,721,331.0","3,753,555.0","3,735,316.0","3,726,614.0","3,685,751.0","3,688,819.0","3,697,667.0","3,715,371.0","3,771,738.0","3,801,614.0","3,805,468.0","3,861,272.0","3,809,908.0","3,887,253.0","3,899,998.0","3,990,532.0","4,033,131.0","4,131,122.0","4,169,304.0","4,245,348.0","4,261,347.0","4,299,223.0","4,374,853.0","4,421,609.0","4,475,063.0","4,549,163.0","4,631,503.0","4,707,032.0","4,760,493.0","4,842,609.0","4,947,931.0","5,024,156.0","5,045,169.0","5,128,839.0","5,212,788.0","5,251,790.0","5,350,184.0","5,394,348.0","5,427,435.0","5,533,700.0","5,692,642.0","5,689,802.0","5,740,870.0","5,712,929.0","5,549,958.0","5,552,619.0","5,506,816.0","5,482,162.0","5,501,126.0","5,559,234.0","5,554,402.0","5,599,444.0","5,585,807.0","5,640,631.0","5,710,822.0","5,779,027.0","5,837,422.0","5,926,774.0","6,037,495.0","6,021,484.0","6,072,264.0","6,154,886.0","6,120,379.0","6,269,263.0","6,357,463.0","6,326,590.0","6,425,993.0","6,454,444.0","6,431,189.0","6,452,692.0","6,370,229.0","6,453,355.0","6,339,693.0","6,321,939.0","6,388,220.0","6,152,346.0","5,746,274.0","5,680,869.0","5,728,793.0","5,915,370.0","6,081,321.0","6,130,839.0","6,217,166.0","6,156,929.0","6,207,835.0","6,307,453.0","6,301,798.0","6,400,663.0","6,569,873.0","6,609,567.0","6,560,071.0","6,657,861.0","6,680,712.0","6,759,995.0","6,759,208.0","6,793,561.0","6,798,735.0","6,917,398.0","7,015,535.0","7,136,933.0","....."
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","3. Chained-dollar consumption of fixed capital of nonfinancial corporate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","business is calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","the 2009 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","4. Chained-dollar net value added of nonfinancial corporate business is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","difference between the gross product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
