"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"187","160","    Imputations (-178-184)","Y682RC1","-852.0","-782.0","-662.0","-768.0","-1,267.0","-1,521.0","-515.0","-1,386.0","-1,877.0","-2,966.0","-4,733.0","-6,110.0","-7,407.0","-5,257.0","-2,349.0","-4,277.0","-6,113.0","-5,312.0","-5,198.0","-6,182.0","-7,937.0","-8,878.0","-8,888.0","-8,835.0","-9,417.0","-10,507.0","-11,649.0","-13,634.0","-15,958.0","-18,076.0","-20,561.0","-24,399.0","-24,980.0","-25,467.0","-28,381.0","-31,125.0","-37,246.0","-44,906.0","-50,286.0","-43,489.0","-37,739.0","-36,530.0","-34,399.0","-36,039.0","-38,201.0"
"188","161","    Monetary interest (225)","W498RC1","15,368.0","16,727.0","18,844.0","21,747.0","25,290.0","29,035.0","32,571.0","37,470.0","44,495.0","53,276.0","64,926.0","77,652.0","90,680.0","104,541.0","115,071.0","129,848.0","145,435.0","160,479.0","171,605.0","183,778.0","199,927.0","214,446.0","220,132.0","222,199.0","219,400.0","223,561.0","243,938.0","252,927.0","268,715.0","280,916.0","299,645.0","330,242.0","351,232.0","354,777.0","348,709.0","353,267.0","402,922.0","463,502.0","510,903.0","513,820.0","467,826.0","425,006.0","389,636.0","361,853.0","333,771.0"
"189","162","  Current transfer payments","W536RC1","-27.0","-19.0","71.0","173.0","104.0","-286.0","-221.0","136.0","423.0","501.0","-70.0","-324.0","187.0","39.0","-120.0","-144.0","-297.0","953.0","1,567.0","669.0","-899.0","-756.0","-568.0","-1,433.0","1,530.0","1,772.0","1,662.0","-668.0","4,552.0","1,767.0","2,006.0","829.0","-991.0","2,594.0","4,356.0","5,773.0","11,251.0","10,672.0","9,053.0","3,387.0","5,640.0","3,763.0","-4,453.0","9,324.0","8,118.0"
"190","163","  Rental income of persons with capital consumption adjustment (153-154-157+158-159-162-164)","B1156C1","14,414.0","14,508.0","15,481.0","15,311.0","14,544.0","14,850.0","13,900.0","11,998.0","7,048.0","7,139.0","5,727.0","5,631.0","5,770.0","2,147.0","1,260.0","-1,181.0","-4,181.0","-9,459.0","-9,849.0","-3,586.0","-3,339.0","-68.0","5,803.0","19,815.0","42,601.0","62,165.0","68,533.0","82,712.0","84,954.0","101,291.0","115,189.0","120,852.0","134,778.0","146,301.0","165,348.0","180,194.0","158,055.0","124,340.0","96,397.0","147,234.0","216,751.0","268,070.0","326,959.0","356,147.0","410,909.0"
"191","164","  Consumption of fixed capital","B2607C1","11,576.0","12,413.0","13,703.0","15,253.0","17,499.0","20,172.0","22,856.0","25,510.0","29,855.0","35,554.0","41,831.0","47,890.0","52,468.0","55,426.0","57,494.0","61,160.0","65,320.0","71,251.0","77,985.0","84,128.0","90,258.0","94,812.0","98,070.0","101,698.0","109,094.0","117,010.0","124,641.0","131,261.0","138,641.0","147,867.0","160,112.0","174,347.0","190,073.0","202,380.0","221,569.0","248,239.0","280,189.0","307,482.0","318,091.0","312,382.0","297,383.0","292,576.0","291,175.0","293,258.0","311,730.0"
"192","165","Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households \1\","A2050C1","3,848.0","4,315.0","4,801.0","5,383.0","6,186.0","7,318.0","8,558.0","9,405.0","10,382.0","11,977.0","13,902.0","16,227.0","18,694.0","20,928.0","22,814.0","25,957.0","26,665.0","29,114.0","30,982.0","34,017.0","37,062.0","39,522.0","42,193.0","44,790.0","48,877.0","49,517.0","52,257.0","54,466.0","57,215.0","60,802.0","65,192.0","70,193.0","74,422.0","78,015.0","82,188.0","87,163.0","93,058.0","99,295.0","105,970.0","112,159.0","115,272.0","116,525.0","114,962.0","118,436.0","122,306.0"
"193","166","  Monetary interest (226)","W319RC1","640.0","750.0","825.0","910.0","1,065.0","1,250.0","1,428.0","1,557.0","1,681.0","2,145.0","2,724.0","3,445.0","4,352.0","5,237.0","6,111.0","8,156.0","7,838.0","9,097.0","9,479.0","10,727.0","11,665.0","11,870.0","12,328.0","12,815.0","14,844.0","13,853.0","14,710.0","15,696.0","16,421.0","16,939.0","17,290.0","17,571.0","17,599.0","17,205.0","16,629.0","16,014.0","15,542.0","15,338.0","15,247.0","14,905.0","14,192.0","13,382.0","12,644.0","11,956.0","11,956.0"
"194","167","  Consumption of fixed capital","B1157C1","3,208.0","3,565.0","3,976.0","4,473.0","5,121.0","6,068.0","7,130.0","7,848.0","8,701.0","9,832.0","11,178.0","12,782.0","14,342.0","15,691.0","16,703.0","17,801.0","18,827.0","20,017.0","21,503.0","23,290.0","25,397.0","27,652.0","29,865.0","31,975.0","34,033.0","35,664.0","37,547.0","38,770.0","40,794.0","43,863.0","47,902.0","52,622.0","56,823.0","60,810.0","65,559.0","71,149.0","77,516.0","83,957.0","90,723.0","97,254.0","101,080.0","103,143.0","102,318.0","106,480.0","110,350.0"
"195","168","Financial services furnished without payment (169+174)","W537RC1","21,554.0","24,695.0","25,543.0","27,847.0","32,535.0","39,409.0","44,033.0","46,648.0","52,061.0","63,471.0","73,368.0","81,306.0","89,620.0","94,250.0","105,429.0","111,987.0","128,700.0","128,838.0","129,451.0","135,093.0","137,967.0","135,959.0","135,566.0","149,466.0","163,104.0","177,173.0","183,697.0","195,102.0","214,086.0","231,372.0","248,655.0","272,491.0","268,053.0","272,185.0","281,574.0","301,259.0","328,773.0","350,823.0","384,128.0","380,648.0","343,935.0","354,378.0","356,130.0","364,920.0","388,010.0"
"196","169","  Depositor services","Y521RC1","13,785.0","17,549.0","19,994.0","21,479.0","21,363.0","25,812.0","40,380.0","35,446.0","37,440.0","41,022.0","38,721.0","37,693.0","36,035.0","56,834.0","89,831.0","80,339.0","107,005.0","110,417.0","110,044.0","111,625.0","109,152.0","104,535.0","105,178.0","119,690.0","132,051.0","141,788.0","145,313.0","150,631.0","161,559.0","170,367.0","178,819.0","190,658.0","184,005.0","190,085.0","197,028.0","212,104.0","226,622.0","228,123.0","240,636.0","241,541.0","221,866.0","231,199.0","235,470.0","231,123.0","237,707.0"
"197","170","    Persons","B1611C1","7,169.0","9,016.0","10,086.0","11,136.0","11,757.0","14,432.0","21,592.0","19,893.0","21,514.0","24,967.0","24,313.0","22,899.0","20,990.0","27,726.0","51,740.0","48,450.0","69,496.0","72,652.0","74,407.0","76,107.0","75,213.0","71,821.0","74,177.0","86,924.0","96,253.0","104,153.0","106,042.0","109,728.0","117,093.0","125,616.0","133,114.0","143,245.0","137,290.0","140,907.0","145,101.0","159,231.0","171,511.0","171,515.0","180,717.0","187,515.0","179,257.0","191,289.0","200,645.0","196,968.0","205,933.0"
"198","171","    Government","W538RC1","1,384.0","1,827.0","2,264.0","2,387.0","2,280.0","2,420.0","3,219.0","3,038.0","3,241.0","2,549.0","1,800.0","1,263.0","823.0","2,273.0","3,272.0","2,707.0","5,330.0","5,709.0","4,268.0","4,016.0","3,963.0","3,623.0","4,090.0","3,839.0","3,862.0","4,129.0","4,480.0","4,555.0","4,712.0","4,761.0","5,532.0","5,694.0","4,445.0","4,752.0","5,126.0","5,190.0","5,463.0","5,746.0","5,691.0","5,219.0","4,436.0","4,848.0","5,300.0","5,148.0","4,715.0"
"199","172","    Private enterprises","W539RC1","4,845.0","6,215.0","7,142.0","7,390.0","6,684.0","8,004.0","13,982.0","11,318.0","11,467.0","12,350.0","11,635.0","12,758.0","13,732.0","25,345.0","31,308.0","26,027.0","26,262.0","26,614.0","26,641.0","26,729.0","25,299.0","24,984.0","22,955.0","23,981.0","25,772.0","26,252.0","27,698.0","30,122.0","33,684.0","34,632.0","35,429.0","36,855.0","38,398.0","40,676.0","42,965.0","43,556.0","45,136.0","46,189.0","49,518.0","43,230.0","32,445.0","29,286.0","23,173.0","23,315.0","22,379.0"
"200","173","    Rest of the world \2\","W540RC1","384.0","486.0","510.0","571.0","640.0","953.0","1,586.0","1,201.0","1,217.0","1,157.0","960.0","776.0","478.0","1,491.0","3,510.0","3,155.0","5,917.0","5,442.0","4,728.0","4,773.0","4,677.0","4,107.0","3,956.0","4,946.0","6,164.0","7,254.0","7,093.0","6,226.0","6,070.0","5,358.0","4,744.0","4,864.0","3,872.0","3,750.0","3,836.0","4,127.0","4,512.0","4,673.0","4,710.0","5,577.0","5,728.0","5,776.0","6,353.0","5,692.0","4,680.0"
"201","174","  Borrower services","W541RC1","7,769.0","7,146.0","5,549.0","6,368.0","11,172.0","13,597.0","3,653.0","11,202.0","14,621.0","22,449.0","34,647.0","43,613.0","53,585.0","37,416.0","15,598.0","31,648.0","21,695.0","18,421.0","19,407.0","23,468.0","28,815.0","31,424.0","30,388.0","29,776.0","31,053.0","35,385.0","38,384.0","44,471.0","52,527.0","61,005.0","69,836.0","81,833.0","84,048.0","82,100.0","84,546.0","89,155.0","102,151.0","122,700.0","143,492.0","139,107.0","122,069.0","123,179.0","120,660.0","133,797.0","150,303.0"
"202","175","    Persons","W542RC1","1,723.0","1,570.0","1,290.0","1,509.0","2,622.0","3,048.0","844.0","2,739.0","3,646.0","5,579.0","8,333.0","10,082.0","11,576.0","7,905.0","3,278.0","6,664.0","3,340.0","3,002.0","2,916.0","3,369.0","4,225.0","4,415.0","4,361.0","4,170.0","4,530.0","5,461.0","6,342.0","7,577.0","8,598.0","9,139.0","9,711.0","10,708.0","10,690.0","10,312.0","10,387.0","11,225.0","12,047.0","13,984.0","15,961.0","14,790.0","13,355.0","19,057.0","17,867.0","20,035.0","23,025.0"
"203","176","    Government","W543RC1","462.0","303.0","0.0","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","103.0","102.0","106.0","124.0","158.0","177.0","193.0","203.0","220.0","232.0","223.0","241.0","271.0","311.0","355.0","385.0","393.0","367.0","372.0","409.0","481.0","605.0","777.0","828.0","886.0","953.0","1,119.0","1,457.0","1,940.0"
"204","177","    Private enterprises","W544RC1","5,425.0","5,137.0","4,152.0","4,679.0","8,251.0","10,115.0","2,678.0","7,968.0","10,309.0","15,710.0","24,189.0","30,822.0","38,391.0","28,083.0","11,782.0","24,071.0","17,976.0","15,104.0","16,204.0","19,798.0","24,226.0","26,638.0","25,629.0","25,156.0","26,037.0","29,402.0","31,477.0","36,147.0","43,000.0","50,715.0","58,785.0","69,583.0","71,791.0","70,300.0","72,731.0","76,518.0","88,455.0","106,559.0","125,130.0","121,731.0","106,313.0","101,579.0","98,751.0","108,526.0","120,675.0"
"205","178","      Of which: Owner-occupied housing","W546RC1","795.0","716.0","578.0","674.0","1,170.0","1,414.0","388.0","1,246.0","1,716.0","2,784.0","4,530.0","5,878.0","7,141.0","4,950.0","2,000.0","3,885.0","5,670.0","4,797.0","4,610.0","5,560.0","7,290.0","8,183.0","8,148.0","8,040.0","8,527.0","9,548.0","10,684.0","12,617.0","14,918.0","16,990.0","19,448.0","23,259.0","23,802.0","24,242.0","27,091.0","29,841.0","35,945.0","43,529.0","48,927.0","42,086.0","36,511.0","35,327.0","33,104.0","34,733.0","36,870.0"
"206","179","    Rest of the world \3\","W548RC1","159.0","136.0","107.0","147.0","299.0","434.0","131.0","495.0","666.0","1,160.0","2,125.0","2,709.0","3,618.0","1,428.0","538.0","913.0","276.0","213.0","181.0","177.0","206.0","194.0","205.0","247.0","266.0","290.0","342.0","506.0","658.0","840.0","985.0","1,157.0","1,174.0","1,121.0","1,056.0","1,003.0","1,168.0","1,552.0","1,624.0","1,758.0","1,515.0","1,590.0","2,923.0","3,779.0","4,663.0"
"207","180","Premium supplements for property and casualty insurance (181+182+183+185-186)","Y524RC1","897.0","1,056.0","1,386.0","1,539.0","1,633.0","1,796.0","2,158.0","2,657.0","3,433.0","3,970.0","4,456.0","5,102.0","5,782.0","6,514.0","7,632.0","9,118.0","12,230.0","17,185.0","19,159.0","19,735.0","20,561.0","21,796.0","22,695.0","23,204.0","25,870.0","27,309.0","26,835.0","27,563.0","27,647.0","28,166.0","28,638.0","30,064.0","31,083.0","32,996.0","34,478.0","33,771.0","31,963.0","32,804.0","32,234.0","33,477.0","27,472.0","24,013.0","25,679.0","27,396.0","28,763.0"
"208","181","  Persons and nonprofit institutions serving households","W549RC1","453.0","530.0","667.0","737.0","811.0","889.0","1,058.0","1,292.0","1,672.0","1,937.0","2,223.0","2,587.0","2,970.0","3,375.0","4,046.0","4,811.0","5,970.0","7,503.0","8,717.0","9,430.0","10,167.0","10,850.0","11,309.0","11,593.0","12,647.0","12,777.0","12,410.0","12,870.0","12,790.0","13,170.0","12,894.0","14,071.0","14,278.0","13,419.0","13,510.0","12,824.0","12,803.0","12,515.0","12,322.0","11,582.0","9,521.0","7,528.0","8,031.0","8,039.0","8,407.0"
"209","182","  Government","W550RC1","30.0","33.0","37.0","37.0","34.0","31.0","32.0","31.0","35.0","41.0","48.0","57.0","69.0","80.0","94.0","113.0","167.0","249.0","282.0","251.0","233.0","208.0","188.0","165.0","188.0","212.0","213.0","213.0","216.0","219.0","223.0","226.0","233.0","250.0","265.0","256.0","263.0","271.0","272.0","267.0","192.0","184.0","191.0","204.0","221.0"
"210","183","  Private enterprises","W551RC1","414.0","493.0","682.0","765.0","788.0","875.0","1,068.0","1,334.0","1,727.0","1,992.0","2,185.0","2,458.0","2,743.0","3,059.0","3,492.0","4,194.0","6,094.0","9,794.0","10,659.0","10,530.0","10,854.0","11,458.0","12,081.0","12,352.0","14,063.0","15,507.0","15,404.0","15,550.0","15,786.0","16,500.0","17,574.0","18,309.0","20,475.0","23,539.0","25,000.0","25,622.0","21,935.0","25,384.0","25,964.0","29,764.0","25,907.0","23,014.0","23,471.0","25,613.0","27,017.0"
"211","184","    Of which: Owner-occupied housing","W553RC1","57.0","66.0","84.0","94.0","97.0","107.0","127.0","140.0","161.0","182.0","203.0","232.0","266.0","307.0","349.0","392.0","443.0","515.0","588.0","622.0","647.0","695.0","740.0","795.0","890.0","959.0","965.0","1,017.0","1,040.0","1,086.0","1,113.0","1,140.0","1,178.0","1,225.0","1,290.0","1,284.0","1,301.0","1,377.0","1,359.0","1,403.0","1,228.0","1,203.0","1,295.0","1,306.0","1,331.0"
"212","185","  To the rest of the world (exports)","W554RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","321.0","343.0","307.0","305.0","340.0","361.0","428.0","488.0","631.0","662.0","725.0","763.0","937.0","970.0","1,145.0","1,008.0","1,353.0","1,747.0","2,039.0","1,398.0","2,080.0","1,978.0","2,237.0","2,161.0","1,976.0","2,213.0","2,908.0","2,932.0"
"213","186","  From the rest of the world (imports)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","682.0","842.0","782.0","999.0","1,061.0","1,243.0","1,335.0","1,516.0","1,819.0","1,854.0","1,795.0","1,908.0","2,660.0","3,023.0","3,687.0","4,911.0","5,565.0","6,044.0","6,970.0","4,436.0","7,446.0","8,302.0","10,373.0","10,309.0","8,689.0","8,227.0","9,368.0","9,814.0"
"214",NA,"Defined benefit and defined contribution pension plans:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","187","  Output","Y204RC1","598.0","650.0","720.0","793.0","854.0","911.0","903.0","1,041.0","1,112.0","1,276.0","1,475.0","1,800.0","2,053.0","2,552.0","2,865.0","3,421.0","4,230.0","4,705.0","4,773.0","5,136.0","5,716.0","6,147.0","6,793.0","7,157.0","7,984.0","8,684.0","9,049.0","11,036.0","12,671.0","14,088.0","13,515.0","15,469.0","16,754.0","16,947.0","17,083.0","19,155.0","20,794.0","24,377.0","26,665.0","23,432.0","21,284.0","24,214.0","25,129.0","26,017.0","27,396.0"
"216","188","  Imputed employer contributions","Y604RC1","8,366.0","7,849.0","8,040.0","8,401.0","3,677.0","-101.0","837.0","-8,348.0","-11,830.0","-15,581.0","-17,660.0","-21,752.0","-24,831.0","-25,883.0","-22,204.0","-28,567.0","-23,369.0","-14,470.0","-11,861.0","-4,618.0","10,456.0","15,571.0","12,265.0","28,190.0","23,400.0","19,598.0","19,720.0","30,628.0","42,285.0","48,888.0","63,189.0","67,803.0","64,286.0","31,716.0","-878.0","36,951.0","36,130.0","34,873.0","39,211.0","-5,794.0","-22,876.0","-30,123.0","-51,533.0","-53,475.0","-50,621.0"
"217","189","    Corporate business","Y240RC1","-1,150.0","-2,216.0","-3,632.0","-4,392.0","-7,830.0","-10,165.0","-7,091.0","-12,459.0","-13,116.0","-17,181.0","-17,561.0","-18,071.0","-19,388.0","-18,750.0","-14,118.0","-12,862.0","-6,582.0","2,887.0","7,723.0","12,682.0","20,545.0","23,242.0","18,091.0","23,506.0","20,030.0","15,441.0","13,793.0","27,281.0","36,105.0","35,031.0","42,964.0","40,013.0","28,719.0","-5,388.0","-36,802.0","-10,111.0","-6,285.0","-2,191.0","23,288.0","-15,326.0","-25,346.0","-44,869.0","-54,939.0","-49,804.0","-39,448.0"
"218","190","    General government","Y670RC1","8,616.0","8,968.0","10,299.0","11,253.0","9,862.0","8,511.0","6,945.0","3,357.0","857.0","1,170.0","-199.0","-3,349.0","-4,759.0","-6,196.0","-6,914.0","-14,826.0","-15,677.0","-15,904.0","-17,141.0","-14,454.0","-7,910.0","-5,561.0","-3,140.0","6,878.0","6,057.0","7,012.0","9,021.0","6,566.0","9,533.0","16,822.0","22,515.0","29,543.0","36,811.0","37,999.0","33,511.0","44,627.0","40,019.0","35,229.0","14,019.0","7,519.0","1,234.0","11,039.0","-9,197.0","-16,214.0","-23,306.0"
"219","191","    Government enterprises","Y671RC1","900.0","1,097.0","1,373.0","1,540.0","1,645.0","1,552.0","983.0","755.0","429.0","430.0","100.0","-333.0","-684.0","-937.0","-1,172.0","-880.0","-1,110.0","-1,453.0","-2,443.0","-2,846.0","-2,179.0","-2,110.0","-2,686.0","-2,195.0","-2,687.0","-2,855.0","-3,095.0","-3,219.0","-3,353.0","-2,965.0","-2,289.0","-1,753.0","-1,244.0","-894.0","2,413.0","2,435.0","2,395.0","1,836.0","1,904.0","2,013.0","1,236.0","3,705.0","12,603.0","12,544.0","12,133.0"
"220","192","  Imputed interest on plans' claims on employers","Y609RC1","14,555.0","19,150.0","21,363.0","23,687.0","25,975.0","29,001.0","33,111.0","34,165.0","38,115.0","43,204.0","43,630.0","47,713.0","51,079.0","53,077.0","55,162.0","57,697.0","49,619.0","53,283.0","58,666.0","62,816.0","63,641.0","67,472.0","65,455.0","73,272.0","71,423.0","70,243.0","67,652.0","57,511.0","48,732.0","37,415.0","29,183.0","30,727.0","62,106.0","92,824.0","106,979.0","107,883.0","104,609.0","102,560.0","101,526.0","146,503.0","199,066.0","194,850.0","195,175.0","210,473.0","195,902.0"
"221","193","    Corporate business","Y245RC1","736.0","1,187.0","1,190.0","1,237.0","1,794.0","2,414.0","3,901.0","4,005.0","4,453.0","3,323.0","1,624.0","3,650.0","5,097.0","5,126.0","5,569.0","7,972.0","7.0","3,272.0","9,224.0","13,401.0","8,436.0","14,268.0","7,961.0","8,838.0","5,632.0","4,484.0","-3,216.0","-6,956.0","-13,648.0","-14,610.0","-19,137.0","-9,179.0","9,494.0","22,908.0","4,186.0","4,120.0","500.0","-7,010.0","-3,677.0","41,510.0","28,807.0","24,132.0","27,693.0","23,840.0","11,210.0"
"222","194","    Government","Y672RC1","13,819.0","17,963.0","20,173.0","22,450.0","24,181.0","26,587.0","29,210.0","30,160.0","33,662.0","39,881.0","42,006.0","44,063.0","45,982.0","47,951.0","49,593.0","49,725.0","49,612.0","50,011.0","49,442.0","49,415.0","55,205.0","53,204.0","57,494.0","64,434.0","65,791.0","65,759.0","70,868.0","64,467.0","62,380.0","52,025.0","48,320.0","39,906.0","52,612.0","69,916.0","102,793.0","103,763.0","104,109.0","109,570.0","105,203.0","104,993.0","170,259.0","170,718.0","167,482.0","186,633.0","184,692.0"
"223","195","  Imputed interest payments to persons","Y233RC1","19,075.0","24,528.0","27,566.0","30,839.0","33,391.0","37,489.0","42,774.0","46,366.0","51,284.0","60,164.0","68,130.0","79,263.0","92,481.0","109,064.0","121,452.0","138,244.0","144,023.0","158,333.0","172,321.0","182,140.0","196,578.0","210,398.0","216,330.0","220,870.0","218,460.0","228,268.0","240,109.0","238,071.0","243,896.0","236,396.0","234,527.0","233,919.0","248,949.0","270,293.0","280,855.0","279,790.0","278,975.0","284,943.0","296,044.0","335,403.0","371,318.0","360,880.0","366,219.0","375,602.0","360,891.0"
"224","196","  Imputed dividend payments to persons","Y234RC1","2,037.0","2,351.0","2,662.0","2,961.0","3,463.0","4,220.0","4,673.0","5,259.0","6,630.0","8,281.0","9,943.0","10,932.0","13,010.0","15,361.0","17,310.0","19,678.0","22,274.0","23,232.0","24,992.0","25,950.0","29,441.0","32,716.0","36,223.0","39,593.0","42,554.0","46,375.0","50,567.0","55,679.0","59,294.0","59,677.0","60,474.0","60,033.0","60,019.0","60,992.0","64,878.0","77,400.0","90,710.0","105,559.0","121,936.0","129,725.0","118,043.0","115,574.0","116,406.0","127,658.0","140,687.0"
"225","197","  Imputed household contributions and contribution supplements (-187+188+195+196)","Y673RC1","28,880.0","34,078.0","37,548.0","41,408.0","39,677.0","40,697.0","47,381.0","42,236.0","44,972.0","51,588.0","58,938.0","66,643.0","78,607.0","95,990.0","113,693.0","125,934.0","138,698.0","162,390.0","180,679.0","198,336.0","230,759.0","252,538.0","258,025.0","281,496.0","276,430.0","285,557.0","301,347.0","313,342.0","332,804.0","330,873.0","344,675.0","346,286.0","356,500.0","346,054.0","327,772.0","374,986.0","385,021.0","400,998.0","430,526.0","435,902.0","445,201.0","422,117.0","405,963.0","423,768.0","423,561.0"
"226","198","  Net change in benefit entitlements for defined benefit pension plans","Y632RC1","35,873.0","41,870.0","47,319.0","51,323.0","50,498.0","53,867.0","61,186.0","58,970.0","64,899.0","71,253.0","75,642.0","78,758.0","82,360.0","86,037.0","93,234.0","134,440.0","131,241.0","130,308.0","139,821.0","152,668.0","170,142.0","181,595.0","181,951.0","199,444.0","190,959.0","194,736.0","197,739.0","181,373.0","184,378.0","165,645.0","154,483.0","139,517.0","153,318.0","169,457.0","191,201.0","201,166.0","200,533.0","186,805.0","187,098.0","211,914.0","231,420.0","221,651.0","207,151.0","176,627.0","140,949.0"
"227","199","Farm products consumed on farms","A2051C1","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","399.0","386.0","313.0","292.0","289.0","277.0","246.0","254.0","214.0","219.0","174.0","194.0","166.0","146.0","125.0","118.0","106.0","103.0","111.0","155.0","159.0","175.0","152.0","162.0","145.0","155.0","160.0","156.0","187.0"
"228","200","  Output","B1008C1","731.0","776.0","744.0","889.0","1,115.0","1,190.0","1,129.0","1,185.0","1,161.0","1,215.0","1,346.0","1,233.0","1,214.0","1,129.0","1,049.0","1,017.0","926.0","896.0","743.0","732.0","672.0","640.0","607.0","575.0","543.0","511.0","479.0","447.0","414.0","382.0","350.0","318.0","286.0","281.0","275.0","340.0","384.0","465.0","403.0","420.0","394.0","395.0","373.0","391.0","415.0"
"229","201","  Less: Intermediate inputs","B1161C1","394.0","421.0","404.0","473.0","544.0","618.0","583.0","655.0","653.0","691.0","770.0","773.0","697.0","665.0","686.0","596.0","527.0","510.0","430.0","440.0","383.0","363.0","361.0","321.0","329.0","292.0","305.0","253.0","248.0","236.0","225.0","200.0","180.0","178.0","164.0","185.0","225.0","290.0","251.0","258.0","249.0","240.0","213.0","235.0","228.0"
"230","202","Employment-related imputations","A2099C1","15,220.0","17,620.0","19,317.0","21,904.0","24,140.0","27,855.0","33,472.0","40,677.0","47,662.0","55,669.0","63,186.0","72,683.0","84,245.0","95,901.0","105,035.0","113,876.0","124,241.0","132,104.0","140,863.0","157,785.0","175,087.0","194,541.0","210,836.0","235,731.0","255,083.0","266,850.0","264,060.0","267,337.0","271,445.0","292,453.0","319,004.0","354,748.0","385,735.0","411,577.0","448,265.0","482,707.0","519,694.0","534,471.0","557,365.0","575,621.0","588,665.0","597,192.0","622,681.0","637,087.0","663,089.0"
"231","203","  Food furnished to employees, including military and domestic service \4\","DFOORC1","2,053.0","2,065.0","1,988.0","2,010.0","2,172.0","2,722.0","3,168.0","3,609.0","3,749.0","4,271.0","4,928.0","5,537.0","6,171.0","6,547.0","6,426.0","6,383.0","6,228.0","5,978.0","5,742.0","6,073.0","6,456.0","6,770.0","6,929.0","7,086.0","7,310.0","7,519.0","7,779.0","7,986.0","8,211.0","8,423.0","8,705.0","8,928.0","9,135.0","9,470.0","10,226.0","10,876.0","12,135.0","13,922.0","14,727.0","15,012.0","15,599.0","15,305.0","16,778.0","17,136.0","17,372.0"
"232","204","  Standard clothing issued to military personnel \4\","DMICRC1","174.0","161.0","118.0","70.0","87.0","97.0","114.0","119.0","121.0","117.0","145.0","158.0","140.0","156.0","178.0","164.0","140.0","153.0","155.0","161.0","171.0","151.0","175.0","267.0","286.0","286.0","287.0","287.0","315.0","308.0","291.0","322.0","343.0","379.0","471.0","333.0","352.0","393.0","428.0","425.0","451.0","403.0","365.0","352.0","390.0"
"233","205","  Employees' lodging \4\","A2641C1","248.0","251.0","258.0","255.0","257.0","268.0","270.0","277.0","293.0","312.0","326.0","342.0","353.0","341.0","342.0","344.0","337.0","330.0","530.0","562.0","563.0","531.0","568.0","521.0","462.0","468.0","600.0","664.0","605.0","597.0","632.0","749.0","713.0","580.0","567.0","540.0","567.0","492.0","431.0","804.0","764.0","693.0","699.0","552.0","749.0"
"234","206","  Employer contributions for health and life insurance \5\","B4922C1","12,334.0","14,538.0","16,125.0","18,670.0","20,843.0","23,858.0","28,566.0","35,156.0","42,106.0","49,769.0","56,473.0","65,151.0","76,001.0","87,329.0","96,367.0","105,243.0","115,632.0","123,564.0","132,209.0","148,487.0","165,232.0","184,095.0","199,802.0","223,672.0","242,855.0","255,089.0","252,313.0","255,444.0","259,434.0","280,232.0","306,409.0","341,562.0","372,044.0","397,313.0","432,432.0","465,844.0","501,026.0","513,333.0","535,287.0","552,381.0","563,731.0","571,664.0","595,473.0","609,620.0","635,965.0"
"235","207","  Contributions for government social insurance for federal government employees for certain programs \6\","A1676C1","411.0","605.0","828.0","899.0","781.0","910.0","1,354.0","1,516.0","1,393.0","1,200.0","1,314.0","1,495.0","1,580.0","1,528.0","1,722.0","1,742.0","1,904.0","2,079.0","2,227.0","2,502.0","2,665.0","2,994.0","3,362.0","4,185.0","4,170.0","3,488.0","3,081.0","2,956.0","2,880.0","2,893.0","2,967.0","3,187.0","3,500.0","3,835.0","4,569.0","5,114.0","5,614.0","6,331.0","6,492.0","6,999.0","8,120.0","9,127.0","9,366.0","9,427.0","8,613.0"
"236","208","Private investment-related imputations and reclassifications","A2087C1","36,805.0","35,764.0","46,678.0","57,856.0","64,351.0","59,186.0","61,270.0","80,427.0","106,017.0","122,639.0","126,077.0","112,505.0","112,807.0","106,495.0","147,338.0","171,822.0","177,396.0","205,522.0","224,506.0","237,341.0","239,318.0","228,621.0","220,681.0","253,937.0","277,286.0","311,932.0","304,001.0","338,058.0","361,994.0","411,938.0","448,201.0","475,919.0","533,017.0","578,256.0","651,337.0","763,654.0","862,990.0","857,003.0","731,149.0","573,588.0","462,853.0","448,907.0","447,816.0","498,120.0","563,297.0"
