"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"200","174","  Employer contributions for health and life insurance \6\","B4922C1","12,331.0","14,537.0","16,123.0","18,666.0","20,826.0","23,832.0","28,554.0","35,131.0","42,078.0","49,737.0","56,444.0","65,142.0","76,031.0","87,276.0","96,333.0","105,179.0","115,558.0","123,472.0","132,320.0","148,725.0","165,271.0","184,126.0","199,824.0","223,690.0","242,871.0","255,096.0","252,292.0","255,443.0","259,463.0","280,251.0","311,791.0","348,429.0","378,542.0","404,390.0","442,108.0","476,463.0","511,677.0","523,771.0","544,918.0","559,711.0","569,809.0","577,867.0","602,315.0"
"201","175","  Contributions for government social insurance for federal government employees for certain programs \7\","A1676C1","411.0","605.0","828.0","899.0","781.0","910.0","1,354.0","1,516.0","1,393.0","1,201.0","1,311.0","1,491.0","1,578.0","1,528.0","1,719.0","1,739.0","1,901.0","2,075.0","2,223.0","2,501.0","2,667.0","2,994.0","3,359.0","4,183.0","4,161.0","3,484.0","3,081.0","2,953.0","2,879.0","2,890.0","2,965.0","3,185.0","3,497.0","3,829.0","4,211.0","4,511.0","4,641.0","4,982.0","5,011.0","5,374.0","6,452.0","7,340.0","8,506.0"
"202","176","Private investment-related imputations","A2087C1","36,069.0","34,911.0","45,764.0","56,865.0","63,331.0","57,865.0","59,712.0","78,619.0","103,967.0","120,190.0","123,307.0","109,431.0","109,261.0","102,629.0","143,340.0","167,519.0","172,653.0","200,061.0","218,392.0","230,466.0","232,201.0","221,073.0","212,666.0","245,550.0","268,827.0","303,393.0","295,211.0","328,530.0","352,213.0","397,291.0","428,947.0","453,547.0","481,898.0","517,359.0","581,366.0","683,729.0","773,865.0","767,301.0","657,723.0","522,965.0","414,656.0","395,778.0","394,751.0"
"203","177","  Owner-occupied residential structures \8\","B1166C1","28,985.0","27,539.0","37,517.0","46,517.0","52,280.0","47,131.0","49,329.0","66,765.0","89,495.0","104,460.0","106,677.0","92,705.0","91,443.0","81,614.0","119,321.0","141,807.0","146,534.0","171,686.0","186,194.0","196,337.0","194,815.0","180,780.0","171,206.0","201,509.0","226,408.0","259,747.0","249,780.0","280,437.0","291,023.0","328,962.0","359,343.0","378,316.0","402,603.0","435,102.0","494,077.0","589,373.0","676,758.0","664,473.0","535,387.0","390,477.0","290,700.0","285,189.0","282,206.0"
"204","178","  Nonresidential fixed investment by nonprofit institutions serving households \9\","B1167C1","6,669.0","6,965.0","7,723.0","9,753.0","10,261.0","9,927.0","9,446.0","10,255.0","12,179.0","13,168.0","13,956.0","14,845.0","16,277.0","19,560.0","21,526.0","23,149.0","23,462.0","25,188.0","29,199.0","31,319.0","34,789.0","37,640.0","39,305.0","41,041.0","39,619.0","40,483.0","42,850.0","45,298.0","58,294.0","65,626.0","66,503.0","72,569.0","76,582.0","79,336.0","84,309.0","90,799.0","92,963.0","99,343.0","120,229.0","131,989.0","123,949.0","109,950.0","111,984.0"
"205","179","  Margins on owner-built housing","B1173C1","415.0","407.0","524.0","595.0","790.0","807.0","937.0","1,599.0","2,293.0","2,562.0","2,674.0","1,881.0","1,541.0","1,455.0","2,493.0","2,563.0","2,657.0","3,187.0","2,999.0","2,810.0","2,597.0","2,653.0","2,155.0","3,000.0","2,800.0","3,163.0","2,581.0","2,795.0","2,896.0","2,703.0","3,101.0","2,662.0","2,713.0","2,921.0","2,980.0","3,557.0","4,144.0","3,485.0","2,107.0","499.0","7.0","639.0","561.0"
"206","180","Government investment-related imputations","A2018C1","65,769.0","67,717.0","67,218.0","68,964.0","74,664.0","87,847.0","97,962.0","103,498.0","107,124.0","119,862.0","135,335.0","153,262.0","167,001.0","178,550.0","192,934.0","214,065.0","238,541.0","258,868.0","276,270.0","284,427.0","302,793.0","328,666.0","340,394.0","347,770.0","349,942.0","356,743.0","373,821.0","388,750.0","400,503.0","414,737.0","445,866.0","471,145.0","494,532.0","520,765.0","538,543.0","565,790.0","600,705.0","649,734.0","699,679.0","756,791.0","777,328.0","783,725.0","771,165.0"
"207","181","  General government consumption of fixed capital \10\","A265RC1","22,501.0","24,140.0","25,459.0","26,323.0","27,818.0","31,590.0","34,861.0","37,103.0","39,621.0","42,795.0","46,860.0","53,009.0","60,116.0","66,236.0","70,083.0","74,713.0","79,739.0","85,642.0","91,990.0","98,278.0","105,124.0","112,917.0","120,094.0","124,665.0","130,512.0","135,827.0","141,223.0","144,524.0","148,140.0","151,884.0","158,506.0","166,819.0","172,497.0","177,294.0","182,756.0","193,420.0","208,690.0","224,679.0","243,219.0","259,620.0","270,398.0","278,199.0","290,963.0"
"208","182","  Gross government investment \11\","A782RC1","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","456,460.0","497,171.0","506,930.0","505,526.0","480,202.0"
"209",NA,"Interest-related imputations:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","183","  Net interest, domestic (184-191+192-195)","A2104C1","26,849.0","30,532.0","33,904.0","38,374.0","43,411.0","50,827.0","61,905.0","66,196.0","76,123.0","89,586.0","102,363.0","114,859.0","127,563.0","148,344.0","185,116.0","200,083.0","233,679.0","265,036.0","276,674.0","287,759.0","298,310.0","320,066.0","341,302.0","359,997.0","356,260.0","357,445.0","373,375.0","393,504.0","421,272.0","443,768.0","474,510.0","512,007.0","531,487.0","553,843.0","555,342.0","594,528.0","653,796.0","719,537.0","790,689.0","824,239.0","747,606.0","721,821.0","689,046.0"
"211","184","    Interest paid by persons","W562RC1","15,140.0","16,693.0","19,035.0","21,916.0","25,066.0","28,725.0","33,571.0","37,652.0","44,294.0","52,383.0","62,739.0","74,728.0","87,283.0","104,378.0","118,997.0","133,677.0","150,173.0","165,699.0","175,229.0","186,523.0","201,201.0","216,505.0","224,089.0","226,363.0","219,373.0","218,542.0","236,273.0","246,815.0","262,421.0","274,407.0","293,075.0","320,182.0","341,932.0","357,637.0","363,690.0","386,607.0","437,490.0","503,712.0","551,694.0","560,393.0","499,916.0","443,351.0","409,856.0"
"212","185","      Monetary interest paid by persons","A2129C1","16,008.0","17,477.0","19,669.0","22,657.0","26,355.0","30,285.0","33,999.0","39,027.0","46,176.0","55,421.0","67,650.0","81,097.0","95,032.0","109,778.0","121,198.0","138,005.0","153,275.0","169,577.0","181,086.0","194,508.0","211,595.0","226,322.0","232,461.0","234,999.0","231,056.0","232,899.0","253,494.0","263,319.0","279,805.0","292,426.0","311,426.0","343,871.0","364,743.0","382,896.0","398,181.0","424,381.0","485,392.0","563,204.0","606,961.0","603,577.0","557,405.0","514,523.0","481,796.0"
"213","186","        Owner-occupied housing","W498RC1","15,368.0","16,727.0","18,844.0","21,747.0","25,290.0","29,035.0","32,571.0","37,470.0","44,495.0","53,276.0","64,926.0","77,652.0","90,680.0","104,541.0","115,087.0","129,849.0","145,437.0","160,480.0","171,607.0","183,781.0","199,930.0","214,452.0","220,133.0","222,184.0","216,212.0","219,046.0","238,784.0","247,623.0","263,384.0","275,487.0","294,136.0","326,300.0","347,144.0","365,691.0","381,552.0","408,367.0","469,850.0","547,866.0","591,714.0","588,672.0","543,213.0","501,141.0","469,152.0"
"214","187","        Interest paid by nonprofit institutions serving households","W319RC1","640.0","750.0","825.0","910.0","1,065.0","1,250.0","1,428.0","1,557.0","1,681.0","2,145.0","2,724.0","3,445.0","4,352.0","5,237.0","6,111.0","8,156.0","7,838.0","9,097.0","9,479.0","10,727.0","11,665.0","11,870.0","12,328.0","12,815.0","14,844.0","13,853.0","14,710.0","15,696.0","16,421.0","16,939.0","17,290.0","17,571.0","17,599.0","17,205.0","16,629.0","16,014.0","15,542.0","15,338.0","15,247.0","14,905.0","14,192.0","13,382.0","12,644.0"
"215","188","      Imputed interest paid by persons","W556RC1","-868.0","-784.0","-634.0","-741.0","-1,289.0","-1,560.0","-428.0","-1,375.0","-1,882.0","-3,038.0","-4,911.0","-6,369.0","-7,749.0","-5,400.0","-2,201.0","-4,328.0","-3,102.0","-3,878.0","-5,857.0","-7,985.0","-10,394.0","-9,817.0","-8,372.0","-8,636.0","-11,683.0","-14,357.0","-17,221.0","-16,504.0","-17,384.0","-18,019.0","-18,351.0","-23,689.0","-22,811.0","-25,259.0","-34,491.0","-37,774.0","-47,902.0","-59,492.0","-55,267.0","-43,184.0","-57,489.0","-71,172.0","-71,940.0"
"216","189","        Owner-occupied housing (-156)","W307RC1","-795.0","-716.0","-578.0","-674.0","-1,170.0","-1,414.0","-388.0","-1,246.0","-1,716.0","-2,784.0","-4,530.0","-5,878.0","-7,141.0","-4,950.0","-2,000.0","-3,885.0","-2,753.0","-3,401.0","-5,088.0","-6,989.0","-9,133.0","-8,712.0","-7,460.0","-7,761.0","-10,610.0","-13,170.0","-15,918.0","-15,276.0","-16,121.0","-16,726.0","-16,967.0","-21,912.0","-21,038.0","-23,302.0","-32,051.0","-35,147.0","-44,637.0","-55,338.0","-51,451.0","-40,042.0","-53,145.0","-65,948.0","-66,817.0"
"217","190","        Nonprofit institutions serving households (-157)","W309RC1","-73.0","-68.0","-56.0","-67.0","-119.0","-146.0","-40.0","-129.0","-166.0","-254.0","-381.0","-491.0","-608.0","-450.0","-201.0","-443.0","-349.0","-477.0","-769.0","-996.0","-1,261.0","-1,105.0","-912.0","-875.0","-1,073.0","-1,187.0","-1,303.0","-1,228.0","-1,263.0","-1,293.0","-1,384.0","-1,777.0","-1,773.0","-1,957.0","-2,440.0","-2,627.0","-3,265.0","-4,154.0","-3,816.0","-3,142.0","-4,344.0","-5,224.0","-5,123.0"
"218","191","    Less:  Imputed interest received by persons (164)","W553RC1","58.0","67.0","85.0","95.0","99.0","109.0","128.0","142.0","163.0","184.0","205.0","235.0","269.0","311.0","353.0","396.0","443.0","515.0","588.0","622.0","647.0","695.0","740.0","795.0","890.0","959.0","965.0","1,017.0","1,040.0","1,086.0","1,113.0","1,140.0","1,178.0","1,225.0","1,290.0","1,284.0","1,359.0","1,377.0","1,352.0","1,387.0","1,223.0","1,190.0","1,228.0"
"219","192","    Imputed interest paid by private enterprises","W566RC1","9,253.0","13,464.0","17,236.0","18,421.0","14,847.0","17,615.0","40,012.0","30,310.0","30,858.0","29,282.0","18,988.0","11,973.0","3,426.0","35,266.0","85,680.0","65,379.0","90,503.0","98,986.0","86,797.0","72,258.0","52,032.0","74,948.0","109,897.0","126,294.0","111,276.0","104,553.0","91,253.0","111,811.0","127,253.0","135,940.0","151,426.0","141,628.0","154,267.0","164,168.0","128,955.0","142,385.0","107,130.0","59,751.0","122,850.0","203,225.0","99,062.0","75,866.0","55,915.0"
"220","193","      By banks, credit agencies, and investment companies for depositor services and by property and casualty insurance carriers (146+159)","W560RC1","14,678.0","18,601.0","21,388.0","23,100.0","23,098.0","27,730.0","42,690.0","38,278.0","41,167.0","44,992.0","43,177.0","42,795.0","41,817.0","63,349.0","97,462.0","89,450.0","108,128.0","120,700.0","120,372.0","115,658.0","104,214.0","120,441.0","145,389.0","161,071.0","156,454.0","158,573.0","153,150.0","170,073.0","188,483.0","200,775.0","218,308.0","225,034.0","234,091.0","246,428.0","231,347.0","249,930.0","239,295.0","223,897.0","274,559.0","330,104.0","263,332.0","267,283.0","254,345.0"
"221","194","      By private enterprises for borrower services (-154)","W561RC1","-5,425.0","-5,137.0","-4,152.0","-4,679.0","-8,251.0","-10,115.0","-2,678.0","-7,968.0","-10,309.0","-15,710.0","-24,189.0","-30,822.0","-38,391.0","-28,083.0","-11,782.0","-24,071.0","-17,625.0","-21,714.0","-33,575.0","-43,400.0","-52,182.0","-45,493.0","-35,492.0","-34,777.0","-45,178.0","-54,020.0","-61,897.0","-58,262.0","-61,230.0","-64,835.0","-66,882.0","-83,406.0","-79,824.0","-82,260.0","-102,392.0","-107,545.0","-132,165.0","-164,146.0","-151,709.0","-126,879.0","-164,270.0","-191,417.0","-198,430.0"
"222","195","    Less:  Imputed interest received","W563RC1","-2,514.0","-442.0","2,282.0","1,868.0","-3,597.0","-4,596.0","11,550.0","1,624.0","-1,134.0","-8,105.0","-20,841.0","-28,393.0","-37,123.0","-9,011.0","19,208.0","-1,423.0","6,554.0","-866.0","-15,236.0","-29,600.0","-45,724.0","-29,308.0","-8,056.0","-8,135.0","-26,501.0","-35,309.0","-46,814.0","-35,895.0","-32,638.0","-34,507.0","-31,122.0","-51,337.0","-36,466.0","-33,263.0","-63,987.0","-66,820.0","-110,535.0","-157,451.0","-117,497.0","-62,008.0","-149,851.0","-203,794.0","-224,503.0"
"223","196","      By banks for borrower services (-151)","W358RC1","-7,769.0","-7,146.0","-5,549.0","-6,368.0","-11,172.0","-13,597.0","-3,653.0","-11,202.0","-14,621.0","-22,449.0","-34,647.0","-43,613.0","-53,585.0","-37,416.0","-15,598.0","-31,648.0","-26,050.0","-38,576.0","-49,033.0","-61,149.0","-70,455.0","-60,306.0","-46,952.0","-46,936.0","-61,291.0","-72,003.0","-82,993.0","-78,241.0","-80,724.0","-84,329.0","-86,059.0","-105,271.0","-99,179.0","-103,718.0","-129,089.0","-135,785.0","-164,134.0","-200,302.0","-184,219.0","-154,329.0","-205,926.0","-255,231.0","-267,672.0"
"224","197","      By other private enterprises (149+162)","W565RC1","5,255.0","6,704.0","7,831.0","8,236.0","7,575.0","9,001.0","15,203.0","12,826.0","13,487.0","14,344.0","13,806.0","15,220.0","16,462.0","28,405.0","34,806.0","30,225.0","32,604.0","37,710.0","33,797.0","31,549.0","24,731.0","30,998.0","38,896.0","38,801.0","34,790.0","36,694.0","36,179.0","42,346.0","48,086.0","49,822.0","54,937.0","53,934.0","62,713.0","70,455.0","65,102.0","68,965.0","53,599.0","42,851.0","66,722.0","92,321.0","56,075.0","51,437.0","43,169.0"
"225","198","  Personal interest payments","A2109C1","-16,863.0","-18,263.0","-20,325.0","-23,425.0","-27,688.0","-31,773.0","-34,415.0","-40,391.0","-47,940.0","-57,962.0","-71,072.0","-84,810.0","-98,859.0","-112,283.0","-122,275.0","-140,341.0","-155,380.0","-172,235.0","-184,300.0","-197,630.0","-214,343.0","-227,158.0","-232,256.0","-234,026.0","-229,481.0","-231,445.0","-252,033.0","-262,177.0","-277,593.0","-288,837.0","-306,690.0","-335,989.0","-356,693.0","-372,475.0","-381,699.0","-406,292.0","-459,466.0","-529,330.0","-575,051.0","-579,740.0","-526,478.0","-489,313.0","-459,001.0"
"226","199","    Owner-occupied housing (-186+156)","A2020C1","-14,573.0","-16,011.0","-18,266.0","-21,073.0","-24,120.0","-27,621.0","-32,183.0","-36,224.0","-42,779.0","-50,492.0","-60,396.0","-71,774.0","-83,539.0","-99,591.0","-113,087.0","-125,964.0","-142,684.0","-157,079.0","-166,519.0","-176,792.0","-190,797.0","-205,740.0","-212,673.0","-214,423.0","-205,602.0","-205,876.0","-222,866.0","-232,347.0","-247,263.0","-258,761.0","-277,169.0","-304,388.0","-326,106.0","-342,389.0","-349,501.0","-373,220.0","-425,213.0","-492,528.0","-540,263.0","-548,630.0","-490,068.0","-435,193.0","-402,335.0"
"227","200","    Interest paid by nonprofit institutions serving households (-143)","A2021C1","-567.0","-682.0","-769.0","-843.0","-946.0","-1,104.0","-1,388.0","-1,428.0","-1,515.0","-1,891.0","-2,343.0","-2,954.0","-3,744.0","-4,787.0","-5,910.0","-7,713.0","-7,489.0","-8,620.0","-8,710.0","-9,731.0","-10,404.0","-10,765.0","-11,416.0","-11,940.0","-13,771.0","-12,666.0","-13,407.0","-14,468.0","-15,158.0","-15,646.0","-15,906.0","-15,794.0","-15,826.0","-15,248.0","-14,189.0","-13,387.0","-12,277.0","-11,184.0","-11,431.0","-11,763.0","-9,848.0","-8,158.0","-7,521.0"
"228","201","    Borrower services paid by persons (-152)","W308RC1","-1,723.0","-1,570.0","-1,290.0","-1,509.0","-2,622.0","-3,048.0","-844.0","-2,739.0","-3,646.0","-5,579.0","-8,333.0","-10,082.0","-11,576.0","-7,905.0","-3,278.0","-6,664.0","-5,207.0","-6,536.0","-9,071.0","-11,107.0","-13,142.0","-10,653.0","-8,167.0","-7,663.0","-10,108.0","-12,903.0","-15,760.0","-15,362.0","-15,172.0","-14,430.0","-13,615.0","-15,807.0","-14,761.0","-14,838.0","-18,009.0","-19,685.0","-21,976.0","-25,618.0","-23,357.0","-19,347.0","-26,562.0","-45,962.0","-49,145.0"
"229","202","  Personal interest income (147+160-164)","W520RC1","7,567.0","9,484.0","10,661.0","11,774.0","12,470.0","15,216.0","22,522.0","21,040.0","23,024.0","26,717.0","26,358.0","25,244.0","23,716.0","30,789.0","55,427.0","52,854.0","65,736.0","72,997.0","78,227.0","76,800.0","73,209.0","81,599.0","96,165.0","110,937.0","110,984.0","111,403.0","107,510.0","117,518.0","129,349.0","140,667.0","152,412.0","160,833.0","163,370.0","167,856.0","159,782.0","174,565.0","178,003.0","175,241.0","200,532.0","226,967.0","198,444.0","206,636.0","202,400.0"
"230","203","    Net interest, domestic (183)","A2104C1","26,849.0","30,532.0","33,904.0","38,374.0","43,411.0","50,827.0","61,905.0","66,196.0","76,123.0","89,586.0","102,363.0","114,859.0","127,563.0","148,344.0","185,116.0","200,083.0","233,679.0","265,036.0","276,674.0","287,759.0","298,310.0","320,066.0","341,302.0","359,997.0","356,260.0","357,445.0","373,375.0","393,504.0","421,272.0","443,768.0","474,510.0","512,007.0","531,487.0","553,843.0","555,342.0","594,528.0","653,796.0","719,537.0","790,689.0","824,239.0","747,606.0","721,821.0","689,046.0"
"231","204","    Net interest, rest of the world (-150-158-165+166)","W528RC1","-543.0","-622.0","-617.0","-718.0","-939.0","-1,387.0","-1,717.0","-1,696.0","-1,883.0","-2,317.0","-3,085.0","-3,485.0","-4,096.0","-2,919.0","-4,048.0","-4,068.0","-5,012.0","-4,638.0","-4,242.0","-3,772.0","-3,058.0","-3,850.0","-4,957.0","-6,220.0","-6,216.0","-6,145.0","-5,343.0","-5,773.0","-6,235.0","-5,392.0","-4,962.0","-4,592.0","-2,901.0","-2,398.0","-1,552.0","-1,210.0","-3,182.0","-2,017.0","-1,500.0","-2,870.0","-2,729.0","-3,581.0","-5,005.0"
"232","205","    Net imputed interest paid by government (-148-153-161)","A2022C1","-1,876.0","-2,163.0","-2,301.0","-2,457.0","-2,314.0","-2,451.0","-3,251.0","-3,069.0","-3,276.0","-2,590.0","-1,848.0","-1,320.0","-892.0","-2,353.0","-3,366.0","-2,820.0","-7,551.0","-15,166.0","-9,905.0","-9,557.0","-7,700.0","-7,459.0","-7,924.0","-8,814.0","-9,579.0","-8,452.0","-8,489.0","-8,036.0","-8,095.0","-8,872.0","-10,446.0","-10,593.0","-8,523.0","-11,114.0","-12,309.0","-12,461.0","-13,145.0","-12,949.0","-13,606.0","-14,662.0","-19,955.0","-22,291.0","-22,640.0"
"233","206","    Personal interest payments (198)","A2109C1","-16,863.0","-18,263.0","-20,325.0","-23,425.0","-27,688.0","-31,773.0","-34,415.0","-40,391.0","-47,940.0","-57,962.0","-71,072.0","-84,810.0","-98,859.0","-112,283.0","-122,275.0","-140,341.0","-155,380.0","-172,235.0","-184,300.0","-197,630.0","-214,343.0","-227,158.0","-232,256.0","-234,026.0","-229,481.0","-231,445.0","-252,033.0","-262,177.0","-277,593.0","-288,837.0","-306,690.0","-335,989.0","-356,693.0","-372,475.0","-381,699.0","-406,292.0","-459,466.0","-529,330.0","-575,051.0","-579,740.0","-526,478.0","-489,313.0","-459,001.0"
"234",NA,"          Selected aggregates"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","207","Gross domestic product","A191RC1","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,212.0","11,853,254.0","12,622,959.0","13,377,215.0","14,028,675.0","14,291,543.0","13,973,681.0","14,498,922.0","15,075,667.0"
"236","208","  Imputations","A2023C1","105,713.0","116,211.0","126,586.0","137,522.0","149,681.0","168,698.0","192,940.0","211,066.0","234,109.0","265,068.0","295,567.0","333,741.0","375,685.0","417,995.0","471,943.0","506,107.0","558,674.0","608,309.0","647,094.0","696,993.0","742,702.0","804,539.0","864,482.0","934,200.0","988,431.0","1,040,966.0","1,073,328.0","1,119,361.0","1,172,944.0","1,242,240.0","1,342,593.0","1,445,899.0","1,530,303.0","1,598,037.0","1,656,060.0","1,764,782.0","1,887,746.0","1,980,301.0","2,093,329.0","2,230,810.0","2,245,415.0","2,284,928.0","2,343,169.0"
"237","209","    Owner-occupied housing (133-134)","A2024C1","51,521.0","55,324.0","60,994.0","66,175.0","71,656.0","78,415.0","86,122.0","93,240.0","101,958.0","114,766.0","129,575.0","150,446.0","171,652.0","190,417.0","206,239.0","223,707.0","242,970.0","260,225.0","280,299.0","304,731.0","328,257.0","353,910.0","374,519.0","395,052.0","417,417.0","450,063.0","480,182.0","507,609.0","538,715.0","569,726.0","615,530.0","659,732.0","706,486.0","733,176.0","748,458.0","790,886.0","849,050.0","908,310.0","949,996.0","1,023,633.0","1,030,822.0","1,023,143.0","1,038,697.0"
"238","210","    Rental value of nonresidential fixed assets owned and used by nonprofit institutions serving households (142+143+144)","A2050C1","3,958.0","4,465.0","4,992.0","5,556.0","6,281.0","7,277.0","8,552.0","9,253.0","10,104.0","11,393.0","12,926.0","14,902.0","17,062.0","19,298.0","21,296.0","24,091.0","24,797.0","27,022.0","28,492.0","31,006.0","33,552.0","35,957.0","38,660.0","41,054.0","44,622.0","44,981.0","47,063.0","49,200.0","51,663.0","54,865.0","58,399.0","61,992.0","65,542.0","68,468.0","71,282.0","75,041.0","79,003.0","83,372.0","92,661.0","101,144.0","102,858.0","102,347.0","104,774.0"
"239","211","    Financial services furnished without payment (147+148+150+152+153+158)","A2025C1","11,281.0","13,338.0","14,257.0","15,783.0","17,598.0","21,287.0","27,372.0","27,366.0","30,284.0","35,412.0","37,531.0","37,729.0","37,485.0","40,822.0","62,331.0","61,879.0","77,812.0","92,451.0","93,535.0","92,653.0","88,050.0","93,919.0","107,340.0","123,579.0","125,970.0","128,061.0","126,840.0","136,134.0","148,240.0","159,037.0","171,772.0","181,550.0","180,126.0","187,974.0","183,715.0","200,615.0","207,087.0","208,501.0","233,418.0","261,246.0","246,073.0","278,736.0","279,211.0"
"240","212","    Premium supplements for property and casualty insurance (160+161+165-166)","W569RC1","483.0","563.0","705.0","774.0","844.0","921.0","1,090.0","1,323.0","1,707.0","1,978.0","2,271.0","2,644.0","3,039.0","3,455.0","4,140.0","4,924.0","6,137.0","7,391.0","8,499.0","9,204.0","9,706.0","10,336.0","10,615.0","10,850.0","11,807.0","11,801.0","11,227.0","11,573.0","11,651.0","11,410.0","10,776.0","11,415.0","10,607.0","9,457.0","9,227.0","8,590.0","10,578.0","8,701.0","6,929.0","3,987.0","2,840.0","924.0","1,207.0"
"241","213","    Employment-related imputations (170)","A2099C1","15,217.0","17,619.0","19,315.0","21,900.0","24,123.0","27,829.0","33,460.0","40,652.0","47,634.0","55,638.0","63,154.0","72,670.0","84,273.0","95,848.0","104,998.0","113,809.0","124,164.0","132,008.0","140,970.0","158,022.0","175,128.0","194,572.0","210,855.0","235,747.0","255,090.0","266,853.0","264,039.0","267,333.0","271,473.0","292,469.0","324,384.0","361,614.0","392,229.0","418,646.0","457,531.0","492,537.0","529,055.0","543,100.0","564,865.0","580,537.0","592,289.0","600,803.0","627,628.0"
"242","214","    Farm products consumed on farms (167)","A2051C1","337.0","355.0","340.0","416.0","571.0","572.0","546.0","530.0","508.0","524.0","576.0","460.0","517.0","464.0","363.0","421.0","398.0","383.0","310.0","289.0","288.0","275.0","244.0","253.0","213.0","217.0","173.0","193.0","166.0","146.0","125.0","115.0","103.0","101.0","111.0","136.0","139.0","153.0","134.0","144.0","128.0","137.0","128.0"
"243","215","    Margins on owner-built housing (179)","B1173C1","415.0","407.0","524.0","595.0","790.0","807.0","937.0","1,599.0","2,293.0","2,562.0","2,674.0","1,881.0","1,541.0","1,455.0","2,493.0","2,563.0","2,657.0","3,187.0","2,999.0","2,810.0","2,597.0","2,653.0","2,155.0","3,000.0","2,800.0","3,163.0","2,581.0","2,795.0","2,896.0","2,703.0","3,101.0","2,662.0","2,713.0","2,921.0","2,980.0","3,557.0","4,144.0","3,485.0","2,107.0","499.0","7.0","639.0","561.0"
"244","216","    Consumption of general government fixed capital (181)","A265RC1","22,501.0","24,140.0","25,459.0","26,323.0","27,818.0","31,590.0","34,861.0","37,103.0","39,621.0","42,795.0","46,860.0","53,009.0","60,116.0","66,236.0","70,083.0","74,713.0","79,739.0","85,642.0","91,990.0","98,278.0","105,124.0","112,917.0","120,094.0","124,665.0","130,512.0","135,827.0","141,223.0","144,524.0","148,140.0","151,884.0","158,506.0","166,819.0","172,497.0","177,294.0","182,756.0","193,420.0","208,690.0","224,679.0","243,219.0","259,620.0","270,398.0","278,199.0","290,963.0"
"245","217","  Excluding imputations (207-208)","A2026C1","878,718.0","922,115.0","1,000,231.0","1,100,363.0","1,232,588.0","1,330,754.0","1,444,760.0","1,613,517.0","1,796,021.0","2,028,694.0","2,266,661.0","2,454,402.0","2,751,152.0","2,835,199.0","3,062,663.0","3,424,788.0","3,658,796.0","3,851,758.0","4,089,260.0","4,403,429.0","4,739,444.0","4,995,988.0","5,127,612.0","5,408,106.0","5,678,919.0","6,044,194.0","6,341,327.0","6,719,095.0","7,159,418.0","7,551,255.0","8,010,891.0","8,505,583.0","8,755,864.0","9,044,279.0","9,486,152.0","10,088,472.0","10,735,213.0","11,396,914.0","11,935,346.0","12,060,733.0","11,728,266.0","12,213,994.0","12,732,498.0"
"246","218","Personal income","A065RC1","778,327.0","838,579.0","903,097.0","992,638.0","1,110,545.0","1,222,744.0","1,334,861.0","1,474,655.0","1,632,503.0","1,836,727.0","2,059,527.0","2,301,516.0","2,582,276.0","2,766,817.0","2,952,169.0","3,268,868.0","3,496,687.0","3,696,026.0","3,924,366.0","4,231,243.0","4,557,472.0","4,846,723.0","5,031,501.0","5,347,262.0","5,568,148.0","5,874,816.0","6,200,911.0","6,591,578.0","7,000,742.0","7,525,376.0","7,910,833.0","8,559,433.0","8,883,292.0","9,060,097.0","9,378,125.0","9,937,237.0","10,485,882.0","11,268,077.0","11,912,258.0","12,460,157.0","11,866,995.0","12,321,887.0","12,947,274.0"
