"","Table 7#20# Chain-Type Quantity and Price Indexes for Personal C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"175","      Proprietary (s.)","166","B2603G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,7.72,7.93,8.09,8.36,8.73,8.99,9.25,9.84,10.52,11.26,12.16,12.63,13.26,14.06,15.43,17.13,18.77,20.32,22.13,24.51,27.81,31.76,36.28,40.36,43.86,46.65,49.43,52.87,57.8,64.43,71.44,78.69,85.83,91.01,94.32,97.66,100,100.84,101.58,103.28,106.02,109.17
"176","      Government (s.)","167","B2604G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.79,7.72,7.93,8.09,8.35,8.73,8.98,9.25,9.83,10.52,11.25,12.16,12.64,13.27,14.07,15.43,17.13,18.77,20.32,22.13,24.5,27.79,31.77,36.25,40.35,43.84,46.64,49.42,52.86,57.78,64.43,71.44,78.7,85.87,91.02,94.32,97.65,100,100.83,101.58,103.28,106.01,109.14
"177","    Nursing homes (s.)","168","B2605G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.82,13.42,13.76,14.01,14.61,15.2,15.63,16.14,17.16,18.43,19.62,21.23,22.17,23.19,24.46,27.18,29.81,31.94,33.97,37.03,40.6,44.68,49.1,52.83,55.89,58.69,60.99,62.85,65.61,69.05,73.21,78.09,82.23,85.34,88.35,91.36,95.19,100,103.71,107.65,111.34,117.03,123.95
"178","  Health insurance","169","BHINRG",6.3,6.37,5.04,4.32,4.78,5.8,6.03,6.61,7.07,7.17,7.22,7.22,7.19,7.94,8.31,8.09,9,9.65,9.19,8.92,7.55,7.02,5.79,6.48,7.49,8.18,7.75,6.99,7.36,7.45,7.78,8.12,8.76,9.04,8.85,9.05,9.52,10.34,10.94,12.98,12.8,12.46,13.38,15.53,15.92,15.05,14.67,14.64,18.87,23.42,22.71,22.98,26.66,33.78,36.91,41.64,42.53,34.7,30.31,36.96,47.89,57.09,56.69,63.39,80.66,87.45,98.51,100,102.61,105.87,107.15,110.6,116.28
"179","    Medical care and hospitalization (s.) \14\","170","BMINRG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,5.93,6.69,7.06,7.01,7.19,7.59,7.84,7.48,10.85,9.98,10.66,12.44,15.82,15.36,14.29,11.57,12.21,17.97,20.51,21.6,21.41,24.37,30.92,37.62,48.18,49.51,38.45,31.13,40.06,54.77,66.06,69.17,75.06,90.05,89.41,98.43,100,103.85,112.52,116.71,122.7,129.43
"180","    Income loss (s.) \15\","171","BIINRG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.72,79.65,84.23,83.41,76.41,76.66,80.14,90.21,99.69,95.97,111.67,97.66,119.41,132.93,146.11,145.41,192.1,192.9,216.73,296.08,175.72,144.25,176.37,270.25,293.84,287.03,259.84,342.74,270.55,306.18,290.57,326.07,246.34,244.44,148.71,173.93,129.34,100,129.82,152.91,166.49,174.82,179.69
"181","    Workers' compensation (s.) \16\","172","BPWCRG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12,9.54,9.68,10.03,10.28,10.64,11.23,12.86,15.24,15.98,15.14,13.96,10.64,9.81,10.83,9.97,10.02,8.44,8.93,12.52,16.77,20.43,24.14,27.19,18.96,8.64,9.64,6.98,12.47,11.64,12.96,14.57,9.73,16.94,43.1,72.67,96.05,100,94.55,72.48,59.98,51.51,52.6
"182","Personal business","173","B479RG",5.19,5.02,4.5,4.01,3.8,3.94,4.03,4.22,4.41,4.31,4.28,4.38,4.6,4.89,5.24,5.7,6.01,6.51,6.99,7.49,7.83,8.19,8.73,9.12,9.89,10.36,11.04,11.87,12.32,12.65,13.19,13.78,14.14,14.72,14.9,15.53,15.84,16.62,17.04,18,19.75,21.03,21.81,23,24.18,26.83,29.39,29.5,30.73,34.94,38.2,42.67,45.82,49.12,53.78,56.64,61.15,65.76,70.83,73.62,75.48,78.37,83.62,89.27,90.36,92.03,95.85,100,105.81,109.38,111.87,115,115.31
"183","  Brokerage charges and investment counseling (s.)","174","BBRORG",2.87,2.87,2.64,2.29,2.18,2.52,2.29,2.64,2.64,2.64,2.75,2.75,2.87,2.87,4.01,4.13,4.7,5.85,5.39,6.54,6.77,7.34,8.15,8.49,8.83,11.36,13.77,15.49,15.72,18.13,18.62,20.57,21.48,25.63,30.67,30.22,27.92,30.79,29.07,35.27,38.03,37.23,45.61,52.28,48.48,49.86,58.25,62.5,62.73,77.9,81,100.19,110.99,117.07,110.94,103.51,107.32,114.76,112.99,113.14,115.96,115.81,115.07,115.83,111.41,102.33,101.27,100,100.66,96.3,90.27,89.38,86.13
"184","  Bank service charges, trust services, and safe deposit box rental (s.)","175","BBNKRG",2.61,3.4,3.78,4.45,4.2,4.24,4.71,5,5.45,6.1,6.04,6.27,6.27,6.31,6.18,6.22,6.06,6.85,8.09,9.07,9.71,9.21,9.37,9.71,10.04,10.66,11.05,12.49,13.56,14.39,14.77,15.25,15.55,15.78,16.01,16.31,16.31,16.43,16.84,17.37,17.55,18.09,18.62,18.14,17.91,17.67,20.04,21.46,22.39,23.89,25.88,29.37,34.31,39.53,44.82,48.96,52.17,55.61,58.78,62.32,65.72,70.06,75.59,79.81,84.14,89.44,94.64,100,104.93,107.86,111.25,116.32,121.14
"185","  Services furnished without payment by financial intermediaries except life insurance carriers (s.)","176","BIMPRG",4.84,4.46,3.59,3.09,3.02,2.97,3.18,3.33,3.51,3.32,3.18,3.33,3.55,3.78,4.1,4.64,4.87,5.59,6,6.34,6.75,7.29,7.74,8.1,9.7,10.07,11.08,12.24,12.51,12.2,13,13.7,14.06,14.47,13.58,14.68,15.27,16.43,17.05,17.29,20.63,22.39,21.81,22.62,24.22,28.61,31.75,28.83,28.87,35.15,39.25,43.45,44.54,46.1,51.58,54.19,59.4,64.21,71.31,73.67,73.35,74.56,82.04,90.23,89.16,90.69,95.54,100,108.4,113.09,116.07,117.33,114.13
"186","  Expense of handling life insurance and pension plans (s.) \17\","177","BLIFRG",6.45,6.25,5.8,5.09,4.77,5.03,5.09,5.29,5.54,5.35,5.29,5.41,5.61,6.06,6.45,6.83,7.03,7.54,7.86,8.44,8.83,9.28,9.93,10.25,10.76,11.02,11.28,11.79,12.25,12.7,13.3,13.87,14.28,14.76,15.11,15.68,16.07,16.65,17.23,18.23,19.13,20.28,21.18,22.28,23.5,25.22,27.04,29.17,31.85,34.53,37.07,40.14,42.73,45.31,48.75,51.81,56.65,61.55,66,69.94,73.03,77.28,80.32,84.9,88.06,90.67,94.05,100,105.47,111.27,116.88,125.35,129.48
"187","  Legal services (s.)","178","BGALRG",3.11,3.15,3.01,2.84,2.65,2.63,2.63,2.72,2.77,2.72,2.7,2.77,2.86,2.99,3.2,3.72,4.19,3.96,4.45,4.71,4.97,5.2,5.58,6.15,6.62,7,7.5,8.17,8.69,8.99,9.23,9.5,9.7,9.84,10.04,10.57,11.18,11.51,12.11,12.57,13.65,15.12,16.39,17.99,19.67,21.28,22.75,24.29,25.98,27.78,30.15,34.16,38.73,43.9,49.98,54.61,58.19,62.04,66.97,69.57,73.59,78.87,83.18,87.38,90.85,93.65,96.62,100,104.07,108.81,114.05,119.99,126.4
"188","  Funeral and burial expenses (s.)","179","BFUNRG",6.73,6.32,5.66,4.95,4.7,4.84,5.13,5.28,5.68,5.72,5.85,5.91,6.46,6.81,7.16,7.84,8.32,8.61,9.28,9.58,9.97,10.08,10.48,10.88,11.17,11.47,11.71,11.94,12.46,13.06,13.43,13.82,14.21,14.59,14.98,15.3,15.49,15.81,16.26,16.9,17.61,18.31,19.02,19.67,20.5,21.92,23.27,24.29,25.36,27.02,29.29,33.25,37.63,42.72,48.51,52.99,56.43,60.14,64.25,66.7,69.6,73.87,78.43,81.99,85.78,89.99,95.32,100,105.19,109.09,112.76,115.99,120.17
"189","  Other (s.) \18\","180","BPBORG",9,8.7,7.93,7.51,7,7.04,7.11,7.24,7.33,7.1,7.08,7.03,7.36,8.01,8.42,8.82,9.05,10.14,11.47,12.38,12.31,12.68,13.81,13.95,14.17,14.41,14.59,15.06,15.54,15.85,16.17,16.33,16.42,16.61,16.84,17.12,17.47,17.84,18.36,19.05,20.06,21.23,22.27,23.14,24.46,27.64,30.11,31.91,34.01,36.29,39.75,45.3,50.45,54.48,57.79,60.59,62.76,65.52,68.42,72.19,75.69,79.25,83.06,86.22,89.13,92.82,96.24,100,103.27,106.93,110.56,114.85,119.9
"190","Transportation","181","A537RG",13.41,12.98,11.84,11.47,11,11.45,11.5,11.63,11.8,11.85,11.6,11.48,12.08,13.31,13.66,13.74,13.82,14.82,16.36,17.83,18.58,18.87,19.71,20.49,20.92,20.91,21.08,21.72,22.8,23.44,24.34,24.5,24.71,25,25.06,25.12,25.46,25.71,26.28,27.02,27.87,29.04,30.63,31.09,32.03,36.38,39.16,42.1,45.16,47.81,54.58,65.12,71.25,71.98,72.94,74.08,75.38,72.89,76.34,78.1,81.72,85.57,88.09,90.35,92.66,94.77,97.5,100,101.19,98.69,100.43,105.79,105.92
"191","  User-operated transportation","182","A538RG",13.37,12.8,11.51,11.25,10.78,11.3,11.31,11.49,11.73,11.77,11.44,11.35,12.06,13.48,13.84,14.12,14.11,15.44,17.19,18.75,19.35,19.52,20.32,21.13,21.53,21.44,21.56,22.22,23.34,23.97,24.88,24.99,25.13,25.37,25.44,25.48,25.82,26.04,26.59,27.3,28.08,29.12,30.66,31.06,32.01,36.56,39.31,42.23,45.33,48.06,55.16,65.41,71.08,71.73,72.61,73.54,74.93,72.54,75.99,77.5,81.05,84.9,87.6,89.88,91.99,94.46,97.28,100,100.93,98.32,100.25,105.63,106.03
"192","    New autos (d.)","183","A136RG",17.92,17.4,16.61,15.58,14.07,14.91,14.67,14.79,15.06,15.82,15.42,15.46,16.61,19.81,21.05,23.66,18.46,21.76,24.68,26.99,29.56,29.76,31.03,33.88,34.16,34.72,31.39,33.05,34.96,36.22,37.82,37.32,37.32,37.18,36.94,36.84,36.05,35.35,35.69,36.72,37.28,38.35,39.94,39.66,39.66,41.85,45.63,48.48,51.02,54.9,59.12,63.73,67.47,70.12,71.86,73.8,76.05,79.33,82.03,83.49,85.08,86.22,89.26,91.29,93.45,96.45,98.45,100,100.08,99.31,98.52,98.54,98.08
"193","    Net purchases of used autos (d.)","184","B137RG",0.25,0.26,0.35,0.44,0.42,0.37,0.28,0.23,0.25,0.33,0.32,0.53,1.11,2.06,2.22,2.36,2.57,5.44,6.67,7.18,5.7,5.42,5.59,4.59,3.53,1.1,6.93,7.09,8.13,8.72,9.82,9.46,10.12,11.5,12.4,13.34,13.76,14.26,14.65,15.61,16.11,16.41,18.06,19.08,20.51,22.26,25.7,29.66,31.96,33.91,35.15,35.27,42.22,46.95,53.71,59.09,59.22,58.92,69.04,69.6,74.72,69.83,70.75,74.71,82.81,88.74,97.7,100,97.48,95.48,96.4,98.33,100.35
"194","    Other motor vehicles (d.)","185","BOAURG",14.96,14.57,13.86,12.99,11.77,12.38,12.21,12.3,12.55,13.15,12.82,12.83,13.88,14.74,15.6,16.45,17.31,18.17,20.38,22.24,24.33,24.54,25.56,27.92,28.21,28.54,25.9,27.21,28.85,29.85,31.14,30.93,30.87,30.84,30.75,30.76,30.25,30,30.41,31.38,32.16,31.99,34.83,35.23,35.79,38.62,42.4,44.86,47.45,50.86,54.68,59.28,63.03,65.44,67.04,69.52,72.31,75.07,76.2,77.23,79.56,82.48,85.99,88.53,91.49,95.12,97.87,100,101.01,100.82,101.67,101.61,101.18
"195","    Tires, tubes, accessories, and other parts (d.)","186","BTBARG",39.9,37.13,31.74,29.23,29.83,30.7,30.95,31.1,32.73,32.09,31.67,29.99,30.42,34.86,35.89,38.4,38.46,39.37,40.79,41.6,41.5,42.65,48.18,48.1,47.44,46.41,46.53,47.12,47.53,47.66,47.36,45.91,44.57,44.67,45.39,45.42,47.15,48.13,49.31,51.11,52.77,55.29,57.32,57.71,56.21,60.01,65.44,70.09,74.81,78.29,85.93,95.51,100.35,102.8,99.89,96.09,96.03,95.8,96.6,98.1,100.15,100.58,101.48,102.11,100.42,99.84,100.18,100,99.43,98.55,98.02,98.33,100.8
"196","    Repair, greasing, washing, parking, storage, rental, and leasing (s.)","187","BREPRG",11.42,11.04,10.37,9.01,8.05,8.32,8.61,8.62,8.64,8.64,8.62,8.59,8.97,9.75,9.86,9.99,10.07,10.4,11.26,11.88,12.18,12.45,13.37,13.72,14.45,14.96,15.29,15.88,16.44,16.71,17.07,17.37,17.84,18.06,18.29,18.51,18.88,19.2,20.02,21.08,22.44,24.1,25.84,26.98,28.48,31.36,35.36,37.93,40.78,44.02,48.28,53.23,58.1,62.41,65.11,67.43,69.43,72.07,75.1,77.98,81.13,84.23,87.44,90.09,92.84,95.6,98.09,100,101.42,103.38,105.38,108.31,111.94
"197","    Gasoline and oil (n.d.)","188","B170RG",15.2,14.52,12.28,12.77,12.66,13.29,13.32,13.75,14.08,13.7,13.07,12.85,13.43,14.05,14.19,14.22,14.11,14.46,16.21,18.18,18.57,18.59,18.98,19.36,20.18,20.62,20.83,21.46,22.39,22.17,22.49,23.14,22.91,23.05,23,22.85,23.71,24.26,25.06,25.43,26.27,26.5,26.69,27.04,29.63,40.02,42.71,44.52,47.1,49.15,65.87,91.41,101.71,96.57,93.41,92.01,92.76,72.85,75.65,76.29,83.34,94.83,93.64,93.26,92.32,92.77,94.21,100,100,87.09,94.77,121.14,116.8
"198","    Bridge, tunnel, ferry, and road tolls (s.)","189","BTOLRG",29.35,29.47,29.18,29.47,29.62,29.47,29.62,29.32,29.32,29.2,29.57,29.53,29.26,29.47,29.24,29.22,29.62,29.33,29.39,29.36,29.39,29.36,29.43,29.44,29.4,29.38,29.43,29.35,29.39,29.38,29.38,29.43,29.4,29.46,29.36,29.39,29.45,29.45,29.45,29.39,29.38,29.39,29.39,29.39,30.26,31.49,33.09,34.33,35.61,37.01,40.76,45.27,49.65,53.91,56.94,59.75,62.34,67.77,72.71,74.98,79.55,83.76,85.23,87.17,92.05,96.21,98.65,100,103.49,111.17,113.96,118.61,124.02
"199","    Insurance (s.) \19\","190","BAINRG",5.6,4.23,3.92,4.26,3.92,4.49,5.01,5.18,5.01,4.8,5.21,5.01,4.88,5.16,6.02,5.72,5.37,5.6,6.63,8.08,9,10.24,9.55,11.54,14.14,14.89,13.26,11.33,11.41,14.01,15.9,16.74,17.47,16.76,16.08,15.14,16.75,18.25,17.6,16.62,16.42,19.9,25.42,25.79,23.33,22.12,15.92,22.63,31.67,31.98,31,34.17,32.11,32.01,36.21,35.12,34.28,42.11,50.01,52.81,53.89,58.42,75.16,85.52,89.59,91.94,96.93,100,111.65,113.27,108.04,89.48,93.45
"200","  Purchased local transportation","191","B477RG",5.54,5.59,5.34,5.08,5.02,5.21,5.28,5.33,5.46,5.47,5.56,5.46,5.48,5.6,5.71,5.53,5.66,5.9,6.3,6.81,7.69,8.4,9.2,9.73,10.25,10.89,11.47,11.91,12.35,12.79,13.31,13.62,14.17,14.81,15.16,15.66,15.99,16.73,17.87,18.94,20.18,22.74,24.45,25.64,25.97,26.95,29.05,31.55,33.19,34.68,37.11,43.1,50.97,56.17,57.86,60.88,62.62,66.48,69.09,71.8,73.59,77.68,81.69,85.6,87.82,88.89,91.02,100,102.29,100.8,99.52,100.93,103.96
"201","    Mass transit systems (s.)","192","BSTRRG",5.16,5.26,5.27,5.27,5.27,5.27,5.28,5.26,5.25,5.28,5.28,5.3,5.29,5.38,5.37,5.36,5.34,5.49,5.74,6.43,7.24,7.89,8.8,9.46,10.1,10.95,11.38,11.84,12.28,13.02,13.4,13.82,14.46,15.02,15.37,15.72,16,16.77,17.97,19.08,20.63,24.14,25.75,26.87,26.8,26.45,27.93,31.16,32.15,32.85,34.72,40.1,49.59,55.72,57.8,61.68,63.44,68.54,70.35,71.83,73.71,78.33,81.3,85.83,87.97,89.01,91.39,100,101.53,100.43,99.16,100.56,103.58
"202","    Taxicab (s.)","193","BTAXRG",7.23,7.06,5.4,3.92,3.59,4.64,5.07,5.5,6.39,6.35,7.01,6.17,6.34,6.6,7.34,6.34,7.16,7.77,8.81,8.61,9.86,10.83,11.26,11.34,11.54,11.57,12.64,13.04,13.54,13.27,14.15,14.23,14.63,15.5,15.9,16.82,17.31,18.03,19.11,20.18,20.97,22.24,24.18,25.51,26.32,29,31.99,33.8,36.25,38.8,42.17,49.36,53.96,56.97,57.73,59.1,60.78,62.62,66.61,71.78,73.4,76.29,82.69,85.1,87.51,88.67,90.22,100,103.92,101.64,100.32,101.74,104.81
"203","  Purchased intercity transportation","194","B480RG",20.72,20.43,19.51,17.98,16,15.18,15.53,14.74,13.46,13.82,13.56,12.98,13.09,14.6,15.16,15.54,15.55,15.78,16.92,18.41,19.26,19.52,19.92,20.21,20.3,19.93,19.65,20.09,20.91,22.01,22.9,24.05,24.99,25.88,24.71,24.71,24.91,25.1,25.36,26.04,27.9,30.04,32.43,33.29,34.59,37.56,41.21,44.6,47.57,49.6,53.26,70.38,83.03,82.89,84.95,89,88.37,81.27,85.11,90.93,96.3,99.93,98.89,100.13,106.1,102.04,103.39,100,105.03,104.09,103.6,110.06,104.32
"204","    Railway (s.)","195","BIRRRG",13.15,13.04,12.28,10.91,9.56,8.94,8.98,8.41,8.2,8.7,8.53,8.1,8.14,9.08,9.27,9.55,9.6,10.03,11.04,12.39,13,13.25,13.49,13.46,13.48,13.18,13.01,13.44,14.28,14.7,14.99,15.24,15.71,15.86,15.4,15.44,15.48,15.46,15.54,15.83,16.79,18.23,19.72,19.33,19.11,21.03,23.53,25.72,28.03,30.22,32.99,38.89,46.19,51.88,55.87,58.96,61.1,64.73,68.34,72.04,80.18,83.35,85.66,86.87,88.2,89.09,93.87,100,99.88,102.3,106.09,109.43,114.76
"205","    Bus (s.)","196","BIBURG",14.71,14.32,14.14,14.39,12.42,11.88,13.18,12.44,8.92,8.82,8.47,8.18,8.25,9.35,10.02,10.11,10.14,9.94,10.22,10.44,11.05,11.28,11.65,12.11,12.29,12.05,11.87,12.33,13.27,14.07,15.02,15.75,15.56,15.83,16.1,16.27,16.67,17.12,17.8,18.73,19.71,21.11,23.63,24.96,25.96,28.6,33.09,35.05,39.73,42.8,46.41,52.94,60.4,65.69,71.46,77.64,82.98,91.55,89.97,93.44,96.01,98.32,102.89,104.55,101.28,101.14,98.11,100,100.43,105.89,108.35,113.22,117.09
"206","    Airline (s.)","197","BIAIRG",37.35,24.9,24.9,21.79,21.79,18.35,19.37,19.37,19.37,17.01,18.35,17.24,17.43,19.09,19.92,20.99,19.57,18.33,19.93,22.8,23.19,22.8,23.01,23.28,23.25,22.9,22.58,22.56,22.56,24.12,25.05,26.81,28.55,30.03,27.86,27.73,27.86,27.92,27.96,28.55,30.73,33.09,35.55,36.4,37.91,41.04,44.69,48.47,51.37,53.39,57.29,77.51,91.46,89.36,90.7,94.61,92.88,82.87,87.3,94.13,100.02,103.21,101.11,102.43,108.95,103.44,104.93,100,106.08,104.56,103.18,109.82,102.55
"207","    Other (s.) \20\","198","BTRORG",12.91,12.62,12.69,12.62,12.52,12.79,12.59,12.82,12.82,12.21,12.41,12.31,12.74,13.02,13.39,13.92,13.92,13.92,13.89,14.68,14.17,14.02,14.02,14.02,13.71,13.81,13.71,13.82,13.82,13.82,14.31,14.51,14.95,15.42,15.53,15.7,15.93,16.66,17.35,18.15,19.4,20.99,22.07,22.77,23.81,26.01,28.36,30.72,32.4,33.23,35.3,43.96,54.39,60.1,62.68,66.28,69.02,72.69,74.61,75.1,77.93,84.68,86.81,87.43,94.9,96.49,98.19,100,101.48,101.07,104.42,110.66,111.27
"208","Recreation","199","A539RG",25.06,23.24,20.87,18.9,18.05,18.66,18.93,19.02,19.93,19.8,19.4,19.7,20.08,21.94,23.36,25.79,26.89,28.1,30.93,32.86,33.69,33.7,34.75,35.21,35.71,35.7,35.98,36.55,37.96,39.23,39.29,40.01,40.46,40.79,41.39,41.93,42.14,42.51,43.35,45.07,46.75,48.18,50.08,51.11,52.23,55.07,59.25,61.71,63.89,66.88,70.67,75.74,80.54,84.14,85.88,87.15,88.5,89.18,90.67,92.6,94.87,97.35,99.61,100.27,100.54,100.95,100.73,100,98.47,96.6,94.3,93.34,92.13
"209","  Books and maps (d.)","200","BBKSRG",9.32,9,8.57,8.23,7.81,7.73,7.73,7.81,7.93,8.06,8.13,8.1,8.2,8.23,8.85,9.1,9.44,9.79,10.58,11.57,12.34,12.52,12.81,13.63,14.23,14.38,14.65,14.85,15.91,16.93,17.2,17.29,17.43,17.54,17.79,17.32,17.68,18.27,18.78,19.75,21,22.18,23.51,24.66,25.38,25.87,30.7,34.72,37.95,41.47,44.78,49.2,54.35,60.52,64.95,66.27,71.05,74.28,75.84,78.24,81.1,85.64,88.54,90.72,93.05,94.84,96.46,100,101.18,103.98,102.13,102.01,103.19
"210","  Magazines, newspapers, and sheet music (n.d.)","201","BMAGRG",6.96,6.88,6.83,6.72,6.56,6.58,6.61,6.66,6.69,6.91,6.99,7.04,7.07,7.26,7.93,8.2,8.46,8.79,9.46,10.35,11.04,11.21,11.45,12.12,12.63,12.79,13.03,13.19,14.14,15.05,15.38,15.6,15.88,16.12,16.85,17.49,17.98,18.58,19.19,20.36,21.45,22.84,24.59,25.38,26.07,28.44,32.72,35.28,37.73,40.23,43,47.48,52.27,57.09,60.9,62.63,66.03,68.68,70.69,73.2,75.97,79.52,84.03,87.31,90.05,92.7,96.08,100,101,103.22,105.57,107.49,109.59
"211","  Nondurable toys and sport supplies (n.d.)","202","BTOYRG",25.26,25,23.41,21.42,21.24,22.52,22.76,23.42,24.42,24.11,23.21,24.05,24.05,27.87,28.25,33.83,36.19,36.2,37.35,40.56,40.99,40.74,43.56,43.5,43.69,43.05,43.37,45.09,45.66,46.23,46.22,46.94,47.6,48.29,48.89,49.24,48.69,48.52,49.34,51.24,53.78,55.02,56.21,57.05,57.56,59.86,63.52,65.08,65.97,68.47,71.65,77.29,82.06,85.5,86.4,86.78,86.4,86.86,88.83,92.69,95.61,97.29,98.32,99.45,99.92,100.65,99.45,100,99.08,94.67,89.05,84.18,80.78
"212","  Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (d.)","203","BWHGRG",31.77,31.93,30.36,27,25.63,25.72,25.25,23.94,24.84,25.6,25.1,26,26.26,29.53,27.11,30.97,31.98,33.11,36.63,37.62,37.55,36.33,39.61,39.76,39.56,39.05,38.29,39.04,39.87,41.04,39.91,40.5,40.67,41.03,41.43,41.51,41.28,41.77,42.74,44.15,45.63,45.02,47.17,47.82,49.17,52.68,56.74,58.98,61.28,64.05,67.66,73.39,77.57,80.21,81.23,82.72,83.59,83.81,85.27,88.26,90.69,93.37,96.1,97.36,97.39,99.14,100.02,100,99.4,98.28,96.35,95.19,94.29
"213","  Video and audio goods, including musical instruments, and computer goods (d.)","204","BRADRG",442.09,338.47,238.29,175.06,158.72,171.03,168.33,166.8,170.69,165.04,158.55,160.34,165.12,197.47,199.47,215.3,215.26,217.54,268.24,285.58,301.41,299.57,296.68,272.75,263.99,249.87,237.09,237.77,246.53,251.32,239.31,239,234.42,226.35,222.6,218.7,210.21,199.91,197,197.06,197.55,198.26,199.74,200.61,200.14,204.58,211.68,214.32,214.72,218.31,224.3,228.42,233.25,231.82,220.22,210.18,198.91,185.56,179.54,172.85,167.97,160.28,152.3,141.37,131.23,124.45,114.37,100,86.31,74.39,64.23,57.3,49.94
"214","    Video and audio goods, including musical instruments (d.)","205","BVAMRG",284.71,217.98,153.46,112.74,102.22,110.15,108.41,107.42,109.93,106.29,102.11,103.26,106.34,127.18,128.46,138.66,138.63,140.1,172.75,183.92,194.11,192.93,191.07,175.66,170.02,160.92,152.69,153.13,158.77,161.86,154.12,153.92,150.97,145.78,143.36,140.85,135.38,128.75,126.87,126.91,127.23,127.68,128.64,129.2,128.9,131.75,136.33,138.03,138.28,140.6,144.49,147.64,151.17,151.6,147.97,142.5,135.19,129.31,126.4,122.75,120.33,117.73,115.33,113.07,110.71,107.78,104.29,100,95.9,91.33,85.17,79.23,73.42
"215","    Computers, peripherals, and software (d.)","206","BCPTRG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3368.36,3368.36,3280.6,2210.8,1878.99,1512.4,1071.09,941.25,868.03,654.1,590.82,540.83,502.17,422.04,353.25,268.29,206.91,180.8,144.01,100,67.8,47.08,34.55,28.23,21.58
"216","  Radio and television repair (s.)","207","BRTVRG",52.23,36.16,25.44,17.69,15.72,17.3,16.87,16.87,17.38,16.74,15.72,15.46,16.45,18.98,19.41,20.13,20.29,20.27,23.38,22.94,23.8,25.21,27.27,29.23,31.47,33.75,35.06,36.63,38.47,40.63,41.64,42.25,42.32,42.39,42.55,42.41,41.4,40.48,40.87,41.4,40.94,39.57,40.03,40.1,40.79,41.63,42.93,43.77,44.92,46.91,49.91,53.59,57.81,62.09,65.04,68.42,71.21,73.25,75.32,77.52,78.83,81.44,83.99,88.26,92.8,94.38,96.17,100,102.56,103.56,103.04,103.35,103.8
"217","  Flowers, seeds, and potted plants (n.d.)","208","BFLORG",17.2,16.83,13.52,8.69,9.36,13.47,16.05,14.28,20.01,14.53,11.95,13.09,12.59,16.99,21.3,24.26,24.78,25.55,29.32,34.15,30.95,29.58,30.08,34.15,31.4,29.27,32.08,28.34,29.32,28.93,29.39,30.11,30.82,31.45,31.99,32.75,33.06,33.61,34.46,36.09,37.44,39.1,41.13,42.34,43.41,46.07,49.77,52.13,54.4,57.17,61.79,69.26,76.24,79.77,80.54,80.71,83.26,83.68,87.27,89.32,91.41,95.32,99.25,102.42,99.96,100.18,103.23,100,96.79,98.05,95.85,100.08,103.5
"218","  Admissions to specified spectator amusements","209","B481RG",8.38,8.29,7.95,7.55,6.96,6.9,6.99,7.12,7.34,7.53,7.42,7.58,7.92,8.32,8.98,10.38,10.89,11.23,11.75,11.83,12.07,12.03,12.25,12.41,12.92,13.65,14.32,14.64,15.19,15.74,16.17,17.06,17.78,18.45,19.1,20.29,21.52,22.68,24.02,25.98,27.69,29.75,31.24,32.13,33.33,35.51,38.19,39.68,41.24,43.67,46.87,49.29,51.33,54.14,57.54,61.01,64.03,66.45,69.55,72.74,77.86,82.58,87.15,88.1,89.02,92.06,95.29,100,102.79,104.98,110.54,117.45,122.96
