"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"227","220","      Gambling (91)","DGAMRA3",4.088,4.384,4.647,5.256,5.627,6.24,6.476,6.713,7.042,7.345,7.67,7.956,8.556,9.65,11.067,11.415,11.871,12.787,13.481,14.824,15.341,15.811,18.19,19.735,21.649,23.642,25.944,27.733,29.303,32.843,34.013,36.046,36.247,40.214,46.454,54.128,60.589,65.325,69.332,70.031,76.432,80.151,80.767,84.109,90.209,97.449,100.948,106.074,108.355,104.558,100,98.892,98.954,100.098,102.002
"228","221","        Casino gambling","DCASRA3",1.161,1.317,1.466,1.667,1.868,2.135,2.194,2.445,2.685,2.771,2.975,3.2,3.429,4.024,4.677,5.18,5.674,6.378,6.916,8.367,9.068,9.819,12.622,13.726,14.832,15.492,16.261,16.869,18.021,19.694,20.147,22.926,23.756,28.077,34.997,43.206,49.973,55.355,60.541,61.123,69.697,75.373,75.953,78.95,86.703,95.968,100.225,106.234,109.266,105.651,100,98.367,98.395,99.579,101.94
"229","222","        Lotteries","DLOTRA3",0.032,0.031,0.031,0.031,0.03,0.119,0.096,0.064,0.526,0.958,0.884,1.452,2.376,4.936,7.31,8.035,9.134,10.315,12.269,13.824,14.427,14.626,15.802,19.998,25.91,32.542,41.897,48.253,51.923,60.633,66.546,66.417,65.679,70.015,75.585,82.029,87.919,90.744,90.541,90.506,88.98,85.895,87.461,92.212,94.672,96,98.802,102.31,103.814,100.343,100,100.442,100.65,102.041,103.095
"230","223","        Pari-mutuel net receipts","DPARRA3",83.472,88.106,92.02,103.937,109.61,119.855,124.962,126.328,127.734,131.665,136.494,136.515,142.796,146.145,157.759,153.035,149.378,153.124,150.327,148.41,144.81,141.141,141.353,137.81,134.885,139.135,135.073,136.476,135.378,149.018,139.658,138.182,130.793,125.779,122.013,125.457,128.84,130.701,133.265,140.133,144.731,145.082,141.455,144.296,136.553,134.43,126.514,122.544,113.958,104.853,100,101.232,101.198,100.254,97.524
"231","224","      Other recreational services (81, 94, and part of 92)","DOTRRA3",4.328,4.654,5.072,5.674,6.316,7.363,8.23,9.48,9.997,11.39,12.557,12.292,12.441,14.173,15.079,14.987,15.717,17.346,18.556,19.929,22.68,23.521,25.434,26.729,28.271,31.078,33.269,35.793,39.835,43.868,47.352,50.321,50.664,52.502,56.599,61.457,67.553,73.25,77.239,82.219,86.886,89.213,87.357,88.006,89.985,93.987,98.055,102.276,107.969,108.098,100,103.11,103.771,107.956,108.624
"232","225","        Veterinary and other services for pets","DVETRA3",5.075,5.819,6.663,7.523,8.507,9.972,11.217,12.562,12.383,14.139,15.259,14.46,14.699,15.901,16.899,17.513,18.632,20.441,21.36,22.659,23.947,26.173,28.143,29.082,30.667,32.149,34.231,36.541,40.143,41.587,42.236,43.156,44.395,45.583,49.616,54.887,61.69,68.954,75.242,79.271,81.557,82.47,81.562,82.43,85.53,90.031,94.924,100.778,106.242,105.278,100,101.148,99.115,103.187,107.535
"233","226","        Package tours","DHOLRA3",2.414,2.331,2.561,2.85,2.794,2.996,3.278,4.299,6.097,6.945,7.99,8.551,9.007,10.421,12.285,13.436,13.401,15.005,16.815,17.706,20.613,22.676,24.139,26.644,28.919,29.965,35.415,36.172,39.315,50.311,58.679,68.887,69.051,77.846,82.776,91.275,95.367,101.834,99.802,102.197,107.103,104.591,92.706,86.784,87.465,93.329,95.926,96.887,105.623,112.773,100,108.869,116.546,121.32,108.343
"234","227","        Maintenance and repair of recreational vehicles and sports equipment","DRRERA3",4.591,4.223,3.708,3.971,4.456,5.318,5.819,7.17,8.38,9.455,11.053,11.482,10.98,14.867,14.518,11.092,11.668,12.959,14.298,16.42,22.636,18.91,21.218,22.163,22.902,31.039,30.157,35.332,41.863,45.496,51.747,52.537,50.44,46.143,49.654,49.051,55.747,55.785,60.279,72.432,85.741,100.923,110.654,121.122,120.146,118.483,120.988,122.407,123.646,116.622,100,104.528,109.622,113.367,115.146
"235","228","    Food services and accommodations","DFSARA3",28.715,29.017,29.111,30.156,30.91,32.491,34.813,36.544,36.168,38.414,39.247,40.607,40.564,43.661,45.839,45.419,47.308,50.161,51.502,53.685,55.35,55.375,55.927,56.297,58.147,59.757,60.553,62.303,65.559,69.459,71.378,73.919,73.966,75.85,77.532,78.721,78.862,79.323,81.018,83.132,85.179,89.059,88.893,90.236,93.548,97.314,100.794,104.053,105.373,104.294,100,101.545,105.614,109.403,112.468
"236","229","      Food services","DFSERA3",31.059,31.277,31.33,32.342,32.995,34.658,37.058,38.862,38.229,40.578,41.411,42.843,42.896,45.672,47.867,47.316,49.264,52.129,53.511,55.899,57.604,57.745,58.135,58.769,60.662,61.996,62.588,64.459,67.643,71.846,73.867,76.637,76.636,78.175,80.273,81.28,81.334,81.39,82.473,84.823,86.953,90.787,91.495,92.81,95.909,99.417,102.231,105.141,106.274,104.629,100,101.401,105.528,109.132,111.86
"237","230","        Purchased meals and beverages (102)","DPMBRA3",29.943,30.216,30.196,31.201,31.905,33.618,35.972,37.522,36.752,39.267,40.177,41.814,42.069,44.992,47.251,46.446,48.302,51.088,52.605,54.942,56.593,56.67,57.001,57.628,59.761,61.27,62.045,64.169,67.634,71.933,73.981,76.834,76.852,78.431,80.563,81.572,81.598,81.649,82.763,85.175,87.345,91.268,91.969,93.299,96.4,99.929,102.608,105.303,106.398,104.765,100,101.584,105.658,109.406,112.231
"238","231","          Meals and nonalcoholic beverages","DMABRA3",26.324,26.856,26.956,27.987,28.712,30.489,32.877,34.307,34.25,37.08,38.219,39.822,40.369,43.168,45.187,44.341,46.304,49.199,50.525,52.806,54.21,54.081,54.495,55.475,57.911,59.65,60.659,63.065,66.932,71.298,73.327,75.791,75.905,77.27,80.254,81.942,82.388,82.858,84.354,86.496,88.328,91.944,92.322,93.164,96.324,99.875,102.516,105.21,106.319,104.738,100,102.476,105.948,109.646,112.738
"239","232","            Meals at schools","DMSLRA3",36.404,38.15,40.133,43.696,47.133,51.036,54.769,57.304,58.575,59.57,60.532,58.833,56.671,56.103,57.95,57.135,56.768,57.908,60.32,60.625,59.216,58.664,59.679,60.146,60.834,61.58,62.013,63.673,64.223,66.011,68.519,70.668,71.961,75.08,78.185,81.875,84.546,87.496,90.672,93.667,98.374,101.981,103.443,103.031,103.376,103.151,103.038,102.558,104.459,105.537,100,104.751,107.727,110.188,111.746
"240","233","              Elementary and secondary school lunches","DESLRA3",78.887,81.531,84.617,91.956,97.733,104.379,109.457,112.232,110.385,114.037,117.387,114.564,109.606,109.088,107.219,100.076,90.997,84.12,83.131,83.922,80.073,76.201,75.49,75.127,75.859,76.546,78.207,81.303,84.113,84.633,83.676,84.243,85.059,85.081,88.893,92.479,96.221,100.423,105.38,107.874,111.163,114.545,116.248,114.504,113.815,114.138,114.939,114.305,112.255,108.069,100,93.353,89.348,86.961,83.284
"241","234","              Higher education school lunches","DHSLRA3",13.393,14.652,16.038,17.556,19.726,22.142,25.148,27.553,30.513,30.069,29.736,28.648,28,27.405,31.264,33.876,38.227,43.71,47.964,48.006,47.918,49.164,51.115,52.032,52.696,53.473,53.242,54.123,53.449,55.924,60.309,63.314,64.867,69.663,72.384,76.131,78.222,80.493,82.705,85.971,91.447,95.176,96.507,96.816,97.722,97.2,96.591,96.195,100.236,104.165,100,110.925,117.682,122.768,127.163
"242","235","            Other purchased meals","DOPMRA3",25.84,26.313,26.322,27.23,27.824,29.499,31.822,33.198,33.076,35.997,37.144,38.907,39.586,42.548,44.576,43.728,45.804,48.785,50.058,52.435,53.976,53.867,54.252,55.258,57.778,59.566,60.602,63.045,67.073,71.565,73.57,76.051,76.107,77.387,80.366,81.957,82.296,82.646,84.06,86.161,87.855,91.472,91.799,92.699,95.991,99.721,102.491,105.335,106.406,104.7,100,102.368,105.864,109.621,112.789
"243","236","              Meals at limited service eating places","DMLSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.508,73.57,76.124,78.362,78.172,80.641,84.412,84.911,85.632,84.79,83.458,86.485,87.555,90.952,91.67,92.758,95.982,99.605,102.076,104.067,104.161,103.793,100,103.655,106.477,109.143,114.074
"244","237","              Meals at other eating places","DMOERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.316,69.288,70.84,73.581,73.9,73.939,76.22,79.076,79.03,80.662,85.012,86.091,88.373,92.154,92.025,92.643,95.979,99.871,102.98,106.675,108.767,105.687,100,101.034,105.297,110.204,111.533
"245","238","              Meals at drinking places","DMDPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.925,84.396,78.51,80.543,80.228,81.453,75.871,69.311,68.663,66.717,63.915,69.67,75.383,83.339,86.965,93.599,98.614,99.071,100.211,105.897,107.118,103.195,100,99.757,99.936,104.717,104.975
"246","239","          Alcohol in purchased meals","DAPMRA3",55.387,54.01,53.212,54.121,54.738,56.137,58.409,60.834,55.243,55.787,55.219,57.159,55.465,59.362,63.362,62.821,63.923,65.935,68.923,71.703,75.301,77.054,76.692,74.406,74.015,73.63,72.525,72.408,72.726,76.488,78.672,84.462,83.775,86.889,82.999,79.246,76.343,73.493,71.991,76.251,80.722,86.725,89.592,94.175,96.89,100.274,103.199,105.901,106.912,104.942,100,95.833,103.756,107.821,108.947
"247","240","        Food furnished to employees (including military) (103)","DFOORA3",65.606,64.064,66.441,67.657,66.649,66.711,70.516,80.257,83.936,80.995,79.394,74.334,68.066,66.164,66.272,73.643,78.413,83.668,80.89,84.838,88.182,90.265,92.475,93.273,87.867,83.869,78.845,72.949,67.499,68.707,69.903,70.118,69.528,69.813,70.834,71.764,72.691,72.909,72.987,73.418,74.261,75.255,76.225,77.043,80.095,82.899,90.091,99.913,102.272,100.24,100,95.578,101.332,100.399,100.076
"248","241","          Food supplied to civilians","DCFDRA3",49.433,50.148,51.218,52.155,52.933,53.938,56.954,60.698,59.866,60.842,62.82,63.729,63.94,65.07,65.307,74.146,79.77,86.206,83.437,88.608,93.132,96.466,100.042,102.385,97.159,92.411,87.122,80.54,74.214,76.051,77.407,78.228,77.697,78.337,79.333,80.369,81.613,82.254,82.666,83.371,84.352,85.18,85.971,85.977,88.39,91.313,94.298,97.296,100.606,101.444,100,99.872,101.848,104.332,107.012
"249","242","          Food supplied to military","DMFDRA3",142.93,130.619,139.235,141.787,132.256,127.818,135.396,173.754,198.953,177.311,158.62,125.044,87.812,71.44,70.93,71.301,71.995,71.623,68.799,66.912,64.626,60.737,56.419,49.85,43.58,43.156,39.395,36.769,35.491,33.703,34.133,31.455,30.585,29.177,30.319,30.744,30.157,28.359,26.84,25.964,26.148,27.932,29.764,34.454,40.559,42.79,70.042,112.405,110.224,94.495,100,75.082,98.864,81.622,66.971
"250","243","      Accommodations (104)","DACCRA3",12.682,13.584,13.975,15.295,16.829,17.871,19.722,21.002,22.582,24.177,25.069,25.963,25.163,31.002,33.218,33.847,35.42,38.474,39.596,40.275,41.75,40.869,42.695,41.146,42.773,46.369,48.579,49.569,53.378,55.397,56.695,57.813,58.162,62.255,61.361,63.685,64.359,67.247,72.556,73.292,74.868,78.992,73.885,75.394,79.959,85.234,92.534,97.776,100.142,102.27,100,102.444,106.158,111.108,116.307
"251","244","        Hotels and motels","DHOTRA3",12.355,13.153,13.192,14.354,15.57,16.096,17.472,18.203,19.386,20.823,21.547,22.342,21.212,28.075,30.473,30.809,31.831,34.515,35.823,36.282,37.938,36.63,38.329,35.799,36.896,40.66,43.012,44.009,48.381,50.545,52.05,53.387,53.549,58.136,56.497,59.233,59.951,62.905,69.053,70.092,71.922,76.601,70.237,71.827,77.169,83.571,92.438,98.923,102.148,103.986,100,101.765,105.901,111.712,117.572
"252","245","        Housing at schools","DSCHRA3",16.165,17.675,19.715,21.96,25.164,28.68,32.965,36.928,40.569,43.111,44.916,46.38,47.328,47.971,49.331,51.552,56.164,61.342,61.467,63.401,63.739,65.654,68.18,73.444,78.552,80.553,81.49,82.318,81.856,82.68,82.473,82.063,83.588,84.364,88.028,87.802,88.186,90.593,90.761,89.685,89.73,90.483,92.722,93.772,94.362,94.07,93.807,93.163,91.474,94.961,100,105.112,107.218,108.938,111.721
"253","246","    Financial services and insurance","DIFSRA3",11.762,12.233,12.894,12.874,13.327,14.265,15.208,15.732,16.514,17.365,17.611,18.261,18.929,20.03,21.181,21.693,23.767,25.062,26.624,27.976,28.833,29.199,28.963,31.23,35.72,36.055,39.959,41.819,44.168,45.131,47.565,48.665,52.783,56.5,60.473,61.898,63.987,66.257,69.715,75.856,83.269,91.694,89.849,89.252,89.446,93.015,97.932,100.154,103.28,102.569,100,102.083,105.148,103.764,105.379
"254","247","      Financial services","DFNLRA3",5.335,5.405,5.903,5.666,5.815,6.266,6.794,7.13,7.84,8.223,8.273,8.6,9.325,9.867,10.349,10.552,12.196,13.026,14.024,14.54,14.748,14.693,14.455,16.306,21.135,21.302,24.531,26.472,28.837,28.649,30.415,31.018,33.998,38.204,42.154,45.316,49.06,53.673,57.943,65.338,75.352,85.257,82.204,82.379,82.215,86.213,90.336,93.966,97.91,98.519,100,100.221,102.502,98.815,101.043
"255","248","        Financial services furnished without payment (107)","DIMPRA3",5.711,6.071,6.258,6.352,6.762,7.182,7.36,7.514,7.868,8.625,9.388,10.556,11.6,12.446,13.602,14.094,16.729,17.715,19.278,20.026,20.011,19.246,18.767,21.152,28.115,27.876,32.201,33.537,37.311,37.999,39.849,40.469,44.136,49.835,53.689,57.861,62.805,66.93,70.759,75.803,81.764,85.125,82.123,80.627,79.599,84.567,87.99,87.028,90.439,92.275,100,102.661,107.299,100.51,101.829
"256","249","          Commercial banks","DIMCRA3",7.293,7.735,7.884,7.738,8.285,8.851,9.015,9.291,9.869,11.099,12.267,14.493,16.206,17.34,18.856,18.915,23.799,24.267,26.24,26.243,23.672,19.746,16.339,21.873,35.025,32.423,39.023,36.778,37.753,38.465,41.997,43.384,49.385,61.324,62.818,62.789,67.216,67.59,67.308,71.043,73.793,67.311,63.241,71.081,72.548,74.32,78.059,73.791,67.416,74.148,100,101.254,107.321,103.379,98.323
"257","250","          Other depository institutions and regulated investment companies","DIMNRA3",4.778,5.095,5.358,5.715,6.036,6.347,6.552,6.598,6.776,7.009,7.219,7.194,7.525,8.046,8.636,9.033,9.271,9.882,10.72,11.617,12.988,14.209,15.918,14.448,15.518,16.436,17.799,21.755,28.016,28.687,30.673,32.904,36.582,40.625,44.214,49.708,52.494,57.595,62.271,70.164,79.897,89.031,88.443,83.112,80.6,88.193,91.901,90.911,100.642,100.252,100,104.282,109.554,99.03,104.044
"258","251","          Pension funds","DPENRA3",1.509,1.632,1.657,1.68,1.745,1.888,2.047,2.044,1.995,3.082,5.033,7.267,9.015,10.433,13.972,19.616,26.466,36.279,41.347,45.917,51.177,57.511,62.465,68.17,69.383,77.413,88.75,91.456,87.774,87.883,77.383,61.977,54,43.565,56.746,69.101,86.481,98.228,111.23,106.513,104.541,109.94,100.384,90.594,89.221,91.668,93.106,100.269,104.271,102.414,100,99.809,99.733,100.002,100.722
"259","252","        Financial service charges, fees, and commissions (108)","DOFIRA3",5.716,5.334,6.416,5.638,5.468,6.021,7.112,7.768,9.139,9.041,8.055,7.09,7.449,7.637,7.204,6.969,7.273,8.022,8.309,8.551,9.17,10.228,10.302,11.649,14.221,14.942,17.068,20.133,20.885,19.645,21.409,22.007,24.327,27.127,31.074,33.266,35.863,40.856,45.466,54.937,68.694,85.13,82.033,84.049,84.849,87.747,92.641,101.497,106.035,105.258,100,97.679,97.508,97.047,100.244
"260","253","          Financial service charges and fees","DFEERA3",7.144,7.324,7.487,7.698,7.803,8.396,9.25,10.174,10.964,11.474,12.377,12.929,13.42,14.546,16.264,18.137,17.54,18.225,19.74,20.898,22.486,24.838,27.359,29.472,28.988,31.005,34.018,37.653,39.07,40.426,42.127,42.853,43.819,45.481,47.623,45.984,46.06,47.054,47.125,52.061,58.243,64.827,69.998,76.69,81.289,83.415,89.507,94.789,98.576,96.079,100,92.64,91.262,89.579,88.917
"261","254","          Securities commissions","DEQTRA3",5.927,5.111,6.935,5.479,5.154,5.754,7.099,7.718,9.536,9.152,7.303,5.632,5.967,5.87,4.783,3.905,4.475,5.256,5.197,5.182,5.535,6.231,5.687,6.819,10.458,10.8,12.876,16.146,15.398,12.142,14.238,14.387,17.175,21.323,27.38,30.637,36.827,46.88,55.238,71.642,102.111,145.914,126.766,121.945,110.279,111.588,109.211,114.549,119.554,115.302,100,98.219,97.725,87.268,91.644
"262","255","            Direct commissions","DDCTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.846,7.027,9.048,9.018,11.938,14.414,20.99,25.042,33.53,43.4,51.152,73.68,121.482,187.35,164.887,161.919,137.029,132.58,117.644,113.942,108.706,111.035,100,93.617,94.221,77.634,74.174
"263","256","              Exchange-listed equities","DDCERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.29,199.477,306.617,443.692,455.631,439.04,309.669,248.295,181.637,154.015,137.795,127.016,100,52.554,41.514,37.823,37.222
"264","257","              Other direct commissions","DDCORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.51,43.302,76.226,124.125,93.507,93.981,95.229,104.41,101.957,104.207,101.703,107.205,100,103.287,106.565,86.978,82.928
"265","258","            Indirect commissions","DICTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.122,41.261,44.055,44.302,41.759,51.36,51.984,59.195,63.337,77.118,88.951,92.051,104.541,134.422,111.54,92.543,93.761,102.877,116.314,139.185,145.524,119.731,100,107.039,106.173,102.267,119.742
"266","259","              Over-the-counter equity securities","DICVRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.155,29.335,55.686,103.664,94.901,75.86,78.012,76.964,66.483,76.697,76.717,85.025,100,105.432,103.012,88.609,83.758
"267","260","              Other imputed commissions","DICORA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.662,172.054,147.54,144.382,112.566,94.511,95.469,106.455,123.896,148.708,156.072,124.606,100,107.21,106.479,103.451,122.887
"268","261","            Mutual fund sales charges","DMUTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.947,14.26,15.562,16.557,21.961,29.856,37.081,33.677,33.134,42.242,51.375,61.853,66.88,80.386,69.84,70.122,72.626,79.124,89.34,101.468,125.719,122,100,101.186,98.587,95.163,104.343
"269","262","          Portfolio management and investment advice services","DPMIRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.23,13.524,14.832,16.267,18.673,19.959,23.853,29.767,30.869,36.233,43.462,54.624,66.574,79.673,74.865,74.465,77.919,82.458,89.438,103.095,107.957,110.531,100,101.682,102.576,107.391,115.157
"270","263","          Trust, fiduciary, and custody activities","DTRURA3",5.403,5.59,5.738,5.925,6.03,6.547,7.258,8.004,8.655,9.094,9.854,10.311,10.806,11.723,13.132,14.664,14.199,14.755,15.941,16.962,18.279,20.263,22.374,24.156,23.734,25.322,27.776,30.706,48.571,55.207,55.945,58.802,66.636,72.166,69.401,71.982,73.456,73.641,78.065,81.382,87.558,87.65,89.585,92.166,83.226,87.373,91.152,107.742,115.576,111.797,100,109.376,112.786,108.547,105.646
"271","264","      Insurance","DINSRA3",34.81,36.986,37.852,39.07,40.726,43.36,45.58,46.576,46.87,49.398,50.483,52.22,51.773,54.788,58.398,60.076,61.865,64.227,67.192,71.682,75.257,77.69,77.8,79.72,77.379,78.268,82.024,81.599,81.607,87.478,91.208,93.707,100.374,101.43,104.561,100.472,97.556,93.383,94.534,97.27,98.45,103.45,104.153,102.004,102.903,105.625,112.037,111.572,113.117,109.879,100,105.257,109.657,112.214,112.763
"272","265","        Life insurance (110)","DLIFRA3",48.494,52.425,53.191,53.869,55.907,60.45,65.49,65.347,63.667,66.06,66.923,69.458,66.986,68.88,73.116,73.463,75.948,83.366,85.466,90.726,93.351,97.137,98.029,102.992,98.643,98.843,102.25,95.588,87.092,97.93,108.056,112.003,131.892,129.19,137.554,123.265,118.237,106.517,107.175,103.025,99.86,106.215,100.903,89.02,88.055,100.547,106.172,109.987,111.012,110.979,100,107.19,121.571,123.23,121.083
"273","266","        Net household insurance (111)","DFINRA3",41.682,49.199,54.186,57.703,57.244,54.495,48.146,42.832,42.756,43.521,45.063,48.427,49.888,54.839,61.973,78.181,83.218,79.478,86.003,101.768,109.562,107.012,101.46,96.903,94.08,96.928,96.08,95.086,102.776,109.994,110.112,104.57,99.631,90.547,84.622,85.106,80.066,81.242,73.571,83.902,84.434,84.113,83.738,80.076,83.153,90.152,91.69,88.378,105.514,112.991,100,100.753,102.906,100.897,100.552
"274","267","          Household insurance premiums and premium supplements","DFIPRA3",9.334,10.837,12.134,13.38,14.024,14.609,14.655,14.662,15.425,16.271,17.271,19.08,20.4,22.196,23.93,26.691,28.753,30.573,33.969,38.054,40.455,41.877,42.555,42.875,44.657,47.627,50.361,54.077,55.961,56.838,56.554,58.539,58.991,61.051,63.273,65.549,67.662,69.354,70.471,73.246,75.948,79.224,83.604,90.2,91.136,92.944,94.138,97.835,102.597,102.489,100,99.936,100.62,102.792,104.167
"275","268","          Less: Household insurance normal losses","DFIBRA3",3.248,3.701,4.222,4.836,5.368,6.104,6.856,7.542,8.262,8.955,9.682,10.914,11.989,12.945,13.448,13.554,14.743,16.979,19.237,20.649,21.726,23.577,25.248,26.424,28.879,31.513,34.721,39.179,39.443,38.587,38.21,42.223,44.21,49.472,54.121,56.913,61.549,63.418,68.406,67.586,71.342,76.518,83.666,96.714,96.274,94.744,95.716,103.917,100.723,95.739,100,99.41,99.151,104.01,106.49
"276","269","        Net health insurance (112)","DHINRA3",24.382,25.367,26.2,27.716,29.012,31.045,32.592,34.176,34.318,37.226,38.938,40.995,41.375,44.05,46.469,48.72,51.322,54.424,57.248,60.366,65.805,68.698,67.587,67.187,64.865,66.565,71.846,74.85,80.341,84.086,84.927,87.233,89.327,94.189,95.923,95.718,92.091,90.011,91.581,98.728,102.806,109.719,114.241,118.778,121.544,115.69,123.412,120.316,117.644,110.602,100,109.077,111.255,117.509,120.358
"277","270","          Medical care and hospitalization","DMINRA3",21.257,21.832,22.534,23.828,24.876,26.629,28.061,28.785,28.267,29.366,31.345,32.847,33.844,36.063,38.245,40.587,45.68,48.029,49.147,50.863,54.067,57.938,60.936,62.315,62.672,64.043,67.757,70.095,74.524,77.317,78.346,80.241,82.759,87.305,89.581,90.469,88.655,89.473,92.207,101.929,107.22,114.628,118.251,123.404,129.175,122.454,128.495,122.745,117.795,110.056,100,113.58,116.686,116.589,118.502
"278","271","          Income loss","DIINRA3",30.91,31.784,32.79,34.642,36.192,38.748,40.875,41.881,41.161,49.008,50.447,54.946,53.73,55.797,55.531,56.882,54.354,54.227,52.975,54.084,61.756,61.771,50.709,43.455,34.058,34.948,37.89,33.958,33.895,33.08,33.492,33.505,31.381,36.77,46.661,43.993,45.135,48.231,58.044,64.529,71.123,78.482,85.094,88.515,92.387,93.706,94.479,97.637,100.494,100.652,100,96.669,95.194,95.844,96.234
"279","272","          Workers' compensation","DPWCRA3",20.187,21.795,22.568,23.932,25.245,26.98,27.96,31.418,33.611,35.715,36.495,37.378,37.423,40.905,45.692,47.791,49.372,56.642,66.944,75.664,83.454,84.799,79.348,79.354,75.673,78.702,90.98,102.32,114.894,125.266,125.284,130.928,133.499,137.438,130.496,124.913,109.89,93.643,89.806,88.006,87.402,92.271,99.657,101.861,92.245,89.171,104.93,112.674,119.474,114.672,100,87.145,84.702,129.027,137.815
"280","273","        Net motor vehicle and other transportation insurance (116)","DTINRA3",34.584,36.028,36.902,38.37,40.331,41.965,42.326,44.6,47.621,50.203,50.694,50.983,51.629,56.437,60.973,62.376,61.851,57.163,61.392,66.433,68.228,68.815,70.114,72.362,72.78,72.787,74.283,76.478,79.878,82.003,81.957,83.648,81.904,82.353,82.142,83.254,84.034,84.423,86.142,88.335,89.618,90.032,91.572,90.083,89.833,94.896,100.466,99.606,108.04,106.581,100,95.583,91.691,88.577,88.126
"281","274","    Other services","DOTSRA3",23.245,23.978,24.757,25.736,26.676,27.867,29.458,31.191,33.026,33.936,34.935,36.06,36.207,37.783,38.852,37.604,37.912,39.358,41.289,43.474,43.86,43.614,43.397,44.3,47.193,49.562,52.996,53.578,57.34,59.645,61.499,62.567,60.315,62.695,64.067,66.568,67.945,70.294,74.272,79.826,83.812,89.529,92.562,92.643,94.853,96.951,97.883,100.484,102.691,102.186,100,100.989,102.469,104.208,103.82
"282","275","      Communication","DCOMRA3",4.657,4.925,5.236,5.559,5.937,6.37,6.997,7.678,8.265,8.863,9.677,10.354,10.702,11.386,12.495,12.982,14.192,15.062,16.132,17.53,18.899,19.957,20.307,20.959,21.722,22.071,23.389,24.326,26.224,27.574,29.269,30.525,31.512,34.553,36.304,38.7,40.816,44.532,49.114,53.307,59.673,68.327,71.969,73.111,75.112,78.924,82.12,87.828,96.691,101.698,100,104.211,110.702,116.624,120.164
"283","276","        Telecommunication services (71)","DTCSRA3",5.108,5.425,5.781,6.12,6.614,7.116,7.873,8.695,9.391,10.209,11.214,12.051,12.572,13.406,14.866,15.668,17.32,18.693,20.102,22.007,23.786,25.081,25.651,26.487,27.397,27.617,29.455,30.575,32.995,35.008,37.479,39.255,41.058,45.517,47.855,50.806,53.441,58.109,64.303,69.415,76.002,84.487,89.392,89.208,89.301,92.514,96.789,101.282,102.516,104.355,100,102.444,106.96,109.893,113.782
"284","277","          Land-line telephone services, local charges","DLOCRA3",23.686,25.147,26.823,28.392,30.696,32.983,36.557,40.335,43.558,47.356,52.018,55.952,58.365,62.188,68.965,72.763,80.384,86.726,93.282,101.39,110.011,113.645,113.47,115.841,118.95,115.454,116.581,113.975,112.498,112.449,112.883,115.396,116.534,120.972,126.319,133.489,137.796,146.911,155.297,161.556,168.548,173.33,170.335,159.166,140.282,129.972,127.055,126.41,117.233,112.908,100,96.267,89.777,86.162,86.882
